* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:17:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Blue Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.621 -65.0633
0.732422 65.804 -115.4695
1.098633 67.170 -156.4589
1.464844 67.461 167.2712
1.831055 66.551 133.9444
2.197266 63.993 103.4181
2.563477 58.004 78.9306
2.929688 47.563 176.9866
3.295899 61.171 -175.1849
3.662110 65.854 164.1509
4.028321 68.026 144.4600
4.394532 68.825 128.6734
4.760743 68.837 119.0231
5.126954 68.813 116.6747
5.493164 69.537 118.1612
5.859375 70.893 117.3382
6.225586 72.187 112.7680
6.591797 73.055 106.5552
6.958008 73.504 100.9220
7.324219 73.729 97.1035
7.690430 73.975 94.9673
8.056641 74.358 93.2886
8.422852 74.801 90.9733
8.789063 75.163 87.9247
9.155274 75.375 84.7406
9.521485 75.472 82.0165
9.887696 75.535 79.9037
10.253907 75.558 78.1072
10.620118 75.573 76.2506
10.986329 75.573 74.2197
11.352540 75.534 72.1636
11.718751 75.470 70.2582
12.084962 75.405 68.5236
12.451173 75.354 66.8484
12.817384 75.366 65.1461
13.183595 75.379 63.4507
13.549806 75.384 61.8576
13.916017 75.393 60.4045
14.282228 75.417 59.0281
14.648439 75.452 57.6391
15.014650 75.482 56.2226
15.380861 75.500 54.8496
15.747072 75.510 53.5987
16.113283 75.530 52.4737
16.479493 75.572 51.4052
16.845704 75.620 50.3222
17.211915 75.662 49.2169
17.578126 75.692 48.1381
17.944337 75.714 47.1300
18.310548 75.737 46.1889
18.676759 75.762 45.2734
19.042970 75.787 44.3507
19.409181 75.808 43.4244
19.775392 75.825 42.5179
20.141603 75.840 41.6422
20.507814 75.859 40.7843
20.874025 75.879 39.9266
21.240236 75.896 39.0695
21.606447 75.910 38.2308
21.972658 75.924 37.4236
22.338869 75.939 36.6397
22.705080 75.958 35.8592
23.071291 75.975 35.0717
23.437502 75.990 34.2888
23.803713 76.001 33.5306
24.169924 76.011 32.8052
24.536135 76.023 32.1017
24.902346 76.036 31.4029
25.268557 76.048 30.7035
25.634768 76.057 30.0128
26.000979 76.064 29.3425
26.367190 76.071 28.6925
26.733401 76.078 28.0515
27.099612 76.084 27.4092
27.465823 76.089 26.7658
27.832033 76.092 26.1289
28.198244 76.094 25.5041
28.564455 76.095 24.8892
28.930666 76.096 24.2792
29.296877 76.097 23.6722
29.663088 76.097 23.0730
30.029299 76.096 22.4852
30.395510 76.097 21.9063
30.761721 76.099 21.3295
31.127932 76.100 20.7511
31.494143 76.100 20.1750
31.860354 76.099 19.6095
32.226565 76.097 19.0591
32.592776 76.096 18.5211
32.958987 76.095 17.9891
33.325198 76.094 17.4601
33.691409 76.091 16.9359
34.057620 76.088 16.4212
34.423831 76.085 15.9172
34.790042 76.081 15.4215
35.156253 76.077 14.9313
35.522464 76.073 14.4460
35.888675 76.068 13.9669
36.254886 76.063 13.4938
36.621097 76.057 13.0249
36.987308 76.052 12.5584
37.353519 76.046 12.0946
37.719730 76.039 11.6364
38.085941 76.031 11.1855
38.452152 76.024 10.7412
38.818363 76.017 10.3003
39.184573 76.010 9.8611
39.550784 76.002 9.4252
39.916995 75.994 8.9955
40.283206 75.987 8.5730
40.649417 75.980 8.1556
41.015628 75.973 7.7408
41.381839 75.966 7.3279
41.748050 75.958 6.9199
42.114261 75.950 6.5201
42.480472 75.941 6.1292
42.846683 75.933 5.7452
43.212894 75.925 5.3655
43.579105 75.917 4.9889
43.945316 75.909 4.6158
44.311527 75.900 4.2467
44.677738 75.891 3.8818
45.043949 75.882 3.5208
45.410160 75.873 3.1647
45.776371 75.863 2.8146
46.142582 75.853 2.4708
46.508793 75.844 2.1313
46.875004 75.834 1.7935
47.241215 75.825 1.4559
47.607426 75.815 1.1201
47.973637 75.804 0.7895
48.339848 75.792 0.4661
48.706059 75.781 0.1491
49.072270 75.770 -0.1643
49.438481 75.759 -0.4765
49.804692 75.749 -0.7876
50.170902 75.737 -1.0961
50.537113 75.726 -1.4001
50.903324 75.714 -1.6992
51.269535 75.703 -1.9944
51.635746 75.692 -2.2864
52.001957 75.680 -2.5759
52.368168 75.669 -2.8624
52.734379 75.658 -3.1455
53.100590 75.646 -3.4250
53.466801 75.635 -3.7009
53.833012 75.623 -3.9734
54.199223 75.611 -4.2426
54.565434 75.599 -4.5083
54.931645 75.588 -4.7706
55.297856 75.576 -5.0291
55.664067 75.564 -5.2838
56.030278 75.551 -5.5350
56.396489 75.539 -5.7838
56.762700 75.527 -6.0302
57.128911 75.514 -6.2735
57.495122 75.502 -6.5128
57.861333 75.489 -6.7481
58.227544 75.477 -6.9811
58.593755 75.465 -7.2147
58.959966 75.452 -7.4505
59.326177 75.439 -7.6873
59.692388 75.426 -7.9212
60.058599 75.411 -8.1485
60.424810 75.397 -8.3682
60.791021 75.383 -8.5826
61.157232 75.370 -8.7959
61.523442 75.358 -9.0109
61.889653 75.345 -9.2273
62.255864 75.331 -9.4430
62.622075 75.317 -9.6549
62.988286 75.303 -9.8618
63.354497 75.289 -10.0640
63.720708 75.275 -10.2631
64.086919 75.261 -10.4609
64.453130 75.247 -10.6581
64.819341 75.232 -10.8544
65.185552 75.218 -11.0486
65.551763 75.203 -11.2396
65.917974 75.188 -11.4267
66.284185 75.173 -11.6104
66.650396 75.159 -11.7921
67.016607 75.144 -11.9731
67.382818 75.129 -12.1539
67.749029 75.114 -12.3338
68.115240 75.099 -12.5115
68.481451 75.084 -12.6861
68.847662 75.069 -12.8577
69.213873 75.053 -13.0272
69.580084 75.038 -13.1955
69.946295 75.023 -13.3629
70.312506 75.008 -13.5294
70.678717 74.993 -13.6944
71.044928 74.978 -13.8576
71.411139 74.962 -14.0187
71.777350 74.947 -14.1774
72.143561 74.932 -14.3341
72.509771 74.917 -14.4891
72.875982 74.902 -14.6432
73.242193 74.887 -14.7966
73.608404 74.872 -14.9495
73.974615 74.856 -15.1011
74.340826 74.841 -15.2509
74.707037 74.826 -15.3986
75.073248 74.810 -15.5441
75.439459 74.795 -15.6877
75.805670 74.779 -15.8298
76.171881 74.764 -15.9700
76.538092 74.749 -16.1084
76.904303 74.733 -16.2454
77.270514 74.718 -16.3817
77.636725 74.703 -16.5181
78.002936 74.688 -16.6547
78.369147 74.672 -16.7909
78.735358 74.657 -16.9258
79.101569 74.641 -17.0584
79.467780 74.625 -17.1880
79.833991 74.609 -17.3148
80.200202 74.593 -17.4400
80.566413 74.578 -17.5649
80.932624 74.563 -17.6904
81.298835 74.548 -17.8163
81.665046 74.533 -17.9419
82.031257 74.517 -18.0658
82.397468 74.502 -18.1871
82.763679 74.486 -18.3059
83.129890 74.471 -18.4227
83.496101 74.456 -18.5385
83.862311 74.440 -18.6535
84.228522 74.425 -18.7678
84.594733 74.410 -18.8811
84.960944 74.395 -18.9932
85.327155 74.380 -19.1039
85.693366 74.365 -19.2136
86.059577 74.350 -19.3226
86.425788 74.335 -19.4312
86.791999 74.320 -19.5392
87.158210 74.305 -19.6462
87.524421 74.289 -19.7521
87.890632 74.274 -19.8567
88.256843 74.259 -19.9600
88.623054 74.243 -20.0623
88.989265 74.228 -20.1638
89.355476 74.212 -20.2643
89.721687 74.197 -20.3632
90.087898 74.181 -20.4603
90.454109 74.166 -20.5558
90.820320 74.151 -20.6500
91.186531 74.136 -20.7440
91.552742 74.121 -20.8381
91.918953 74.106 -20.9326
92.285164 74.091 -21.0271
92.651375 74.076 -21.1212
93.017586 74.061 -21.2144
93.383797 74.045 -21.3062
93.750008 74.030 -21.3970
94.116219 74.015 -21.4866
94.482430 74.000 -21.5755
94.848641 73.985 -21.6636
95.214851 73.970 -21.7509
95.581062 73.955 -21.8369
95.947273 73.939 -21.9216
96.313484 73.924 -22.0050
96.679695 73.909 -22.0875
97.045906 73.895 -22.1696
97.412117 73.880 -22.2517
97.778328 73.865 -22.3340
98.144539 73.850 -22.4159
98.510750 73.835 -22.4969
98.876961 73.820 -22.5766
99.243172 73.805 -22.6552
99.609383 73.790 -22.7328
99.975594 73.775 -22.8101
100.341805 73.760 -22.8871
100.708016 73.745 -22.9637
101.074227 73.730 -23.0393
101.440438 73.715 -23.1140
101.806649 73.701 -23.1879
102.172860 73.686 -23.2614
102.539071 73.671 -23.3350
102.905282 73.657 -23.4086
103.271493 73.642 -23.4817
103.637704 73.627 -23.5536
104.003915 73.612 -23.6239
104.370126 73.597 -23.6927
104.736337 73.582 -23.7605
105.102548 73.568 -23.8277
105.468759 73.553 -23.8949
105.834970 73.539 -23.9620
106.201180 73.524 -24.0289
106.567391 73.509 -24.0955
106.933602 73.495 -24.1617
107.299813 73.480 -24.2275
107.666024 73.466 -24.2928
108.032235 73.451 -24.3571
108.398446 73.436 -24.4201
108.764657 73.421 -24.4818
109.130868 73.407 -24.5425
109.497079 73.392 -24.6025
109.863290 73.378 -24.6625
110.229501 73.364 -24.7224
110.595712 73.350 -24.7825
110.961923 73.336 -24.8425
111.328134 73.321 -24.9021
111.694345 73.307 -24.9609
112.060556 73.292 -25.0189
112.426767 73.278 -25.0760
112.792978 73.264 -25.1322
113.159189 73.249 -25.1876
113.525400 73.235 -25.2426
113.891611 73.221 -25.2969
114.257822 73.206 -25.3510
114.624033 73.192 -25.4049
114.990244 73.178 -25.4587
115.356455 73.164 -25.5126
115.722666 73.150 -25.5668
116.088877 73.135 -25.6211
116.455088 73.121 -25.6750
116.821299 73.106 -25.7277
117.187510 73.092 -25.7784
117.553720 73.077 -25.8268
117.919931 73.062 -25.8729
118.286142 73.048 -25.9179
118.652353 73.034 -25.9628
119.018564 73.021 -26.0087
119.384775 73.007 -26.0559
119.750986 72.994 -26.1041
120.117197 72.980 -26.1527
120.483408 72.967 -26.2010
120.849619 72.953 -26.2487
121.215830 72.939 -26.2954
121.582041 72.925 -26.3412
121.948252 72.911 -26.3860
122.314463 72.897 -26.4297
122.680674 72.883 -26.4722
123.046885 72.869 -26.5137
123.413096 72.855 -26.5546
123.779307 72.841 -26.5955
124.145518 72.828 -26.6364
124.511729 72.815 -26.6776
124.877940 72.802 -26.7188
125.244151 72.789 -26.7600
125.610362 72.777 -26.8010
125.976573 72.764 -26.8422
126.342784 72.752 -26.8835
126.708995 72.740 -26.9250
127.075206 72.727 -26.9667
127.441417 72.715 -27.0081
127.807628 72.703 -27.0487
128.173839 72.690 -27.0884
128.540049 72.678 -27.1268
128.906260 72.665 -27.1641
129.272471 72.653 -27.2003
129.638682 72.641 -27.2355
130.004893 72.628 -27.2701
130.371104 72.616 -27.3042
130.737315 72.604 -27.3380
131.103526 72.592 -27.3721
131.469737 72.581 -27.4064
131.835948 72.569 -27.4410
132.202159 72.557 -27.4755
132.568370 72.545 -27.5095
132.934581 72.533 -27.5426
133.300792 72.521 -27.5747
133.667003 72.509 -27.6058
134.033214 72.497 -27.6364
134.399425 72.485 -27.6666
134.765636 72.473 -27.6967
135.131847 72.462 -27.7269
135.498058 72.450 -27.7570
135.864269 72.438 -27.7868
136.230480 72.427 -27.8165
136.596691 72.415 -27.8461
136.962902 72.404 -27.8756
137.329113 72.392 -27.9050
137.695324 72.380 -27.9343
138.061535 72.369 -27.9633
138.427746 72.357 -27.9917
138.793957 72.345 -28.0197
139.160168 72.333 -28.0469
139.526379 72.322 -28.0737
139.892589 72.310 -28.1000
140.258800 72.298 -28.1260
140.625011 72.287 -28.1517
140.991222 72.275 -28.1771
141.357433 72.263 -28.2024
141.723644 72.252 -28.2275
142.089855 72.240 -28.2523
142.456066 72.229 -28.2770
142.822277 72.218 -28.3015
143.188488 72.207 -28.3259
143.554699 72.195 -28.3505
143.920910 72.184 -28.3752
144.287121 72.173 -28.4002
144.653332 72.162 -28.4252
145.019543 72.151 -28.4500
145.385754 72.139 -28.4741
145.751965 72.128 -28.4974
