* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:16:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Blue Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.877 -39.6892
0.732422 70.752 -82.3631
1.098633 69.449 -130.0268
1.464844 68.687 -179.9052
1.831055 68.282 134.9131
2.197266 67.115 97.2176
2.563477 63.740 66.5147
2.929688 53.043 53.7437
3.295899 59.335 174.6197
3.662110 66.657 157.6431
4.028321 69.715 138.6351
4.394532 70.895 122.6995
4.760743 70.971 112.1733
5.126954 70.689 109.0051
5.493164 71.004 111.2830
5.859375 72.137 112.2347
6.225586 73.374 108.6992
6.591797 74.201 102.5342
6.958008 74.551 96.3616
7.324219 74.600 91.9305
7.690430 74.631 89.5841
8.056641 74.841 88.1745
8.422852 75.195 86.2275
8.789063 75.520 83.3203
9.155274 75.707 80.0447
9.521485 75.764 77.1806
9.887696 75.779 75.0666
10.253907 75.768 73.4587
10.620118 75.777 71.8866
10.986329 75.792 70.1234
11.352540 75.776 68.2835
11.718751 75.731 66.5741
12.084962 75.681 65.0531
12.451173 75.644 63.6155
12.817384 75.667 62.1579
13.183595 75.690 60.7014
13.549806 75.701 59.3428
13.916017 75.714 58.1195
14.282228 75.742 56.9541
14.648439 75.780 55.7380
15.014650 75.811 54.4499
15.380861 75.824 53.1763
15.747072 75.826 52.0185
16.113283 75.839 50.9916
16.479493 75.876 50.0162
16.845704 75.922 49.0041
17.211915 75.963 47.9418
17.578126 75.991 46.8889
17.944337 76.011 45.9077
18.310548 76.029 45.0056
18.676759 76.052 44.1393
19.042970 76.077 43.2684
19.409181 76.097 42.3900
19.775392 76.113 41.5277
20.141603 76.126 40.6947
20.507814 76.142 39.8785
20.874025 76.157 39.0601
21.240236 76.168 38.2392
21.606447 76.176 37.4331
21.972658 76.182 36.6531
22.338869 76.190 35.8875
22.705080 76.201 35.1123
23.071291 76.210 34.3179
23.437502 76.215 33.5204
23.803713 76.217 32.7456
24.169924 76.220 32.0033
24.536135 76.225 31.2791
24.902346 76.234 30.5512
25.268557 76.242 29.8137
25.634768 76.248 29.0805
26.000979 76.252 28.3695
26.367190 76.256 27.6843
26.733401 76.262 27.0132
27.099612 76.268 26.3440
27.465823 76.273 25.6758
27.832033 76.276 25.0171
28.198244 76.278 24.3744
28.564455 76.279 23.7446
28.930666 76.280 23.1209
29.296877 76.280 22.5007
29.663088 76.279 21.8884
30.029299 76.277 21.2882
30.395510 76.275 20.6967
30.761721 76.274 20.1051
31.127932 76.272 19.5085
31.494143 76.269 18.9109
31.860354 76.264 18.3218
32.226565 76.259 17.7459
32.592776 76.255 17.1793
32.958987 76.252 16.6139
33.325198 76.249 16.0460
33.691409 76.244 15.4802
34.057620 76.239 14.9241
34.423831 76.233 14.3812
34.790042 76.228 13.8492
35.156253 76.223 13.3235
35.522464 76.218 12.8021
35.888675 76.213 12.2861
36.254886 76.207 11.7767
36.621097 76.201 11.2728
36.987308 76.194 10.7731
37.353519 76.187 10.2781
37.719730 76.178 9.7903
38.085941 76.169 9.3112
38.452152 76.161 8.8384
38.818363 76.153 8.3672
39.184573 76.144 7.8956
39.550784 76.134 7.4257
39.916995 76.124 6.9620
40.283206 76.114 6.5071
40.649417 76.105 6.0587
41.015628 76.096 5.6124
41.381839 76.088 5.1660
41.748050 76.079 4.7219
42.114261 76.069 4.2839
42.480472 76.058 3.8544
42.846683 76.049 3.4326
43.212894 76.039 3.0158
43.579105 76.029 2.6025
43.945316 76.019 2.1931
44.311527 76.009 1.7885
44.677738 75.998 1.3890
45.043949 75.987 0.9948
45.410160 75.976 0.6059
45.776371 75.965 0.2229
46.142582 75.953 -0.1538
46.508793 75.941 -0.5255
46.875004 75.929 -0.8937
47.241215 75.918 -1.2594
47.607426 75.905 -1.6218
47.973637 75.893 -1.9797
48.339848 75.880 -2.3328
48.706059 75.868 -2.6821
49.072270 75.855 -3.0286
49.438481 75.842 -3.3718
49.804692 75.829 -3.7104
50.170902 75.816 -4.0430
50.537113 75.803 -4.3701
50.903324 75.790 -4.6933
51.269535 75.777 -5.0137
51.635746 75.764 -5.3306
52.001957 75.751 -5.6429
52.368168 75.738 -5.9502
52.734379 75.724 -6.2533
53.100590 75.711 -6.5540
53.466801 75.698 -6.8527
53.833012 75.684 -7.1483
54.199223 75.669 -7.4391
54.565434 75.655 -7.7242
54.931645 75.640 -8.0045
55.297856 75.626 -8.2811
55.664067 75.611 -8.5552
56.030278 75.597 -8.8264
56.396489 75.583 -9.0945
56.762700 75.568 -9.3589
57.128911 75.554 -9.6201
57.495122 75.540 -9.8787
57.861333 75.526 -10.1350
58.227544 75.511 -10.3896
58.593755 75.497 -10.6423
58.959966 75.482 -10.8925
59.326177 75.467 -11.1390
59.692388 75.452 -11.3806
60.058599 75.436 -11.6166
60.424810 75.421 -11.8478
60.791021 75.406 -12.0758
61.157232 75.391 -12.3021
61.523442 75.376 -12.5269
61.889653 75.360 -12.7492
62.255864 75.344 -12.9681
62.622075 75.329 -13.1833
62.988286 75.313 -13.3958
63.354497 75.296 -13.6061
63.720708 75.280 -13.8148
64.086919 75.263 -14.0215
64.453130 75.247 -14.2256
64.819341 75.230 -14.4272
65.185552 75.213 -14.6268
65.551763 75.197 -14.8247
65.917974 75.180 -15.0206
66.284185 75.163 -15.2141
66.650396 75.146 -15.4047
67.016607 75.129 -15.5925
67.382818 75.112 -15.7775
67.749029 75.095 -15.9601
68.115240 75.078 -16.1402
68.481451 75.061 -16.3181
68.847662 75.045 -16.4943
69.213873 75.028 -16.6692
69.580084 75.011 -16.8429
69.946295 74.994 -17.0149
70.312506 74.977 -17.1848
70.678717 74.960 -17.3525
71.044928 74.943 -17.5182
71.411139 74.925 -17.6823
71.777350 74.908 -17.8451
72.143561 74.891 -18.0065
72.509771 74.874 -18.1661
72.875982 74.856 -18.3235
73.242193 74.839 -18.4783
73.608404 74.821 -18.6307
73.974615 74.804 -18.7811
74.340826 74.787 -18.9301
74.707037 74.770 -19.0784
75.073248 74.753 -19.2261
75.439459 74.736 -19.3727
75.805670 74.718 -19.5177
76.171881 74.701 -19.6604
76.538092 74.683 -19.8010
76.904303 74.666 -19.9397
77.270514 74.649 -20.0769
77.636725 74.631 -20.2124
78.002936 74.614 -20.3462
78.369147 74.596 -20.4781
78.735358 74.579 -20.6087
79.101569 74.562 -20.7388
79.467780 74.545 -20.8687
79.833991 74.528 -20.9982
80.200202 74.510 -21.1266
80.566413 74.493 -21.2529
80.932624 74.475 -21.3767
81.298835 74.458 -21.4982
81.665046 74.441 -21.6177
82.031257 74.424 -21.7358
82.397468 74.407 -21.8533
82.763679 74.390 -21.9706
83.129890 74.373 -22.0876
83.496101 74.356 -22.2043
83.862311 74.339 -22.3198
84.228522 74.321 -22.4333
84.594733 74.304 -22.5446
84.960944 74.287 -22.6536
85.327155 74.270 -22.7609
85.693366 74.253 -22.8673
86.059577 74.236 -22.9734
86.425788 74.219 -23.0796
86.791999 74.203 -23.1858
87.158210 74.186 -23.2917
87.524421 74.169 -23.3969
87.890632 74.152 -23.5009
88.256843 74.135 -23.6031
88.623054 74.118 -23.7036
88.989265 74.100 -23.8024
89.355476 74.083 -23.8998
89.721687 74.067 -23.9963
90.087898 74.050 -24.0923
90.454109 74.033 -24.1876
90.820320 74.016 -24.2822
91.186531 73.999 -24.3759
91.552742 73.982 -24.4683
91.918953 73.965 -24.5594
92.285164 73.948 -24.6494
92.651375 73.931 -24.7383
93.017586 73.914 -24.8264
93.383797 73.897 -24.9142
93.750008 73.881 -25.0013
94.116219 73.864 -25.0879
94.482430 73.847 -25.1735
94.848641 73.830 -25.2578
95.214851 73.813 -25.3411
95.581062 73.797 -25.4233
95.947273 73.780 -25.5051
96.313484 73.764 -25.5867
96.679695 73.747 -25.6680
97.045906 73.731 -25.7488
97.412117 73.714 -25.8289
97.778328 73.697 -25.9076
98.144539 73.681 -25.9851
98.510750 73.664 -26.0618
98.876961 73.648 -26.1378
99.243172 73.632 -26.2133
99.609383 73.615 -26.2882
99.975594 73.599 -26.3622
100.341805 73.582 -26.4349
100.708016 73.565 -26.5063
101.074227 73.549 -26.5768
101.440438 73.533 -26.6466
101.806649 73.517 -26.7161
102.172860 73.500 -26.7858
102.539071 73.484 -26.8555
102.905282 73.468 -26.9254
103.271493 73.452 -26.9949
103.637704 73.435 -27.0635
104.003915 73.419 -27.1307
104.370126 73.402 -27.1965
104.736337 73.386 -27.2611
105.102548 73.370 -27.3251
105.468759 73.354 -27.3888
105.834970 73.338 -27.4523
106.201180 73.321 -27.5151
106.567391 73.305 -27.5773
106.933602 73.289 -27.6386
107.299813 73.273 -27.6993
107.666024 73.257 -27.7598
108.032235 73.241 -27.8200
108.398446 73.226 -27.8799
108.764657 73.210 -27.9392
109.130868 73.194 -27.9977
109.497079 73.178 -28.0552
109.863290 73.162 -28.1121
110.229501 73.146 -28.1682
110.595712 73.130 -28.2239
110.961923 73.114 -28.2792
111.328134 73.098 -28.3344
111.694345 73.083 -28.3894
112.060556 73.067 -28.4440
112.426767 73.051 -28.4978
112.792978 73.035 -28.5507
113.159189 73.019 -28.6022
113.525400 73.003 -28.6526
113.891611 72.987 -28.7020
114.257822 72.972 -28.7509
114.624033 72.956 -28.7994
114.990244 72.940 -28.8477
115.356455 72.925 -28.8958
115.722666 72.909 -28.9434
116.088877 72.894 -28.9900
116.455088 72.878 -29.0355
116.821299 72.863 -29.0798
117.187510 72.847 -29.1230
117.553720 72.832 -29.1660
117.919931 72.817 -29.2094
118.286142 72.802 -29.2538
118.652353 72.787 -29.2994
119.018564 72.772 -29.3457
119.384775 72.757 -29.3921
119.750986 72.742 -29.4379
120.117197 72.727 -29.4829
120.483408 72.712 -29.5271
120.849619 72.696 -29.5707
121.215830 72.681 -29.6141
121.582041 72.666 -29.6569
121.948252 72.650 -29.6989
122.314463 72.635 -29.7399
122.680674 72.620 -29.7798
123.046885 72.605 -29.8188
123.413096 72.590 -29.8575
123.779307 72.575 -29.8960
124.145518 72.560 -29.9343
124.511729 72.545 -29.9721
124.877940 72.530 -30.0091
125.244151 72.516 -30.0450
125.610362 72.502 -30.0801
125.976573 72.488 -30.1144
126.342784 72.474 -30.1481
126.708995 72.461 -30.1815
127.075206 72.447 -30.2150
127.441417 72.434 -30.2484
127.807628 72.421 -30.2820
128.173839 72.408 -30.3158
128.540049 72.395 -30.3500
128.906260 72.382 -30.3843
129.272471 72.369 -30.4185
129.638682 72.356 -30.4523
130.004893 72.342 -30.4854
130.371104 72.329 -30.5176
130.737315 72.316 -30.5491
131.103526 72.303 -30.5798
131.469737 72.290 -30.6104
131.835948 72.277 -30.6405
132.202159 72.264 -30.6704
132.568370 72.251 -30.7001
132.934581 72.238 -30.7296
133.300792 72.224 -30.7588
133.667003 72.211 -30.7877
134.033214 72.198 -30.8160
134.399425 72.185 -30.8438
134.765636 72.172 -30.8708
135.131847 72.159 -30.8972
135.498058 72.146 -30.9231
135.864269 72.133 -30.9489
136.230480 72.120 -30.9745
136.596691 72.107 -31.0000
136.962902 72.094 -31.0255
137.329113 72.082 -31.0508
137.695324 72.069 -31.0760
138.061535 72.056 -31.1013
138.427746 72.044 -31.1265
138.793957 72.031 -31.1516
139.160168 72.019 -31.1765
139.526379 72.006 -31.2008
139.892589 71.993 -31.2247
140.258800 71.981 -31.2481
140.625011 71.968 -31.2712
140.991222 71.956 -31.2939
141.357433 71.943 -31.3163
141.723644 71.931 -31.3381
142.089855 71.918 -31.3594
142.456066 71.906 -31.3799
142.822277 71.894 -31.3999
143.188488 71.881 -31.4196
143.554699 71.869 -31.4390
143.920910 71.857 -31.4579
144.287121 71.844 -31.4763
144.653332 71.832 -31.4943
145.019543 71.820 -31.5117
145.385754 71.808 -31.5288
