* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:15:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Gold Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.353 -66.2378
0.732422 65.670 -116.5326
1.098633 67.090 -157.1561
1.464844 67.396 166.9160
1.831055 66.478 133.9183
2.197266 63.887 103.8229
2.563477 57.801 80.5116
2.929688 48.643 176.8529
3.295899 61.380 -176.1738
3.662110 65.973 163.5752
4.028321 68.119 144.1007
4.394532 68.916 128.4552
4.760743 68.941 118.8775
5.126954 68.934 116.4885
5.493164 69.662 117.8540
5.859375 71.008 116.9666
6.225586 72.294 112.4090
6.591797 73.162 106.2339
6.958008 73.615 100.6250
7.324219 73.849 96.7967
7.690430 74.100 94.6195
8.056641 74.483 92.8969
8.422852 74.923 90.5596
8.789063 75.282 87.5102
9.155274 75.495 84.3309
9.521485 75.594 81.6037
9.887696 75.659 79.4770
10.253907 75.683 77.6616
10.620118 75.698 75.7885
10.986329 75.697 73.7448
11.352540 75.658 71.6763
11.718751 75.593 69.7558
12.084962 75.527 68.0051
12.451173 75.474 66.3168
12.817384 75.483 64.6069
13.183595 75.495 62.9071
13.549806 75.498 61.3091
13.916017 75.507 59.8476
14.282228 75.530 58.4596
14.648439 75.563 57.0576
15.014650 75.592 55.6277
15.380861 75.608 54.2413
15.747072 75.616 52.9768
16.113283 75.634 51.8398
16.479493 75.674 50.7618
16.845704 75.719 49.6718
17.211915 75.759 48.5607
17.578126 75.789 47.4746
17.944337 75.810 46.4575
18.310548 75.832 45.5058
18.676759 75.857 44.5802
19.042970 75.881 43.6493
19.409181 75.902 42.7159
19.775392 75.917 41.8024
20.141603 75.933 40.9193
20.507814 75.951 40.0545
20.874025 75.970 39.1911
21.240236 75.987 38.3293
21.606447 76.001 37.4861
21.972658 76.015 36.6723
22.338869 76.031 35.8799
22.705080 76.048 35.0896
23.071291 76.065 34.2939
23.437502 76.078 33.5060
23.803713 76.087 32.7466
24.169924 76.097 32.0221
24.536135 76.108 31.3189
24.902346 76.121 30.6183
25.268557 76.132 29.9142
25.634768 76.141 29.2171
26.000979 76.147 28.5399
26.367190 76.152 27.8837
26.733401 76.158 27.2379
27.099612 76.163 26.5922
27.465823 76.167 25.9467
27.832033 76.169 25.3086
28.198244 76.170 24.6830
28.564455 76.172 24.0669
28.930666 76.173 23.4543
29.296877 76.174 22.8433
29.663088 76.174 22.2379
30.029299 76.173 21.6428
30.395510 76.173 21.0569
30.761721 76.174 20.4751
31.127932 76.174 19.8957
31.494143 76.172 19.3228
31.860354 76.170 18.7632
32.226565 76.169 18.2184
32.592776 76.167 17.6827
32.958987 76.167 17.1484
33.325198 76.165 16.6140
33.691409 76.162 16.0852
34.057620 76.158 15.5696
34.423831 76.153 15.0689
34.790042 76.148 14.5787
35.156253 76.144 14.0925
35.522464 76.139 13.6075
35.888675 76.134 13.1254
36.254886 76.128 12.6486
36.621097 76.122 12.1775
36.987308 76.116 11.7104
37.353519 76.109 11.2471
37.719730 76.101 10.7891
38.085941 76.093 10.3383
38.452152 76.085 9.8939
38.818363 76.078 9.4538
39.184573 76.070 9.0160
39.550784 76.062 8.5817
39.916995 76.053 8.1533
40.283206 76.045 7.7328
40.649417 76.037 7.3195
41.015628 76.030 6.9109
41.381839 76.023 6.5055
41.748050 76.015 6.1037
42.114261 76.007 5.7062
42.480472 75.999 5.3134
42.846683 75.990 4.9248
43.212894 75.981 4.5410
43.579105 75.971 4.1635
43.945316 75.961 3.7937
44.311527 75.952 3.4309
44.677738 75.942 3.0721
45.043949 75.933 2.7148
45.410160 75.923 2.3585
45.776371 75.913 2.0057
46.142582 75.902 1.6593
46.508793 75.892 1.3201
46.875004 75.881 0.9858
47.241215 75.871 0.6541
47.607426 75.860 0.3241
47.973637 75.850 -0.0032
48.339848 75.839 -0.3260
48.706059 75.827 -0.6440
49.072270 75.816 -0.9579
49.438481 75.805 -1.2687
49.804692 75.793 -1.5764
50.170902 75.782 -1.8809
50.537113 75.770 -2.1816
50.903324 75.758 -2.4781
51.269535 75.747 -2.7708
51.635746 75.735 -3.0597
52.001957 75.723 -3.3449
52.368168 75.711 -3.6271
52.734379 75.699 -3.9069
53.100590 75.687 -4.1844
53.466801 75.675 -4.4590
53.833012 75.663 -4.7299
54.199223 75.650 -4.9965
54.565434 75.638 -5.2596
54.931645 75.625 -5.5197
55.297856 75.612 -5.7766
55.664067 75.599 -6.0296
56.030278 75.587 -6.2782
56.396489 75.574 -6.5231
56.762700 75.562 -6.7662
57.128911 75.549 -7.0093
57.495122 75.536 -7.2518
57.861333 75.523 -7.4922
58.227544 75.509 -7.7278
58.593755 75.496 -7.9583
58.959966 75.482 -8.1847
59.326177 75.469 -8.4094
59.692388 75.456 -8.6338
60.058599 75.443 -8.8577
60.424810 75.430 -9.0802
60.791021 75.416 -9.3000
61.157232 75.402 -9.5166
61.523442 75.388 -9.7300
61.889653 75.374 -9.9404
62.255864 75.360 -10.1479
62.622075 75.346 -10.3527
62.988286 75.332 -10.5549
63.354497 75.318 -10.7549
63.720708 75.303 -10.9527
64.086919 75.288 -11.1483
64.453130 75.273 -11.3418
64.819341 75.258 -11.5330
65.185552 75.244 -11.7216
65.551763 75.229 -11.9074
65.917974 75.214 -12.0908
66.284185 75.199 -12.2726
66.650396 75.184 -12.4540
67.016607 75.170 -12.6357
67.382818 75.155 -12.8173
67.749029 75.140 -12.9975
68.115240 75.124 -13.1752
68.481451 75.109 -13.3497
68.847662 75.093 -13.5214
69.213873 75.077 -13.6907
69.580084 75.062 -13.8582
69.946295 75.046 -14.0237
70.312506 75.031 -14.1873
70.678717 75.015 -14.3491
71.044928 75.000 -14.5095
71.411139 74.985 -14.6691
71.777350 74.969 -14.8275
72.143561 74.954 -14.9846
72.509771 74.938 -15.1400
72.875982 74.923 -15.2933
73.242193 74.907 -15.4449
73.608404 74.891 -15.5947
73.974615 74.876 -15.7430
74.340826 74.860 -15.8903
74.707037 74.845 -16.0366
75.073248 74.829 -16.1824
75.439459 74.814 -16.3274
75.805670 74.798 -16.4707
76.171881 74.782 -16.6115
76.538092 74.766 -16.7495
76.904303 74.750 -16.8851
77.270514 74.734 -17.0193
77.636725 74.718 -17.1529
78.002936 74.703 -17.2859
78.369147 74.687 -17.4178
78.735358 74.671 -17.5482
79.101569 74.656 -17.6770
79.467780 74.640 -17.8046
79.833991 74.625 -17.9321
80.200202 74.609 -18.0597
80.566413 74.594 -18.1872
80.932624 74.578 -18.3135
81.298835 74.562 -18.4373
81.665046 74.546 -18.5585
82.031257 74.531 -18.6776
82.397468 74.515 -18.7963
82.763679 74.500 -18.9152
83.129890 74.484 -19.0341
83.496101 74.468 -19.1514
83.862311 74.452 -19.2657
84.228522 74.436 -19.3765
84.594733 74.421 -19.4850
84.960944 74.405 -19.5931
85.327155 74.390 -19.7023
85.693366 74.375 -19.8126
86.059577 74.360 -19.9228
86.425788 74.345 -20.0312
86.791999 74.329 -20.1375
87.158210 74.314 -20.2421
87.524421 74.298 -20.3461
87.890632 74.283 -20.4501
88.256843 74.267 -20.5537
88.623054 74.252 -20.6560
88.989265 74.236 -20.7560
89.355476 74.220 -20.8535
89.721687 74.204 -20.9495
90.087898 74.189 -21.0451
90.454109 74.174 -21.1412
90.820320 74.158 -21.2380
91.186531 74.143 -21.3348
91.552742 74.127 -21.4306
91.918953 74.112 -21.5248
92.285164 74.096 -21.6172
92.651375 74.081 -21.7083
93.017586 74.066 -21.7990
93.383797 74.050 -21.8896
93.750008 74.035 -21.9802
94.116219 74.020 -22.0702
94.482430 74.004 -22.1587
94.848641 73.989 -22.2451
95.214851 73.974 -22.3297
95.581062 73.959 -22.4132
95.947273 73.944 -22.4966
96.313484 73.929 -22.5806
96.679695 73.914 -22.6650
97.045906 73.899 -22.7492
97.412117 73.884 -22.8325
97.778328 73.868 -22.9143
98.144539 73.853 -22.9946
98.510750 73.838 -23.0736
98.876961 73.822 -23.1514
99.243172 73.807 -23.2281
99.609383 73.792 -23.3038
99.975594 73.777 -23.3788
100.341805 73.762 -23.4533
100.708016 73.747 -23.5281
101.074227 73.732 -23.6033
101.440438 73.717 -23.6786
101.806649 73.702 -23.7535
102.172860 73.687 -23.8276
102.539071 73.672 -23.9008
102.905282 73.657 -23.9727
103.271493 73.642 -24.0436
103.637704 73.627 -24.1134
104.003915 73.612 -24.1822
104.370126 73.597 -24.2505
104.736337 73.582 -24.3187
105.102548 73.568 -24.3873
105.468759 73.553 -24.4565
105.834970 73.538 -24.5254
106.201180 73.523 -24.5931
106.567391 73.507 -24.6588
106.933602 73.492 -24.7223
107.299813 73.477 -24.7842
107.666024 73.462 -24.8456
108.032235 73.448 -24.9070
108.398446 73.433 -24.9686
108.764657 73.418 -25.0306
109.130868 73.404 -25.0927
109.497079 73.389 -25.1544
109.863290 73.375 -25.2161
110.229501 73.360 -25.2772
110.595712 73.346 -25.3378
110.961923 73.331 -25.3975
111.328134 73.316 -25.4558
111.694345 73.301 -25.5130
112.060556 73.287 -25.5690
112.426767 73.272 -25.6240
112.792978 73.258 -25.6785
113.159189 73.243 -25.7323
113.525400 73.229 -25.7858
113.891611 73.215 -25.8389
114.257822 73.201 -25.8917
114.624033 73.186 -25.9443
114.990244 73.172 -25.9968
115.356455 73.158 -26.0491
115.722666 73.143 -26.1010
116.088877 73.129 -26.1520
116.455088 73.114 -26.2019
116.821299 73.100 -26.2505
117.187510 73.085 -26.2983
117.553720 73.071 -26.3459
117.919931 73.057 -26.3942
118.286142 73.044 -26.4438
118.652353 73.030 -26.4950
119.018564 73.016 -26.5469
119.384775 73.002 -26.5986
119.750986 72.987 -26.6490
120.117197 72.972 -26.6973
120.483408 72.958 -26.7434
120.849619 72.944 -26.7881
121.215830 72.929 -26.8320
121.582041 72.915 -26.8759
121.948252 72.902 -26.9197
122.314463 72.888 -26.9636
122.680674 72.874 -27.0071
123.046885 72.860 -27.0502
123.413096 72.846 -27.0928
123.779307 72.833 -27.1349
124.145518 72.819 -27.1766
124.511729 72.806 -27.2177
124.877940 72.792 -27.2582
125.244151 72.779 -27.2979
125.610362 72.767 -27.3372
125.976573 72.754 -27.3763
126.342784 72.742 -27.4156
126.708995 72.730 -27.4554
127.075206 72.718 -27.4954
127.441417 72.705 -27.5354
127.807628 72.693 -27.5749
128.173839 72.680 -27.6136
128.540049 72.668 -27.6516
128.906260 72.656 -27.6885
129.272471 72.643 -27.7247
129.638682 72.631 -27.7601
130.004893 72.619 -27.7952
130.371104 72.606 -27.8297
130.737315 72.594 -27.8641
131.103526 72.582 -27.8983
131.469737 72.570 -27.9324
131.835948 72.558 -27.9663
132.202159 72.545 -28.0000
132.568370 72.533 -28.0333
132.934581 72.521 -28.0663
133.300792 72.509 -28.0990
133.667003 72.497 -28.1316
134.033214 72.485 -28.1641
134.399425 72.473 -28.1964
134.765636 72.461 -28.2285
135.131847 72.449 -28.2601
135.498058 72.436 -28.2910
135.864269 72.424 -28.3210
136.230480 72.412 -28.3502
136.596691 72.400 -28.3785
136.962902 72.388 -28.4060
137.329113 72.377 -28.4330
137.695324 72.365 -28.4595
138.061535 72.354 -28.4857
138.427746 72.342 -28.5117
138.793957 72.331 -28.5378
139.160168 72.320 -28.5641
139.526379 72.309 -28.5907
139.892589 72.297 -28.6177
140.258800 72.286 -28.6449
140.625011 72.275 -28.6721
140.991222 72.263 -28.6991
141.357433 72.252 -28.7255
141.723644 72.240 -28.7513
142.089855 72.228 -28.7765
142.456066 72.216 -28.8010
142.822277 72.204 -28.8248
143.188488 72.192 -28.8480
143.554699 72.181 -28.8707
143.920910 72.169 -28.8926
144.287121 72.157 -28.9139
144.653332 72.145 -28.9348
145.019543 72.134 -28.9554
145.385754 72.123 -28.9761
145.751965 72.111 -28.9971
