* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:15:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.568 -38.2331
0.732422 71.287 -79.5013
1.098633 69.668 -126.5157
1.464844 68.590 -177.6006
1.831055 68.115 135.1833
2.197266 67.028 95.9701
2.563477 63.760 63.7390
2.929688 53.058 43.4630
3.295899 58.986 178.5710
3.662110 66.523 159.0835
4.028321 69.599 139.4050
4.394532 70.747 123.2255
4.760743 70.763 112.7545
5.126954 70.428 110.0336
5.493164 70.763 112.9097
5.859375 71.964 114.0271
6.225586 73.241 110.3064
6.591797 74.074 103.9132
6.958008 74.412 97.5993
7.324219 74.451 93.1391
7.690430 74.489 90.8211
8.056641 74.721 89.3862
8.422852 75.100 87.3105
8.789063 75.441 84.2201
9.155274 75.634 80.7756
9.521485 75.692 77.7920
9.887696 75.710 75.6038
10.253907 75.706 73.9382
10.620118 75.722 72.3013
10.986329 75.741 70.4668
11.352540 75.725 68.5646
11.718751 75.678 66.8135
12.084962 75.625 65.2679
12.451173 75.586 63.8103
12.817384 75.606 62.3276
13.183595 75.624 60.8414
13.549806 75.630 59.4537
13.916017 75.637 58.2039
14.282228 75.660 57.0103
14.648439 75.693 55.7583
15.014650 75.720 54.4261
15.380861 75.729 53.1059
15.747072 75.726 51.9042
16.113283 75.736 50.8374
16.479493 75.772 49.8231
16.845704 75.818 48.7708
17.211915 75.860 47.6679
17.578126 75.889 46.5783
17.944337 75.910 45.5673
18.310548 75.932 44.6404
18.676759 75.959 43.7510
19.042970 75.987 42.8575
19.409181 76.010 41.9596
19.775392 76.027 41.0840
20.141603 76.042 40.2446
20.507814 76.059 39.4267
20.874025 76.075 38.6081
21.240236 76.087 37.7875
21.606447 76.094 36.9832
21.972658 76.100 36.2079
22.338869 76.108 35.4485
22.705080 76.117 34.6777
23.071291 76.126 33.8829
23.437502 76.131 33.0800
23.803713 76.131 32.2974
24.169924 76.132 31.5475
24.536135 76.137 30.8160
24.902346 76.145 30.0795
25.268557 76.153 29.3298
25.634768 76.159 28.5809
26.000979 76.163 27.8530
26.367190 76.167 27.1534
26.733401 76.172 26.4730
27.099612 76.178 25.7991
27.465823 76.184 25.1287
27.832033 76.188 24.4677
28.198244 76.191 23.8208
28.564455 76.193 23.1859
28.930666 76.194 22.5579
29.296877 76.193 21.9362
29.663088 76.191 21.3253
30.029299 76.189 20.7278
30.395510 76.187 20.1381
30.761721 76.185 19.5459
31.127932 76.183 18.9467
31.494143 76.179 18.3461
31.860354 76.172 17.7552
32.226565 76.165 17.1796
32.592776 76.160 16.6141
32.958987 76.156 16.0497
33.325198 76.152 15.4821
33.691409 76.147 14.9158
34.057620 76.141 14.3581
34.423831 76.135 13.8121
34.790042 76.130 13.2754
35.156253 76.125 12.7439
35.522464 76.120 12.2171
35.888675 76.114 11.6976
36.254886 76.107 11.1869
36.621097 76.101 10.6836
36.987308 76.094 10.1854
37.353519 76.085 9.6928
37.719730 76.077 9.2089
38.085941 76.067 8.7354
38.452152 76.059 8.2690
38.818363 76.050 7.8037
39.184573 76.042 7.3352
39.550784 76.032 6.8655
39.916995 76.021 6.4005
40.283206 76.010 5.9451
40.649417 75.999 5.4987
41.015628 75.989 5.0578
41.381839 75.979 4.6193
41.748050 75.969 4.1836
42.114261 75.958 3.7532
42.480472 75.948 3.3295
42.846683 75.937 2.9121
43.212894 75.927 2.4995
43.579105 75.916 2.0917
43.945316 75.906 1.6893
44.311527 75.895 1.2928
44.677738 75.884 0.9010
45.043949 75.873 0.5122
45.410160 75.862 0.1268
45.776371 75.850 -0.2537
46.142582 75.838 -0.6272
46.508793 75.825 -0.9939
46.875004 75.813 -1.3561
47.241215 75.801 -1.7158
47.607426 75.788 -2.0734
47.973637 75.775 -2.4274
48.339848 75.762 -2.7764
48.706059 75.748 -3.1199
49.072270 75.735 -3.4589
49.438481 75.722 -3.7938
49.804692 75.708 -4.1244
50.170902 75.695 -4.4501
50.537113 75.682 -4.7714
50.903324 75.669 -5.0892
51.269535 75.656 -5.4044
51.635746 75.642 -5.7168
52.001957 75.629 -6.0253
52.368168 75.615 -6.3289
52.734379 75.601 -6.6276
53.100590 75.586 -6.9214
53.466801 75.572 -7.2106
53.833012 75.558 -7.4952
54.199223 75.544 -7.7760
54.565434 75.529 -8.0541
54.931645 75.515 -8.3307
55.297856 75.501 -8.6055
55.664067 75.486 -8.8773
56.030278 75.471 -9.1448
56.396489 75.456 -9.4079
56.762700 75.441 -9.6681
57.128911 75.427 -9.9263
57.495122 75.412 -10.1825
57.861333 75.397 -10.4350
58.227544 75.381 -10.6823
58.593755 75.366 -10.9244
58.959966 75.351 -11.1633
59.326177 75.336 -11.4005
59.692388 75.321 -11.6364
60.058599 75.306 -11.8699
60.424810 75.291 -12.0997
60.791021 75.275 -12.3256
61.157232 75.260 -12.5479
61.523442 75.244 -12.7680
61.889653 75.229 -12.9863
62.255864 75.213 -13.2026
62.622075 75.197 -13.4165
62.988286 75.181 -13.6273
63.354497 75.164 -13.8351
63.720708 75.147 -14.0399
64.086919 75.130 -14.2423
64.453130 75.114 -14.4427
64.819341 75.097 -14.6418
65.185552 75.080 -14.8397
65.551763 75.063 -15.0356
65.917974 75.046 -15.2291
66.284185 75.029 -15.4196
66.650396 75.012 -15.6071
67.016607 74.995 -15.7920
67.382818 74.978 -15.9749
67.749029 74.960 -16.1553
68.115240 74.943 -16.3332
68.481451 74.926 -16.5088
68.847662 74.909 -16.6825
69.213873 74.892 -16.8550
69.580084 74.875 -17.0261
69.946295 74.857 -17.1953
70.312506 74.840 -17.3622
70.678717 74.823 -17.5267
71.044928 74.805 -17.6896
71.411139 74.788 -17.8515
71.777350 74.771 -18.0128
72.143561 74.753 -18.1732
72.509771 74.736 -18.3325
72.875982 74.718 -18.4904
73.242193 74.701 -18.6461
73.608404 74.683 -18.7996
73.974615 74.665 -18.9504
74.340826 74.647 -19.0985
74.707037 74.630 -19.2445
75.073248 74.612 -19.3890
75.439459 74.595 -19.5329
75.805670 74.578 -19.6761
76.171881 74.560 -19.8183
76.538092 74.543 -19.9590
76.904303 74.525 -20.0979
77.270514 74.508 -20.2351
77.636725 74.491 -20.3711
78.002936 74.473 -20.5060
78.369147 74.455 -20.6400
78.735358 74.438 -20.7726
79.101569 74.420 -20.9033
79.467780 74.402 -21.0318
79.833991 74.385 -21.1578
80.200202 74.367 -21.2816
80.566413 74.350 -21.4039
80.932624 74.333 -21.5255
81.298835 74.316 -21.6465
81.665046 74.299 -21.7667
82.031257 74.282 -21.8851
82.397468 74.264 -22.0014
82.763679 74.247 -22.1156
83.129890 74.230 -22.2283
83.496101 74.214 -22.3406
83.862311 74.197 -22.4528
84.228522 74.180 -22.5651
84.594733 74.164 -22.6772
84.960944 74.147 -22.7888
85.327155 74.130 -22.8997
85.693366 74.112 -23.0095
86.059577 74.095 -23.1183
86.425788 74.077 -23.2256
86.791999 74.059 -23.3312
87.158210 74.042 -23.4348
87.524421 74.024 -23.5364
87.890632 74.006 -23.6362
88.256843 73.989 -23.7349
88.623054 73.972 -23.8330
88.989265 73.955 -23.9312
89.355476 73.937 -24.0291
89.721687 73.920 -24.1260
90.087898 73.903 -24.2216
90.454109 73.886 -24.3157
90.820320 73.869 -24.4087
91.186531 73.853 -24.5015
91.552742 73.836 -24.5944
91.918953 73.820 -24.6874
92.285164 73.803 -24.7795
92.651375 73.786 -24.8702
93.017586 73.769 -24.9590
93.383797 73.752 -25.0460
93.750008 73.735 -25.1317
94.116219 73.718 -25.2166
94.482430 73.702 -25.3013
94.848641 73.685 -25.3859
95.214851 73.668 -25.4701
95.581062 73.651 -25.5535
95.947273 73.634 -25.6357
96.313484 73.618 -25.7164
96.679695 73.601 -25.7960
97.045906 73.584 -25.8747
97.412117 73.567 -25.9529
97.778328 73.551 -26.0309
98.144539 73.534 -26.1088
98.510750 73.518 -26.1865
98.876961 73.501 -26.2638
99.243172 73.485 -26.3405
99.609383 73.468 -26.4161
99.975594 73.451 -26.4907
100.341805 73.435 -26.5645
100.708016 73.418 -26.6373
101.074227 73.402 -26.7096
101.440438 73.385 -26.7814
101.806649 73.369 -26.8527
102.172860 73.353 -26.9233
102.539071 73.336 -26.9928
102.905282 73.319 -27.0612
103.271493 73.303 -27.1282
103.637704 73.286 -27.1940
104.003915 73.270 -27.2590
104.370126 73.254 -27.3233
104.736337 73.238 -27.3875
105.102548 73.222 -27.4517
105.468759 73.206 -27.5160
105.834970 73.190 -27.5801
106.201180 73.174 -27.6439
106.567391 73.158 -27.7070
106.933602 73.142 -27.7692
107.299813 73.126 -27.8303
107.666024 73.110 -27.8905
108.032235 73.094 -27.9501
108.398446 73.078 -28.0094
108.764657 73.062 -28.0685
109.130868 73.046 -28.1273
109.497079 73.030 -28.1855
109.863290 73.014 -28.2427
110.229501 72.998 -28.2988
110.595712 72.982 -28.3539
110.961923 72.966 -28.4085
111.328134 72.950 -28.4630
111.694345 72.934 -28.5175
112.060556 72.918 -28.5720
112.426767 72.903 -28.6262
112.792978 72.887 -28.6798
113.159189 72.871 -28.7325
113.525400 72.855 -28.7844
113.891611 72.839 -28.8354
114.257822 72.823 -28.8857
114.624033 72.807 -28.9352
114.990244 72.792 -28.9840
115.356455 72.776 -29.0326
115.722666 72.761 -29.0818
116.088877 72.746 -29.1321
116.455088 72.730 -29.1834
116.821299 72.715 -29.2349
117.187510 72.699 -29.2850
117.553720 72.683 -29.3323
117.919931 72.666 -29.3761
118.286142 72.651 -29.4172
118.652353 72.635 -29.4573
119.018564 72.620 -29.4978
119.384775 72.605 -29.5399
119.750986 72.591 -29.5833
120.117197 72.576 -29.6272
120.483408 72.560 -29.6704
120.849619 72.545 -29.7124
121.215830 72.530 -29.7532
121.582041 72.515 -29.7933
121.948252 72.500 -29.8330
122.314463 72.485 -29.8723
122.680674 72.470 -29.9113
123.046885 72.455 -29.9495
123.413096 72.440 -29.9873
123.779307 72.425 -30.0247
124.145518 72.411 -30.0619
124.511729 72.396 -30.0990
124.877940 72.382 -30.1359
125.244151 72.368 -30.1724
125.610362 72.354 -30.2086
125.976573 72.340 -30.2448
126.342784 72.326 -30.2809
126.708995 72.313 -30.3171
127.075206 72.299 -30.3531
127.441417 72.286 -30.3888
127.807628 72.272 -30.4236
128.173839 72.259 -30.4576
128.540049 72.245 -30.4910
128.906260 72.232 -30.5240
129.272471 72.218 -30.5568
129.638682 72.205 -30.5894
130.004893 72.192 -30.6215
130.371104 72.179 -30.6532
130.737315 72.165 -30.6842
131.103526 72.152 -30.7144
131.469737 72.139 -30.7440
131.835948 72.126 -30.7731
132.202159 72.113 -30.8017
132.568370 72.100 -30.8300
132.934581 72.087 -30.8580
133.300792 72.074 -30.8856
133.667003 72.061 -30.9130
134.033214 72.048 -30.9402
134.399425 72.035 -30.9674
134.765636 72.023 -30.9949
135.131847 72.010 -31.0226
135.498058 71.997 -31.0504
135.864269 71.984 -31.0781
136.230480 71.971 -31.1053
136.596691 71.958 -31.1319
136.962902 71.945 -31.1578
137.329113 71.933 -31.1833
137.695324 71.920 -31.2087
138.061535 71.907 -31.2346
138.427746 71.895 -31.2607
138.793957 71.882 -31.2872
139.160168 71.869 -31.3135
139.526379 71.856 -31.3391
139.892589 71.844 -31.3637
140.258800 71.831 -31.3870
140.625011 71.818 -31.4091
140.991222 71.805 -31.4303
141.357433 71.793 -31.4508
141.723644 71.780 -31.4708
142.089855 71.768 -31.4906
142.456066 71.756 -31.5101
142.822277 71.743 -31.5296
143.188488 71.731 -31.5493
143.554699 71.719 -31.5693
143.920910 71.707 -31.5895
144.287121 71.695 -31.6098
144.653332 71.683 -31.6298
145.019543 71.671 -31.6492
145.385754 71.659 -31.6678
