* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:11:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Green Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.564 -68.3265
0.732422 65.105 -118.5031
1.098633 66.618 -158.6372
1.464844 66.956 165.8986
1.831055 66.034 133.3787
2.197266 63.390 103.9615
2.563477 57.112 82.6383
2.929688 49.933 177.9625
3.295899 61.483 -177.5704
3.662110 65.912 162.7278
4.028321 68.001 143.6423
4.394532 68.776 128.3310
4.760743 68.806 119.0462
5.126954 68.830 116.8063
5.493164 69.583 118.0945
5.859375 70.927 117.0916
6.225586 72.199 112.5294
6.591797 73.059 106.4435
6.958008 73.518 100.9631
7.324219 73.768 97.2418
7.690430 74.043 95.0997
8.056641 74.447 93.3430
8.422852 74.899 90.9573
8.789063 75.265 87.8870
9.155274 75.486 84.7166
9.521485 75.597 82.0057
9.887696 75.675 79.8788
10.253907 75.711 78.0404
10.620118 75.735 76.1348
10.986329 75.740 74.0659
11.352540 75.705 71.9852
11.718751 75.643 70.0618
12.084962 75.579 68.3109
12.451173 75.529 66.6212
12.817384 75.539 64.9079
13.183595 75.551 63.2034
13.549806 75.555 61.5989
13.916017 75.562 60.1287
14.282228 75.582 58.7309
14.648439 75.613 57.3204
15.014650 75.638 55.8842
15.380861 75.651 54.4925
15.747072 75.657 53.2214
16.113283 75.673 52.0750
16.479493 75.711 50.9841
16.845704 75.755 49.8787
17.211915 75.793 48.7509
17.578126 75.821 47.6480
17.944337 75.842 46.6145
18.310548 75.862 45.6482
18.676759 75.886 44.7096
19.042970 75.910 43.7670
19.409181 75.930 42.8232
19.775392 75.946 41.9005
20.141603 75.962 41.0097
20.507814 75.981 40.1381
20.874025 76.001 39.2683
21.240236 76.018 38.3994
21.606447 76.033 37.5480
21.972658 76.047 36.7269
22.338869 76.062 35.9303
22.705080 76.079 35.1405
23.071291 76.096 34.3484
23.437502 76.110 33.5641
23.803713 76.121 32.8050
24.169924 76.131 32.0770
24.536135 76.143 31.3687
24.902346 76.155 30.6640
25.268557 76.166 29.9586
25.634768 76.174 29.2627
26.000979 76.180 28.5878
26.367190 76.186 27.9343
26.733401 76.191 27.2919
27.099612 76.197 26.6497
27.465823 76.202 26.0068
27.832033 76.205 25.3690
28.198244 76.207 24.7399
28.564455 76.209 24.1176
28.930666 76.210 23.4980
29.296877 76.210 22.8829
29.663088 76.209 22.2777
30.029299 76.207 21.6868
30.395510 76.207 21.1071
30.761721 76.207 20.5311
31.127932 76.208 19.9549
31.494143 76.207 19.3825
31.860354 76.205 18.8218
32.226565 76.203 18.2766
32.592776 76.202 17.7429
32.958987 76.201 17.2134
33.325198 76.200 16.6844
33.691409 76.198 16.1586
34.057620 76.194 15.6411
34.423831 76.190 15.1346
34.790042 76.186 14.6371
35.156253 76.181 14.1458
35.522464 76.176 13.6597
35.888675 76.170 13.1796
36.254886 76.164 12.7053
36.621097 76.158 12.2352
36.987308 76.152 11.7678
37.353519 76.144 11.3052
37.719730 76.136 10.8510
38.085941 76.128 10.4072
38.452152 76.120 9.9712
38.818363 76.113 9.5374
39.184573 76.106 9.1018
39.550784 76.099 8.6659
39.916995 76.090 8.2351
40.283206 76.082 7.8137
40.649417 76.074 7.4023
41.015628 76.066 6.9979
41.381839 76.059 6.5973
41.748050 76.051 6.1992
42.114261 76.043 5.8044
42.480472 76.035 5.4139
42.846683 76.027 5.0281
43.212894 76.018 4.6473
43.579105 76.009 4.2727
43.945316 75.999 3.9047
44.311527 75.990 3.5422
44.677738 75.981 3.1832
45.043949 75.972 2.8259
45.410160 75.962 2.4709
45.776371 75.952 2.1205
46.142582 75.941 1.7766
46.508793 75.931 1.4395
46.875004 75.920 1.1068
47.241215 75.910 0.7764
47.607426 75.900 0.4477
47.973637 75.889 0.1221
48.339848 75.878 -0.1993
48.706059 75.867 -0.5160
49.072270 75.856 -0.8289
49.438481 75.845 -1.1388
49.804692 75.833 -1.4453
50.170902 75.822 -1.7481
50.537113 75.810 -2.0471
50.903324 75.799 -2.3425
51.269535 75.787 -2.6348
51.635746 75.776 -2.9236
52.001957 75.764 -3.2084
52.368168 75.752 -3.4892
52.734379 75.740 -3.7665
53.100590 75.728 -4.0411
53.466801 75.716 -4.3131
53.833012 75.704 -4.5815
54.199223 75.692 -4.8458
54.565434 75.680 -5.1058
54.931645 75.667 -5.3628
55.297856 75.655 -5.6176
55.664067 75.643 -5.8707
56.030278 75.631 -6.1218
56.396489 75.618 -6.3699
56.762700 75.605 -6.6143
57.128911 75.592 -6.8542
57.495122 75.579 -7.0896
57.861333 75.566 -7.3215
58.227544 75.553 -7.5515
58.593755 75.541 -7.7817
58.959966 75.528 -8.0131
59.326177 75.515 -8.2441
59.692388 75.502 -8.4725
60.058599 75.487 -8.6955
60.424810 75.474 -8.9130
60.791021 75.460 -9.1270
61.157232 75.447 -9.3403
61.523442 75.434 -9.5544
61.889653 75.420 -9.7688
62.255864 75.406 -9.9807
62.622075 75.392 -10.1880
62.988286 75.377 -10.3896
63.354497 75.362 -10.5867
63.720708 75.348 -10.7810
64.086919 75.334 -10.9745
64.453130 75.319 -11.1681
64.819341 75.305 -11.3613
65.185552 75.290 -11.5527
65.551763 75.275 -11.7410
65.917974 75.259 -11.9255
66.284185 75.244 -12.1072
66.650396 75.230 -12.2874
67.016607 75.215 -12.4672
67.382818 75.200 -12.6468
67.749029 75.185 -12.8253
68.115240 75.169 -13.0016
68.481451 75.154 -13.1752
68.847662 75.138 -13.3462
69.213873 75.123 -13.5151
69.580084 75.107 -13.6824
69.946295 75.092 -13.8479
70.312506 75.076 -14.0114
70.678717 75.061 -14.1730
71.044928 75.046 -14.3334
71.411139 75.030 -14.4928
71.777350 75.015 -14.6510
72.143561 74.999 -14.8075
72.509771 74.984 -14.9617
72.875982 74.968 -15.1134
73.242193 74.953 -15.2628
73.608404 74.937 -15.4104
73.974615 74.922 -15.5567
74.340826 74.907 -15.7023
74.707037 74.892 -15.8477
75.073248 74.877 -15.9929
75.439459 74.861 -16.1376
75.805670 74.846 -16.2812
76.171881 74.830 -16.4228
76.538092 74.814 -16.5621
76.904303 74.799 -16.6997
77.270514 74.783 -16.8367
77.636725 74.767 -16.9735
78.002936 74.752 -17.1096
78.369147 74.736 -17.2441
78.735358 74.719 -17.3757
79.101569 74.703 -17.5042
79.467780 74.687 -17.6302
79.833991 74.672 -17.7551
80.200202 74.656 -17.8800
80.566413 74.641 -18.0051
80.932624 74.626 -18.1299
81.298835 74.610 -18.2534
81.665046 74.595 -18.3751
82.031257 74.579 -18.4955
82.397468 74.564 -18.6151
82.763679 74.549 -18.7343
83.129890 74.533 -18.8528
83.496101 74.518 -18.9698
83.862311 74.502 -19.0847
84.228522 74.487 -19.1973
84.594733 74.471 -19.3083
84.960944 74.456 -19.4189
85.327155 74.441 -19.5297
85.693366 74.426 -19.6404
86.059577 74.410 -19.7503
86.425788 74.395 -19.8585
86.791999 74.379 -19.9648
87.158210 74.364 -20.0696
87.524421 74.348 -20.1732
87.890632 74.333 -20.2759
88.256843 74.318 -20.3776
88.623054 74.302 -20.4783
88.989265 74.287 -20.5781
89.355476 74.271 -20.6774
89.721687 74.256 -20.7762
90.087898 74.241 -20.8750
90.454109 74.225 -20.9730
90.820320 74.209 -21.0699
91.186531 74.194 -21.1654
91.552742 74.178 -21.2595
91.918953 74.163 -21.3524
92.285164 74.147 -21.4448
92.651375 74.132 -21.5369
93.017586 74.117 -21.6285
93.383797 74.101 -21.7194
93.750008 74.086 -21.8090
94.116219 74.071 -21.8976
94.482430 74.055 -21.9856
94.848641 74.040 -22.0731
95.214851 74.025 -22.1603
95.581062 74.010 -22.2468
95.947273 73.995 -22.3324
96.313484 73.980 -22.4171
96.679695 73.965 -22.5010
97.045906 73.949 -22.5844
97.412117 73.934 -22.6670
97.778328 73.919 -22.7485
98.144539 73.903 -22.8286
98.510750 73.888 -22.9072
98.876961 73.873 -22.9849
99.243172 73.858 -23.0621
99.609383 73.843 -23.1395
99.975594 73.828 -23.2169
100.341805 73.813 -23.2938
100.708016 73.798 -23.3702
101.074227 73.783 -23.4460
101.440438 73.768 -23.5212
101.806649 73.753 -23.5962
102.172860 73.738 -23.6709
102.539071 73.723 -23.7449
102.905282 73.707 -23.8179
103.271493 73.692 -23.8895
103.637704 73.677 -23.9601
104.003915 73.663 -24.0303
104.370126 73.648 -24.1003
104.736337 73.633 -24.1700
105.102548 73.618 -24.2388
105.468759 73.603 -24.3060
105.834970 73.588 -24.3715
106.201180 73.573 -24.4353
106.567391 73.558 -24.4984
106.933602 73.544 -24.5616
107.299813 73.529 -24.6251
107.666024 73.514 -24.6886
108.032235 73.500 -24.7515
108.398446 73.485 -24.8132
108.764657 73.470 -24.8738
109.130868 73.455 -24.9336
109.497079 73.441 -24.9933
109.863290 73.426 -25.0532
110.229501 73.412 -25.1132
110.595712 73.397 -25.1732
110.961923 73.383 -25.2330
111.328134 73.368 -25.2926
111.694345 73.354 -25.3518
112.060556 73.339 -25.4104
112.426767 73.324 -25.4681
112.792978 73.309 -25.5245
113.159189 73.295 -25.5793
113.525400 73.280 -25.6329
113.891611 73.266 -25.6862
114.257822 73.252 -25.7397
114.624033 73.238 -25.7937
114.990244 73.224 -25.8478
115.356455 73.209 -25.9009
115.722666 73.195 -25.9523
116.088877 73.180 -26.0014
116.455088 73.166 -26.0487
116.821299 73.152 -26.0953
117.187510 73.138 -26.1426
117.553720 73.125 -26.1912
117.919931 73.111 -26.2415
118.286142 73.098 -26.2930
118.652353 73.084 -26.3451
119.018564 73.070 -26.3967
119.384775 73.055 -26.4476
119.750986 73.040 -26.4971
120.117197 73.026 -26.5448
120.483408 73.011 -26.5908
120.849619 72.996 -26.6351
121.215830 72.982 -26.6783
121.582041 72.968 -26.7208
121.948252 72.954 -26.7634
122.314463 72.940 -26.8064
122.680674 72.926 -26.8499
123.046885 72.912 -26.8936
123.413096 72.898 -26.9369
123.779307 72.884 -26.9795
124.145518 72.871 -27.0211
124.511729 72.857 -27.0619
124.877940 72.844 -27.1019
125.244151 72.831 -27.1416
125.610362 72.818 -27.1812
125.976573 72.806 -27.2207
126.342784 72.793 -27.2603
126.708995 72.781 -27.2995
127.075206 72.769 -27.3384
127.441417 72.756 -27.3769
127.807628 72.744 -27.4149
128.173839 72.731 -27.4526
128.540049 72.719 -27.4902
128.906260 72.707 -27.5276
129.272471 72.694 -27.5649
129.638682 72.682 -27.6021
130.004893 72.669 -27.6391
130.371104 72.657 -27.6758
130.737315 72.644 -27.7119
131.103526 72.632 -27.7474
131.469737 72.619 -27.7821
131.835948 72.606 -27.8158
132.202159 72.594 -27.8485
132.568370 72.581 -27.8804
132.934581 72.569 -27.9119
133.300792 72.557 -27.9434
133.667003 72.545 -27.9750
134.033214 72.533 -28.0067
134.399425 72.522 -28.0382
134.765636 72.510 -28.0694
135.131847 72.498 -28.1000
135.498058 72.486 -28.1302
135.864269 72.474 -28.1601
136.230480 72.463 -28.1898
136.596691 72.451 -28.2194
136.962902 72.439 -28.2488
137.329113 72.427 -28.2778
137.695324 72.416 -28.3063
138.061535 72.404 -28.3342
138.427746 72.392 -28.3616
138.793957 72.380 -28.3887
139.160168 72.368 -28.4155
139.526379 72.357 -28.4420
139.892589 72.345 -28.4683
140.258800 72.333 -28.4943
140.625011 72.321 -28.5201
140.991222 72.310 -28.5457
141.357433 72.298 -28.5710
141.723644 72.286 -28.5960
142.089855 72.275 -28.6205
142.456066 72.263 -28.6445
142.822277 72.251 -28.6681
143.188488 72.240 -28.6914
143.554699 72.229 -28.7148
143.920910 72.217 -28.7383
144.287121 72.206 -28.7619
144.653332 72.195 -28.7856
145.019543 72.183 -28.8094
145.385754 72.172 -28.8330
145.751965 72.161 -28.8564
