* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:11:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Green Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 55.323 -89.5809
0.732422 59.758 -137.5499
1.098633 62.181 -174.7366
1.464844 63.149 153.0033
1.831055 62.707 125.0641
2.197266 60.442 103.8968
2.563477 55.461 104.8053
2.929688 56.150 156.7252
3.295899 62.497 161.6143
3.662110 66.178 148.7428
4.028321 68.169 134.2281
4.394532 69.091 122.0380
4.760743 69.412 114.1911
5.126954 69.680 111.1712
5.493164 70.359 110.6313
5.859375 71.404 108.9949
6.225586 72.427 105.0771
6.591797 73.168 99.9634
6.958008 73.602 95.1571
7.324219 73.858 91.5839
7.690430 74.101 89.2227
8.056641 74.421 87.3010
8.422852 74.777 85.0710
8.789063 75.078 82.4045
9.155274 75.276 79.6751
9.521485 75.391 77.2970
9.887696 75.479 75.3865
10.253907 75.519 73.7402
10.620118 75.547 72.0844
10.986329 75.564 70.3212
11.352540 75.555 68.5445
11.718751 75.525 66.8812
12.084962 75.493 65.3565
12.451173 75.469 63.8979
12.817384 75.507 62.4380
13.183595 75.550 60.9856
13.549806 75.586 59.5971
13.916017 75.621 58.3003
14.282228 75.662 57.0620
14.648439 75.707 55.8299
15.014650 75.747 54.5940
15.380861 75.777 53.3952
15.747072 75.801 52.2790
16.113283 75.831 51.2462
16.479493 75.876 50.2534
16.845704 75.923 49.2573
17.211915 75.964 48.2542
17.578126 75.996 47.2735
17.944337 76.022 46.3414
18.310548 76.046 45.4532
18.676759 76.070 44.5817
19.042970 76.093 43.7061
19.409181 76.112 42.8286
19.775392 76.127 41.9644
20.141603 76.141 41.1199
20.507814 76.157 40.2863
20.874025 76.173 39.4512
21.240236 76.187 38.6145
21.606447 76.199 37.7879
21.972658 76.210 36.9800
22.338869 76.222 36.1876
22.705080 76.234 35.3991
23.071291 76.247 34.6092
23.437502 76.257 33.8260
23.803713 76.265 33.0623
24.169924 76.274 32.3229
24.536135 76.283 31.5996
24.902346 76.294 30.8807
25.268557 76.304 30.1624
25.634768 76.312 29.4514
26.000979 76.318 28.7560
26.367190 76.323 28.0774
26.733401 76.329 27.4091
27.099612 76.334 26.7446
27.465823 76.337 26.0841
27.832033 76.339 25.4326
28.198244 76.340 24.7933
28.564455 76.341 24.1635
28.930666 76.342 23.5374
29.296877 76.343 22.9119
29.663088 76.343 22.2885
30.029299 76.343 21.6708
30.395510 76.342 21.0602
30.761721 76.341 20.4551
31.127932 76.340 19.8536
31.494143 76.339 19.2573
31.860354 76.337 18.6690
32.226565 76.334 18.0901
32.592776 76.332 17.5189
32.958987 76.330 16.9529
33.325198 76.327 16.3915
33.691409 76.324 15.8367
34.057620 76.320 15.2908
34.423831 76.316 14.7538
34.790042 76.312 14.2239
35.156253 76.308 13.6992
35.522464 76.303 13.1799
35.888675 76.297 12.6669
36.254886 76.291 12.1595
36.621097 76.286 11.6560
36.987308 76.279 11.1542
37.353519 76.272 10.6549
37.719730 76.264 10.1608
38.085941 76.256 9.6743
38.452152 76.247 9.1952
38.818363 76.239 8.7209
39.184573 76.231 8.2492
39.550784 76.222 7.7795
39.916995 76.214 7.3132
40.283206 76.205 6.8516
40.649417 76.197 6.3950
41.015628 76.189 5.9435
41.381839 76.180 5.4977
41.748050 76.171 5.0587
42.114261 76.162 4.6271
42.480472 76.153 4.2011
42.846683 76.145 3.7781
43.212894 76.136 3.3565
43.579105 76.127 2.9374
43.945316 76.117 2.5237
44.311527 76.106 2.1174
44.677738 76.096 1.7186
45.043949 76.085 1.3256
45.410160 76.075 0.9364
45.776371 76.064 0.5508
46.142582 76.053 0.1693
46.508793 76.042 -0.2075
46.875004 76.030 -0.5799
47.241215 76.019 -0.9484
47.607426 76.007 -1.3135
47.973637 75.995 -1.6746
48.339848 75.982 -2.0312
48.706059 75.970 -2.3831
49.072270 75.957 -2.7305
49.438481 75.944 -3.0736
49.804692 75.932 -3.4127
50.170902 75.919 -3.7477
50.537113 75.906 -4.0789
50.903324 75.894 -4.4062
51.269535 75.881 -4.7297
51.635746 75.868 -5.0493
52.001957 75.855 -5.3645
52.368168 75.843 -5.6760
52.734379 75.830 -5.9843
53.100590 75.816 -6.2891
53.466801 75.803 -6.5895
53.833012 75.789 -6.8848
54.199223 75.776 -7.1743
54.565434 75.762 -7.4592
54.931645 75.749 -7.7411
55.297856 75.735 -8.0210
55.664067 75.722 -8.2983
56.030278 75.708 -8.5720
56.396489 75.694 -8.8411
56.762700 75.680 -9.1060
57.128911 75.666 -9.3682
57.495122 75.652 -9.6289
57.861333 75.638 -9.8882
58.227544 75.623 -10.1446
58.593755 75.608 -10.3965
58.959966 75.593 -10.6431
59.326177 75.578 -10.8847
59.692388 75.563 -11.1227
60.058599 75.549 -11.3585
60.424810 75.534 -11.5931
60.791021 75.520 -11.8264
61.157232 75.505 -12.0576
61.523442 75.490 -12.2856
61.889653 75.475 -12.5098
62.255864 75.460 -12.7305
62.622075 75.445 -12.9487
62.988286 75.429 -13.1652
63.354497 75.414 -13.3800
63.720708 75.398 -13.5925
64.086919 75.382 -13.8019
64.453130 75.365 -14.0076
64.819341 75.349 -14.2102
65.185552 75.333 -14.4105
65.551763 75.316 -14.6093
65.917974 75.300 -14.8064
66.284185 75.283 -15.0012
66.650396 75.267 -15.1931
67.016607 75.250 -15.3818
67.382818 75.233 -15.5677
67.749029 75.217 -15.7517
68.115240 75.200 -15.9344
68.481451 75.183 -16.1163
68.847662 75.166 -16.2969
69.213873 75.149 -16.4752
69.580084 75.132 -16.6505
69.946295 75.115 -16.8222
70.312506 75.098 -16.9911
70.678717 75.081 -17.1580
71.044928 75.064 -17.3235
71.411139 75.048 -17.4880
71.777350 75.031 -17.6510
72.143561 75.014 -17.8119
72.509771 74.997 -17.9708
72.875982 74.981 -18.1285
73.242193 74.964 -18.2854
73.608404 74.947 -18.4413
73.974615 74.931 -18.5956
74.340826 74.914 -18.7476
74.707037 74.897 -18.8971
75.073248 74.880 -19.0447
75.439459 74.863 -19.1913
75.805670 74.847 -19.3373
76.171881 74.830 -19.4825
76.538092 74.813 -19.6261
76.904303 74.795 -19.7675
77.270514 74.778 -19.9062
77.636725 74.761 -20.0426
78.002936 74.743 -20.1769
78.369147 74.726 -20.3093
78.735358 74.709 -20.4399
79.101569 74.692 -20.5687
79.467780 74.675 -20.6962
79.833991 74.658 -20.8229
80.200202 74.641 -20.9493
80.566413 74.624 -21.0756
80.932624 74.607 -21.2012
81.298835 74.590 -21.3255
81.665046 74.573 -21.4478
82.031257 74.556 -21.5679
82.397468 74.539 -21.6862
82.763679 74.522 -21.8032
83.129890 74.505 -21.9197
83.496101 74.488 -22.0355
83.862311 74.471 -22.1506
84.228522 74.455 -22.2643
84.594733 74.438 -22.3767
84.960944 74.421 -22.4879
85.327155 74.405 -22.5984
85.693366 74.388 -22.7086
86.059577 74.372 -22.8186
86.425788 74.355 -22.9282
86.791999 74.338 -23.0371
87.158210 74.321 -23.1447
87.524421 74.304 -23.2504
87.890632 74.287 -23.3537
88.256843 74.270 -23.4547
88.623054 74.253 -23.5537
88.989265 74.236 -23.6514
89.355476 74.219 -23.7482
89.721687 74.202 -23.8443
90.087898 74.186 -23.9396
90.454109 74.169 -24.0339
90.820320 74.152 -24.1273
91.186531 74.136 -24.2206
91.552742 74.119 -24.3141
91.918953 74.103 -24.4083
92.285164 74.086 -24.5025
92.651375 74.069 -24.5958
93.017586 74.052 -24.6874
93.383797 74.035 -24.7766
93.750008 74.018 -24.8635
94.116219 74.001 -24.9491
94.482430 73.985 -25.0338
94.848641 73.968 -25.1180
95.214851 73.952 -25.2021
95.581062 73.936 -25.2859
95.947273 73.920 -25.3694
96.313484 73.903 -25.4528
96.679695 73.887 -25.5358
97.045906 73.871 -25.6184
97.412117 73.854 -25.6998
97.778328 73.837 -25.7793
98.144539 73.821 -25.8566
98.510750 73.804 -25.9318
98.876961 73.787 -26.0059
99.243172 73.771 -26.0797
99.609383 73.755 -26.1539
99.975594 73.739 -26.2284
100.341805 73.722 -26.3027
100.708016 73.706 -26.3762
101.074227 73.689 -26.4483
101.440438 73.673 -26.5192
101.806649 73.657 -26.5892
102.172860 73.641 -26.6591
102.539071 73.624 -26.7291
102.905282 73.608 -26.7992
103.271493 73.592 -26.8688
103.637704 73.576 -26.9375
104.003915 73.559 -27.0049
104.370126 73.543 -27.0710
104.736337 73.527 -27.1360
105.102548 73.511 -27.2004
105.468759 73.495 -27.2643
105.834970 73.479 -27.3279
106.201180 73.463 -27.3910
106.567391 73.447 -27.4537
106.933602 73.432 -27.5160
107.299813 73.416 -27.5779
107.666024 73.400 -27.6394
108.032235 73.384 -27.7003
108.398446 73.368 -27.7605
108.764657 73.352 -27.8199
109.130868 73.336 -27.8788
109.497079 73.320 -27.9370
109.863290 73.305 -27.9948
110.229501 73.289 -28.0522
110.595712 73.273 -28.1093
110.961923 73.257 -28.1660
111.328134 73.242 -28.2221
111.694345 73.226 -28.2776
112.060556 73.210 -28.3325
112.426767 73.195 -28.3865
112.792978 73.179 -28.4396
113.159189 73.164 -28.4918
113.525400 73.148 -28.5433
113.891611 73.133 -28.5944
114.257822 73.118 -28.6451
114.624033 73.102 -28.6954
114.990244 73.087 -28.7451
115.356455 73.072 -28.7936
115.722666 73.056 -28.8405
116.088877 73.041 -28.8857
116.455088 73.026 -28.9299
116.821299 73.011 -28.9741
117.187510 72.996 -29.0192
117.553720 72.981 -29.0660
117.919931 72.966 -29.1143
118.286142 72.951 -29.1628
118.652353 72.936 -29.2106
119.018564 72.920 -29.2562
119.384775 72.904 -29.2996
119.750986 72.888 -29.3412
120.117197 72.873 -29.3822
120.483408 72.858 -29.4236
120.849619 72.843 -29.4661
121.215830 72.827 -29.5096
121.582041 72.812 -29.5537
121.948252 72.797 -29.5977
122.314463 72.782 -29.6410
122.680674 72.766 -29.6830
123.046885 72.751 -29.7237
123.413096 72.736 -29.7631
123.779307 72.721 -29.8013
124.145518 72.706 -29.8391
124.511729 72.692 -29.8768
124.877940 72.678 -29.9150
125.244151 72.664 -29.9536
125.610362 72.651 -29.9923
125.976573 72.637 -30.0306
126.342784 72.624 -30.0681
126.708995 72.610 -30.1044
127.075206 72.597 -30.1395
127.441417 72.583 -30.1736
127.807628 72.570 -30.2072
128.173839 72.557 -30.2401
128.540049 72.543 -30.2729
128.906260 72.530 -30.3056
129.272471 72.517 -30.3383
129.638682 72.504 -30.3712
130.004893 72.491 -30.4042
130.371104 72.478 -30.4374
130.737315 72.464 -30.4703
131.103526 72.451 -30.5028
131.469737 72.437 -30.5347
131.835948 72.424 -30.5658
132.202159 72.410 -30.5961
132.568370 72.397 -30.6257
132.934581 72.384 -30.6549
133.300792 72.371 -30.6837
133.667003 72.358 -30.7124
134.033214 72.345 -30.7410
134.399425 72.332 -30.7696
134.765636 72.319 -30.7981
135.131847 72.306 -30.8263
135.498058 72.293 -30.8542
135.864269 72.281 -30.8816
136.230480 72.268 -30.9084
136.596691 72.255 -30.9348
136.962902 72.242 -30.9607
137.329113 72.230 -30.9862
137.695324 72.217 -31.0115
138.061535 72.205 -31.0366
138.427746 72.192 -31.0614
138.793957 72.180 -31.0857
139.160168 72.167 -31.1096
139.526379 72.155 -31.1329
139.892589 72.142 -31.1558
140.258800 72.130 -31.1784
140.625011 72.117 -31.2008
140.991222 72.105 -31.2231
141.357433 72.092 -31.2452
141.723644 72.080 -31.2672
142.089855 72.068 -31.2891
142.456066 72.055 -31.3111
142.822277 72.043 -31.3332
143.188488 72.031 -31.3553
143.554699 72.018 -31.3774
143.920910 72.006 -31.3990
144.287121 71.993 -31.4202
144.653332 71.981 -31.4406
145.019543 71.969 -31.4604
145.385754 71.956 -31.4797
145.751965 71.944 -31.4985
