* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:18:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Purple Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.421 -81.6700
0.732422 65.238 -127.6214
1.098633 67.100 -163.5805
1.464844 67.487 163.9354
1.831055 66.500 133.5836
2.197266 63.757 105.9935
2.563477 57.468 87.5795
2.929688 51.239 173.1370
3.295899 61.740 -179.0657
3.662110 66.065 162.1514
4.028321 68.137 143.3055
4.394532 68.939 127.9716
4.760743 69.020 118.4285
5.126954 69.078 115.6689
5.493164 69.808 116.4707
5.859375 71.110 115.3381
6.225586 72.361 110.8629
6.591797 73.220 104.8807
6.958008 73.682 99.4406
7.324219 73.928 95.6991
7.690430 74.184 93.5386
8.056641 74.559 91.8326
8.422852 74.984 89.5637
8.789063 75.330 86.6236
9.155274 75.534 83.5575
9.521485 75.627 80.9197
9.887696 75.686 78.8542
10.253907 75.702 77.0851
10.620118 75.709 75.2558
10.986329 75.702 73.2547
11.352540 75.660 71.2197
11.718751 75.593 69.3192
12.084962 75.527 67.5778
12.451173 75.476 65.8944
12.817384 75.489 64.1877
13.183595 75.506 62.4872
13.549806 75.515 60.8833
13.916017 75.529 59.4150
14.282228 75.557 58.0279
14.648439 75.595 56.6411
15.014650 75.629 55.2390
15.380861 75.652 53.8842
15.747072 75.666 52.6479
16.113283 75.690 51.5339
16.479493 75.733 50.4779
16.845704 75.781 49.4133
17.211915 75.822 48.3311
17.578126 75.851 47.2740
17.944337 75.873 46.2829
18.310548 75.893 45.3537
18.676759 75.917 44.4477
19.042970 75.940 43.5334
19.409181 75.959 42.6113
19.775392 75.974 41.7025
20.141603 75.988 40.8178
20.507814 76.005 39.9471
20.874025 76.023 39.0765
21.240236 76.039 38.2076
21.606447 76.052 37.3571
21.972658 76.066 36.5368
22.338869 76.082 35.7392
22.705080 76.100 34.9459
23.071291 76.117 34.1487
23.437502 76.131 33.3591
23.803713 76.143 32.5970
24.169924 76.153 31.8705
24.536135 76.165 31.1685
24.902346 76.177 30.4731
25.268557 76.189 29.7764
25.634768 76.198 29.0853
26.000979 76.205 28.4106
26.367190 76.209 27.7554
26.733401 76.214 27.1130
27.099612 76.218 26.4758
27.465823 76.221 25.8420
27.832033 76.223 25.2137
28.198244 76.225 24.5904
28.564455 76.227 23.9676
28.930666 76.228 23.3420
29.296877 76.228 22.7177
29.663088 76.226 22.1034
30.029299 76.225 21.5056
30.395510 76.224 20.9210
30.761721 76.224 20.3411
31.127932 76.225 19.7603
31.494143 76.225 19.1819
31.860354 76.224 18.6140
32.226565 76.222 18.0618
32.592776 76.221 17.5227
32.958987 76.220 16.9901
33.325198 76.219 16.4603
33.691409 76.216 15.9353
34.057620 76.213 15.4191
34.423831 76.209 14.9133
34.790042 76.204 14.4158
35.156253 76.200 13.9237
35.522464 76.194 13.4364
35.888675 76.188 12.9552
36.254886 76.181 12.4805
36.621097 76.175 12.0106
36.987308 76.168 11.5432
37.353519 76.160 11.0785
37.719730 76.152 10.6189
38.085941 76.144 10.1661
38.452152 76.136 9.7190
38.818363 76.129 9.2744
39.184573 76.121 8.8311
39.550784 76.112 8.3915
39.916995 76.103 7.9594
40.283206 76.094 7.5364
40.649417 76.087 7.1208
41.015628 76.079 6.7089
41.381839 76.071 6.2994
41.748050 76.063 5.8943
42.114261 76.054 5.4965
42.480472 76.046 5.1067
42.846683 76.037 4.7226
43.212894 76.029 4.3410
43.579105 76.020 3.9607
43.945316 76.011 3.5835
44.311527 76.001 3.2119
44.677738 75.990 2.8477
45.043949 75.980 2.4905
45.410160 75.969 2.1387
45.776371 75.959 1.7911
46.142582 75.949 1.4464
46.508793 75.939 1.1035
46.875004 75.929 0.7622
47.241215 75.918 0.4232
47.607426 75.906 0.0886
47.973637 75.894 -0.2393
48.339848 75.882 -0.5600
48.706059 75.871 -0.8750
49.072270 75.859 -1.1862
49.438481 75.848 -1.4952
49.804692 75.836 -1.8018
50.170902 75.825 -2.1056
50.537113 75.813 -2.4065
50.903324 75.802 -2.7051
51.269535 75.790 -3.0014
51.635746 75.778 -3.2945
52.001957 75.766 -3.5833
52.368168 75.754 -3.8671
52.734379 75.741 -4.1463
53.100590 75.729 -4.4218
53.466801 75.717 -4.6940
53.833012 75.705 -4.9626
54.199223 75.692 -5.2275
54.565434 75.680 -5.4886
54.931645 75.668 -5.7470
55.297856 75.655 -6.0032
55.664067 75.643 -6.2571
56.030278 75.630 -6.5085
56.396489 75.617 -6.7569
56.762700 75.604 -7.0021
57.128911 75.591 -7.2443
57.495122 75.577 -7.4830
57.861333 75.563 -7.7179
58.227544 75.550 -7.9495
58.593755 75.537 -8.1794
58.959966 75.524 -8.4092
59.326177 75.510 -8.6395
59.692388 75.497 -8.8689
60.058599 75.483 -9.0953
60.424810 75.468 -9.3173
60.791021 75.454 -9.5349
61.157232 75.440 -9.7495
61.523442 75.426 -9.9625
61.889653 75.413 -10.1741
62.255864 75.399 -10.3837
62.622075 75.384 -10.5900
62.988286 75.370 -10.7927
63.354497 75.355 -10.9921
63.720708 75.341 -11.1890
64.086919 75.326 -11.3843
64.453130 75.311 -11.5781
64.819341 75.296 -11.7703
65.185552 75.281 -11.9602
65.551763 75.266 -12.1474
65.917974 75.251 -12.3318
66.284185 75.235 -12.5139
66.650396 75.220 -12.6946
67.016607 75.205 -12.8741
67.382818 75.189 -13.0526
67.749029 75.174 -13.2296
68.115240 75.158 -13.4047
68.481451 75.143 -13.5781
68.847662 75.127 -13.7498
69.213873 75.111 -13.9194
69.580084 75.095 -14.0868
69.946295 75.079 -14.2512
70.312506 75.063 -14.4129
70.678717 75.048 -14.5730
71.044928 75.033 -14.7328
71.411139 75.018 -14.8931
71.777350 75.002 -15.0537
72.143561 74.987 -15.2134
72.509771 74.971 -15.3708
72.875982 74.955 -15.5251
73.242193 74.939 -15.6765
73.608404 74.923 -15.8253
73.974615 74.907 -15.9724
74.340826 74.891 -16.1180
74.707037 74.875 -16.2628
75.073248 74.859 -16.4067
75.439459 74.844 -16.5493
75.805670 74.828 -16.6906
76.171881 74.812 -16.8303
76.538092 74.795 -16.9683
76.904303 74.779 -17.1049
77.270514 74.763 -17.2399
77.636725 74.748 -17.3737
78.002936 74.732 -17.5063
78.369147 74.716 -17.6384
78.735358 74.700 -17.7700
79.101569 74.684 -17.9011
79.467780 74.668 -18.0312
79.833991 74.652 -18.1595
80.200202 74.636 -18.2855
80.566413 74.620 -18.4089
80.932624 74.604 -18.5300
81.298835 74.589 -18.6498
81.665046 74.573 -18.7690
82.031257 74.558 -18.8879
82.397468 74.542 -19.0067
82.763679 74.527 -19.1249
83.129890 74.511 -19.2422
83.496101 74.496 -19.3581
83.862311 74.480 -19.4724
84.228522 74.464 -19.5848
84.594733 74.449 -19.6957
84.960944 74.433 -19.8054
85.327155 74.418 -19.9145
85.693366 74.403 -20.0234
86.059577 74.387 -20.1321
86.425788 74.372 -20.2400
86.791999 74.356 -20.3467
87.158210 74.340 -20.4518
87.524421 74.324 -20.5551
87.890632 74.309 -20.6567
88.256843 74.293 -20.7571
88.623054 74.277 -20.8568
88.989265 74.262 -20.9559
89.355476 74.246 -21.0549
89.721687 74.231 -21.1537
90.087898 74.215 -21.2521
90.454109 74.199 -21.3495
90.820320 74.184 -21.4459
91.186531 74.168 -21.5411
91.552742 74.152 -21.6349
91.918953 74.136 -21.7277
92.285164 74.120 -21.8197
92.651375 74.105 -21.9111
93.017586 74.089 -22.0021
93.383797 74.073 -22.0921
93.750008 74.058 -22.1809
94.116219 74.042 -22.2681
94.482430 74.026 -22.3535
94.848641 74.011 -22.4380
95.214851 73.996 -22.5220
95.581062 73.981 -22.6063
95.947273 73.965 -22.6909
96.313484 73.950 -22.7753
96.679695 73.935 -22.8588
97.045906 73.920 -22.9407
97.412117 73.904 -23.0209
97.778328 73.889 -23.0999
98.144539 73.874 -23.1783
98.510750 73.859 -23.2571
98.876961 73.844 -23.3361
99.243172 73.828 -23.4147
99.609383 73.813 -23.4926
99.975594 73.798 -23.5689
100.341805 73.782 -23.6438
100.708016 73.767 -23.7178
101.074227 73.752 -23.7916
101.440438 73.737 -23.8656
101.806649 73.722 -23.9398
102.172860 73.707 -24.0137
102.539071 73.692 -24.0866
102.905282 73.677 -24.1581
103.271493 73.661 -24.2280
103.637704 73.646 -24.2964
104.003915 73.631 -24.3638
104.370126 73.616 -24.4306
104.736337 73.601 -24.4972
105.102548 73.586 -24.5635
105.468759 73.571 -24.6296
105.834970 73.556 -24.6949
106.201180 73.541 -24.7595
106.567391 73.526 -24.8235
106.933602 73.512 -24.8871
107.299813 73.497 -24.9509
107.666024 73.482 -25.0151
108.032235 73.468 -25.0792
108.398446 73.453 -25.1426
108.764657 73.438 -25.2051
109.130868 73.423 -25.2663
109.497079 73.408 -25.3262
109.863290 73.393 -25.3853
110.229501 73.378 -25.4436
110.595712 73.364 -25.5018
110.961923 73.349 -25.5599
111.328134 73.335 -25.6181
111.694345 73.320 -25.6761
112.060556 73.306 -25.7338
112.426767 73.292 -25.7910
112.792978 73.277 -25.8475
113.159189 73.263 -25.9034
113.525400 73.248 -25.9588
113.891611 73.234 -26.0138
114.257822 73.219 -26.0683
114.624033 73.205 -26.1220
114.990244 73.190 -26.1749
115.356455 73.176 -26.2269
115.722666 73.161 -26.2783
116.088877 73.147 -26.3295
116.455088 73.132 -26.3799
116.821299 73.117 -26.4293
117.187510 73.103 -26.4770
117.553720 73.088 -26.5228
117.919931 73.074 -26.5673
118.286142 73.060 -26.6115
118.652353 73.046 -26.6564
119.018564 73.032 -26.7024
119.384775 73.018 -26.7493
119.750986 73.004 -26.7963
120.117197 72.990 -26.8423
120.483408 72.976 -26.8873
120.849619 72.962 -26.9314
121.215830 72.948 -26.9755
121.582041 72.934 -27.0200
121.948252 72.920 -27.0653
122.314463 72.906 -27.1110
122.680674 72.892 -27.1565
123.046885 72.878 -27.2009
123.413096 72.863 -27.2438
123.779307 72.849 -27.2849
124.145518 72.835 -27.3248
124.511729 72.821 -27.3640
124.877940 72.808 -27.4028
125.244151 72.794 -27.4416
125.610362 72.781 -27.4803
125.976573 72.769 -27.5189
126.342784 72.756 -27.5571
126.708995 72.743 -27.5948
127.075206 72.731 -27.6322
127.441417 72.718 -27.6691
127.807628 72.706 -27.7054
128.173839 72.694 -27.7413
128.540049 72.682 -27.7769
128.906260 72.669 -27.8121
129.272471 72.657 -27.8473
129.638682 72.645 -27.8826
130.004893 72.633 -27.9180
130.371104 72.621 -27.9533
130.737315 72.609 -27.9883
131.103526 72.596 -28.0227
131.469737 72.584 -28.0563
131.835948 72.572 -28.0892
132.202159 72.560 -28.1215
132.568370 72.548 -28.1536
132.934581 72.535 -28.1855
133.300792 72.523 -28.2174
133.667003 72.511 -28.2492
134.033214 72.499 -28.2808
134.399425 72.487 -28.3118
134.765636 72.475 -28.3423
135.131847 72.463 -28.3723
135.498058 72.451 -28.4022
135.864269 72.439 -28.4322
136.230480 72.428 -28.4623
136.596691 72.416 -28.4926
136.962902 72.404 -28.5229
137.329113 72.392 -28.5529
137.695324 72.380 -28.5824
138.061535 72.368 -28.6113
138.427746 72.357 -28.6395
138.793957 72.345 -28.6671
139.160168 72.333 -28.6942
139.526379 72.321 -28.7211
139.892589 72.309 -28.7473
140.258800 72.297 -28.7729
140.625011 72.286 -28.7975
140.991222 72.274 -28.8210
141.357433 72.262 -28.8440
141.723644 72.251 -28.8666
142.089855 72.240 -28.8893
142.456066 72.228 -28.9124
142.822277 72.217 -28.9359
143.188488 72.206 -28.9596
143.554699 72.194 -28.9830
143.920910 72.183 -29.0062
144.287121 72.172 -29.0291
144.653332 72.160 -29.0516
145.019543 72.149 -29.0743
145.385754 72.138 -29.0970
145.751965 72.126 -29.1198
