* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:19:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Purple Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.902 -38.4692
0.732422 71.675 -79.8687
1.098633 70.137 -126.6748
1.464844 69.101 -177.1273
1.831055 68.601 136.1576
2.197266 67.500 97.0861
2.563477 64.305 64.8539
2.929688 54.272 44.0888
3.295899 58.728 178.2087
3.662110 66.579 159.3226
4.028321 69.746 139.6392
4.394532 70.948 123.3170
4.760743 70.997 112.5626
5.126954 70.661 109.4297
5.493164 70.946 112.0400
5.859375 72.099 113.2270
6.225586 73.361 109.6512
6.591797 74.194 103.3112
6.958008 74.529 96.9503
7.324219 74.553 92.3936
7.690430 74.560 90.0204
8.056641 74.759 88.6393
8.422852 75.113 86.6915
8.789063 75.444 83.7230
9.155274 75.631 80.3547
9.521485 75.684 77.4100
9.887696 75.693 75.2541
10.253907 75.679 73.6396
10.620118 75.689 72.0726
10.986329 75.706 70.3087
11.352540 75.693 68.4621
11.718751 75.650 66.7489
12.084962 75.601 65.2315
12.451173 75.564 63.8021
12.817384 75.588 62.3534
13.183595 75.611 60.9066
13.549806 75.620 59.5602
13.916017 75.633 58.3508
14.282228 75.661 57.1951
14.648439 75.699 55.9789
15.014650 75.730 54.6809
15.380861 75.741 53.3937
15.747072 75.740 52.2255
16.113283 75.750 51.1935
16.479493 75.786 50.2148
16.845704 75.831 49.1971
17.211915 75.872 48.1255
17.578126 75.900 47.0621
17.944337 75.919 46.0723
18.310548 75.938 45.1635
18.676759 75.962 44.2914
19.042970 75.987 43.4138
19.409181 76.008 42.5289
19.775392 76.024 41.6607
20.141603 76.039 40.8224
20.507814 76.055 40.0005
20.874025 76.070 39.1755
21.240236 76.081 38.3482
21.606447 76.087 37.5386
21.972658 76.092 36.7596
22.338869 76.099 35.9983
22.705080 76.109 35.2273
23.071291 76.119 34.4336
23.437502 76.124 33.6321
23.803713 76.126 32.8500
24.169924 76.128 32.0992
24.536135 76.134 31.3666
24.902346 76.142 30.6308
25.268557 76.150 29.8856
25.634768 76.155 29.1448
26.000979 76.159 28.4261
26.367190 76.163 27.7336
26.733401 76.169 27.0565
27.099612 76.175 26.3832
27.465823 76.180 25.7130
27.832033 76.183 25.0543
28.198244 76.186 24.4117
28.564455 76.188 23.7803
28.930666 76.190 23.1514
29.296877 76.190 22.5234
29.663088 76.189 21.9027
30.029299 76.186 21.2959
30.395510 76.183 20.7007
30.761721 76.182 20.1074
31.127932 76.180 19.5090
31.494143 76.176 18.9080
31.860354 76.171 18.3132
32.226565 76.166 17.7308
32.592776 76.161 17.1586
32.958987 76.157 16.5898
33.325198 76.154 16.0206
33.691409 76.149 15.4540
34.057620 76.144 14.8954
34.423831 76.139 14.3469
34.790042 76.135 13.8065
35.156253 76.130 13.2717
35.522464 76.124 12.7433
35.888675 76.118 12.2239
36.254886 76.112 11.7136
36.621097 76.106 11.2094
36.987308 76.100 10.7067
37.353519 76.093 10.2053
37.719730 76.085 9.7089
38.085941 76.076 9.2215
38.452152 76.066 8.7430
38.818363 76.057 8.2697
39.184573 76.048 7.7980
39.550784 76.038 7.3280
39.916995 76.028 6.8623
40.283206 76.019 6.4027
40.649417 76.010 5.9482
41.015628 76.001 5.4963
41.381839 75.992 5.0464
41.748050 75.982 4.6006
42.114261 75.972 4.1616
42.480472 75.962 3.7301
42.846683 75.953 3.3043
43.212894 75.943 2.8824
43.579105 75.933 2.4646
43.945316 75.923 2.0521
44.311527 75.912 1.6456
44.677738 75.901 1.2443
45.043949 75.890 0.8472
45.410160 75.879 0.4548
45.776371 75.867 0.0690
46.142582 75.854 -0.3091
46.508793 75.842 -0.6814
46.875004 75.831 -1.0516
47.241215 75.819 -1.4219
47.607426 75.806 -1.7914
47.973637 75.793 -2.1565
48.339848 75.779 -2.5145
48.706059 75.766 -2.8657
49.072270 75.753 -3.2126
49.438481 75.740 -3.5574
49.804692 75.727 -3.8999
50.170902 75.713 -4.2385
50.537113 75.700 -4.5715
50.903324 75.687 -4.8989
51.269535 75.673 -5.2218
51.635746 75.660 -5.5409
52.001957 75.647 -5.8559
52.368168 75.633 -6.1664
52.734379 75.620 -6.4721
53.100590 75.606 -6.7734
53.466801 75.592 -7.0707
53.833012 75.578 -7.3641
54.199223 75.564 -7.6542
54.565434 75.551 -7.9415
54.931645 75.537 -8.2272
55.297856 75.522 -8.5109
55.664067 75.508 -8.7915
56.030278 75.493 -9.0672
56.396489 75.477 -9.3369
56.762700 75.462 -9.6011
57.128911 75.447 -9.8616
57.495122 75.433 -10.1201
57.861333 75.418 -10.3778
58.227544 75.403 -10.6342
58.593755 75.388 -10.8881
58.959966 75.373 -11.1377
59.326177 75.357 -11.3815
59.692388 75.341 -11.6191
60.058599 75.326 -11.8517
60.424810 75.311 -12.0818
60.791021 75.296 -12.3120
61.157232 75.281 -12.5432
61.523442 75.266 -12.7742
61.889653 75.250 -13.0025
62.255864 75.234 -13.2262
62.622075 75.217 -13.4449
62.988286 75.200 -13.6595
63.354497 75.184 -13.8711
63.720708 75.167 -14.0800
64.086919 75.150 -14.2861
64.453130 75.133 -14.4896
64.819341 75.116 -14.6910
65.185552 75.099 -14.8913
65.551763 75.083 -15.0906
65.917974 75.066 -15.2885
66.284185 75.049 -15.4839
66.650396 75.032 -15.6765
67.016607 75.015 -15.8660
67.382818 74.998 -16.0527
67.749029 74.980 -16.2363
68.115240 74.963 -16.4169
68.481451 74.946 -16.5948
68.847662 74.929 -16.7709
69.213873 74.912 -16.9454
69.580084 74.895 -17.1187
69.946295 74.877 -17.2902
70.312506 74.860 -17.4597
70.678717 74.843 -17.6276
71.044928 74.826 -17.7944
71.411139 74.808 -17.9604
71.777350 74.791 -18.1247
72.143561 74.773 -18.2863
72.509771 74.755 -18.4445
72.875982 74.738 -18.5996
73.242193 74.720 -18.7533
73.608404 74.703 -18.9071
73.974615 74.686 -19.0614
74.340826 74.669 -19.2153
74.707037 74.652 -19.3676
75.073248 74.634 -19.5172
75.439459 74.617 -19.6641
75.805670 74.599 -19.8088
76.171881 74.582 -19.9524
76.538092 74.564 -20.0946
76.904303 74.546 -20.2348
77.270514 74.529 -20.3722
77.636725 74.511 -20.5065
78.002936 74.493 -20.6387
78.369147 74.476 -20.7701
78.735358 74.459 -20.9022
79.101569 74.441 -21.0347
79.467780 74.423 -21.1666
79.833991 74.405 -21.2959
80.200202 74.387 -21.4214
80.566413 74.369 -21.5432
80.932624 74.352 -21.6624
81.298835 74.335 -21.7809
81.665046 74.318 -21.8999
82.031257 74.301 -22.0204
82.397468 74.285 -22.1423
82.763679 74.268 -22.2650
83.129890 74.250 -22.3872
83.496101 74.233 -22.5076
83.862311 74.215 -22.6249
84.228522 74.197 -22.7385
84.594733 74.179 -22.8493
84.960944 74.162 -22.9583
85.327155 74.144 -23.0665
85.693366 74.127 -23.1741
86.059577 74.110 -23.2800
86.425788 74.092 -23.3836
86.791999 74.075 -23.4845
87.158210 74.058 -23.5839
87.524421 74.041 -23.6832
87.890632 74.024 -23.7838
88.256843 74.008 -23.8860
88.623054 73.991 -23.9883
88.989265 73.973 -24.0891
89.355476 73.956 -24.1869
89.721687 73.938 -24.2814
90.087898 73.921 -24.3735
90.454109 73.905 -24.4652
90.820320 73.888 -24.5577
91.186531 73.871 -24.6515
91.552742 73.855 -24.7461
91.918953 73.838 -24.8403
92.285164 73.821 -24.9332
92.651375 73.804 -25.0246
93.017586 73.787 -25.1144
93.383797 73.770 -25.2031
93.750008 73.753 -25.2909
94.116219 73.736 -25.3777
94.482430 73.719 -25.4636
94.848641 73.702 -25.5488
95.214851 73.685 -25.6335
95.581062 73.668 -25.7177
95.947273 73.652 -25.8013
96.313484 73.635 -25.8843
96.679695 73.618 -25.9664
97.045906 73.601 -26.0476
97.412117 73.584 -26.1276
97.778328 73.567 -26.2065
98.144539 73.551 -26.2845
98.510750 73.534 -26.3618
98.876961 73.517 -26.4386
99.243172 73.500 -26.5146
99.609383 73.483 -26.5899
99.975594 73.467 -26.6641
100.341805 73.450 -26.7371
100.708016 73.433 -26.8087
101.074227 73.416 -26.8794
101.440438 73.400 -26.9492
101.806649 73.383 -27.0186
102.172860 73.367 -27.0878
102.539071 73.351 -27.1570
102.905282 73.334 -27.2264
103.271493 73.318 -27.2956
103.637704 73.302 -27.3642
104.003915 73.285 -27.4318
104.370126 73.269 -27.4979
104.736337 73.252 -27.5627
105.102548 73.236 -27.6266
105.468759 73.220 -27.6898
105.834970 73.204 -27.7526
106.201180 73.187 -27.8148
106.567391 73.171 -27.8763
106.933602 73.155 -27.9368
107.299813 73.139 -27.9965
107.666024 73.123 -28.0555
108.032235 73.107 -28.1141
108.398446 73.091 -28.1724
108.764657 73.075 -28.2305
109.130868 73.059 -28.2882
109.497079 73.043 -28.3452
109.863290 73.027 -28.4015
110.229501 73.011 -28.4568
110.595712 72.995 -28.5114
110.961923 72.979 -28.5654
111.328134 72.963 -28.6195
111.694345 72.948 -28.6740
112.060556 72.932 -28.7289
112.426767 72.917 -28.7845
112.792978 72.901 -28.8403
113.159189 72.885 -28.8960
113.525400 72.869 -28.9509
113.891611 72.853 -29.0045
114.257822 72.837 -29.0565
114.624033 72.821 -29.1069
114.990244 72.806 -29.1559
115.356455 72.790 -29.2042
115.722666 72.775 -29.2523
116.088877 72.759 -29.3010
116.455088 72.744 -29.3505
116.821299 72.729 -29.4000
117.187510 72.713 -29.4489
117.553720 72.697 -29.4958
117.919931 72.681 -29.5399
118.286142 72.665 -29.5813
118.652353 72.649 -29.6204
119.018564 72.633 -29.6584
119.384775 72.618 -29.6963
119.750986 72.603 -29.7349
120.117197 72.589 -29.7742
120.483408 72.574 -29.8143
120.849619 72.559 -29.8549
121.215830 72.544 -29.8955
121.582041 72.530 -29.9361
121.948252 72.515 -29.9767
122.314463 72.500 -30.0172
122.680674 72.485 -30.0578
123.046885 72.470 -30.0984
123.413096 72.456 -30.1389
123.779307 72.441 -30.1796
124.145518 72.426 -30.2201
124.511729 72.411 -30.2604
124.877940 72.397 -30.3000
125.244151 72.382 -30.3387
125.610362 72.368 -30.3763
125.976573 72.354 -30.4127
126.342784 72.340 -30.4482
126.708995 72.326 -30.4830
127.075206 72.312 -30.5173
127.441417 72.299 -30.5513
127.807628 72.285 -30.5849
128.173839 72.272 -30.6182
128.540049 72.259 -30.6511
128.906260 72.245 -30.6836
129.272471 72.232 -30.7156
129.638682 72.219 -30.7472
130.004893 72.206 -30.7781
130.371104 72.192 -30.8081
130.737315 72.179 -30.8373
131.103526 72.166 -30.8657
131.469737 72.153 -30.8937
131.835948 72.140 -30.9216
132.202159 72.127 -30.9496
132.568370 72.115 -30.9779
132.934581 72.102 -31.0066
133.300792 72.089 -31.0354
133.667003 72.076 -31.0641
134.033214 72.063 -31.0924
134.399425 72.050 -31.1202
134.765636 72.036 -31.1475
135.131847 72.023 -31.1742
135.498058 72.010 -31.2003
135.864269 71.997 -31.2260
136.230480 71.984 -31.2515
136.596691 71.971 -31.2770
136.962902 71.959 -31.3027
137.329113 71.946 -31.3286
137.695324 71.933 -31.3546
138.061535 71.921 -31.3804
138.427746 71.908 -31.4055
138.793957 71.895 -31.4298
139.160168 71.883 -31.4534
139.526379 71.870 -31.4763
139.892589 71.858 -31.4990
140.258800 71.846 -31.5219
140.625011 71.833 -31.5449
140.991222 71.821 -31.5682
141.357433 71.809 -31.5913
141.723644 71.796 -31.6139
142.089855 71.784 -31.6359
142.456066 71.772 -31.6569
142.822277 71.759 -31.6772
143.188488 71.747 -31.6967
143.554699 71.734 -31.7156
143.920910 71.722 -31.7339
144.287121 71.710 -31.7518
144.653332 71.697 -31.7695
145.019543 71.685 -31.7871
145.385754 71.673 -31.8049
