* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:13:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Red Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.073 -73.6039
0.732422 65.170 -122.5999
1.098633 66.870 -161.1100
1.464844 67.261 164.6841
1.831055 66.343 133.1697
2.197266 63.695 104.7652
2.563477 57.499 85.4099
2.929688 50.943 172.5623
3.295899 61.782 -179.5492
3.662110 66.172 161.6460
4.028321 68.265 142.9142
4.394532 69.065 127.7418
4.760743 69.131 118.4008
5.126954 69.175 115.8877
5.493164 69.908 116.8917
5.859375 71.215 115.8315
6.225586 72.465 111.3515
6.591797 73.318 105.3526
6.958008 73.776 99.9097
7.324219 74.022 96.1759
7.690430 74.285 94.0099
8.056641 74.671 92.2636
8.422852 75.106 89.9273
8.789063 75.460 86.9173
9.155274 75.672 83.7941
9.521485 75.773 81.1126
9.887696 75.841 79.0079
10.253907 75.866 77.1973
10.620118 75.881 75.3265
10.986329 75.878 73.2923
11.352540 75.838 71.2388
11.718751 75.773 69.3347
12.084962 75.706 67.5988
12.451173 75.654 65.9234
12.817384 75.665 64.2238
13.183595 75.678 62.5300
13.549806 75.683 60.9328
13.916017 75.691 59.4704
14.282228 75.714 58.0856
14.648439 75.746 56.6946
15.014650 75.775 55.2809
15.380861 75.793 53.9087
15.747072 75.802 52.6505
16.113283 75.821 51.5113
16.479493 75.861 50.4279
16.845704 75.905 49.3352
17.211915 75.943 48.2269
17.578126 75.970 47.1481
17.944337 75.991 46.1393
18.310548 76.012 45.1950
18.676759 76.036 44.2742
19.042970 76.060 43.3452
19.409181 76.080 42.4108
19.775392 76.095 41.4947
20.141603 76.110 40.6088
20.507814 76.128 39.7419
20.874025 76.146 38.8776
21.240236 76.162 38.0153
21.606447 76.176 37.1709
21.972658 76.190 36.3561
22.338869 76.205 35.5636
22.705080 76.223 34.7747
23.071291 76.240 33.9809
23.437502 76.253 33.1940
23.803713 76.263 32.4341
24.169924 76.273 31.7091
24.536135 76.284 31.0074
24.902346 76.296 30.3104
25.268557 76.308 29.6106
25.634768 76.316 28.9156
26.000979 76.323 28.2372
26.367190 76.327 27.5782
26.733401 76.332 26.9313
27.099612 76.337 26.2883
27.465823 76.340 25.6488
27.832033 76.341 25.0178
28.198244 76.343 24.3973
28.564455 76.344 23.7827
28.930666 76.346 23.1683
29.296877 76.347 22.5533
29.663088 76.347 21.9441
30.029299 76.345 21.3465
30.395510 76.344 20.7610
30.761721 76.344 20.1825
31.127932 76.344 19.6078
31.494143 76.343 19.0389
31.860354 76.342 18.4800
32.226565 76.340 17.9326
32.592776 76.339 17.3925
32.958987 76.338 16.8549
33.325198 76.336 16.3204
33.691409 76.332 15.7947
34.057620 76.327 15.2833
34.423831 76.322 14.7856
34.790042 76.318 14.2957
35.156253 76.314 13.8075
35.522464 76.309 13.3196
35.888675 76.303 12.8358
36.254886 76.297 12.3594
36.621097 76.290 11.8907
36.987308 76.283 11.4272
37.353519 76.276 10.9672
37.719730 76.268 10.5110
38.085941 76.261 10.0597
38.452152 76.253 9.6133
38.818363 76.245 9.1703
39.184573 76.237 8.7303
39.550784 76.228 8.2955
39.916995 76.219 7.8688
40.283206 76.211 7.4513
40.649417 76.203 7.0410
41.015628 76.196 6.6343
41.381839 76.188 6.2291
41.748050 76.181 5.8264
42.114261 76.173 5.4282
42.480472 76.164 5.0361
42.846683 76.155 4.6500
43.212894 76.146 4.2695
43.579105 76.136 3.8944
43.945316 76.127 3.5248
44.311527 76.117 3.1601
44.677738 76.108 2.7993
45.043949 76.098 2.4418
45.410160 76.088 2.0884
45.776371 76.077 1.7406
46.142582 76.066 1.3992
46.508793 76.056 1.0626
46.875004 76.045 0.7288
47.241215 76.035 0.3967
47.607426 76.024 0.0677
47.973637 76.013 -0.2560
48.339848 76.001 -0.5739
48.706059 75.990 -0.8872
49.072270 75.979 -1.1987
49.438481 75.968 -1.5095
49.804692 75.956 -1.8182
50.170902 75.944 -2.1226
50.537113 75.932 -2.4212
50.903324 75.920 -2.7144
51.269535 75.908 -3.0036
51.635746 75.897 -3.2902
52.001957 75.885 -3.5747
52.368168 75.874 -3.8574
52.734379 75.862 -4.1381
53.100590 75.850 -4.4169
53.466801 75.838 -4.6930
53.833012 75.825 -4.9647
54.199223 75.813 -5.2306
54.565434 75.800 -5.4902
54.931645 75.787 -5.7446
55.297856 75.775 -5.9956
55.664067 75.763 -6.2446
56.030278 75.750 -6.4921
56.396489 75.738 -6.7379
56.762700 75.726 -6.9815
57.128911 75.713 -7.2226
57.495122 75.700 -7.4607
57.861333 75.687 -7.6961
58.227544 75.674 -7.9290
58.593755 75.660 -8.1599
58.959966 75.647 -8.3892
59.326177 75.633 -8.6166
59.692388 75.619 -8.8411
60.058599 75.605 -9.0623
60.424810 75.591 -9.2800
60.791021 75.578 -9.4949
61.157232 75.564 -9.7078
61.523442 75.550 -9.9189
61.889653 75.537 -10.1285
62.255864 75.523 -10.3364
62.622075 75.509 -10.5427
62.988286 75.495 -10.7471
63.354497 75.481 -10.9491
63.720708 75.466 -11.1478
64.086919 75.450 -11.3429
64.453130 75.435 -11.5344
64.819341 75.420 -11.7236
65.185552 75.406 -11.9112
65.551763 75.391 -12.0975
65.917974 75.375 -12.2820
66.284185 75.360 -12.4639
66.650396 75.345 -12.6431
67.016607 75.329 -12.8203
67.382818 75.314 -12.9962
67.749029 75.299 -13.1713
68.115240 75.284 -13.3453
68.481451 75.268 -13.5179
68.847662 75.253 -13.6892
69.213873 75.237 -13.8591
69.580084 75.221 -14.0275
69.946295 75.206 -14.1940
70.312506 75.190 -14.3582
70.678717 75.174 -14.5200
71.044928 75.159 -14.6799
71.411139 75.143 -14.8385
71.777350 75.128 -14.9962
72.143561 75.112 -15.1534
72.509771 75.097 -15.3096
72.875982 75.081 -15.4642
73.242193 75.066 -15.6168
73.608404 75.050 -15.7673
73.974615 75.034 -15.9159
74.340826 75.018 -16.0628
74.707037 75.003 -16.2080
75.073248 74.987 -16.3514
75.439459 74.971 -16.4923
75.805670 74.955 -16.6307
76.171881 74.939 -16.7670
76.538092 74.923 -16.9017
76.904303 74.908 -17.0361
77.270514 74.892 -17.1708
77.636725 74.877 -17.3057
78.002936 74.861 -17.4403
78.369147 74.845 -17.5741
78.735358 74.829 -17.7063
79.101569 74.813 -17.8365
79.467780 74.796 -17.9642
79.833991 74.780 -18.0892
80.200202 74.764 -18.2119
80.566413 74.749 -18.3333
80.932624 74.733 -18.4543
81.298835 74.718 -18.5760
81.665046 74.703 -18.6981
82.031257 74.687 -18.8196
82.397468 74.671 -18.9397
82.763679 74.656 -19.0575
83.129890 74.640 -19.1733
83.496101 74.625 -19.2880
83.862311 74.609 -19.4019
84.228522 74.594 -19.5154
84.594733 74.579 -19.6283
84.960944 74.563 -19.7401
85.327155 74.548 -19.8502
85.693366 74.532 -19.9585
86.059577 74.516 -20.0651
86.425788 74.501 -20.1706
86.791999 74.486 -20.2753
87.158210 74.470 -20.3794
87.524421 74.455 -20.4830
87.890632 74.440 -20.5859
88.256843 74.424 -20.6880
88.623054 74.409 -20.7895
88.989265 74.393 -20.8903
89.355476 74.378 -20.9905
89.721687 74.362 -21.0898
90.087898 74.347 -21.1882
90.454109 74.331 -21.2855
90.820320 74.316 -21.3818
91.186531 74.300 -21.4775
91.552742 74.284 -21.5725
91.918953 74.269 -21.6667
92.285164 74.253 -21.7599
92.651375 74.238 -21.8522
93.017586 74.222 -21.9431
93.383797 74.206 -22.0330
93.750008 74.191 -22.1216
94.116219 74.176 -22.2089
94.482430 74.160 -22.2952
94.848641 74.145 -22.3807
95.214851 74.130 -22.4661
95.581062 74.115 -22.5515
95.947273 74.100 -22.6371
96.313484 74.085 -22.7220
96.679695 74.069 -22.8058
97.045906 74.054 -22.8879
97.412117 74.038 -22.9684
97.778328 74.023 -23.0476
98.144539 74.008 -23.1263
98.510750 73.993 -23.2047
98.876961 73.978 -23.2827
99.243172 73.962 -23.3603
99.609383 73.947 -23.4372
99.975594 73.932 -23.5133
100.341805 73.917 -23.5887
100.708016 73.901 -23.6635
101.074227 73.886 -23.7375
101.440438 73.871 -23.8105
101.806649 73.855 -23.8826
102.172860 73.840 -23.9537
102.539071 73.825 -24.0240
102.905282 73.810 -24.0938
103.271493 73.795 -24.1630
103.637704 73.780 -24.2319
104.003915 73.765 -24.3005
104.370126 73.750 -24.3691
104.736337 73.735 -24.4374
105.102548 73.720 -24.5052
105.468759 73.705 -24.5725
105.834970 73.690 -24.6385
106.201180 73.675 -24.7035
106.567391 73.660 -24.7676
106.933602 73.646 -24.8313
107.299813 73.631 -24.8951
107.666024 73.616 -24.9592
108.032235 73.602 -25.0236
108.398446 73.587 -25.0875
108.764657 73.572 -25.1508
109.130868 73.557 -25.2130
109.497079 73.542 -25.2739
109.863290 73.527 -25.3336
110.229501 73.512 -25.3917
110.595712 73.497 -25.4487
110.961923 73.482 -25.5051
111.328134 73.468 -25.5615
111.694345 73.453 -25.6184
112.060556 73.439 -25.6757
112.426767 73.424 -25.7326
112.792978 73.409 -25.7885
113.159189 73.395 -25.8427
113.525400 73.380 -25.8950
113.891611 73.365 -25.9463
114.257822 73.351 -25.9977
114.624033 73.337 -26.0498
114.990244 73.323 -26.1030
115.356455 73.309 -26.1567
115.722666 73.295 -26.2104
116.088877 73.281 -26.2635
116.455088 73.267 -26.3162
116.821299 73.252 -26.3685
117.187510 73.238 -26.4208
117.553720 73.224 -26.4727
117.919931 73.209 -26.5234
118.286142 73.195 -26.5721
118.652353 73.180 -26.6183
119.018564 73.166 -26.6622
119.384775 73.152 -26.7051
119.750986 73.138 -26.7483
120.117197 73.124 -26.7926
120.483408 73.111 -26.8385
120.849619 73.097 -26.8856
121.215830 73.083 -26.9331
121.582041 73.069 -26.9801
121.948252 73.055 -27.0261
122.314463 73.041 -27.0709
122.680674 73.026 -27.1143
123.046885 73.012 -27.1564
123.413096 72.997 -27.1975
123.779307 72.983 -27.2377
124.145518 72.969 -27.2772
124.511729 72.955 -27.3162
124.877940 72.942 -27.3549
125.244151 72.928 -27.3932
125.610362 72.915 -27.4314
125.976573 72.902 -27.4695
126.342784 72.890 -27.5075
126.708995 72.877 -27.5454
127.075206 72.865 -27.5832
127.441417 72.852 -27.6208
127.807628 72.840 -27.6581
128.173839 72.827 -27.6951
128.540049 72.815 -27.7318
128.906260 72.803 -27.7684
129.272471 72.791 -27.8049
129.638682 72.779 -27.8416
130.004893 72.766 -27.8781
130.371104 72.754 -27.9142
130.737315 72.742 -27.9495
131.103526 72.729 -27.9838
131.469737 72.717 -28.0168
131.835948 72.705 -28.0491
132.202159 72.692 -28.0808
132.568370 72.680 -28.1121
132.934581 72.669 -28.1434
133.300792 72.657 -28.1749
133.667003 72.645 -28.2065
134.033214 72.633 -28.2387
134.399425 72.622 -28.2712
134.765636 72.610 -28.3041
135.131847 72.598 -28.3369
135.498058 72.586 -28.3693
135.864269 72.574 -28.4008
136.230480 72.562 -28.4310
136.596691 72.550 -28.4603
136.962902 72.538 -28.4887
137.329113 72.526 -28.5165
137.695324 72.514 -28.5439
138.061535 72.502 -28.5709
138.427746 72.490 -28.5974
138.793957 72.478 -28.6234
139.160168 72.466 -28.6490
139.526379 72.454 -28.6743
139.892589 72.443 -28.6997
140.258800 72.431 -28.7252
140.625011 72.419 -28.7507
140.991222 72.408 -28.7762
141.357433 72.396 -28.8015
141.723644 72.384 -28.8262
142.089855 72.373 -28.8506
142.456066 72.361 -28.8748
142.822277 72.349 -28.8988
143.188488 72.338 -28.9230
143.554699 72.326 -28.9471
143.920910 72.315 -28.9712
144.287121 72.303 -28.9951
144.653332 72.292 -29.0188
145.019543 72.280 -29.0420
145.385754 72.269 -29.0647
145.751965 72.257 -29.0867
