* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 25, 2023 10:13:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Red f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.434 -38.3049
0.732422 71.151 -79.6820
1.098633 69.542 -126.8491
1.464844 68.492 -178.0041
1.831055 68.041 134.8976
2.197266 66.955 95.8974
2.563477 63.659 64.0186
2.929688 52.798 45.8499
3.295899 59.154 177.3821
3.662110 66.580 158.4718
4.028321 69.631 138.9849
4.394532 70.773 122.9127
4.760743 70.790 112.5119
5.126954 70.461 109.8167
5.493164 70.801 112.6674
5.859375 71.999 113.7645
6.225586 73.273 110.0596
6.591797 74.105 103.7025
6.958008 74.446 97.4283
7.324219 74.491 92.9971
7.690430 74.535 90.6849
8.056641 74.773 89.2367
8.422852 75.152 87.1481
8.789063 75.493 84.0598
9.155274 75.685 80.6312
9.521485 75.746 77.6667
9.887696 75.767 75.4872
10.253907 75.765 73.8132
10.620118 75.781 72.1587
10.986329 75.797 70.3149
11.352540 75.778 68.4248
11.718751 75.729 66.7048
12.084962 75.678 65.1902
12.451173 75.643 63.7396
12.817384 75.667 62.2335
13.183595 75.683 60.7131
13.549806 75.681 59.3139
13.916017 75.682 58.0959
14.282228 75.704 56.9615
14.648439 75.745 55.7497
15.014650 75.781 54.4005
15.380861 75.793 53.0111
15.747072 75.784 51.7418
16.113283 75.779 50.6726
16.479493 75.805 49.7381
16.845704 75.856 48.7911
17.211915 75.915 47.7274
17.578126 75.961 46.5612
17.944337 75.982 45.4012
18.310548 75.984 44.3706
18.676759 75.983 43.5280
19.042970 75.998 42.8263
19.409181 76.037 42.1325
19.775392 76.092 41.3048
20.141603 76.139 40.2899
20.507814 76.155 39.1769
20.874025 76.132 38.1603
21.240236 76.091 37.4159
21.606447 76.071 36.9540
21.972658 76.100 36.5670
22.338869 76.171 35.9550
22.705080 76.243 34.9563
23.071291 76.268 33.6808
23.437502 76.228 32.4468
23.803713 76.147 31.5759
24.169924 76.079 31.1706
24.536135 76.074 31.0198
24.902346 76.139 30.7354
25.268557 76.235 30.0337
25.634768 76.308 28.9157
26.000979 76.321 27.6287
26.367190 76.276 26.4915
26.733401 76.203 25.7156
27.099612 76.146 25.3033
27.465823 76.134 25.0709
27.832033 76.166 24.7769
28.198244 76.220 24.2651
28.564455 76.267 23.5272
28.930666 76.288 22.6700
29.296877 76.281 21.8351
29.663088 76.256 21.1243
30.029299 76.231 20.5591
30.395510 76.218 20.0865
30.761721 76.222 19.6193
31.127932 76.237 19.0844
31.494143 76.253 18.4524
31.860354 76.261 17.7390
32.226565 76.255 16.9878
32.592776 76.235 16.2509
32.958987 76.201 15.5771
33.325198 76.161 15.0042
33.691409 76.122 14.5490
34.057620 76.092 14.2013
34.423831 76.078 13.9217
34.790042 76.083 13.6531
35.156253 76.105 13.3398
35.522464 76.137 12.9442
35.888675 76.173 12.4519
36.254886 76.206 11.8685
36.621097 76.230 11.2134
36.987308 76.244 10.5154
37.353519 76.244 9.8087
37.719730 76.232 9.1261
38.085941 76.211 8.4917
38.452152 76.184 7.9164
38.818363 76.156 7.3989
39.184573 76.129 6.9308
39.550784 76.104 6.5020
39.916995 76.084 6.1010
40.283206 76.070 5.7134
40.649417 76.061 5.3231
41.015628 76.056 4.9155
41.381839 76.054 4.4827
41.748050 76.052 4.0237
42.114261 76.050 3.5422
42.480472 76.047 3.0421
42.846683 76.042 2.5264
43.212894 76.034 1.9999
43.579105 76.023 1.4702
43.945316 76.008 0.9474
44.311527 75.990 0.4409
44.677738 75.970 -0.0431
45.043949 75.947 -0.5009
45.410160 75.924 -0.9292
45.776371 75.899 -1.3251
46.142582 75.874 -1.6865
46.508793 75.850 -2.0144
46.875004 75.827 -2.3127
47.241215 75.806 -2.5864
47.607426 75.786 -2.8396
47.973637 75.766 -3.0753
48.339848 75.748 -3.2966
48.706059 75.730 -3.5076
49.072270 75.713 -3.7128
49.438481 75.695 -3.9165
49.804692 75.678 -4.1217
50.170902 75.660 -4.3311
50.537113 75.642 -4.5470
50.903324 75.622 -4.7719
51.269535 75.602 -5.0071
51.635746 75.580 -5.2530
52.001957 75.558 -5.5090
52.368168 75.535 -5.7758
52.734379 75.512 -6.0544
53.100590 75.489 -6.3459
53.466801 75.466 -6.6497
53.833012 75.444 -6.9636
54.199223 75.422 -7.2858
54.565434 75.403 -7.6152
54.931645 75.385 -7.9517
55.297856 75.369 -8.2948
55.664067 75.355 -8.6426
56.030278 75.343 -8.9916
56.396489 75.332 -9.3383
56.762700 75.324 -9.6797
57.128911 75.317 -10.0137
57.495122 75.311 -10.3383
57.861333 75.307 -10.6522
58.227544 75.305 -10.9545
58.593755 75.303 -11.2449
58.959966 75.302 -11.5234
59.326177 75.301 -11.7893
59.692388 75.299 -12.0411
60.058599 75.296 -12.2770
60.424810 75.293 -12.4966
60.791021 75.289 -12.7008
61.157232 75.284 -12.8923
61.523442 75.278 -13.0739
61.889653 75.271 -13.2481
62.255864 75.263 -13.4172
62.622075 75.253 -13.5833
62.988286 75.242 -13.7474
63.354497 75.228 -13.9098
63.720708 75.212 -14.0702
64.086919 75.195 -14.2286
64.453130 75.177 -14.3861
64.819341 75.159 -14.5449
65.185552 75.139 -14.7070
65.551763 75.119 -14.8733
65.917974 75.099 -15.0432
66.284185 75.078 -15.2156
66.650396 75.057 -15.3903
67.016607 75.036 -15.5677
67.382818 75.015 -15.7488
67.749029 74.995 -15.9340
68.115240 74.975 -16.1224
68.481451 74.956 -16.3130
68.847662 74.937 -16.5042
69.213873 74.918 -16.6946
69.580084 74.900 -16.8834
69.946295 74.882 -17.0698
70.312506 74.865 -17.2537
70.678717 74.849 -17.4347
71.044928 74.833 -17.6126
71.411139 74.818 -17.7871
71.777350 74.802 -17.9574
72.143561 74.787 -18.1229
72.509771 74.772 -18.2834
72.875982 74.757 -18.4388
73.242193 74.742 -18.5895
73.608404 74.727 -18.7357
73.974615 74.711 -18.8781
74.340826 74.696 -19.0175
74.707037 74.680 -19.1548
75.073248 74.664 -19.2907
75.439459 74.647 -19.4252
75.805670 74.630 -19.5579
76.171881 74.612 -19.6886
76.538092 74.594 -19.8179
76.904303 74.576 -19.9470
77.270514 74.558 -20.0773
77.636725 74.540 -20.2094
78.002936 74.522 -20.3429
78.369147 74.503 -20.4772
78.735358 74.485 -20.6118
79.101569 74.467 -20.7461
79.467780 74.449 -20.8802
79.833991 74.431 -21.0144
80.200202 74.414 -21.1481
80.566413 74.397 -21.2812
80.932624 74.381 -21.4136
81.298835 74.364 -21.5449
81.665046 74.348 -21.6750
82.031257 74.332 -21.8030
82.397468 74.316 -21.9281
82.763679 74.300 -22.0496
83.129890 74.284 -22.1670
83.496101 74.268 -22.2808
83.862311 74.252 -22.3916
84.228522 74.236 -22.5001
84.594733 74.219 -22.6069
84.960944 74.203 -22.7120
85.327155 74.187 -22.8157
85.693366 74.170 -22.9182
86.059577 74.153 -23.0201
86.425788 74.137 -23.1223
86.791999 74.120 -23.2253
87.158210 74.102 -23.3290
87.524421 74.085 -23.4327
87.890632 74.067 -23.5353
88.256843 74.049 -23.6361
88.623054 74.032 -23.7358
88.989265 74.014 -23.8352
89.355476 73.997 -23.9352
89.721687 73.980 -24.0359
90.087898 73.963 -24.1366
90.454109 73.946 -24.2360
90.820320 73.928 -24.3329
91.186531 73.911 -24.4272
91.552742 73.894 -24.5187
91.918953 73.877 -24.6080
92.285164 73.860 -24.6954
92.651375 73.843 -24.7815
93.017586 73.826 -24.8667
93.383797 73.810 -24.9515
93.750008 73.793 -25.0364
94.116219 73.777 -25.1215
94.482430 73.760 -25.2065
94.848641 73.742 -25.2913
95.214851 73.725 -25.3748
95.581062 73.707 -25.4567
95.947273 73.689 -25.5367
96.313484 73.672 -25.6155
96.679695 73.654 -25.6937
97.045906 73.637 -25.7723
97.412117 73.620 -25.8516
97.778328 73.603 -25.9313
98.144539 73.585 -26.0106
98.510750 73.568 -26.0886
98.876961 73.551 -26.1651
99.243172 73.534 -26.2399
99.609383 73.517 -26.3134
99.975594 73.501 -26.3860
100.341805 73.484 -26.4581
100.708016 73.468 -26.5298
101.074227 73.451 -26.6010
101.440438 73.435 -26.6714
101.806649 73.418 -26.7410
102.172860 73.402 -26.8096
102.539071 73.385 -26.8771
102.905282 73.368 -26.9434
103.271493 73.351 -27.0083
103.637704 73.334 -27.0720
104.003915 73.317 -27.1346
104.370126 73.300 -27.1970
104.736337 73.283 -27.2594
105.102548 73.267 -27.3223
105.468759 73.250 -27.3856
105.834970 73.233 -27.4491
106.201180 73.217 -27.5123
106.567391 73.200 -27.5751
106.933602 73.183 -27.6375
107.299813 73.167 -27.6995
107.666024 73.151 -27.7611
108.032235 73.134 -27.8221
108.398446 73.118 -27.8824
108.764657 73.102 -27.9419
109.130868 73.086 -28.0005
109.497079 73.070 -28.0585
109.863290 73.054 -28.1158
110.229501 73.039 -28.1725
110.595712 73.023 -28.2281
110.961923 73.007 -28.2828
111.328134 72.991 -28.3365
111.694345 72.976 -28.3896
112.060556 72.960 -28.4423
112.426767 72.944 -28.4948
112.792978 72.929 -28.5469
113.159189 72.913 -28.5980
113.525400 72.897 -28.6478
113.891611 72.881 -28.6962
114.257822 72.865 -28.7437
114.624033 72.849 -28.7911
114.990244 72.834 -28.8394
115.356455 72.819 -28.8889
115.722666 72.803 -28.9391
116.088877 72.787 -28.9890
116.455088 72.771 -29.0377
116.821299 72.756 -29.0846
117.187510 72.740 -29.1301
117.553720 72.725 -29.1752
117.919931 72.710 -29.2207
118.286142 72.695 -29.2674
118.652353 72.680 -29.3151
119.018564 72.665 -29.3631
119.384775 72.650 -29.4106
119.750986 72.635 -29.4571
120.117197 72.620 -29.5022
120.483408 72.605 -29.5463
120.849619 72.590 -29.5896
121.215830 72.576 -29.6327
121.582041 72.561 -29.6754
121.948252 72.546 -29.7178
122.314463 72.531 -29.7597
122.680674 72.517 -29.8009
123.046885 72.502 -29.8413
123.413096 72.487 -29.8809
123.779307 72.473 -29.9196
124.145518 72.458 -29.9575
124.511729 72.444 -29.9947
124.877940 72.430 -30.0312
125.244151 72.416 -30.0673
125.610362 72.402 -30.1033
125.976573 72.388 -30.1393
126.342784 72.375 -30.1755
126.708995 72.362 -30.2119
127.075206 72.348 -30.2483
127.441417 72.335 -30.2844
127.807628 72.322 -30.3198
128.173839 72.308 -30.3544
128.540049 72.295 -30.3881
128.906260 72.282 -30.4210
129.272471 72.268 -30.4535
129.638682 72.255 -30.4856
130.004893 72.243 -30.5178
130.371104 72.230 -30.5501
130.737315 72.217 -30.5825
131.103526 72.204 -30.6151
131.469737 72.191 -30.6475
131.835948 72.178 -30.6795
132.202159 72.165 -30.7109
132.568370 72.152 -30.7416
132.934581 72.139 -30.7712
133.300792 72.126 -30.7998
133.667003 72.113 -30.8275
134.033214 72.100 -30.8546
134.399425 72.087 -30.8812
134.765636 72.074 -30.9076
135.131847 72.061 -30.9338
135.498058 72.048 -30.9598
135.864269 72.035 -30.9855
136.230480 72.022 -31.0108
136.596691 72.009 -31.0359
136.962902 71.997 -31.0609
137.329113 71.984 -31.0859
137.695324 71.971 -31.1110
138.061535 71.959 -31.1357
138.427746 71.946 -31.1600
138.793957 71.933 -31.1837
139.160168 71.920 -31.2067
139.526379 71.908 -31.2290
139.892589 71.895 -31.2511
140.258800 71.883 -31.2728
140.625011 71.870 -31.2944
140.991222 71.858 -31.3159
141.357433 71.846 -31.3371
141.723644 71.833 -31.3582
142.089855 71.821 -31.3792
142.456066 71.809 -31.4003
142.822277 71.797 -31.4216
143.188488 71.784 -31.4429
143.554699 71.772 -31.4641
143.920910 71.759 -31.4847
144.287121 71.747 -31.5048
144.653332 71.734 -31.5240
145.019543 71.722 -31.5425
145.385754 71.709 -31.5603
