* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:07:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Black Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.433 158.7652
0.732422 57.598 137.8269
1.098633 54.091 117.8358
1.464844 47.470 101.8582
1.831055 32.705 168.8371
2.197266 44.977 -144.1143
2.563477 48.079 -159.6670
2.929688 48.003 -177.2664
3.295899 45.895 168.1922
3.662110 42.344 164.6864
4.028321 40.425 -179.3150
4.394532 42.608 -173.4036
4.760743 45.050 173.7627
5.126954 46.745 155.5774
5.493164 47.813 139.1820
5.859375 48.463 128.0439
6.225586 49.087 123.1696
6.591797 50.116 122.3174
6.958008 51.532 121.4726
7.324219 52.939 118.8558
7.690430 54.056 115.2206
8.056641 54.855 111.8723
8.422852 55.454 109.5609
8.789063 55.999 108.1918
9.155274 56.566 107.1063
9.521485 57.133 105.7220
9.887696 57.645 103.9146
10.253907 58.013 101.8834
10.620118 58.289 99.8390
10.986329 58.531 97.8381
11.352540 58.757 95.8276
11.718751 58.972 93.7691
12.084962 59.174 91.6948
12.451173 59.372 89.6623
12.817384 59.629 87.6892
13.183595 59.901 85.7513
13.549806 60.171 83.8345
13.916017 60.430 81.9747
14.282228 60.675 80.2361
14.648439 60.910 78.6557
15.014650 61.142 77.2119
15.380861 61.369 75.8492
15.747072 61.584 74.5309
16.113283 61.786 73.2659
16.479493 61.978 72.0881
16.845704 62.154 71.0129
17.211915 62.320 70.0167
17.578126 62.477 69.0535
17.944337 62.624 68.0891
18.310548 62.758 67.1190
18.676759 62.878 66.1579
19.042970 62.989 65.2164
19.409181 63.093 64.2897
19.775392 63.194 63.3646
20.141603 63.293 62.4319
20.507814 63.391 61.4932
20.874025 63.486 60.5563
21.240236 63.578 59.6295
21.606447 63.667 58.7214
21.972658 63.754 57.8426
22.338869 63.840 57.0042
22.705080 63.925 56.2113
23.071291 64.010 55.4588
23.437502 64.097 54.7348
23.803713 64.182 54.0301
24.169924 64.263 53.3453
24.536135 64.339 52.6880
24.902346 64.410 52.0647
25.268557 64.477 51.4742
25.634768 64.541 50.9088
26.000979 64.602 50.3605
26.367190 64.659 49.8257
26.733401 64.712 49.3038
27.099612 64.762 48.7930
27.465823 64.810 48.2878
27.832033 64.856 47.7822
28.198244 64.901 47.2724
28.564455 64.943 46.7592
28.930666 64.983 46.2458
29.296877 65.021 45.7361
29.663088 65.057 45.2337
30.029299 65.092 44.7431
30.395510 65.127 44.2688
30.761721 65.161 43.8133
31.127932 65.196 43.3753
31.494143 65.233 42.9501
31.860354 65.270 42.5330
32.226565 65.306 42.1224
32.592776 65.341 41.7199
32.958987 65.375 41.3284
33.325198 65.407 40.9490
33.691409 65.438 40.5816
34.057620 65.467 40.2251
34.423831 65.495 39.8788
34.790042 65.522 39.5411
35.156253 65.547 39.2095
35.522464 65.571 38.8809
35.888675 65.594 38.5539
36.254886 65.614 38.2310
36.621097 65.633 37.9169
36.987308 65.651 37.6151
37.353519 65.669 37.3247
37.719730 65.688 37.0408
38.085941 65.708 36.7569
38.452152 65.729 36.4696
38.818363 65.749 36.1796
39.184573 65.768 35.8905
39.550784 65.786 35.6064
39.916995 65.804 35.3296
40.283206 65.823 35.0600
40.649417 65.841 34.7966
41.015628 65.859 34.5388
41.381839 65.877 34.2867
41.748050 65.894 34.0413
42.114261 65.910 33.8031
42.480472 65.927 33.5717
42.846683 65.942 33.3457
43.212894 65.958 33.1235
43.579105 65.973 32.9041
43.945316 65.988 32.6876
44.311527 66.002 32.4743
44.677738 66.016 32.2638
45.043949 66.030 32.0550
45.410160 66.043 31.8468
45.776371 66.056 31.6394
46.142582 66.068 31.4347
46.508793 66.080 31.2345
46.875004 66.091 31.0395
47.241215 66.103 30.8483
47.607426 66.114 30.6594
47.973637 66.125 30.4731
48.339848 66.135 30.2914
48.706059 66.145 30.1165
49.072270 66.155 29.9482
49.438481 66.167 29.7827
49.804692 66.178 29.6155
50.170902 66.190 29.4447
50.537113 66.200 29.2724
50.903324 66.210 29.1036
51.269535 66.219 28.9419
51.635746 66.229 28.7873
52.001957 66.239 28.6361
52.368168 66.249 28.4842
52.734379 66.260 28.3298
53.100590 66.270 28.1740
53.466801 66.279 28.0195
53.833012 66.288 27.8685
54.199223 66.296 27.7222
54.565434 66.304 27.5814
54.931645 66.312 27.4468
55.297856 66.321 27.3189
55.664067 66.329 27.1957
56.030278 66.339 27.0726
56.396489 66.349 26.9448
56.762700 66.359 26.8106
57.128911 66.366 26.6740
57.495122 66.372 26.5434
57.861333 66.377 26.4263
58.227544 66.383 26.3237
58.593755 66.390 26.2285
58.959966 66.399 26.1289
59.326177 66.410 26.0154
59.692388 66.419 25.8868
60.058599 66.427 25.7501
60.424810 66.432 25.6162
60.791021 66.436 25.4928
61.157232 66.440 25.3812
61.523442 66.445 25.2765
61.889653 66.450 25.1727
62.255864 66.457 25.0667
62.622075 66.463 24.9592
62.988286 66.469 24.8530
63.354497 66.474 24.7500
63.720708 66.480 24.6495
64.086919 66.485 24.5499
64.453130 66.491 24.4498
64.819341 66.497 24.3500
65.185552 66.502 24.2522
65.551763 66.507 24.1577
65.917974 66.512 24.0662
66.284185 66.517 23.9759
66.650396 66.522 23.8855
67.016607 66.527 23.7945
67.382818 66.531 23.7039
67.749029 66.536 23.6151
68.115240 66.540 23.5288
68.481451 66.544 23.4444
68.847662 66.547 23.3612
69.213873 66.551 23.2786
69.580084 66.555 23.1973
69.946295 66.559 23.1181
70.312506 66.562 23.0413
70.678717 66.566 22.9660
71.044928 66.571 22.8904
71.411139 66.575 22.8130
71.777350 66.579 22.7339
72.143561 66.583 22.6545
72.509771 66.586 22.5772
72.875982 66.589 22.5034
73.242193 66.592 22.4330
73.608404 66.596 22.3648
73.974615 66.599 22.2974
74.340826 66.603 22.2301
74.707037 66.606 22.1629
75.073248 66.610 22.0962
75.439459 66.613 22.0301
75.805670 66.616 21.9642
76.171881 66.620 21.8982
76.538092 66.623 21.8323
76.904303 66.626 21.7669
77.270514 66.629 21.7027
77.636725 66.632 21.6400
78.002936 66.635 21.5786
78.369147 66.638 21.5182
78.735358 66.641 21.4588
79.101569 66.644 21.4007
79.467780 66.647 21.3440
79.833991 66.650 21.2884
80.200202 66.654 21.2328
80.566413 66.658 21.1761
80.932624 66.662 21.1172
81.298835 66.666 21.0563
81.665046 66.669 20.9946
82.031257 66.672 20.9342
82.397468 66.674 20.8771
82.763679 66.676 20.8243
83.129890 66.679 20.7755
83.496101 66.682 20.7289
83.862311 66.685 20.6822
84.228522 66.689 20.6337
84.594733 66.692 20.5833
84.960944 66.696 20.5321
85.327155 66.699 20.4820
85.693366 66.701 20.4346
86.059577 66.704 20.3896
86.425788 66.708 20.3455
86.791999 66.712 20.2998
87.158210 66.715 20.2511
87.524421 66.719 20.1996
87.890632 66.722 20.1472
88.256843 66.724 20.0964
88.623054 66.726 20.0490
88.989265 66.728 20.0051
89.355476 66.730 19.9635
89.721687 66.733 19.9224
90.087898 66.735 19.8807
90.454109 66.738 19.8386
90.820320 66.740 19.7964
91.186531 66.743 19.7546
91.552742 66.745 19.7126
91.918953 66.748 19.6698
92.285164 66.751 19.6256
92.651375 66.753 19.5807
93.017586 66.755 19.5366
93.383797 66.757 19.4948
93.750008 66.759 19.4560
94.116219 66.761 19.4198
94.482430 66.763 19.3847
94.848641 66.766 19.3495
95.214851 66.769 19.3136
95.581062 66.772 19.2775
95.947273 66.775 19.2418
96.313484 66.777 19.2071
96.679695 66.780 19.1733
97.045906 66.783 19.1398
97.412117 66.786 19.1061
97.778328 66.789 19.0723
98.144539 66.791 19.0386
98.510750 66.794 19.0056
98.876961 66.796 18.9736
99.243172 66.798 18.9422
99.609383 66.801 18.9111
99.975594 66.803 18.8799
100.341805 66.806 18.8480
100.708016 66.808 18.8154
101.074227 66.810 18.7820
101.440438 66.813 18.7477
101.806649 66.815 18.7129
102.172860 66.817 18.6782
102.539071 66.819 18.6442
102.905282 66.821 18.6114
103.271493 66.822 18.5799
103.637704 66.824 18.5495
104.003915 66.826 18.5199
104.370126 66.828 18.4909
104.736337 66.831 18.4624
105.102548 66.833 18.4345
105.468759 66.835 18.4069
105.834970 66.838 18.3796
106.201180 66.840 18.3525
106.567391 66.843 18.3258
106.933602 66.845 18.2996
107.299813 66.848 18.2741
107.666024 66.850 18.2490
108.032235 66.853 18.2236
108.398446 66.856 18.1970
108.764657 66.859 18.1689
109.130868 66.861 18.1397
109.497079 66.864 18.1105
109.863290 66.865 18.0824
110.229501 66.867 18.0564
110.595712 66.869 18.0325
110.961923 66.871 18.0099
111.328134 66.873 17.9875
111.694345 66.876 17.9639
112.060556 66.878 17.9386
112.426767 66.881 17.9122
112.792978 66.883 17.8857
113.159189 66.885 17.8604
113.525400 66.886 17.8369
113.891611 66.888 17.8153
114.257822 66.890 17.7945
114.624033 66.893 17.7736
114.990244 66.895 17.7515
115.356455 66.898 17.7281
115.722666 66.900 17.7038
116.088877 66.902 17.6794
116.455088 66.904 17.6557
116.821299 66.906 17.6331
117.187510 66.908 17.6116
117.553720 66.909 17.5913
117.919931 66.911 17.5720
118.286142 66.913 17.5534
118.652353 66.915 17.5354
119.018564 66.917 17.5177
119.384775 66.919 17.5001
119.750986 66.921 17.4824
120.117197 66.923 17.4647
120.483408 66.925 17.4469
120.849619 66.927 17.4290
121.215830 66.929 17.4108
121.582041 66.932 17.3920
121.948252 66.934 17.3724
122.314463 66.936 17.3522
122.680674 66.938 17.3314
123.046885 66.940 17.3105
123.413096 66.942 17.2896
123.779307 66.944 17.2691
124.145518 66.946 17.2491
124.511729 66.948 17.2299
124.877940 66.951 17.2114
125.244151 66.953 17.1938
125.610362 66.956 17.1772
125.976573 66.959 17.1611
126.342784 66.962 17.1450
126.708995 66.966 17.1283
127.075206 66.969 17.1106
127.441417 66.973 17.0917
127.807628 66.976 17.0721
128.173839 66.980 17.0524
128.540049 66.983 17.0335
128.906260 66.985 17.0160
129.272471 66.988 17.0001
129.638682 66.991 16.9856
130.004893 66.994 16.9718
130.371104 66.997 16.9583
130.737315 67.000 16.9445
131.103526 67.004 16.9306
131.469737 67.007 16.9164
131.835948 67.010 16.9022
132.202159 67.014 16.8880
132.568370 67.017 16.8737
132.934581 67.020 16.8592
133.300792 67.024 16.8444
133.667003 67.027 16.8295
134.033214 67.030 16.8148
134.399425 67.034 16.8004
134.765636 67.037 16.7864
135.131847 67.040 16.7728
135.498058 67.044 16.7591
135.864269 67.047 16.7453
136.230480 67.050 16.7313
136.596691 67.053 16.7174
136.962902 67.056 16.7036
137.329113 67.060 16.6901
137.695324 67.063 16.6769
138.061535 67.066 16.6638
138.427746 67.069 16.6506
138.793957 67.072 16.6370
139.160168 67.075 16.6229
139.526379 67.078 16.6082
139.892589 67.081 16.5930
140.258800 67.084 16.5772
140.625011 67.087 16.5607
140.991222 67.090 16.5438
141.357433 67.093 16.5267
141.723644 67.095 16.5099
142.089855 67.098 16.4939
142.456066 67.100 16.4793
142.822277 67.102 16.4663
143.188488 67.105 16.4547
143.554699 67.107 16.4444
143.920910 67.110 16.4348
144.287121 67.113 16.4253
144.653332 67.117 16.4156
145.019543 67.120 16.4056
145.385754 67.124 16.3954
145.751965 67.127 16.3851
146.118176 67.131 16.3747
146.484387 67.135 16.3642
146.850598 67.138 16.3534
147.216809 67.142 16.3423
147.583020 67.146 16.3307
147.949231 67.149 16.3189
148.315442 67.152 16.3072
148.681653 67.156 16.2960
149.047864 67.159 16.2855
149.414075 67.162 16.2755
149.780286 67.165 16.2659
150.146497 67.168 16.2562
150.512708 67.171 16.2464
150.878918 67.174 16.2363
151.245129 67.177 16.2261
151.611340 67.179 16.2160
151.977551 67.182 16.2061
152.343762 67.185 16.1963
152.709973 67.188 16.1863
