* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:08:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Black Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.396 -21.8034
0.732422 60.512 -43.6116
1.098633 56.921 -65.4836
1.464844 50.172 -87.8602
1.831055 23.526 -175.5892
2.197266 45.923 53.3089
2.563477 48.306 32.2840
2.929688 46.122 12.5171
3.295899 37.076 -1.9464
3.662110 37.983 144.7092
4.028321 45.617 132.3958
4.394532 47.573 119.6232
4.760743 47.073 113.2225
5.126954 45.577 120.3596
5.493164 45.899 138.5066
5.859375 48.012 146.3112
6.225586 49.584 143.1880
6.591797 50.142 136.6539
6.958008 49.964 131.2465
7.324219 49.590 129.0829
7.690430 49.619 129.0681
8.056641 50.194 127.7396
8.422852 50.971 123.4884
8.789063 51.646 117.4737
9.155274 52.165 111.5257
9.521485 52.628 106.7962
9.887696 53.157 103.3822
10.253907 53.728 100.6765
10.620118 54.314 98.1382
10.986329 54.862 95.6986
11.352540 55.340 93.5557
11.718751 55.757 91.8182
12.084962 56.134 90.3843
12.451173 56.473 89.0805
12.817384 56.817 87.8350
13.183595 57.116 86.6887
13.549806 57.375 85.6683
13.916017 57.615 84.6919
14.282228 57.840 83.6147
14.648439 58.039 82.3579
15.014650 58.203 80.9731
15.380861 58.336 79.5798
15.747072 58.458 78.2493
16.113283 58.594 76.9495
16.479493 58.755 75.5959
16.845704 58.924 74.1485
17.211915 59.088 72.6536
17.578126 59.247 71.1994
17.944337 59.407 69.8441
18.310548 59.572 68.5858
18.676759 59.744 67.3920
19.042970 59.913 66.2485
19.409181 60.075 65.1743
19.775392 60.227 64.1963
20.141603 60.372 63.3183
20.507814 60.514 62.5177
20.874025 60.647 61.7660
21.240236 60.769 61.0492
21.606447 60.879 60.3659
21.972658 60.978 59.7124
22.338869 61.068 59.0748
22.705080 61.150 58.4364
23.071291 61.223 57.7900
23.437502 61.290 57.1394
23.803713 61.352 56.4887
24.169924 61.412 55.8330
24.536135 61.472 55.1621
24.902346 61.531 54.4723
25.268557 61.590 53.7725
25.634768 61.648 53.0787
26.000979 61.707 52.4024
26.367190 61.768 51.7464
26.733401 61.830 51.1094
27.099612 61.894 50.4940
27.465823 61.957 49.9069
27.832033 62.020 49.3516
28.198244 62.083 48.8243
28.564455 62.145 48.3178
28.930666 62.203 47.8305
29.296877 62.256 47.3693
29.663088 62.304 46.9426
30.029299 62.350 46.5496
30.395510 62.396 46.1759
30.761721 62.440 45.8019
31.127932 62.481 45.4156
31.494143 62.518 45.0183
31.860354 62.550 44.6207
32.226565 62.578 44.2328
32.592776 62.604 43.8573
32.958987 62.630 43.4904
33.325198 62.657 43.1262
33.691409 62.685 42.7599
34.057620 62.715 42.3878
34.423831 62.745 42.0081
34.790042 62.775 41.6221
35.156253 62.803 41.2361
35.522464 62.829 40.8605
35.888675 62.855 40.5042
36.254886 62.880 40.1711
36.621097 62.905 39.8584
36.987308 62.931 39.5600
37.353519 62.958 39.2714
37.719730 62.983 38.9903
38.085941 63.009 38.7160
38.452152 63.033 38.4472
38.818363 63.056 38.1820
39.184573 63.077 37.9193
39.550784 63.097 37.6599
39.916995 63.116 37.4055
40.283206 63.134 37.1573
40.649417 63.152 36.9148
41.015628 63.169 36.6762
41.381839 63.187 36.4394
41.748050 63.205 36.2030
42.114261 63.223 35.9664
42.480472 63.240 35.7300
42.846683 63.257 35.4955
43.212894 63.274 35.2653
43.579105 63.290 35.0415
43.945316 63.306 34.8245
44.311527 63.323 34.6131
44.677738 63.339 34.4061
45.043949 63.355 34.2036
45.410160 63.370 34.0070
45.776371 63.385 33.8172
46.142582 63.400 33.6330
46.508793 63.415 33.4515
46.875004 63.429 33.2702
47.241215 63.443 33.0888
47.607426 63.456 32.9095
47.973637 63.468 32.7344
48.339848 63.480 32.5637
48.706059 63.493 32.3947
49.072270 63.506 32.2243
49.438481 63.518 32.0511
49.804692 63.529 31.8775
50.170902 63.540 31.7080
50.537113 63.551 31.5465
50.903324 63.561 31.3941
51.269535 63.573 31.2481
51.635746 63.585 31.1036
52.001957 63.598 30.9571
52.368168 63.610 30.8091
52.734379 63.621 30.6639
53.100590 63.631 30.5265
53.466801 63.641 30.3987
53.833012 63.652 30.2765
54.199223 63.663 30.1530
54.565434 63.673 30.0235
54.931645 63.683 29.8896
55.297856 63.690 29.7589
55.664067 63.697 29.6382
56.030278 63.703 29.5285
56.396489 63.711 29.4227
56.762700 63.720 29.3115
57.128911 63.728 29.1913
57.495122 63.736 29.0672
57.861333 63.741 28.9499
58.227544 63.746 28.8472
58.593755 63.753 28.7572
58.959966 63.763 28.6691
59.326177 63.775 28.5705
59.692388 63.787 28.4555
60.058599 63.797 28.3282
60.424810 63.805 28.1994
60.791021 63.811 28.0795
61.157232 63.817 27.9734
61.523442 63.823 27.8791
61.889653 63.830 27.7909
62.255864 63.838 27.7038
62.622075 63.846 27.6147
62.988286 63.853 27.5235
63.354497 63.860 27.4307
63.720708 63.867 27.3381
64.086919 63.872 27.2473
64.453130 63.877 27.1600
64.819341 63.882 27.0768
65.185552 63.888 26.9967
65.551763 63.894 26.9169
65.917974 63.900 26.8344
66.284185 63.906 26.7483
66.650396 63.911 26.6607
67.016607 63.916 26.5757
67.382818 63.920 26.4969
67.749029 63.924 26.4254
68.115240 63.929 26.3593
68.481451 63.935 26.2945
68.847662 63.941 26.2279
69.213873 63.947 26.1582
69.580084 63.953 26.0863
69.946295 63.959 26.0144
70.312506 63.964 25.9444
70.678717 63.968 25.8776
71.044928 63.972 25.8144
71.411139 63.977 25.7547
71.777350 63.981 25.6980
72.143561 63.985 25.6433
72.509771 63.990 25.5899
72.875982 63.995 25.5367
73.242193 64.000 25.4829
73.608404 64.005 25.4276
73.974615 64.010 25.3700
74.340826 64.015 25.3099
74.707037 64.020 25.2481
75.073248 64.024 25.1866
75.439459 64.027 25.1276
75.805670 64.030 25.0723
76.171881 64.034 25.0200
76.538092 64.038 24.9687
76.904303 64.042 24.9161
77.270514 64.046 24.8615
77.636725 64.050 24.8063
78.002936 64.053 24.7527
78.369147 64.056 24.7026
78.735358 64.060 24.6564
79.101569 64.063 24.6129
79.467780 64.068 24.5706
79.833991 64.072 24.5286
80.200202 64.077 24.4868
80.566413 64.082 24.4451
80.932624 64.087 24.4034
81.298835 64.092 24.3614
81.665046 64.097 24.3191
82.031257 64.102 24.2776
82.397468 64.107 24.2382
82.763679 64.111 24.2016
83.129890 64.116 24.1674
83.496101 64.121 24.1339
83.862311 64.126 24.0991
84.228522 64.131 24.0621
84.594733 64.135 24.0233
84.960944 64.139 23.9846
85.327155 64.143 23.9476
85.693366 64.146 23.9131
86.059577 64.149 23.8808
86.425788 64.152 23.8495
86.791999 64.155 23.8181
87.158210 64.158 23.7860
87.524421 64.161 23.7533
87.890632 64.164 23.7199
88.256843 64.168 23.6857
88.623054 64.171 23.6503
88.989265 64.175 23.6137
89.355476 64.178 23.5765
89.721687 64.181 23.5403
90.087898 64.184 23.5064
90.454109 64.187 23.4756
90.820320 64.190 23.4474
91.186531 64.194 23.4205
91.552742 64.198 23.3934
91.918953 64.203 23.3653
92.285164 64.207 23.3366
92.651375 64.211 23.3085
93.017586 64.215 23.2821
93.383797 64.218 23.2583
93.750008 64.222 23.2370
94.116219 64.225 23.2176
94.482430 64.229 23.1995
94.848641 64.233 23.1821
95.214851 64.236 23.1653
95.581062 64.240 23.1489
95.947273 64.244 23.1323
96.313484 64.248 23.1151
96.679695 64.252 23.0965
97.045906 64.256 23.0766
97.412117 64.260 23.0554
97.778328 64.264 23.0333
98.144539 64.268 23.0108
98.510750 64.271 22.9884
98.876961 64.274 22.9666
99.243172 64.278 22.9462
99.609383 64.281 22.9277
99.975594 64.284 22.9112
100.341805 64.288 22.8960
100.708016 64.292 22.8807
101.074227 64.296 22.8636
101.440438 64.301 22.8443
101.806649 64.305 22.8234
102.172860 64.308 22.8026
102.539071 64.311 22.7840
102.905282 64.314 22.7685
103.271493 64.317 22.7558
103.637704 64.320 22.7443
104.003915 64.324 22.7324
104.370126 64.327 22.7191
104.736337 64.331 22.7044
105.102548 64.334 22.6893
105.468759 64.337 22.6747
105.834970 64.340 22.6613
106.201180 64.343 22.6489
106.567391 64.347 22.6369
106.933602 64.350 22.6248
107.299813 64.353 22.6121
107.666024 64.356 22.5991
108.032235 64.360 22.5860
108.398446 64.363 22.5733
108.764657 64.366 22.5619
109.130868 64.369 22.5522
109.497079 64.372 22.5444
109.863290 64.375 22.5382
110.229501 64.379 22.5327
110.595712 64.383 22.5266
110.961923 64.388 22.5189
111.328134 64.392 22.5091
111.694345 64.396 22.4974
112.060556 64.400 22.4846
112.426767 64.404 22.4720
112.792978 64.407 22.4603
113.159189 64.410 22.4502
113.525400 64.413 22.4417
113.891611 64.416 22.4342
114.257822 64.420 22.4273
114.624033 64.423 22.4204
114.990244 64.426 22.4136
115.356455 64.430 22.4071
115.722666 64.433 22.4011
116.088877 64.436 22.3959
116.455088 64.440 22.3910
116.821299 64.443 22.3860
117.187510 64.447 22.3808
117.553720 64.451 22.3751
117.919931 64.454 22.3694
118.286142 64.458 22.3639
118.652353 64.462 22.3587
119.018564 64.465 22.3537
119.384775 64.469 22.3487
119.750986 64.473 22.3434
120.117197 64.477 22.3376
120.483408 64.481 22.3312
120.849619 64.485 22.3244
121.215830 64.489 22.3175
121.582041 64.493 22.3110
121.948252 64.496 22.3053
122.314463 64.500 22.3007
122.680674 64.503 22.2974
123.046885 64.506 22.2948
123.413096 64.510 22.2926
123.779307 64.513 22.2905
124.145518 64.517 22.2887
124.511729 64.520 22.2877
124.877940 64.524 22.2879
125.244151 64.528 22.2894
125.610362 64.532 22.2913
125.976573 64.537 22.2928
126.342784 64.542 22.2928
126.708995 64.547 22.2909
127.075206 64.552 22.2871
127.441417 64.557 22.2822
127.807628 64.562 22.2770
128.173839 64.567 22.2720
128.540049 64.572 22.2677
128.906260 64.576 22.2641
129.272471 64.581 22.2612
129.638682 64.586 22.2588
130.004893 64.591 22.2570
130.371104 64.595 22.2557
130.737315 64.600 22.2548
131.103526 64.606 22.2543
131.469737 64.611 22.2541
131.835948 64.616 22.2541
132.202159 64.621 22.2544
132.568370 64.626 22.2549
132.934581 64.631 22.2556
133.300792 64.636 22.2565
133.667003 64.641 22.2576
134.033214 64.646 22.2587
134.399425 64.651 22.2597
134.765636 64.656 22.2605
135.131847 64.660 22.2610
135.498058 64.665 22.2611
135.864269 64.670 22.2608
136.230480 64.675 22.2599
136.596691 64.679 22.2585
136.962902 64.684 22.2566
137.329113 64.688 22.2546
137.695324 64.692 22.2533
138.061535 64.697 22.2530
138.427746 64.701 22.2541
138.793957 64.706 22.2564
139.160168 64.710 22.2594
139.526379 64.715 22.2626
139.892589 64.720 22.2654
140.258800 64.726 22.2676
140.625011 64.731 22.2693
140.991222 64.737 22.2706
141.357433 64.742 22.2721
141.723644 64.747 22.2739
142.089855 64.753 22.2760
142.456066 64.758 22.2784
142.822277 64.763 22.2808
143.188488 64.769 22.2826
143.554699 64.774 22.2837
143.920910 64.779 22.2840
144.287121 64.785 22.2836
144.653332 64.789 22.2828
145.019543 64.794 22.2822
145.385754 64.799 22.2821
145.751965 64.803 22.2830
146.118176 64.807 22.2850
146.484387 64.812 22.2879
146.850598 64.816 22.2916
147.216809 64.821 22.2955
147.583020 64.826 22.2989
147.949231 64.831 22.3015
148.315442 64.836 22.3032
148.681653 64.841 22.3043
149.047864 64.846 22.3052
149.414075 64.851 22.3064
149.780286 64.855 22.3082
150.146497 64.860 22.3105
150.512708 64.865 22.3136
150.878918 64.870 22.3171
151.245129 64.875 22.3212
151.611340 64.880 22.3258
151.977551 64.885 22.3306
152.343762 64.890 22.3354
152.709973 64.895 22.3399
