* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:01:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Blue Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.355 158.7701
0.732422 57.506 137.8806
1.098633 53.970 118.0909
1.464844 47.294 103.0264
1.831055 33.940 171.2459
2.197266 45.072 -146.7983
2.563477 48.007 -162.0264
2.929688 47.804 -179.7023
3.295899 45.511 165.6553
3.662110 41.654 163.1369
4.028321 39.835 -177.4190
4.394532 42.456 -172.0968
4.760743 45.003 173.5566
5.126954 46.697 154.4290
5.493164 47.720 137.5668
5.859375 48.298 126.4252
6.225586 48.866 122.0365
6.591797 49.910 121.8314
6.958008 51.386 121.2850
7.324219 52.833 118.6192
7.690430 53.951 114.8615
8.056641 54.726 111.5102
8.422852 55.301 109.3724
8.789063 55.846 108.2620
9.155274 56.435 107.3531
9.521485 57.026 105.9835
9.887696 57.545 104.0966
10.253907 57.901 102.0217
10.620118 58.158 100.0554
10.986329 58.394 98.2375
11.352540 58.637 96.4085
11.718751 58.883 94.4180
12.084962 59.113 92.2624
12.451173 59.323 90.0547
12.817384 59.573 87.9147
13.183595 59.825 85.8969
13.549806 60.077 83.9988
13.916017 60.326 82.2077
14.282228 60.570 80.5274
14.648439 60.808 78.9675
15.014650 61.038 77.5234
15.380861 61.261 76.1749
15.747072 61.473 74.9017
16.113283 61.678 73.6925
16.479493 61.879 72.5396
16.845704 62.066 71.4295
17.211915 62.236 70.3477
17.578126 62.387 69.2918
17.944337 62.520 68.2775
18.310548 62.639 67.3229
18.676759 62.751 66.4258
19.042970 62.863 65.5535
19.409181 62.975 64.6611
19.775392 63.085 63.7213
20.141603 63.189 62.7409
20.507814 63.288 61.7494
20.874025 63.381 60.7754
21.240236 63.470 59.8300
21.606447 63.559 58.9124
21.972658 63.645 58.0245
22.338869 63.728 57.1785
22.705080 63.809 56.3899
23.071291 63.890 55.6645
23.437502 63.973 54.9939
23.803713 64.057 54.3629
24.169924 64.140 53.7617
24.536135 64.221 53.1893
24.902346 64.301 52.6473
25.268557 64.379 52.1302
25.634768 64.458 51.6228
26.000979 64.535 51.1056
26.367190 64.609 50.5635
26.733401 64.678 49.9902
27.099612 64.739 49.3891
27.465823 64.790 48.7716
27.832033 64.832 48.1551
28.198244 64.865 47.5598
28.564455 64.892 47.0029
28.930666 64.917 46.4919
29.296877 64.943 46.0217
29.663088 64.973 45.5790
30.029299 65.007 45.1493
30.395510 65.046 44.7221
30.761721 65.088 44.2905
31.127932 65.132 43.8479
31.494143 65.176 43.3890
31.860354 65.218 42.9167
32.226565 65.253 42.4477
32.592776 65.283 42.0094
32.958987 65.310 41.6254
33.325198 65.339 41.2964
33.691409 65.375 40.9940
34.057620 65.415 40.6743
34.423831 65.456 40.3070
34.790042 65.489 39.8983
35.156253 65.511 39.4905
35.522464 65.522 39.1365
35.888675 65.532 38.8639
36.254886 65.548 38.6550
36.621097 65.575 38.4558
36.987308 65.611 38.2098
37.353519 65.647 37.8916
37.719730 65.678 37.5171
38.085941 65.699 37.1266
38.452152 65.713 36.7564
38.818363 65.724 36.4193
39.184573 65.735 36.1058
39.550784 65.747 35.8001
39.916995 65.759 35.4968
40.283206 65.768 35.2049
40.649417 65.775 34.9396
41.015628 65.782 34.7112
41.381839 65.791 34.5189
41.748050 65.804 34.3510
42.114261 65.824 34.1898
42.480472 65.847 34.0159
42.846683 65.874 33.8136
43.212894 65.899 33.5768
43.579105 65.921 33.3144
43.945316 65.936 33.0486
44.311527 65.946 32.8054
44.677738 65.954 32.6002
45.043949 65.964 32.4287
45.410160 65.978 32.2702
45.776371 65.996 32.1008
46.142582 66.015 31.9085
46.508793 66.032 31.6974
46.875004 66.046 31.4813
47.241215 66.058 31.2718
47.607426 66.069 31.0720
47.973637 66.079 30.8783
48.339848 66.089 30.6877
48.706059 66.098 30.5017
49.072270 66.106 30.3257
49.438481 66.114 30.1632
49.804692 66.122 30.0121
50.170902 66.133 29.8657
50.537113 66.144 29.7164
50.903324 66.156 29.5605
51.269535 66.168 29.3991
51.635746 66.179 29.2366
52.001957 66.188 29.0779
52.368168 66.197 28.9264
52.734379 66.207 28.7819
53.100590 66.217 28.6409
53.466801 66.229 28.4973
53.833012 66.241 28.3450
54.199223 66.252 28.1823
54.565434 66.260 28.0146
54.931645 66.266 27.8532
55.297856 66.270 27.7102
55.664067 66.275 27.5904
56.030278 66.282 27.4862
56.396489 66.293 27.3794
56.762700 66.306 27.2507
57.128911 66.318 27.0917
57.495122 66.326 26.9124
57.861333 66.327 26.7385
58.227544 66.324 26.5974
58.593755 66.321 26.5034
58.959966 66.322 26.4474
59.326177 66.330 26.4016
59.692388 66.344 26.3341
60.058599 66.360 26.2265
60.424810 66.374 26.0828
60.791021 66.384 25.9245
61.157232 66.388 25.7770
61.523442 66.391 25.6554
61.889653 66.395 25.5584
62.255864 66.401 25.4727
62.622075 66.410 25.3836
62.988286 66.419 25.2837
63.354497 66.428 25.1754
63.720708 66.434 25.0663
64.086919 66.440 24.9634
64.453130 66.445 24.8683
64.819341 66.451 24.7782
65.185552 66.456 24.6890
65.551763 66.462 24.5994
65.917974 66.467 24.5114
66.284185 66.471 24.4280
66.650396 66.475 24.3503
67.016607 66.479 24.2757
67.382818 66.485 24.1993
67.749029 66.490 24.1178
68.115240 66.494 24.0314
68.481451 66.498 23.9436
68.847662 66.501 23.8590
69.213873 66.504 23.7795
69.580084 66.507 23.7046
69.946295 66.510 23.6323
70.312506 66.515 23.5616
70.678717 66.520 23.4921
71.044928 66.526 23.4225
71.411139 66.533 23.3486
71.777350 66.542 23.2647
72.143561 66.550 23.1684
72.509771 66.557 23.0635
72.875982 66.562 22.9598
73.242193 66.565 22.8665
73.608404 66.569 22.7860
73.974615 66.574 22.7114
74.340826 66.580 22.6319
74.707037 66.586 22.5423
75.073248 66.589 22.4486
75.439459 66.589 22.3654
75.805670 66.588 22.3053
76.171881 66.588 22.2693
76.538092 66.591 22.2443
76.904303 66.597 22.2116
77.270514 66.604 22.1592
77.636725 66.609 22.0904
78.002936 66.610 22.0207
78.369147 66.610 21.9667
78.735358 66.609 21.9346
79.101569 66.611 21.9159
79.467780 66.617 21.8925
79.833991 66.624 21.8481
80.200202 66.632 21.7770
80.566413 66.636 21.6867
80.932624 66.637 21.5924
81.298835 66.634 21.5098
81.665046 66.631 21.4480
82.031257 66.627 21.4074
82.397468 66.627 21.3805
82.763679 66.629 21.3566
83.129890 66.633 21.3259
83.496101 66.639 21.2839
83.862311 66.645 21.2319
84.228522 66.650 21.1753
84.594733 66.654 21.1200
84.960944 66.658 21.0684
85.327155 66.663 21.0182
85.693366 66.669 20.9655
86.059577 66.674 20.9080
86.425788 66.678 20.8485
86.791999 66.680 20.7935
87.158210 66.682 20.7492
87.524421 66.684 20.7169
87.890632 66.688 20.6914
88.256843 66.693 20.6640
88.623054 66.699 20.6272
88.989265 66.704 20.5792
89.355476 66.708 20.5242
89.721687 66.710 20.4695
90.087898 66.711 20.4218
90.454109 66.711 20.3834
90.820320 66.713 20.3522
91.186531 66.715 20.3230
91.552742 66.718 20.2907
91.918953 66.723 20.2517
92.285164 66.727 20.2052
92.651375 66.730 20.1527
93.017586 66.733 20.0973
93.383797 66.735 20.0424
93.750008 66.737 19.9910
94.116219 66.738 19.9448
94.482430 66.739 19.9041
94.848641 66.741 19.8678
95.214851 66.743 19.8342
95.581062 66.745 19.8016
95.947273 66.748 19.7690
96.313484 66.751 19.7361
96.679695 66.754 19.7034
97.045906 66.757 19.6714
97.412117 66.760 19.6403
97.778328 66.763 19.6099
98.144539 66.766 19.5794
98.510750 66.768 19.5483
98.876961 66.771 19.5167
99.243172 66.773 19.4847
99.609383 66.775 19.4528
99.975594 66.777 19.4214
100.341805 66.779 19.3903
100.708016 66.781 19.3596
101.074227 66.783 19.3291
101.440438 66.785 19.2988
101.806649 66.788 19.2686
102.172860 66.790 19.2382
102.539071 66.793 19.2072
102.905282 66.796 19.1752
103.271493 66.799 19.1426
103.637704 66.801 19.1101
104.003915 66.804 19.0786
104.370126 66.807 19.0487
104.736337 66.809 19.0203
105.102548 66.812 18.9929
105.468759 66.815 18.9658
105.834970 66.818 18.9390
106.201180 66.821 18.9126
106.567391 66.823 18.8867
106.933602 66.826 18.8613
107.299813 66.828 18.8361
107.666024 66.831 18.8108
108.032235 66.833 18.7853
108.398446 66.835 18.7599
108.764657 66.837 18.7354
109.130868 66.838 18.7126
109.497079 66.840 18.6923
109.863290 66.841 18.6748
110.229501 66.843 18.6592
110.595712 66.846 18.6435
110.961923 66.849 18.6254
111.328134 66.853 18.6028
111.694345 66.856 18.5753
112.060556 66.859 18.5442
112.426767 66.862 18.5122
112.792978 66.864 18.4821
113.159189 66.865 18.4554
113.525400 66.867 18.4317
113.891611 66.869 18.4093
114.257822 66.872 18.3865
114.624033 66.874 18.3627
114.990244 66.876 18.3386
115.356455 66.878 18.3155
115.722666 66.880 18.2946
116.088877 66.882 18.2756
116.455088 66.884 18.2573
116.821299 66.887 18.2386
117.187510 66.889 18.2189
117.553720 66.891 18.1990
117.919931 66.893 18.1801
118.286142 66.895 18.1629
118.652353 66.896 18.1477
119.018564 66.899 18.1335
119.384775 66.901 18.1194
119.750986 66.903 18.1047
120.117197 66.906 18.0892
120.483408 66.908 18.0730
120.849619 66.911 18.0563
121.215830 66.914 18.0390
121.582041 66.917 18.0208
121.948252 66.919 18.0014
122.314463 66.922 17.9807
122.680674 66.925 17.9590
123.046885 66.927 17.9370
123.413096 66.929 17.9155
123.779307 66.930 17.8954
124.145518 66.932 17.8778
124.511729 66.934 17.8630
124.877940 66.935 17.8508
125.244151 66.938 17.8401
125.610362 66.941 17.8298
125.976573 66.944 17.8189
126.342784 66.947 17.8074
126.708995 66.950 17.7961
127.075206 66.953 17.7855
127.441417 66.956 17.7760
127.807628 66.959 17.7670
128.173839 66.963 17.7575
128.540049 66.967 17.7465
128.906260 66.971 17.7334
129.272471 66.974 17.7186
129.638682 66.978 17.7025
130.004893 66.981 17.6857
130.371104 66.985 17.6688
130.737315 66.988 17.6522
131.103526 66.991 17.6360
131.469737 66.994 17.6201
131.835948 66.997 17.6043
132.202159 67.001 17.5883
132.568370 67.004 17.5715
132.934581 67.008 17.5539
133.300792 67.012 17.5356
133.667003 67.015 17.5167
134.033214 67.019 17.4976
134.399425 67.022 17.4786
134.765636 67.026 17.4599
135.131847 67.029 17.4418
135.498058 67.033 17.4244
135.864269 67.036 17.4079
136.230480 67.040 17.3921
136.596691 67.043 17.3770
136.962902 67.046 17.3626
137.329113 67.049 17.3491
137.695324 67.052 17.3370
138.061535 67.055 17.3266
138.427746 67.059 17.3179
138.793957 67.062 17.3102
139.160168 67.065 17.3026
139.526379 67.069 17.2941
139.892589 67.072 17.2846
140.258800 67.076 17.2745
140.625011 67.079 17.2645
140.991222 67.082 17.2551
141.357433 67.086 17.2463
141.723644 67.089 17.2375
142.089855 67.093 17.2280
142.456066 67.096 17.2175
142.822277 67.100 17.2061
143.188488 67.103 17.1943
143.554699 67.106 17.1827
143.920910 67.109 17.1718
144.287121 67.113 17.1616
144.653332 67.116 17.1518
145.019543 67.119 17.1422
145.385754 67.123 17.1324
145.751965 67.127 17.1220
146.118176 67.130 17.1110
146.484387 67.134 17.0992
146.850598 67.137 17.0867
147.216809 67.141 17.0740
147.583020 67.144 17.0614
147.949231 67.146 17.0496
148.315442 67.149 17.0390
148.681653 67.152 17.0299
149.047864 67.154 17.0223
149.414075 67.157 17.0159
149.780286 67.160 17.0101
150.146497 67.163 17.0043
150.512708 67.166 16.9980
150.878918 67.169 16.9906
151.245129 67.172 16.9823
151.611340 67.175 16.9730
151.977551 67.178 16.9632
152.343762 67.181 16.9531
152.709973 67.184 16.9430
