* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:00:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Gold Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.611 158.4358
0.732422 57.784 137.0939
1.098633 54.295 116.4562
1.464844 47.715 98.7837
1.831055 30.418 162.7717
2.197266 44.789 -142.1239
2.563477 48.015 -158.9745
2.929688 47.943 -177.2580
3.295899 45.771 167.6630
3.662110 42.039 164.1043
4.028321 40.039 -177.9521
4.394532 42.473 -171.5564
4.760743 45.028 174.9794
5.126954 46.765 156.2347
5.493164 47.847 139.4040
5.859375 48.488 127.9365
6.225586 49.081 122.9011
6.591797 50.077 122.1314
6.958008 51.485 121.5000
7.324219 52.905 119.0546
7.690430 54.045 115.4924
8.056641 54.862 112.1288
8.422852 55.469 109.7496
8.789063 56.009 108.3227
9.155274 56.562 107.2522
9.521485 57.118 105.9688
9.887696 57.630 104.3035
10.253907 58.009 102.3919
10.620118 58.299 100.4026
10.986329 58.551 98.3965
11.352540 58.780 96.3617
11.718751 58.991 94.3026
12.084962 59.190 92.2602
12.451173 59.390 90.2625
12.817384 59.653 88.2875
13.183595 59.929 86.2947
13.549806 60.196 84.2911
13.916017 60.442 82.3539
14.282228 60.670 80.5807
14.648439 60.890 79.0158
15.014650 61.112 77.6208
15.380861 61.335 76.3140
15.747072 61.553 75.0385
16.113283 61.761 73.7917
16.479493 61.960 72.6011
16.845704 62.144 71.4813
17.211915 62.313 70.4183
17.578126 62.468 69.3891
17.944337 62.609 68.3869
18.310548 62.737 67.4215
18.676759 62.856 66.4960
19.042970 62.972 65.5881
19.409181 63.085 64.6621
19.775392 63.192 63.7005
20.141603 63.291 62.7228
20.507814 63.383 61.7725
20.874025 63.471 60.8804
21.240236 63.564 60.0380
21.606447 63.664 59.2048
21.972658 63.766 58.3445
22.338869 63.863 57.4582
22.705080 63.950 56.5885
23.071291 64.028 55.7899
23.437502 64.103 55.0887
23.803713 64.185 54.4599
24.169924 64.273 53.8411
24.536135 64.363 53.1763
24.902346 64.442 52.4591
25.268557 64.501 51.7455
25.634768 64.543 51.1225
26.000979 64.578 50.6475
26.367190 64.624 50.2970
26.733401 64.691 49.9644
27.099612 64.774 49.5203
27.465823 64.855 48.8978
27.832033 64.915 48.1397
28.198244 64.944 47.3732
28.564455 64.950 46.7318
28.930666 64.952 46.2741
29.296877 64.971 45.9518
29.663088 65.013 45.6493
30.029299 65.070 45.2669
30.395510 65.129 44.7810
30.761721 65.178 44.2406
31.127932 65.217 43.7153
31.494143 65.253 43.2418
31.860354 65.291 42.8076
32.226565 65.332 42.3763
32.592776 65.372 41.9281
32.958987 65.406 41.4774
33.325198 65.433 41.0574
33.691409 65.458 40.6880
34.057620 65.484 40.3580
34.423831 65.514 40.0355
34.790042 65.543 39.6964
35.156253 65.568 39.3462
35.522464 65.587 39.0152
35.888675 65.603 38.7303
36.254886 65.623 38.4883
36.621097 65.650 38.2509
36.987308 65.683 37.9706
37.353519 65.714 37.6267
37.719730 65.737 37.2445
38.085941 65.747 36.8809
38.452152 65.752 36.5868
38.818363 65.760 36.3715
39.184573 65.780 36.1939
39.550784 65.811 35.9891
39.916995 65.847 35.7108
40.283206 65.878 35.3597
40.649417 65.899 34.9791
41.015628 65.909 34.6258
41.381839 65.913 34.3362
41.748050 65.918 34.1108
42.114261 65.929 33.9221
42.480472 65.945 33.7365
42.846683 65.965 33.5339
43.212894 65.984 33.3127
43.579105 66.002 33.0829
43.945316 66.017 32.8555
44.311527 66.031 32.6369
44.677738 66.046 32.4286
45.043949 66.060 32.2286
45.410160 66.076 32.0324
45.776371 66.093 31.8330
46.142582 66.111 31.6238
46.508793 66.127 31.4021
46.875004 66.142 31.1735
47.241215 66.153 30.9497
47.607426 66.162 30.7427
47.973637 66.171 30.5571
48.339848 66.181 30.3863
48.706059 66.194 30.2177
49.072270 66.207 30.0408
49.438481 66.220 29.8548
49.804692 66.230 29.6685
50.170902 66.239 29.4931
50.537113 66.247 29.3335
50.903324 66.257 29.1844
51.269535 66.269 29.0347
51.635746 66.281 28.8751
52.001957 66.292 28.7057
52.368168 66.301 28.5353
52.734379 66.308 28.3749
53.100590 66.314 28.2304
53.466801 66.322 28.0983
53.833012 66.331 27.9688
54.199223 66.342 27.8335
54.565434 66.352 27.6908
54.931645 66.361 27.5469
55.297856 66.369 27.4101
55.664067 66.376 27.2836
56.030278 66.386 27.1623
56.396489 66.396 27.0350
56.762700 66.407 26.8928
57.128911 66.416 26.7362
57.495122 66.421 26.5773
57.861333 66.423 26.4341
58.227544 66.424 26.3197
58.593755 66.426 26.2340
58.959966 66.433 26.1623
59.326177 66.444 26.0825
59.692388 66.459 25.9765
60.058599 66.473 25.8395
60.424810 66.484 25.6805
60.791021 66.491 25.5165
61.157232 66.495 25.3629
61.523442 66.498 25.2275
61.889653 66.501 25.1096
62.255864 66.504 25.0037
62.622075 66.509 24.9044
62.988286 66.515 24.8086
63.354497 66.520 24.7156
63.720708 66.527 24.6252
64.086919 66.533 24.5363
64.453130 66.541 24.4471
64.819341 66.548 24.3565
65.185552 66.555 24.2649
65.551763 66.561 24.1740
65.917974 66.567 24.0856
66.284185 66.573 23.9999
66.650396 66.579 23.9157
67.016607 66.584 23.8306
67.382818 66.589 23.7439
67.749029 66.594 23.6564
68.115240 66.598 23.5704
68.481451 66.601 23.4868
68.847662 66.605 23.4036
69.213873 66.609 23.3173
69.580084 66.613 23.2256
69.946295 66.615 23.1309
70.312506 66.616 23.0395
70.678717 66.617 22.9581
71.044928 66.618 22.8881
71.411139 66.620 22.8239
71.777350 66.625 22.7565
72.143561 66.630 22.6803
72.509771 66.636 22.5965
72.875982 66.641 22.5110
73.242193 66.646 22.4270
73.608404 66.652 22.3404
73.974615 66.658 22.2417
74.340826 66.663 22.1261
74.707037 66.664 22.0025
75.073248 66.660 21.8938
75.439459 66.652 21.8244
75.805670 66.646 21.8042
76.171881 66.647 21.8179
76.538092 66.655 21.8313
76.904303 66.670 21.8098
77.270514 66.685 21.7380
77.636725 66.696 21.6273
78.002936 66.701 21.5065
78.369147 66.701 21.4033
78.735358 66.699 21.3287
79.101569 66.698 21.2754
79.467780 66.700 21.2270
79.833991 66.702 21.1722
80.200202 66.704 21.1108
80.566413 66.705 21.0515
80.932624 66.705 21.0024
81.298835 66.706 20.9649
81.665046 66.708 20.9331
82.031257 66.713 20.8991
82.397468 66.718 20.8576
82.763679 66.725 20.8079
83.129890 66.731 20.7505
83.496101 66.738 20.6854
83.862311 66.744 20.6122
84.228522 66.749 20.5328
84.594733 66.752 20.4529
84.960944 66.754 20.3809
85.327155 66.754 20.3227
85.693366 66.756 20.2780
86.059577 66.760 20.2395
86.425788 66.765 20.1981
86.791999 66.771 20.1486
87.158210 66.775 20.0928
87.524421 66.779 20.0377
87.890632 66.782 19.9900
88.256843 66.784 19.9510
88.623054 66.788 19.9164
88.989265 66.793 19.8791
89.355476 66.797 19.8346
89.721687 66.801 19.7834
90.087898 66.804 19.7299
90.454109 66.805 19.6796
90.820320 66.806 19.6351
91.186531 66.807 19.5956
91.552742 66.808 19.5586
91.918953 66.809 19.5224
92.285164 66.810 19.4869
92.651375 66.811 19.4530
93.017586 66.812 19.4211
93.383797 66.814 19.3899
93.750008 66.817 19.3571
94.116219 66.820 19.3204
94.482430 66.823 19.2795
94.848641 66.826 19.2355
95.214851 66.829 19.1905
95.581062 66.832 19.1463
95.947273 66.834 19.1032
96.313484 66.836 19.0613
96.679695 66.839 19.0203
97.045906 66.841 18.9803
97.412117 66.843 18.9419
97.778328 66.845 18.9052
98.144539 66.847 18.8701
98.510750 66.849 18.8359
98.876961 66.852 18.8018
99.243172 66.854 18.7677
99.609383 66.856 18.7342
99.975594 66.858 18.7019
100.341805 66.860 18.6712
100.708016 66.861 18.6418
101.074227 66.863 18.6130
101.440438 66.865 18.5843
101.806649 66.868 18.5551
102.172860 66.870 18.5256
102.539071 66.872 18.4959
102.905282 66.874 18.4660
103.271493 66.876 18.4360
103.637704 66.879 18.4056
104.003915 66.881 18.3745
104.370126 66.883 18.3423
104.736337 66.886 18.3087
105.102548 66.888 18.2741
105.468759 66.889 18.2394
105.834970 66.891 18.2063
106.201180 66.892 18.1768
106.567391 66.893 18.1519
106.933602 66.895 18.1311
107.299813 66.897 18.1120
107.666024 66.900 18.0917
108.032235 66.904 18.0675
108.398446 66.908 18.0382
108.764657 66.912 18.0047
109.130868 66.915 17.9693
109.497079 66.917 17.9344
109.863290 66.919 17.9016
110.229501 66.921 17.8716
110.595712 66.922 17.8441
110.961923 66.924 17.8182
111.328134 66.926 17.7933
111.694345 66.928 17.7689
112.060556 66.930 17.7446
112.426767 66.932 17.7203
112.792978 66.934 17.6959
113.159189 66.936 17.6714
113.525400 66.938 17.6472
113.891611 66.940 17.6235
114.257822 66.942 17.6001
114.624033 66.945 17.5769
114.990244 66.947 17.5535
115.356455 66.949 17.5296
115.722666 66.952 17.5049
116.088877 66.954 17.4791
116.455088 66.957 17.4519
116.821299 66.960 17.4233
117.187510 66.962 17.3937
117.553720 66.964 17.3642
117.919931 66.965 17.3362
118.286142 66.967 17.3112
118.652353 66.968 17.2899
119.018564 66.970 17.2716
119.384775 66.971 17.2552
119.750986 66.974 17.2389
120.117197 66.976 17.2218
120.483408 66.978 17.2036
120.849619 66.980 17.1847
121.215830 66.983 17.1654
121.582041 66.984 17.1459
121.948252 66.986 17.1264
122.314463 66.987 17.1073
122.680674 66.988 17.0896
123.046885 66.989 17.0745
123.413096 66.990 17.0627
123.779307 66.991 17.0535
124.145518 66.994 17.0449
124.511729 66.996 17.0345
124.877940 67.000 17.0203
125.244151 67.004 17.0021
125.610362 67.007 16.9807
125.976573 67.011 16.9577
126.342784 67.015 16.9343
126.708995 67.018 16.9110
127.075206 67.022 16.8875
127.441417 67.026 16.8632
127.807628 67.029 16.8385
128.173839 67.032 16.8141
128.540049 67.035 16.7910
128.906260 67.038 16.7703
129.272471 67.040 16.7522
129.638682 67.043 16.7363
130.004893 67.045 16.7221
130.371104 67.048 16.7089
130.737315 67.051 16.6964
131.103526 67.054 16.6848
131.469737 67.056 16.6741
131.835948 67.059 16.6639
132.202159 67.062 16.6536
132.568370 67.066 16.6423
132.934581 67.069 16.6293
133.300792 67.072 16.6143
133.667003 67.076 16.5974
134.033214 67.079 16.5793
134.399425 67.082 16.5605
134.765636 67.084 16.5413
135.131847 67.087 16.5220
135.498058 67.090 16.5030
135.864269 67.092 16.4849
136.230480 67.095 16.4680
136.596691 67.097 16.4526
136.962902 67.100 16.4381
137.329113 67.104 16.4235
137.695324 67.107 16.4082
138.061535 67.110 16.3918
138.427746 67.114 16.3749
138.793957 67.117 16.3587
139.160168 67.120 16.3438
139.526379 67.123 16.3306
139.892589 67.126 16.3187
140.258800 67.129 16.3074
140.625011 67.132 16.2961
140.991222 67.135 16.2848
141.357433 67.138 16.2738
141.723644 67.141 16.2631
142.089855 67.144 16.2526
142.456066 67.148 16.2418
142.822277 67.151 16.2302
143.188488 67.154 16.2176
143.554699 67.157 16.2040
143.920910 67.160 16.1899
144.287121 67.163 16.1756
144.653332 67.166 16.1614
145.019543 67.168 16.1475
145.385754 67.171 16.1338
145.751965 67.174 16.1203
146.118176 67.176 16.1069
146.484387 67.179 16.0935
146.850598 67.182 16.0800
147.216809 67.185 16.0662
147.583020 67.188 16.0520
147.949231 67.191 16.0376
148.315442 67.194 16.0232
148.681653 67.197 16.0092
149.047864 67.200 15.9959
149.414075 67.203 15.9836
149.780286 67.206 15.9720
150.146497 67.209 15.9607
150.512708 67.212 15.9494
150.878918 67.215 15.9376
151.245129 67.218 15.9253
151.611340 67.221 15.9127
151.977551 67.224 15.9001
152.343762 67.227 15.8882
152.709973 67.230 15.8772
