* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 5:59:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Gold Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.494 -21.6575
0.732422 60.624 -43.2801
1.098633 57.066 -64.8389
1.464844 50.426 -86.3354
1.831055 24.308 -112.4578
2.197266 45.645 51.8136
2.563477 48.136 31.6503
2.929688 45.937 12.4977
3.295899 36.650 0.1857
3.662110 38.385 142.5062
4.028321 45.753 131.2131
4.394532 47.656 118.7571
4.760743 47.134 112.5347
5.126954 45.632 119.7624
5.493164 45.937 137.8988
5.859375 48.019 145.7909
6.225586 49.565 142.8724
6.591797 50.107 136.6427
6.958008 49.941 131.6073
7.324219 49.625 129.6681
7.690430 49.724 129.3784
8.056641 50.306 127.3478
8.422852 51.005 122.4138
8.789063 51.547 116.0360
9.155274 51.915 110.2128
9.521485 52.262 106.1554
9.887696 52.767 103.7304
10.253907 53.415 101.8329
10.620118 54.129 99.5722
10.986329 54.791 96.9035
11.352540 55.332 94.2695
11.718751 55.763 92.0528
12.084962 56.124 90.3302
12.451173 56.447 88.9451
12.817384 56.792 87.7145
13.183595 57.107 86.5519
13.549806 57.382 85.4386
13.916017 57.626 84.3460
14.282228 57.844 83.2182
14.648439 58.038 82.0162
15.014650 58.210 80.7459
15.380861 58.366 79.4328
15.747072 58.514 78.0807
16.113283 58.666 76.6693
16.479493 58.825 75.1973
16.845704 58.978 73.7128
17.211915 59.125 72.2901
17.578126 59.277 70.9725
17.944337 59.441 69.7433
18.310548 59.615 68.5564
18.676759 59.791 67.3933
19.042970 59.961 66.2821
19.409181 60.124 65.2591
19.775392 60.283 64.3201
20.141603 60.438 63.4219
20.507814 60.582 62.5368
20.874025 60.702 61.7002
21.240236 60.801 60.9909
21.606447 60.893 60.4493
21.972658 60.997 60.0089
22.338869 61.116 59.5171
22.705080 61.238 58.8457
23.071291 61.337 57.9937
23.437502 61.401 57.0885
23.803713 61.437 56.2874
24.169924 61.469 55.6561
24.536135 61.518 55.1213
24.902346 61.587 54.5387
25.268557 61.663 53.8213
25.634768 61.726 53.0120
26.000979 61.770 52.2433
26.367190 61.808 51.6219
26.733401 61.863 51.1349
27.099612 61.943 50.6536
27.465823 62.037 50.0395
27.832033 62.119 49.2640
28.198244 62.167 48.4438
28.564455 62.182 47.7678
28.930666 62.183 47.3712
29.296877 62.203 47.2372
29.663088 62.261 47.1995
30.029299 62.352 47.0516
30.395510 62.452 46.6785
30.761721 62.536 46.1074
31.127932 62.591 45.4551
31.494143 62.621 44.8341
31.860354 62.637 44.2933
32.226565 62.644 43.8281
32.592776 62.647 43.4347
32.958987 62.646 43.1433
33.325198 62.653 42.9877
33.691409 62.685 42.9352
34.057620 62.752 42.8522
34.423831 62.846 42.5637
34.790042 62.938 41.9754
35.156253 62.996 41.1579
35.522464 63.003 40.3232
35.888675 62.969 39.7065
36.254886 62.927 39.4267
36.621097 62.911 39.4125
36.987308 62.937 39.4561
37.353519 62.991 39.3627
37.719730 63.046 39.0763
38.085941 63.083 38.6861
38.452152 63.099 38.3297
38.818363 63.109 38.0821
39.184573 63.129 37.9088
39.550784 63.164 37.7101
39.916995 63.202 37.4106
40.283206 63.232 37.0174
40.649417 63.243 36.6078
41.015628 63.240 36.2690
41.381839 63.234 36.0404
41.748050 63.236 35.8998
42.114261 63.249 35.7919
42.480472 63.272 35.6687
42.846683 63.300 35.5103
43.212894 63.330 35.3178
43.579105 63.359 35.0957
43.945316 63.385 34.8456
44.311527 63.407 34.5736
44.677738 63.420 34.2985
45.043949 63.427 34.0491
45.410160 63.429 33.8486
45.776371 63.432 33.7002
46.142582 63.439 33.5841
46.508793 63.453 33.4696
46.875004 63.470 33.3312
47.241215 63.488 33.1595
47.607426 63.504 32.9598
47.973637 63.516 32.7455
48.339848 63.525 32.5308
48.706059 63.531 32.3267
49.072270 63.536 32.1380
49.438481 63.543 31.9625
49.804692 63.552 31.7920
50.170902 63.562 31.6185
50.537113 63.572 31.4413
50.903324 63.580 31.2693
51.269535 63.589 31.1154
51.635746 63.599 30.9855
52.001957 63.612 30.8704
52.368168 63.630 30.7504
52.734379 63.649 30.6083
53.100590 63.667 30.4436
53.466801 63.680 30.2735
53.833012 63.690 30.1208
54.199223 63.698 29.9969
54.565434 63.708 29.8931
54.931645 63.722 29.7876
55.297856 63.737 29.6624
55.664067 63.750 29.5157
56.030278 63.759 29.3615
56.396489 63.766 29.2158
56.762700 63.772 29.0824
57.128911 63.780 28.9505
57.495122 63.787 28.8053
57.861333 63.792 28.6438
58.227544 63.793 28.4817
58.593755 63.789 28.3453
58.959966 63.784 28.2541
59.326177 63.783 28.2062
59.692388 63.788 28.1795
60.058599 63.799 28.1458
60.424810 63.814 28.0887
60.791021 63.829 28.0100
61.157232 63.844 27.9227
61.523442 63.858 27.8366
61.889653 63.873 27.7494
62.255864 63.889 27.6501
62.622075 63.904 27.5313
62.988286 63.916 27.3988
63.354497 63.923 27.2699
63.720708 63.926 27.1621
64.086919 63.930 27.0804
64.453130 63.935 27.0140
64.819341 63.943 26.9445
65.185552 63.952 26.8592
65.551763 63.960 26.7594
65.917974 63.964 26.6576
66.284185 63.967 26.5678
66.650396 63.970 26.4953
67.016607 63.974 26.4342
67.382818 63.980 26.3727
67.749029 63.988 26.3019
68.115240 63.995 26.2206
68.481451 64.001 26.1348
68.847662 64.006 26.0522
69.213873 64.011 25.9770
69.580084 64.015 25.9082
69.946295 64.021 25.8421
70.312506 64.026 25.7758
70.678717 64.031 25.7098
71.044928 64.036 25.6465
71.411139 64.041 25.5881
71.777350 64.046 25.5335
72.143561 64.053 25.4790
72.509771 64.059 25.4205
72.875982 64.066 25.3558
73.242193 64.072 25.2864
73.608404 64.076 25.2154
73.974615 64.080 25.1458
74.340826 64.083 25.0791
74.707037 64.086 25.0154
75.073248 64.088 24.9546
75.439459 64.090 24.8972
75.805670 64.092 24.8429
76.171881 64.095 24.7897
76.538092 64.097 24.7338
76.904303 64.100 24.6726
77.270514 64.100 24.6075
77.636725 64.099 24.5456
78.002936 64.097 24.4967
78.369147 64.094 24.4670
78.735358 64.093 24.4543
79.101569 64.096 24.4472
79.467780 64.101 24.4312
79.833991 64.108 24.3970
80.200202 64.114 24.3457
80.566413 64.119 24.2876
80.932624 64.122 24.2346
81.298835 64.125 24.1930
81.665046 64.129 24.1594
82.031257 64.135 24.1247
82.397468 64.143 24.0806
82.763679 64.150 24.0249
83.129890 64.157 23.9622
83.496101 64.162 23.8998
83.862311 64.167 23.8426
84.228522 64.171 23.7915
84.594733 64.175 23.7448
84.960944 64.180 23.7005
85.327155 64.185 23.6579
85.693366 64.190 23.6170
86.059577 64.194 23.5781
86.425788 64.198 23.5411
86.791999 64.201 23.5076
87.158210 64.204 23.4805
87.524421 64.207 23.4627
87.890632 64.210 23.4541
88.256843 64.215 23.4493
88.623054 64.221 23.4396
88.989265 64.229 23.4180
89.355476 64.235 23.3836
89.721687 64.239 23.3430
90.087898 64.242 23.3062
90.454109 64.243 23.2801
90.820320 64.245 23.2638
91.186531 64.249 23.2498
91.552742 64.254 23.2290
91.918953 64.259 23.1969
92.285164 64.264 23.1565
92.651375 64.266 23.1155
93.017586 64.268 23.0808
93.383797 64.270 23.0544
93.750008 64.273 23.0326
94.116219 64.277 23.0099
94.482430 64.281 22.9829
94.848641 64.286 22.9524
95.214851 64.289 22.9220
95.581062 64.292 22.8951
95.947273 64.296 22.8720
96.313484 64.300 22.8506
96.679695 64.304 22.8284
97.045906 64.307 22.8054
97.412117 64.311 22.7839
97.778328 64.314 22.7666
98.144539 64.317 22.7540
98.510750 64.321 22.7434
98.876961 64.325 22.7307
99.243172 64.330 22.7128
99.609383 64.334 22.6901
99.975594 64.337 22.6656
100.341805 64.339 22.6430
100.708016 64.341 22.6243
101.074227 64.344 22.6089
101.440438 64.346 22.5951
101.806649 64.349 22.5813
102.172860 64.352 22.5669
102.539071 64.356 22.5522
102.905282 64.360 22.5371
103.271493 64.364 22.5206
103.637704 64.368 22.5024
104.003915 64.372 22.4830
104.370126 64.376 22.4641
104.736337 64.380 22.4470
105.102548 64.384 22.4318
105.468759 64.389 22.4167
105.834970 64.394 22.3997
106.201180 64.398 22.3801
106.567391 64.402 22.3596
106.933602 64.406 22.3411
107.299813 64.409 22.3266
107.666024 64.412 22.3155
108.032235 64.416 22.3054
108.398446 64.420 22.2938
108.764657 64.423 22.2799
109.130868 64.426 22.2656
109.497079 64.428 22.2535
109.863290 64.430 22.2452
110.229501 64.432 22.2405
110.595712 64.435 22.2376
110.961923 64.438 22.2350
111.328134 64.442 22.2315
111.694345 64.446 22.2264
112.060556 64.450 22.2186
112.426767 64.455 22.2062
112.792978 64.461 22.1875
113.159189 64.465 22.1633
113.525400 64.469 22.1367
113.891611 64.471 22.1128
114.257822 64.473 22.0959
114.624033 64.475 22.0874
114.990244 64.477 22.0851
115.356455 64.481 22.0853
115.722666 64.485 22.0845
116.088877 64.489 22.0817
116.455088 64.493 22.0779
116.821299 64.497 22.0747
117.187510 64.501 22.0729
117.553720 64.506 22.0715
117.919931 64.510 22.0687
118.286142 64.514 22.0634
118.652353 64.518 22.0560
119.018564 64.522 22.0485
119.384775 64.525 22.0430
119.750986 64.528 22.0405
120.117197 64.531 22.0400
120.483408 64.535 22.0388
120.849619 64.540 22.0344
121.215830 64.545 22.0253
121.582041 64.549 22.0124
121.948252 64.553 21.9978
122.314463 64.557 21.9838
122.680674 64.560 21.9714
123.046885 64.564 21.9602
123.413096 64.568 21.9490
123.779307 64.571 21.9373
124.145518 64.574 21.9259
124.511729 64.577 21.9168
124.877940 64.580 21.9118
125.244151 64.583 21.9114
125.610362 64.587 21.9145
125.976573 64.591 21.9188
126.342784 64.596 21.9227
126.708995 64.600 21.9255
127.075206 64.605 21.9275
127.441417 64.610 21.9294
127.807628 64.615 21.9314
128.173839 64.619 21.9327
128.540049 64.624 21.9322
128.906260 64.629 21.9293
129.272471 64.634 21.9246
129.638682 64.638 21.9191
130.004893 64.642 21.9142
130.371104 64.646 21.9107
130.737315 64.650 21.9086
131.103526 64.654 21.9072
131.469737 64.659 21.9058
131.835948 64.663 21.9040
132.202159 64.668 21.9018
132.568370 64.673 21.8993
132.934581 64.678 21.8968
133.300792 64.683 21.8946
133.667003 64.688 21.8930
134.033214 64.694 21.8919
134.399425 64.699 21.8910
134.765636 64.704 21.8899
135.131847 64.710 21.8886
135.498058 64.715 21.8875
135.864269 64.720 21.8876
136.230480 64.725 21.8892
136.596691 64.730 21.8918
136.962902 64.736 21.8939
137.329113 64.741 21.8939
137.695324 64.747 21.8909
138.061535 64.751 21.8860
138.427746 64.755 21.8821
138.793957 64.759 21.8823
139.160168 64.762 21.8884
139.526379 64.766 21.8993
139.892589 64.770 21.9119
140.258800 64.776 21.9221
140.625011 64.781 21.9274
140.991222 64.787 21.9276
141.357433 64.792 21.9248
141.723644 64.796 21.9219
142.089855 64.800 21.9214
142.456066 64.804 21.9240
142.822277 64.809 21.9290
143.188488 64.813 21.9347
143.554699 64.818 21.9398
143.920910 64.823 21.9436
144.287121 64.828 21.9459
144.653332 64.834 21.9469
145.019543 64.839 21.9471
145.385754 64.844 21.9466
145.751965 64.849 21.9455
146.118176 64.854 21.9436
146.484387 64.859 21.9410
146.850598 64.864 21.9380
147.216809 64.869 21.9349
147.583020 64.873 21.9324
147.949231 64.877 21.9312
148.315442 64.881 21.9316
148.681653 64.885 21.9334
149.047864 64.890 21.9362
149.414075 64.894 21.9396
149.780286 64.899 21.9429
150.146497 64.904 21.9458
150.512708 64.909 21.9479
150.878918 64.914 21.9492
151.245129 64.919 21.9495
151.611340 64.925 21.9489
151.977551 64.930 21.9476
152.343762 64.935 21.9458
152.709973 64.940 21.9441
