* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:07:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Green Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.262 158.9754
0.732422 57.444 138.2926
1.098633 53.980 118.6932
1.464844 47.516 103.5514
1.831055 33.731 160.9279
2.197266 44.572 -146.1504
2.563477 47.732 -160.3617
2.929688 47.694 -177.3093
3.295899 45.638 168.7758
3.662110 42.232 165.8746
4.028321 40.516 -179.0151
4.394532 42.611 -174.0566
4.760743 44.961 173.2613
5.126954 46.611 155.4492
5.493164 47.662 139.4331
5.859375 48.326 128.6005
6.225586 48.989 123.8221
6.591797 50.050 122.7782
6.958008 51.460 121.6552
7.324219 52.837 118.8944
7.690430 53.925 115.2835
8.056641 54.709 112.0714
8.422852 55.313 109.9182
8.789063 55.880 108.6290
9.155274 56.471 107.4967
9.521485 57.050 105.9796
9.887696 57.557 104.0392
10.253907 57.911 101.9443
10.620118 58.171 99.9275
10.986329 58.405 98.0192
11.352540 58.635 96.1099
11.718751 58.861 94.1134
12.084962 59.075 92.0475
12.451173 59.280 89.9879
12.817384 59.540 87.9836
13.183595 59.811 86.0312
13.549806 60.080 84.1180
13.916017 60.339 82.2669
14.282228 60.585 80.5302
14.648439 60.821 78.9434
15.014650 61.052 77.4928
15.380861 61.277 76.1316
15.747072 61.491 74.8249
16.113283 61.693 73.5755
16.479493 61.887 72.4085
16.845704 62.065 71.3346
17.211915 62.234 70.3311
17.578126 62.393 69.3563
17.944337 62.541 68.3801
18.310548 62.676 67.3988
18.676759 62.797 66.4259
19.042970 62.908 65.4713
19.409181 63.012 64.5311
19.775392 63.112 63.5950
20.141603 63.210 62.6577
20.507814 63.306 61.7239
20.874025 63.400 60.8022
21.240236 63.493 59.8979
21.606447 63.585 59.0131
21.972658 63.676 58.1499
22.338869 63.767 57.3127
22.705080 63.856 56.5051
23.071291 63.945 55.7268
23.437502 64.031 54.9760
23.803713 64.113 54.2544
24.169924 64.191 53.5694
24.536135 64.264 52.9285
24.902346 64.335 52.3305
25.268557 64.405 51.7620
25.634768 64.473 51.2043
26.000979 64.537 50.6453
26.367190 64.596 50.0865
26.733401 64.648 49.5388
27.099612 64.695 49.0118
27.465823 64.740 48.5044
27.832033 64.784 48.0057
28.198244 64.827 47.5027
28.564455 64.868 46.9909
28.930666 64.907 46.4765
29.296877 64.943 45.9725
29.663088 64.978 45.4891
30.029299 65.013 45.0274
30.395510 65.052 44.5786
30.761721 65.092 44.1304
31.127932 65.134 43.6752
31.494143 65.174 43.2158
31.860354 65.211 42.7631
32.226565 65.245 42.3296
32.592776 65.278 41.9211
32.958987 65.311 41.5348
33.325198 65.344 41.1631
33.691409 65.376 40.7996
34.057620 65.406 40.4437
34.423831 65.434 40.0980
34.790042 65.461 39.7640
35.156253 65.487 39.4394
35.522464 65.512 39.1199
35.888675 65.536 38.8027
36.254886 65.558 38.4885
36.621097 65.579 38.1801
36.987308 65.599 37.8788
37.353519 65.619 37.5830
37.719730 65.639 37.2900
38.085941 65.659 36.9982
38.452152 65.678 36.7080
38.818363 65.698 36.4198
39.184573 65.717 36.1333
39.550784 65.735 35.8482
39.916995 65.753 35.5666
40.283206 65.770 35.2934
40.649417 65.787 35.0334
41.015628 65.804 34.7874
41.381839 65.822 34.5499
41.748050 65.841 34.3125
42.114261 65.860 34.0698
42.480472 65.877 33.8234
42.846683 65.892 33.5805
43.212894 65.906 33.3485
43.579105 65.919 33.1301
43.945316 65.933 32.9212
44.311527 65.948 32.7148
44.677738 65.964 32.5057
45.043949 65.978 32.2925
45.410160 65.992 32.0781
45.776371 66.005 31.8665
46.142582 66.017 31.6611
46.508793 66.028 31.4635
46.875004 66.039 31.2733
47.241215 66.051 31.0893
47.607426 66.063 30.9096
47.973637 66.075 30.7322
48.339848 66.088 30.5556
48.706059 66.100 30.3790
49.072270 66.112 30.2027
49.438481 66.124 30.0271
49.804692 66.135 29.8532
50.170902 66.146 29.6815
50.537113 66.156 29.5123
50.903324 66.166 29.3461
51.269535 66.175 29.1834
51.635746 66.184 29.0248
52.001957 66.193 28.8702
52.368168 66.203 28.7184
52.734379 66.212 28.5679
53.100590 66.222 28.4171
53.466801 66.231 28.2660
53.833012 66.240 28.1160
54.199223 66.248 27.9692
54.565434 66.256 27.8273
54.931645 66.265 27.6900
55.297856 66.274 27.5556
55.664067 66.282 27.4222
56.030278 66.291 27.2894
56.396489 66.300 27.1580
56.762700 66.308 27.0296
57.128911 66.316 26.9044
57.495122 66.324 26.7810
57.861333 66.333 26.6576
58.227544 66.340 26.5332
58.593755 66.348 26.4091
58.959966 66.354 26.2877
59.326177 66.360 26.1714
59.692388 66.367 26.0603
60.058599 66.373 25.9525
60.424810 66.380 25.8449
60.791021 66.388 25.7348
61.157232 66.396 25.6216
61.523442 66.403 25.5065
61.889653 66.409 25.3921
62.255864 66.415 25.2809
62.622075 66.420 25.1748
62.988286 66.426 25.0741
63.354497 66.431 24.9773
63.720708 66.438 24.8820
64.086919 66.444 24.7855
64.453130 66.451 24.6861
64.819341 66.457 24.5837
65.185552 66.462 24.4802
65.551763 66.467 24.3784
65.917974 66.470 24.2812
66.284185 66.474 24.1902
66.650396 66.477 24.1051
67.016607 66.481 24.0239
67.382818 66.485 23.9437
67.749029 66.490 23.8624
68.115240 66.495 23.7791
68.481451 66.499 23.6946
68.847662 66.504 23.6102
69.213873 66.508 23.5268
69.580084 66.512 23.4445
69.946295 66.516 23.3626
70.312506 66.521 23.2803
70.678717 66.525 23.1974
71.044928 66.529 23.1148
71.411139 66.533 23.0336
71.777350 66.536 22.9549
72.143561 66.540 22.8791
72.509771 66.544 22.8059
72.875982 66.547 22.7344
73.242193 66.551 22.6641
73.608404 66.555 22.5948
73.974615 66.558 22.5269
74.340826 66.562 22.4606
74.707037 66.566 22.3955
75.073248 66.570 22.3307
75.439459 66.574 22.2651
75.805670 66.577 22.1984
76.171881 66.581 22.1313
76.538092 66.583 22.0654
76.904303 66.586 22.0021
77.270514 66.589 21.9415
77.636725 66.592 21.8826
78.002936 66.595 21.8234
78.369147 66.598 21.7628
78.735358 66.602 21.7008
79.101569 66.605 21.6385
79.467780 66.608 21.5770
79.833991 66.611 21.5168
80.200202 66.614 21.4575
80.566413 66.617 21.3984
80.932624 66.620 21.3398
81.298835 66.622 21.2823
81.665046 66.625 21.2271
82.031257 66.628 21.1746
82.397468 66.631 21.1239
82.763679 66.634 21.0735
83.129890 66.638 21.0218
83.496101 66.641 20.9683
83.862311 66.645 20.9138
84.228522 66.648 20.8598
84.594733 66.651 20.8077
84.960944 66.654 20.7578
85.327155 66.657 20.7094
85.693366 66.660 20.6615
86.059577 66.664 20.6131
86.425788 66.667 20.5637
86.791999 66.671 20.5135
87.158210 66.674 20.4629
87.524421 66.677 20.4126
87.890632 66.680 20.3629
88.256843 66.683 20.3146
88.623054 66.685 20.2682
88.989265 66.687 20.2242
89.355476 66.690 20.1826
89.721687 66.693 20.1428
90.087898 66.695 20.1037
90.454109 66.698 20.0642
90.820320 66.702 20.0238
91.186531 66.705 19.9825
91.552742 66.707 19.9413
91.918953 66.710 19.9012
92.285164 66.712 19.8628
92.651375 66.715 19.8259
93.017586 66.718 19.7894
93.383797 66.721 19.7520
93.750008 66.724 19.7129
94.116219 66.728 19.6725
94.482430 66.730 19.6316
94.848641 66.733 19.5915
95.214851 66.735 19.5530
95.581062 66.738 19.5160
95.947273 66.740 19.4797
96.313484 66.743 19.4432
96.679695 66.745 19.4066
97.045906 66.748 19.3704
97.412117 66.750 19.3356
97.778328 66.752 19.3027
98.144539 66.754 19.2716
98.510750 66.757 19.2412
98.876961 66.759 19.2106
99.243172 66.762 19.1791
99.609383 66.764 19.1469
99.975594 66.767 19.1144
100.341805 66.769 19.0821
100.708016 66.772 19.0497
101.074227 66.774 19.0168
101.440438 66.776 18.9829
101.806649 66.778 18.9482
102.172860 66.780 18.9136
102.539071 66.782 18.8806
102.905282 66.783 18.8506
103.271493 66.785 18.8235
103.637704 66.787 18.7984
104.003915 66.789 18.7732
104.370126 66.792 18.7463
104.736337 66.795 18.7167
105.102548 66.798 18.6847
105.468759 66.801 18.6517
105.834970 66.804 18.6191
106.201180 66.806 18.5880
106.567391 66.808 18.5585
106.933602 66.810 18.5304
107.299813 66.813 18.5029
107.666024 66.815 18.4759
108.032235 66.817 18.4493
108.398446 66.820 18.4236
108.764657 66.822 18.3985
109.130868 66.825 18.3739
109.497079 66.827 18.3495
109.863290 66.829 18.3252
110.229501 66.832 18.3011
110.595712 66.834 18.2776
110.961923 66.836 18.2548
111.328134 66.838 18.2327
111.694345 66.841 18.2106
112.060556 66.843 18.1879
112.426767 66.845 18.1643
112.792978 66.848 18.1400
113.159189 66.850 18.1157
113.525400 66.851 18.0923
113.891611 66.853 18.0703
114.257822 66.855 18.0498
114.624033 66.857 18.0306
114.990244 66.859 18.0118
115.356455 66.861 17.9926
115.722666 66.864 17.9725
116.088877 66.866 17.9512
116.455088 66.869 17.9288
116.821299 66.871 17.9057
117.187510 66.874 17.8821
117.553720 66.876 17.8584
117.919931 66.878 17.8346
118.286142 66.880 17.8108
118.652353 66.882 17.7872
119.018564 66.884 17.7641
119.384775 66.885 17.7421
119.750986 66.887 17.7214
120.117197 66.888 17.7024
120.483408 66.890 17.6849
120.849619 66.892 17.6683
121.215830 66.894 17.6520
121.582041 66.897 17.6352
121.948252 66.899 17.6177
122.314463 66.902 17.5995
122.680674 66.904 17.5809
123.046885 66.906 17.5622
123.413096 66.909 17.5433
123.779307 66.911 17.5243
124.145518 66.914 17.5049
124.511729 66.916 17.4856
124.877940 66.919 17.4669
125.244151 66.921 17.4495
125.610362 66.924 17.4337
125.976573 66.927 17.4188
126.342784 66.930 17.4041
126.708995 66.934 17.3883
127.075206 66.938 17.3711
127.441417 66.941 17.3526
127.807628 66.944 17.3339
128.173839 66.947 17.3158
128.540049 66.950 17.2988
128.906260 66.953 17.2827
129.272471 66.956 17.2670
129.638682 66.959 17.2507
130.004893 66.963 17.2336
130.371104 66.966 17.2159
130.737315 66.968 17.1983
131.103526 66.971 17.1815
131.469737 66.974 17.1662
131.835948 66.977 17.1523
132.202159 66.980 17.1395
132.568370 66.983 17.1269
132.934581 66.986 17.1141
133.300792 66.990 17.1007
133.667003 66.994 17.0866
134.033214 66.997 17.0723
134.399425 67.001 17.0581
134.765636 67.004 17.0441
135.131847 67.008 17.0302
135.498058 67.011 17.0162
135.864269 67.015 17.0019
136.230480 67.018 16.9871
136.596691 67.021 16.9722
136.962902 67.024 16.9576
137.329113 67.027 16.9436
137.695324 67.030 16.9305
138.061535 67.033 16.9179
138.427746 67.036 16.9053
138.793957 67.039 16.8923
139.160168 67.042 16.8788
139.526379 67.045 16.8650
139.892589 67.048 16.8515
140.258800 67.050 16.8388
140.625011 67.053 16.8272
140.991222 67.056 16.8164
141.357433 67.059 16.8063
141.723644 67.062 16.7963
142.089855 67.066 16.7861
142.456066 67.069 16.7755
142.822277 67.073 16.7644
143.188488 67.077 16.7528
143.554699 67.080 16.7409
143.920910 67.084 16.7285
144.287121 67.088 16.7157
144.653332 67.091 16.7026
145.019543 67.095 16.6894
145.385754 67.098 16.6763
145.751965 67.101 16.6635
146.118176 67.104 16.6514
146.484387 67.107 16.6401
146.850598 67.110 16.6294
147.216809 67.113 16.6192
147.583020 67.116 16.6091
147.949231 67.119 16.5986
148.315442 67.122 16.5874
148.681653 67.125 16.5753
149.047864 67.128 16.5623
149.414075 67.131 16.5490
149.780286 67.133 16.5356
150.146497 67.136 16.5225
150.512708 67.139 16.5101
150.878918 67.142 16.4985
151.245129 67.144 16.4877
151.611340 67.147 16.4777
151.977551 67.150 16.4683
152.343762 67.154 16.4593
152.709973 67.157 16.4503
