* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:06:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Green Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.501 -21.7619
0.732422 60.620 -43.5272
1.098633 57.035 -65.3548
1.464844 50.309 -87.6891
1.831055 23.972 -168.0169
2.197266 45.961 53.8591
2.563477 48.370 32.9830
2.929688 46.205 13.6444
3.295899 37.268 1.1742
3.662110 38.021 142.3503
4.028321 45.649 131.8579
4.394532 47.613 119.6207
4.760743 47.133 113.5969
5.126954 45.693 120.9357
5.493164 46.049 138.8066
5.859375 48.132 146.4846
6.225586 49.682 143.4974
6.591797 50.241 137.1629
6.958008 50.088 131.8989
7.324219 49.754 129.6773
7.690430 49.805 129.3584
8.056641 50.365 127.6966
8.422852 51.109 123.2501
8.789063 51.759 117.1321
9.155274 52.262 111.0744
9.521485 52.707 106.1839
9.887696 53.202 102.6142
10.253907 53.723 99.8897
10.620118 54.262 97.5554
10.986329 54.792 95.4956
11.352540 55.291 93.7440
11.718751 55.763 92.2156
12.084962 56.198 90.7082
12.451173 56.568 89.1130
12.817384 56.903 87.5390
13.183595 57.163 86.2082
13.549806 57.377 85.2295
13.916017 57.589 84.4642
14.282228 57.815 83.6202
14.648439 58.034 82.4915
15.014650 58.218 81.0994
15.380861 58.359 79.6224
15.747072 58.477 78.2174
16.113283 58.606 76.9005
16.479493 58.766 75.5692
16.845704 58.943 74.1254
17.211915 59.118 72.5712
17.578126 59.282 71.0018
17.944337 59.435 69.5302
18.310548 59.586 68.2183
18.676759 59.744 67.0621
19.042970 59.911 66.0172
19.409181 60.085 65.0330
19.775392 60.257 64.0740
20.141603 60.419 63.1305
20.507814 60.566 62.2246
20.874025 60.691 61.4024
21.240236 60.800 60.7045
21.606447 60.904 60.1255
21.972658 61.012 59.5973
22.338869 61.123 59.0209
22.705080 61.228 58.3297
23.071291 61.312 57.5361
23.437502 61.370 56.7223
23.803713 61.408 55.9833
24.169924 61.440 55.3621
24.536135 61.483 54.8220
24.902346 61.542 54.2747
25.268557 61.613 53.6426
25.634768 61.683 52.9096
26.000979 61.742 52.1290
26.367190 61.789 51.3869
26.733401 61.830 50.7491
27.099612 61.879 50.2216
27.465823 61.942 49.7473
27.832033 62.018 49.2464
28.198244 62.095 48.6733
28.564455 62.159 48.0525
28.930666 62.204 47.4647
29.296877 62.236 46.9929
29.663088 62.267 46.6628
30.029299 62.309 46.4219
30.395510 62.366 46.1739
30.761721 62.429 45.8448
31.127932 62.485 45.4278
31.494143 62.527 44.9736
31.860354 62.557 44.5431
32.226565 62.582 44.1622
32.592776 62.609 43.8114
32.958987 62.639 43.4525
33.325198 62.669 43.0639
33.691409 62.696 42.6550
34.057620 62.718 42.2530
34.423831 62.737 41.8808
34.790042 62.758 41.5443
35.156253 62.783 41.2342
35.522464 62.812 40.9339
35.888675 62.847 40.6248
36.254886 62.885 40.2885
36.621097 62.921 39.9145
36.987308 62.951 39.5118
37.353519 62.970 39.1144
37.719730 62.980 38.7699
38.085941 62.985 38.5128
38.452152 62.996 38.3389
38.818363 63.018 38.2022
39.184573 63.051 38.0399
39.550784 63.088 37.8109
39.916995 63.121 37.5175
40.283206 63.146 37.1985
40.649417 63.163 36.8988
41.015628 63.177 36.6401
41.381839 63.194 36.4110
41.748050 63.214 36.1814
42.114261 63.237 35.9277
42.480472 63.256 35.6503
42.846683 63.271 35.3716
43.212894 63.282 35.1187
43.579105 63.292 34.9049
43.945316 63.305 34.7211
44.311527 63.324 34.5436
44.677738 63.346 34.3495
45.043949 63.368 34.1304
45.410160 63.386 33.8957
45.776371 63.400 33.6639
46.142582 63.412 33.4512
46.508793 63.422 33.2621
46.875004 63.433 33.0905
47.241215 63.445 32.9256
47.607426 63.458 32.7602
47.973637 63.471 32.5941
48.339848 63.483 32.4315
48.706059 63.494 32.2762
49.072270 63.506 32.1271
49.438481 63.519 31.9791
49.804692 63.533 31.8263
50.170902 63.546 31.6666
50.537113 63.558 31.5038
50.903324 63.568 31.3451
51.269535 63.577 31.1971
51.635746 63.586 31.0616
52.001957 63.596 30.9343
52.368168 63.608 30.8077
52.734379 63.619 30.6752
53.100590 63.631 30.5355
53.466801 63.640 30.3931
53.833012 63.648 30.2557
54.199223 63.655 30.1288
54.565434 63.663 30.0117
54.931645 63.673 29.8973
55.297856 63.684 29.7763
55.664067 63.695 29.6439
56.030278 63.705 29.5027
56.396489 63.713 29.3612
56.762700 63.720 29.2276
57.128911 63.728 29.1038
57.495122 63.737 28.9840
57.861333 63.747 28.8599
58.227544 63.758 28.7279
58.593755 63.767 28.5929
58.959966 63.774 28.4653
59.326177 63.780 28.3533
59.692388 63.787 28.2567
60.058599 63.796 28.1676
60.424810 63.806 28.0765
60.791021 63.816 27.9798
61.157232 63.825 27.8810
61.523442 63.833 27.7866
61.889653 63.840 27.6998
62.255864 63.848 27.6181
62.622075 63.855 27.5362
62.988286 63.862 27.4514
63.354497 63.868 27.3657
63.720708 63.873 27.2832
64.086919 63.877 27.2051
64.453130 63.882 27.1284
64.819341 63.887 27.0480
65.185552 63.892 26.9619
65.551763 63.897 26.8731
65.917974 63.900 26.7873
66.284185 63.904 26.7077
66.650396 63.908 26.6322
67.016607 63.914 26.5556
67.382818 63.920 26.4737
67.749029 63.926 26.3874
68.115240 63.931 26.3018
68.481451 63.935 26.2220
68.847662 63.940 26.1497
69.213873 63.945 26.0828
69.580084 63.950 26.0180
69.946295 63.956 25.9546
70.312506 63.961 25.8943
70.678717 63.967 25.8389
71.044928 63.973 25.7862
71.411139 63.981 25.7301
71.777350 63.988 25.6645
72.143561 63.994 25.5882
72.509771 63.998 25.5077
72.875982 63.999 25.4346
73.242193 63.999 25.3783
73.608404 63.999 25.3401
73.974615 64.002 25.3118
74.340826 64.006 25.2810
74.707037 64.013 25.2380
75.073248 64.019 25.1808
75.439459 64.024 25.1143
75.805670 64.028 25.0449
76.171881 64.030 24.9772
76.538092 64.032 24.9127
76.904303 64.033 24.8528
77.270514 64.034 24.8002
77.636725 64.035 24.7581
78.002936 64.038 24.7260
78.369147 64.043 24.6969
78.735358 64.050 24.6597
79.101569 64.059 24.6061
79.467780 64.066 24.5359
79.833991 64.071 24.4587
80.200202 64.073 24.3882
80.566413 64.075 24.3342
80.932624 64.076 24.2975
81.298835 64.080 24.2710
81.665046 64.085 24.2452
82.031257 64.092 24.2144
82.397468 64.098 24.1791
82.763679 64.103 24.1433
83.129890 64.109 24.1112
83.496101 64.114 24.0840
83.862311 64.119 24.0599
84.228522 64.126 24.0355
84.594733 64.132 24.0076
84.960944 64.139 23.9743
85.327155 64.146 23.9353
85.693366 64.151 23.8919
86.059577 64.155 23.8467
86.425788 64.158 23.8027
86.791999 64.161 23.7619
87.158210 64.162 23.7247
87.524421 64.164 23.6907
87.890632 64.166 23.6596
88.256843 64.167 23.6317
88.623054 64.168 23.6081
88.989265 64.170 23.5884
89.355476 64.173 23.5703
89.721687 64.177 23.5499
90.087898 64.182 23.5239
90.454109 64.186 23.4921
90.820320 64.190 23.4569
91.186531 64.194 23.4222
91.552742 64.197 23.3902
91.918953 64.200 23.3606
92.285164 64.204 23.3317
92.651375 64.207 23.3023
93.017586 64.211 23.2734
93.383797 64.214 23.2473
93.750008 64.217 23.2253
94.116219 64.220 23.2061
94.482430 64.224 23.1868
94.848641 64.229 23.1642
95.214851 64.233 23.1380
95.581062 64.237 23.1108
95.947273 64.240 23.0863
96.313484 64.243 23.0669
96.679695 64.246 23.0519
97.045906 64.250 23.0383
97.412117 64.254 23.0228
97.778328 64.258 23.0039
98.144539 64.262 22.9827
98.510750 64.266 22.9613
98.876961 64.270 22.9413
99.243172 64.273 22.9226
99.609383 64.277 22.9036
99.975594 64.281 22.8828
100.341805 64.284 22.8603
100.708016 64.287 22.8377
101.074227 64.290 22.8170
101.440438 64.292 22.7998
101.806649 64.295 22.7859
102.172860 64.298 22.7739
102.539071 64.302 22.7620
102.905282 64.305 22.7489
103.271493 64.309 22.7341
103.637704 64.314 22.7176
104.003915 64.318 22.6994
104.370126 64.321 22.6799
104.736337 64.325 22.6603
105.102548 64.328 22.6422
105.468759 64.331 22.6276
105.834970 64.334 22.6173
106.201180 64.338 22.6103
106.567391 64.342 22.6041
106.933602 64.347 22.5957
107.299813 64.352 22.5833
107.666024 64.357 22.5672
108.032235 64.361 22.5496
108.398446 64.364 22.5331
108.764657 64.367 22.5198
109.130868 64.370 22.5104
109.497079 64.373 22.5040
109.863290 64.376 22.4993
110.229501 64.379 22.4950
110.595712 64.383 22.4901
110.961923 64.386 22.4845
111.328134 64.390 22.4779
111.694345 64.393 22.4708
112.060556 64.397 22.4634
112.426767 64.400 22.4558
112.792978 64.403 22.4484
113.159189 64.407 22.4412
113.525400 64.410 22.4341
113.891611 64.414 22.4270
114.257822 64.418 22.4196
114.624033 64.421 22.4118
114.990244 64.425 22.4037
115.356455 64.429 22.3953
115.722666 64.433 22.3873
116.088877 64.436 22.3800
116.455088 64.439 22.3741
116.821299 64.443 22.3697
117.187510 64.446 22.3670
117.553720 64.450 22.3659
117.919931 64.453 22.3660
118.286142 64.457 22.3669
118.652353 64.461 22.3675
119.018564 64.466 22.3666
119.384775 64.470 22.3629
119.750986 64.475 22.3558
120.117197 64.479 22.3456
120.483408 64.483 22.3335
120.849619 64.486 22.3214
121.215830 64.488 22.3109
121.582041 64.491 22.3030
121.948252 64.493 22.2977
122.314463 64.495 22.2946
122.680674 64.498 22.2931
123.046885 64.501 22.2924
123.413096 64.505 22.2920
123.779307 64.509 22.2910
124.145518 64.513 22.2889
124.511729 64.517 22.2853
124.877940 64.521 22.2806
125.244151 64.526 22.2754
125.610362 64.530 22.2707
125.976573 64.535 22.2670
126.342784 64.540 22.2645
126.708995 64.545 22.2625
127.075206 64.550 22.2604
127.441417 64.555 22.2576
127.807628 64.560 22.2542
128.173839 64.564 22.2508
128.540049 64.569 22.2482
128.906260 64.573 22.2468
129.272471 64.578 22.2466
129.638682 64.582 22.2473
130.004893 64.587 22.2483
130.371104 64.592 22.2490
130.737315 64.597 22.2495
131.103526 64.602 22.2498
131.469737 64.607 22.2500
131.835948 64.612 22.2498
132.202159 64.617 22.2490
132.568370 64.622 22.2477
132.934581 64.627 22.2464
133.300792 64.632 22.2461
133.667003 64.637 22.2473
134.033214 64.643 22.2501
134.399425 64.648 22.2533
134.765636 64.654 22.2555
135.131847 64.660 22.2556
135.498058 64.667 22.2534
135.864269 64.672 22.2498
136.230480 64.678 22.2462
136.596691 64.683 22.2439
136.962902 64.688 22.2432
137.329113 64.693 22.2438
137.695324 64.698 22.2448
138.061535 64.703 22.2455
138.427746 64.708 22.2455
138.793957 64.713 22.2449
139.160168 64.718 22.2441
139.526379 64.722 22.2433
139.892589 64.727 22.2432
140.258800 64.731 22.2441
140.625011 64.734 22.2468
140.991222 64.738 22.2513
141.357433 64.742 22.2575
141.723644 64.746 22.2649
142.089855 64.751 22.2726
142.456066 64.756 22.2799
142.822277 64.760 22.2863
143.188488 64.765 22.2916
143.554699 64.770 22.2960
143.920910 64.776 22.2995
144.287121 64.781 22.3023
144.653332 64.786 22.3044
145.019543 64.791 22.3060
145.385754 64.796 22.3074
145.751965 64.801 22.3087
146.118176 64.807 22.3098
146.484387 64.812 22.3106
146.850598 64.817 22.3110
147.216809 64.822 22.3110
147.583020 64.827 22.3108
147.949231 64.831 22.3108
148.315442 64.836 22.3115
148.681653 64.841 22.3132
149.047864 64.845 22.3159
149.414075 64.850 22.3197
149.780286 64.855 22.3241
150.146497 64.860 22.3289
150.512708 64.865 22.3335
150.878918 64.870 22.3377
151.245129 64.875 22.3413
151.611340 64.880 22.3443
151.977551 64.885 22.3468
152.343762 64.890 22.3488
152.709973 64.896 22.3506
