* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:05:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Purple Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.311 158.6588
0.732422 57.480 137.6008
1.098633 53.984 117.4444
1.464844 47.395 101.0889
1.831055 32.167 166.0323
2.197266 44.733 -144.1578
2.563477 47.883 -159.8906
2.929688 47.824 -177.5858
3.295899 45.735 167.8468
3.662110 42.225 164.3595
4.028321 40.366 -179.9688
4.394532 42.529 -174.3704
4.760743 44.939 172.8479
5.126954 46.600 154.8438
5.493164 47.629 138.7105
5.859375 48.251 127.9312
6.225586 48.883 123.4377
6.591797 49.952 122.7422
6.958008 51.396 121.7631
7.324219 52.793 118.9621
7.690430 53.879 115.3042
8.056641 54.650 112.1695
8.422852 55.254 110.2415
8.789063 55.852 109.2048
9.155274 56.501 108.1636
9.521485 57.138 106.4881
9.887696 57.678 104.2079
10.253907 58.028 101.7446
10.620118 58.256 99.4858
10.986329 58.448 97.5455
11.352540 58.651 95.7798
11.718751 58.875 93.9774
12.084962 59.107 92.0312
12.451173 59.334 89.9663
12.817384 59.605 87.8673
13.183595 59.873 85.8108
13.549806 60.129 83.8494
13.916017 60.376 82.0225
14.282228 60.615 80.3537
14.648439 60.853 78.8359
15.014650 61.090 77.4279
15.380861 61.322 76.0797
15.747072 61.542 74.7660
16.113283 61.748 73.4982
16.479493 61.944 72.3044
16.845704 62.122 71.1995
17.211915 62.287 70.1717
17.578126 62.441 69.1924
17.944337 62.584 68.2357
18.310548 62.717 67.2872
18.676759 62.840 66.3415
19.042970 62.953 65.3968
19.409181 63.058 64.4554
19.775392 63.157 63.5252
20.141603 63.253 62.6146
20.507814 63.352 61.7209
20.874025 63.454 60.8265
21.240236 63.558 59.9102
21.606447 63.660 58.9672
21.972658 63.754 58.0201
22.338869 63.841 57.1077
22.705080 63.923 56.2605
23.071291 64.004 55.4835
23.437502 64.086 54.7593
23.803713 64.169 54.0673
24.169924 64.250 53.4000
24.536135 64.327 52.7617
24.902346 64.401 52.1550
25.268557 64.473 51.5699
25.634768 64.542 50.9889
26.000979 64.605 50.4022
26.367190 64.658 49.8186
26.733401 64.701 49.2614
27.099612 64.737 48.7531
27.465823 64.771 48.3000
27.832033 64.806 47.8889
28.198244 64.846 47.4948
28.564455 64.892 47.0925
28.930666 64.940 46.6654
29.296877 64.989 46.2068
29.663088 65.037 45.7193
30.029299 65.083 45.2121
30.395510 65.125 44.6979
30.761721 65.164 44.1896
31.127932 65.200 43.6968
31.494143 65.235 43.2241
31.860354 65.268 42.7723
32.226565 65.301 42.3395
32.592776 65.333 41.9230
32.958987 65.363 41.5205
33.325198 65.392 41.1312
33.691409 65.419 40.7588
34.057620 65.442 40.4106
34.423831 65.465 40.0934
34.790042 65.488 39.8056
35.156253 65.515 39.5326
35.522464 65.546 39.2498
35.888675 65.578 38.9352
36.254886 65.608 38.5829
36.621097 65.632 38.2072
36.987308 65.649 37.8353
37.353519 65.662 37.4904
37.719730 65.674 37.1785
38.085941 65.689 36.8860
38.452152 65.708 36.5918
38.818363 65.727 36.2827
39.184573 65.744 35.9633
39.550784 65.759 35.6517
39.916995 65.771 35.3665
40.283206 65.786 35.1133
40.649417 65.804 34.8811
41.015628 65.827 34.6502
41.381839 65.852 34.4051
41.748050 65.877 34.1431
42.114261 65.899 33.8734
42.480472 65.917 33.6083
42.846683 65.934 33.3553
43.212894 65.949 33.1157
43.579105 65.962 32.8893
43.945316 65.973 32.6793
44.311527 65.983 32.4921
44.677738 65.995 32.3299
45.043949 66.009 32.1845
45.410160 66.027 32.0377
45.776371 66.049 31.8697
46.142582 66.070 31.6709
46.508793 66.088 31.4473
46.875004 66.102 31.2158
47.241215 66.112 30.9935
47.607426 66.121 30.7880
47.973637 66.130 30.5962
48.339848 66.140 30.4098
48.706059 66.150 30.2233
49.072270 66.160 30.0367
49.438481 66.170 29.8529
49.804692 66.180 29.6730
50.170902 66.191 29.4946
50.537113 66.202 29.3148
50.903324 66.212 29.1343
51.269535 66.221 28.9588
51.635746 66.229 28.7944
52.001957 66.237 28.6432
52.368168 66.246 28.5008
52.734379 66.257 28.3601
53.100590 66.268 28.2167
53.466801 66.278 28.0716
53.833012 66.287 27.9289
54.199223 66.296 27.7911
54.565434 66.304 27.6576
54.931645 66.312 27.5267
55.297856 66.319 27.3997
55.664067 66.326 27.2805
56.030278 66.333 27.1705
56.396489 66.343 27.0616
56.762700 66.355 26.9381
57.128911 66.366 26.7862
57.495122 66.374 26.6083
57.861333 66.375 26.4274
58.227544 66.371 26.2764
58.593755 66.365 26.1776
58.959966 66.364 26.1257
59.326177 66.372 26.0884
59.692388 66.387 26.0254
60.058599 66.406 25.9130
60.424810 66.422 25.7571
60.791021 66.432 25.5855
61.157232 66.438 25.4282
61.523442 66.442 25.2990
61.889653 66.448 25.1915
62.255864 66.456 25.0889
62.622075 66.466 24.9784
62.988286 66.474 24.8593
63.354497 66.481 24.7405
63.720708 66.486 24.6318
64.086919 66.490 24.5362
64.453130 66.495 24.4497
64.819341 66.501 24.3652
65.185552 66.506 24.2787
65.551763 66.512 24.1905
65.917974 66.516 24.1039
66.284185 66.520 24.0211
66.650396 66.524 23.9416
67.016607 66.528 23.8621
67.382818 66.533 23.7795
67.749029 66.537 23.6929
68.115240 66.541 23.6038
68.481451 66.544 23.5149
68.847662 66.548 23.4280
69.213873 66.551 23.3429
69.580084 66.554 23.2582
69.946295 66.558 23.1736
70.312506 66.562 23.0899
70.678717 66.566 23.0086
71.044928 66.570 22.9296
71.411139 66.575 22.8512
71.777350 66.579 22.7720
72.143561 66.584 22.6940
72.509771 66.587 22.6228
72.875982 66.591 22.5636
73.242193 66.596 22.5143
73.608404 66.604 22.4627
73.974615 66.615 22.3914
74.340826 66.624 22.2899
74.707037 66.629 22.1642
75.073248 66.628 22.0379
75.439459 66.621 21.9406
75.805670 66.612 21.8904
76.171881 66.606 21.8823
76.538092 66.607 21.8905
76.904303 66.614 21.8836
77.270514 66.624 21.8420
77.636725 66.632 21.7671
78.002936 66.637 21.6759
78.369147 66.639 21.5879
78.735358 66.640 21.5126
79.101569 66.641 21.4472
79.467780 66.643 21.3831
79.833991 66.646 21.3152
80.200202 66.647 21.2468
80.566413 66.649 21.1860
80.932624 66.651 21.1382
81.298835 66.654 21.1001
81.665046 66.661 21.0614
82.031257 66.669 21.0110
82.397468 66.677 20.9450
82.763679 66.684 20.8695
83.129890 66.689 20.7960
83.496101 66.692 20.7340
83.862311 66.697 20.6839
84.228522 66.703 20.6371
84.594733 66.710 20.5814
84.960944 66.718 20.5094
85.327155 66.723 20.4233
85.693366 66.725 20.3346
86.059577 66.723 20.2571
86.425788 66.720 20.2003
86.791999 66.717 20.1648
87.158210 66.716 20.1434
87.524421 66.717 20.1255
87.890632 66.720 20.1024
88.256843 66.724 20.0705
88.623054 66.727 20.0306
88.989265 66.730 19.9860
89.355476 66.732 19.9402
89.721687 66.734 19.8955
90.087898 66.735 19.8529
90.454109 66.737 19.8124
90.820320 66.739 19.7736
91.186531 66.740 19.7357
91.552742 66.743 19.6984
91.918953 66.745 19.6612
92.285164 66.748 19.6242
92.651375 66.751 19.5872
93.017586 66.755 19.5496
93.383797 66.758 19.5104
93.750008 66.762 19.4685
94.116219 66.766 19.4238
94.482430 66.769 19.3771
94.848641 66.772 19.3303
95.214851 66.774 19.2854
95.581062 66.776 19.2435
95.947273 66.778 19.2047
96.313484 66.780 19.1679
96.679695 66.782 19.1320
97.045906 66.784 19.0965
97.412117 66.786 19.0615
97.778328 66.788 19.0274
98.144539 66.789 18.9945
98.510750 66.791 18.9625
98.876961 66.793 18.9304
99.243172 66.795 18.8978
99.609383 66.798 18.8645
99.975594 66.800 18.8312
100.341805 66.801 18.7985
100.708016 66.804 18.7668
101.074227 66.806 18.7357
101.440438 66.809 18.7042
101.806649 66.811 18.6716
102.172860 66.814 18.6375
102.539071 66.817 18.6022
102.905282 66.819 18.5661
103.271493 66.822 18.5299
103.637704 66.824 18.4946
104.003915 66.825 18.4613
104.370126 66.827 18.4315
104.736337 66.828 18.4059
105.102548 66.830 18.3846
105.468759 66.832 18.3657
105.834970 66.835 18.3466
106.201180 66.839 18.3247
106.567391 66.843 18.2985
106.933602 66.846 18.2682
107.299813 66.849 18.2354
107.666024 66.852 18.2021
108.032235 66.854 18.1696
108.398446 66.856 18.1387
108.764657 66.858 18.1093
109.130868 66.859 18.0814
109.497079 66.861 18.0552
109.863290 66.862 18.0309
110.229501 66.864 18.0088
110.595712 66.865 17.9885
110.961923 66.867 17.9689
111.328134 66.870 17.9488
111.694345 66.873 17.9272
112.060556 66.876 17.9035
112.426767 66.879 17.8777
112.792978 66.881 17.8501
113.159189 66.884 17.8210
113.525400 66.886 17.7914
113.891611 66.888 17.7620
114.257822 66.889 17.7339
114.624033 66.891 17.7077
114.990244 66.892 17.6837
115.356455 66.893 17.6617
115.722666 66.895 17.6412
116.088877 66.896 17.6213
116.455088 66.898 17.6015
116.821299 66.900 17.5815
117.187510 66.902 17.5613
117.553720 66.904 17.5412
117.919931 66.907 17.5215
118.286142 66.909 17.5021
118.652353 66.911 17.4832
119.018564 66.913 17.4643
119.384775 66.916 17.4451
119.750986 66.918 17.4256
120.117197 66.921 17.4060
120.483408 66.923 17.3870
120.849619 66.925 17.3689
121.215830 66.927 17.3518
121.582041 66.929 17.3350
121.948252 66.932 17.3177
122.314463 66.934 17.2993
122.680674 66.937 17.2799
123.046885 66.939 17.2596
123.413096 66.941 17.2387
123.779307 66.944 17.2169
124.145518 66.946 17.1939
124.511729 66.948 17.1696
124.877940 66.950 17.1445
125.244151 66.952 17.1197
125.610362 66.954 17.0968
125.976573 66.956 17.0765
126.342784 66.958 17.0588
126.708995 66.961 17.0428
127.075206 66.964 17.0271
127.441417 66.968 17.0105
127.807628 66.971 16.9924
128.173839 66.975 16.9729
128.540049 66.978 16.9527
128.906260 66.981 16.9331
129.272471 66.984 16.9153
129.638682 66.986 16.9003
130.004893 66.989 16.8881
130.371104 66.992 16.8778
130.737315 66.995 16.8681
131.103526 66.999 16.8577
131.469737 67.002 16.8460
131.835948 67.005 16.8332
132.202159 67.008 16.8201
132.568370 67.011 16.8069
132.934581 67.014 16.7936
133.300792 67.018 16.7798
133.667003 67.021 16.7651
134.033214 67.024 16.7492
134.399425 67.027 16.7325
134.765636 67.030 16.7152
135.131847 67.033 16.6975
135.498058 67.036 16.6791
135.864269 67.038 16.6601
136.230480 67.041 16.6408
136.596691 67.044 16.6223
136.962902 67.046 16.6057
137.329113 67.049 16.5915
137.695324 67.052 16.5792
138.061535 67.055 16.5675
138.427746 67.059 16.5553
138.793957 67.062 16.5418
139.160168 67.066 16.5271
139.526379 67.069 16.5121
139.892589 67.073 16.4974
140.258800 67.076 16.4835
140.625011 67.079 16.4705
140.991222 67.082 16.4584
141.357433 67.085 16.4472
141.723644 67.087 16.4371
142.089855 67.090 16.4279
142.456066 67.093 16.4191
142.822277 67.096 16.4099
143.188488 67.100 16.3993
143.554699 67.103 16.3871
143.920910 67.106 16.3735
144.287121 67.109 16.3592
144.653332 67.112 16.3448
145.019543 67.115 16.3305
145.385754 67.118 16.3162
145.751965 67.120 16.3016
146.118176 67.123 16.2868
146.484387 67.126 16.2720
146.850598 67.128 16.2581
147.216809 67.131 16.2457
147.583020 67.133 16.2351
147.949231 67.136 16.2261
148.315442 67.138 16.2183
148.681653 67.142 16.2110
149.047864 67.145 16.2033
149.414075 67.148 16.1947
149.780286 67.152 16.1847
150.146497 67.155 16.1733
150.512708 67.159 16.1608
150.878918 67.162 16.1481
151.245129 67.165 16.1358
151.611340 67.167 16.1245
151.977551 67.170 16.1144
152.343762 67.172 16.1052
152.709973 67.175 16.0965
