* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 26, 2023 6:03:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ozar n.Silver f.Red Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.322 -21.6926
0.732422 60.426 -43.3868
1.098633 56.804 -65.1378
1.464844 49.958 -87.1865
1.831055 23.294 146.0749
2.197266 46.081 54.5115
2.563477 48.355 33.3769
2.929688 46.108 14.2247
3.295899 36.942 2.6466
3.662110 38.322 142.4726
4.028321 45.748 132.0695
4.394532 47.667 119.8440
4.760743 47.163 113.7203
5.126954 45.680 120.8765
5.493164 45.972 138.8422
5.859375 48.036 146.7388
6.225586 49.583 143.8017
6.591797 50.134 137.4109
6.958008 49.963 132.0511
7.324219 49.605 129.7665
7.690430 49.639 129.4554
8.056641 50.201 127.8020
8.422852 50.960 123.3030
8.789063 51.628 117.1011
9.155274 52.148 110.9866
9.521485 52.612 106.0981
9.887696 53.136 102.5615
10.253907 53.693 99.8261
10.620118 54.263 97.3849
10.986329 54.806 95.1506
11.352540 55.295 93.2520
11.718751 55.742 91.7006
12.084962 56.155 90.3162
12.451173 56.521 88.9147
12.817384 56.869 87.4913
13.183595 57.150 86.1931
13.549806 57.376 85.1375
13.916017 57.585 84.2659
14.282228 57.796 83.3724
14.648439 58.002 82.2732
15.014650 58.182 80.9399
15.380861 58.328 79.4804
15.747072 58.450 78.0209
16.113283 58.572 76.6133
16.479493 58.714 75.2334
16.845704 58.869 73.8435
17.211915 59.033 72.4415
17.578126 59.202 71.0546
17.944337 59.378 69.7048
18.310548 59.557 68.3961
18.676759 59.734 67.1335
19.042970 59.904 65.9418
19.409181 60.064 64.8558
19.775392 60.217 63.8902
20.141603 60.366 63.0235
20.507814 60.510 62.2164
20.874025 60.644 61.4450
21.240236 60.762 60.7128
21.606447 60.867 60.0307
21.972658 60.961 59.3877
22.338869 61.049 58.7473
22.705080 61.127 58.0775
23.071291 61.190 57.3822
23.437502 61.239 56.7018
23.803713 61.281 56.0769
24.169924 61.326 55.5063
24.536135 61.382 54.9383
24.902346 61.448 54.3071
25.268557 61.515 53.5844
25.634768 61.574 52.8052
26.000979 61.621 52.0472
26.367190 61.662 51.3829
26.733401 61.708 50.8383
27.099612 61.767 50.3825
27.465823 61.841 49.9539
27.832033 61.927 49.5004
28.198244 62.014 49.0050
28.564455 62.097 48.4829
28.930666 62.174 47.9583
29.296877 62.243 47.4428
29.663088 62.307 46.9303
30.029299 62.362 46.4129
30.395510 62.405 45.8994
30.761721 62.434 45.4200
31.127932 62.454 45.0094
31.494143 62.472 44.6787
31.860354 62.496 44.4000
32.226565 62.528 44.1187
32.592776 62.564 43.7873
32.958987 62.599 43.3951
33.325198 62.626 42.9714
33.691409 62.646 42.5605
34.057620 62.664 42.1898
34.423831 62.685 41.8536
34.790042 62.712 41.5246
35.156253 62.743 41.1793
35.522464 62.772 40.8171
35.888675 62.798 40.4584
36.254886 62.822 40.1270
36.621097 62.846 39.8317
36.987308 62.872 39.5634
37.353519 62.901 39.3055
37.719730 62.931 39.0477
38.085941 62.961 38.7907
38.452152 62.991 38.5375
38.818363 63.022 38.2818
39.184573 63.054 38.0051
39.550784 63.084 37.6890
39.916995 63.108 37.3338
40.283206 63.122 36.9677
40.649417 63.126 36.6367
41.015628 63.125 36.3775
41.381839 63.129 36.1908
41.748050 63.142 36.0368
42.114261 63.165 35.8587
42.480472 63.193 35.6195
42.846683 63.216 35.3257
43.212894 63.231 35.0199
43.579105 63.239 34.7492
43.945316 63.246 34.5333
44.311527 63.258 34.3555
44.677738 63.277 34.1805
45.043949 63.297 33.9838
45.410160 63.316 33.7683
45.776371 63.330 33.5567
46.142582 63.342 33.3698
46.508793 63.355 33.2094
46.875004 63.370 33.0593
47.241215 63.387 32.9009
47.607426 63.403 32.7287
47.973637 63.417 32.5526
48.339848 63.428 32.3871
48.706059 63.438 32.2377
49.072270 63.450 32.0967
49.438481 63.464 31.9509
49.804692 63.477 31.7933
50.170902 63.490 31.6284
50.537113 63.501 31.4670
50.903324 63.512 31.3148
51.269535 63.524 31.1657
51.635746 63.537 31.0066
52.001957 63.550 30.8300
52.368168 63.560 30.6442
52.734379 63.565 30.4702
53.100590 63.567 30.3278
53.466801 63.572 30.2196
53.833012 63.581 30.1271
54.199223 63.594 30.0244
54.565434 63.608 29.8973
54.931645 63.619 29.7547
55.297856 63.626 29.6195
55.664067 63.632 29.5082
56.030278 63.639 29.4163
56.396489 63.650 29.3228
56.762700 63.661 29.2113
57.128911 63.669 29.0882
57.495122 63.673 28.9818
57.861333 63.676 28.9182
58.227544 63.684 28.8955
58.593755 63.701 28.8769
58.959966 63.727 28.8119
59.326177 63.753 28.6709
59.692388 63.773 28.4668
60.058599 63.781 28.2465
60.424810 63.780 28.0603
60.791021 63.777 27.9313
61.157232 63.776 27.8461
61.523442 63.781 27.7707
61.889653 63.789 27.6775
62.255864 63.796 27.5621
62.622075 63.800 27.4405
62.988286 63.801 27.3329
63.354497 63.802 27.2477
63.720708 63.804 27.1779
64.086919 63.810 27.1090
64.453130 63.817 27.0308
64.819341 63.824 26.9423
65.185552 63.830 26.8506
65.551763 63.835 26.7637
65.917974 63.840 26.6855
66.284185 63.846 26.6139
66.650396 63.854 26.5431
67.016607 63.863 26.4670
67.382818 63.871 26.3828
67.749029 63.879 26.2927
68.115240 63.884 26.2034
68.481451 63.888 26.1220
68.847662 63.892 26.0525
69.213873 63.895 25.9933
69.580084 63.900 25.9392
69.946295 63.904 25.8858
70.312506 63.909 25.8330
70.678717 63.913 25.7833
71.044928 63.918 25.7376
71.411139 63.924 25.6909
71.777350 63.931 25.6346
72.143561 63.937 25.5627
72.509771 63.942 25.4782
72.875982 63.943 25.3925
73.242193 63.943 25.3170
73.608404 63.943 25.2544
73.974615 63.944 25.1968
74.340826 63.946 25.1336
74.707037 63.948 25.0628
75.073248 63.947 24.9953
75.439459 63.946 24.9465
75.805670 63.947 24.9219
76.171881 63.953 24.9080
76.538092 63.965 24.8775
76.904303 63.979 24.8075
77.270514 63.991 24.6963
77.636725 63.997 24.5665
78.002936 63.996 24.4515
78.369147 63.992 24.3753
78.735358 63.990 24.3390
79.101569 63.992 24.3246
79.467780 63.997 24.3097
79.833991 64.004 24.2831
80.200202 64.011 24.2485
80.566413 64.017 24.2165
80.932624 64.024 24.1925
81.298835 64.031 24.1716
81.665046 64.040 24.1429
82.031257 64.048 24.0997
82.397468 64.054 24.0457
82.763679 64.056 23.9939
83.129890 64.056 23.9580
83.496101 64.055 23.9446
83.862311 64.055 23.9496
84.228522 64.058 23.9623
84.594733 64.064 23.9707
84.960944 64.071 23.9666
85.327155 64.080 23.9463
85.693366 64.087 23.9104
86.059577 64.094 23.8619
86.425788 64.098 23.8067
86.791999 64.101 23.7521
87.158210 64.102 23.7055
87.524421 64.103 23.6704
87.890632 64.106 23.6446
88.256843 64.110 23.6209
88.623054 64.116 23.5907
88.989265 64.122 23.5491
89.355476 64.128 23.4974
89.721687 64.132 23.4425
90.087898 64.135 23.3925
90.454109 64.137 23.3521
90.820320 64.139 23.3212
91.186531 64.142 23.2958
91.552742 64.146 23.2717
91.918953 64.149 23.2471
92.285164 64.153 23.2234
92.651375 64.156 23.2029
93.017586 64.159 23.1867
93.383797 64.162 23.1732
93.750008 64.166 23.1591
94.116219 64.170 23.1414
94.482430 64.174 23.1197
94.848641 64.178 23.0958
95.214851 64.181 23.0722
95.581062 64.184 23.0506
95.947273 64.187 23.0305
96.313484 64.190 23.0097
96.679695 64.194 22.9867
97.045906 64.198 22.9612
97.412117 64.201 22.9349
97.778328 64.204 22.9098
98.144539 64.208 22.8874
98.510750 64.211 22.8679
98.876961 64.214 22.8505
99.243172 64.218 22.8346
99.609383 64.222 22.8200
99.975594 64.226 22.8067
100.341805 64.231 22.7941
100.708016 64.235 22.7814
101.074227 64.240 22.7675
101.440438 64.244 22.7522
101.806649 64.248 22.7366
102.172860 64.251 22.7229
102.539071 64.254 22.7126
102.905282 64.256 22.7059
103.271493 64.259 22.7016
103.637704 64.262 22.6975
104.003915 64.265 22.6920
104.370126 64.268 22.6847
104.736337 64.272 22.6763
105.102548 64.275 22.6672
105.468759 64.278 22.6570
105.834970 64.282 22.6447
106.201180 64.286 22.6290
106.567391 64.290 22.6096
106.933602 64.294 22.5879
107.299813 64.297 22.5658
107.666024 64.300 22.5451
108.032235 64.303 22.5263
108.398446 64.307 22.5088
108.764657 64.310 22.4917
109.130868 64.314 22.4751
109.497079 64.317 22.4596
109.863290 64.321 22.4462
110.229501 64.325 22.4350
110.595712 64.329 22.4246
110.961923 64.333 22.4133
111.328134 64.338 22.4001
111.694345 64.342 22.3855
112.060556 64.345 22.3715
112.426767 64.348 22.3604
112.792978 64.351 22.3534
113.159189 64.354 22.3497
113.525400 64.358 22.3471
113.891611 64.362 22.3435
114.257822 64.366 22.3378
114.624033 64.369 22.3303
114.990244 64.373 22.3222
115.356455 64.377 22.3149
115.722666 64.380 22.3087
116.088877 64.383 22.3033
116.455088 64.387 22.2981
116.821299 64.391 22.2926
117.187510 64.394 22.2870
117.553720 64.398 22.2814
117.919931 64.402 22.2759
118.286142 64.406 22.2705
118.652353 64.409 22.2648
119.018564 64.413 22.2587
119.384775 64.417 22.2525
119.750986 64.421 22.2468
120.117197 64.424 22.2418
120.483408 64.428 22.2375
120.849619 64.431 22.2334
121.215830 64.435 22.2293
121.582041 64.438 22.2252
121.948252 64.442 22.2220
122.314463 64.445 22.2206
122.680674 64.448 22.2214
123.046885 64.452 22.2241
123.413096 64.456 22.2270
123.779307 64.460 22.2283
124.145518 64.465 22.2266
124.511729 64.470 22.2219
124.877940 64.474 22.2150
125.244151 64.479 22.2078
125.610362 64.483 22.2018
125.976573 64.486 22.1977
126.342784 64.491 22.1954
126.708995 64.495 22.1942
127.075206 64.499 22.1933
127.441417 64.504 22.1922
127.807628 64.509 22.1907
128.173839 64.514 22.1888
128.540049 64.518 22.1865
128.906260 64.523 22.1837
129.272471 64.528 22.1801
129.638682 64.533 22.1757
130.004893 64.538 22.1708
130.371104 64.543 22.1656
130.737315 64.548 22.1607
131.103526 64.553 22.1566
131.469737 64.557 22.1536
131.835948 64.562 22.1520
132.202159 64.567 22.1516
132.568370 64.571 22.1525
132.934581 64.576 22.1545
133.300792 64.581 22.1571
133.667003 64.586 22.1600
134.033214 64.591 22.1629
134.399425 64.597 22.1653
134.765636 64.602 22.1675
135.131847 64.607 22.1698
135.498058 64.611 22.1728
135.864269 64.616 22.1771
136.230480 64.621 22.1826
136.596691 64.625 22.1886
136.962902 64.631 22.1937
137.329113 64.636 22.1964
137.695324 64.641 22.1960
138.061535 64.646 22.1929
138.427746 64.650 22.1886
138.793957 64.654 22.1852
139.160168 64.657 22.1845
139.526379 64.661 22.1868
139.892589 64.665 22.1915
140.258800 64.669 22.1969
140.625011 64.674 22.2014
140.991222 64.678 22.2042
141.357433 64.684 22.2053
141.723644 64.689 22.2052
142.089855 64.694 22.2044
142.456066 64.699 22.2030
142.822277 64.705 22.2009
143.188488 64.710 22.1980
143.554699 64.716 22.1945
143.920910 64.721 22.1906
144.287121 64.726 22.1871
144.653332 64.731 22.1844
145.019543 64.736 22.1831
145.385754 64.741 22.1831
145.751965 64.746 22.1844
146.118176 64.751 22.1865
146.484387 64.756 22.1890
146.850598 64.762 22.1915
147.216809 64.767 22.1936
147.583020 64.772 22.1957
147.949231 64.777 22.1979
148.315442 64.782 22.2008
148.681653 64.787 22.2044
149.047864 64.792 22.2087
149.414075 64.797 22.2134
149.780286 64.803 22.2180
150.146497 64.808 22.2221
150.512708 64.813 22.2253
150.878918 64.818 22.2276
151.245129 64.823 22.2291
151.611340 64.828 22.2301
151.977551 64.833 22.2311
152.343762 64.838 22.2325
152.709973 64.843 22.2346
