* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2023 12:11:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN EST50 Foam Tips L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.688 -169.8881
0.732422 75.851 -167.5079
1.098633 73.954 -168.2608
1.464844 67.558 -146.1309
1.831055 72.149 -63.2229
2.197266 79.517 -59.2139
2.563477 83.441 -67.4599
2.929688 85.650 -76.9733
3.295899 86.820 -85.0534
3.662110 87.395 -90.3534
4.028321 87.799 -92.6499
4.394532 88.357 -93.3277
4.760743 89.103 -94.4956
5.126954 89.847 -97.1272
5.493164 90.419 -100.7441
5.859375 90.788 -104.3567
6.225586 91.041 -107.2658
6.591797 91.296 -109.4348
6.958008 91.618 -111.3731
7.324219 91.983 -113.5961
7.690430 92.321 -116.1897
8.056641 92.592 -118.8624
8.422852 92.807 -121.2755
8.789063 93.006 -123.3120
9.155274 93.219 -125.1121
9.521485 93.445 -126.8919
9.887696 93.657 -128.7393
10.253907 93.760 -130.5753
10.620118 93.799 -132.2693
10.986329 93.823 -133.7675
11.352540 93.845 -135.1254
11.718751 93.868 -136.4393
12.084962 93.883 -137.7599
12.451173 93.882 -139.0713
12.817384 93.919 -140.3360
13.183595 93.955 -141.5452
13.549806 93.986 -142.7245
13.916017 94.012 -143.9027
14.282228 94.031 -145.0829
14.648439 94.044 -146.2458
15.014650 94.053 -147.3759
15.380861 94.062 -148.4767
15.747072 94.072 -149.5631
16.113283 94.087 -150.6423
16.479493 94.111 -151.7063
16.845704 94.133 -152.7422
17.211915 94.154 -153.7443
17.578126 94.175 -154.7140
17.944337 94.193 -155.6505
18.310548 94.209 -156.5462
18.676759 94.222 -157.3945
19.042970 94.236 -158.2021
19.409181 94.249 -158.9873
19.775392 94.260 -159.7653
20.141603 94.266 -160.5325
20.507814 94.268 -161.2695
20.874025 94.265 -161.9612
21.240236 94.262 -162.6162
21.606447 94.261 -163.2639
21.972658 94.261 -163.9325
22.338869 94.255 -164.6244
22.705080 94.243 -165.3145
23.071291 94.225 -165.9711
23.437502 94.208 -166.5826
23.803713 94.195 -167.1663
24.169924 94.188 -167.7549
24.536135 94.185 -168.3710
24.902346 94.179 -169.0113
25.268557 94.170 -169.6518
25.634768 94.158 -170.2660
26.000979 94.146 -170.8424
26.367190 94.136 -171.3890
26.733401 94.130 -171.9241
27.099612 94.125 -172.4617
27.465823 94.118 -173.0020
27.832033 94.108 -173.5326
28.198244 94.095 -174.0393
28.564455 94.081 -174.5168
28.930666 94.067 -174.9726
29.296877 94.054 -175.4211
29.663088 94.040 -175.8720
30.029299 94.023 -176.3231
30.395510 94.003 -176.7624
30.761721 93.981 -177.1793
31.127932 93.960 -177.5740
31.494143 93.941 -177.9589
31.860354 93.925 -178.3504
32.226565 93.908 -178.7584
32.592776 93.891 -179.1807
32.958987 93.870 -179.6058
33.325198 93.848 179.9799
33.691409 93.824 179.5855
34.057620 93.801 179.2121
34.423831 93.781 178.8526
34.790042 93.764 178.4943
35.156253 93.749 178.1246
35.522464 93.733 177.7389
35.888675 93.713 177.3462
36.254886 93.689 176.9670
36.621097 93.663 176.6223
36.987308 93.637 176.3199
37.353519 93.615 176.0477
37.719730 93.600 175.7796
38.085941 93.588 175.4908
38.452152 93.577 175.1708
38.818363 93.563 174.8267
39.184573 93.546 174.4747
39.550784 93.524 174.1308
39.916995 93.500 173.8041
40.283206 93.476 173.4977
40.649417 93.453 173.2102
41.015628 93.431 172.9368
41.381839 93.411 172.6695
41.748050 93.393 172.3991
42.114261 93.376 172.1196
42.480472 93.358 171.8322
42.846683 93.338 171.5448
43.212894 93.316 171.2665
43.579105 93.294 171.0023
43.945316 93.273 170.7500
44.311527 93.253 170.5033
44.677738 93.233 170.2562
45.043949 93.214 170.0059
45.410160 93.195 169.7532
45.776371 93.174 169.5013
46.142582 93.152 169.2546
46.508793 93.130 169.0173
46.875004 93.107 168.7911
47.241215 93.087 168.5733
47.607426 93.067 168.3561
47.973637 93.049 168.1315
48.339848 93.031 167.8962
48.706059 93.011 167.6555
49.072270 92.989 167.4196
49.438481 92.966 167.1978
49.804692 92.943 166.9915
50.170902 92.922 166.7950
50.537113 92.903 166.5992
50.903324 92.885 166.3987
51.269535 92.867 166.1944
51.635746 92.848 165.9904
52.001957 92.828 165.7906
52.368168 92.808 165.5962
52.734379 92.788 165.4059
53.100590 92.768 165.2184
53.466801 92.748 165.0330
53.833012 92.729 164.8494
54.199223 92.709 164.6662
54.565434 92.690 164.4815
54.931645 92.670 164.2941
55.297856 92.650 164.1051
55.664067 92.628 163.9181
56.030278 92.606 163.7372
56.396489 92.584 163.5648
56.762700 92.561 163.4011
57.128911 92.540 163.2449
57.495122 92.519 163.0946
57.861333 92.500 162.9488
58.227544 92.482 162.8042
58.593755 92.466 162.6546
58.959966 92.451 162.4925
59.326177 92.436 162.3130
59.692388 92.418 162.1198
60.058599 92.397 161.9258
60.424810 92.372 161.7481
60.791021 92.345 161.5991
61.157232 92.320 161.4787
61.523442 92.299 161.3736
61.889653 92.281 161.2653
62.255864 92.265 161.1408
62.622075 92.249 160.9987
62.988286 92.232 160.8477
63.354497 92.211 160.6986
63.720708 92.190 160.5572
64.086919 92.168 160.4229
64.453130 92.147 160.2919
64.819341 92.127 160.1618
65.185552 92.106 160.0333
65.551763 92.086 159.9078
65.917974 92.066 159.7848
66.284185 92.047 159.6615
66.650396 92.028 159.5351
67.016607 92.010 159.4053
67.382818 91.990 159.2750
67.749029 91.971 159.1470
68.115240 91.951 159.0223
68.481451 91.932 158.8993
68.847662 91.913 158.7757
69.213873 91.893 158.6512
69.580084 91.873 158.5284
69.946295 91.852 158.4107
70.312506 91.832 158.2995
70.678717 91.812 158.1932
71.044928 91.793 158.0884
71.411139 91.774 157.9824
71.777350 91.755 157.8751
72.143561 91.736 157.7686
72.509771 91.717 157.6643
72.875982 91.699 157.5619
73.242193 91.680 157.4596
73.608404 91.661 157.3564
73.974615 91.642 157.2542
74.340826 91.622 157.1560
74.707037 91.603 157.0637
75.073248 91.585 156.9741
75.439459 91.567 156.8804
75.805670 91.550 156.7766
76.171881 91.532 156.6625
76.538092 91.512 156.5463
76.904303 91.489 156.4398
77.270514 91.466 156.3511
77.636725 91.444 156.2794
78.002936 91.425 156.2144
78.369147 91.408 156.1427
78.735358 91.392 156.0565
79.101569 91.376 155.9570
79.467780 91.357 155.8538
79.833991 91.337 155.7574
80.200202 91.317 155.6732
80.566413 91.298 155.5987
80.932624 91.281 155.5263
81.298835 91.265 155.4491
81.665046 91.249 155.3658
82.031257 91.232 155.2811
82.397468 91.214 155.2013
82.763679 91.197 155.1288
83.129890 91.181 155.0590
83.496101 91.166 154.9831
83.862311 91.151 154.8953
84.228522 91.135 154.7985
84.594733 91.115 154.7044
84.960944 91.094 154.6263
85.327155 91.073 154.5691
85.693366 91.054 154.5243
86.059577 91.039 154.4749
86.425788 91.026 154.4066
86.791999 91.011 154.3177
87.158210 90.993 154.2206
87.524421 90.972 154.1329
87.890632 90.951 154.0649
88.256843 90.931 154.0136
88.623054 90.914 153.9654
88.989265 90.899 153.9062
89.355476 90.885 153.8306
89.721687 90.869 153.7441
90.087898 90.851 153.6578
90.454109 90.831 153.5812
90.820320 90.812 153.5174
91.186531 90.793 153.4638
91.552742 90.776 153.4152
91.918953 90.760 153.3665
92.285164 90.745 153.3141
92.651375 90.730 153.2560
93.017586 90.715 153.1925
93.383797 90.699 153.1264
93.750008 90.682 153.0624
94.116219 90.665 153.0043
94.482430 90.649 152.9520
94.848641 90.633 152.9014
95.214851 90.617 152.8474
95.581062 90.602 152.7878
95.947273 90.585 152.7262
96.313484 90.568 152.6686
96.679695 90.550 152.6191
97.045906 90.533 152.5757
97.412117 90.518 152.5317
97.778328 90.504 152.4808
98.144539 90.489 152.4225
98.510750 90.473 152.3622
98.876961 90.456 152.3071
99.243172 90.439 152.2601
99.609383 90.423 152.2176
99.975594 90.408 152.1725
100.341805 90.394 152.1208
100.708016 90.378 152.0646
101.074227 90.362 152.0112
101.440438 90.345 151.9666
101.806649 90.329 151.9302
102.172860 90.314 151.8956
102.539071 90.300 151.8543
102.905282 90.287 151.8033
103.271493 90.272 151.7465
103.637704 90.255 151.6923
104.003915 90.239 151.6469
104.370126 90.222 151.6101
104.736337 90.207 151.5754
105.102548 90.194 151.5354
105.468759 90.180 151.4866
105.834970 90.165 151.4320
106.201180 90.150 151.3779
106.567391 90.133 151.3301
106.933602 90.116 151.2901
107.299813 90.100 151.2552
107.666024 90.085 151.2215
108.032235 90.071 151.1865
108.398446 90.057 151.1498
108.764657 90.042 151.1124
109.130868 90.028 151.0742
109.497079 90.014 151.0341
109.863290 90.000 150.9913
110.229501 89.985 150.9460
110.595712 89.970 150.9012
110.961923 89.953 150.8611
111.328134 89.936 150.8298
111.694345 89.920 150.8080
112.060556 89.905 150.7925
112.426767 89.892 150.7765
112.792978 89.880 150.7526
113.159189 89.868 150.7162
113.525400 89.856 150.6686
113.891611 89.842 150.6170
114.257822 89.826 150.5705
114.624033 89.810 150.5351
114.990244 89.794 150.5095
115.356455 89.780 150.4864
115.722666 89.768 150.4568
116.088877 89.755 150.4169
116.455088 89.741 150.3701
116.821299 89.726 150.3250
117.187510 89.709 150.2893
117.553720 89.692 150.2651
117.919931 89.677 150.2485
118.286142 89.662 150.2336
118.652353 89.649 150.2160
119.018564 89.636 150.1948
119.384775 89.623 150.1707
119.750986 89.611 150.1439
120.117197 89.598 150.1136
120.483408 89.584 150.0799
120.849619 89.570 150.0460
121.215830 89.555 150.0166
121.582041 89.540 149.9949
121.948252 89.526 149.9787
122.314463 89.514 149.9610
122.680674 89.502 149.9345
123.046885 89.490 149.8975
123.413096 89.477 149.8557
123.779307 89.462 149.8193
124.145518 89.446 149.7951
124.511729 89.432 149.7812
124.877940 89.420 149.7679
125.244151 89.410 149.7440
125.610362 89.401 149.7057
125.976573 89.390 149.6594
126.342784 89.376 149.6175
126.708995 89.361 149.5898
127.075206 89.347 149.5771
127.441417 89.335 149.5713
127.807628 89.324 149.5618
128.173839 89.314 149.5431
128.540049 89.304 149.5177
128.906260 89.292 149.4924
129.272471 89.280 149.4725
129.638682 89.268 149.4572
130.004893 89.257 149.4417
130.371104 89.246 149.4214
130.737315 89.235 149.3958
131.103526 89.222 149.3689
131.469737 89.209 149.3455
131.835948 89.196 149.3277
132.202159 89.184 149.3141
132.568370 89.172 149.3015
132.934581 89.161 149.2875
133.300792 89.150 149.2714
133.667003 89.139 149.2531
134.033214 89.128 149.2322
134.399425 89.118 149.2083
134.765636 89.107 149.1816
135.131847 89.095 149.1550
135.498058 89.082 149.1323
135.864269 89.070 149.1166
136.230480 89.058 149.1075
136.596691 89.047 149.1008
136.962902 89.037 149.0913
137.329113 89.027 149.0761
137.695324 89.017 149.0570
138.061535 89.005 149.0394
138.427746 88.993 149.0284
138.793957 88.982 149.0246
139.160168 88.971 149.0231
139.526379 88.962 149.0165
139.892589 88.952 149.0001
140.258800 88.941 148.9768
140.625011 88.929 148.9551
140.991222 88.915 148.9441
141.357433 88.902 148.9458
141.723644 88.891 148.9532
142.089855 88.882 148.9544
142.456066 88.874 148.9414
142.822277 88.864 148.9154
143.188488 88.853 148.8859
143.554699 88.841 148.8634
143.920910 88.829 148.8511
144.287121 88.818 148.8432
144.653332 88.808 148.8309
145.019543 88.798 148.8098
145.385754 88.787 148.7845
145.751965 88.775 148.7644
146.118176 88.763 148.7555
146.484387 88.752 148.7550
146.850598 88.744 148.7527
147.216809 88.736 148.7390
147.583020 88.727 148.7124
147.949231 88.717 148.6811
148.315442 88.704 148.6571
148.681653 88.690 148.6482
149.047864 88.678 148.6530
149.414075 88.667 148.6627
149.780286 88.658 148.6674
150.146497 88.650 148.6622
150.512708 88.641 148.6488
