* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 14, 2023 12:12:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN EST50 Foam Tips R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 88.230 -27.8946
0.732422 86.734 -55.0634
1.098633 83.860 -79.9084
1.464844 78.563 -95.8323
1.831055 71.845 -54.4574
2.197266 78.983 -24.1948
2.563477 83.393 -38.7360
2.929688 85.558 -57.7622
3.295899 86.412 -75.0581
3.662110 86.401 -87.6749
4.028321 86.060 -93.2792
4.394532 86.216 -92.5400
4.760743 87.255 -91.3467
5.126954 88.583 -93.9213
5.493164 89.605 -99.2009
5.859375 90.171 -104.6612
6.225586 90.418 -108.4552
6.591797 90.616 -110.0893
6.958008 90.977 -110.6234
7.324219 91.487 -111.6182
7.690430 91.976 -113.6559
8.056641 92.319 -116.2311
8.422852 92.514 -118.5617
8.789063 92.645 -120.2528
9.155274 92.798 -121.4955
9.521485 92.996 -122.7686
9.887696 93.198 -124.3542
10.253907 93.286 -126.1668
10.620118 93.298 -127.9565
10.986329 93.293 -129.5752
11.352540 93.297 -131.0647
11.718751 93.314 -132.5452
12.084962 93.332 -134.0643
12.451173 93.342 -135.5678
12.817384 93.399 -136.9882
13.183595 93.466 -138.3243
13.549806 93.535 -139.6272
13.916017 93.599 -140.9233
14.282228 93.650 -142.1738
14.648439 93.688 -143.3147
15.014650 93.724 -144.3289
15.380861 93.764 -145.2702
15.747072 93.807 -146.2128
16.113283 93.847 -147.1837
16.479493 93.883 -148.1486
16.845704 93.907 -149.0584
17.211915 93.925 -149.9039
17.578126 93.945 -150.7229
17.944337 93.963 -151.5587
18.310548 93.976 -152.4187
18.676759 93.981 -153.2740
19.042970 93.981 -154.0952
19.409181 93.983 -154.8825
19.775392 93.988 -155.6616
20.141603 93.997 -156.4542
20.507814 94.007 -157.2582
20.874025 94.015 -158.0544
21.240236 94.022 -158.8268
21.606447 94.029 -159.5737
21.972658 94.036 -160.2985
22.338869 94.042 -160.9986
22.705080 94.047 -161.6656
23.071291 94.053 -162.2974
23.437502 94.061 -162.9058
23.803713 94.070 -163.5088
24.169924 94.076 -164.1154
24.536135 94.079 -164.7189
24.902346 94.076 -165.3049
25.268557 94.071 -165.8656
25.634768 94.063 -166.4043
26.000979 94.055 -166.9290
26.367190 94.046 -167.4449
26.733401 94.037 -167.9546
27.099612 94.028 -168.4635
27.465823 94.019 -168.9803
27.832033 94.009 -169.5089
28.198244 93.995 -170.0403
28.564455 93.979 -170.5560
28.930666 93.963 -171.0435
29.296877 93.950 -171.5084
29.663088 93.941 -171.9711
30.029299 93.934 -172.4483
30.395510 93.926 -172.9378
30.761721 93.915 -173.4204
31.127932 93.901 -173.8778
31.494143 93.889 -174.3080
31.860354 93.878 -174.7250
32.226565 93.869 -175.1437
32.592776 93.858 -175.5659
32.958987 93.845 -175.9807
33.325198 93.830 -176.3767
33.691409 93.815 -176.7531
34.057620 93.802 -177.1202
34.423831 93.790 -177.4906
34.790042 93.777 -177.8707
35.156253 93.764 -178.2594
35.522464 93.748 -178.6513
35.888675 93.729 -179.0386
36.254886 93.709 -179.4121
36.621097 93.688 -179.7635
36.987308 93.669 179.9075
37.353519 93.653 179.5878
37.719730 93.642 179.2541
38.085941 93.632 178.8882
38.452152 93.617 178.4940
38.818363 93.595 178.1010
39.184573 93.567 177.7491
39.550784 93.537 177.4625
39.916995 93.514 177.2310
40.283206 93.500 177.0143
40.649417 93.495 176.7665
41.015628 93.492 176.4637
41.381839 93.483 176.1162
41.748050 93.467 175.7582
42.114261 93.445 175.4236
42.480472 93.420 175.1268
42.846683 93.398 174.8586
43.212894 93.378 174.5980
43.579105 93.360 174.3298
43.945316 93.341 174.0538
44.311527 93.321 173.7803
44.677738 93.301 173.5180
45.043949 93.282 173.2650
45.410160 93.265 173.0114
45.776371 93.249 172.7483
46.142582 93.233 172.4767
46.508793 93.215 172.2063
46.875004 93.196 171.9461
47.241215 93.178 171.6971
47.607426 93.162 171.4519
47.973637 93.145 171.2033
48.339848 93.128 170.9519
48.706059 93.110 170.7055
49.072270 93.091 170.4718
49.438481 93.072 170.2501
49.804692 93.056 170.0313
50.170902 93.040 169.8063
50.537113 93.023 169.5731
50.903324 93.005 169.3389
51.269535 92.985 169.1140
51.635746 92.964 168.9031
52.001957 92.944 168.7029
52.368168 92.926 168.5056
52.734379 92.908 168.3047
53.100590 92.891 168.0995
53.466801 92.872 167.8929
53.833012 92.854 167.6879
54.199223 92.835 167.4850
54.565434 92.817 167.2811
54.931645 92.799 167.0732
55.297856 92.780 166.8614
55.664067 92.759 166.6520
56.030278 92.737 166.4547
56.396489 92.715 166.2763
56.762700 92.695 166.1138
57.128911 92.679 165.9514
57.495122 92.666 165.7686
57.861333 92.653 165.5549
58.227544 92.635 165.3214
58.593755 92.610 165.0978
58.959966 92.582 164.9158
59.326177 92.556 164.7855
59.692388 92.537 164.6857
60.058599 92.526 164.5742
60.424810 92.520 164.4156
60.791021 92.512 164.2040
61.157232 92.497 163.9670
61.523442 92.474 163.7463
61.889653 92.447 163.5710
62.255864 92.423 163.4412
62.622075 92.404 163.3312
62.988286 92.390 163.2095
63.354497 92.377 163.0594
63.720708 92.361 162.8868
64.086919 92.342 162.7116
64.453130 92.320 162.5520
64.819341 92.298 162.4128
65.185552 92.278 162.2848
65.551763 92.260 162.1532
65.917974 92.243 162.0087
66.284185 92.225 161.8522
66.650396 92.204 161.6925
67.016607 92.182 161.5392
67.382818 92.160 161.3979
67.749029 92.137 161.2687
68.115240 92.116 161.1486
68.481451 92.096 161.0328
68.847662 92.079 160.9163
69.213873 92.063 160.7927
69.580084 92.048 160.6570
69.946295 92.032 160.5082
70.312506 92.014 160.3521
70.678717 91.994 160.1985
71.044928 91.973 160.0569
71.411139 91.951 159.9301
71.777350 91.931 159.8141
72.143561 91.912 159.7025
72.509771 91.893 159.5914
72.875982 91.875 159.4814
73.242193 91.857 159.3742
73.608404 91.840 159.2687
73.974615 91.824 159.1600
74.340826 91.809 159.0435
74.707037 91.792 158.9193
75.073248 91.775 158.7922
75.439459 91.756 158.6684
75.805670 91.737 158.5500
76.171881 91.719 158.4341
76.538092 91.700 158.3165
76.904303 91.681 158.1977
77.270514 91.660 158.0835
77.636725 91.639 157.9807
78.002936 91.619 157.8907
78.369147 91.600 157.8066
78.735358 91.584 157.7176
79.101569 91.569 157.6159
79.467780 91.553 157.5024
79.833991 91.535 157.3851
80.200202 91.516 157.2727
80.566413 91.497 157.1688
80.932624 91.478 157.0707
81.298835 91.460 156.9736
81.665046 91.441 156.8755
82.031257 91.423 156.7781
82.397468 91.404 156.6845
82.763679 91.386 156.5950
83.129890 91.368 156.5059
83.496101 91.351 156.4127
83.862311 91.333 156.3150
84.228522 91.315 156.2173
84.594733 91.296 156.1266
84.960944 91.277 156.0458
85.327155 91.259 155.9713
85.693366 91.243 155.8951
86.059577 91.228 155.8102
86.425788 91.212 155.7166
86.791999 91.196 155.6199
87.158210 91.178 155.5276
87.524421 91.159 155.4433
87.890632 91.142 155.3643
88.256843 91.125 155.2853
88.623054 91.108 155.2026
88.989265 91.091 155.1172
89.355476 91.073 155.0336
89.721687 91.055 154.9556
90.087898 91.037 154.8840
90.454109 91.019 154.8158
90.820320 91.003 154.7466
91.186531 90.987 154.6740
91.552742 90.971 154.5984
91.918953 90.954 154.5222
92.285164 90.937 154.4473
92.651375 90.921 154.3742
93.017586 90.904 154.3016
93.383797 90.888 154.2281
93.750008 90.871 154.1539
94.116219 90.854 154.0808
94.482430 90.837 154.0112
94.848641 90.820 153.9456
95.214851 90.803 153.8825
95.581062 90.787 153.8188
95.947273 90.771 153.7522
96.313484 90.755 153.6828
96.679695 90.738 153.6133
97.045906 90.721 153.5464
97.412117 90.704 153.4831
97.778328 90.688 153.4219
98.144539 90.671 153.3603
98.510750 90.655 153.2971
98.876961 90.638 153.2327
99.243172 90.622 153.1691
99.609383 90.605 153.1079
99.975594 90.588 153.0493
100.341805 90.572 152.9919
100.708016 90.557 152.9340
101.074227 90.541 152.8740
101.440438 90.526 152.8115
101.806649 90.511 152.7473
102.172860 90.495 152.6829
102.539071 90.479 152.6203
102.905282 90.463 152.5609
103.271493 90.446 152.5047
103.637704 90.431 152.4502
104.003915 90.415 152.3953
104.370126 90.400 152.3393
104.736337 90.384 152.2834
105.102548 90.368 152.2303
105.468759 90.352 152.1819
105.834970 90.336 152.1375
106.201180 90.321 152.0944
106.567391 90.307 152.0488
106.933602 90.293 151.9986
107.299813 90.279 151.9445
107.666024 90.264 151.8895
108.032235 90.248 151.8365
108.398446 90.233 151.7866
108.764657 90.218 151.7379
109.130868 90.204 151.6870
109.497079 90.189 151.6317
109.863290 90.174 151.5728
110.229501 90.158 151.5142
110.595712 90.141 151.4613
110.961923 90.124 151.4170
111.328134 90.107 151.3798
111.694345 90.092 151.3452
112.060556 90.078 151.3083
112.426767 90.063 151.2670
112.792978 90.049 151.2225
113.159189 90.034 151.1780
113.525400 90.019 151.1351
113.891611 90.004 151.0938
114.257822 89.989 151.0523
114.624033 89.975 151.0098
114.990244 89.960 150.9663
115.356455 89.945 150.9230
115.722666 89.930 150.8799
116.088877 89.915 150.8369
116.455088 89.900 150.7936
116.821299 89.884 150.7510
117.187510 89.869 150.7111
117.553720 89.853 150.6750
117.919931 89.838 150.6424
118.286142 89.823 150.6109
118.652353 89.810 150.5778
119.018564 89.796 150.5416
119.384775 89.782 150.5026
119.750986 89.768 150.4622
120.117197 89.754 150.4218
120.483408 89.740 150.3825
120.849619 89.725 150.3456
121.215830 89.711 150.3116
121.582041 89.696 150.2805
121.948252 89.683 150.2507
122.314463 89.669 150.2198
122.680674 89.656 150.1855
123.046885 89.643 150.1479
123.413096 89.629 150.1088
123.779307 89.615 150.0709
124.145518 89.601 150.0358
124.511729 89.586 150.0028
124.877940 89.572 149.9705
125.244151 89.559 149.9377
125.610362 89.546 149.9053
125.976573 89.533 149.8749
126.342784 89.520 149.8480
126.708995 89.507 149.8239
127.075206 89.495 149.8001
127.441417 89.483 149.7742
127.807628 89.472 149.7452
128.173839 89.460 149.7144
128.540049 89.448 149.6841
128.906260 89.435 149.6559
129.272471 89.423 149.6298
129.638682 89.411 149.6038
130.004893 89.399 149.5764
130.371104 89.387 149.5471
130.737315 89.375 149.5170
131.103526 89.363 149.4875
131.469737 89.350 149.4594
131.835948 89.338 149.4317
132.202159 89.325 149.4036
132.568370 89.312 149.3754
132.934581 89.299 149.3492
133.300792 89.286 149.3278
133.667003 89.273 149.3116
134.033214 89.261 149.2983
134.399425 89.250 149.2826
134.765636 89.240 149.2600
135.131847 89.230 149.2296
135.498058 89.219 149.1953
135.864269 89.207 149.1627
136.230480 89.194 149.1362
136.596691 89.182 149.1154
136.962902 89.171 149.0961
137.329113 89.160 149.0737
137.695324 89.149 149.0471
138.061535 89.138 149.0191
138.427746 89.126 148.9940
138.793957 89.114 148.9738
139.160168 89.102 148.9558
139.526379 89.091 148.9357
139.892589 89.080 148.9110
140.258800 89.068 148.8840
140.625011 89.055 148.8604
140.991222 89.042 148.8447
141.357433 89.030 148.8365
141.723644 89.018 148.8305
142.089855 89.008 148.8204
142.456066 88.998 148.8032
142.822277 88.987 148.7812
143.188488 88.976 148.7589
143.554699 88.964 148.7391
143.920910 88.952 148.7212
144.287121 88.941 148.7027
144.653332 88.929 148.6826
145.019543 88.917 148.6631
145.385754 88.905 148.6478
145.751965 88.893 148.6375
146.118176 88.883 148.6283
146.484387 88.873 148.6141
146.850598 88.864 148.5909
147.216809 88.854 148.5606
147.583020 88.842 148.5307
147.949231 88.829 148.5089
148.315442 88.816 148.4979
148.681653 88.804 148.4939
149.047864 88.794 148.4892
149.414075 88.785 148.4779
149.780286 88.775 148.4598
150.146497 88.765 148.4394
150.512708 88.753 148.4221
