* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 12:04:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EST50 W1 L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.034 164.1595
0.732422 69.453 149.1616
1.098633 63.581 137.6670
1.464844 47.982 -128.8182
1.831055 63.902 -86.7405
2.197266 68.388 -94.3763
2.563477 70.248 -101.0587
2.929688 71.025 -104.1053
3.295899 71.539 -103.4244
3.662110 72.270 -101.3973
4.028321 73.188 -100.8619
4.394532 74.011 -102.4946
4.760743 74.576 -105.2804
5.126954 74.907 -108.0006
5.493164 75.136 -110.0282
5.859375 75.398 -111.5397
6.225586 75.742 -113.1715
6.591797 76.120 -115.3669
6.958008 76.464 -118.0565
7.324219 76.744 -120.8525
7.690430 76.979 -123.4015
8.056641 77.212 -125.5959
8.422852 77.467 -127.5576
8.789063 77.740 -129.4587
9.155274 78.006 -131.3616
9.521485 78.248 -133.2034
9.887696 78.459 -134.8884
10.253907 78.577 -136.3785
10.620118 78.652 -137.7090
10.986329 78.718 -138.9434
11.352540 78.771 -140.1238
11.718751 78.808 -141.2593
12.084962 78.829 -142.3495
12.451173 78.838 -143.4052
12.817384 78.884 -144.4482
13.183595 78.928 -145.4953
13.549806 78.960 -146.5497
13.916017 78.984 -147.6057
14.282228 79.002 -148.6619
14.648439 79.017 -149.7241
15.014650 79.032 -150.7982
15.380861 79.046 -151.8823
15.747072 79.060 -152.9639
16.113283 79.079 -154.0286
16.479493 79.109 -155.0665
16.845704 79.142 -156.0736
17.211915 79.176 -157.0480
17.578126 79.210 -157.9866
17.944337 79.243 -158.8853
18.310548 79.274 -159.7414
18.676759 79.303 -160.5540
19.042970 79.328 -161.3226
19.409181 79.348 -162.0463
19.775392 79.364 -162.7280
20.141603 79.378 -163.3765
20.507814 79.390 -164.0058
20.874025 79.396 -164.6273
21.240236 79.396 -165.2408
21.606447 79.387 -165.8325
21.972658 79.373 -166.3831
22.338869 79.357 -166.8823
22.705080 79.346 -167.3400
23.071291 79.344 -167.7867
23.437502 79.351 -168.2610
23.803713 79.364 -168.7916
24.169924 79.377 -169.3845
24.536135 79.388 -170.0213
24.902346 79.393 -170.6712
25.268557 79.395 -171.3063
25.634768 79.395 -171.9136
26.000979 79.397 -172.4961
26.367190 79.399 -173.0637
26.733401 79.401 -173.6214
27.099612 79.401 -174.1643
27.465823 79.398 -174.6816
27.832033 79.393 -175.1673
28.198244 79.389 -175.6255
28.564455 79.384 -176.0689
28.930666 79.378 -176.5088
29.296877 79.370 -176.9477
29.663088 79.359 -177.3793
30.029299 79.344 -177.7962
30.395510 79.329 -178.1978
30.761721 79.314 -178.5917
31.127932 79.299 -178.9886
31.494143 79.285 -179.3953
31.860354 79.269 -179.8109
32.226565 79.252 179.7700
32.592776 79.234 179.3530
32.958987 79.216 178.9411
33.325198 79.198 178.5352
33.691409 79.179 178.1363
34.057620 79.162 177.7467
34.423831 79.144 177.3681
34.790042 79.128 177.0006
35.156253 79.112 176.6423
35.522464 79.097 176.2909
35.888675 79.081 175.9449
36.254886 79.065 175.6053
36.621097 79.048 175.2748
36.987308 79.029 174.9571
37.353519 79.010 174.6556
37.719730 78.990 174.3716
38.085941 78.970 174.1023
38.452152 78.953 173.8405
38.818363 78.937 173.5775
39.184573 78.921 173.3066
39.550784 78.906 173.0268
39.916995 78.890 172.7422
40.283206 78.873 172.4575
40.649417 78.857 172.1742
41.015628 78.841 171.8889
41.381839 78.826 171.5969
41.748050 78.810 171.2975
42.114261 78.792 170.9965
42.480472 78.772 170.7033
42.846683 78.751 170.4252
43.212894 78.730 170.1624
43.579105 78.711 169.9093
43.945316 78.693 169.6588
44.311527 78.675 169.4074
44.677738 78.657 169.1569
45.043949 78.639 168.9114
45.410160 78.620 168.6725
45.776371 78.602 168.4375
46.142582 78.584 168.2020
46.508793 78.566 167.9629
46.875004 78.547 167.7216
47.241215 78.527 167.4829
47.607426 78.506 167.2509
47.973637 78.485 167.0269
48.339848 78.464 166.8085
48.706059 78.444 166.5928
49.072270 78.425 166.3781
49.438481 78.405 166.1650
49.804692 78.385 165.9547
50.170902 78.366 165.7475
50.537113 78.347 165.5424
50.903324 78.328 165.3386
51.269535 78.310 165.1367
51.635746 78.290 164.9386
52.001957 78.271 164.7460
52.368168 78.251 164.5588
52.734379 78.233 164.3748
53.100590 78.214 164.1912
53.466801 78.196 164.0058
53.833012 78.177 163.8184
54.199223 78.158 163.6304
54.565434 78.138 163.4439
54.931645 78.117 163.2610
55.297856 78.097 163.0829
55.664067 78.076 162.9095
56.030278 78.055 162.7397
56.396489 78.035 162.5711
56.762700 78.016 162.4021
57.128911 77.996 162.2325
57.495122 77.975 162.0648
57.861333 77.954 161.9022
58.227544 77.933 161.7471
58.593755 77.913 161.5984
58.959966 77.894 161.4523
59.326177 77.875 161.3040
59.692388 77.857 161.1507
60.058599 77.838 160.9935
60.424810 77.818 160.8368
60.791021 77.796 160.6853
61.157232 77.775 160.5417
61.523442 77.753 160.4053
61.889653 77.733 160.2728
62.255864 77.713 160.1405
62.622075 77.693 160.0062
62.988286 77.674 159.8698
63.354497 77.653 159.7327
63.720708 77.633 159.5964
64.086919 77.613 159.4610
64.453130 77.593 159.3257
64.819341 77.573 159.1895
65.185552 77.553 159.0524
65.551763 77.533 158.9159
65.917974 77.512 158.7824
66.284185 77.492 158.6533
66.650396 77.472 158.5288
67.016607 77.452 158.4071
67.382818 77.432 158.2864
67.749029 77.413 158.1658
68.115240 77.393 158.0458
68.481451 77.373 157.9285
68.847662 77.352 157.8152
69.213873 77.332 157.7062
69.580084 77.312 157.6001
69.946295 77.292 157.4949
70.312506 77.273 157.3888
70.678717 77.254 157.2811
71.044928 77.234 157.1723
71.411139 77.214 157.0632
71.777350 77.194 156.9546
72.143561 77.174 156.8468
72.509771 77.154 156.7400
72.875982 77.133 156.6343
73.242193 77.113 156.5302
73.608404 77.093 156.4286
73.974615 77.072 156.3302
74.340826 77.053 156.2348
74.707037 77.033 156.1411
75.073248 77.015 156.0468
75.439459 76.996 155.9503
75.805670 76.978 155.8514
76.171881 76.959 155.7516
76.538092 76.940 155.6535
76.904303 76.920 155.5592
77.270514 76.901 155.4688
77.636725 76.882 155.3810
78.002936 76.863 155.2940
78.369147 76.844 155.2066
78.735358 76.825 155.1191
79.101569 76.807 155.0318
79.467780 76.788 154.9443
79.833991 76.770 154.8550
80.200202 76.751 154.7622
80.566413 76.733 154.6661
80.932624 76.713 154.5697
81.298835 76.692 154.4768
81.665046 76.671 154.3901
82.031257 76.650 154.3091
82.397468 76.629 154.2309
82.763679 76.609 154.1528
83.129890 76.589 154.0749
83.496101 76.568 154.0007
83.862311 76.547 153.9343
84.228522 76.527 153.8766
84.594733 76.509 153.8229
84.960944 76.493 153.7645
85.327155 76.478 153.6931
85.693366 76.463 153.6057
86.059577 76.447 153.5063
86.425788 76.429 153.4045
86.791999 76.408 153.3105
87.158210 76.387 153.2302
87.524421 76.366 153.1634
87.890632 76.346 153.1048
88.256843 76.328 153.0481
88.623054 76.311 152.9888
88.989265 76.295 152.9261
89.355476 76.278 152.8617
89.721687 76.261 152.7982
90.087898 76.244 152.7366
90.454109 76.228 152.6764
90.820320 76.212 152.6160
91.186531 76.196 152.5540
91.552742 76.179 152.4905
91.918953 76.162 152.4266
92.285164 76.145 152.3638
92.651375 76.127 152.3033
93.017586 76.109 152.2457
93.383797 76.091 152.1906
93.750008 76.073 152.1373
94.116219 76.055 152.0850
94.482430 76.037 152.0330
94.848641 76.019 151.9806
95.214851 76.002 151.9270
95.581062 75.984 151.8719
95.947273 75.967 151.8154
96.313484 75.949 151.7584
96.679695 75.931 151.7018
97.045906 75.913 151.6465
97.412117 75.895 151.5931
97.778328 75.877 151.5412
98.144539 75.859 151.4902
98.510750 75.842 151.4392
98.876961 75.826 151.3873
99.243172 75.809 151.3340
99.609383 75.792 151.2795
99.975594 75.775 151.2245
100.341805 75.758 151.1704
100.708016 75.740 151.1185
101.074227 75.722 151.0697
101.440438 75.705 151.0242
101.806649 75.687 150.9814
102.172860 75.670 150.9404
102.539071 75.653 150.8998
102.905282 75.637 150.8589
103.271493 75.620 150.8170
103.637704 75.604 150.7736
104.003915 75.587 150.7286
104.370126 75.571 150.6823
104.736337 75.554 150.6357
105.102548 75.537 150.5899
105.468759 75.519 150.5460
105.834970 75.501 150.5045
106.201180 75.484 150.4654
106.567391 75.466 150.4281
106.933602 75.449 150.3917
107.299813 75.432 150.3555
107.666024 75.416 150.3190
108.032235 75.399 150.2819
108.398446 75.383 150.2442
108.764657 75.366 150.2058
109.130868 75.349 150.1669
109.497079 75.333 150.1278
109.863290 75.316 150.0889
110.229501 75.299 150.0504
110.595712 75.282 150.0125
110.961923 75.265 149.9749
111.328134 75.248 149.9376
111.694345 75.231 149.9003
112.060556 75.214 149.8633
112.426767 75.197 149.8270
112.792978 75.179 149.7921
113.159189 75.162 149.7591
113.525400 75.144 149.7283
113.891611 75.127 149.6994
114.257822 75.110 149.6717
114.624033 75.093 149.6441
114.990244 75.076 149.6157
115.356455 75.059 149.5859
115.722666 75.042 149.5552
116.088877 75.025 149.5244
116.455088 75.007 149.4945
116.821299 74.989 149.4662
117.187510 74.971 149.4398
117.553720 74.953 149.4151
117.919931 74.934 149.3916
118.286142 74.916 149.3689
118.652353 74.898 149.3471
119.018564 74.880 149.3259
119.384775 74.862 149.3054
119.750986 74.844 149.2851
120.117197 74.826 149.2647
120.483408 74.808 149.2439
120.849619 74.790 149.2226
121.215830 74.772 149.2009
121.582041 74.754 149.1794
121.948252 74.736 149.1585
122.314463 74.718 149.1389
122.680674 74.699 149.1210
123.046885 74.680 149.1051
123.413096 74.662 149.0912
123.779307 74.643 149.0793
124.145518 74.624 149.0692
124.511729 74.606 149.0611
124.877940 74.588 149.0547
125.244151 74.569 149.0503
125.610362 74.551 149.0476
125.976573 74.533 149.0466
126.342784 74.514 149.0472
126.708995 74.496 149.0498
127.075206 74.477 149.0547
127.441417 74.458 149.0625
127.807628 74.439 149.0734
128.173839 74.419 149.0875
128.540049 74.400 149.1050
128.906260 74.380 149.1258
129.272471 74.360 149.1501
129.638682 74.340 149.1782
130.004893 74.319 149.2103
130.371104 74.299 149.2466
130.737315 74.279 149.2870
131.103526 74.258 149.3315
131.469737 74.238 149.3803
131.835948 74.218 149.4337
132.202159 74.197 149.4924
132.568370 74.177 149.5572
132.934581 74.157 149.6289
133.300792 74.138 149.7081
133.667003 74.118 149.7951
134.033214 74.100 149.8905
134.399425 74.082 149.9946
134.765636 74.065 150.1075
135.131847 74.049 150.2295
135.498058 74.034 150.3604
135.864269 74.021 150.4997
136.230480 74.009 150.6466
136.596691 74.000 150.7997
136.962902 73.993 150.9575
137.329113 73.988 151.1186
137.695324 73.985 151.2813
138.061535 73.984 151.4443
138.427746 73.986 151.6060
138.793957 73.991 151.7645
139.160168 73.998 151.9175
139.526379 74.007 152.0627
139.892589 74.019 152.1972
140.258800 74.033 152.3184
140.625011 74.049 152.4244
140.991222 74.066 152.5135
141.357433 74.085 152.5847
141.723644 74.104 152.6373
142.089855 74.124 152.6710
142.456066 74.144 152.6857
142.822277 74.164 152.6817
143.188488 74.183 152.6599
143.554699 74.200 152.6217
143.920910 74.217 152.5691
144.287121 74.232 152.5044
144.653332 74.246 152.4296
145.019543 74.258 152.3468
145.385754 74.268 152.2578
145.751965 74.277 152.1642
146.118176 74.284 152.0678
146.484387 74.290 151.9699
146.850598 74.294 151.8717
147.216809 74.297 151.7743
147.583020 74.299 151.6781
147.949231 74.300 151.5835
148.315442 74.299 151.4907
148.681653 74.298 151.3998
149.047864 74.297 151.3109
149.414075 74.294 151.2241
149.780286 74.291 151.1394
150.146497 74.287 151.0566
150.512708 74.283 150.9756
150.878918 74.278 150.8961
