* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Apr 24, 2023 12:00:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EST50 W1 R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.270 -26.9887
0.732422 72.146 -52.8654
1.098633 70.118 -75.6925
1.464844 66.983 -90.5471
1.831055 63.554 -84.3945
2.197266 64.573 -63.1666
2.563477 67.956 -63.6133
2.929688 70.285 -75.3717
3.295899 71.491 -88.6431
3.662110 71.879 -99.2571
4.028321 71.872 -104.8747
4.394532 72.069 -105.4866
4.760743 72.849 -104.6334
5.126954 73.943 -105.9022
5.493164 74.889 -109.4369
5.859375 75.496 -113.5346
6.225586 75.826 -116.6385
6.591797 76.075 -118.1801
6.958008 76.411 -118.7790
7.324219 76.852 -119.5586
7.690430 77.288 -121.0768
8.056641 77.621 -123.0741
8.422852 77.837 -124.9860
8.789063 77.994 -126.4790
9.155274 78.156 -127.6459
9.521485 78.344 -128.8147
9.887696 78.533 -130.2023
10.253907 78.623 -131.7671
10.620118 78.648 -133.3345
10.986329 78.661 -134.7923
11.352540 78.678 -136.1637
11.718751 78.705 -137.5300
12.084962 78.732 -138.9203
12.451173 78.753 -140.2879
12.817384 78.818 -141.5746
13.183595 78.893 -142.7761
13.549806 78.971 -143.9345
13.916017 79.046 -145.0800
14.282228 79.111 -146.1928
14.648439 79.164 -147.2265
15.014650 79.212 -148.1616
15.380861 79.261 -149.0293
15.747072 79.309 -149.8828
16.113283 79.357 -150.7485
16.479493 79.401 -151.6098
16.845704 79.436 -152.4341
17.211915 79.465 -153.2111
17.578126 79.492 -153.9632
17.944337 79.518 -154.7213
18.310548 79.540 -155.4969
18.676759 79.558 -156.2771
19.042970 79.571 -157.0443
19.409181 79.583 -157.7949
19.775392 79.596 -158.5389
20.141603 79.611 -159.2844
20.507814 79.627 -160.0270
20.874025 79.642 -160.7543
21.240236 79.657 -161.4581
21.606447 79.672 -162.1408
21.972658 79.689 -162.8087
22.338869 79.704 -163.4630
22.705080 79.718 -164.0981
23.071291 79.730 -164.7083
23.437502 79.740 -165.2935
23.803713 79.749 -165.8576
24.169924 79.756 -166.4026
24.536135 79.761 -166.9277
24.902346 79.765 -167.4345
25.268557 79.769 -167.9314
25.634768 79.772 -168.4313
26.000979 79.773 -168.9416
26.367190 79.770 -169.4577
26.733401 79.763 -169.9660
27.099612 79.752 -170.4549
27.465823 79.741 -170.9230
27.832033 79.731 -171.3778
28.198244 79.721 -171.8266
28.564455 79.711 -172.2700
28.930666 79.701 -172.7020
29.296877 79.692 -173.1165
29.663088 79.683 -173.5114
30.029299 79.678 -173.8887
30.395510 79.675 -174.2517
30.761721 79.675 -174.6047
31.127932 79.678 -174.9547
31.494143 79.684 -175.3122
31.860354 79.692 -175.6873
32.226565 79.699 -176.0837
32.592776 79.703 -176.4962
32.958987 79.703 -176.9140
33.325198 79.700 -177.3278
33.691409 79.694 -177.7337
34.057620 79.687 -178.1323
34.423831 79.677 -178.5254
34.790042 79.666 -178.9124
35.156253 79.653 -179.2921
35.522464 79.639 -179.6640
35.888675 79.625 179.9700
36.254886 79.610 179.6082
36.621097 79.595 179.2504
36.987308 79.579 178.8984
37.353519 79.564 178.5539
37.719730 79.548 178.2171
38.085941 79.533 177.8865
38.452152 79.518 177.5608
38.818363 79.503 177.2394
39.184573 79.489 176.9224
39.550784 79.475 176.6099
39.916995 79.460 176.3018
40.283206 79.446 175.9986
40.649417 79.432 175.7016
41.015628 79.417 175.4120
41.381839 79.403 175.1295
41.748050 79.388 174.8519
42.114261 79.374 174.5767
42.480472 79.360 174.3026
42.846683 79.345 174.0302
43.212894 79.330 173.7615
43.579105 79.315 173.4974
43.945316 79.300 173.2379
44.311527 79.285 172.9814
44.677738 79.270 172.7266
45.043949 79.255 172.4727
45.410160 79.240 172.2196
45.776371 79.226 171.9677
46.142582 79.211 171.7172
46.508793 79.195 171.4686
46.875004 79.180 171.2224
47.241215 79.164 170.9791
47.607426 79.148 170.7396
47.973637 79.131 170.5042
48.339848 79.115 170.2722
48.706059 79.099 170.0410
49.072270 79.082 169.8077
49.438481 79.066 169.5710
49.804692 79.048 169.3332
50.170902 79.028 169.1007
50.537113 79.008 168.8801
50.903324 78.989 168.6735
51.269535 78.971 168.4763
51.635746 78.955 168.2792
52.001957 78.940 168.0739
52.368168 78.926 167.8588
52.734379 78.910 167.6389
53.100590 78.893 167.4221
53.466801 78.876 167.2131
53.833012 78.859 167.0118
54.199223 78.842 166.8147
54.565434 78.826 166.6188
54.931645 78.810 166.4242
55.297856 78.794 166.2321
55.664067 78.778 166.0430
56.030278 78.762 165.8555
56.396489 78.745 165.6683
56.762700 78.728 165.4825
57.128911 78.709 165.3021
57.495122 78.690 165.1312
57.861333 78.672 164.9702
58.227544 78.655 164.8145
58.593755 78.639 164.6561
58.959966 78.624 164.4883
59.326177 78.609 164.3095
59.692388 78.593 164.1238
60.058599 78.575 163.9380
60.424810 78.555 163.7577
60.791021 78.536 163.5850
61.157232 78.517 163.4185
61.523442 78.499 163.2550
61.889653 78.481 163.0924
62.255864 78.463 162.9302
62.622075 78.445 162.7692
62.988286 78.427 162.6101
63.354497 78.409 162.4531
63.720708 78.391 162.2977
64.086919 78.373 162.1436
64.453130 78.355 161.9913
64.819341 78.336 161.8413
65.185552 78.318 161.6941
65.551763 78.300 161.5493
65.917974 78.281 161.4059
66.284185 78.263 161.2629
66.650396 78.245 161.1198
67.016607 78.226 160.9767
67.382818 78.207 160.8343
67.749029 78.188 160.6935
68.115240 78.169 160.5548
68.481451 78.150 160.4182
68.847662 78.130 160.2832
69.213873 78.112 160.1489
69.580084 78.093 160.0145
69.946295 78.074 159.8799
70.312506 78.055 159.7458
70.678717 78.036 159.6133
71.044928 78.017 159.4833
71.411139 77.998 159.3559
71.777350 77.980 159.2302
72.143561 77.961 159.1052
72.509771 77.943 158.9804
72.875982 77.925 158.8561
73.242193 77.906 158.7332
73.608404 77.888 158.6125
73.974615 77.869 158.4935
74.340826 77.851 158.3757
74.707037 77.832 158.2582
75.073248 77.814 158.1410
75.439459 77.795 158.0247
75.805670 77.776 157.9099
76.171881 77.757 157.7972
76.538092 77.739 157.6866
76.904303 77.720 157.5774
77.270514 77.701 157.4691
77.636725 77.682 157.3615
78.002936 77.664 157.2544
78.369147 77.645 157.1479
78.735358 77.626 157.0424
79.101569 77.608 156.9377
79.467780 77.589 156.8339
79.833991 77.571 156.7310
80.200202 77.552 156.6291
80.566413 77.534 156.5283
80.932624 77.516 156.4287
81.298835 77.498 156.3301
81.665046 77.480 156.2323
82.031257 77.462 156.1346
82.397468 77.444 156.0366
82.763679 77.426 155.9381
83.129890 77.408 155.8397
83.496101 77.390 155.7419
83.862311 77.372 155.6456
84.228522 77.353 155.5514
84.594733 77.335 155.4594
84.960944 77.317 155.3693
85.327155 77.299 155.2801
85.693366 77.282 155.1913
86.059577 77.264 155.1023
86.425788 77.246 155.0132
86.791999 77.229 154.9244
87.158210 77.211 154.8365
87.524421 77.193 154.7498
87.890632 77.175 154.6645
88.256843 77.157 154.5806
88.623054 77.140 154.4977
88.989265 77.122 154.4157
89.355476 77.104 154.3341
89.721687 77.086 154.2525
90.087898 77.069 154.1709
90.454109 77.051 154.0896
90.820320 77.033 154.0092
91.186531 77.015 153.9299
91.552742 76.997 153.8520
91.918953 76.979 153.7751
92.285164 76.961 153.6990
92.651375 76.944 153.6234
93.017586 76.926 153.5485
93.383797 76.908 153.4742
93.750008 76.891 153.4006
94.116219 76.874 153.3276
94.482430 76.856 153.2550
94.848641 76.839 153.1826
95.214851 76.822 153.1107
95.581062 76.804 153.0392
95.947273 76.787 152.9685
96.313484 76.770 152.8987
96.679695 76.752 152.8296
97.045906 76.735 152.7613
97.412117 76.718 152.6938
97.778328 76.700 152.6272
98.144539 76.683 152.5613
98.510750 76.666 152.4958
98.876961 76.649 152.4305
99.243172 76.632 152.3651
99.609383 76.614 152.2998
99.975594 76.597 152.2350
100.341805 76.580 152.1711
100.708016 76.562 152.1086
101.074227 76.545 152.0475
101.440438 76.528 151.9871
101.806649 76.511 151.9270
102.172860 76.494 151.8667
102.539071 76.477 151.8064
102.905282 76.460 151.7465
103.271493 76.443 151.6877
103.637704 76.426 151.6301
104.003915 76.409 151.5737
104.370126 76.392 151.5180
104.736337 76.375 151.4627
105.102548 76.358 151.4077
105.468759 76.340 151.3532
105.834970 76.323 151.2995
106.201180 76.306 151.2468
106.567391 76.289 151.1949
106.933602 76.273 151.1434
107.299813 76.256 151.0919
107.666024 76.239 151.0402
108.032235 76.222 150.9882
108.398446 76.206 150.9362
108.764657 76.189 150.8845
109.130868 76.172 150.8335
109.497079 76.155 150.7835
109.863290 76.138 150.7346
110.229501 76.121 150.6870
110.595712 76.104 150.6405
110.961923 76.087 150.5949
111.328134 76.071 150.5500
111.694345 76.054 150.5057
112.060556 76.038 150.4619
112.426767 76.021 150.4188
112.792978 76.004 150.3764
113.159189 75.988 150.3348
113.525400 75.972 150.2936
113.891611 75.955 150.2524
114.257822 75.939 150.2110
114.624033 75.923 150.1693
114.990244 75.906 150.1276
115.356455 75.890 150.0863
115.722666 75.873 150.0458
116.088877 75.856 150.0061
116.455088 75.840 149.9670
116.821299 75.823 149.9282
117.187510 75.807 149.8896
117.553720 75.790 149.8514
117.919931 75.773 149.8138
118.286142 75.756 149.7772
118.652353 75.740 149.7416
119.018564 75.723 149.7067
119.384775 75.706 149.6721
119.750986 75.690 149.6375
120.117197 75.674 149.6027
120.483408 75.657 149.5681
120.849619 75.641 149.5342
121.215830 75.624 149.5013
121.582041 75.608 149.4692
121.948252 75.591 149.4378
122.314463 75.575 149.4066
122.680674 75.559 149.3753
123.046885 75.543 149.3440
123.413096 75.526 149.3129
123.779307 75.510 149.2823
124.145518 75.494 149.2525
124.511729 75.478 149.2233
124.877940 75.462 149.1947
125.244151 75.446 149.1665
125.610362 75.431 149.1389
125.976573 75.415 149.1119
126.342784 75.400 149.0858
126.708995 75.384 149.0609
127.075206 75.369 149.0372
127.441417 75.353 149.0147
127.807628 75.338 148.9934
128.173839 75.322 148.9730
128.540049 75.307 148.9533
128.906260 75.291 148.9342
129.272471 75.276 148.9157
129.638682 75.260 148.8977
130.004893 75.244 148.8804
130.371104 75.228 148.8640
130.737315 75.213 148.8486
131.103526 75.197 148.8341
131.469737 75.181 148.8204
131.835948 75.165 148.8074
132.202159 75.149 148.7947
132.568370 75.133 148.7826
132.934581 75.117 148.7713
133.300792 75.101 148.7612
133.667003 75.084 148.7527
134.033214 75.068 148.7462
134.399425 75.052 148.7417
134.765636 75.035 148.7389
135.131847 75.019 148.7377
135.498058 75.003 148.7379
135.864269 74.986 148.7394
136.230480 74.970 148.7421
136.596691 74.953 148.7465
136.962902 74.937 148.7528
137.329113 74.920 148.7617
137.695324 74.903 148.7737
138.061535 74.886 148.7893
138.427746 74.870 148.8083
138.793957 74.853 148.8306
139.160168 74.837 148.8557
139.526379 74.820 148.8831
139.892589 74.804 148.9128
140.258800 74.788 148.9449
140.625011 74.772 148.9798
140.991222 74.756 149.0181
141.357433 74.740 149.0601
141.723644 74.725 149.1062
142.089855 74.709 149.1567
142.456066 74.694 149.2118
142.822277 74.679 149.2716
143.188488 74.665 149.3360
143.554699 74.651 149.4049
143.920910 74.638 149.4781
144.287121 74.625 149.5554
144.653332 74.613 149.6366
145.019543 74.603 149.7215
145.385754 74.593 149.8101
145.751965 74.584 149.9020
146.118176 74.576 149.9970
146.484387 74.569 150.0945
146.850598 74.564 150.1938
147.216809 74.559 150.2943
147.583020 74.557 150.3952
147.949231 74.556 150.4958
148.315442 74.556 150.5953
148.681653 74.558 150.6926
149.047864 74.561 150.7868
149.414075 74.566 150.8763
149.780286 74.572 150.9597
150.146497 74.580 151.0358
150.512708 74.589 151.1034
