* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 2, 2023 5:59:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 41T Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.263 -28.6304
0.732422 69.911 -56.3240
1.098633 67.334 -81.2046
1.464844 62.759 -96.5236
1.831055 57.408 -67.5701
2.197266 62.761 -37.6895
2.563477 67.249 -49.1339
2.929688 69.685 -67.2051
3.295899 70.852 -84.6970
3.662110 71.150 -98.8560
4.028321 70.967 -107.7580
4.394532 70.868 -110.9740
4.760743 71.344 -111.5180
5.126954 72.253 -113.6273
5.493164 73.095 -118.2829
5.859375 73.585 -123.9283
6.225586 73.728 -128.7260
6.591797 73.708 -131.6195
6.958008 73.760 -132.8708
7.324219 73.982 -133.8002
7.690430 74.279 -135.4912
8.056641 74.499 -137.9555
8.422852 74.581 -140.5255
8.789063 74.570 -142.6009
9.155274 74.557 -144.0940
9.521485 74.595 -145.3822
9.887696 74.666 -146.8678
10.253907 74.652 -148.6184
10.620118 74.570 -150.4155
10.986329 74.467 -152.0363
11.352540 74.375 -153.4487
11.718751 74.306 -154.7758
12.084962 74.253 -156.1216
12.451173 74.201 -157.4665
12.817384 74.191 -158.7226
13.183595 74.192 -159.8490
13.549806 74.204 -160.8922
13.916017 74.219 -161.9188
14.282228 74.228 -162.9352
14.648439 74.224 -163.8871
15.014650 74.213 -164.7299
15.380861 74.204 -165.4845
15.747072 74.199 -166.2194
16.113283 74.195 -166.9811
16.479493 74.189 -167.7559
16.845704 74.173 -168.4977
17.211915 74.152 -169.1854
17.578126 74.132 -169.8458
17.944337 74.116 -170.5213
18.310548 74.097 -171.2253
18.676759 74.074 -171.9343
19.042970 74.051 -172.6218
19.409181 74.031 -173.2905
19.775392 74.017 -173.9650
20.141603 74.006 -174.6570
20.507814 73.996 -175.3448
20.874025 73.985 -175.9945
21.240236 73.980 -176.5985
21.606447 73.982 -177.1880
21.972658 73.988 -177.8016
22.338869 73.989 -178.4397
22.705080 73.981 -179.0549
23.071291 73.965 -179.5895
23.437502 73.953 179.9703
23.803713 73.951 179.5727
24.169924 73.960 179.1344
24.536135 73.967 178.6033
24.902346 73.961 177.9977
25.268557 73.934 177.3943
25.634768 73.891 176.8779
26.000979 73.845 176.4893
26.367190 73.808 176.2017
26.733401 73.788 175.9393
27.099612 73.781 175.6230
27.465823 73.780 175.2142
27.832033 73.773 174.7298
28.198244 73.758 174.2223
28.564455 73.736 173.7423
28.930666 73.714 173.3078
29.296877 73.698 172.8992
29.663088 73.686 172.4834
30.029299 73.676 172.0458
30.395510 73.662 171.6033
30.761721 73.645 171.1890
31.127932 73.627 170.8223
31.494143 73.615 170.4911
31.860354 73.607 170.1613
32.226565 73.602 169.8046
32.592776 73.594 169.4203
32.958987 73.580 169.0330
33.325198 73.560 168.6710
33.691409 73.539 168.3446
34.057620 73.520 168.0415
34.423831 73.503 167.7399
34.790042 73.488 167.4246
35.156253 73.471 167.0951
35.522464 73.453 166.7597
35.888675 73.434 166.4261
36.254886 73.414 166.0966
36.621097 73.396 165.7681
36.987308 73.378 165.4363
37.353519 73.361 165.0977
37.719730 73.345 164.7497
38.085941 73.328 164.3918
38.452152 73.309 164.0282
38.818363 73.287 163.6691
39.184573 73.263 163.3297
39.550784 73.237 163.0240
39.916995 73.214 162.7563
40.283206 73.195 162.5162
40.649417 73.183 162.2810
41.015628 73.175 162.0266
41.381839 73.168 161.7410
41.748050 73.158 161.4317
42.114261 73.143 161.1215
42.480472 73.124 160.8340
42.846683 73.104 160.5783
43.212894 73.087 160.3437
43.579105 73.074 160.1087
43.945316 73.062 159.8575
44.311527 73.048 159.5909
44.677738 73.031 159.3239
45.043949 73.013 159.0716
45.410160 72.995 158.8367
45.776371 72.980 158.6084
46.142582 72.967 158.3715
46.508793 72.954 158.1191
46.875004 72.940 157.8559
47.241215 72.924 157.5925
47.607426 72.907 157.3360
47.973637 72.889 157.0854
48.339848 72.873 156.8363
48.706059 72.855 156.5861
49.072270 72.837 156.3376
49.438481 72.819 156.0958
49.804692 72.801 155.8632
50.170902 72.784 155.6368
50.537113 72.769 155.4114
50.903324 72.755 155.1824
51.269535 72.740 154.9493
51.635746 72.726 154.7141
52.001957 72.711 154.4792
52.368168 72.696 154.2462
52.734379 72.681 154.0156
53.100590 72.666 153.7877
53.466801 72.650 153.5640
53.833012 72.634 153.3461
54.199223 72.617 153.1354
54.565434 72.601 152.9313
54.931645 72.585 152.7311
55.297856 72.570 152.5317
55.664067 72.555 152.3312
56.030278 72.539 152.1308
56.396489 72.522 151.9347
56.762700 72.505 151.7470
57.128911 72.489 151.5672
57.495122 72.474 151.3885
57.861333 72.462 151.2003
58.227544 72.449 150.9944
58.593755 72.435 150.7718
58.959966 72.418 150.5427
59.326177 72.398 150.3228
59.692388 72.376 150.1237
60.058599 72.356 149.9468
60.424810 72.338 149.7825
60.791021 72.324 149.6159
61.157232 72.312 149.4355
61.523442 72.301 149.2382
61.889653 72.287 149.0303
62.255864 72.272 148.8221
62.622075 72.256 148.6220
62.988286 72.239 148.4325
63.354497 72.223 148.2506
63.720708 72.207 148.0709
64.086919 72.192 147.8894
64.453130 72.177 147.7048
64.819341 72.162 147.5185
65.185552 72.146 147.3330
65.551763 72.129 147.1508
65.917974 72.112 146.9733
66.284185 72.095 146.8008
66.650396 72.079 146.6311
67.016607 72.064 146.4604
67.382818 72.049 146.2846
67.749029 72.034 146.1017
68.115240 72.018 145.9144
68.481451 72.001 145.7287
68.847662 71.983 145.5510
69.213873 71.966 145.3834
69.580084 71.949 145.2231
69.946295 71.934 145.0641
70.312506 71.919 144.9016
70.678717 71.905 144.7344
71.044928 71.890 144.5653
71.411139 71.875 144.3976
71.777350 71.860 144.2332
72.143561 71.844 144.0723
72.509771 71.829 143.9142
72.875982 71.813 143.7588
73.242193 71.797 143.6065
73.608404 71.781 143.4578
73.974615 71.766 143.3127
74.340826 71.750 143.1707
74.707037 71.736 143.0308
75.073248 71.722 142.8910
75.439459 71.708 142.7476
75.805670 71.696 142.5968
76.171881 71.682 142.4367
76.538092 71.668 142.2704
76.904303 71.652 142.1051
77.270514 71.635 141.9484
77.636725 71.618 141.8027
78.002936 71.603 141.6628
78.369147 71.590 141.5187
78.735358 71.577 141.3623
79.101569 71.564 141.1930
79.467780 71.549 141.0183
79.833991 71.531 140.8490
80.200202 71.513 140.6930
80.566413 71.494 140.5515
80.932624 71.477 140.4204
81.298835 71.461 140.2942
81.665046 71.447 140.1692
82.031257 71.433 140.0439
82.397468 71.420 139.9173
82.763679 71.407 139.7877
83.129890 71.394 139.6537
83.496101 71.381 139.5163
83.862311 71.367 139.3794
84.228522 71.352 139.2478
84.594733 71.337 139.1239
84.960944 71.323 139.0054
85.327155 71.310 138.8871
85.693366 71.298 138.7635
86.059577 71.286 138.6329
86.425788 71.273 138.4974
86.791999 71.260 138.3602
87.158210 71.247 138.2235
87.524421 71.233 138.0870
87.890632 71.219 137.9496
88.256843 71.205 137.8112
88.623054 71.190 137.6734
88.989265 71.175 137.5386
89.355476 71.161 137.4072
89.721687 71.147 137.2769
90.087898 71.134 137.1442
90.454109 71.121 137.0071
90.820320 71.108 136.8666
91.186531 71.094 136.7264
91.552742 71.079 136.5908
91.918953 71.064 136.4623
92.285164 71.050 136.3397
92.651375 71.037 136.2199
93.017586 71.025 136.0995
93.383797 71.013 135.9769
93.750008 71.000 135.8526
94.116219 70.988 135.7287
94.482430 70.975 135.6068
94.848641 70.962 135.4873
95.214851 70.949 135.3695
95.581062 70.937 135.2517
95.947273 70.924 135.1329
96.313484 70.912 135.0130
96.679695 70.899 134.8929
97.045906 70.886 134.7733
97.412117 70.872 134.6549
97.778328 70.859 134.5374
98.144539 70.845 134.4205
98.510750 70.832 134.3041
98.876961 70.818 134.1884
99.243172 70.805 134.0740
99.609383 70.792 133.9606
99.975594 70.779 133.8476
100.341805 70.767 133.7337
100.708016 70.754 133.6186
101.074227 70.742 133.5026
101.440438 70.729 133.3870
101.806649 70.717 133.2733
102.172860 70.704 133.1619
102.539071 70.692 133.0527
102.905282 70.680 132.9447
103.271493 70.669 132.8365
103.637704 70.657 132.7274
104.003915 70.646 132.6169
104.370126 70.635 132.5049
104.736337 70.624 132.3914
105.102548 70.613 132.2768
105.468759 70.601 132.1620
105.834970 70.589 132.0481
106.201180 70.576 131.9361
106.567391 70.563 131.8266
106.933602 70.551 131.7193
107.299813 70.538 131.6136
107.666024 70.526 131.5089
108.032235 70.513 131.4053
108.398446 70.501 131.3032
108.764657 70.489 131.2030
109.130868 70.477 131.1042
109.497079 70.465 131.0054
109.863290 70.454 130.9050
110.229501 70.443 130.8018
110.595712 70.432 130.6963
110.961923 70.421 130.5900
111.328134 70.409 130.4850
111.694345 70.397 130.3828
112.060556 70.385 130.2833
112.426767 70.374 130.1856
112.792978 70.363 130.0881
113.159189 70.352 129.9897
113.525400 70.341 129.8902
113.891611 70.331 129.7897
114.257822 70.320 129.6885
114.624033 70.310 129.5872
114.990244 70.299 129.4859
115.356455 70.289 129.3845
115.722666 70.279 129.2826
116.088877 70.269 129.1796
116.455088 70.259 129.0750
116.821299 70.248 128.9688
117.187510 70.238 128.8620
117.553720 70.227 128.7563
117.919931 70.215 128.6539
118.286142 70.203 128.5563
118.652353 70.191 128.4638
119.018564 70.180 128.3751
119.384775 70.170 128.2880
119.750986 70.160 128.2003
120.117197 70.150 128.1103
120.483408 70.140 128.0179
120.849619 70.130 127.9240
121.215830 70.120 127.8297
121.582041 70.110 127.7357
121.948252 70.100 127.6421
122.314463 70.090 127.5480
122.680674 70.080 127.4525
123.046885 70.071 127.3546
123.413096 70.061 127.2545
123.779307 70.050 127.1533
124.145518 70.039 127.0530
124.511729 70.028 126.9553
124.877940 70.017 126.8614
125.244151 70.007 126.7712
125.610362 69.997 126.6838
125.976573 69.988 126.5974
126.342784 69.979 126.5107
126.708995 69.971 126.4228
127.075206 69.963 126.3340
127.441417 69.954 126.2449
127.807628 69.946 126.1562
128.173839 69.938 126.0680
128.540049 69.930 125.9801
128.906260 69.923 125.8921
129.272471 69.915 125.8037
129.638682 69.907 125.7149
130.004893 69.899 125.6259
130.371104 69.891 125.5369
130.737315 69.883 125.4479
131.103526 69.875 125.3590
131.469737 69.866 125.2700
131.835948 69.858 125.1808
132.202159 69.849 125.0919
132.568370 69.841 125.0031
132.934581 69.832 124.9147
133.300792 69.824 124.8266
133.667003 69.815 124.7386
134.033214 69.807 124.6504
134.399425 69.798 124.5619
134.765636 69.790 124.4734
135.131847 69.782 124.3852
135.498058 69.773 124.2979
135.864269 69.765 124.2119
136.230480 69.756 124.1274
136.596691 69.748 124.0444
136.962902 69.741 123.9622
137.329113 69.733 123.8800
137.695324 69.726 123.7968
138.061535 69.720 123.7120
138.427746 69.713 123.6254
138.793957 69.706 123.5375
139.160168 69.699 123.4488
139.526379 69.692 123.3602
139.892589 69.685 123.2722
140.258800 69.677 123.1853
140.625011 69.669 123.0996
140.991222 69.662 123.0151
141.357433 69.654 122.9319
141.723644 69.646 122.8496
142.089855 69.639 122.7682
142.456066 69.631 122.6876
142.822277 69.624 122.6073
143.188488 69.616 122.5273
143.554699 69.609 122.4474
143.920910 69.602 122.3673
144.287121 69.595 122.2870
144.653332 69.588 122.2063
145.019543 69.581 122.1252
145.385754 69.574 122.0437
145.751965 69.567 121.9617
146.118176 69.560 121.8796
146.484387 69.553 121.7974
146.850598 69.546 121.7155
147.216809 69.539 121.6342
147.583020 69.532 121.5536
147.949231 69.525 121.4739
148.315442 69.518 121.3947
148.681653 69.511 121.3161
149.047864 69.504 121.2377
149.414075 69.497 121.1595
149.780286 69.490 121.0815
150.146497 69.484 121.0035
150.512708 69.477 120.9257
150.878918 69.470 120.8480
151.245129 69.464 120.7705
