* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:28:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurura Stock L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 62.357 158.5105
0.732422 60.554 136.7545
1.098633 57.198 114.0665
1.464844 51.373 87.6112
1.831055 40.450 30.4751
2.197266 42.363 -81.4251
2.563477 43.843 -106.1448
2.929688 39.363 -88.2953
3.295899 44.460 -25.3404
3.662110 50.830 -23.0562
4.028321 54.090 -30.6023
4.394532 55.697 -37.3755
4.760743 56.468 -40.5159
5.126954 57.096 -39.7760
5.493164 58.029 -37.7394
5.859375 59.186 -37.4016
6.225586 60.255 -39.3194
6.591797 61.079 -42.3717
6.958008 61.693 -45.3926
7.324219 62.218 -47.8866
7.690430 62.757 -50.0497
8.056641 63.332 -52.3271
8.422852 63.904 -54.9196
8.789063 64.436 -57.6800
9.155274 64.924 -60.3444
9.521485 65.393 -62.7727
9.887696 65.859 -65.0060
10.253907 66.254 -67.1546
10.620118 66.605 -69.2666
10.986329 66.932 -71.3045
11.352540 67.238 -73.2157
11.718751 67.527 -75.0009
12.084962 67.801 -76.7099
12.451173 68.059 -78.3872
12.817384 68.339 -80.0303
13.183595 68.600 -81.6037
13.549806 68.842 -83.0872
13.916017 69.071 -84.5052
14.282228 69.293 -85.9123
14.648439 69.504 -87.3506
15.014650 69.700 -88.8218
15.380861 69.879 -90.2954
15.747072 70.046 -91.7396
16.113283 70.211 -93.1440
16.479493 70.382 -94.5209
16.845704 70.553 -95.8891
17.211915 70.721 -97.2587
17.578126 70.884 -98.6255
17.944337 71.040 -99.9735
18.310548 71.189 -101.2808
18.676759 71.333 -102.5277
19.042970 71.475 -103.7076
19.409181 71.618 -104.8366
19.775392 71.762 -105.9489
20.141603 71.905 -107.0746
20.507814 72.038 -108.2134
20.874025 72.156 -109.3254
21.240236 72.260 -110.3544
21.606447 72.358 -111.2706
21.972658 72.463 -112.1030
22.338869 72.580 -112.9329
22.705080 72.702 -113.8454
23.071291 72.816 -114.8740
23.437502 72.911 -115.9795
23.803713 72.981 -117.0755
24.169924 73.033 -118.0800
24.536135 73.080 -118.9604
24.902346 73.131 -119.7433
25.268557 73.194 -120.4888
25.634768 73.264 -121.2497
26.000979 73.337 -122.0465
26.367190 73.408 -122.8700
26.733401 73.475 -123.7005
27.099612 73.539 -124.5255
27.465823 73.601 -125.3424
27.832033 73.660 -126.1513
28.198244 73.715 -126.9472
28.564455 73.768 -127.7220
28.930666 73.819 -128.4721
29.296877 73.869 -129.2032
29.663088 73.919 -129.9279
30.029299 73.966 -130.6551
30.395510 74.010 -131.3828
30.761721 74.049 -132.0990
31.127932 74.083 -132.7905
31.494143 74.115 -133.4516
31.860354 74.147 -134.0870
32.226565 74.179 -134.7068
32.592776 74.212 -135.3205
32.958987 74.245 -135.9337
33.325198 74.278 -136.5488
33.691409 74.309 -137.1673
34.057620 74.338 -137.7879
34.423831 74.365 -138.4043
34.790042 74.389 -139.0064
35.156253 74.411 -139.5869
35.522464 74.435 -140.1493
35.888675 74.461 -140.7088
36.254886 74.488 -141.2824
36.621097 74.511 -141.8743
36.987308 74.530 -142.4677
37.353519 74.542 -143.0339
37.719730 74.553 -143.5522
38.085941 74.566 -144.0280
38.452152 74.587 -144.4926
38.818363 74.612 -144.9840
39.184573 74.636 -145.5202
39.550784 74.653 -146.0859
39.916995 74.662 -146.6419
40.283206 74.666 -147.1507
40.649417 74.670 -147.6002
41.015628 74.679 -148.0100
41.381839 74.695 -148.4169
41.748050 74.714 -148.8508
42.114261 74.733 -149.3185
42.480472 74.747 -149.8036
42.846683 74.755 -150.2804
43.212894 74.760 -150.7310
43.579105 74.765 -151.1530
43.945316 74.771 -151.5566
44.311527 74.779 -151.9555
44.677738 74.788 -152.3582
45.043949 74.796 -152.7661
45.410160 74.803 -153.1757
45.776371 74.809 -153.5836
46.142582 74.814 -153.9887
46.508793 74.819 -154.3919
46.875004 74.822 -154.7939
47.241215 74.825 -155.1936
47.607426 74.827 -155.5882
47.973637 74.828 -155.9747
48.339848 74.829 -156.3520
48.706059 74.830 -156.7217
49.072270 74.832 -157.0872
49.438481 74.835 -157.4525
49.804692 74.839 -157.8202
50.170902 74.842 -158.1904
50.537113 74.844 -158.5603
50.903324 74.846 -158.9255
51.269535 74.846 -159.2816
51.635746 74.846 -159.6269
52.001957 74.846 -159.9629
52.368168 74.847 -160.2938
52.734379 74.848 -160.6241
53.100590 74.849 -160.9563
53.466801 74.848 -161.2887
53.833012 74.846 -161.6168
54.199223 74.844 -161.9361
54.565434 74.841 -162.2455
54.931645 74.838 -162.5481
55.297856 74.837 -162.8502
55.664067 74.835 -163.1571
56.030278 74.833 -163.4697
56.396489 74.830 -163.7835
56.762700 74.826 -164.0915
57.128911 74.821 -164.3880
57.495122 74.816 -164.6731
57.861333 74.814 -164.9522
58.227544 74.813 -165.2339
58.593755 74.813 -165.5252
58.959966 74.814 -165.8284
59.326177 74.812 -166.1403
59.692388 74.809 -166.4536
60.058599 74.803 -166.7600
60.424810 74.795 -167.0524
60.791021 74.786 -167.3268
61.157232 74.778 -167.5834
61.523442 74.771 -167.8256
61.889653 74.765 -168.0591
62.255864 74.761 -168.2903
62.622075 74.758 -168.5249
62.988286 74.755 -168.7661
63.354497 74.752 -169.0146
63.720708 74.747 -169.2683
64.086919 74.741 -169.5237
64.453130 74.734 -169.7768
64.819341 74.726 -170.0243
65.185552 74.717 -170.2652
65.551763 74.709 -170.5003
65.917974 74.700 -170.7320
66.284185 74.693 -170.9627
66.650396 74.685 -171.1938
67.016607 74.678 -171.4248
67.382818 74.670 -171.6547
67.749029 74.663 -171.8829
68.115240 74.655 -172.1099
68.481451 74.648 -172.3372
68.847662 74.641 -172.5659
69.213873 74.634 -172.7958
69.580084 74.626 -173.0244
69.946295 74.617 -173.2485
70.312506 74.607 -173.4654
70.678717 74.598 -173.6749
71.044928 74.589 -173.8796
71.411139 74.581 -174.0840
71.777350 74.574 -174.2919
72.143561 74.566 -174.5052
72.509771 74.556 -174.7216
72.875982 74.546 -174.9367
73.242193 74.534 -175.1456
73.608404 74.521 -175.3453
73.974615 74.508 -175.5362
74.340826 74.496 -175.7197
74.707037 74.484 -175.8969
75.073248 74.472 -176.0676
75.439459 74.462 -176.2317
75.805670 74.454 -176.3919
76.171881 74.448 -176.5554
76.538092 74.445 -176.7322
76.904303 74.442 -176.9299
77.270514 74.438 -177.1490
77.636725 74.432 -177.3815
78.002936 74.422 -177.6141
78.369147 74.409 -177.8344
78.735358 74.396 -178.0369
79.101569 74.382 -178.2239
79.467780 74.370 -178.4024
79.833991 74.359 -178.5785
80.200202 74.348 -178.7541
80.566413 74.337 -178.9266
80.932624 74.326 -179.0924
81.298835 74.315 -179.2496
81.665046 74.304 -179.4003
82.031257 74.295 -179.5493
82.397468 74.288 -179.7015
82.763679 74.280 -179.8598
83.129890 74.272 179.9756
83.496101 74.263 179.8069
83.862311 74.254 179.6372
84.228522 74.243 179.4695
84.594733 74.232 179.3054
84.960944 74.221 179.1451
85.327155 74.210 178.9875
85.693366 74.199 178.8306
86.059577 74.188 178.6726
86.425788 74.177 178.5129
86.791999 74.166 178.3522
87.158210 74.155 178.1926
87.524421 74.143 178.0363
87.890632 74.130 177.8848
88.256843 74.118 177.7384
88.623054 74.107 177.5963
88.989265 74.096 177.4572
89.355476 74.085 177.3200
89.721687 74.075 177.1837
90.087898 74.065 177.0474
90.454109 74.056 176.9101
90.820320 74.047 176.7706
91.186531 74.037 176.6285
91.552742 74.027 176.4845
91.918953 74.017 176.3406
92.285164 74.006 176.1992
92.651375 73.994 176.0620
93.017586 73.983 175.9296
93.383797 73.971 175.8005
93.750008 73.960 175.6728
94.116219 73.949 175.5444
94.482430 73.939 175.4143
94.848641 73.928 175.2827
95.214851 73.917 175.1505
95.581062 73.906 175.0186
95.947273 73.894 174.8878
96.313484 73.883 174.7583
96.679695 73.871 174.6300
97.045906 73.859 174.5031
97.412117 73.848 174.3776
97.778328 73.836 174.2538
98.144539 73.825 174.1317
98.510750 73.813 174.0110
98.876961 73.802 173.8914
99.243172 73.791 173.7729
99.609383 73.779 173.6556
99.975594 73.768 173.5399
100.341805 73.757 173.4264
100.708016 73.745 173.3151
101.074227 73.734 173.2055
101.440438 73.724 173.0967
101.806649 73.713 172.9877
102.172860 73.702 172.8782
102.539071 73.691 172.7682
102.905282 73.680 172.6584
103.271493 73.669 172.5492
103.637704 73.658 172.4409
104.003915 73.646 172.3336
104.370126 73.635 172.2270
104.736337 73.623 172.1213
105.102548 73.612 172.0166
105.468759 73.600 171.9130
105.834970 73.589 171.8099
106.201180 73.578 171.7067
106.567391 73.566 171.6028
106.933602 73.555 171.4983
107.299813 73.543 171.3939
107.666024 73.531 171.2906
108.032235 73.519 171.1896
108.398446 73.508 171.0909
108.764657 73.496 170.9940
109.130868 73.484 170.8980
109.497079 73.473 170.8024
109.863290 73.461 170.7068
110.229501 73.450 170.6115
110.595712 73.439 170.5167
110.961923 73.428 170.4221
111.328134 73.417 170.3276
111.694345 73.405 170.2332
112.060556 73.394 170.1389
112.426767 73.383 170.0450
112.792978 73.373 169.9515
113.159189 73.362 169.8586
113.525400 73.351 169.7657
113.891611 73.340 169.6728
114.257822 73.329 169.5802
114.624033 73.318 169.4885
114.990244 73.306 169.3985
115.356455 73.295 169.3104
115.722666 73.284 169.2240
116.088877 73.272 169.1389
116.455088 73.261 169.0543
116.821299 73.250 168.9700
117.187510 73.239 168.8860
117.553720 73.227 168.8025
117.919931 73.216 168.7196
118.286142 73.204 168.6375
118.652353 73.192 168.5561
119.018564 73.181 168.4751
119.384775 73.169 168.3945
119.750986 73.157 168.3144
120.117197 73.145 168.2349
120.483408 73.134 168.1561
120.849619 73.122 168.0783
121.215830 73.110 168.0012
121.582041 73.099 167.9247
121.948252 73.088 167.8484
122.314463 73.077 167.7720
122.680674 73.066 167.6954
123.046885 73.055 167.6188
123.413096 73.045 167.5425
123.779307 73.034 167.4669
124.145518 73.024 167.3921
124.511729 73.014 167.3181
124.877940 73.004 167.2449
125.244151 72.994 167.1722
125.610362 72.985 167.1002
125.976573 72.975 167.0288
126.342784 72.966 166.9582
126.708995 72.956 166.8885
127.075206 72.946 166.8200
127.441417 72.936 166.7528
127.807628 72.926 166.6870
128.173839 72.916 166.6226
128.540049 72.906 166.5590
128.906260 72.896 166.4955
129.272471 72.886 166.4312
129.638682 72.876 166.3659
130.004893 72.866 166.2994
130.371104 72.855 166.2323
130.737315 72.845 166.1653
131.103526 72.834 166.0988
131.469737 72.823 166.0331
131.835948 72.813 165.9678
132.202159 72.802 165.9029
132.568370 72.792 165.8382
132.934581 72.782 165.7739
133.300792 72.772 165.7100
133.667003 72.762 165.6467
134.033214 72.753 165.5840
134.399425 72.743 165.5220
134.765636 72.734 165.4606
135.131847 72.725 165.3997
135.498058 72.716 165.3393
135.864269 72.707 165.2793
136.230480 72.699 165.2198
136.596691 72.690 165.1609
136.962902 72.681 165.1024
137.329113 72.672 165.0444
137.695324 72.663 164.9867
138.061535 72.654 164.9292
138.427746 72.644 164.8719
138.793957 72.635 164.8152
139.160168 72.625 164.7591
139.526379 72.615 164.7039
139.892589 72.605 164.6495
140.258800 72.595 164.5955
140.625011 72.585 164.5413
140.991222 72.575 164.4866
141.357433 72.565 164.4315
141.723644 72.555 164.3761
142.089855 72.544 164.3209
142.456066 72.534 164.2661
142.822277 72.524 164.2119
143.188488 72.514 164.1583
143.554699 72.504 164.1056
143.920910 72.494 164.0536
144.287121 72.484 164.0026
144.653332 72.474 163.9525
145.019543 72.465 163.9031
145.385754 72.456 163.8544
145.751965 72.447 163.8064
146.118176 72.438 163.7590
146.484387 72.429 163.7125
146.850598 72.420 163.6667
147.216809 72.411 163.6218
