* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:28:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurura Stock R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.247 -22.4075
0.732422 65.339 -44.6445
1.098633 61.628 -66.3051
1.464844 54.200 -85.0662
1.831055 41.669 36.8806
2.197266 54.639 37.7673
2.563477 57.482 18.3524
2.929688 57.555 -0.7079
3.295899 55.909 -15.6786
3.662110 53.292 -19.6777
4.028321 52.280 -8.2678
4.394532 54.400 -3.2717
4.760743 56.820 -11.9814
5.126954 58.492 -25.1710
5.493164 59.476 -37.1731
5.859375 60.045 -45.1809
6.225586 60.616 -48.5872
6.591797 61.525 -49.4180
6.958008 62.710 -50.5997
7.324219 63.858 -53.1580
7.690430 64.771 -56.3311
8.056641 65.448 -59.0619
8.422852 65.999 -60.8625
8.789063 66.540 -61.9936
9.155274 67.104 -63.0814
9.521485 67.652 -64.5377
9.887696 68.134 -66.3527
10.253907 68.468 -68.3059
10.620118 68.713 -70.2348
10.986329 68.929 -72.1249
11.352540 69.128 -74.0270
11.718751 69.311 -75.9480
12.084962 69.481 -77.8371
12.451173 69.654 -79.6562
12.817384 69.886 -81.4337
13.183595 70.136 -83.2367
13.549806 70.386 -85.0932
13.916017 70.623 -86.9540
14.282228 70.844 -88.7295
14.648439 71.057 -90.3616
15.014650 71.269 -91.8638
15.380861 71.482 -93.2965
15.747072 71.691 -94.7102
16.113283 71.891 -96.1096
16.479493 72.080 -97.4654
16.845704 72.253 -98.7491
17.211915 72.412 -99.9580
17.578126 72.562 -101.1120
17.944337 72.704 -102.2367
18.310548 72.838 -103.3522
18.676759 72.964 -104.4718
19.042970 73.084 -105.6058
19.409181 73.196 -106.7594
19.775392 73.302 -107.9299
20.141603 73.402 -109.1093
20.507814 73.499 -110.2903
20.874025 73.591 -111.4697
21.240236 73.679 -112.6407
21.606447 73.762 -113.7832
21.972658 73.840 -114.8668
22.338869 73.921 -115.8717
22.705080 74.010 -116.8123
23.071291 74.110 -117.7410
23.437502 74.217 -118.7179
23.803713 74.318 -119.7671
24.169924 74.403 -120.8517
24.536135 74.467 -121.8896
24.902346 74.515 -122.8013
25.268557 74.561 -123.5589
25.634768 74.618 -124.2063
26.000979 74.689 -124.8342
26.367190 74.769 -125.5269
26.733401 74.846 -126.3180
27.099612 74.910 -127.1797
27.465823 74.957 -128.0487
27.832033 74.991 -128.8660
28.198244 75.019 -129.6071
28.564455 75.051 -130.2889
28.930666 75.089 -130.9523
29.296877 75.132 -131.6344
29.663088 75.177 -132.3494
30.029299 75.220 -133.0872
30.395510 75.259 -133.8279
30.761721 75.296 -134.5572
31.127932 75.332 -135.2738
31.494143 75.368 -135.9832
31.860354 75.403 -136.6882
32.226565 75.435 -137.3829
32.592776 75.464 -138.0568
32.958987 75.491 -138.7028
33.325198 75.518 -139.3219
33.691409 75.545 -139.9220
34.057620 75.572 -140.5115
34.423831 75.599 -141.0951
34.790042 75.623 -141.6743
35.156253 75.647 -142.2500
35.522464 75.668 -142.8243
35.888675 75.687 -143.3984
36.254886 75.703 -143.9689
36.621097 75.715 -144.5275
36.987308 75.725 -145.0650
37.353519 75.735 -145.5780
37.719730 75.746 -146.0724
38.085941 75.761 -146.5621
38.452152 75.778 -147.0615
38.818363 75.795 -147.5793
39.184573 75.812 -148.1145
39.550784 75.825 -148.6588
39.916995 75.836 -149.2015
40.283206 75.844 -149.7338
40.649417 75.851 -150.2504
41.015628 75.856 -150.7483
41.381839 75.861 -151.2260
41.748050 75.866 -151.6840
42.114261 75.872 -152.1264
42.480472 75.880 -152.5613
42.846683 75.889 -152.9976
43.212894 75.897 -153.4393
43.579105 75.904 -153.8828
43.945316 75.909 -154.3190
44.311527 75.913 -154.7408
44.677738 75.918 -155.1502
45.043949 75.924 -155.5583
45.410160 75.932 -155.9776
45.776371 75.938 -156.4116
46.142582 75.940 -156.8508
46.508793 75.939 -157.2791
46.875004 75.937 -157.6839
47.241215 75.935 -158.0658
47.607426 75.935 -158.4369
47.973637 75.937 -158.8111
48.339848 75.940 -159.1944
48.706059 75.941 -159.5821
49.072270 75.940 -159.9646
49.438481 75.939 -160.3355
49.804692 75.938 -160.6961
50.170902 75.937 -161.0521
50.537113 75.937 -161.4081
50.903324 75.937 -161.7637
51.269535 75.936 -162.1151
51.635746 75.934 -162.4596
52.001957 75.932 -162.7982
52.368168 75.930 -163.1335
52.734379 75.928 -163.4670
53.100590 75.925 -163.7975
53.466801 75.922 -164.1230
53.833012 75.919 -164.4447
54.199223 75.917 -164.7675
54.565434 75.915 -165.0969
54.931645 75.912 -165.4336
55.297856 75.907 -165.7711
55.664067 75.899 -166.0990
56.030278 75.891 -166.4103
56.396489 75.884 -166.7077
56.762700 75.879 -167.0031
57.128911 75.875 -167.3094
57.495122 75.871 -167.6310
57.861333 75.864 -167.9595
58.227544 75.853 -168.2781
58.593755 75.841 -168.5716
58.959966 75.829 -168.8369
59.326177 75.821 -169.0844
59.692388 75.816 -169.3314
60.058599 75.814 -169.5918
60.424810 75.812 -169.8683
60.791021 75.808 -170.1535
61.157232 75.803 -170.4359
61.523442 75.796 -170.7085
61.889653 75.790 -170.9716
62.255864 75.784 -171.2308
62.622075 75.778 -171.4914
62.988286 75.772 -171.7544
63.354497 75.764 -172.0164
63.720708 75.756 -172.2732
64.086919 75.747 -172.5232
64.453130 75.738 -172.7684
64.819341 75.729 -173.0123
65.185552 75.721 -173.2574
65.551763 75.712 -173.5034
65.917974 75.702 -173.7475
66.284185 75.691 -173.9870
66.650396 75.681 -174.2211
67.016607 75.671 -174.4511
67.382818 75.661 -174.6795
67.749029 75.652 -174.9076
68.115240 75.643 -175.1360
68.481451 75.634 -175.3642
68.847662 75.625 -175.5925
69.213873 75.616 -175.8214
69.580084 75.606 -176.0511
69.946295 75.596 -176.2807
70.312506 75.586 -176.5085
70.678717 75.575 -176.7322
71.044928 75.563 -176.9511
71.411139 75.551 -177.1650
71.777350 75.538 -177.3740
72.143561 75.526 -177.5782
72.509771 75.514 -177.7775
72.875982 75.502 -177.9733
73.242193 75.490 -178.1680
73.608404 75.479 -178.3642
73.974615 75.468 -178.5615
74.340826 75.456 -178.7565
74.707037 75.443 -178.9442
75.073248 75.432 -179.1228
75.439459 75.422 -179.2968
75.805670 75.415 -179.4759
76.171881 75.409 -179.6700
76.538092 75.403 -179.8826
76.904303 75.395 179.8919
77.270514 75.383 179.6656
77.636725 75.369 179.4510
78.002936 75.354 179.2554
78.369147 75.340 179.0784
78.735358 75.327 178.9138
79.101569 75.317 178.7535
79.467780 75.307 178.5907
79.833991 75.299 178.4214
80.200202 75.290 178.2449
80.566413 75.281 178.0635
80.932624 75.270 177.8813
81.298835 75.258 177.7029
81.665046 75.245 177.5314
82.031257 75.232 177.3673
82.397468 75.219 177.2085
82.763679 75.207 177.0515
83.129890 75.195 176.8942
83.496101 75.183 176.7360
83.862311 75.171 176.5772
84.228522 75.160 176.4180
84.594733 75.148 176.2574
84.960944 75.136 176.0945
85.327155 75.125 175.9300
85.693366 75.112 175.7658
86.059577 75.099 175.6048
86.425788 75.087 175.4483
86.791999 75.075 175.2952
87.158210 75.063 175.1432
87.524421 75.051 174.9904
87.890632 75.040 174.8367
88.256843 75.028 174.6843
88.623054 75.016 174.5356
88.989265 75.003 174.3919
89.355476 74.991 174.2529
89.721687 74.980 174.1168
90.087898 74.969 173.9813
90.454109 74.958 173.8445
90.820320 74.948 173.7050
91.186531 74.938 173.5617
91.552742 74.927 173.4151
91.918953 74.915 173.2666
92.285164 74.902 173.1190
92.651375 74.889 172.9750
93.017586 74.875 172.8363
93.383797 74.861 172.7027
93.750008 74.848 172.5725
94.116219 74.835 172.4435
94.482430 74.823 172.3144
94.848641 74.811 172.1849
95.214851 74.798 172.0557
95.581062 74.786 171.9274
95.947273 74.773 171.8007
96.313484 74.761 171.6758
96.679695 74.749 171.5526
97.045906 74.737 171.4313
97.412117 74.725 171.3111
97.778328 74.714 171.1912
98.144539 74.703 171.0707
98.510750 74.692 170.9490
98.876961 74.680 170.8262
99.243172 74.669 170.7034
99.609383 74.657 170.5815
99.975594 74.644 170.4615
100.341805 74.632 170.3434
100.708016 74.619 170.2272
101.074227 74.607 170.1126
101.440438 74.594 169.9996
101.806649 74.581 169.8884
102.172860 74.568 169.7789
102.539071 74.556 169.6707
102.905282 74.543 169.5635
103.271493 74.530 169.4569
103.637704 74.518 169.3509
104.003915 74.505 169.2454
104.370126 74.493 169.1403
104.736337 74.480 169.0355
105.102548 74.468 168.9307
105.468759 74.456 168.8256
105.834970 74.443 168.7206
106.201180 74.431 168.6165
106.567391 74.418 168.5140
106.933602 74.406 168.4131
107.299813 74.393 168.3134
107.666024 74.381 168.2135
108.032235 74.370 168.1127
108.398446 74.358 168.0105
108.764657 74.346 167.9072
109.130868 74.334 167.8038
109.497079 74.322 167.7012
109.863290 74.309 167.6001
110.229501 74.297 167.5009
110.595712 74.284 167.4035
110.961923 74.272 167.3079
111.328134 74.259 167.2142
111.694345 74.246 167.1224
112.060556 74.234 167.0321
112.426767 74.222 166.9432
112.792978 74.210 166.8553
113.159189 74.198 166.7678
113.525400 74.186 166.6804
113.891611 74.174 166.5930
114.257822 74.162 166.5054
114.624033 74.150 166.4177
114.990244 74.138 166.3300
115.356455 74.126 166.2426
115.722666 74.114 166.1561
116.088877 74.101 166.0708
116.455088 74.089 165.9868
116.821299 74.077 165.9039
117.187510 74.065 165.8215
117.553720 74.053 165.7391
117.919931 74.042 165.6560
118.286142 74.031 165.5720
118.652353 74.019 165.4874
119.018564 74.008 165.4025
119.384775 73.996 165.3177
119.750986 73.984 165.2332
120.117197 73.973 165.1495
120.483408 73.961 165.0667
120.849619 73.949 164.9851
121.215830 73.936 164.9052
121.582041 73.924 164.8271
121.948252 73.912 164.7513
122.314463 73.899 164.6775
122.680674 73.887 164.6056
123.046885 73.875 164.5352
123.413096 73.863 164.4656
123.779307 73.851 164.3965
124.145518 73.839 164.3273
124.511729 73.827 164.2582
124.877940 73.816 164.1890
125.244151 73.804 164.1199
125.610362 73.793 164.0508
125.976573 73.782 163.9815
126.342784 73.772 163.9116
126.708995 73.761 163.8409
127.075206 73.751 163.7696
127.441417 73.740 163.6981
127.807628 73.729 163.6269
128.173839 73.719 163.5564
128.540049 73.708 163.4867
128.906260 73.698 163.4175
129.272471 73.688 163.3487
129.638682 73.678 163.2802
130.004893 73.668 163.2121
130.371104 73.658 163.1448
130.737315 73.648 163.0786
131.103526 73.637 163.0139
131.469737 73.627 162.9508
131.835948 73.617 162.8891
132.202159 73.607 162.8286
132.568370 73.597 162.7689
132.934581 73.587 162.7099
133.300792 73.577 162.6512
133.667003 73.567 162.5927
134.033214 73.557 162.5344
134.399425 73.546 162.4763
134.765636 73.536 162.4186
135.131847 73.525 162.3616
135.498058 73.514 162.3051
135.864269 73.504 162.2490
136.230480 73.493 162.1931
136.596691 73.482 162.1368
136.962902 73.472 162.0794
137.329113 73.462 162.0206
137.695324 73.451 161.9601
138.061535 73.441 161.8983
138.427746 73.430 161.8359
138.793957 73.420 161.7741
139.160168 73.409 161.7137
139.526379 73.398 161.6553
139.892589 73.387 161.5993
140.258800 73.377 161.5455
140.625011 73.367 161.4935
140.991222 73.357 161.4428
141.357433 73.348 161.3928
141.723644 73.338 161.3430
142.089855 73.329 161.2933
142.456066 73.320 161.2438
142.822277 73.311 161.1945
143.188488 73.301 161.1458
143.554699 73.291 161.0980
143.920910 73.281 161.0515
144.287121 73.271 161.0062
144.653332 73.261 160.9621
145.019543 73.251 160.9186
145.385754 73.241 160.8752
145.751965 73.231 160.8315
146.118176 73.221 160.7870
146.484387 73.210 160.7418
146.850598 73.200 160.6957
147.216809 73.189 160.6491
147.583020 73.179 160.6021
