* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:23:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurura Taped V L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.480 160.4081
0.732422 59.652 140.8964
1.098633 56.235 121.4739
1.464844 50.194 101.6499
1.831055 35.714 70.1158
2.197266 39.929 -95.1516
2.563477 42.321 -103.8949
2.929688 40.260 -71.9918
3.295899 45.958 -30.1629
3.662110 51.210 -27.6524
4.028321 54.116 -33.0570
4.394532 55.631 -37.9053
4.760743 56.468 -39.5991
5.126954 57.252 -38.3470
5.493164 58.295 -36.7738
5.859375 59.450 -37.1660
6.225586 60.446 -39.5469
6.591797 61.181 -42.7172
6.958008 61.722 -45.5966
7.324219 62.209 -47.8245
7.690430 62.747 -49.7678
8.056641 63.345 -52.0060
8.422852 63.940 -54.7592
8.789063 64.479 -57.7944
9.155274 64.955 -60.7205
9.521485 65.400 -63.2960
9.887696 65.851 -65.5442
10.253907 66.248 -67.6491
10.620118 66.617 -69.7610
10.986329 66.966 -71.8900
11.352540 67.281 -73.9464
11.718751 67.566 -75.8421
12.084962 67.831 -77.5591
12.451173 68.086 -79.1467
12.817384 68.378 -80.6755
13.183595 68.664 -82.1940
13.549806 68.928 -83.7162
13.916017 69.169 -85.2322
14.282228 69.388 -86.7233
14.648439 69.588 -88.1742
15.014650 69.776 -89.5824
15.380861 69.956 -90.9642
15.747072 70.132 -92.3494
16.113283 70.307 -93.7628
16.479493 70.481 -95.2043
16.845704 70.643 -96.6428
17.211915 70.794 -98.0336
17.578126 70.940 -99.3466
17.944337 71.087 -100.5867
18.310548 71.240 -101.7890
18.676759 71.398 -102.9950
19.042970 71.554 -104.2268
19.409181 71.702 -105.4780
19.775392 71.839 -106.7221
20.141603 71.965 -107.9284
20.507814 72.082 -109.0742
20.874025 72.191 -110.1498
21.240236 72.297 -111.1605
21.606447 72.402 -112.1250
21.972658 72.506 -113.0695
22.338869 72.607 -114.0161
22.705080 72.703 -114.9707
23.071291 72.791 -115.9201
23.437502 72.873 -116.8438
23.803713 72.952 -117.7336
24.169924 73.031 -118.6054
24.536135 73.113 -119.4926
24.902346 73.193 -120.4216
25.268557 73.265 -121.3887
25.634768 73.326 -122.3569
26.000979 73.375 -123.2756
26.367190 73.419 -124.1119
26.733401 73.466 -124.8701
27.099612 73.521 -125.5878
27.465823 73.583 -126.3103
27.832033 73.648 -127.0636
28.198244 73.709 -127.8437
28.564455 73.764 -128.6279
28.930666 73.814 -129.3940
29.296877 73.860 -130.1343
29.663088 73.904 -130.8541
30.029299 73.946 -131.5608
30.395510 73.985 -132.2545
30.761721 74.021 -132.9282
31.127932 74.054 -133.5766
31.494143 74.088 -134.2035
31.860354 74.123 -134.8217
32.226565 74.159 -135.4452
32.592776 74.192 -136.0792
32.958987 74.223 -136.7171
33.325198 74.250 -137.3459
33.691409 74.275 -137.9557
34.057620 74.299 -138.5463
34.423831 74.325 -139.1278
34.790042 74.352 -139.7136
35.156253 74.379 -140.3127
35.522464 74.402 -140.9227
35.888675 74.421 -141.5301
36.254886 74.435 -142.1155
36.621097 74.447 -142.6631
36.987308 74.461 -143.1709
37.353519 74.478 -143.6545
37.719730 74.501 -144.1409
38.085941 74.527 -144.6553
38.452152 74.551 -145.2059
38.818363 74.570 -145.7798
39.184573 74.582 -146.3495
39.550784 74.589 -146.8894
39.916995 74.594 -147.3891
40.283206 74.600 -147.8564
40.649417 74.610 -148.3084
41.015628 74.622 -148.7588
41.381839 74.633 -149.2099
41.748050 74.643 -149.6560
42.114261 74.654 -150.0914
42.480472 74.664 -150.5174
42.846683 74.676 -150.9417
43.212894 74.688 -151.3716
43.579105 74.699 -151.8085
43.945316 74.708 -152.2468
44.311527 74.714 -152.6785
44.677738 74.719 -153.0986
45.043949 74.724 -153.5072
45.410160 74.728 -153.9086
45.776371 74.733 -154.3071
46.142582 74.737 -154.7056
46.508793 74.741 -155.1044
46.875004 74.744 -155.5025
47.241215 74.746 -155.8975
47.607426 74.747 -156.2870
47.973637 74.747 -156.6691
48.339848 74.748 -157.0436
48.706059 74.749 -157.4130
49.072270 74.750 -157.7809
49.438481 74.752 -158.1496
49.804692 74.753 -158.5183
50.170902 74.753 -158.8835
50.537113 74.753 -159.2411
50.903324 74.753 -159.5900
51.269535 74.754 -159.9327
51.635746 74.755 -160.2730
52.001957 74.755 -160.6130
52.368168 74.755 -160.9519
52.734379 74.755 -161.2862
53.100590 74.753 -161.6137
53.466801 74.752 -161.9350
53.833012 74.750 -162.2534
54.199223 74.749 -162.5722
54.565434 74.746 -162.8920
54.931645 74.743 -163.2100
55.297856 74.739 -163.5213
55.664067 74.734 -163.8229
56.030278 74.729 -164.1156
56.396489 74.726 -164.4038
56.762700 74.724 -164.6931
57.128911 74.722 -164.9875
57.495122 74.720 -165.2877
57.861333 74.718 -165.5915
58.227544 74.714 -165.8957
58.593755 74.710 -166.1981
58.959966 74.705 -166.4980
59.326177 74.699 -166.7946
59.692388 74.691 -167.0858
60.058599 74.683 -167.3677
60.424810 74.674 -167.6358
60.791021 74.666 -167.8885
61.157232 74.658 -168.1289
61.523442 74.653 -168.3647
61.889653 74.649 -168.6040
62.255864 74.646 -168.8516
62.622075 74.643 -169.1066
62.988286 74.637 -169.3638
63.354497 74.631 -169.6177
63.720708 74.623 -169.8657
64.086919 74.616 -170.1092
64.453130 74.609 -170.3514
64.819341 74.602 -170.5947
65.185552 74.595 -170.8387
65.551763 74.587 -171.0814
65.917974 74.578 -171.3208
66.284185 74.570 -171.5561
66.650396 74.561 -171.7876
67.016607 74.552 -172.0157
67.382818 74.544 -172.2408
67.749029 74.536 -172.4633
68.115240 74.528 -172.6841
68.481451 74.520 -172.9048
68.847662 74.513 -173.1267
69.213873 74.505 -173.3503
69.580084 74.497 -173.5744
69.946295 74.488 -173.7970
70.312506 74.478 -174.0163
70.678717 74.468 -174.2306
71.044928 74.458 -174.4400
71.411139 74.448 -174.6455
71.777350 74.438 -174.8493
72.143561 74.429 -175.0529
72.509771 74.419 -175.2563
72.875982 74.409 -175.4576
73.242193 74.399 -175.6547
73.608404 74.389 -175.8482
73.974615 74.380 -176.0419
74.340826 74.371 -176.2405
74.707037 74.362 -176.4449
75.073248 74.350 -176.6490
75.439459 74.337 -176.8415
75.805670 74.324 -177.0135
76.171881 74.312 -177.1667
76.538092 74.305 -177.3150
76.904303 74.301 -177.4778
77.270514 74.298 -177.6677
77.636725 74.293 -177.8820
78.002936 74.284 -178.1037
78.369147 74.271 -178.3132
78.735358 74.257 -178.5005
79.101569 74.245 -178.6707
79.467780 74.235 -178.8385
79.833991 74.225 -179.0160
80.200202 74.216 -179.2041
80.566413 74.204 -179.3933
80.932624 74.190 -179.5712
81.298835 74.176 -179.7327
81.665046 74.163 -179.8823
82.031257 74.153 179.9700
82.397468 74.143 179.8171
82.763679 74.133 179.6588
83.129890 74.123 179.5010
83.496101 74.112 179.3495
83.862311 74.102 179.2052
84.228522 74.093 179.0633
84.594733 74.086 178.9165
84.960944 74.079 178.7600
85.327155 74.071 178.5933
85.693366 74.062 178.4203
86.059577 74.052 178.2463
86.425788 74.040 178.0762
86.791999 74.027 177.9133
87.158210 74.013 177.7592
87.524421 73.999 177.6146
87.890632 73.985 177.4792
88.256843 73.972 177.3511
88.623054 73.961 177.2273
88.989265 73.951 177.1035
89.355476 73.941 176.9753
89.721687 73.933 176.8399
90.087898 73.924 176.6966
90.454109 73.914 176.5478
90.820320 73.903 176.3978
91.186531 73.891 176.2509
91.552742 73.879 176.1099
91.918953 73.867 175.9743
92.285164 73.855 175.8417
92.651375 73.844 175.7090
93.017586 73.833 175.5748
93.383797 73.821 175.4397
93.750008 73.810 175.3057
94.116219 73.798 175.1743
94.482430 73.786 175.0458
94.848641 73.774 174.9189
95.214851 73.763 174.7922
95.581062 73.752 174.6651
95.947273 73.740 174.5382
96.313484 73.729 174.4127
96.679695 73.717 174.2895
97.045906 73.705 174.1687
97.412117 73.693 174.0497
97.778328 73.682 173.9317
98.144539 73.670 173.8145
98.510750 73.659 173.6981
98.876961 73.647 173.5828
99.243172 73.635 173.4689
99.609383 73.624 173.3563
99.975594 73.612 173.2448
100.341805 73.601 173.1343
100.708016 73.589 173.0246
101.074227 73.578 172.9153
101.440438 73.566 172.8063
101.806649 73.555 172.6973
102.172860 73.544 172.5881
102.539071 73.533 172.4789
102.905282 73.522 172.3698
103.271493 73.510 172.2610
103.637704 73.499 172.1522
104.003915 73.488 172.0435
104.370126 73.476 171.9346
104.736337 73.465 171.8262
105.102548 73.453 171.7190
105.468759 73.441 171.6138
105.834970 73.429 171.5113
106.201180 73.417 171.4113
106.567391 73.406 171.3132
106.933602 73.394 171.2161
107.299813 73.383 171.1191
107.666024 73.373 171.0214
108.032235 73.362 170.9226
108.398446 73.351 170.8228
108.764657 73.340 170.7224
109.130868 73.329 170.6223
109.497079 73.317 170.5232
109.863290 73.305 170.4259
110.229501 73.294 170.3305
110.595712 73.282 170.2367
110.961923 73.271 170.1438
111.328134 73.259 170.0514
111.694345 73.248 169.9592
112.060556 73.236 169.8674
112.426767 73.225 169.7762
112.792978 73.214 169.6857
113.159189 73.202 169.5957
113.525400 73.191 169.5060
113.891611 73.180 169.4165
114.257822 73.169 169.3276
114.624033 73.157 169.2394
114.990244 73.146 169.1523
115.356455 73.134 169.0665
115.722666 73.123 168.9821
116.088877 73.111 168.8990
116.455088 73.100 168.8173
116.821299 73.088 168.7366
117.187510 73.077 168.6566
117.553720 73.066 168.5768
117.919931 73.054 168.4972
118.286142 73.043 168.4180
118.652353 73.031 168.3398
119.018564 73.020 168.2627
119.384775 73.008 168.1870
119.750986 72.997 168.1120
120.117197 72.986 168.0373
120.483408 72.975 167.9623
120.849619 72.963 167.8868
121.215830 72.952 167.8113
121.582041 72.941 167.7361
121.948252 72.930 167.6613
122.314463 72.918 167.5870
122.680674 72.907 167.5130
123.046885 72.896 167.4390
123.413096 72.885 167.3652
123.779307 72.873 167.2916
124.145518 72.862 167.2188
124.511729 72.851 167.1468
124.877940 72.840 167.0757
125.244151 72.830 167.0054
125.610362 72.819 166.9358
125.976573 72.809 166.8667
126.342784 72.799 166.7982
126.708995 72.789 166.7304
127.075206 72.779 166.6632
127.441417 72.769 166.5964
127.807628 72.760 166.5299
128.173839 72.750 166.4633
128.540049 72.741 166.3967
128.906260 72.731 166.3300
129.272471 72.721 166.2638
129.638682 72.712 166.1982
130.004893 72.702 166.1335
130.371104 72.693 166.0692
130.737315 72.683 166.0050
131.103526 72.674 165.9403
131.469737 72.665 165.8750
131.835948 72.655 165.8091
132.202159 72.646 165.7432
132.568370 72.636 165.6777
132.934581 72.627 165.6133
133.300792 72.617 165.5500
133.667003 72.607 165.4879
134.033214 72.597 165.4268
134.399425 72.587 165.3667
134.765636 72.578 165.3076
135.131847 72.568 165.2498
135.498058 72.558 165.1934
135.864269 72.548 165.1379
136.230480 72.539 165.0833
136.596691 72.529 165.0291
136.962902 72.520 164.9747
137.329113 72.511 164.9201
137.695324 72.501 164.8655
138.061535 72.492 164.8112
138.427746 72.482 164.7573
138.793957 72.473 164.7039
139.160168 72.463 164.6508
139.526379 72.454 164.5977
139.892589 72.444 164.5444
140.258800 72.434 164.4911
140.625011 72.425 164.4380
140.991222 72.415 164.3854
141.357433 72.405 164.3333
141.723644 72.396 164.2815
142.089855 72.386 164.2297
142.456066 72.377 164.1778
142.822277 72.367 164.1255
143.188488 72.358 164.0733
143.554699 72.348 164.0214
143.920910 72.338 163.9703
144.287121 72.329 163.9203
144.653332 72.319 163.8713
145.019543 72.310 163.8234
145.385754 72.300 163.7762
145.751965 72.291 163.7298
146.118176 72.281 163.6839
146.484387 72.272 163.6382
146.850598 72.263 163.5927
147.216809 72.254 163.5474
