* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:24:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurura Taped V R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.122 -22.3810
0.732422 65.237 -44.5350
1.098633 61.590 -65.9265
1.464844 54.425 -83.6561
1.831055 41.040 19.8314
2.197266 54.064 34.1278
2.563477 56.988 15.6057
2.929688 57.054 -3.2543
3.295899 55.342 -18.0446
3.662110 52.629 -21.2063
4.028321 51.743 -8.3258
4.394532 54.076 -3.7469
4.760743 56.535 -13.3065
5.126954 58.176 -27.0766
5.493164 59.096 -39.3947
5.859375 59.592 -47.3998
6.225586 60.118 -50.4723
6.591797 61.047 -50.9356
6.958008 62.287 -52.0759
7.324219 63.477 -54.9031
7.690430 64.401 -58.4612
8.056641 65.064 -61.5487
8.422852 65.591 -63.6244
8.789063 66.109 -64.9858
9.155274 66.652 -66.3346
9.521485 67.168 -68.1006
9.887696 67.597 -70.1982
10.253907 67.861 -72.2882
10.620118 68.040 -74.1345
10.986329 68.216 -75.7664
11.352540 68.414 -77.3901
11.718751 68.627 -79.1818
12.084962 68.836 -81.1710
12.451173 69.032 -83.2769
12.817384 69.259 -85.4045
13.183595 69.483 -87.4931
13.549806 69.697 -89.5058
13.916017 69.903 -91.4079
14.282228 70.104 -93.1735
14.648439 70.308 -94.8122
15.014650 70.514 -96.3717
15.380861 70.718 -97.9035
15.747072 70.908 -99.4202
16.113283 71.083 -100.8863
16.479493 71.246 -102.2523
16.845704 71.397 -103.4992
17.211915 71.541 -104.6563
17.578126 71.682 -105.7787
17.944337 71.816 -106.9091
18.310548 71.939 -108.0565
18.676759 72.049 -109.2067
19.042970 72.150 -110.3471
19.409181 72.245 -111.4838
19.775392 72.336 -112.6363
20.141603 72.423 -113.8187
20.507814 72.502 -115.0219
20.874025 72.571 -116.2112
21.240236 72.631 -117.3408
21.606447 72.689 -118.3799
21.972658 72.755 -119.3358
22.338869 72.834 -120.2557
22.705080 72.923 -121.2019
23.071291 73.015 -122.2114
23.437502 73.099 -123.2686
23.803713 73.168 -124.3137
24.169924 73.225 -125.2831
24.536135 73.280 -126.1539
24.902346 73.339 -126.9594
25.268557 73.405 -127.7615
25.634768 73.470 -128.6022
26.000979 73.525 -129.4728
26.367190 73.568 -130.3258
26.733401 73.601 -131.1149
27.099612 73.633 -131.8312
27.465823 73.669 -132.5065
27.832033 73.711 -133.1868
28.198244 73.755 -133.8997
28.564455 73.795 -134.6421
28.930666 73.831 -135.3927
29.296877 73.863 -136.1326
29.663088 73.893 -136.8564
30.029299 73.922 -137.5685
30.395510 73.950 -138.2735
30.761721 73.977 -138.9707
31.127932 74.003 -139.6559
31.494143 74.026 -140.3250
31.860354 74.048 -140.9755
32.226565 74.068 -141.6061
32.592776 74.087 -142.2171
32.958987 74.106 -142.8109
33.325198 74.123 -143.3916
33.691409 74.140 -143.9610
34.057620 74.155 -144.5164
34.423831 74.169 -145.0536
34.790042 74.183 -145.5745
35.156253 74.200 -146.0913
35.522464 74.217 -146.6216
35.888675 74.232 -147.1745
36.254886 74.242 -147.7395
36.621097 74.246 -148.2899
36.987308 74.246 -148.7996
37.353519 74.246 -149.2620
37.719730 74.252 -149.6948
38.085941 74.263 -150.1268
38.452152 74.276 -150.5772
38.818363 74.289 -151.0444
39.184573 74.300 -151.5133
39.550784 74.310 -151.9719
39.916995 74.321 -152.4230
40.283206 74.333 -152.8805
40.649417 74.345 -153.3550
41.015628 74.353 -153.8413
41.381839 74.356 -154.3200
41.748050 74.355 -154.7717
42.114261 74.353 -155.1908
42.480472 74.353 -155.5898
42.846683 74.355 -155.9884
43.212894 74.358 -156.3984
43.579105 74.358 -156.8150
43.945316 74.354 -157.2214
44.311527 74.349 -157.6019
44.677738 74.345 -157.9539
45.043949 74.344 -158.2905
45.410160 74.348 -158.6323
45.776371 74.354 -158.9951
46.142582 74.359 -159.3814
46.508793 74.361 -159.7805
46.875004 74.359 -160.1755
47.241215 74.354 -160.5522
47.607426 74.349 -160.9048
47.973637 74.344 -161.2365
48.339848 74.341 -161.5568
48.706059 74.340 -161.8759
49.072270 74.340 -162.2005
49.438481 74.339 -162.5314
49.804692 74.336 -162.8637
50.170902 74.332 -163.1910
50.537113 74.327 -163.5085
50.903324 74.322 -163.8161
51.269535 74.318 -164.1178
51.635746 74.314 -164.4184
52.001957 74.309 -164.7200
52.368168 74.304 -165.0210
52.734379 74.299 -165.3187
53.100590 74.294 -165.6123
53.466801 74.289 -165.9043
53.833012 74.284 -166.1975
54.199223 74.278 -166.4912
54.565434 74.271 -166.7796
54.931645 74.263 -167.0552
55.297856 74.255 -167.3154
55.664067 74.250 -167.5660
56.030278 74.247 -167.8192
56.396489 74.245 -168.0853
56.762700 74.242 -168.3651
57.128911 74.235 -168.6478
57.495122 74.226 -168.9179
57.861333 74.216 -169.1648
58.227544 74.208 -169.3893
58.593755 74.202 -169.6029
58.959966 74.199 -169.8208
59.326177 74.198 -170.0538
59.692388 74.197 -170.3050
60.058599 74.194 -170.5715
60.424810 74.189 -170.8472
60.791021 74.181 -171.1254
61.157232 74.170 -171.3982
61.523442 74.156 -171.6562
61.889653 74.140 -171.8915
62.255864 74.125 -172.1021
62.622075 74.111 -172.2944
62.988286 74.101 -172.4809
63.354497 74.092 -172.6734
63.720708 74.083 -172.8762
64.086919 74.074 -173.0851
64.453130 74.063 -173.2914
64.819341 74.053 -173.4901
65.185552 74.042 -173.6824
65.551763 74.033 -173.8748
65.917974 74.024 -174.0724
66.284185 74.015 -174.2746
66.650396 74.005 -174.4761
67.016607 73.994 -174.6710
67.382818 73.983 -174.8575
67.749029 73.973 -175.0389
68.115240 73.964 -175.2207
68.481451 73.956 -175.4068
68.847662 73.948 -175.5972
69.213873 73.939 -175.7893
69.580084 73.929 -175.9808
69.946295 73.919 -176.1712
70.312506 73.909 -176.3614
70.678717 73.898 -176.5518
71.044928 73.887 -176.7406
71.411139 73.874 -176.9243
71.777350 73.861 -177.0997
72.143561 73.848 -177.2662
72.509771 73.836 -177.4267
72.875982 73.825 -177.5868
73.242193 73.815 -177.7514
73.608404 73.805 -177.9219
73.974615 73.794 -178.0947
74.340826 73.782 -178.2636
74.707037 73.770 -178.4244
75.073248 73.759 -178.5785
75.439459 73.749 -178.7332
75.805670 73.741 -178.8975
76.171881 73.733 -179.0755
76.538092 73.723 -179.2625
76.904303 73.710 -179.4469
77.270514 73.695 -179.6164
77.636725 73.680 -179.7655
78.002936 73.666 -179.8980
78.369147 73.655 179.9760
78.735358 73.645 179.8470
79.101569 73.636 179.7126
79.467780 73.626 179.5770
79.833991 73.616 179.4469
80.200202 73.606 179.3250
80.566413 73.597 179.2075
80.932624 73.590 179.0856
81.298835 73.583 178.9525
81.665046 73.575 178.8076
82.031257 73.565 178.6580
82.397468 73.552 178.5146
82.763679 73.538 178.3854
83.129890 73.524 178.2711
83.496101 73.512 178.1644
83.862311 73.502 178.0551
84.228522 73.493 177.9359
84.594733 73.483 177.8062
84.960944 73.472 177.6715
85.327155 73.459 177.5394
85.693366 73.446 177.4144
86.059577 73.433 177.2954
86.425788 73.421 177.1780
86.791999 73.410 177.0584
87.158210 73.398 176.9367
87.524421 73.385 176.8164
87.890632 73.372 176.7018
88.256843 73.360 176.5942
88.623054 73.348 176.4911
88.989265 73.337 176.3881
89.355476 73.327 176.2819
89.721687 73.317 176.1731
90.087898 73.306 176.0643
90.454109 73.296 175.9576
90.820320 73.286 175.8524
91.186531 73.277 175.7455
91.552742 73.268 175.6337
91.918953 73.259 175.5160
92.285164 73.249 175.3947
92.651375 73.238 175.2740
93.017586 73.226 175.1572
93.383797 73.214 175.0449
93.750008 73.203 174.9362
94.116219 73.191 174.8300
94.482430 73.179 174.7261
94.848641 73.167 174.6260
95.214851 73.156 174.5310
95.581062 73.144 174.4407
95.947273 73.134 174.3528
96.313484 73.124 174.2639
96.679695 73.115 174.1716
97.045906 73.105 174.0756
97.412117 73.095 173.9782
97.778328 73.084 173.8825
98.144539 73.072 173.7907
98.510750 73.061 173.7031
98.876961 73.050 173.6184
99.243172 73.039 173.5347
99.609383 73.028 173.4505
99.975594 73.017 173.3654
100.341805 73.006 173.2795
100.708016 72.995 173.1932
101.074227 72.984 173.1067
101.440438 72.973 173.0200
101.806649 72.962 172.9334
102.172860 72.951 172.8474
102.539071 72.940 172.7627
102.905282 72.929 172.6792
103.271493 72.918 172.5963
103.637704 72.907 172.5132
104.003915 72.897 172.4291
104.370126 72.886 172.3441
104.736337 72.875 172.2592
105.102548 72.864 172.1755
105.468759 72.852 172.0945
105.834970 72.841 172.0168
106.201180 72.829 171.9430
106.567391 72.818 171.8726
106.933602 72.807 171.8048
107.299813 72.797 171.7382
107.666024 72.787 171.6714
108.032235 72.777 171.6031
108.398446 72.767 171.5333
108.764657 72.758 171.4623
109.130868 72.747 171.3914
109.497079 72.737 171.3215
109.863290 72.727 171.2532
110.229501 72.716 171.1861
110.595712 72.706 171.1196
110.961923 72.695 171.0530
111.328134 72.685 170.9866
111.694345 72.674 170.9204
112.060556 72.663 170.8551
112.426767 72.652 170.7909
112.792978 72.642 170.7277
113.159189 72.631 170.6652
113.525400 72.620 170.6028
113.891611 72.610 170.5403
114.257822 72.600 170.4774
114.624033 72.589 170.4141
114.990244 72.579 170.3505
115.356455 72.568 170.2869
115.722666 72.557 170.2235
116.088877 72.547 170.1606
116.455088 72.536 170.0984
116.821299 72.526 170.0369
117.187510 72.515 169.9763
117.553720 72.505 169.9164
117.919931 72.494 169.8571
118.286142 72.484 169.7982
118.652353 72.474 169.7392
119.018564 72.464 169.6798
119.384775 72.454 169.6202
119.750986 72.444 169.5609
120.117197 72.433 169.5026
120.483408 72.423 169.4466
120.849619 72.412 169.3934
121.215830 72.402 169.3427
121.582041 72.392 169.2937
121.948252 72.383 169.2446
122.314463 72.374 169.1942
122.680674 72.364 169.1418
123.046885 72.355 169.0882
123.413096 72.345 169.0347
123.779307 72.335 168.9827
124.145518 72.325 168.9329
124.511729 72.315 168.8852
124.877940 72.306 168.8389
125.244151 72.297 168.7930
125.610362 72.288 168.7470
125.976573 72.280 168.7008
126.342784 72.271 168.6544
126.708995 72.263 168.6078
127.075206 72.254 168.5607
127.441417 72.246 168.5128
127.807628 72.238 168.4643
128.173839 72.229 168.4156
128.540049 72.220 168.3674
128.906260 72.212 168.3206
129.272471 72.203 168.2753
129.638682 72.194 168.2313
130.004893 72.185 168.1882
130.371104 72.177 168.1457
130.737315 72.168 168.1034
131.103526 72.160 168.0613
131.469737 72.152 168.0193
131.835948 72.143 167.9774
132.202159 72.135 167.9356
132.568370 72.127 167.8940
132.934581 72.119 167.8528
133.300792 72.111 167.8120
133.667003 72.103 167.7715
134.033214 72.095 167.7311
134.399425 72.087 167.6906
134.765636 72.079 167.6500
135.131847 72.071 167.6094
135.498058 72.062 167.5697
135.864269 72.054 167.5314
136.230480 72.045 167.4949
136.596691 72.036 167.4601
136.962902 72.028 167.4265
137.329113 72.020 167.3931
137.695324 72.012 167.3594
138.061535 72.004 167.3251
138.427746 71.996 167.2901
138.793957 71.988 167.2549
139.160168 71.980 167.2197
139.526379 71.971 167.1846
139.892589 71.963 167.1494
140.258800 71.956 167.1140
140.625011 71.948 167.0782
140.991222 71.940 167.0421
141.357433 71.932 167.0058
141.723644 71.924 166.9695
142.089855 71.916 166.9335
142.456066 71.908 166.8979
142.822277 71.900 166.8628
143.188488 71.892 166.8282
143.554699 71.884 166.7944
143.920910 71.875 166.7615
144.287121 71.867 166.7300
144.653332 71.859 166.6998
145.019543 71.851 166.6709
145.385754 71.843 166.6431
145.751965 71.835 166.6162
146.118176 71.827 166.5896
146.484387 71.820 166.5631
146.850598 71.812 166.5363
147.216809 71.804 166.5091
147.583020 71.797 166.4814
