* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:18:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurura Olina Taped V R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 69.488 -22.4370
0.732422 67.574 -44.6508
1.098633 63.853 -66.1036
1.464844 56.422 -83.7308
1.831055 44.737 28.9864
2.197266 56.903 34.5732
2.563477 59.677 15.5643
2.929688 59.687 -3.5947
3.295899 57.944 -18.8084
3.662110 55.166 -22.6986
4.028321 54.104 -10.0991
4.394532 56.369 -4.9564
4.760743 58.847 -14.3022
5.126954 60.513 -28.0692
5.493164 61.456 -40.4409
5.859375 61.972 -48.5235
6.225586 62.512 -51.7024
6.591797 63.444 -52.2835
6.958008 64.677 -53.5120
7.324219 65.856 -56.3875
7.690430 66.766 -59.9661
8.056641 67.413 -63.0530
8.422852 67.923 -65.1014
8.789063 68.424 -66.3950
9.155274 68.955 -67.6287
9.521485 69.469 -69.2482
9.887696 69.909 -71.2109
10.253907 70.198 -73.2407
10.620118 70.407 -75.1583
10.986329 70.602 -76.9989
11.352540 70.799 -78.8988
11.718751 70.987 -80.9243
12.084962 71.159 -83.0204
12.451173 71.321 -85.0934
12.817384 71.530 -87.1049
13.183595 71.752 -89.0811
13.549806 71.975 -91.0491
13.916017 72.189 -92.9848
14.282228 72.393 -94.8279
14.648439 72.590 -96.5405
15.014650 72.787 -98.1413
15.380861 72.982 -99.6814
15.747072 73.167 -101.1920
16.113283 73.341 -102.6594
16.479493 73.506 -104.0478
16.845704 73.658 -105.3417
17.211915 73.801 -106.5639
17.578126 73.938 -107.7568
17.944337 74.066 -108.9500
18.310548 74.183 -110.1462
18.676759 74.288 -111.3352
19.042970 74.385 -112.5132
19.409181 74.476 -113.6880
19.775392 74.563 -114.8671
20.141603 74.645 -116.0470
20.507814 74.725 -117.2160
20.874025 74.803 -118.3657
21.240236 74.881 -119.4990
21.606447 74.960 -120.6230
21.972658 75.037 -121.7380
22.338869 75.113 -122.8327
22.705080 75.185 -123.8927
23.071291 75.256 -124.9120
23.437502 75.327 -125.8955
23.803713 75.396 -126.8519
24.169924 75.462 -127.7840
24.536135 75.524 -128.6876
24.902346 75.581 -129.5582
25.268557 75.636 -130.3988
25.634768 75.688 -131.2195
26.000979 75.736 -132.0297
26.367190 75.779 -132.8316
26.733401 75.817 -133.6201
27.099612 75.850 -134.3885
27.465823 75.881 -135.1360
27.832033 75.912 -135.8693
28.198244 75.943 -136.5999
28.564455 75.975 -137.3378
28.930666 76.005 -138.0871
29.296877 76.033 -138.8436
29.663088 76.058 -139.5969
30.029299 76.081 -140.3350
30.395510 76.103 -141.0508
30.761721 76.126 -141.7463
31.127932 76.150 -142.4294
31.494143 76.174 -143.1080
31.860354 76.197 -143.7822
32.226565 76.217 -144.4435
32.592776 76.235 -145.0815
32.958987 76.251 -145.6918
33.325198 76.268 -146.2794
33.691409 76.285 -146.8549
34.057620 76.302 -147.4264
34.423831 76.317 -147.9953
34.790042 76.330 -148.5578
35.156253 76.341 -149.1106
35.522464 76.351 -149.6542
35.888675 76.359 -150.1916
36.254886 76.367 -150.7246
36.621097 76.373 -151.2525
36.987308 76.379 -151.7731
37.353519 76.384 -152.2866
37.719730 76.389 -152.7957
38.085941 76.395 -153.3036
38.452152 76.399 -153.8105
38.818363 76.403 -154.3131
39.184573 76.405 -154.8064
39.550784 76.407 -155.2874
39.916995 76.409 -155.7569
40.283206 76.412 -156.2184
40.649417 76.415 -156.6748
41.015628 76.418 -157.1273
41.381839 76.420 -157.5742
41.748050 76.421 -158.0124
42.114261 76.421 -158.4398
42.480472 76.421 -158.8564
42.846683 76.421 -159.2649
43.212894 76.422 -159.6699
43.579105 76.422 -160.0751
43.945316 76.422 -160.4816
44.311527 76.421 -160.8876
44.677738 76.419 -161.2898
45.043949 76.416 -161.6859
45.410160 76.412 -162.0754
45.776371 76.408 -162.4591
46.142582 76.404 -162.8376
46.508793 76.400 -163.2101
46.875004 76.395 -163.5760
47.241215 76.391 -163.9358
47.607426 76.386 -164.2917
47.973637 76.382 -164.6461
48.339848 76.378 -164.9995
48.706059 76.373 -165.3498
49.072270 76.367 -165.6940
49.438481 76.361 -166.0302
49.804692 76.354 -166.3599
50.170902 76.349 -166.6861
50.537113 76.343 -167.0117
50.903324 76.337 -167.3368
51.269535 76.331 -167.6595
51.635746 76.324 -167.9777
52.001957 76.316 -168.2908
52.368168 76.308 -168.5999
52.734379 76.301 -168.9058
53.100590 76.292 -169.2077
53.466801 76.284 -169.5035
53.833012 76.275 -169.7925
54.199223 76.268 -170.0773
54.565434 76.261 -170.3627
54.931645 76.254 -170.6520
55.297856 76.246 -170.9436
55.664067 76.237 -171.2308
56.030278 76.226 -171.5075
56.396489 76.217 -171.7735
56.762700 76.209 -172.0365
57.128911 76.202 -172.3076
57.495122 76.194 -172.5915
57.861333 76.183 -172.8815
58.227544 76.169 -173.1612
58.593755 76.153 -173.4153
58.959966 76.137 -173.6397
59.326177 76.126 -173.8461
59.692388 76.119 -174.0545
60.058599 76.114 -174.2813
60.424810 76.109 -174.5297
60.791021 76.102 -174.7905
61.157232 76.092 -175.0492
61.523442 76.081 -175.2962
61.889653 76.070 -175.5306
62.255864 76.059 -175.7580
62.622075 76.050 -175.9843
62.988286 76.040 -176.2113
63.354497 76.029 -176.4369
63.720708 76.018 -176.6582
64.086919 76.006 -176.8742
64.453130 75.995 -177.0862
64.819341 75.983 -177.2961
65.185552 75.972 -177.5047
65.551763 75.960 -177.7116
65.917974 75.948 -177.9160
66.284185 75.935 -178.1176
66.650396 75.923 -178.3172
67.016607 75.911 -178.5156
67.382818 75.898 -178.7130
67.749029 75.886 -178.9095
68.115240 75.873 -179.1048
68.481451 75.860 -179.2989
68.847662 75.848 -179.4918
69.213873 75.835 -179.6832
69.580084 75.822 -179.8724
69.946295 75.808 179.9414
70.312506 75.795 179.7587
70.678717 75.783 179.5791
71.044928 75.770 179.4013
71.411139 75.758 179.2237
71.777350 75.747 179.0451
72.143561 75.735 178.8653
72.509771 75.723 178.6855
72.875982 75.710 178.5077
73.242193 75.696 178.3336
73.608404 75.683 178.1642
73.974615 75.670 177.9991
74.340826 75.657 177.8370
74.707037 75.644 177.6760
75.073248 75.631 177.5148
75.439459 75.618 177.3531
75.805670 75.605 177.1912
76.171881 75.592 177.0302
76.538092 75.579 176.8713
76.904303 75.565 176.7152
77.270514 75.551 176.5620
77.636725 75.537 176.4114
78.002936 75.524 176.2628
78.369147 75.511 176.1157
78.735358 75.498 175.9698
79.101569 75.484 175.8246
79.467780 75.471 175.6803
79.833991 75.459 175.5367
80.200202 75.446 175.3938
80.566413 75.433 175.2516
80.932624 75.420 175.1100
81.298835 75.407 174.9693
81.665046 75.394 174.8301
82.031257 75.381 174.6931
82.397468 75.367 174.5589
82.763679 75.354 174.4272
83.129890 75.341 174.2970
83.496101 75.329 174.1664
83.862311 75.316 174.0343
84.228522 75.303 173.9007
84.594733 75.290 173.7675
84.960944 75.277 173.6370
85.327155 75.263 173.5110
85.693366 75.249 173.3894
86.059577 75.236 173.2706
86.425788 75.223 173.1520
86.791999 75.211 173.0323
87.158210 75.198 172.9115
87.524421 75.186 172.7907
87.890632 75.173 172.6715
88.256843 75.160 172.5543
88.623054 75.147 172.4385
88.989265 75.134 172.3234
89.355476 75.121 172.2082
89.721687 75.108 172.0934
90.087898 75.095 171.9798
90.454109 75.082 171.8682
90.820320 75.069 171.7586
91.186531 75.056 171.6505
91.552742 75.043 171.5429
91.918953 75.031 171.4353
92.285164 75.018 171.3275
92.651375 75.005 171.2197
93.017586 74.993 171.1124
93.383797 74.980 171.0062
93.750008 74.967 170.9018
94.116219 74.954 170.7994
94.482430 74.941 170.6991
94.848641 74.928 170.6005
95.214851 74.916 170.5028
95.581062 74.903 170.4053
95.947273 74.891 170.3077
96.313484 74.878 170.2106
96.679695 74.865 170.1149
97.045906 74.852 170.0213
97.412117 74.839 169.9300
97.778328 74.826 169.8404
98.144539 74.813 169.7518
98.510750 74.801 169.6633
98.876961 74.788 169.5745
99.243172 74.776 169.4854
99.609383 74.763 169.3956
99.975594 74.751 169.3055
100.341805 74.739 169.2152
100.708016 74.726 169.1253
101.074227 74.713 169.0366
101.440438 74.700 168.9498
101.806649 74.687 168.8652
102.172860 74.675 168.7823
102.539071 74.663 168.7004
102.905282 74.650 168.6189
103.271493 74.638 168.5376
103.637704 74.626 168.4566
104.003915 74.614 168.3766
104.370126 74.602 168.2976
104.736337 74.590 168.2197
105.102548 74.578 168.1424
105.468759 74.566 168.0653
105.834970 74.554 167.9883
106.201180 74.542 167.9117
106.567391 74.529 167.8361
106.933602 74.517 167.7618
107.299813 74.504 167.6889
107.666024 74.492 167.6171
108.032235 74.480 167.5460
108.398446 74.467 167.4751
108.764657 74.455 167.4042
109.130868 74.443 167.3334
109.497079 74.432 167.2624
109.863290 74.420 167.1912
110.229501 74.408 167.1199
110.595712 74.396 167.0486
110.961923 74.384 166.9776
111.328134 74.372 166.9073
111.694345 74.360 166.8383
112.060556 74.348 166.7705
112.426767 74.336 166.7040
112.792978 74.324 166.6384
113.159189 74.312 166.5735
113.525400 74.300 166.5093
113.891611 74.288 166.4460
114.257822 74.277 166.3839
114.624033 74.265 166.3228
114.990244 74.253 166.2623
115.356455 74.242 166.2020
115.722666 74.230 166.1417
116.088877 74.219 166.0815
116.455088 74.207 166.0223
116.821299 74.195 165.9646
117.187510 74.184 165.9082
117.553720 74.172 165.8525
117.919931 74.161 165.7962
118.286142 74.150 165.7383
118.652353 74.139 165.6787
119.018564 74.128 165.6181
119.384775 74.116 165.5579
119.750986 74.105 165.4992
120.117197 74.093 165.4425
120.483408 74.081 165.3875
120.849619 74.069 165.3334
121.215830 74.058 165.2795
121.582041 74.047 165.2256
121.948252 74.035 165.1721
122.314463 74.024 165.1191
122.680674 74.012 165.0671
123.046885 74.001 165.0161
123.413096 73.989 164.9655
123.779307 73.978 164.9153
124.145518 73.967 164.8653
124.511729 73.957 164.8156
124.877940 73.946 164.7665
125.244151 73.936 164.7179
125.610362 73.926 164.6697
125.976573 73.916 164.6217
126.342784 73.906 164.5738
126.708995 73.897 164.5258
127.075206 73.887 164.4779
127.441417 73.878 164.4302
127.807628 73.868 164.3828
128.173839 73.859 164.3358
128.540049 73.849 164.2892
128.906260 73.840 164.2433
129.272471 73.830 164.1981
129.638682 73.821 164.1535
130.004893 73.812 164.1093
130.371104 73.802 164.0653
130.737315 73.793 164.0213
131.103526 73.783 163.9772
131.469737 73.774 163.9334
131.835948 73.764 163.8901
132.202159 73.755 163.8477
132.568370 73.745 163.8061
132.934581 73.736 163.7654
133.300792 73.726 163.7251
133.667003 73.717 163.6853
134.033214 73.708 163.6458
134.399425 73.698 163.6066
134.765636 73.689 163.5678
135.131847 73.680 163.5295
135.498058 73.671 163.4915
135.864269 73.662 163.4538
136.230480 73.653 163.4163
136.596691 73.644 163.3790
136.962902 73.635 163.3420
137.329113 73.626 163.3053
137.695324 73.617 163.2690
138.061535 73.609 163.2329
138.427746 73.600 163.1972
138.793957 73.591 163.1617
139.160168 73.582 163.1262
139.526379 73.574 163.0907
139.892589 73.565 163.0551
140.258800 73.556 163.0193
140.625011 73.547 162.9836
140.991222 73.538 162.9482
141.357433 73.529 162.9135
141.723644 73.519 162.8798
142.089855 73.510 162.8473
142.456066 73.501 162.8158
142.822277 73.492 162.7850
143.188488 73.483 162.7546
143.554699 73.474 162.7242
143.920910 73.465 162.6936
144.287121 73.456 162.6629
144.653332 73.448 162.6321
145.019543 73.439 162.6014
145.385754 73.430 162.5707
145.751965 73.421 162.5401
146.118176 73.413 162.5098
146.484387 73.404 162.4799
146.850598 73.396 162.4504
147.216809 73.387 162.4216
147.583020 73.378 162.3933
147.949231 73.370 162.3656
