* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2023 6:41:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ormosia Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.882 158.5474
0.732422 64.994 136.9091
1.098633 61.419 114.5641
1.464844 54.876 88.8438
1.831055 40.085 6.3549
2.197266 49.268 -101.5208
2.563477 50.847 -122.6664
2.929688 46.658 -124.2903
3.295899 45.050 -48.9521
3.662110 53.040 -32.9286
4.028321 56.751 -39.8665
4.394532 58.298 -47.3339
4.760743 58.724 -50.7386
5.126954 58.931 -48.7446
5.493164 59.657 -44.5316
5.859375 60.814 -43.0516
6.225586 61.868 -45.2443
6.591797 62.560 -49.2261
6.958008 62.943 -53.1048
7.324219 63.214 -56.0032
7.690430 63.562 -58.2268
8.056641 64.034 -60.6643
8.422852 64.549 -63.7968
8.789063 65.016 -67.3692
9.155274 65.413 -70.8065
9.521485 65.781 -73.7212
9.887696 66.170 -76.1260
10.253907 66.524 -78.2899
10.620118 66.859 -80.4266
10.986329 67.171 -82.5372
11.352540 67.446 -84.4980
11.718751 67.692 -86.2293
12.084962 67.920 -87.7697
12.451173 68.135 -89.2194
12.817384 68.375 -90.6424
13.183595 68.593 -92.0342
13.549806 68.785 -93.3691
13.916017 68.956 -94.6564
14.282228 69.114 -95.9418
14.648439 69.256 -97.2615
15.014650 69.381 -98.6054
15.380861 69.491 -99.9331
15.747072 69.596 -101.2219
16.113283 69.709 -102.4967
16.479493 69.836 -103.8086
16.845704 69.963 -105.1824
17.211915 70.080 -106.5858
17.578126 70.185 -107.9460
17.944337 70.282 -109.1962
18.310548 70.381 -110.3139
18.676759 70.489 -111.3240
19.042970 70.608 -112.2746
19.409181 70.735 -113.2107
19.775392 70.863 -114.1620
20.141603 70.988 -115.1410
20.507814 71.101 -116.1398
20.874025 71.196 -117.1245
21.240236 71.271 -118.0416
21.606447 71.333 -118.8439
21.972658 71.392 -119.5263
22.338869 71.458 -120.1426
22.705080 71.534 -120.7807
23.071291 71.609 -121.5060
23.437502 71.672 -122.3139
23.803713 71.715 -123.1303
24.169924 71.743 -123.8624
24.536135 71.771 -124.4659
24.902346 71.813 -124.9814
25.268557 71.877 -125.5100
25.634768 71.953 -126.1429
26.000979 72.027 -126.9001
26.367190 72.087 -127.7245
26.733401 72.131 -128.5285
27.099612 72.167 -129.2543
27.465823 72.202 -129.9014
27.832033 72.241 -130.5062
28.198244 72.281 -131.0962
28.564455 72.317 -131.6625
28.930666 72.350 -132.1754
29.296877 72.386 -132.6251
29.663088 72.429 -133.0461
30.029299 72.480 -133.4987
30.395510 72.529 -134.0199
30.761721 72.568 -134.5892
31.127932 72.591 -135.1412
31.494143 72.607 -135.6164
31.860354 72.625 -136.0099
32.226565 72.653 -136.3761
32.592776 72.689 -136.7845
32.958987 72.724 -137.2642
33.325198 72.750 -137.7834
33.691409 72.765 -138.2784
34.057620 72.776 -138.7053
34.423831 72.793 -139.0718
34.790042 72.818 -139.4250
35.156253 72.849 -139.8099
35.522464 72.879 -140.2345
35.888675 72.904 -140.6699
36.254886 72.924 -141.0817
36.621097 72.945 -141.4604
36.987308 72.970 -141.8269
37.353519 72.996 -142.2095
37.719730 73.020 -142.6167
38.085941 73.038 -143.0273
38.452152 73.051 -143.4091
38.818363 73.063 -143.7468
39.184573 73.078 -144.0557
39.550784 73.099 -144.3710
39.916995 73.121 -144.7192
40.283206 73.139 -145.0972
40.649417 73.151 -145.4745
41.015628 73.157 -145.8150
41.381839 73.162 -146.1030
41.748050 73.172 -146.3519
42.114261 73.187 -146.5916
42.480472 73.207 -146.8466
42.846683 73.227 -147.1213
43.212894 73.246 -147.4035
43.579105 73.263 -147.6796
43.945316 73.280 -147.9476
44.311527 73.299 -148.2167
44.677738 73.317 -148.4965
45.043949 73.334 -148.7855
45.410160 73.346 -149.0714
45.776371 73.356 -149.3407
46.142582 73.366 -149.5896
46.508793 73.377 -149.8271
46.875004 73.390 -150.0662
47.241215 73.402 -150.3134
47.607426 73.412 -150.5641
47.973637 73.421 -150.8080
48.339848 73.429 -151.0387
48.706059 73.438 -151.2598
49.072270 73.449 -151.4814
49.438481 73.461 -151.7124
49.804692 73.472 -151.9534
50.170902 73.482 -152.1977
50.537113 73.490 -152.4373
50.903324 73.498 -152.6681
51.269535 73.507 -152.8916
51.635746 73.515 -153.1112
52.001957 73.524 -153.3281
52.368168 73.533 -153.5406
52.734379 73.542 -153.7473
53.100590 73.552 -153.9498
53.466801 73.563 -154.1531
53.833012 73.575 -154.3625
54.199223 73.587 -154.5801
54.565434 73.598 -154.8043
54.931645 73.607 -155.0318
55.297856 73.616 -155.2603
55.664067 73.622 -155.4874
56.030278 73.627 -155.7081
56.396489 73.629 -155.9127
56.762700 73.630 -156.0902
57.128911 73.633 -156.2367
57.495122 73.641 -156.3621
57.861333 73.655 -156.4892
58.227544 73.674 -156.6436
58.593755 73.693 -156.8392
58.959966 73.709 -157.0704
59.326177 73.719 -157.3158
59.692388 73.724 -157.5515
60.058599 73.725 -157.7630
60.424810 73.724 -157.9496
60.791021 73.724 -158.1186
61.157232 73.724 -158.2759
61.523442 73.724 -158.4214
61.889653 73.724 -158.5521
62.255864 73.725 -158.6689
62.622075 73.730 -158.7803
62.988286 73.737 -158.8997
63.354497 73.745 -159.0369
63.720708 73.753 -159.1935
64.086919 73.760 -159.3631
64.453130 73.764 -159.5371
64.819341 73.768 -159.7102
65.185552 73.771 -159.8823
65.551763 73.773 -160.0543
65.917974 73.775 -160.2246
66.284185 73.776 -160.3870
66.650396 73.776 -160.5349
67.016607 73.777 -160.6657
67.382818 73.782 -160.7849
67.749029 73.789 -160.9042
68.115240 73.799 -161.0360
68.481451 73.810 -161.1871
68.847662 73.819 -161.3550
69.213873 73.825 -161.5291
69.580084 73.829 -161.6963
69.946295 73.831 -161.8475
70.312506 73.832 -161.9814
70.678717 73.835 -162.1043
71.044928 73.840 -162.2255
71.411139 73.845 -162.3524
71.777350 73.850 -162.4876
72.143561 73.854 -162.6290
72.509771 73.856 -162.7729
72.875982 73.857 -162.9152
73.242193 73.857 -163.0529
73.608404 73.856 -163.1834
73.974615 73.855 -163.3052
74.340826 73.856 -163.4197
74.707037 73.858 -163.5329
75.073248 73.862 -163.6536
75.439459 73.866 -163.7894
75.805670 73.870 -163.9414
76.171881 73.872 -164.1020
76.538092 73.871 -164.2585
76.904303 73.868 -164.4001
77.270514 73.866 -164.5244
77.636725 73.866 -164.6388
78.002936 73.867 -164.7543
78.369147 73.870 -164.8773
78.735358 73.871 -165.0050
79.101569 73.871 -165.1274
79.467780 73.871 -165.2356
79.833991 73.872 -165.3290
80.200202 73.875 -165.4172
80.566413 73.882 -165.5141
80.932624 73.889 -165.6284
81.298835 73.894 -165.7583
81.665046 73.897 -165.8924
82.031257 73.898 -166.0184
82.397468 73.898 -166.1305
82.763679 73.900 -166.2331
83.129890 73.902 -166.3360
83.496101 73.905 -166.4468
83.862311 73.907 -166.5653
84.228522 73.908 -166.6845
84.594733 73.907 -166.7962
84.960944 73.906 -166.8966
85.327155 73.906 -166.9886
85.693366 73.907 -167.0784
86.059577 73.910 -167.1712
86.425788 73.912 -167.2679
86.791999 73.915 -167.3667
87.158210 73.919 -167.4662
87.524421 73.923 -167.5681
87.890632 73.928 -167.6758
88.256843 73.932 -167.7917
88.623054 73.936 -167.9139
88.989265 73.939 -168.0371
89.355476 73.940 -168.1555
89.721687 73.941 -168.2662
90.087898 73.942 -168.3706
90.454109 73.944 -168.4733
90.820320 73.946 -168.5783
91.186531 73.948 -168.6863
91.552742 73.949 -168.7952
91.918953 73.949 -168.9008
92.285164 73.949 -169.0003
92.651375 73.949 -169.0933
93.017586 73.949 -169.1821
93.383797 73.950 -169.2701
93.750008 73.951 -169.3601
94.116219 73.952 -169.4528
94.482430 73.953 -169.5474
94.848641 73.953 -169.6417
95.214851 73.953 -169.7340
95.581062 73.953 -169.8238
95.947273 73.953 -169.9122
96.313484 73.954 -170.0009
96.679695 73.955 -170.0917
97.045906 73.956 -170.1854
97.412117 73.957 -170.2817
97.778328 73.958 -170.3796
98.144539 73.958 -170.4779
98.510750 73.958 -170.5754
98.876961 73.957 -170.6710
99.243172 73.957 -170.7638
99.609383 73.957 -170.8536
99.975594 73.957 -170.9413
100.341805 73.957 -171.0285
100.708016 73.958 -171.1172
101.074227 73.959 -171.2079
101.440438 73.959 -171.2998
101.806649 73.960 -171.3914
102.172860 73.960 -171.4812
102.539071 73.960 -171.5691
102.905282 73.961 -171.6564
103.271493 73.962 -171.7447
103.637704 73.962 -171.8349
104.003915 73.963 -171.9264
104.370126 73.963 -172.0177
104.736337 73.963 -172.1074
105.102548 73.962 -172.1945
105.468759 73.962 -172.2793
105.834970 73.961 -172.3621
106.201180 73.961 -172.4437
106.567391 73.961 -172.5246
106.933602 73.960 -172.6051
107.299813 73.960 -172.6859
107.666024 73.960 -172.7670
108.032235 73.960 -172.8482
108.398446 73.959 -172.9288
108.764657 73.959 -173.0083
109.130868 73.958 -173.0867
109.497079 73.958 -173.1651
109.863290 73.957 -173.2451
110.229501 73.957 -173.3275
110.595712 73.956 -173.4116
110.961923 73.955 -173.4955
111.328134 73.954 -173.5769
111.694345 73.952 -173.6546
112.060556 73.951 -173.7292
112.426767 73.951 -173.8033
112.792978 73.951 -173.8794
113.159189 73.952 -173.9591
113.525400 73.952 -174.0422
113.891611 73.952 -174.1269
114.257822 73.952 -174.2113
114.624033 73.951 -174.2936
114.990244 73.950 -174.3730
115.356455 73.949 -174.4493
115.722666 73.948 -174.5230
116.088877 73.948 -174.5947
116.455088 73.947 -174.6652
116.821299 73.947 -174.7352
117.187510 73.947 -174.8051
117.553720 73.947 -174.8750
117.919931 73.947 -174.9449
118.286142 73.947 -175.0150
118.652353 73.948 -175.0861
119.018564 73.948 -175.1595
119.384775 73.948 -175.2359
119.750986 73.948 -175.3154
120.117197 73.948 -175.3967
120.483408 73.946 -175.4783
120.849619 73.945 -175.5592
121.215830 73.943 -175.6388
121.582041 73.940 -175.7172
121.948252 73.938 -175.7942
122.314463 73.935 -175.8693
122.680674 73.933 -175.9415
123.046885 73.930 -176.0105
123.413096 73.928 -176.0770
123.779307 73.927 -176.1426
124.145518 73.926 -176.2091
124.511729 73.925 -176.2774
124.877940 73.925 -176.3474
125.244151 73.925 -176.4183
125.610362 73.925 -176.4895
125.976573 73.925 -176.5607
126.342784 73.926 -176.6320
126.708995 73.926 -176.7034
127.075206 73.926 -176.7745
127.441417 73.926 -176.8446
127.807628 73.926 -176.9135
128.173839 73.926 -176.9813
128.540049 73.926 -177.0489
128.906260 73.926 -177.1169
129.272471 73.926 -177.1856
129.638682 73.925 -177.2546
130.004893 73.925 -177.3233
130.371104 73.925 -177.3913
130.737315 73.925 -177.4586
131.103526 73.924 -177.5256
131.469737 73.924 -177.5930
131.835948 73.924 -177.6609
132.202159 73.924 -177.7293
132.568370 73.924 -177.7977
132.934581 73.924 -177.8655
133.300792 73.924 -177.9325
133.667003 73.924 -177.9988
134.033214 73.925 -178.0649
134.399425 73.925 -178.1316
134.765636 73.925 -178.1994
135.131847 73.926 -178.2682
135.498058 73.925 -178.3370
135.864269 73.925 -178.4044
136.230480 73.924 -178.4689
136.596691 73.923 -178.5301
136.962902 73.922 -178.5882
137.329113 73.921 -178.6444
137.695324 73.921 -178.7002
138.061535 73.921 -178.7564
138.427746 73.920 -178.8136
138.793957 73.920 -178.8718
139.160168 73.920 -178.9308
139.526379 73.919 -178.9905
139.892589 73.918 -179.0511
140.258800 73.918 -179.1125
140.625011 73.917 -179.1749
140.991222 73.916 -179.2381
141.357433 73.915 -179.3019
141.723644 73.913 -179.3663
142.089855 73.912 -179.4311
142.456066 73.911 -179.4960
142.822277 73.909 -179.5607
