* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 24, 2023 6:40:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ormosia Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.249 -21.7724
0.732422 69.384 -43.2685
1.098633 65.802 -63.8583
1.464844 58.944 -80.3798
1.831055 44.671 0.3791
2.197266 57.240 33.6675
2.563477 60.144 16.4815
2.929688 59.939 -2.5502
3.295899 57.628 -18.8985
3.662110 53.518 -23.9773
4.028321 50.934 -2.9232
4.394532 53.710 6.5039
4.760743 56.466 -7.0866
5.126954 58.196 -26.2874
5.493164 59.148 -43.5295
5.859375 59.574 -55.1459
6.225586 59.923 -59.7031
6.591797 60.756 -59.4485
6.958008 62.103 -59.2665
7.324219 63.471 -61.3652
7.690430 64.520 -64.7216
8.056641 65.222 -67.7280
8.422852 65.724 -69.5442
8.789063 66.196 -70.3928
9.155274 66.703 -71.1116
9.521485 67.195 -72.3003
9.887696 67.605 -73.9480
10.253907 67.849 -75.7324
10.620118 68.004 -77.4404
10.986329 68.145 -79.1150
11.352540 68.286 -80.9069
11.718751 68.416 -82.8612
12.084962 68.531 -84.8785
12.451173 68.646 -86.8433
12.817384 68.823 -88.7435
13.183595 69.029 -90.6508
13.549806 69.241 -92.6018
13.916017 69.442 -94.5262
14.282228 69.631 -96.2989
14.648439 69.817 -97.8526
15.014650 70.014 -99.2342
15.380861 70.218 -100.5509
15.747072 70.416 -101.8675
16.113283 70.596 -103.1614
16.479493 70.760 -104.3669
16.845704 70.905 -105.4506
17.211915 71.039 -106.4410
17.578126 71.163 -107.3928
17.944337 71.275 -108.3356
18.310548 71.374 -109.2648
18.676759 71.464 -110.1752
19.042970 71.550 -111.0912
19.409181 71.634 -112.0528
19.775392 71.710 -113.0703
20.141603 71.775 -114.1024
20.507814 71.836 -115.0868
20.874025 71.903 -116.0008
21.240236 71.984 -116.8909
21.606447 72.079 -117.8378
21.972658 72.176 -118.8821
22.338869 72.262 -119.9805
22.705080 72.330 -121.0316
23.071291 72.389 -121.9492
23.437502 72.454 -122.7255
23.803713 72.532 -123.4319
24.169924 72.618 -124.1574
24.536135 72.701 -124.9365
24.902346 72.768 -125.7266
25.268557 72.817 -126.4462
25.634768 72.858 -127.0413
26.000979 72.905 -127.5277
26.367190 72.963 -127.9822
26.733401 73.031 -128.4909
27.099612 73.099 -129.0974
27.465823 73.156 -129.7883
27.832033 73.199 -130.5166
28.198244 73.230 -131.2383
28.564455 73.252 -131.9316
28.930666 73.269 -132.5918
29.296877 73.283 -133.2143
29.663088 73.296 -133.7878
30.029299 73.312 -134.3048
30.395510 73.337 -134.7794
30.761721 73.372 -135.2486
31.127932 73.414 -135.7525
31.494143 73.458 -136.3062
31.860354 73.495 -136.8875
32.226565 73.525 -137.4528
32.592776 73.550 -137.9685
32.958987 73.576 -138.4323
33.325198 73.605 -138.8703
33.691409 73.637 -139.3118
34.057620 73.668 -139.7662
34.423831 73.694 -140.2203
34.790042 73.716 -140.6548
35.156253 73.737 -141.0650
35.522464 73.760 -141.4665
35.888675 73.784 -141.8827
36.254886 73.806 -142.3253
36.621097 73.823 -142.7850
36.987308 73.833 -143.2370
37.353519 73.838 -143.6572
37.719730 73.842 -144.0359
38.085941 73.848 -144.3810
38.452152 73.858 -144.7088
38.818363 73.871 -145.0338
39.184573 73.886 -145.3604
39.550784 73.902 -145.6861
39.916995 73.921 -146.0088
40.283206 73.942 -146.3340
40.649417 73.966 -146.6735
41.015628 73.989 -147.0369
41.381839 74.010 -147.4209
41.748050 74.025 -147.8073
42.114261 74.036 -148.1725
42.480472 74.045 -148.5033
42.846683 74.057 -148.8063
43.212894 74.072 -149.1041
43.579105 74.090 -149.4187
43.945316 74.107 -149.7560
44.311527 74.120 -150.1032
44.677738 74.130 -150.4401
45.043949 74.137 -150.7556
45.410160 74.146 -151.0534
45.776371 74.156 -151.3459
46.142582 74.165 -151.6408
46.508793 74.174 -151.9337
46.875004 74.180 -152.2133
47.241215 74.186 -152.4724
47.607426 74.194 -152.7154
47.973637 74.204 -152.9559
48.339848 74.215 -153.2066
48.706059 74.226 -153.4700
49.072270 74.234 -153.7381
49.438481 74.240 -153.9997
49.804692 74.245 -154.2481
50.170902 74.251 -154.4857
50.537113 74.258 -154.7207
50.903324 74.266 -154.9613
51.269535 74.274 -155.2114
51.635746 74.281 -155.4693
52.001957 74.286 -155.7289
52.368168 74.290 -155.9834
52.734379 74.293 -156.2269
53.100590 74.297 -156.4566
53.466801 74.302 -156.6744
53.833012 74.309 -156.8866
54.199223 74.318 -157.1013
54.565434 74.328 -157.3251
54.931645 74.338 -157.5586
55.297856 74.346 -157.7956
55.664067 74.352 -158.0259
56.030278 74.358 -158.2418
56.396489 74.363 -158.4431
56.762700 74.370 -158.6377
57.128911 74.379 -158.8359
57.495122 74.387 -159.0433
57.861333 74.393 -159.2563
58.227544 74.397 -159.4662
58.593755 74.399 -159.6664
58.959966 74.402 -159.8584
59.326177 74.405 -160.0503
59.692388 74.408 -160.2482
60.058599 74.408 -160.4493
60.424810 74.407 -160.6417
60.791021 74.405 -160.8139
61.157232 74.404 -160.9650
61.523442 74.408 -161.1086
61.889653 74.415 -161.2651
62.255864 74.423 -161.4478
62.622075 74.430 -161.6542
62.988286 74.432 -161.8672
63.354497 74.430 -162.0668
63.720708 74.428 -162.2421
64.086919 74.426 -162.3972
64.453130 74.427 -162.5456
64.819341 74.430 -162.7002
65.185552 74.433 -162.8650
65.551763 74.434 -163.0336
65.917974 74.434 -163.1961
66.284185 74.433 -163.3475
66.650396 74.434 -163.4926
67.016607 74.437 -163.6433
67.382818 74.441 -163.8102
67.749029 74.443 -163.9936
68.115240 74.441 -164.1815
68.481451 74.437 -164.3562
68.847662 74.433 -164.5070
69.213873 74.431 -164.6389
69.580084 74.433 -164.7701
69.946295 74.438 -164.9190
70.312506 74.443 -165.0908
70.678717 74.446 -165.2738
71.044928 74.447 -165.4507
71.411139 74.448 -165.6142
71.777350 74.450 -165.7744
72.143561 74.454 -165.9483
72.509771 74.455 -166.1400
72.875982 74.450 -166.3285
73.242193 74.440 -166.4778
73.608404 74.430 -166.5642
73.974615 74.428 -166.6013
74.340826 74.438 -166.6402
74.707037 74.455 -166.7399
75.073248 74.472 -166.9271
75.439459 74.477 -167.1742
75.805670 74.467 -167.4135
76.171881 74.446 -167.5776
76.538092 74.425 -167.6403
76.904303 74.415 -167.6310
77.270514 74.419 -167.6148
77.636725 74.433 -167.6527
78.002936 74.451 -167.7704
78.369147 74.463 -167.9532
78.735358 74.468 -168.1638
79.101569 74.465 -168.3678
79.467780 74.459 -168.5485
79.833991 74.452 -168.7068
80.200202 74.446 -168.8505
80.566413 74.440 -168.9855
80.932624 74.434 -169.1124
81.298835 74.429 -169.2292
81.665046 74.426 -169.3359
82.031257 74.424 -169.4353
82.397468 74.424 -169.5333
82.763679 74.427 -169.6369
83.129890 74.430 -169.7529
83.496101 74.434 -169.8858
83.862311 74.437 -170.0355
84.228522 74.436 -170.1943
84.594733 74.431 -170.3487
84.960944 74.424 -170.4833
85.327155 74.414 -170.5887
85.693366 74.407 -170.6659
86.059577 74.403 -170.7273
86.425788 74.403 -170.7897
86.791999 74.405 -170.8669
87.158210 74.408 -170.9629
87.524421 74.410 -171.0725
87.890632 74.411 -171.1864
88.256843 74.411 -171.2982
88.623054 74.411 -171.4078
88.989265 74.411 -171.5203
89.355476 74.412 -171.6407
89.721687 74.412 -171.7689
90.087898 74.410 -171.8989
90.454109 74.406 -172.0218
90.820320 74.402 -172.1316
91.186531 74.399 -172.2294
91.552742 74.398 -172.3221
91.918953 74.398 -172.4182
92.285164 74.399 -172.5226
92.651375 74.399 -172.6338
93.017586 74.397 -172.7456
93.383797 74.394 -172.8509
93.750008 74.392 -172.9466
94.116219 74.389 -173.0341
94.482430 74.388 -173.1186
94.848641 74.387 -173.2049
95.214851 74.387 -173.2957
95.581062 74.386 -173.3904
95.947273 74.385 -173.4867
96.313484 74.383 -173.5822
96.679695 74.381 -173.6759
97.045906 74.378 -173.7682
97.412117 74.376 -173.8600
97.778328 74.374 -173.9522
98.144539 74.371 -174.0456
98.510750 74.369 -174.1402
98.876961 74.367 -174.2363
99.243172 74.365 -174.3338
99.609383 74.362 -174.4325
99.975594 74.360 -174.5317
100.341805 74.357 -174.6304
100.708016 74.354 -174.7279
101.074227 74.351 -174.8238
101.440438 74.349 -174.9182
101.806649 74.346 -175.0113
102.172860 74.344 -175.1030
102.539071 74.341 -175.1930
102.905282 74.339 -175.2808
103.271493 74.337 -175.3669
103.637704 74.335 -175.4522
104.003915 74.334 -175.5381
104.370126 74.332 -175.6251
104.736337 74.330 -175.7126
105.102548 74.328 -175.7990
105.468759 74.326 -175.8827
105.834970 74.323 -175.9632
106.201180 74.321 -176.0412
106.567391 74.319 -176.1181
106.933602 74.317 -176.1955
107.299813 74.315 -176.2740
107.666024 74.313 -176.3533
108.032235 74.310 -176.4327
108.398446 74.308 -176.5119
108.764657 74.306 -176.5913
109.130868 74.304 -176.6719
109.497079 74.302 -176.7544
109.863290 74.299 -176.8388
110.229501 74.297 -176.9242
110.595712 74.294 -177.0090
110.961923 74.290 -177.0918
111.328134 74.287 -177.1725
111.694345 74.284 -177.2521
112.060556 74.281 -177.3324
112.426767 74.279 -177.4147
112.792978 74.276 -177.4990
113.159189 74.273 -177.5838
113.525400 74.270 -177.6673
113.891611 74.266 -177.7476
114.257822 74.262 -177.8242
114.624033 74.259 -177.8981
114.990244 74.257 -177.9709
115.356455 74.255 -178.0446
115.722666 74.253 -178.1200
116.088877 74.251 -178.1975
116.455088 74.249 -178.2762
116.821299 74.247 -178.3547
117.187510 74.244 -178.4314
117.553720 74.242 -178.5055
117.919931 74.239 -178.5772
118.286142 74.237 -178.6479
118.652353 74.236 -178.7200
119.018564 74.234 -178.7953
119.384775 74.233 -178.8745
119.750986 74.230 -178.9564
120.117197 74.227 -179.0383
120.483408 74.223 -179.1169
120.849619 74.218 -179.1900
121.215830 74.214 -179.2571
121.582041 74.210 -179.3199
121.948252 74.206 -179.3807
122.314463 74.204 -179.4424
122.680674 74.202 -179.5070
123.046885 74.200 -179.5756
123.413096 74.198 -179.6478
123.779307 74.195 -179.7228
124.145518 74.193 -179.7989
124.511729 74.190 -179.8743
124.877940 74.186 -179.9474
125.244151 74.183 179.9825
125.610362 74.180 179.9151
125.976573 74.178 179.8495
126.342784 74.176 179.7846
126.708995 74.174 179.7195
127.075206 74.171 179.6542
127.441417 74.169 179.5894
127.807628 74.167 179.5260
128.173839 74.165 179.4645
128.540049 74.162 179.4048
128.906260 74.160 179.3463
129.272471 74.159 179.2880
129.638682 74.157 179.2291
130.004893 74.155 179.1690
130.371104 74.154 179.1077
130.737315 74.153 179.0451
131.103526 74.151 178.9813
131.469737 74.149 178.9165
131.835948 74.148 178.8512
132.202159 74.146 178.7860
132.568370 74.143 178.7219
132.934581 74.141 178.6593
133.300792 74.139 178.5984
133.667003 74.138 178.5386
134.033214 74.136 178.4792
134.399425 74.135 178.4195
134.765636 74.134 178.3591
135.131847 74.132 178.2980
135.498058 74.131 178.2360
135.864269 74.130 178.1730
136.230480 74.128 178.1092
136.596691 74.127 178.0449
136.962902 74.124 177.9810
137.329113 74.122 177.9186
137.695324 74.119 177.8587
138.061535 74.116 177.8011
138.427746 74.113 177.7455
138.793957 74.110 177.6908
139.160168 74.107 177.6361
139.526379 74.104 177.5812
139.892589 74.102 177.5259
140.258800 74.099 177.4705
140.625011 74.097 177.4146
140.991222 74.094 177.3583
141.357433 74.092 177.3011
141.723644 74.090 177.2429
142.089855 74.088 177.1835
142.456066 74.086 177.1233
142.822277 74.083 177.0624
143.188488 74.081 177.0011
143.554699 74.079 176.9399
143.920910 74.077 176.8792
