* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:37:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pecker Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.220 160.3182
0.732422 65.377 140.2408
1.098633 61.921 118.5779
1.464844 55.917 89.4053
1.831055 48.552 13.4610
2.197266 52.898 -51.8439
2.563477 55.539 -64.4836
2.929688 57.167 -59.6463
3.295899 59.602 -51.5902
3.662110 62.263 -49.8578
4.028321 64.323 -53.0691
4.394532 65.672 -57.7693
4.760743 66.508 -61.8056
5.126954 67.111 -64.4141
5.493164 67.714 -66.1055
5.859375 68.390 -68.0119
6.225586 69.061 -70.8222
6.591797 69.630 -74.3931
6.958008 70.070 -78.1500
7.324219 70.423 -81.6017
7.690430 70.759 -84.6155
8.056641 71.125 -87.3867
8.422852 71.518 -90.1801
8.789063 71.907 -93.0896
9.155274 72.262 -96.0101
9.521485 72.578 -98.7692
9.887696 72.862 -101.2598
10.253907 73.057 -103.4796
10.620118 73.211 -105.4848
10.986329 73.356 -107.3283
11.352540 73.489 -109.0398
11.718751 73.610 -110.6466
12.084962 73.721 -112.1904
12.451173 73.819 -113.7142
12.817384 73.944 -115.2339
13.183595 74.054 -116.7300
13.549806 74.142 -118.1695
13.916017 74.216 -119.5380
14.282228 74.281 -120.8518
14.648439 74.344 -122.1420
15.014650 74.404 -123.4294
15.380861 74.461 -124.7159
15.747072 74.516 -125.9961
16.113283 74.577 -127.2709
16.479493 74.645 -128.5448
16.845704 74.711 -129.8100
17.211915 74.771 -131.0367
17.578126 74.826 -132.1867
17.944337 74.881 -133.2404
18.310548 74.942 -134.2133
18.676759 75.008 -135.1448
19.042970 75.075 -136.0649
19.409181 75.137 -136.9700
19.775392 75.190 -137.8292
20.141603 75.238 -138.6158
20.507814 75.287 -139.3373
20.874025 75.339 -140.0350
21.240236 75.390 -140.7547
21.606447 75.433 -141.5093
21.972658 75.463 -142.2693
22.338869 75.481 -142.9853
22.705080 75.493 -143.6275
23.071291 75.510 -144.2115
23.437502 75.537 -144.7913
23.803713 75.571 -145.4243
24.169924 75.604 -146.1367
24.536135 75.630 -146.9105
24.902346 75.645 -147.6991
25.268557 75.650 -148.4536
25.634768 75.650 -149.1432
26.000979 75.650 -149.7618
26.367190 75.655 -150.3203
26.733401 75.666 -150.8373
27.099612 75.683 -151.3322
27.465823 75.704 -151.8212
27.832033 75.728 -152.3138
28.198244 75.751 -152.8109
28.564455 75.772 -153.3048
28.930666 75.789 -153.7844
29.296877 75.804 -154.2430
29.663088 75.818 -154.6822
30.029299 75.831 -155.1107
30.395510 75.843 -155.5380
30.761721 75.854 -155.9698
31.127932 75.862 -156.4064
31.494143 75.867 -156.8440
31.860354 75.869 -157.2769
32.226565 75.869 -157.6991
32.592776 75.867 -158.1058
32.958987 75.867 -158.4984
33.325198 75.869 -158.8861
33.691409 75.872 -159.2814
34.057620 75.876 -159.6896
34.423831 75.876 -160.1000
34.790042 75.874 -160.4893
35.156253 75.872 -160.8373
35.522464 75.875 -161.1461
35.888675 75.885 -161.4436
36.254886 75.901 -161.7672
36.621097 75.917 -162.1358
36.987308 75.928 -162.5340
37.353519 75.930 -162.9211
37.719730 75.927 -163.2602
38.085941 75.925 -163.5449
38.452152 75.928 -163.8036
38.818363 75.938 -164.0779
39.184573 75.948 -164.3927
39.550784 75.953 -164.7413
39.916995 75.951 -165.0944
40.283206 75.944 -165.4234
40.649417 75.936 -165.7191
41.015628 75.930 -165.9928
41.381839 75.926 -166.2633
41.748050 75.923 -166.5419
42.114261 75.920 -166.8269
42.480472 75.915 -167.1089
42.846683 75.911 -167.3818
43.212894 75.909 -167.6474
43.579105 75.908 -167.9143
43.945316 75.909 -168.1900
44.311527 75.910 -168.4763
44.677738 75.909 -168.7667
45.043949 75.906 -169.0502
45.410160 75.903 -169.3174
45.776371 75.901 -169.5663
46.142582 75.900 -169.8038
46.508793 75.902 -170.0424
46.875004 75.905 -170.2923
47.241215 75.907 -170.5540
47.607426 75.905 -170.8169
47.973637 75.900 -171.0654
48.339848 75.894 -171.2886
48.706059 75.889 -171.4877
49.072270 75.887 -171.6752
49.438481 75.888 -171.8669
49.804692 75.890 -172.0732
50.170902 75.891 -172.2948
50.537113 75.891 -172.5253
50.903324 75.890 -172.7577
51.269535 75.886 -172.9884
51.635746 75.882 -173.2167
52.001957 75.877 -173.4418
52.368168 75.871 -173.6610
52.734379 75.864 -173.8713
53.100590 75.858 -174.0730
53.466801 75.854 -174.2715
53.833012 75.850 -174.4743
54.199223 75.847 -174.6856
54.565434 75.841 -174.9013
54.931645 75.834 -175.1105
55.297856 75.826 -175.3025
55.664067 75.819 -175.4749
56.030278 75.814 -175.6369
56.396489 75.812 -175.8050
56.762700 75.810 -175.9907
57.128911 75.806 -176.1912
57.495122 75.798 -176.3887
57.861333 75.787 -176.5608
58.227544 75.776 -176.6956
58.593755 75.769 -176.8031
58.959966 75.769 -176.9108
59.326177 75.773 -177.0490
59.692388 75.778 -177.2322
60.058599 75.779 -177.4507
60.424810 75.773 -177.6775
60.791021 75.762 -177.8849
61.157232 75.749 -178.0604
61.523442 75.739 -178.2115
61.889653 75.732 -178.3575
62.255864 75.728 -178.5154
62.622075 75.725 -178.6908
62.988286 75.719 -178.8770
63.354497 75.712 -179.0627
63.720708 75.703 -179.2400
64.086919 75.695 -179.4074
64.453130 75.687 -179.5685
64.819341 75.681 -179.7277
65.185552 75.675 -179.8876
65.551763 75.670 179.9507
65.917974 75.665 179.7870
66.284185 75.660 179.6223
66.650396 75.653 179.4587
67.016607 75.646 179.2997
67.382818 75.638 179.1482
67.749029 75.631 179.0047
68.115240 75.624 178.8664
68.481451 75.617 178.7295
68.847662 75.611 178.5912
69.213873 75.605 178.4512
69.580084 75.598 178.3112
69.946295 75.591 178.1718
70.312506 75.584 178.0326
70.678717 75.577 177.8922
71.044928 75.569 177.7504
71.411139 75.562 177.6088
71.777350 75.553 177.4691
72.143561 75.545 177.3310
72.509771 75.538 177.1921
72.875982 75.530 177.0496
73.242193 75.521 176.9041
73.608404 75.511 176.7603
73.974615 75.501 176.6257
74.340826 75.490 176.5052
74.707037 75.480 176.3972
75.073248 75.473 176.2940
75.439459 75.467 176.1856
75.805670 75.463 176.0647
76.171881 75.458 175.9300
76.538092 75.452 175.7868
76.904303 75.443 175.6436
77.270514 75.433 175.5092
77.636725 75.421 175.3891
78.002936 75.410 175.2848
78.369147 75.400 175.1926
78.735358 75.392 175.1049
79.101569 75.387 175.0122
79.467780 75.383 174.9072
79.833991 75.379 174.7874
80.200202 75.374 174.6563
80.566413 75.368 174.5210
80.932624 75.360 174.3878
81.298835 75.351 174.2594
81.665046 75.343 174.1350
82.031257 75.334 174.0125
82.397468 75.326 173.8913
82.763679 75.317 173.7729
83.129890 75.308 173.6587
83.496101 75.299 173.5479
83.862311 75.292 173.4366
84.228522 75.285 173.3208
84.594733 75.277 173.1994
84.960944 75.268 173.0758
85.327155 75.258 172.9565
85.693366 75.247 172.8467
86.059577 75.237 172.7478
86.425788 75.228 172.6563
86.791999 75.220 172.5667
87.158210 75.213 172.4746
87.524421 75.206 172.3783
87.890632 75.200 172.2783
88.256843 75.194 172.1756
88.623054 75.187 172.0703
88.989265 75.181 171.9622
89.355476 75.174 171.8517
89.721687 75.166 171.7409
90.087898 75.157 171.6330
90.454109 75.148 171.5309
90.820320 75.138 171.4359
91.186531 75.129 171.3469
91.552742 75.120 171.2615
91.918953 75.112 171.1765
92.285164 75.105 171.0897
92.651375 75.098 170.9996
93.017586 75.090 170.9062
93.383797 75.083 170.8104
93.750008 75.074 170.7138
94.116219 75.066 170.6184
94.482430 75.057 170.5255
94.848641 75.047 170.4354
95.214851 75.039 170.3467
95.581062 75.030 170.2579
95.947273 75.022 170.1676
96.313484 75.013 170.0756
96.679695 75.004 169.9826
97.045906 74.995 169.8903
97.412117 74.986 169.7998
97.778328 74.977 169.7114
98.144539 74.968 169.6249
98.510750 74.959 169.5394
98.876961 74.951 169.4544
99.243172 74.942 169.3693
99.609383 74.934 169.2839
99.975594 74.926 169.1980
100.341805 74.918 169.1115
100.708016 74.909 169.0248
101.074227 74.901 168.9382
101.440438 74.892 168.8524
101.806649 74.883 168.7675
102.172860 74.875 168.6835
102.539071 74.866 168.6004
102.905282 74.856 168.5187
103.271493 74.847 168.4390
103.637704 74.838 168.3613
104.003915 74.830 168.2849
104.370126 74.821 168.2075
104.736337 74.813 168.1273
105.102548 74.805 168.0434
105.468759 74.797 167.9569
105.834970 74.788 167.8705
106.201180 74.778 167.7867
106.567391 74.768 167.7066
106.933602 74.758 167.6296
107.299813 74.749 167.5546
107.666024 74.739 167.4805
108.032235 74.730 167.4077
108.398446 74.720 167.3373
108.764657 74.711 167.2696
109.130868 74.702 167.2037
109.497079 74.693 167.1376
109.863290 74.685 167.0692
110.229501 74.677 166.9975
110.595712 74.669 166.9232
110.961923 74.660 166.8479
111.328134 74.651 166.7735
111.694345 74.641 166.7011
112.060556 74.632 166.6309
112.426767 74.622 166.5628
112.792978 74.613 166.4962
113.159189 74.603 166.4307
113.525400 74.594 166.3658
113.891611 74.586 166.3007
114.257822 74.577 166.2348
114.624033 74.568 166.1677
114.990244 74.560 166.0999
115.356455 74.551 166.0319
115.722666 74.542 165.9647
116.088877 74.533 165.8984
116.455088 74.525 165.8327
116.821299 74.516 165.7669
117.187510 74.507 165.7004
117.553720 74.499 165.6332
117.919931 74.490 165.5660
118.286142 74.481 165.4998
118.652353 74.471 165.4350
119.018564 74.462 165.3717
119.384775 74.453 165.3094
119.750986 74.444 165.2475
120.117197 74.435 165.1856
120.483408 74.426 165.1240
120.849619 74.417 165.0630
121.215830 74.408 165.0032
121.582041 74.400 164.9443
121.948252 74.391 164.8861
122.314463 74.382 164.8278
122.680674 74.374 164.7691
123.046885 74.365 164.7097
123.413096 74.356 164.6500
123.779307 74.348 164.5904
124.145518 74.339 164.5315
124.511729 74.330 164.4739
124.877940 74.322 164.4174
125.244151 74.314 164.3618
125.610362 74.306 164.3062
125.976573 74.298 164.2496
126.342784 74.291 164.1914
126.708995 74.283 164.1317
127.075206 74.275 164.0715
127.441417 74.267 164.0123
127.807628 74.259 163.9551
128.173839 74.251 163.9005
128.540049 74.242 163.8479
128.906260 74.235 163.7962
129.272471 74.227 163.7441
129.638682 74.220 163.6907
130.004893 74.213 163.6357
130.371104 74.206 163.5793
130.737315 74.198 163.5223
131.103526 74.191 163.4652
131.469737 74.183 163.4088
131.835948 74.175 163.3535
132.202159 74.167 163.2999
132.568370 74.158 163.2485
132.934581 74.150 163.1993
133.300792 74.142 163.1523
133.667003 74.134 163.1069
134.033214 74.127 163.0621
134.399425 74.119 163.0172
134.765636 74.112 162.9708
135.131847 74.106 162.9220
135.498058 74.099 162.8704
135.864269 74.091 162.8162
136.230480 74.084 162.7603
136.596691 74.075 162.7048
136.962902 74.066 162.6517
137.329113 74.057 162.6024
137.695324 74.048 162.5573
138.061535 74.039 162.5154
138.427746 74.031 162.4749
138.793957 74.023 162.4339
139.160168 74.016 162.3914
139.526379 74.008 162.3472
139.892589 74.001 162.3022
140.258800 73.993 162.2570
140.625011 73.986 162.2122
140.991222 73.979 162.1677
141.357433 73.971 162.1229
141.723644 73.964 162.0776
142.089855 73.956 162.0318
142.456066 73.949 161.9862
142.822277 73.941 161.9413
143.188488 73.933 161.8977
143.554699 73.925 161.8555
143.920910 73.917 161.8145
144.287121 73.909 161.7742
144.653332 73.901 161.7344
145.019543 73.893 161.6949
145.385754 73.885 161.6555
145.751965 73.877 161.6161
146.118176 73.869 161.5765
146.484387 73.861 161.5364
146.850598 73.854 161.4955
147.216809 73.846 161.4537
147.583020 73.838 161.4111
147.949231 73.830 161.3682
148.315442 73.822 161.3256
