* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:38:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Pecker Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.238 -23.4647
0.732422 70.355 -46.6766
1.098633 66.687 -68.9681
1.464844 59.323 -86.3416
1.831055 49.306 17.9204
2.197266 60.651 24.0764
2.563477 63.807 3.9232
2.929688 64.517 -17.0167
3.295899 63.869 -35.0376
3.662110 62.501 -45.8095
4.028321 61.666 -45.6701
4.394532 62.775 -42.1900
4.760743 64.890 -45.8814
5.126954 66.692 -54.8421
5.493164 67.859 -64.5574
5.859375 68.509 -72.1712
6.225586 68.945 -76.4564
6.591797 69.499 -78.1027
6.958008 70.285 -79.2275
7.324219 71.135 -81.3568
7.690430 71.844 -84.4288
8.056641 72.340 -87.5884
8.422852 72.679 -90.1380
8.789063 72.968 -91.9784
9.155274 73.274 -93.5220
9.521485 73.589 -95.2263
9.887696 73.869 -97.2182
10.253907 74.021 -99.3314
10.620118 74.100 -101.3730
10.986329 74.168 -103.3072
11.352540 74.241 -105.2274
11.718751 74.316 -107.2069
12.084962 74.381 -109.2113
12.451173 74.440 -111.1491
12.817384 74.550 -112.9744
13.183595 74.677 -114.7225
13.549806 74.810 -116.4489
13.916017 74.935 -118.1514
14.282228 75.046 -119.7649
14.648439 75.146 -121.2278
15.014650 75.245 -122.5442
15.380861 75.346 -123.7768
15.747072 75.441 -124.9809
16.113283 75.527 -126.1533
16.479493 75.606 -127.2473
16.845704 75.675 -128.2342
17.211915 75.744 -129.1454
17.578126 75.815 -130.0543
17.944337 75.882 -131.0164
18.310548 75.936 -132.0282
18.676759 75.974 -133.0408
19.042970 76.000 -134.0057
19.409181 76.024 -134.9109
19.775392 76.052 -135.7799
20.141603 76.085 -136.6445
20.507814 76.124 -137.5215
20.874025 76.163 -138.4114
21.240236 76.203 -139.3072
21.606447 76.240 -140.1990
21.972658 76.273 -141.0692
22.338869 76.302 -141.8937
22.705080 76.331 -142.6534
23.071291 76.362 -143.3523
23.437502 76.399 -144.0203
23.803713 76.438 -144.6941
24.169924 76.474 -145.3894
24.536135 76.501 -146.0874
24.902346 76.518 -146.7489
25.268557 76.529 -147.3437
25.634768 76.541 -147.8748
26.000979 76.557 -148.3781
26.367190 76.579 -148.9007
26.733401 76.600 -149.4710
27.099612 76.616 -150.0835
27.465823 76.621 -150.7038
27.832033 76.619 -151.2898
28.198244 76.616 -151.8165
28.564455 76.617 -152.2904
28.930666 76.627 -152.7458
29.296877 76.647 -153.2243
29.663088 76.670 -153.7502
30.029299 76.691 -154.3177
30.395510 76.706 -154.8972
30.761721 76.716 -155.4544
31.127932 76.723 -155.9695
31.494143 76.730 -156.4435
31.860354 76.740 -156.8897
32.226565 76.751 -157.3223
32.592776 76.763 -157.7488
32.958987 76.774 -158.1702
33.325198 76.784 -158.5857
33.691409 76.792 -158.9941
34.057620 76.797 -159.3929
34.423831 76.799 -159.7782
34.790042 76.801 -160.1474
35.156253 76.802 -160.5029
35.522464 76.803 -160.8523
35.888675 76.806 -161.2038
36.254886 76.808 -161.5622
36.621097 76.809 -161.9269
36.987308 76.808 -162.2956
37.353519 76.807 -162.6661
37.719730 76.803 -163.0341
38.085941 76.797 -163.3898
38.452152 76.790 -163.7188
38.818363 76.783 -164.0110
39.184573 76.782 -164.2730
39.550784 76.789 -164.5315
39.916995 76.803 -164.8220
40.283206 76.819 -165.1684
40.649417 76.831 -165.5662
41.015628 76.834 -165.9840
41.381839 76.828 -166.3810
41.748050 76.818 -166.7292
42.114261 76.807 -167.0265
42.480472 76.800 -167.2920
42.846683 76.798 -167.5508
43.212894 76.798 -167.8192
43.579105 76.799 -168.1011
43.945316 76.799 -168.3928
44.311527 76.798 -168.6901
44.677738 76.795 -168.9903
45.043949 76.790 -169.2880
45.410160 76.782 -169.5735
45.776371 76.773 -169.8360
46.142582 76.765 -170.0712
46.508793 76.759 -170.2871
46.875004 76.758 -170.5015
47.241215 76.760 -170.7306
47.607426 76.762 -170.9797
47.973637 76.761 -171.2409
48.339848 76.759 -171.5010
48.706059 76.756 -171.7525
49.072270 76.752 -171.9980
49.438481 76.750 -172.2457
49.804692 76.746 -172.5005
50.170902 76.741 -172.7582
50.537113 76.734 -173.0086
50.903324 76.726 -173.2431
51.269535 76.719 -173.4612
51.635746 76.714 -173.6702
52.001957 76.711 -173.8797
52.368168 76.709 -174.0958
52.734379 76.707 -174.3200
53.100590 76.706 -174.5504
53.466801 76.703 -174.7845
53.833012 76.699 -175.0186
54.199223 76.694 -175.2473
54.565434 76.688 -175.4644
54.931645 76.682 -175.6666
55.297856 76.677 -175.8568
55.664067 76.673 -176.0436
56.030278 76.671 -176.2365
56.396489 76.669 -176.4394
56.762700 76.664 -176.6477
57.128911 76.658 -176.8520
57.495122 76.650 -177.0444
57.861333 76.642 -177.2242
58.227544 76.636 -177.3974
58.593755 76.631 -177.5727
58.959966 76.626 -177.7561
59.326177 76.621 -177.9476
59.692388 76.614 -178.1434
60.058599 76.607 -178.3382
60.424810 76.599 -178.5282
60.791021 76.590 -178.7118
61.157232 76.582 -178.8888
61.523442 76.575 -179.0604
61.889653 76.568 -179.2289
62.255864 76.563 -179.3981
62.622075 76.559 -179.5723
62.988286 76.556 -179.7545
63.354497 76.551 -179.9439
63.720708 76.544 179.8643
64.086919 76.536 179.6770
64.453130 76.527 179.4990
64.819341 76.518 179.3307
65.185552 76.510 179.1682
65.551763 76.502 179.0068
65.917974 76.493 178.8447
66.284185 76.484 178.6844
66.650396 76.475 178.5308
67.016607 76.465 178.3861
67.382818 76.457 178.2476
67.749029 76.450 178.1086
68.115240 76.444 177.9627
68.481451 76.437 177.8085
68.847662 76.431 177.6496
69.213873 76.423 177.4916
69.580084 76.415 177.3370
69.946295 76.408 177.1834
70.312506 76.401 177.0258
70.678717 76.394 176.8612
71.044928 76.386 176.6925
71.411139 76.376 176.5272
71.777350 76.365 176.3725
72.143561 76.354 176.2307
72.509771 76.344 176.0980
72.875982 76.335 175.9670
73.242193 76.326 175.8326
73.608404 76.318 175.6942
73.974615 76.309 175.5555
74.340826 76.299 175.4203
74.707037 76.289 175.2894
75.073248 76.280 175.1609
75.439459 76.270 175.0327
75.805670 76.260 174.9052
76.171881 76.250 174.7817
76.538092 76.240 174.6651
76.904303 76.232 174.5545
77.270514 76.225 174.4442
77.636725 76.220 174.3258
78.002936 76.216 174.1936
78.369147 76.211 174.0472
78.735358 76.205 173.8923
79.101569 76.196 173.7370
79.467780 76.186 173.5877
79.833991 76.176 173.4472
80.200202 76.165 173.3147
80.566413 76.155 173.1883
80.932624 76.145 173.0663
81.298835 76.136 172.9478
81.665046 76.128 172.8312
82.031257 76.120 172.7137
82.397468 76.113 172.5918
82.763679 76.105 172.4637
83.129890 76.097 172.3311
83.496101 76.087 172.2000
83.862311 76.076 172.0771
84.228522 76.065 171.9660
84.594733 76.055 171.8636
84.960944 76.047 171.7610
85.327155 76.041 171.6487
85.693366 76.034 171.5224
86.059577 76.026 171.3867
86.425788 76.015 171.2533
86.791999 76.002 171.1334
87.158210 75.990 171.0315
87.524421 75.980 170.9424
87.890632 75.971 170.8546
88.256843 75.965 170.7575
88.623054 75.959 170.6472
88.989265 75.952 170.5275
89.355476 75.943 170.4064
89.721687 75.933 170.2908
90.087898 75.923 170.1832
90.454109 75.912 170.0822
90.820320 75.902 169.9841
91.186531 75.893 169.8861
91.552742 75.884 169.7869
91.918953 75.875 169.6861
92.285164 75.865 169.5837
92.651375 75.855 169.4807
93.017586 75.845 169.3782
93.383797 75.835 169.2784
93.750008 75.824 169.1826
94.116219 75.814 169.0905
94.482430 75.804 169.0005
94.848641 75.795 168.9097
95.214851 75.786 168.8163
95.581062 75.777 168.7203
95.947273 75.768 168.6233
96.313484 75.759 168.5272
96.679695 75.749 168.4333
97.045906 75.740 168.3411
97.412117 75.731 168.2494
97.778328 75.723 168.1565
98.144539 75.714 168.0618
98.510750 75.705 167.9657
98.876961 75.696 167.8695
99.243172 75.686 167.7745
99.609383 75.676 167.6819
99.975594 75.666 167.5919
100.341805 75.656 167.5040
100.708016 75.647 167.4174
101.074227 75.637 167.3312
101.440438 75.627 167.2452
101.806649 75.618 167.1593
102.172860 75.608 167.0739
102.539071 75.598 166.9893
102.905282 75.588 166.9049
103.271493 75.579 166.8202
103.637704 75.569 166.7344
104.003915 75.559 166.6476
104.370126 75.549 166.5607
104.736337 75.539 166.4749
105.102548 75.529 166.3915
105.468759 75.518 166.3110
105.834970 75.508 166.2326
106.201180 75.498 166.1549
106.567391 75.489 166.0765
106.933602 75.480 165.9965
107.299813 75.471 165.9148
107.666024 75.462 165.8320
108.032235 75.452 165.7488
108.398446 75.443 165.6660
108.764657 75.433 165.5836
109.130868 75.424 165.5021
109.497079 75.414 165.4213
109.863290 75.404 165.3413
110.229501 75.394 165.2622
110.595712 75.385 165.1839
110.961923 75.375 165.1065
111.328134 75.365 165.0302
111.694345 75.355 164.9552
112.060556 75.345 164.8817
112.426767 75.335 164.8098
112.792978 75.325 164.7393
113.159189 75.315 164.6697
113.525400 75.305 164.6008
113.891611 75.295 164.5323
114.257822 75.285 164.4645
114.624033 75.275 164.3973
114.990244 75.266 164.3309
115.356455 75.256 164.2647
115.722666 75.246 164.1982
116.088877 75.237 164.1309
116.455088 75.227 164.0624
116.821299 75.218 163.9929
117.187510 75.208 163.9225
117.553720 75.198 163.8519
117.919931 75.188 163.7816
118.286142 75.177 163.7122
118.652353 75.166 163.6447
119.018564 75.156 163.5797
119.384775 75.145 163.5172
119.750986 75.135 163.4568
120.117197 75.126 163.3972
120.483408 75.116 163.3367
120.849619 75.108 163.2739
121.215830 75.099 163.2079
121.582041 75.091 163.1393
121.948252 75.082 163.0692
122.314463 75.072 162.9990
122.680674 75.063 162.9297
123.046885 75.053 162.8621
123.413096 75.044 162.7961
123.779307 75.034 162.7313
124.145518 75.024 162.6675
124.511729 75.015 162.6047
124.877940 75.006 162.5428
125.244151 74.996 162.4822
125.610362 74.987 162.4231
125.976573 74.978 162.3656
126.342784 74.970 162.3096
126.708995 74.961 162.2545
127.075206 74.953 162.1996
127.441417 74.944 162.1443
127.807628 74.936 162.0885
128.173839 74.928 162.0323
128.540049 74.919 161.9761
128.906260 74.910 161.9202
129.272471 74.902 161.8648
129.638682 74.893 161.8098
130.004893 74.884 161.7549
130.371104 74.876 161.7004
130.737315 74.867 161.6462
131.103526 74.859 161.5925
131.469737 74.850 161.5389
131.835948 74.842 161.4851
132.202159 74.834 161.4308
132.568370 74.825 161.3762
132.934581 74.817 161.3214
133.300792 74.809 161.2668
133.667003 74.800 161.2125
134.033214 74.792 161.1584
134.399425 74.783 161.1047
134.765636 74.775 161.0517
135.131847 74.766 161.0001
135.498058 74.757 160.9501
135.864269 74.749 160.9018
136.230480 74.741 160.8539
136.596691 74.733 160.8052
136.962902 74.725 160.7546
137.329113 74.718 160.7020
137.695324 74.710 160.6481
138.061535 74.702 160.5942
138.427746 74.693 160.5413
138.793957 74.684 160.4897
139.160168 74.676 160.4393
139.526379 74.667 160.3895
139.892589 74.659 160.3402
140.258800 74.650 160.2913
140.625011 74.641 160.2432
140.991222 74.633 160.1963
141.357433 74.624 160.1506
141.723644 74.615 160.1060
142.089855 74.606 160.0627
142.456066 74.597 160.0204
142.822277 74.588 159.9795
143.188488 74.579 159.9400
143.554699 74.570 159.9019
143.920910 74.562 159.8647
144.287121 74.553 159.8280
144.653332 74.545 159.7908
145.019543 74.537 159.7523
145.385754 74.529 159.7119
145.751965 74.521 159.6693
146.118176 74.513 159.6249
146.484387 74.504 159.5794
146.850598 74.496 159.5338
147.216809 74.487 159.4888
147.583020 74.478 159.4450
147.949231 74.469 159.4024
148.315442 74.460 159.3606
