* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:55:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: High Density Foam Nozzle with Silicon Tips; 
* Measurement: Rosefinch HDF R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 76.506 -31.7296
0.732422 74.721 -64.1737
1.098633 71.157 -99.2123
1.464844 63.911 -148.4715
1.831055 61.992 78.4878
2.197266 69.520 23.9879
2.563477 72.854 -8.0198
2.929688 74.242 -33.6716
3.295899 74.382 -53.5246
3.662110 73.720 -65.2012
4.028321 73.186 -66.1595
4.394532 74.059 -61.8119
4.760743 75.926 -62.5353
5.126954 77.585 -68.8768
5.493164 78.625 -76.9896
5.859375 79.122 -83.9118
6.225586 79.357 -88.1126
6.591797 79.674 -89.8687
6.958008 80.233 -91.0551
7.324219 80.901 -93.2930
7.690430 81.461 -96.6550
8.056641 81.820 -100.2572
8.422852 82.022 -103.2606
8.789063 82.181 -105.4347
9.155274 82.381 -107.1844
9.521485 82.621 -109.0705
9.887696 82.840 -111.3012
10.253907 82.928 -113.6865
10.620118 82.932 -115.9422
10.986329 82.919 -117.9625
11.352540 82.916 -119.8523
11.718751 82.922 -121.7582
12.084962 82.920 -123.7070
12.451173 82.904 -125.6111
12.817384 82.928 -127.3906
13.183595 82.965 -129.0594
13.549806 83.007 -130.6914
13.916017 83.045 -132.3233
14.282228 83.069 -133.9114
14.648439 83.080 -135.3827
15.014650 83.090 -136.7182
15.380861 83.105 -137.9754
15.747072 83.124 -139.2300
16.113283 83.141 -140.5039
16.479493 83.152 -141.7541
16.845704 83.152 -142.9271
17.211915 83.149 -144.0157
17.578126 83.149 -145.0629
17.944337 83.150 -146.1165
18.310548 83.146 -147.1859
18.676759 83.136 -148.2447
19.042970 83.121 -149.2673
19.409181 83.108 -150.2563
19.775392 83.097 -151.2336
20.141603 83.088 -152.2130
20.507814 83.080 -153.1863
20.874025 83.071 -154.1362
21.240236 83.062 -155.0567
21.606447 83.055 -155.9567
21.972658 83.049 -156.8429
22.338869 83.040 -157.7067
22.705080 83.030 -158.5310
23.071291 83.021 -159.3101
23.437502 83.016 -160.0603
23.803713 83.012 -160.8067
24.169924 83.006 -161.5596
24.536135 82.996 -162.3055
24.902346 82.980 -163.0215
25.268557 82.963 -163.6977
25.634768 82.947 -164.3453
26.000979 82.932 -164.9854
26.367190 82.917 -165.6300
26.733401 82.900 -166.2755
27.099612 82.881 -166.9122
27.465823 82.861 -167.5363
27.832033 82.841 -168.1524
28.198244 82.822 -168.7663
28.564455 82.803 -169.3773
28.930666 82.784 -169.9805
29.296877 82.765 -170.5726
29.663088 82.746 -171.1557
30.029299 82.729 -171.7329
30.395510 82.711 -172.3023
30.761721 82.693 -172.8575
31.127932 82.675 -173.3941
31.494143 82.658 -173.9149
31.860354 82.643 -174.4286
32.226565 82.628 -174.9415
32.592776 82.611 -175.4522
32.958987 82.592 -175.9538
33.325198 82.572 -176.4399
33.691409 82.552 -176.9096
34.057620 82.532 -177.3667
34.423831 82.511 -177.8151
34.790042 82.491 -178.2576
35.156253 82.472 -178.6967
35.522464 82.452 -179.1355
35.888675 82.432 -179.5763
36.254886 82.411 179.9821
36.621097 82.390 179.5450
36.987308 82.367 179.1177
37.353519 82.345 178.7011
37.719730 82.323 178.2912
38.085941 82.303 177.8835
38.452152 82.282 177.4769
38.818363 82.261 177.0750
39.184573 82.240 176.6814
39.550784 82.220 176.2962
39.916995 82.200 175.9160
40.283206 82.181 175.5379
40.649417 82.162 175.1621
41.015628 82.143 174.7917
41.381839 82.123 174.4289
41.748050 82.103 174.0731
42.114261 82.084 173.7216
42.480472 82.064 173.3727
42.846683 82.044 173.0272
43.212894 82.024 172.6866
43.579105 82.004 172.3516
43.945316 81.984 172.0208
44.311527 81.964 171.6926
44.677738 81.944 171.3666
45.043949 81.924 171.0432
45.410160 81.904 170.7232
45.776371 81.884 170.4062
46.142582 81.864 170.0919
46.508793 81.844 169.7803
46.875004 81.823 169.4725
47.241215 81.803 169.1695
47.607426 81.782 168.8708
47.973637 81.762 168.5757
48.339848 81.742 168.2836
48.706059 81.721 167.9951
49.072270 81.700 167.7108
49.438481 81.680 167.4306
49.804692 81.660 167.1530
50.170902 81.640 166.8761
50.537113 81.621 166.5995
50.903324 81.601 166.3242
51.269535 81.581 166.0518
51.635746 81.561 165.7830
52.001957 81.541 165.5177
52.368168 81.521 165.2552
52.734379 81.501 164.9953
53.100590 81.481 164.7383
53.466801 81.462 164.4840
53.833012 81.442 164.2324
54.199223 81.423 163.9832
54.565434 81.403 163.7365
54.931645 81.383 163.4933
55.297856 81.363 163.2537
55.664067 81.343 163.0175
56.030278 81.324 162.7841
56.396489 81.304 162.5528
56.762700 81.284 162.3239
57.128911 81.264 162.0975
57.495122 81.243 161.8734
57.861333 81.223 161.6511
58.227544 81.203 161.4302
58.593755 81.183 161.2113
58.959966 81.162 160.9949
59.326177 81.142 160.7811
59.692388 81.122 160.5685
60.058599 81.103 160.3557
60.424810 81.083 160.1414
60.791021 81.064 159.9265
61.157232 81.044 159.7128
61.523442 81.024 159.5025
61.889653 81.004 159.2963
62.255864 80.984 159.0940
62.622075 80.964 158.8947
62.988286 80.944 158.6974
63.354497 80.924 158.5014
63.720708 80.904 158.3066
64.086919 80.884 158.1134
64.453130 80.863 157.9223
64.819341 80.842 157.7339
65.185552 80.822 157.5484
65.551763 80.801 157.3649
65.917974 80.780 157.1827
66.284185 80.759 157.0012
66.650396 80.738 156.8207
67.016607 80.717 156.6415
67.382818 80.696 156.4640
67.749029 80.675 156.2878
68.115240 80.654 156.1125
68.481451 80.633 155.9379
68.847662 80.612 155.7648
69.213873 80.590 155.5937
69.580084 80.569 155.4249
69.946295 80.549 155.2577
70.312506 80.528 155.0912
70.678717 80.508 154.9250
71.044928 80.488 154.7594
71.411139 80.467 154.5951
71.777350 80.447 154.4326
72.143561 80.427 154.2719
72.509771 80.407 154.1127
72.875982 80.387 153.9548
73.242193 80.367 153.7984
73.608404 80.346 153.6438
73.974615 80.326 153.4915
74.340826 80.305 153.3417
74.707037 80.284 153.1946
75.073248 80.264 153.0500
75.439459 80.243 152.9078
75.805670 80.222 152.7674
76.171881 80.202 152.6283
76.538092 80.182 152.4897
76.904303 80.162 152.3514
77.270514 80.141 152.2130
77.636725 80.121 152.0748
78.002936 80.101 151.9374
78.369147 80.081 151.8011
78.735358 80.060 151.6661
79.101569 80.040 151.5323
79.467780 80.020 151.3984
79.833991 80.001 151.2638
80.200202 79.981 151.1277
80.566413 79.961 150.9907
80.932624 79.941 150.8542
81.298835 79.921 150.7197
81.665046 79.900 150.5884
82.031257 79.880 150.4606
82.397468 79.859 150.3356
82.763679 79.840 150.2125
83.129890 79.820 150.0900
83.496101 79.801 149.9675
83.862311 79.781 149.8448
84.228522 79.762 149.7221
84.594733 79.743 149.6002
84.960944 79.723 149.4798
85.327155 79.704 149.3614
85.693366 79.684 149.2450
86.059577 79.665 149.1304
86.425788 79.646 149.0172
86.791999 79.626 148.9051
87.158210 79.607 148.7937
87.524421 79.588 148.6831
87.890632 79.569 148.5732
88.256843 79.550 148.4644
88.623054 79.531 148.3566
88.989265 79.511 148.2502
89.355476 79.492 148.1450
89.721687 79.473 148.0407
90.087898 79.455 147.9365
90.454109 79.436 147.8319
90.820320 79.417 147.7266
91.186531 79.398 147.6208
91.552742 79.379 147.5153
91.918953 79.360 147.4106
92.285164 79.341 147.3077
92.651375 79.321 147.2067
93.017586 79.302 147.1077
93.383797 79.283 147.0104
93.750008 79.264 146.9144
94.116219 79.245 146.8190
94.482430 79.227 146.7240
94.848641 79.208 146.6290
95.214851 79.190 146.5341
95.581062 79.171 146.4394
95.947273 79.153 146.3450
96.313484 79.134 146.2510
96.679695 79.116 146.1574
97.045906 79.097 146.0644
97.412117 79.079 145.9718
97.778328 79.060 145.8797
98.144539 79.041 145.7882
98.510750 79.023 145.6978
98.876961 79.004 145.6085
99.243172 78.985 145.5204
99.609383 78.966 145.4333
99.975594 78.948 145.3469
100.341805 78.930 145.2611
100.708016 78.911 145.1759
101.074227 78.893 145.0917
101.440438 78.875 145.0086
101.806649 78.857 144.9265
102.172860 78.839 144.8452
102.539071 78.821 144.7642
102.905282 78.803 144.6836
103.271493 78.785 144.6035
103.637704 78.767 144.5242
104.003915 78.750 144.4460
104.370126 78.732 144.3690
104.736337 78.714 144.2930
105.102548 78.696 144.2176
105.468759 78.678 144.1428
105.834970 78.661 144.0684
106.201180 78.643 143.9944
106.567391 78.625 143.9209
106.933602 78.608 143.8477
107.299813 78.590 143.7749
107.666024 78.572 143.7026
108.032235 78.554 143.6308
108.398446 78.537 143.5596
108.764657 78.519 143.4891
109.130868 78.501 143.4191
109.497079 78.483 143.3498
109.863290 78.465 143.2811
110.229501 78.448 143.2130
110.595712 78.430 143.1456
110.961923 78.412 143.0789
111.328134 78.395 143.0125
111.694345 78.377 142.9464
112.060556 78.359 142.8805
112.426767 78.342 142.8149
112.792978 78.324 142.7496
113.159189 78.307 142.6846
113.525400 78.290 142.6197
113.891611 78.272 142.5547
114.257822 78.255 142.4898
114.624033 78.237 142.4250
114.990244 78.220 142.3608
115.356455 78.202 142.2975
115.722666 78.185 142.2354
116.088877 78.167 142.1741
116.455088 78.150 142.1133
116.821299 78.133 142.0527
117.187510 78.116 141.9919
117.553720 78.099 141.9310
117.919931 78.082 141.8703
118.286142 78.065 141.8105
118.652353 78.047 141.7521
119.018564 78.030 141.6956
119.384775 78.013 141.6409
119.750986 77.996 141.5874
120.117197 77.979 141.5346
120.483408 77.962 141.4819
120.849619 77.946 141.4291
121.215830 77.929 141.3761
121.582041 77.913 141.3232
121.948252 77.896 141.2707
122.314463 77.880 141.2184
122.680674 77.863 141.1663
123.046885 77.846 141.1146
123.413096 77.830 141.0632
123.779307 77.813 141.0124
124.145518 77.797 140.9623
124.511729 77.780 140.9129
124.877940 77.764 140.8641
125.244151 77.748 140.8159
125.610362 77.733 140.7679
125.976573 77.718 140.7202
126.342784 77.702 140.6726
126.708995 77.687 140.6253
127.075206 77.672 140.5784
127.441417 77.657 140.5322
127.807628 77.642 140.4869
128.173839 77.627 140.4426
128.540049 77.612 140.3992
128.906260 77.598 140.3561
129.272471 77.583 140.3131
129.638682 77.569 140.2697
130.004893 77.554 140.2259
130.371104 77.540 140.1818
130.737315 77.525 140.1377
131.103526 77.511 140.0939
131.469737 77.496 140.0504
131.835948 77.482 140.0068
132.202159 77.468 139.9631
132.568370 77.453 139.9190
132.934581 77.439 139.8747
133.300792 77.424 139.8306
133.667003 77.409 139.7872
134.033214 77.394 139.7448
134.399425 77.380 139.7035
134.765636 77.365 139.6633
135.131847 77.350 139.6238
135.498058 77.336 139.5847
135.864269 77.322 139.5456
136.230480 77.308 139.5061
136.596691 77.293 139.4664
136.962902 77.279 139.4264
137.329113 77.265 139.3864
137.695324 77.251 139.3463
138.061535 77.237 139.3067
138.427746 77.223 139.2677
138.793957 77.209 139.2296
139.160168 77.195 139.1922
139.526379 77.181 139.1555
139.892589 77.167 139.1193
140.258800 77.153 139.0830
140.625011 77.139 139.0469
140.991222 77.125 139.0113
141.357433 77.111 138.9765
141.723644 77.098 138.9429
142.089855 77.084 138.9105
142.456066 77.070 138.8792
142.822277 77.056 138.8484
143.188488 77.042 138.8178
143.554699 77.029 138.7873
143.920910 77.015 138.7570
144.287121 77.001 138.7272
144.653332 76.987 138.6982
145.019543 76.974 138.6700
145.385754 76.960 138.6426
145.751965 76.946 138.6157
146.118176 76.933 138.5887
146.484387 76.920 138.5612
146.850598 76.906 138.5329
147.216809 76.893 138.5037
147.583020 76.880 138.4736
147.949231 76.866 138.4432
148.315442 76.853 138.4128
148.681653 76.839 138.3829
149.047864 76.826 138.3537
149.414075 76.812 138.3252
149.780286 76.799 138.2973
