* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:37:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Rosefinch High Density Foam in the nozzle with Dual Vent Bloack and Silicone Tips; 
* Measurement: Rosefinch HDF Dual V Sil L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.595 -56.9702
0.732422 72.657 -103.1059
1.098633 72.364 -143.2208
1.464844 70.024 173.1080
1.831055 66.644 103.1128
2.197266 70.019 23.9517
2.563477 74.326 -17.4397
2.929688 76.639 -43.8829
3.295899 77.466 -62.4077
3.662110 77.328 -73.0040
4.028321 77.047 -74.4797
4.394532 77.686 -70.7485
4.760743 79.175 -70.1453
5.126954 80.596 -74.5879
5.493164 81.503 -81.2849
5.859375 81.913 -87.5033
6.225586 82.056 -91.6625
6.591797 82.239 -93.7535
6.958008 82.632 -95.2426
7.324219 83.150 -97.6075
7.690430 83.603 -101.0619
8.056641 83.887 -104.8627
8.422852 84.027 -108.1881
8.789063 84.120 -110.7120
9.155274 84.250 -112.7125
9.521485 84.426 -114.7006
9.887696 84.599 -116.9319
10.253907 84.654 -119.2874
10.620118 84.628 -121.5135
10.986329 84.580 -123.4887
11.352540 84.536 -125.2885
11.718751 84.496 -127.0500
12.084962 84.447 -128.8186
12.451173 84.385 -130.5341
12.817384 84.362 -132.1372
13.183595 84.351 -133.6541
13.549806 84.345 -135.1672
13.916017 84.335 -136.7198
14.282228 84.310 -138.2676
14.648439 84.275 -139.7297
15.014650 84.239 -141.0760
15.380861 84.215 -142.3588
15.747072 84.201 -143.6561
16.113283 84.190 -144.9921
16.479493 84.180 -146.3185
16.845704 84.163 -147.5690
17.211915 84.147 -148.7239
17.578126 84.139 -149.8228
17.944337 84.138 -150.9172
18.310548 84.135 -152.0214
18.676759 84.127 -153.1083
19.042970 84.115 -154.1467
19.409181 84.103 -155.1355
19.775392 84.092 -156.0984
20.141603 84.081 -157.0510
20.507814 84.068 -157.9850
20.874025 84.052 -158.8814
21.240236 84.037 -159.7392
21.606447 84.025 -160.5825
21.972658 84.015 -161.4384
22.338869 84.001 -162.3098
22.705080 83.980 -163.1686
23.071291 83.956 -163.9810
23.437502 83.933 -164.7365
23.803713 83.916 -165.4563
24.169924 83.905 -166.1749
24.536135 83.898 -166.9139
24.902346 83.890 -167.6700
25.268557 83.878 -168.4229
25.634768 83.864 -169.1514
26.000979 83.849 -169.8431
26.367190 83.836 -170.5013
26.733401 83.825 -171.1375
27.099612 83.818 -171.7679
27.465823 83.811 -172.4050
27.832033 83.803 -173.0497
28.198244 83.791 -173.6910
28.564455 83.775 -174.3127
28.930666 83.758 -174.9069
29.296877 83.742 -175.4797
29.663088 83.727 -176.0460
30.029299 83.711 -176.6152
30.395510 83.693 -177.1835
30.761721 83.672 -177.7386
31.127932 83.651 -178.2725
31.494143 83.631 -178.7895
31.860354 83.613 -179.3029
32.226565 83.595 -179.8234
32.592776 83.577 179.6508
32.958987 83.557 179.1288
33.325198 83.536 178.6199
33.691409 83.515 178.1267
34.057620 83.495 177.6453
34.423831 83.475 177.1708
34.790042 83.456 176.7005
35.156253 83.437 176.2345
35.522464 83.416 175.7753
35.888675 83.395 175.3266
36.254886 83.373 174.8929
36.621097 83.352 174.4756
36.987308 83.332 174.0680
37.353519 83.314 173.6571
37.719730 83.295 173.2319
38.085941 83.273 172.7954
38.452152 83.246 172.3677
38.818363 83.215 171.9744
39.184573 83.184 171.6298
39.550784 83.158 171.3233
39.916995 83.139 171.0250
40.283206 83.126 170.7039
40.649417 83.116 170.3465
41.015628 83.104 169.9615
41.381839 83.088 169.5698
41.748050 83.069 169.1878
42.114261 83.050 168.8206
42.480472 83.032 168.4630
42.846683 83.014 168.1072
43.212894 82.997 167.7493
43.579105 82.979 167.3903
43.945316 82.960 167.0337
44.311527 82.940 166.6835
44.677738 82.920 166.3419
45.043949 82.898 166.0102
45.410160 82.877 165.6874
45.776371 82.856 165.3711
46.142582 82.836 165.0582
46.508793 82.815 164.7462
46.875004 82.794 164.4343
47.241215 82.773 164.1235
47.607426 82.751 163.8155
47.973637 82.728 163.5121
48.339848 82.704 163.2152
48.706059 82.680 162.9261
49.072270 82.657 162.6443
49.438481 82.634 162.3674
49.804692 82.612 162.0919
50.170902 82.591 161.8154
50.537113 82.570 161.5381
50.903324 82.549 161.2621
51.269535 82.527 160.9902
51.635746 82.506 160.7226
52.001957 82.484 160.4581
52.368168 82.463 160.1952
52.734379 82.442 159.9338
53.100590 82.421 159.6753
53.466801 82.399 159.4202
53.833012 82.377 159.1678
54.199223 82.355 158.9176
54.565434 82.333 158.6698
54.931645 82.310 158.4269
55.297856 82.286 158.1917
55.664067 82.263 157.9642
56.030278 82.240 157.7408
56.396489 82.218 157.5161
56.762700 82.196 157.2869
57.128911 82.174 157.0551
57.495122 82.149 156.8268
57.861333 82.125 156.6088
58.227544 82.100 156.4028
58.593755 82.078 156.2038
58.959966 82.057 156.0013
59.326177 82.038 155.7874
59.692388 82.018 155.5602
60.058599 81.996 155.3275
60.424810 81.972 155.1006
60.791021 81.948 154.8885
61.157232 81.924 154.6924
61.523442 81.901 154.5046
61.889653 81.881 154.3148
62.255864 81.862 154.1161
62.622075 81.842 153.9091
62.988286 81.820 153.7006
63.354497 81.797 153.4993
63.720708 81.772 153.3096
64.086919 81.748 153.1316
64.453130 81.725 152.9611
64.819341 81.702 152.7930
65.185552 81.680 152.6237
65.551763 81.658 152.4520
65.917974 81.635 152.2791
66.284185 81.612 152.1074
66.650396 81.589 151.9388
67.016607 81.565 151.7742
67.382818 81.542 151.6122
67.749029 81.519 151.4503
68.115240 81.496 151.2869
68.481451 81.473 151.1213
68.847662 81.450 150.9546
69.213873 81.427 150.7882
69.580084 81.404 150.6231
69.946295 81.381 150.4597
70.312506 81.358 150.2986
70.678717 81.335 150.1406
71.044928 81.313 149.9858
71.411139 81.292 149.8323
71.777350 81.271 149.6766
72.143561 81.251 149.5170
72.509771 81.229 149.3547
72.875982 81.207 149.1954
73.242193 81.184 149.0450
73.608404 81.161 148.9055
73.974615 81.139 148.7733
74.340826 81.118 148.6406
74.707037 81.098 148.5020
75.073248 81.076 148.3577
75.439459 81.054 148.2137
75.805670 81.030 148.0771
76.171881 81.006 147.9499
76.538092 80.983 147.8281
76.904303 80.962 147.7043
77.270514 80.941 147.5728
77.636725 80.920 147.4322
78.002936 80.898 147.2861
78.369147 80.875 147.1393
78.735358 80.851 146.9949
79.101569 80.827 146.8542
79.467780 80.802 146.7174
79.833991 80.778 146.5851
80.200202 80.754 146.4586
80.566413 80.731 146.3387
80.932624 80.708 146.2247
81.298835 80.687 146.1152
81.665046 80.667 146.0089
82.031257 80.648 145.9039
82.397468 80.630 145.7976
82.763679 80.614 145.6851
83.129890 80.599 145.5611
83.496101 80.583 145.4232
83.862311 80.565 145.2750
84.228522 80.544 145.1264
84.594733 80.521 144.9890
84.960944 80.497 144.8695
85.327155 80.473 144.7659
85.693366 80.451 144.6688
86.059577 80.431 144.5673
86.425788 80.412 144.4557
86.791999 80.391 144.3370
87.158210 80.368 144.2192
87.524421 80.345 144.1096
87.890632 80.322 144.0101
88.256843 80.301 143.9161
88.623054 80.281 143.8203
88.989265 80.261 143.7172
89.355476 80.242 143.6061
89.721687 80.222 143.4911
90.087898 80.201 143.3776
90.454109 80.180 143.2695
90.820320 80.158 143.1670
91.186531 80.137 143.0680
91.552742 80.117 142.9697
91.918953 80.096 142.8708
92.285164 80.075 142.7722
92.651375 80.054 142.6763
93.017586 80.032 142.5847
93.383797 80.011 142.4977
93.750008 79.990 142.4138
94.116219 79.969 142.3310
94.482430 79.949 142.2473
94.848641 79.929 142.1620
95.214851 79.908 142.0749
95.581062 79.888 141.9857
95.947273 79.867 141.8944
96.313484 79.846 141.8011
96.679695 79.825 141.7073
97.045906 79.803 141.6157
97.412117 79.780 141.5289
97.778328 79.757 141.4487
98.144539 79.736 141.3738
98.510750 79.715 141.3015
98.876961 79.695 141.2280
99.243172 79.676 141.1509
99.609383 79.657 141.0698
99.975594 79.638 140.9855
100.341805 79.619 140.8998
100.708016 79.600 140.8144
101.074227 79.580 140.7302
101.440438 79.560 140.6481
101.806649 79.540 140.5688
102.172860 79.520 140.4926
102.539071 79.500 140.4191
102.905282 79.480 140.3474
103.271493 79.460 140.2761
103.637704 79.441 140.2049
104.003915 79.421 140.1339
104.370126 79.402 140.0640
104.736337 79.382 139.9958
105.102548 79.363 139.9291
105.468759 79.344 139.8627
105.834970 79.325 139.7948
106.201180 79.307 139.7244
106.567391 79.289 139.6511
106.933602 79.270 139.5756
107.299813 79.251 139.4988
107.666024 79.231 139.4221
108.032235 79.211 139.3467
108.398446 79.191 139.2742
108.764657 79.170 139.2054
109.130868 79.150 139.1412
109.497079 79.129 139.0806
109.863290 79.109 139.0224
110.229501 79.090 138.9652
110.595712 79.071 138.9079
110.961923 79.052 138.8499
111.328134 79.034 138.7910
111.694345 79.015 138.7312
112.060556 78.997 138.6707
112.426767 78.979 138.6095
112.792978 78.961 138.5479
113.159189 78.943 138.4857
113.525400 78.924 138.4232
113.891611 78.906 138.3604
114.257822 78.888 138.2974
114.624033 78.870 138.2346
114.990244 78.852 138.1726
115.356455 78.833 138.1118
115.722666 78.815 138.0528
116.088877 78.796 137.9958
116.455088 78.778 137.9409
116.821299 78.759 137.8879
117.187510 78.741 137.8370
117.553720 78.723 137.7878
117.919931 78.705 137.7400
118.286142 78.686 137.6930
118.652353 78.668 137.6466
119.018564 78.650 137.6005
119.384775 78.632 137.5551
119.750986 78.614 137.5106
120.117197 78.596 137.4669
120.483408 78.578 137.4239
120.849619 78.560 137.3811
121.215830 78.542 137.3380
121.582041 78.524 137.2945
121.948252 78.506 137.2503
122.314463 78.488 137.2053
122.680674 78.470 137.1594
123.046885 78.452 137.1134
123.413096 78.434 137.0676
123.779307 78.416 137.0227
124.145518 78.398 136.9788
124.511729 78.381 136.9355
124.877940 78.363 136.8922
125.244151 78.347 136.8481
125.610362 78.330 136.8032
125.976573 78.314 136.7579
126.342784 78.298 136.7124
126.708995 78.282 136.6666
127.075206 78.266 136.6202
127.441417 78.250 136.5732
127.807628 78.234 136.5259
128.173839 78.218 136.4794
128.540049 78.201 136.4342
128.906260 78.185 136.3909
129.272471 78.168 136.3489
129.638682 78.152 136.3077
130.004893 78.135 136.2669
130.371104 78.119 136.2271
130.737315 78.102 136.1891
131.103526 78.085 136.1538
131.469737 78.069 136.1210
131.835948 78.052 136.0897
132.202159 78.037 136.0585
132.568370 78.021 136.0266
132.934581 78.006 135.9935
133.300792 77.990 135.9599
133.667003 77.974 135.9261
134.033214 77.959 135.8924
134.399425 77.943 135.8583
134.765636 77.927 135.8237
135.131847 77.911 135.7888
135.498058 77.895 135.7543
135.864269 77.879 135.7208
136.230480 77.862 135.6888
136.596691 77.845 135.6584
136.962902 77.829 135.6291
137.329113 77.812 135.6007
137.695324 77.796 135.5727
138.061535 77.780 135.5450
138.427746 77.764 135.5171
138.793957 77.748 135.4888
139.160168 77.731 135.4600
139.526379 77.715 135.4313
139.892589 77.698 135.4039
140.258800 77.681 135.3793
140.625011 77.664 135.3584
140.991222 77.648 135.3416
141.357433 77.631 135.3277
141.723644 77.616 135.3153
142.089855 77.600 135.3028
142.456066 77.585 135.2889
142.822277 77.571 135.2735
143.188488 77.556 135.2570
143.554699 77.541 135.2402
143.920910 77.526 135.2242
144.287121 77.510 135.2096
144.653332 77.495 135.1965
145.019543 77.480 135.1849
145.385754 77.464 135.1744
145.751965 77.449 135.1650
146.118176 77.434 135.1566
146.484387 77.419 135.1497
146.850598 77.404 135.1446
147.216809 77.389 135.1415
147.583020 77.375 135.1403
147.949231 77.361 135.1407
148.315442 77.347 135.1426
148.681653 77.333 135.1456
149.047864 77.320 135.1495
149.414075 77.308 135.1537
