* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:54:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: High Density Foam Nozzle with Silicon Tips; 
* Measurement: Rosefinch HDF L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 59.682 -118.4574
0.732422 64.154 -143.6310
1.098633 64.853 -172.9244
1.464844 62.919 147.1665
1.831055 61.145 77.6179
2.197266 65.280 13.6199
2.563477 69.121 -20.1398
2.929688 71.198 -41.4818
3.295899 72.027 -54.9349
3.662110 72.258 -60.5031
4.028321 72.774 -59.4944
4.394532 74.049 -57.7134
4.760743 75.602 -59.6696
5.126954 76.866 -64.7385
5.493164 77.680 -70.6171
5.859375 78.150 -75.5216
6.225586 78.502 -78.7676
6.591797 78.936 -80.9230
6.958008 79.493 -83.1767
7.324219 80.065 -86.2059
7.690430 80.538 -89.8005
8.056641 80.882 -93.3422
8.422852 81.144 -96.3730
8.789063 81.396 -98.8713
9.155274 81.674 -101.1486
9.521485 81.961 -103.5031
9.887696 82.216 -105.9758
10.253907 82.351 -108.4034
10.620118 82.417 -110.6244
10.986329 82.471 -112.6207
11.352540 82.525 -114.4966
11.718751 82.573 -116.3518
12.084962 82.605 -118.1951
12.451173 82.619 -119.9705
12.817384 82.666 -121.6389
13.183595 82.718 -123.2253
13.549806 82.766 -124.7863
13.916017 82.805 -126.3480
14.282228 82.830 -127.8855
14.648439 82.846 -129.3599
15.014650 82.859 -130.7646
15.380861 82.874 -132.1340
15.747072 82.889 -133.5046
16.113283 82.903 -134.8765
16.479493 82.919 -136.2146
16.845704 82.930 -137.4851
17.211915 82.942 -138.6877
17.578126 82.958 -139.8510
17.944337 82.975 -141.0024
18.310548 82.989 -142.1437
18.676759 82.998 -143.2550
19.042970 83.004 -144.3197
19.409181 83.007 -145.3389
19.775392 83.010 -146.3253
20.141603 83.011 -147.2870
20.507814 83.012 -148.2204
20.874025 83.010 -149.1206
21.240236 83.008 -149.9935
21.606447 83.006 -150.8547
21.972658 83.002 -151.7162
22.338869 82.995 -152.5748
22.705080 82.983 -153.4144
23.071291 82.970 -154.2236
23.437502 82.957 -155.0051
23.803713 82.946 -155.7723
24.169924 82.937 -156.5391
24.536135 82.928 -157.3068
24.902346 82.917 -158.0681
25.268557 82.905 -158.8137
25.634768 82.893 -159.5405
26.000979 82.881 -160.2483
26.367190 82.869 -160.9373
26.733401 82.857 -161.6068
27.099612 82.846 -162.2564
27.465823 82.836 -162.8909
27.832033 82.826 -163.5152
28.198244 82.817 -164.1333
28.564455 82.806 -164.7448
28.930666 82.795 -165.3459
29.296877 82.781 -165.9355
29.663088 82.767 -166.5143
30.029299 82.752 -167.0828
30.395510 82.736 -167.6395
30.761721 82.720 -168.1835
31.127932 82.703 -168.7172
31.494143 82.687 -169.2444
31.860354 82.671 -169.7693
32.226565 82.654 -170.2910
32.592776 82.636 -170.8056
32.958987 82.618 -171.3086
33.325198 82.600 -171.8004
33.691409 82.584 -172.2857
34.057620 82.569 -172.7695
34.423831 82.554 -173.2530
34.790042 82.538 -173.7340
35.156253 82.522 -174.2095
35.522464 82.506 -174.6782
35.888675 82.488 -175.1400
36.254886 82.470 -175.5930
36.621097 82.451 -176.0336
36.987308 82.432 -176.4579
37.353519 82.414 -176.8678
37.719730 82.397 -177.2689
38.085941 82.381 -177.6688
38.452152 82.366 -178.0723
38.818363 82.350 -178.4784
39.184573 82.333 -178.8826
39.550784 82.316 -179.2819
39.916995 82.298 -179.6749
40.283206 82.281 179.9369
40.649417 82.264 179.5522
41.015628 82.247 179.1721
41.381839 82.229 178.7974
41.748050 82.212 178.4291
42.114261 82.195 178.0668
42.480472 82.178 177.7090
42.846683 82.162 177.3544
43.212894 82.145 177.0020
43.579105 82.128 176.6525
43.945316 82.111 176.3070
44.311527 82.094 175.9672
44.677738 82.076 175.6334
45.043949 82.059 175.3052
45.410160 82.042 174.9810
45.776371 82.025 174.6584
46.142582 82.008 174.3373
46.508793 81.990 174.0186
46.875004 81.973 173.7034
47.241215 81.955 173.3923
47.607426 81.937 173.0845
47.973637 81.919 172.7796
48.339848 81.901 172.4783
48.706059 81.883 172.1815
49.072270 81.865 171.8898
49.438481 81.848 171.6016
49.804692 81.831 171.3146
50.170902 81.815 171.0272
50.537113 81.798 170.7400
50.903324 81.782 170.4551
51.269535 81.764 170.1741
51.635746 81.747 169.8973
52.001957 81.730 169.6240
52.368168 81.713 169.3533
52.734379 81.695 169.0864
53.100590 81.678 168.8244
53.466801 81.661 168.5667
53.833012 81.644 168.3107
54.199223 81.628 168.0536
54.565434 81.611 167.7941
54.931645 81.594 167.5339
55.297856 81.576 167.2764
55.664067 81.558 167.0239
56.030278 81.540 166.7773
56.396489 81.522 166.5347
56.762700 81.505 166.2945
57.128911 81.487 166.0562
57.495122 81.470 165.8208
57.861333 81.452 165.5889
58.227544 81.435 165.3601
58.593755 81.419 165.1326
58.959966 81.403 164.9048
59.326177 81.387 164.6763
59.692388 81.370 164.4478
60.058599 81.353 164.2212
60.424810 81.336 163.9977
60.791021 81.318 163.7776
61.157232 81.301 163.5603
61.523442 81.283 163.3453
61.889653 81.265 163.1328
62.255864 81.247 162.9234
62.622075 81.229 162.7175
62.988286 81.210 162.5145
63.354497 81.192 162.3130
63.720708 81.174 162.1116
64.086919 81.156 161.9096
64.453130 81.137 161.7076
64.819341 81.118 161.5066
65.185552 81.099 161.3077
65.551763 81.080 161.1113
65.917974 81.061 160.9175
66.284185 81.041 160.7265
66.650396 81.022 160.5385
67.016607 81.003 160.3531
67.382818 80.984 160.1698
67.749029 80.966 159.9877
68.115240 80.947 159.8065
68.481451 80.929 159.6259
68.847662 80.910 159.4465
69.213873 80.892 159.2681
69.580084 80.874 159.0900
69.946295 80.856 158.9122
70.312506 80.837 158.7350
70.678717 80.818 158.5596
71.044928 80.800 158.3872
71.411139 80.781 158.2179
71.777350 80.763 158.0510
72.143561 80.744 157.8849
72.509771 80.726 157.7189
72.875982 80.708 157.5529
73.242193 80.690 157.3881
73.608404 80.672 157.2250
73.974615 80.654 157.0637
74.340826 80.636 156.9033
74.707037 80.618 156.7436
75.073248 80.600 156.5847
75.439459 80.582 156.4272
75.805670 80.564 156.2715
76.171881 80.546 156.1171
76.538092 80.527 155.9631
76.904303 80.509 155.8090
77.270514 80.491 155.6552
77.636725 80.472 155.5027
78.002936 80.453 155.3527
78.369147 80.434 155.2057
78.735358 80.415 155.0610
79.101569 80.396 154.9176
79.467780 80.378 154.7747
79.833991 80.359 154.6317
80.200202 80.341 154.4890
80.566413 80.323 154.3469
80.932624 80.304 154.2061
81.298835 80.286 154.0663
81.665046 80.268 153.9279
82.031257 80.250 153.7904
82.397468 80.231 153.6541
82.763679 80.213 153.5190
83.129890 80.195 153.3853
83.496101 80.177 153.2527
83.862311 80.159 153.1215
84.228522 80.141 152.9910
84.594733 80.124 152.8613
84.960944 80.106 152.7326
85.327155 80.087 152.6053
85.693366 80.069 152.4799
86.059577 80.051 152.3568
86.425788 80.033 152.2355
86.791999 80.016 152.1147
87.158210 79.998 151.9932
87.524421 79.981 151.8703
87.890632 79.963 151.7469
88.256843 79.945 151.6245
88.623054 79.926 151.5047
88.989265 79.908 151.3878
89.355476 79.890 151.2723
89.721687 79.873 151.1565
90.087898 79.856 151.0391
90.454109 79.838 150.9203
90.820320 79.820 150.8022
91.186531 79.802 150.6866
91.552742 79.785 150.5738
91.918953 79.767 150.4631
92.285164 79.749 150.3529
92.651375 79.732 150.2425
93.017586 79.715 150.1319
93.383797 79.698 150.0218
93.750008 79.680 149.9128
94.116219 79.663 149.8049
94.482430 79.645 149.6981
94.848641 79.628 149.5925
95.214851 79.610 149.4887
95.581062 79.592 149.3872
95.947273 79.575 149.2878
96.313484 79.558 149.1893
96.679695 79.541 149.0901
97.045906 79.524 148.9896
97.412117 79.507 148.8884
97.778328 79.489 148.7883
98.144539 79.472 148.6908
98.510750 79.454 148.5959
98.876961 79.437 148.5022
99.243172 79.420 148.4078
99.609383 79.404 148.3116
99.975594 79.387 148.2142
100.341805 79.369 148.1172
100.708016 79.352 148.0224
101.074227 79.335 147.9301
101.440438 79.317 147.8392
101.806649 79.301 147.7482
102.172860 79.284 147.6559
102.539071 79.267 147.5625
102.905282 79.250 147.4692
103.271493 79.233 147.3776
103.637704 79.216 147.2881
104.003915 79.199 147.2004
104.370126 79.182 147.1135
104.736337 79.165 147.0263
105.102548 79.149 146.9387
105.468759 79.132 146.8515
105.834970 79.115 146.7654
106.201180 79.098 146.6807
106.567391 79.081 146.5972
106.933602 79.065 146.5140
107.299813 79.048 146.4309
107.666024 79.031 146.3479
108.032235 79.014 146.2656
108.398446 78.998 146.1847
108.764657 78.981 146.1052
109.130868 78.964 146.0268
109.497079 78.948 145.9487
109.863290 78.931 145.8704
110.229501 78.915 145.7917
110.595712 78.899 145.7127
110.961923 78.883 145.6335
111.328134 78.866 145.5543
111.694345 78.850 145.4750
112.060556 78.834 145.3961
112.426767 78.817 145.3181
112.792978 78.800 145.2420
113.159189 78.783 145.1684
113.525400 78.767 145.0972
113.891611 78.750 145.0275
114.257822 78.734 144.9584
114.624033 78.718 144.8892
114.990244 78.702 144.8199
115.356455 78.686 144.7512
115.722666 78.670 144.6838
116.088877 78.654 144.6179
116.455088 78.638 144.5527
116.821299 78.622 144.4872
117.187510 78.607 144.4202
117.553720 78.591 144.3514
117.919931 78.575 144.2816
118.286142 78.559 144.2125
118.652353 78.543 144.1453
119.018564 78.526 144.0809
119.384775 78.510 144.0189
119.750986 78.494 143.9581
120.117197 78.478 143.8972
120.483408 78.462 143.8354
120.849619 78.447 143.7726
121.215830 78.431 143.7097
121.582041 78.415 143.6472
121.948252 78.400 143.5860
122.314463 78.384 143.5259
122.680674 78.368 143.4665
123.046885 78.353 143.4070
123.413096 78.338 143.3466
123.779307 78.323 143.2852
124.145518 78.308 143.2230
124.511729 78.292 143.1610
124.877940 78.277 143.1003
125.244151 78.261 143.0418
125.610362 78.246 142.9857
125.976573 78.232 142.9316
126.342784 78.217 142.8785
126.708995 78.203 142.8250
127.075206 78.190 142.7703
127.441417 78.176 142.7141
127.807628 78.163 142.6564
128.173839 78.149 142.5980
128.540049 78.135 142.5397
128.906260 78.121 142.4822
129.272471 78.107 142.4260
129.638682 78.093 142.3710
130.004893 78.079 142.3170
130.371104 78.066 142.2637
130.737315 78.052 142.2108
131.103526 78.039 142.1579
131.469737 78.025 142.1050
131.835948 78.012 142.0524
132.202159 77.998 142.0008
132.568370 77.985 141.9504
132.934581 77.971 141.9017
133.300792 77.958 141.8544
133.667003 77.944 141.8078
134.033214 77.931 141.7614
134.399425 77.918 141.7142
134.765636 77.905 141.6663
135.131847 77.892 141.6176
135.498058 77.879 141.5685
135.864269 77.865 141.5197
136.230480 77.852 141.4717
136.596691 77.838 141.4249
136.962902 77.824 141.3796
137.329113 77.810 141.3354
137.695324 77.796 141.2924
138.061535 77.782 141.2498
138.427746 77.768 141.2072
138.793957 77.755 141.1642
139.160168 77.742 141.1204
139.526379 77.729 141.0755
139.892589 77.715 141.0297
140.258800 77.702 140.9832
140.625011 77.689 140.9365
140.991222 77.675 140.8900
141.357433 77.661 140.8441
141.723644 77.648 140.7994
142.089855 77.634 140.7560
142.456066 77.620 140.7141
142.822277 77.607 140.6736
143.188488 77.593 140.6343
143.554699 77.580 140.5958
143.920910 77.567 140.5577
144.287121 77.554 140.5196
144.653332 77.541 140.4814
145.019543 77.528 140.4430
145.385754 77.516 140.4048
145.751965 77.503 140.3669
146.118176 77.490 140.3296
146.484387 77.477 140.2929
146.850598 77.464 140.2570
147.216809 77.451 140.2213
147.583020 77.439 140.1859
147.949231 77.426 140.1504
148.315442 77.413 140.1147
148.681653 77.401 140.0786
149.047864 77.388 140.0423
149.414075 77.376 140.0057
149.780286 77.363 139.9688
