* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 1, 2023 8:57:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RF v.Micro Tape .n450 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.981 -56.8979
0.732422 69.051 -104.2769
1.098633 69.072 -146.0299
1.464844 67.651 170.2733
1.831055 65.492 113.4874
2.197266 66.139 45.7079
2.563477 68.961 -2.9979
2.929688 70.796 -34.6555
3.295899 71.232 -56.0620
3.662110 70.566 -67.2065
4.028321 69.828 -65.3285
4.394532 70.739 -56.7855
4.760743 72.804 -55.2190
5.126954 74.525 -60.6880
5.493164 75.503 -68.3317
5.859375 75.878 -74.8297
6.225586 75.985 -78.5505
6.591797 76.209 -79.8918
6.958008 76.711 -80.9761
7.324219 77.322 -83.4677
7.690430 77.804 -87.2610
8.056641 78.064 -91.2827
8.422852 78.160 -94.5723
8.789063 78.222 -96.8634
9.155274 78.346 -98.6163
9.521485 78.529 -100.4766
9.887696 78.700 -102.6819
10.253907 78.810 -105.0075
10.620118 78.863 -107.1215
10.986329 78.899 -108.9025
11.352540 78.948 -110.4828
11.718751 79.010 -112.0509
12.084962 79.065 -113.6602
12.451173 79.103 -115.2316
12.817384 79.135 -116.6924
13.183595 79.172 -118.0713
13.549806 79.217 -119.4542
13.916017 79.258 -120.8768
14.282228 79.288 -122.2825
14.648439 79.309 -123.5906
15.014650 79.337 -124.7872
15.380861 79.378 -125.9414
15.747072 79.428 -127.1301
16.113283 79.474 -128.3610
16.479493 79.510 -129.5703
16.845704 79.538 -130.6927
17.211915 79.570 -131.7219
17.578126 79.609 -132.7070
17.944337 79.652 -133.6964
18.310548 79.690 -134.6927
18.676759 79.722 -135.6626
19.042970 79.749 -136.5792
19.409181 79.775 -137.4497
19.775392 79.802 -138.3010
20.141603 79.827 -139.1490
20.507814 79.848 -139.9862
20.874025 79.865 -140.7991
21.240236 79.881 -141.5896
21.606447 79.897 -142.3752
21.972658 79.912 -143.1697
22.338869 79.924 -143.9669
22.705080 79.932 -144.7496
23.071291 79.939 -145.5090
23.437502 79.949 -146.2556
23.803713 79.961 -147.0082
24.169924 79.972 -147.7732
24.536135 79.980 -148.5380
24.902346 79.987 -149.2849
25.268557 79.994 -150.0073
25.634768 80.002 -150.7135
26.000979 80.012 -151.4155
26.367190 80.021 -152.1153
26.733401 80.029 -152.8043
27.099612 80.036 -153.4753
27.465823 80.042 -154.1284
27.832033 80.049 -154.7717
28.198244 80.055 -155.4104
28.564455 80.060 -156.0429
28.930666 80.063 -156.6639
29.296877 80.066 -157.2733
29.663088 80.069 -157.8774
30.029299 80.070 -158.4806
30.395510 80.070 -159.0822
30.761721 80.069 -159.6760
31.127932 80.068 -160.2586
31.494143 80.066 -160.8340
31.860354 80.066 -161.4096
32.226565 80.065 -161.9888
32.592776 80.064 -162.5677
32.958987 80.061 -163.1388
33.325198 80.058 -163.6981
33.691409 80.056 -164.2487
34.057620 80.055 -164.7953
34.423831 80.054 -165.3403
34.790042 80.051 -165.8806
35.156253 80.049 -166.4119
35.522464 80.046 -166.9330
35.888675 80.043 -167.4456
36.254886 80.039 -167.9518
36.621097 80.036 -168.4524
36.987308 80.032 -168.9465
37.353519 80.027 -169.4344
37.719730 80.023 -169.9178
38.085941 80.017 -170.3979
38.452152 80.011 -170.8737
38.818363 80.005 -171.3434
39.184573 79.998 -171.8069
39.550784 79.991 -172.2667
39.916995 79.984 -172.7255
40.283206 79.977 -173.1835
40.649417 79.969 -173.6377
41.015628 79.961 -174.0850
41.381839 79.953 -174.5249
41.748050 79.945 -174.9600
42.114261 79.937 -175.3936
42.480472 79.930 -175.8254
42.846683 79.922 -176.2530
43.212894 79.913 -176.6738
43.579105 79.904 -177.0874
43.945316 79.896 -177.4957
44.311527 79.887 -177.9006
44.677738 79.878 -178.3025
45.043949 79.869 -178.6996
45.410160 79.859 -179.0908
45.776371 79.849 -179.4754
46.142582 79.838 -179.8545
46.508793 79.828 179.7719
46.875004 79.817 179.4034
47.241215 79.807 179.0388
47.607426 79.796 178.6766
47.973637 79.786 178.3152
48.339848 79.776 177.9540
48.706059 79.764 177.5953
49.072270 79.753 177.2415
49.438481 79.741 176.8938
49.804692 79.729 176.5518
50.170902 79.717 176.2136
50.537113 79.706 175.8782
50.903324 79.694 175.5463
51.269535 79.682 175.2185
51.635746 79.670 174.8951
52.001957 79.658 174.5755
52.368168 79.647 174.2585
52.734379 79.635 173.9441
53.100590 79.623 173.6323
53.466801 79.610 173.3239
53.833012 79.597 173.0199
54.199223 79.584 172.7206
54.565434 79.571 172.4260
54.931645 79.558 172.1353
55.297856 79.546 171.8472
55.664067 79.533 171.5606
56.030278 79.520 171.2749
56.396489 79.507 170.9911
56.762700 79.493 170.7106
57.128911 79.480 170.4342
57.495122 79.466 170.1613
57.861333 79.453 169.8907
58.227544 79.439 169.6219
58.593755 79.425 169.3553
58.959966 79.411 169.0922
59.326177 79.397 168.8335
59.692388 79.382 168.5790
60.058599 79.368 168.3276
60.424810 79.353 168.0789
60.791021 79.339 167.8331
61.157232 79.324 167.5912
61.523442 79.309 167.3530
61.889653 79.295 167.1176
62.255864 79.281 166.8831
62.622075 79.267 166.6486
62.988286 79.253 166.4142
63.354497 79.238 166.1812
63.720708 79.223 165.9509
64.086919 79.208 165.7241
64.453130 79.193 165.5009
64.819341 79.178 165.2810
65.185552 79.163 165.0637
65.551763 79.148 164.8482
65.917974 79.134 164.6338
66.284185 79.119 164.4201
66.650396 79.105 164.2075
67.016607 79.090 163.9968
67.382818 79.074 163.7888
67.749029 79.059 163.5842
68.115240 79.043 163.3835
68.481451 79.028 163.1863
68.847662 79.012 162.9922
69.213873 78.997 162.8002
69.580084 78.982 162.6089
69.946295 78.967 162.4178
70.312506 78.952 162.2267
70.678717 78.936 162.0367
71.044928 78.921 161.8489
71.411139 78.905 161.6640
71.777350 78.889 161.4817
72.143561 78.873 161.3016
72.509771 78.857 161.1232
72.875982 78.842 160.9463
73.242193 78.826 160.7714
73.608404 78.810 160.5979
73.974615 78.795 160.4259
74.340826 78.779 160.2548
74.707037 78.764 160.0850
75.073248 78.748 159.9169
75.439459 78.732 159.7511
75.805670 78.717 159.5878
76.171881 78.701 159.4259
76.538092 78.686 159.2645
76.904303 78.671 159.1027
77.270514 78.655 158.9410
77.636725 78.639 158.7805
78.002936 78.622 158.6228
78.369147 78.606 158.4688
78.735358 78.589 158.3185
79.101569 78.573 158.1705
79.467780 78.557 158.0228
79.833991 78.542 157.8742
80.200202 78.526 157.7244
80.566413 78.510 157.5745
80.932624 78.494 157.4257
81.298835 78.477 157.2795
81.665046 78.461 157.1360
82.031257 78.444 156.9945
82.397468 78.428 156.8542
82.763679 78.412 156.7145
83.129890 78.396 156.5753
83.496101 78.380 156.4373
83.862311 78.364 156.3010
84.228522 78.347 156.1667
84.594733 78.331 156.0345
84.960944 78.315 155.9034
85.327155 78.299 155.7730
85.693366 78.283 155.6429
86.059577 78.267 155.5134
86.425788 78.251 155.3848
86.791999 78.235 155.2576
87.158210 78.218 155.1321
87.524421 78.202 155.0082
87.890632 78.186 154.8859
88.256843 78.169 154.7646
88.623054 78.153 154.6440
88.989265 78.137 154.5238
89.355476 78.121 154.4040
89.721687 78.105 154.2849
90.087898 78.088 154.1671
90.454109 78.072 154.0510
90.820320 78.056 153.9366
91.186531 78.040 153.8234
91.552742 78.024 153.7103
91.918953 78.008 153.5968
92.285164 77.992 153.4830
92.651375 77.976 153.3696
93.017586 77.959 153.2577
93.383797 77.943 153.1482
93.750008 77.927 153.0407
94.116219 77.910 152.9347
94.482430 77.894 152.8292
94.848641 77.879 152.7236
95.214851 77.863 152.6182
95.581062 77.847 152.5131
95.947273 77.831 152.4088
96.313484 77.814 152.3058
96.679695 77.798 152.2043
97.045906 77.782 152.1044
97.412117 77.766 152.0056
97.778328 77.750 151.9077
98.144539 77.734 151.8103
98.510750 77.718 151.7132
98.876961 77.702 151.6165
99.243172 77.686 151.5205
99.609383 77.670 151.4254
99.975594 77.655 151.3312
100.341805 77.639 151.2376
100.708016 77.623 151.1443
101.074227 77.607 151.0510
101.440438 77.591 150.9580
101.806649 77.575 150.8655
102.172860 77.559 150.7741
102.539071 77.543 150.6837
102.905282 77.527 150.5942
103.271493 77.511 150.5057
103.637704 77.495 150.4178
104.003915 77.479 150.3308
104.370126 77.463 150.2448
104.736337 77.447 150.1598
105.102548 77.431 150.0757
105.468759 77.416 149.9924
105.834970 77.400 149.9095
106.201180 77.384 149.8272
106.567391 77.368 149.7455
106.933602 77.352 149.6647
107.299813 77.336 149.5848
107.666024 77.320 149.5053
108.032235 77.305 149.4262
108.398446 77.289 149.3471
108.764657 77.273 149.2681
109.130868 77.257 149.1895
109.497079 77.242 149.1115
109.863290 77.226 149.0346
110.229501 77.210 148.9587
110.595712 77.194 148.8836
110.961923 77.178 148.8087
111.328134 77.163 148.7338
111.694345 77.147 148.6586
112.060556 77.131 148.5834
112.426767 77.116 148.5087
112.792978 77.100 148.4354
113.159189 77.084 148.3635
113.525400 77.068 148.2930
113.891611 77.053 148.2233
114.257822 77.037 148.1542
114.624033 77.022 148.0850
114.990244 77.007 148.0161
115.356455 76.991 147.9473
115.722666 76.976 147.8790
116.088877 76.961 147.8112
116.455088 76.946 147.7437
116.821299 76.930 147.6763
117.187510 76.915 147.6094
117.553720 76.900 147.5431
117.919931 76.884 147.4777
118.286142 76.869 147.4135
118.652353 76.853 147.3503
119.018564 76.838 147.2880
119.384775 76.823 147.2261
119.750986 76.808 147.1646
120.117197 76.793 147.1033
120.483408 76.777 147.0424
120.849619 76.762 146.9821
121.215830 76.747 146.9223
121.582041 76.732 146.8630
121.948252 76.717 146.8041
122.314463 76.702 146.7459
122.680674 76.687 146.6882
123.046885 76.672 146.6313
123.413096 76.657 146.5751
123.779307 76.642 146.5194
124.145518 76.627 146.4640
124.511729 76.612 146.4087
124.877940 76.597 146.3531
125.244151 76.582 146.2973
125.610362 76.567 146.2416
125.976573 76.552 146.1863
126.342784 76.537 146.1316
126.708995 76.522 146.0776
127.075206 76.507 146.0245
127.441417 76.492 145.9720
127.807628 76.477 145.9200
128.173839 76.462 145.8683
128.540049 76.447 145.8170
128.906260 76.432 145.7658
129.272471 76.417 145.7149
129.638682 76.402 145.6641
130.004893 76.387 145.6134
130.371104 76.373 145.5629
130.737315 76.358 145.5128
131.103526 76.343 145.4632
131.469737 76.328 145.4144
131.835948 76.313 145.3665
132.202159 76.299 145.3193
132.568370 76.284 145.2727
132.934581 76.270 145.2263
133.300792 76.255 145.1799
133.667003 76.241 145.1332
134.033214 76.227 145.0863
134.399425 76.212 145.0393
134.765636 76.198 144.9926
135.131847 76.184 144.9461
135.498058 76.169 144.9003
135.864269 76.155 144.8553
136.230480 76.140 144.8109
136.596691 76.126 144.7671
136.962902 76.111 144.7238
137.329113 76.097 144.6807
137.695324 76.082 144.6381
138.061535 76.068 144.5961
138.427746 76.053 144.5547
138.793957 76.039 144.5140
139.160168 76.024 144.4740
139.526379 76.010 144.4345
139.892589 75.996 144.3955
140.258800 75.981 144.3569
140.625011 75.967 144.3187
140.991222 75.953 144.2806
141.357433 75.939 144.2429
141.723644 75.925 144.2052
142.089855 75.911 144.1677
142.456066 75.897 144.1301
142.822277 75.883 144.0928
143.188488 75.869 144.0556
143.554699 75.855 144.0187
143.920910 75.841 143.9821
144.287121 75.827 143.9457
144.653332 75.813 143.9097
145.019543 75.799 143.8740
145.385754 75.786 143.8387
145.751965 75.772 143.8038
146.118176 75.758 143.7692
146.484387 75.745 143.7347
146.850598 75.731 143.7001
147.216809 75.717 143.6652
147.583020 75.704 143.6302
147.949231 75.690 143.5955
148.315442 75.676 143.5613
148.681653 75.662 143.5279
149.047864 75.648 143.4954
149.414075 75.634 143.4637
