* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 1, 2023 8:56:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RF v.Micro Tape .n450 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 75.321 -36.5297
0.732422 74.033 -74.0447
1.098633 71.669 -114.6342
1.464844 68.014 -164.8217
1.831055 65.080 120.0918
2.197266 67.584 47.3895
2.563477 70.544 2.2844
2.929688 72.019 -29.9965
3.295899 72.151 -54.3817
3.662110 71.162 -69.7875
4.028321 69.805 -71.6483
4.394532 70.122 -62.3774
4.760743 72.254 -59.2137
5.126954 74.222 -65.0513
5.493164 75.371 -74.0083
5.859375 75.791 -82.0059
6.225586 75.813 -86.8086
6.591797 75.887 -88.2380
6.958008 76.304 -88.5476
7.324219 76.931 -90.2209
7.690430 77.457 -93.6123
8.056641 77.723 -97.5605
8.422852 77.767 -100.8166
8.789063 77.738 -102.8618
9.155274 77.777 -104.1248
9.521485 77.906 -105.4567
9.887696 78.047 -107.3016
10.253907 78.128 -109.4739
10.620118 78.141 -111.5533
10.986329 78.130 -113.3208
11.352540 78.138 -114.8758
11.718751 78.171 -116.4325
12.084962 78.210 -118.0690
12.451173 78.240 -119.6967
12.817384 78.270 -121.2173
13.183595 78.314 -122.6491
13.549806 78.374 -124.0864
13.916017 78.432 -125.5658
14.282228 78.475 -127.0089
14.648439 78.508 -128.3033
15.014650 78.547 -129.4236
15.380861 78.602 -130.4601
15.747072 78.667 -131.5269
16.113283 78.724 -132.6511
16.479493 78.763 -133.7614
16.845704 78.787 -134.7720
17.211915 78.809 -135.6692
17.578126 78.838 -136.5176
17.944337 78.871 -137.3910
18.310548 78.898 -138.3077
18.676759 78.915 -139.2326
19.042970 78.926 -140.1284
19.409181 78.936 -140.9944
19.775392 78.948 -141.8565
20.141603 78.959 -142.7314
20.507814 78.969 -143.6090
20.874025 78.978 -144.4702
21.240236 78.989 -145.3135
21.606447 79.003 -146.1561
21.972658 79.017 -147.0096
22.338869 79.030 -147.8616
22.705080 79.039 -148.6847
23.071291 79.048 -149.4641
23.437502 79.061 -150.2124
23.803713 79.077 -150.9559
24.169924 79.092 -151.7076
24.536135 79.103 -152.4558
24.902346 79.110 -153.1791
25.268557 79.116 -153.8684
25.634768 79.122 -154.5356
26.000979 79.128 -155.1990
26.367190 79.133 -155.8660
26.733401 79.136 -156.5313
27.099612 79.136 -157.1875
27.465823 79.136 -157.8351
27.832033 79.135 -158.4817
28.198244 79.133 -159.1293
28.564455 79.131 -159.7733
28.930666 79.127 -160.4069
29.296877 79.125 -161.0317
29.663088 79.125 -161.6569
30.029299 79.125 -162.2892
30.395510 79.124 -162.9235
30.761721 79.121 -163.5469
31.127932 79.118 -164.1507
31.494143 79.116 -164.7379
31.860354 79.116 -165.3194
32.226565 79.117 -165.9030
32.592776 79.116 -166.4853
32.958987 79.113 -167.0563
33.325198 79.108 -167.6093
33.691409 79.104 -168.1472
34.057620 79.101 -168.6771
34.423831 79.097 -169.2047
34.790042 79.092 -169.7294
35.156253 79.086 -170.2485
35.522464 79.079 -170.7607
35.888675 79.072 -171.2683
36.254886 79.064 -171.7727
36.621097 79.056 -172.2731
36.987308 79.047 -172.7673
37.353519 79.039 -173.2561
37.719730 79.030 -173.7418
38.085941 79.022 -174.2269
38.452152 79.013 -174.7101
38.818363 79.004 -175.1873
39.184573 78.994 -175.6556
39.550784 78.985 -176.1168
39.916995 78.977 -176.5749
40.283206 78.968 -177.0323
40.649417 78.959 -177.4869
41.015628 78.949 -177.9338
41.381839 78.939 -178.3704
41.748050 78.928 -178.7975
42.114261 78.918 -179.2188
42.480472 78.908 -179.6364
42.846683 78.898 179.9501
43.212894 78.887 179.5419
43.579105 78.876 179.1396
43.945316 78.864 178.7419
44.311527 78.853 178.3483
44.677738 78.841 177.9596
45.043949 78.829 177.5762
45.410160 78.817 177.1981
45.776371 78.805 176.8237
46.142582 78.793 176.4516
46.508793 78.780 176.0821
46.875004 78.767 175.7167
47.241215 78.754 175.3572
47.607426 78.741 175.0029
47.973637 78.728 174.6522
48.339848 78.715 174.3040
48.706059 78.701 173.9591
49.072270 78.687 173.6193
49.438481 78.673 173.2858
49.804692 78.658 172.9576
50.170902 78.644 172.6340
50.537113 78.630 172.3142
50.903324 78.615 171.9984
51.269535 78.601 171.6865
51.635746 78.587 171.3776
52.001957 78.573 171.0706
52.368168 78.559 170.7649
52.734379 78.544 170.4620
53.100590 78.530 170.1633
53.466801 78.515 169.8693
53.833012 78.500 169.5790
54.199223 78.485 169.2913
54.565434 78.470 169.0056
54.931645 78.455 168.7235
55.297856 78.439 168.4468
55.664067 78.424 168.1760
56.030278 78.408 167.9105
56.396489 78.393 167.6484
56.762700 78.378 167.3880
57.128911 78.362 167.1289
57.495122 78.347 166.8715
57.861333 78.331 166.6168
58.227544 78.315 166.3655
58.593755 78.299 166.1180
58.959966 78.283 165.8734
59.326177 78.267 165.6310
59.692388 78.251 165.3901
60.058599 78.234 165.1509
60.424810 78.218 164.9148
60.791021 78.201 164.6832
61.157232 78.184 164.4559
61.523442 78.168 164.2315
61.889653 78.152 164.0081
62.255864 78.136 163.7845
62.622075 78.120 163.5619
62.988286 78.104 163.3419
63.354497 78.087 163.1260
63.720708 78.070 162.9139
64.086919 78.054 162.7046
64.453130 78.037 162.4969
64.819341 78.021 162.2913
65.185552 78.004 162.0883
65.551763 77.987 161.8885
65.917974 77.970 161.6916
66.284185 77.953 161.4969
66.650396 77.936 161.3039
67.016607 77.919 161.1124
67.382818 77.902 160.9227
67.749029 77.884 160.7349
68.115240 77.867 160.5488
68.481451 77.850 160.3640
68.847662 77.833 160.1808
69.213873 77.816 159.9993
69.580084 77.799 159.8198
69.946295 77.781 159.6423
70.312506 77.764 159.4667
70.678717 77.747 159.2925
71.044928 77.730 159.1198
71.411139 77.712 158.9487
71.777350 77.695 158.7792
72.143561 77.678 158.6115
72.509771 77.660 158.4456
72.875982 77.643 158.2820
73.242193 77.626 158.1210
73.608404 77.608 157.9618
73.974615 77.591 157.8043
74.340826 77.574 157.6478
74.707037 77.556 157.4926
75.073248 77.539 157.3387
75.439459 77.521 157.1867
75.805670 77.504 157.0364
76.171881 77.486 156.8876
76.538092 77.469 156.7401
76.904303 77.451 156.5938
77.270514 77.434 156.4488
77.636725 77.417 156.3051
78.002936 77.399 156.1626
78.369147 77.382 156.0208
78.735358 77.365 155.8790
79.101569 77.348 155.7371
79.467780 77.330 155.5958
79.833991 77.312 155.4561
80.200202 77.295 155.3190
80.566413 77.276 155.1851
80.932624 77.259 155.0543
81.298835 77.241 154.9253
81.665046 77.224 154.7967
82.031257 77.206 154.6678
82.397468 77.189 154.5391
82.763679 77.171 154.4122
83.129890 77.153 154.2880
83.496101 77.135 154.1670
83.862311 77.118 154.0479
84.228522 77.101 153.9293
84.594733 77.084 153.8103
84.960944 77.066 153.6909
85.327155 77.049 153.5723
85.693366 77.032 153.4553
86.059577 77.014 153.3397
86.425788 76.997 153.2250
86.791999 76.980 153.1102
87.158210 76.962 152.9953
87.524421 76.945 152.8809
87.890632 76.927 152.7679
88.256843 76.909 152.6570
88.623054 76.891 152.5481
88.989265 76.873 152.4405
89.355476 76.856 152.3336
89.721687 76.838 152.2269
90.087898 76.821 152.1206
90.454109 76.803 152.0150
90.820320 76.786 151.9102
91.186531 76.768 151.8062
91.552742 76.751 151.7026
91.918953 76.733 151.5992
92.285164 76.716 151.4965
92.651375 76.698 151.3950
93.017586 76.681 151.2950
93.383797 76.663 151.1971
93.750008 76.646 151.1012
94.116219 76.628 151.0071
94.482430 76.611 150.9144
94.848641 76.594 150.8230
95.214851 76.577 150.7324
95.581062 76.560 150.6423
95.947273 76.543 150.5525
96.313484 76.526 150.4628
96.679695 76.509 150.3735
97.045906 76.492 150.2849
97.412117 76.475 150.1972
97.778328 76.458 150.1106
98.144539 76.441 150.0248
98.510750 76.424 149.9396
98.876961 76.407 149.8549
99.243172 76.390 149.7705
99.609383 76.373 149.6868
99.975594 76.355 149.6038
100.341805 76.338 149.5217
100.708016 76.321 149.4401
101.074227 76.305 149.3585
101.440438 76.288 149.2767
101.806649 76.271 149.1946
102.172860 76.254 149.1125
102.539071 76.237 149.0311
102.905282 76.220 148.9505
103.271493 76.204 148.8708
103.637704 76.187 148.7923
104.003915 76.170 148.7146
104.370126 76.153 148.6379
104.736337 76.136 148.5624
105.102548 76.118 148.4882
105.468759 76.102 148.4155
105.834970 76.085 148.3437
106.201180 76.068 148.2728
106.567391 76.051 148.2024
106.933602 76.034 148.1324
107.299813 76.018 148.0627
107.666024 76.001 147.9933
108.032235 75.984 147.9244
108.398446 75.968 147.8560
108.764657 75.951 147.7883
109.130868 75.934 147.7214
109.497079 75.918 147.6553
109.863290 75.901 147.5897
110.229501 75.885 147.5244
110.595712 75.868 147.4589
110.961923 75.852 147.3934
111.328134 75.836 147.3278
111.694345 75.819 147.2626
112.060556 75.803 147.1979
112.426767 75.786 147.1343
112.792978 75.770 147.0717
113.159189 75.753 147.0101
113.525400 75.737 146.9495
113.891611 75.720 146.8896
114.257822 75.704 146.8305
114.624033 75.688 146.7717
114.990244 75.672 146.7133
115.356455 75.655 146.6550
115.722666 75.639 146.5971
116.088877 75.623 146.5397
116.455088 75.607 146.4833
116.821299 75.590 146.4283
117.187510 75.574 146.3745
117.553720 75.558 146.3217
117.919931 75.542 146.2697
118.286142 75.526 146.2179
118.652353 75.510 146.1661
119.018564 75.494 146.1143
119.384775 75.478 146.0623
119.750986 75.463 146.0102
120.117197 75.447 145.9581
120.483408 75.431 145.9061
120.849619 75.415 145.8544
121.215830 75.399 145.8031
121.582041 75.383 145.7524
121.948252 75.367 145.7025
122.314463 75.351 145.6534
122.680674 75.335 145.6049
123.046885 75.319 145.5569
123.413096 75.303 145.5095
123.779307 75.287 145.4625
124.145518 75.271 145.4159
124.511729 75.255 145.3696
124.877940 75.240 145.3234
125.244151 75.224 145.2775
125.610362 75.208 145.2319
125.976573 75.192 145.1868
126.342784 75.177 145.1424
126.708995 75.161 145.0988
127.075206 75.146 145.0558
127.441417 75.130 145.0131
127.807628 75.115 144.9706
128.173839 75.100 144.9279
128.540049 75.084 144.8851
128.906260 75.069 144.8425
129.272471 75.054 144.8003
129.638682 75.038 144.7589
130.004893 75.023 144.7183
130.371104 75.007 144.6787
130.737315 74.992 144.6397
131.103526 74.977 144.6012
131.469737 74.961 144.5628
131.835948 74.946 144.5247
132.202159 74.931 144.4865
132.568370 74.916 144.4485
132.934581 74.901 144.4108
133.300792 74.886 144.3732
133.667003 74.871 144.3358
134.033214 74.856 144.2989
134.399425 74.841 144.2626
134.765636 74.826 144.2272
135.131847 74.811 144.1926
135.498058 74.796 144.1584
135.864269 74.781 144.1245
136.230480 74.766 144.0902
136.596691 74.751 144.0557
136.962902 74.737 144.0210
137.329113 74.722 143.9866
137.695324 74.707 143.9527
138.061535 74.692 143.9194
138.427746 74.677 143.8868
138.793957 74.663 143.8546
139.160168 74.648 143.8226
139.526379 74.633 143.7907
139.892589 74.618 143.7591
140.258800 74.604 143.7278
140.625011 74.589 143.6971
140.991222 74.574 143.6669
141.357433 74.559 143.6376
141.723644 74.545 143.6090
142.089855 74.530 143.5812
142.456066 74.515 143.5538
142.822277 74.501 143.5269
143.188488 74.487 143.4999
143.554699 74.472 143.4728
143.920910 74.458 143.4454
144.287121 74.444 143.4177
144.653332 74.430 143.3897
145.019543 74.415 143.3616
145.385754 74.401 143.3336
145.751965 74.386 143.3060
146.118176 74.372 143.2791
146.484387 74.357 143.2527
146.850598 74.343 143.2272
147.216809 74.328 143.2021
147.583020 74.314 143.1778
147.949231 74.299 143.1539
148.315442 74.285 143.1305
148.681653 74.271 143.1074
149.047864 74.257 143.0846
149.414075 74.242 143.0618
149.780286 74.229 143.0389
