* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 30, 2023 10:38:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Rosefinch High Density Foam in the nozzle with Dual Vent Bloack and Silicone Tips; 
* Measurement: Rosefinch HDF Dual V Sil R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 81.833 -36.5401
0.732422 80.675 -73.2913
1.098633 78.410 -111.2505
1.464844 74.296 -155.0999
1.831055 68.253 127.0272
2.197266 72.353 30.9404
2.563477 77.065 -12.9152
2.929688 79.375 -42.6200
3.295899 80.133 -65.3333
3.662110 79.780 -80.7617
4.028321 78.934 -86.2490
4.394532 78.890 -82.3694
4.760743 80.259 -79.2872
5.126954 81.905 -82.8646
5.493164 83.014 -90.1959
5.859375 83.487 -97.6165
6.225586 83.537 -102.7480
6.591797 83.537 -104.8847
6.958008 83.795 -105.4747
7.324219 84.292 -106.8084
7.690430 84.772 -109.7148
8.056641 85.051 -113.4276
8.422852 85.121 -116.7943
8.789063 85.097 -119.1721
9.155274 85.112 -120.7598
9.521485 85.210 -122.2692
9.887696 85.332 -124.1937
10.253907 85.338 -126.4669
10.620118 85.250 -128.7253
10.986329 85.133 -130.7189
11.352540 85.027 -132.4846
11.718751 84.945 -134.2111
12.084962 84.869 -135.9966
12.451173 84.786 -137.7748
12.817384 84.746 -139.4387
13.183595 84.725 -140.9829
13.549806 84.718 -142.5004
13.916017 84.714 -144.0599
14.282228 84.696 -145.6163
14.648439 84.663 -147.0580
15.014650 84.630 -148.3281
15.380861 84.611 -149.4885
15.747072 84.606 -150.6578
16.113283 84.604 -151.8950
16.479493 84.597 -153.1520
16.845704 84.575 -154.3365
17.211915 84.549 -155.4069
17.578126 84.530 -156.4071
17.944337 84.520 -157.4136
18.310548 84.509 -158.4617
18.676759 84.491 -159.5246
19.042970 84.468 -160.5572
19.409181 84.444 -161.5446
19.775392 84.425 -162.5098
20.141603 84.409 -163.4771
20.507814 84.394 -164.4440
20.874025 84.378 -165.3873
21.240236 84.363 -166.2943
21.606447 84.351 -167.1750
21.972658 84.341 -168.0475
22.338869 84.331 -168.9140
22.705080 84.319 -169.7586
23.071291 84.306 -170.5666
23.437502 84.293 -171.3422
23.803713 84.282 -172.1025
24.169924 84.269 -172.8562
24.536135 84.253 -173.5912
24.902346 84.234 -174.2897
25.268557 84.217 -174.9507
25.634768 84.202 -175.5975
26.000979 84.190 -176.2565
26.367190 84.176 -176.9357
26.733401 84.156 -177.6177
27.099612 84.133 -178.2789
27.465823 84.109 -178.9111
27.832033 84.086 -179.5258
28.198244 84.066 179.8609
28.564455 84.045 179.2440
28.930666 84.023 178.6312
29.296877 84.000 178.0317
29.663088 83.978 177.4461
30.029299 83.956 176.8687
30.395510 83.934 176.2974
30.761721 83.912 175.7381
31.127932 83.889 175.1977
31.494143 83.866 174.6762
31.860354 83.845 174.1653
32.226565 83.825 173.6568
32.592776 83.804 173.1492
32.958987 83.782 172.6479
33.325198 83.758 172.1580
33.691409 83.734 171.6791
34.057620 83.710 171.2082
34.423831 83.686 170.7438
34.790042 83.660 170.2878
35.156253 83.635 169.8419
35.522464 83.610 169.4039
35.888675 83.586 168.9690
36.254886 83.562 168.5341
36.621097 83.537 168.1008
36.987308 83.513 167.6719
37.353519 83.488 167.2466
37.719730 83.463 166.8211
38.085941 83.437 166.3947
38.452152 83.409 165.9745
38.818363 83.379 165.5731
39.184573 83.349 165.1981
39.550784 83.321 164.8444
39.916995 83.296 164.4969
40.283206 83.274 164.1411
40.649417 83.252 163.7737
41.015628 83.227 163.4041
41.381839 83.201 163.0445
41.748050 83.174 162.7013
42.114261 83.148 162.3708
42.480472 83.123 162.0439
42.846683 83.100 161.7130
43.212894 83.076 161.3754
43.579105 83.052 161.0341
43.945316 83.025 160.6942
44.311527 82.998 160.3620
44.677738 82.970 160.0414
45.043949 82.942 159.7332
45.410160 82.916 159.4332
45.776371 82.890 159.1349
46.142582 82.866 158.8333
46.508793 82.840 158.5290
46.875004 82.814 158.2274
47.241215 82.787 157.9343
47.607426 82.760 157.6517
47.973637 82.734 157.3765
48.339848 82.708 157.1033
48.706059 82.683 156.8295
49.072270 82.657 156.5561
49.438481 82.631 156.2860
49.804692 82.604 156.0212
50.170902 82.578 155.7610
50.537113 82.552 155.5037
50.903324 82.527 155.2477
51.269535 82.501 154.9925
51.635746 82.475 154.7385
52.001957 82.449 154.4868
52.368168 82.423 154.2390
52.734379 82.396 153.9962
53.100590 82.370 153.7581
53.466801 82.345 153.5220
53.833012 82.320 153.2853
54.199223 82.294 153.0471
54.565434 82.268 152.8097
54.931645 82.242 152.5769
55.297856 82.215 152.3511
55.664067 82.189 152.1310
56.030278 82.163 151.9125
56.396489 82.137 151.6929
56.762700 82.111 151.4733
57.128911 82.083 151.2585
57.495122 82.055 151.0527
57.861333 82.028 150.8569
58.227544 82.002 150.6668
58.593755 81.977 150.4760
58.959966 81.953 150.2794
59.326177 81.929 150.0763
59.692388 81.904 149.8695
60.058599 81.878 149.6644
60.424810 81.852 149.4654
60.791021 81.825 149.2743
61.157232 81.799 149.0901
61.523442 81.773 148.9092
61.889653 81.749 148.7273
62.255864 81.725 148.5422
62.622075 81.700 148.3549
62.988286 81.674 148.1688
63.354497 81.648 147.9875
63.720708 81.621 147.8131
64.086919 81.595 147.6450
64.453130 81.569 147.4804
64.819341 81.544 147.3159
65.185552 81.519 147.1492
65.551763 81.493 146.9802
65.917974 81.467 146.8112
66.284185 81.441 146.6447
66.650396 81.414 146.4829
67.016607 81.388 146.3254
67.382818 81.362 146.1696
67.749029 81.336 146.0122
68.115240 81.310 145.8520
68.481451 81.283 145.6910
68.847662 81.256 145.5339
69.213873 81.228 145.3842
69.580084 81.201 145.2421
69.946295 81.175 145.1041
70.312506 81.150 144.9653
70.678717 81.125 144.8227
71.044928 81.101 144.6768
71.411139 81.076 144.5303
71.777350 81.051 144.3855
72.143561 81.026 144.2433
72.509771 81.001 144.1035
72.875982 80.976 143.9650
73.242193 80.951 143.8281
73.608404 80.926 143.6929
73.974615 80.902 143.5587
74.340826 80.878 143.4236
74.707037 80.853 143.2865
75.073248 80.828 143.1485
75.439459 80.802 143.0140
75.805670 80.775 142.8885
76.171881 80.747 142.7748
76.538092 80.721 142.6705
76.904303 80.697 142.5684
77.270514 80.674 142.4604
77.636725 80.651 142.3428
78.002936 80.626 142.2186
78.369147 80.600 142.0959
78.735358 80.574 141.9830
79.101569 80.547 141.8825
79.467780 80.522 141.7897
79.833991 80.499 141.6953
80.200202 80.478 141.5908
80.566413 80.456 141.4734
80.932624 80.433 141.3470
81.298835 80.409 141.2192
81.665046 80.383 141.0974
82.031257 80.357 140.9849
82.397468 80.332 140.8807
82.763679 80.307 140.7816
83.129890 80.283 140.6838
83.496101 80.260 140.5851
83.862311 80.237 140.4844
84.228522 80.215 140.3818
84.594733 80.192 140.2776
84.960944 80.170 140.1725
85.327155 80.146 140.0679
85.693366 80.123 139.9656
86.059577 80.099 139.8672
86.425788 80.075 139.7734
86.791999 80.052 139.6833
87.158210 80.029 139.5950
87.524421 80.006 139.5065
87.890632 79.983 139.4168
88.256843 79.961 139.3262
88.623054 79.938 139.2360
88.989265 79.915 139.1473
89.355476 79.892 139.0599
89.721687 79.869 138.9722
90.087898 79.847 138.8831
90.454109 79.824 138.7922
90.820320 79.801 138.7007
91.186531 79.778 138.6107
91.552742 79.754 138.5240
91.918953 79.730 138.4409
92.285164 79.707 138.3610
92.651375 79.684 138.2834
93.017586 79.661 138.2074
93.383797 79.638 138.1328
93.750008 79.616 138.0595
94.116219 79.594 137.9871
94.482430 79.573 137.9150
94.848641 79.552 137.8421
95.214851 79.530 137.7678
95.581062 79.509 137.6915
95.947273 79.488 137.6135
96.313484 79.467 137.5346
96.679695 79.445 137.4561
97.045906 79.422 137.3788
97.412117 79.400 137.3035
97.778328 79.378 137.2300
98.144539 79.355 137.1577
98.510750 79.333 137.0860
98.876961 79.311 137.0145
99.243172 79.289 136.9438
99.609383 79.267 136.8743
99.975594 79.244 136.8069
100.341805 79.222 136.7415
100.708016 79.200 136.6779
101.074227 79.179 136.6156
101.440438 79.157 136.5542
101.806649 79.136 136.4936
102.172860 79.115 136.4338
102.539071 79.094 136.3748
102.905282 79.073 136.3169
103.271493 79.053 136.2599
103.637704 79.032 136.2037
104.003915 79.012 136.1479
104.370126 78.992 136.0920
104.736337 78.972 136.0356
105.102548 78.952 135.9784
105.468759 78.932 135.9202
105.834970 78.912 135.8607
106.201180 78.892 135.8002
106.567391 78.872 135.7389
106.933602 78.851 135.6771
107.299813 78.831 135.6155
107.666024 78.810 135.5545
108.032235 78.790 135.4947
108.398446 78.769 135.4362
108.764657 78.748 135.3792
109.130868 78.728 135.3231
109.497079 78.707 135.2680
109.863290 78.686 135.2144
110.229501 78.665 135.1625
110.595712 78.645 135.1131
110.961923 78.624 135.0663
111.328134 78.604 135.0218
111.694345 78.583 134.9790
112.060556 78.563 134.9372
112.426767 78.544 134.8958
112.792978 78.524 134.8543
113.159189 78.505 134.8127
113.525400 78.486 134.7708
113.891611 78.467 134.7283
114.257822 78.448 134.6850
114.624033 78.429 134.6404
114.990244 78.411 134.5942
115.356455 78.392 134.5461
115.722666 78.374 134.4963
116.088877 78.355 134.4451
116.455088 78.337 134.3930
116.821299 78.318 134.3403
117.187510 78.299 134.2875
117.553720 78.280 134.2348
117.919931 78.260 134.1828
118.286142 78.241 134.1321
118.652353 78.221 134.0836
119.018564 78.202 134.0377
119.384775 78.182 133.9944
119.750986 78.163 133.9535
120.117197 78.143 133.9146
120.483408 78.124 133.8775
120.849619 78.105 133.8419
121.215830 78.086 133.8078
121.582041 78.067 133.7750
121.948252 78.048 133.7433
122.314463 78.029 133.7123
122.680674 78.010 133.6820
123.046885 77.992 133.6522
123.413096 77.973 133.6227
123.779307 77.955 133.5936
124.145518 77.937 133.5643
124.511729 77.919 133.5344
124.877940 77.902 133.5035
125.244151 77.885 133.4713
125.610362 77.869 133.4377
125.976573 77.853 133.4025
126.342784 77.836 133.3660
126.708995 77.820 133.3284
127.075206 77.804 133.2902
127.441417 77.788 133.2520
127.807628 77.771 133.2144
128.173839 77.755 133.1777
128.540049 77.738 133.1420
128.906260 77.722 133.1075
129.272471 77.705 133.0740
129.638682 77.688 133.0416
130.004893 77.671 133.0103
130.371104 77.654 132.9802
130.737315 77.637 132.9517
131.103526 77.620 132.9250
131.469737 77.602 132.9003
131.835948 77.585 132.8774
132.202159 77.568 132.8560
132.568370 77.551 132.8356
132.934581 77.534 132.8153
133.300792 77.517 132.7946
133.667003 77.501 132.7728
134.033214 77.484 132.7500
134.399425 77.468 132.7263
134.765636 77.452 132.7017
135.131847 77.436 132.6766
135.498058 77.420 132.6509
135.864269 77.404 132.6246
136.230480 77.388 132.5974
136.596691 77.373 132.5695
136.962902 77.358 132.5410
137.329113 77.342 132.5122
137.695324 77.327 132.4833
138.061535 77.312 132.4548
138.427746 77.297 132.4268
138.793957 77.282 132.3995
139.160168 77.266 132.3732
139.526379 77.251 132.3481
139.892589 77.236 132.3243
140.258800 77.221 132.3019
140.625011 77.206 132.2805
140.991222 77.190 132.2603
141.357433 77.175 132.2408
141.723644 77.160 132.2221
142.089855 77.144 132.2039
142.456066 77.129 132.1861
142.822277 77.113 132.1684
143.188488 77.098 132.1505
143.554699 77.082 132.1322
143.920910 77.066 132.1135
144.287121 77.051 132.0944
144.653332 77.035 132.0749
145.019543 77.019 132.0550
145.385754 77.004 132.0347
145.751965 76.988 132.0137
146.118176 76.973 131.9920
146.484387 76.958 131.9697
146.850598 76.943 131.9470
147.216809 76.928 131.9244
147.583020 76.913 131.9026
147.949231 76.898 131.8817
148.315442 76.884 131.8619
148.681653 76.870 131.8431
149.047864 76.856 131.8249
149.414075 76.843 131.8071
149.780286 76.830 131.7895
