* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:28:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Storm Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 83.756 160.1904
0.732422 82.079 140.3405
1.098633 79.010 120.2062
1.464844 73.886 98.4619
1.831055 64.652 64.2324
2.197266 60.155 -48.9999
2.563477 64.629 -74.6022
2.929688 66.400 -59.7036
3.295899 70.423 -42.5849
3.662110 74.317 -41.2037
4.028321 76.846 -46.4715
4.394532 78.253 -52.4632
4.760743 78.959 -56.4732
5.126954 79.425 -57.6895
5.493164 80.035 -57.3507
5.859375 80.851 -57.7010
6.225586 81.676 -59.8095
6.591797 82.335 -63.1726
6.958008 82.797 -66.7638
7.324219 83.144 -69.8610
7.690430 83.488 -72.3569
8.056641 83.891 -74.6183
8.422852 84.341 -77.0343
8.789063 84.788 -79.6817
9.155274 85.201 -82.3674
9.521485 85.581 -84.8674
9.887696 85.944 -87.0984
10.253907 86.228 -89.1198
10.620118 86.474 -91.0218
10.986329 86.702 -92.8318
11.352540 86.904 -94.5140
11.718751 87.083 -96.0292
12.084962 87.245 -97.3817
12.451173 87.396 -98.6163
12.817384 87.591 -99.7866
13.183595 87.783 -100.9337
13.549806 87.965 -102.0910
13.916017 88.137 -103.2910
14.282228 88.294 -104.5553
14.648439 88.432 -105.8740
15.014650 88.550 -107.2006
15.380861 88.652 -108.4768
15.747072 88.749 -109.6720
16.113283 88.858 -110.8076
16.479493 88.987 -111.9440
16.845704 89.124 -113.1362
17.211915 89.256 -114.3927
17.578126 89.377 -115.6664
17.944337 89.484 -116.8829
18.310548 89.585 -117.9860
18.676759 89.687 -118.9734
19.042970 89.799 -119.8984
19.409181 89.916 -120.8315
19.775392 90.027 -121.8048
20.141603 90.121 -122.7822
20.507814 90.198 -123.6794
20.874025 90.265 -124.4291
21.240236 90.340 -125.0469
21.606447 90.432 -125.6437
21.972658 90.537 -126.3579
22.338869 90.634 -127.2545
22.705080 90.704 -128.2729
23.071291 90.740 -129.2680
23.437502 90.756 -130.1132
23.803713 90.775 -130.7919
24.169924 90.815 -131.4062
24.536135 90.872 -132.0865
24.902346 90.931 -132.8817
25.268557 90.981 -133.7293
25.634768 91.022 -134.5297
26.000979 91.071 -135.2546
26.367190 91.138 -135.9901
26.733401 91.216 -136.8634
27.099612 91.280 -137.9133
27.465823 91.305 -139.0202
27.832033 91.288 -139.9587
28.198244 91.253 -140.5377
28.564455 91.240 -140.7430
28.930666 91.281 -140.7716
29.296877 91.374 -140.9090
29.663088 91.488 -141.3368
30.029299 91.586 -142.0365
30.395510 91.647 -142.8436
30.761721 91.675 -143.5775
31.127932 91.688 -144.1495
31.494143 91.706 -144.5904
31.860354 91.735 -144.9967
32.226565 91.771 -145.4476
32.592776 91.805 -145.9587
32.958987 91.829 -146.4950
33.325198 91.845 -147.0147
33.691409 91.859 -147.5008
34.057620 91.873 -147.9639
34.423831 91.891 -148.4259
34.790042 91.911 -148.9046
35.156253 91.930 -149.4090
35.522464 91.947 -149.9391
35.888675 91.959 -150.4834
36.254886 91.964 -151.0156
36.621097 91.963 -151.5024
36.987308 91.964 -151.9229
37.353519 91.971 -152.2896
37.719730 91.991 -152.6502
38.085941 92.019 -153.0621
38.452152 92.048 -153.5543
38.818363 92.068 -154.1066
39.184573 92.074 -154.6605
39.550784 92.070 -155.1564
39.916995 92.064 -155.5683
40.283206 92.064 -155.9159
40.649417 92.074 -156.2457
41.015628 92.090 -156.5990
41.381839 92.107 -156.9891
41.748050 92.121 -157.4040
42.114261 92.132 -157.8226
42.480472 92.139 -158.2316
42.846683 92.145 -158.6295
43.212894 92.150 -159.0197
43.579105 92.154 -159.4029
43.945316 92.158 -159.7761
44.311527 92.161 -160.1369
44.677738 92.165 -160.4886
45.043949 92.170 -160.8395
45.410160 92.175 -161.1970
45.776371 92.180 -161.5619
46.142582 92.182 -161.9279
46.508793 92.182 -162.2846
46.875004 92.181 -162.6245
47.241215 92.180 -162.9459
47.607426 92.181 -163.2540
47.973637 92.184 -163.5581
48.339848 92.189 -163.8675
48.706059 92.195 -164.1883
49.072270 92.201 -164.5214
49.438481 92.205 -164.8630
49.804692 92.208 -165.2063
50.170902 92.208 -165.5448
50.537113 92.208 -165.8744
50.903324 92.207 -166.1941
51.269535 92.205 -166.5047
51.635746 92.204 -166.8079
52.001957 92.202 -167.1054
52.368168 92.201 -167.3985
52.734379 92.200 -167.6887
53.100590 92.198 -167.9766
53.466801 92.196 -168.2619
53.833012 92.194 -168.5427
54.199223 92.191 -168.8179
54.565434 92.189 -169.0879
54.931645 92.187 -169.3557
55.297856 92.186 -169.6247
55.664067 92.184 -169.8973
56.030278 92.182 -170.1735
56.396489 92.179 -170.4520
56.762700 92.175 -170.7310
57.128911 92.170 -171.0087
57.495122 92.163 -171.2814
57.861333 92.155 -171.5428
58.227544 92.146 -171.7852
58.593755 92.139 -172.0055
58.959966 92.135 -172.2109
59.326177 92.136 -172.4193
59.692388 92.140 -172.6526
60.058599 92.145 -172.9231
60.424810 92.146 -173.2250
60.791021 92.141 -173.5349
61.157232 92.131 -173.8244
61.523442 92.118 -174.0756
61.889653 92.107 -174.2915
62.255864 92.100 -174.4927
62.622075 92.098 -174.7035
62.988286 92.097 -174.9371
63.354497 92.093 -175.1894
63.720708 92.086 -175.4449
64.086919 92.076 -175.6889
64.453130 92.066 -175.9162
64.819341 92.057 -176.1319
65.185552 92.049 -176.3452
65.551763 92.042 -176.5618
65.917974 92.034 -176.7813
66.284185 92.026 -177.0001
66.650396 92.017 -177.2151
67.016607 92.008 -177.4257
67.382818 91.999 -177.6329
67.749029 91.991 -177.8370
68.115240 91.982 -178.0370
68.481451 91.973 -178.2325
68.847662 91.966 -178.4248
69.213873 91.959 -178.6170
69.580084 91.952 -178.8116
69.946295 91.945 -179.0088
70.312506 91.938 -179.2065
70.678717 91.931 -179.4027
71.044928 91.923 -179.5978
71.411139 91.916 -179.7943
71.777350 91.908 -179.9941
72.143561 91.900 179.8036
72.509771 91.889 179.6034
72.875982 91.878 179.4112
73.242193 91.865 179.2314
73.608404 91.853 179.0646
73.974615 91.843 178.9079
74.340826 91.834 178.7563
74.707037 91.826 178.6036
75.073248 91.821 178.4426
75.439459 91.816 178.2675
75.805670 91.811 178.0760
76.171881 91.803 177.8730
76.538092 91.793 177.6693
76.904303 91.781 177.4760
77.270514 91.768 177.2981
77.636725 91.758 177.1292
78.002936 91.749 176.9560
78.369147 91.740 176.7679
78.735358 91.729 176.5667
79.101569 91.715 176.3671
79.467780 91.699 176.1877
79.833991 91.682 176.0375
80.200202 91.668 175.9086
80.566413 91.659 175.7808
80.932624 91.653 175.6357
81.298835 91.646 175.4693
81.665046 91.636 175.2942
82.031257 91.624 175.1288
82.397468 91.611 174.9831
82.763679 91.601 174.8511
83.129890 91.593 174.7162
83.496101 91.587 174.5639
83.862311 91.579 174.3939
84.228522 91.568 174.2194
84.594733 91.555 174.0577
84.960944 91.542 173.9158
85.327155 91.531 173.7857
85.693366 91.523 173.6496
86.059577 91.517 173.4939
86.425788 91.508 173.3190
86.791999 91.496 173.1397
87.158210 91.480 172.9750
87.524421 91.464 172.8351
87.890632 91.450 172.7153
88.256843 91.439 172.6002
88.623054 91.431 172.4754
88.989265 91.422 172.3361
89.355476 91.412 172.1891
89.721687 91.401 172.0453
90.087898 91.388 171.9113
90.454109 91.376 171.7858
90.820320 91.365 171.6631
91.186531 91.355 171.5382
91.552742 91.344 171.4115
91.918953 91.333 171.2862
92.285164 91.321 171.1646
92.651375 91.310 171.0450
93.017586 91.300 170.9231
93.383797 91.289 170.7969
93.750008 91.277 170.6683
94.116219 91.265 170.5422
94.482430 91.253 170.4214
94.848641 91.241 170.3042
95.214851 91.230 170.1851
95.581062 91.219 170.0602
95.947273 91.207 169.9307
96.313484 91.194 169.8033
96.679695 91.180 169.6844
97.045906 91.168 169.5758
97.412117 91.156 169.4718
97.778328 91.147 169.3639
98.144539 91.138 169.2463
98.510750 91.128 169.1202
98.876961 91.116 168.9932
99.243172 91.104 168.8736
99.609383 91.091 168.7654
99.975594 91.079 168.6661
100.341805 91.069 168.5683
100.708016 91.061 168.4642
101.074227 91.052 168.3498
101.440438 91.043 168.2256
101.806649 91.032 168.0966
102.172860 91.019 167.9697
102.539071 91.005 167.8513
102.905282 90.990 167.7451
103.271493 90.976 167.6495
103.637704 90.964 167.5583
104.003915 90.953 167.4633
104.370126 90.942 167.3591
104.736337 90.930 167.2474
105.102548 90.917 167.1358
105.468759 90.903 167.0334
105.834970 90.889 166.9442
106.201180 90.876 166.8638
106.567391 90.866 166.7822
106.933602 90.857 166.6901
107.299813 90.848 166.5852
107.666024 90.838 166.4731
108.032235 90.826 166.3623
108.398446 90.813 166.2590
108.764657 90.800 166.1636
109.130868 90.788 166.0726
109.497079 90.776 165.9827
109.863290 90.764 165.8924
110.229501 90.753 165.8025
110.595712 90.742 165.7131
110.961923 90.731 165.6226
111.328134 90.720 165.5293
111.694345 90.709 165.4333
112.060556 90.697 165.3371
112.426767 90.684 165.2442
112.792978 90.672 165.1560
113.159189 90.660 165.0711
113.525400 90.648 164.9867
113.891611 90.636 164.9011
114.257822 90.624 164.8151
114.624033 90.612 164.7309
114.990244 90.600 164.6496
115.356455 90.589 164.5701
115.722666 90.577 164.4897
116.088877 90.567 164.4065
116.455088 90.555 164.3210
116.821299 90.544 164.2355
117.187510 90.532 164.1520
117.553720 90.520 164.0711
117.919931 90.508 163.9914
118.286142 90.496 163.9116
118.652353 90.484 163.8317
119.018564 90.473 163.7529
119.384775 90.461 163.6758
119.750986 90.450 163.5996
120.117197 90.439 163.5218
120.483408 90.428 163.4404
120.849619 90.416 163.3556
121.215830 90.405 163.2702
121.582041 90.392 163.1877
121.948252 90.380 163.1099
122.314463 90.367 163.0356
122.680674 90.355 162.9623
123.046885 90.344 162.8883
123.413096 90.332 162.8145
123.779307 90.320 162.7432
124.145518 90.308 162.6758
124.511729 90.297 162.6103
124.877940 90.287 162.5429
125.244151 90.277 162.4704
125.610362 90.268 162.3934
125.976573 90.258 162.3164
126.342784 90.247 162.2442
126.708995 90.235 162.1783
127.075206 90.225 162.1156
127.441417 90.215 162.0507
127.807628 90.205 161.9805
128.173839 90.195 161.9068
128.540049 90.183 161.8349
128.906260 90.170 161.7696
129.272471 90.158 161.7117
129.638682 90.147 161.6575
130.004893 90.137 161.6023
130.371104 90.127 161.5426
130.737315 90.118 161.4781
131.103526 90.108 161.4100
131.469737 90.098 161.3395
131.835948 90.087 161.2682
132.202159 90.076 161.1987
132.568370 90.064 161.1352
132.934581 90.052 161.0806
133.300792 90.042 161.0335
133.667003 90.033 160.9875
134.033214 90.025 160.9341
134.399425 90.018 160.8698
134.765636 90.009 160.7990
135.131847 89.998 160.7319
135.498058 89.986 160.6778
135.864269 89.975 160.6368
136.230480 89.966 160.5999
136.596691 89.959 160.5547
136.962902 89.953 160.4947
137.329113 89.945 160.4227
137.695324 89.935 160.3484
138.061535 89.924 160.2798
138.427746 89.912 160.2181
138.793957 89.901 160.1581
139.160168 89.890 160.0947
139.526379 89.878 160.0278
139.892589 89.865 159.9634
140.258800 89.851 159.9087
140.625011 89.838 159.8657
140.991222 89.827 159.8291
141.357433 89.817 159.7897
141.723644 89.810 159.7397
142.089855 89.802 159.6776
142.456066 89.793 159.6083
142.822277 89.782 159.5399
143.188488 89.771 159.4797
143.554699 89.759 159.4306
143.920910 89.749 159.3900
144.287121 89.740 159.3514
144.653332 89.732 159.3077
145.019543 89.724 159.2557
145.385754 89.715 159.1990
145.751965 89.704 159.1466
146.118176 89.692 159.1074
146.484387 89.681 159.0837
146.850598 89.672 159.0678
147.216809 89.666 159.0452
147.583020 89.661 159.0029
147.949231 89.656 158.9379
