* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:28:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Storm Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 87.123 -22.1808
0.732422 85.236 -44.0788
1.098633 81.591 -65.0031
1.464844 74.478 -81.2794
1.831055 62.250 10.8570
2.197266 74.082 30.3655
2.563477 76.976 11.9815
2.929688 77.064 -8.1589
3.295899 75.405 -26.1025
3.662110 72.520 -35.8875
4.028321 70.378 -28.6550
4.394532 71.968 -20.3786
4.760743 74.691 -28.1030
5.126954 76.703 -42.3354
5.493164 77.886 -56.0150
5.859375 78.447 -65.7256
6.225586 78.789 -70.0116
6.591797 79.409 -70.1730
6.958008 80.443 -69.8877
7.324219 81.556 -71.4153
7.690430 82.429 -74.2565
8.056641 82.993 -76.9883
8.422852 83.362 -78.6613
8.789063 83.701 -79.2963
9.155274 84.099 -79.6538
9.521485 84.524 -80.4334
9.887696 84.902 -81.7482
10.253907 85.128 -83.3105
10.620118 85.271 -84.8662
10.986329 85.402 -86.4037
11.352540 85.533 -88.0478
11.718751 85.655 -89.8412
12.084962 85.760 -91.6712
12.451173 85.857 -93.3882
12.817384 86.023 -94.9539
13.183595 86.224 -96.4615
13.549806 86.444 -98.0159
13.916017 86.661 -99.6155
14.282228 86.861 -101.1573
14.648439 87.049 -102.5387
15.014650 87.234 -103.7462
15.380861 87.422 -104.8497
15.747072 87.605 -105.9240
16.113283 87.776 -106.9824
16.479493 87.935 -107.9823
16.845704 88.074 -108.8808
17.211915 88.202 -109.6792
17.578126 88.326 -110.4210
17.944337 88.448 -111.1607
18.310548 88.567 -111.9392
18.676759 88.681 -112.7824
19.042970 88.789 -113.7071
19.409181 88.887 -114.7140
19.775392 88.970 -115.7732
20.141603 89.039 -116.8259
20.507814 89.103 -117.8107
20.874025 89.171 -118.7024
21.240236 89.253 -119.5316
21.606447 89.354 -120.3670
21.972658 89.466 -121.2707
22.338869 89.578 -122.2586
22.705080 89.678 -123.2879
23.071291 89.761 -124.2758
23.437502 89.829 -125.1362
23.803713 89.894 -125.8242
24.169924 89.971 -126.3687
24.536135 90.067 -126.8691
24.902346 90.174 -127.4422
25.268557 90.276 -128.1440
25.634768 90.352 -128.9222
26.000979 90.396 -129.6402
26.367190 90.421 -130.1668
26.733401 90.454 -130.4811
27.099612 90.518 -130.7136
27.465823 90.614 -131.0740
27.832033 90.718 -131.7075
28.198244 90.799 -132.5975
28.564455 90.839 -133.5857
28.930666 90.842 -134.4793
29.296877 90.831 -135.1676
29.663088 90.830 -135.6767
30.029299 90.852 -136.1277
30.395510 90.891 -136.6348
30.761721 90.934 -137.2297
31.127932 90.971 -137.8648
31.494143 91.001 -138.4759
31.860354 91.032 -139.0402
32.226565 91.068 -139.5843
32.592776 91.107 -140.1454
32.958987 91.143 -140.7281
33.325198 91.172 -141.2977
33.691409 91.195 -141.8118
34.057620 91.219 -142.2595
34.423831 91.251 -142.6736
34.790042 91.289 -143.1043
35.156253 91.328 -143.5813
35.522464 91.361 -144.0938
35.888675 91.385 -144.6048
36.254886 91.405 -145.0831
36.621097 91.424 -145.5250
36.987308 91.447 -145.9525
37.353519 91.473 -146.3922
37.719730 91.498 -146.8562
38.085941 91.522 -147.3393
38.452152 91.542 -147.8294
38.818363 91.559 -148.3183
39.184573 91.573 -148.8020
39.550784 91.584 -149.2735
39.916995 91.592 -149.7207
40.283206 91.600 -150.1326
40.649417 91.611 -150.5105
41.015628 91.626 -150.8708
41.381839 91.644 -151.2346
41.748050 91.663 -151.6120
42.114261 91.681 -151.9959
42.480472 91.697 -152.3713
42.846683 91.714 -152.7320
43.212894 91.732 -153.0888
43.579105 91.753 -153.4609
43.945316 91.772 -153.8579
44.311527 91.786 -154.2686
44.677738 91.795 -154.6677
45.043949 91.801 -155.0349
45.410160 91.808 -155.3705
45.776371 91.819 -155.6954
46.142582 91.834 -156.0347
46.508793 91.848 -156.3997
46.875004 91.858 -156.7811
47.241215 91.865 -157.1582
47.607426 91.868 -157.5136
47.973637 91.871 -157.8445
48.339848 91.876 -158.1611
48.706059 91.883 -158.4775
49.072270 91.890 -158.8014
49.438481 91.896 -159.1311
49.804692 91.901 -159.4587
50.170902 91.904 -159.7773
50.537113 91.908 -160.0858
50.903324 91.913 -160.3888
51.269535 91.919 -160.6926
51.635746 91.925 -161.0001
52.001957 91.930 -161.3098
52.368168 91.934 -161.6176
52.734379 91.938 -161.9212
53.100590 91.943 -162.2221
53.466801 91.948 -162.5241
53.833012 91.953 -162.8303
54.199223 91.956 -163.1404
54.565434 91.959 -163.4506
54.931645 91.960 -163.7560
55.297856 91.960 -164.0515
55.664067 91.959 -164.3337
56.030278 91.959 -164.6026
56.396489 91.961 -164.8638
56.762700 91.966 -165.1298
57.128911 91.972 -165.4154
57.495122 91.976 -165.7274
57.861333 91.975 -166.0552
58.227544 91.968 -166.3718
58.593755 91.957 -166.6470
58.959966 91.946 -166.8684
59.326177 91.942 -167.0525
59.692388 91.945 -167.2379
60.058599 91.954 -167.4603
60.424810 91.963 -167.7293
60.791021 91.966 -168.0242
61.157232 91.964 -168.3108
61.523442 91.960 -168.5665
61.889653 91.957 -168.7945
62.255864 91.958 -169.0166
62.622075 91.961 -169.2538
62.988286 91.963 -169.5092
63.354497 91.961 -169.7692
63.720708 91.957 -170.0169
64.086919 91.952 -170.2468
64.453130 91.950 -170.4677
64.819341 91.948 -170.6929
65.185552 91.947 -170.9284
65.551763 91.943 -171.1686
65.917974 91.938 -171.4032
66.284185 91.932 -171.6260
66.650396 91.927 -171.8397
67.016607 91.923 -172.0518
67.382818 91.920 -172.2678
67.749029 91.916 -172.4878
68.115240 91.912 -172.7092
68.481451 91.908 -172.9299
68.847662 91.904 -173.1506
69.213873 91.899 -173.3716
69.580084 91.894 -173.5906
69.946295 91.888 -173.8038
70.312506 91.883 -174.0097
70.678717 91.879 -174.2115
71.044928 91.875 -174.4157
71.411139 91.871 -174.6254
71.777350 91.866 -174.8370
72.143561 91.859 -175.0424
72.509771 91.852 -175.2356
72.875982 91.846 -175.4188
73.242193 91.841 -175.6009
73.608404 91.837 -175.7908
73.974615 91.832 -175.9898
74.340826 91.825 -176.1909
74.707037 91.817 -176.3842
75.073248 91.808 -176.5649
75.439459 91.800 -176.7364
75.805670 91.794 -176.9073
76.171881 91.790 -177.0851
76.538092 91.785 -177.2728
76.904303 91.781 -177.4693
77.270514 91.775 -177.6715
77.636725 91.768 -177.8767
78.002936 91.760 -178.0814
78.369147 91.750 -178.2816
78.735358 91.740 -178.4731
79.101569 91.730 -178.6543
79.467780 91.720 -178.8263
79.833991 91.711 -178.9915
80.200202 91.702 -179.1512
80.566413 91.695 -179.3059
80.932624 91.689 -179.4575
81.298835 91.685 -179.6115
81.665046 91.681 -179.7751
82.031257 91.678 -179.9523
82.397468 91.673 179.8601
82.763679 91.665 179.6717
83.129890 91.655 179.4919
83.496101 91.644 179.3246
83.862311 91.634 179.1671
84.228522 91.624 179.0158
84.594733 91.614 178.8707
84.960944 91.605 178.7344
85.327155 91.597 178.6060
85.693366 91.593 178.4760
86.059577 91.591 178.3290
86.425788 91.590 178.1544
86.791999 91.585 177.9561
87.158210 91.577 177.7523
87.524421 91.564 177.5645
87.890632 91.550 177.4040
88.256843 91.538 177.2654
88.623054 91.528 177.1326
88.989265 91.520 176.9929
89.355476 91.512 176.8448
89.721687 91.503 176.6973
90.087898 91.493 176.5590
90.454109 91.484 176.4302
90.820320 91.477 176.3022
91.186531 91.471 176.1659
91.552742 91.465 176.0190
91.918953 91.457 175.8677
92.285164 91.447 175.7209
92.651375 91.437 175.5830
93.017586 91.428 175.4511
93.383797 91.419 175.3192
93.750008 91.411 175.1836
94.116219 91.402 175.0456
94.482430 91.392 174.9093
94.848641 91.382 174.7772
95.214851 91.373 174.6483
95.581062 91.364 174.5193
95.947273 91.355 174.3883
96.313484 91.347 174.2555
96.679695 91.338 174.1221
97.045906 91.329 173.9890
97.412117 91.319 173.8557
97.778328 91.310 173.7220
98.144539 91.300 173.5894
98.510750 91.290 173.4597
98.876961 91.280 173.3334
99.243172 91.271 173.2088
99.609383 91.262 173.0831
99.975594 91.252 172.9560
100.341805 91.242 172.8306
100.708016 91.231 172.7114
101.074227 91.221 172.6005
101.440438 91.212 172.4942
101.806649 91.204 172.3857
102.172860 91.197 172.2697
102.539071 91.190 172.1461
102.905282 91.181 172.0198
103.271493 91.172 171.8965
103.637704 91.162 171.7780
104.003915 91.153 171.6614
104.370126 91.144 171.5428
104.736337 91.134 171.4204
105.102548 91.125 171.2962
105.468759 91.114 171.1732
105.834970 91.103 171.0532
106.201180 91.092 170.9357
106.567391 91.081 170.8201
106.933602 91.069 170.7075
107.299813 91.057 170.6002
107.666024 91.046 170.4990
108.032235 91.036 170.4007
108.398446 91.027 170.2997
108.764657 91.019 170.1920
109.130868 91.010 170.0787
109.497079 91.000 169.9658
109.863290 90.990 169.8595
110.229501 90.980 169.7609
110.595712 90.971 169.6653
110.961923 90.964 169.5656
111.328134 90.956 169.4580
111.694345 90.947 169.3454
112.060556 90.938 169.2346
112.426767 90.927 169.1305
112.792978 90.917 169.0330
113.159189 90.908 168.9367
113.525400 90.899 168.8361
113.891611 90.889 168.7300
114.257822 90.878 168.6232
114.624033 90.866 168.5229
114.990244 90.853 168.4338
115.356455 90.841 168.3546
115.722666 90.831 168.2788
116.088877 90.823 168.1990
116.455088 90.815 168.1103
116.821299 90.806 168.0129
117.187510 90.797 167.9112
117.553720 90.786 167.8103
117.919931 90.775 167.7139
118.286142 90.765 167.6226
118.652353 90.754 167.5343
119.018564 90.745 167.4457
119.384775 90.735 167.3539
119.750986 90.726 167.2581
120.117197 90.717 167.1587
120.483408 90.707 167.0579
120.849619 90.696 166.9584
121.215830 90.684 166.8628
121.582041 90.672 166.7724
121.948252 90.661 166.6870
122.314463 90.650 166.6046
122.680674 90.639 166.5219
123.046885 90.629 166.4368
123.413096 90.618 166.3496
123.779307 90.607 166.2633
124.145518 90.595 166.1820
124.511729 90.584 166.1074
124.877940 90.574 166.0367
125.244151 90.566 165.9637
125.610362 90.559 165.8828
125.976573 90.552 165.7926
126.342784 90.543 165.6981
126.708995 90.533 165.6070
127.075206 90.522 165.5252
127.441417 90.512 165.4529
127.807628 90.503 165.3849
128.173839 90.495 165.3145
128.540049 90.487 165.2383
128.906260 90.479 165.1572
129.272471 90.471 165.0752
129.638682 90.462 164.9961
130.004893 90.452 164.9216
130.371104 90.444 164.8506
130.737315 90.435 164.7809
131.103526 90.428 164.7092
131.469737 90.421 164.6327
131.835948 90.414 164.5493
132.202159 90.406 164.4599
132.568370 90.396 164.3687
132.934581 90.385 164.2826
133.300792 90.373 164.2069
133.667003 90.362 164.1423
134.033214 90.352 164.0841
134.399425 90.343 164.0254
134.765636 90.334 163.9620
135.131847 90.326 163.8947
135.498058 90.317 163.8280
135.864269 90.308 163.7656
136.230480 90.300 163.7067
136.596691 90.293 163.6464
136.962902 90.286 163.5795
137.329113 90.279 163.5042
137.695324 90.271 163.4234
138.061535 90.262 163.3425
138.427746 90.252 163.2662
138.793957 90.241 163.1970
139.160168 90.230 163.1351
139.526379 90.219 163.0800
139.892589 90.209 163.0301
140.258800 90.200 162.9818
140.625011 90.193 162.9297
140.991222 90.186 162.8681
141.357433 90.180 162.7942
141.723644 90.172 162.7101
142.089855 90.162 162.6233
142.456066 90.150 162.5424
142.822277 90.138 162.4734
143.188488 90.126 162.4162
143.554699 90.116 162.3641
143.920910 90.107 162.3084
144.287121 90.100 162.2431
144.653332 90.091 162.1693
145.019543 90.081 162.0952
145.385754 90.070 162.0307
145.751965 90.059 161.9803
146.118176 90.051 161.9386
146.484387 90.046 161.8919
146.850598 90.042 161.8276
147.216809 90.036 161.7436
