* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:44:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EDXS Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.032 160.2391
0.732422 69.214 140.2923
1.098633 65.799 119.5298
1.464844 59.740 94.6035
1.831055 48.601 26.1246
2.197266 53.841 -68.8541
2.563477 56.516 -82.9306
2.929688 56.975 -73.2333
3.295899 59.337 -53.9159
3.662110 62.788 -47.3060
4.028321 65.354 -49.8470
4.394532 66.909 -54.7936
4.760743 67.781 -58.9230
5.126954 68.361 -61.1650
5.493164 68.975 -62.2155
5.859375 69.716 -63.6781
6.225586 70.467 -66.5024
6.591797 71.091 -70.4590
6.958008 71.552 -74.7668
7.324219 71.902 -78.7711
7.690430 72.231 -82.2709
8.056641 72.599 -85.4840
8.422852 73.009 -88.7312
8.789063 73.421 -92.1291
9.155274 73.800 -95.5480
9.521485 74.137 -98.7751
9.887696 74.443 -101.6851
10.253907 74.665 -104.2936
10.620118 74.847 -106.6947
10.986329 75.015 -108.9661
11.352540 75.160 -111.1287
11.718751 75.279 -113.1717
12.084962 75.375 -115.0952
12.451173 75.452 -116.9240
12.817384 75.558 -118.6894
13.183595 75.652 -120.4093
13.549806 75.730 -122.0891
13.916017 75.794 -123.7372
14.282228 75.849 -125.3739
14.648439 75.896 -127.0204
15.014650 75.936 -128.6808
15.380861 75.967 -130.3364
15.747072 75.993 -131.9601
16.113283 76.025 -133.5369
16.479493 76.069 -135.0720
16.845704 76.118 -136.5804
17.211915 76.168 -138.0691
17.578126 76.218 -139.5286
17.944337 76.263 -140.9388
18.310548 76.306 -142.2828
18.676759 76.345 -143.5556
19.042970 76.381 -144.7622
19.409181 76.414 -145.9115
19.775392 76.442 -147.0096
20.141603 76.466 -148.0597
20.507814 76.486 -149.0660
20.874025 76.501 -150.0367
21.240236 76.512 -150.9841
21.606447 76.518 -151.9207
21.972658 76.518 -152.8544
22.338869 76.513 -153.7848
22.705080 76.503 -154.7047
23.071291 76.489 -155.6062
23.437502 76.476 -156.4902
23.803713 76.465 -157.3684
24.169924 76.456 -158.2576
24.536135 76.448 -159.1663
24.902346 76.438 -160.0856
25.268557 76.424 -160.9910
25.634768 76.408 -161.8561
26.000979 76.393 -162.6671
26.367190 76.381 -163.4284
26.733401 76.373 -164.1551
27.099612 76.368 -164.8597
27.465823 76.365 -165.5463
27.832033 76.362 -166.2145
28.198244 76.358 -166.8669
28.564455 76.355 -167.5125
28.930666 76.349 -168.1594
29.296877 76.337 -168.8063
29.663088 76.320 -169.4407
30.029299 76.297 -170.0469
30.395510 76.271 -170.6176
30.761721 76.245 -171.1603
31.127932 76.220 -171.6920
31.494143 76.196 -172.2283
31.860354 76.172 -172.7739
32.226565 76.145 -173.3231
32.592776 76.118 -173.8667
32.958987 76.090 -174.3992
33.325198 76.063 -174.9215
33.691409 76.038 -175.4377
34.057620 76.013 -175.9509
34.423831 75.990 -176.4608
34.790042 75.967 -176.9651
35.156253 75.943 -177.4610
35.522464 75.919 -177.9469
35.888675 75.895 -178.4220
36.254886 75.870 -178.8842
36.621097 75.844 -179.3301
36.987308 75.817 -179.7553
37.353519 75.789 179.8427
37.719730 75.763 179.4615
38.085941 75.739 179.0920
38.452152 75.717 178.7206
38.818363 75.697 178.3347
39.184573 75.675 177.9299
39.550784 75.650 177.5138
39.916995 75.621 177.1025
40.283206 75.589 176.7130
40.649417 75.558 176.3526
41.015628 75.529 176.0146
41.381839 75.503 175.6822
41.748050 75.481 175.3386
42.114261 75.458 174.9774
42.480472 75.434 174.6065
42.846683 75.406 174.2421
43.212894 75.377 173.8991
43.579105 75.347 173.5815
43.945316 75.320 173.2818
44.311527 75.296 172.9865
44.677738 75.273 172.6853
45.043949 75.249 172.3770
45.410160 75.224 172.0680
45.776371 75.197 171.7670
46.142582 75.170 171.4787
46.508793 75.142 171.2017
46.875004 75.115 170.9308
47.241215 75.089 170.6616
47.607426 75.063 170.3925
47.973637 75.036 170.1252
48.339848 75.008 169.8622
48.706059 74.981 169.6049
49.072270 74.953 169.3538
49.438481 74.926 169.1086
49.804692 74.898 168.8693
50.170902 74.872 168.6354
50.537113 74.846 168.4062
50.903324 74.820 168.1801
51.269535 74.795 167.9550
51.635746 74.770 167.7296
52.001957 74.745 167.5038
52.368168 74.720 167.2794
52.734379 74.693 167.0591
53.100590 74.666 166.8449
53.466801 74.640 166.6371
53.833012 74.614 166.4329
54.199223 74.588 166.2281
54.565434 74.562 166.0200
54.931645 74.536 165.8093
55.297856 74.509 165.6011
55.664067 74.480 165.4012
56.030278 74.452 165.2128
56.396489 74.425 165.0331
56.762700 74.399 164.8566
57.128911 74.374 164.6786
57.495122 74.349 164.4995
57.861333 74.323 164.3242
58.227544 74.298 164.1576
58.593755 74.274 163.9991
58.959966 74.251 163.8425
59.326177 74.230 163.6798
59.692388 74.208 163.5080
60.058599 74.185 163.3313
60.424810 74.160 163.1593
60.791021 74.134 162.9997
61.157232 74.107 162.8533
61.523442 74.083 162.7142
61.889653 74.059 162.5746
62.255864 74.035 162.4305
62.622075 74.011 162.2835
62.988286 73.986 162.1386
63.354497 73.960 161.9992
63.720708 73.935 161.8643
64.086919 73.910 161.7297
64.453130 73.886 161.5923
64.819341 73.861 161.4519
65.185552 73.836 161.3120
65.551763 73.811 161.1765
65.917974 73.786 161.0463
66.284185 73.761 160.9193
66.650396 73.737 160.7917
67.016607 73.713 160.6621
67.382818 73.689 160.5321
67.749029 73.664 160.4058
68.115240 73.638 160.2870
68.481451 73.612 160.1767
68.847662 73.587 160.0732
69.213873 73.563 159.9732
69.580084 73.539 159.8736
69.946295 73.516 159.7727
70.312506 73.492 159.6702
70.678717 73.469 159.5661
71.044928 73.445 159.4613
71.411139 73.421 159.3571
71.777350 73.397 159.2549
72.143561 73.373 159.1563
72.509771 73.349 159.0607
72.875982 73.325 158.9664
73.242193 73.302 158.8711
73.608404 73.279 158.7738
73.974615 73.256 158.6757
74.340826 73.233 158.5792
74.707037 73.210 158.4859
75.073248 73.187 158.3948
75.439459 73.165 158.3034
75.805670 73.143 158.2093
76.171881 73.120 158.1134
76.538092 73.096 158.0204
76.904303 73.071 157.9357
77.270514 73.047 157.8622
77.636725 73.023 157.7977
78.002936 73.001 157.7361
78.369147 72.981 157.6709
78.735358 72.960 157.5995
79.101569 72.938 157.5248
79.467780 72.916 157.4531
79.833991 72.893 157.3896
80.200202 72.871 157.3352
80.566413 72.850 157.2853
80.932624 72.830 157.2328
81.298835 72.812 157.1711
81.665046 72.794 157.0985
82.031257 72.774 157.0181
82.397468 72.753 156.9368
82.763679 72.730 156.8614
83.129890 72.707 156.7958
83.496101 72.684 156.7394
83.862311 72.662 156.6873
84.228522 72.642 156.6332
84.594733 72.622 156.5721
84.960944 72.602 156.5031
85.327155 72.581 156.4297
85.693366 72.559 156.3578
86.059577 72.536 156.2932
86.425788 72.513 156.2380
86.791999 72.490 156.1904
87.158210 72.470 156.1458
87.524421 72.450 156.0995
87.890632 72.430 156.0494
88.256843 72.411 155.9966
88.623054 72.392 155.9437
88.989265 72.372 155.8935
89.355476 72.353 155.8465
89.721687 72.334 155.8015
90.087898 72.315 155.7567
90.454109 72.297 155.7107
90.820320 72.279 155.6638
91.186531 72.260 155.6174
91.552742 72.241 155.5731
91.918953 72.222 155.5317
92.285164 72.202 155.4933
92.651375 72.183 155.4572
93.017586 72.164 155.4224
93.383797 72.145 155.3883
93.750008 72.126 155.3548
94.116219 72.107 155.3215
94.482430 72.088 155.2879
94.848641 72.070 155.2536
95.214851 72.051 155.2183
95.581062 72.032 155.1824
95.947273 72.014 155.1464
96.313484 71.995 155.1109
96.679695 71.976 155.0763
97.045906 71.958 155.0423
97.412117 71.939 155.0084
97.778328 71.921 154.9744
98.144539 71.903 154.9404
98.510750 71.885 154.9073
98.876961 71.867 154.8760
99.243172 71.849 154.8468
99.609383 71.831 154.8191
99.975594 71.814 154.7917
100.341805 71.797 154.7638
100.708016 71.780 154.7349
101.074227 71.763 154.7058
101.440438 71.746 154.6777
101.806649 71.728 154.6518
102.172860 71.711 154.6284
102.539071 71.693 154.6073
102.905282 71.676 154.5880
103.271493 71.659 154.5698
103.637704 71.642 154.5525
104.003915 71.625 154.5356
104.370126 71.608 154.5184
104.736337 71.592 154.4999
105.102548 71.576 154.4792
105.468759 71.559 154.4564
105.834970 71.543 154.4323
106.201180 71.525 154.4088
106.567391 71.508 154.3875
106.933602 71.490 154.3695
107.299813 71.473 154.3545
107.666024 71.456 154.3414
108.032235 71.439 154.3288
108.398446 71.422 154.3159
108.764657 71.406 154.3025
109.130868 71.389 154.2892
109.497079 71.373 154.2767
109.863290 71.357 154.2654
110.229501 71.340 154.2549
110.595712 71.325 154.2448
110.961923 71.309 154.2338
111.328134 71.294 154.2215
111.694345 71.278 154.2078
112.060556 71.263 154.1933
112.426767 71.247 154.1790
112.792978 71.231 154.1660
113.159189 71.215 154.1546
113.525400 71.200 154.1448
113.891611 71.184 154.1357
114.257822 71.169 154.1268
114.624033 71.154 154.1174
114.990244 71.138 154.1079
115.356455 71.123 154.0988
115.722666 71.107 154.0909
116.088877 71.092 154.0842
116.455088 71.077 154.0786
116.821299 71.062 154.0737
117.187510 71.046 154.0694
117.553720 71.031 154.0656
117.919931 71.017 154.0625
118.286142 71.002 154.0598
118.652353 70.988 154.0566
119.018564 70.973 154.0523
119.384775 70.959 154.0466
119.750986 70.945 154.0398
120.117197 70.930 154.0330
120.483408 70.915 154.0274
120.849619 70.900 154.0237
121.215830 70.886 154.0215
121.582041 70.871 154.0203
121.948252 70.857 154.0190
122.314463 70.843 154.0175
122.680674 70.828 154.0161
123.046885 70.814 154.0155
123.413096 70.800 154.0165
123.779307 70.785 154.0193
124.145518 70.771 154.0238
124.511729 70.758 154.0291
124.877940 70.745 154.0344
125.244151 70.732 154.0388
125.610362 70.720 154.0416
125.976573 70.708 154.0429
126.342784 70.696 154.0428
126.708995 70.683 154.0421
127.075206 70.671 154.0416
127.441417 70.658 154.0419
127.807628 70.646 154.0433
128.173839 70.633 154.0459
128.540049 70.621 154.0491
128.906260 70.608 154.0523
129.272471 70.596 154.0553
129.638682 70.584 154.0583
130.004893 70.571 154.0621
130.371104 70.559 154.0671
130.737315 70.546 154.0739
131.103526 70.534 154.0821
131.469737 70.522 154.0910
131.835948 70.511 154.0995
132.202159 70.500 154.1069
132.568370 70.488 154.1127
132.934581 70.477 154.1172
133.300792 70.466 154.1211
133.667003 70.454 154.1249
134.033214 70.443 154.1293
134.399425 70.431 154.1346
134.765636 70.419 154.1411
135.131847 70.407 154.1492
135.498058 70.395 154.1592
135.864269 70.384 154.1711
136.230480 70.372 154.1846
136.596691 70.361 154.1991
136.962902 70.350 154.2133
137.329113 70.340 154.2264
137.695324 70.330 154.2375
138.061535 70.320 154.2468
138.427746 70.309 154.2546
138.793957 70.299 154.2617
139.160168 70.288 154.2689
139.526379 70.278 154.2766
139.892589 70.267 154.2852
140.258800 70.256 154.2945
140.625011 70.245 154.3043
140.991222 70.234 154.3143
141.357433 70.224 154.3243
141.723644 70.213 154.3345
142.089855 70.202 154.3450
142.456066 70.191 154.3560
142.822277 70.180 154.3675
143.188488 70.170 154.3794
143.554699 70.159 154.3913
143.920910 70.149 154.4027
144.287121 70.139 154.4133
144.653332 70.129 154.4232
145.019543 70.118 154.4327
145.385754 70.108 154.4423
145.751965 70.098 154.4523
146.118176 70.087 154.4633
146.484387 70.076 154.4754
146.850598 70.066 154.4890
147.216809 70.055 154.5039
147.583020 70.045 154.5199
147.949231 70.035 154.5362
148.315442 70.026 154.5521
148.681653 70.016 154.5670
149.047864 70.006 154.5804
149.414075 69.997 154.5928
149.780286 69.987 154.6046
150.146497 69.977 154.6165
150.512708 69.967 154.6292
