* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:42:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EDXS Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.867 -24.8378
0.732422 68.900 -49.5995
1.098633 64.980 -74.0290
1.464844 56.418 -96.0742
1.831055 51.231 45.2897
2.197266 61.056 26.6150
2.563477 63.961 3.6530
2.929688 64.676 -17.7851
3.295899 64.138 -34.9351
3.662110 63.019 -43.6742
4.028321 62.667 -41.9806
4.394532 64.123 -39.2953
4.760743 66.237 -43.8071
5.126954 67.934 -52.7546
5.493164 69.016 -62.0681
5.859375 69.638 -69.2502
6.225586 70.106 -73.3870
6.591797 70.715 -75.3890
6.958008 71.524 -77.2328
7.324219 72.358 -80.0950
7.690430 73.037 -83.7383
8.056641 73.514 -87.3279
8.422852 73.855 -90.2572
8.789063 74.162 -92.5086
9.155274 74.491 -94.5242
9.521485 74.826 -96.7356
9.887696 75.118 -99.2262
10.253907 75.276 -101.7965
10.620118 75.356 -104.2357
10.986329 75.425 -106.5062
11.352540 75.501 -108.7207
11.718751 75.579 -110.9863
12.084962 75.647 -113.2963
12.451173 75.701 -115.5611
12.817384 75.794 -117.7105
13.183595 75.898 -119.7503
13.549806 76.003 -121.7279
13.916017 76.102 -123.6613
14.282228 76.188 -125.5139
14.648439 76.263 -127.2380
15.014650 76.335 -128.8301
15.380861 76.406 -130.3387
15.747072 76.475 -131.8182
16.113283 76.536 -133.2808
16.479493 76.591 -134.6949
16.845704 76.633 -136.0271
17.211915 76.669 -137.2818
17.578126 76.703 -138.4997
17.944337 76.734 -139.7222
18.310548 76.758 -140.9591
18.676759 76.772 -142.1893
19.042970 76.780 -143.3882
19.409181 76.785 -144.5510
19.775392 76.791 -145.6927
20.141603 76.800 -146.8301
20.507814 76.810 -147.9674
20.874025 76.819 -149.0952
21.240236 76.825 -150.1992
21.606447 76.830 -151.2665
21.972658 76.834 -152.2875
22.338869 76.840 -153.2585
22.705080 76.849 -154.1873
23.071291 76.861 -155.0950
23.437502 76.875 -156.0050
23.803713 76.884 -156.9248
24.169924 76.886 -157.8362
24.536135 76.877 -158.7054
24.902346 76.864 -159.5075
25.268557 76.851 -160.2468
25.634768 76.841 -160.9543
26.000979 76.834 -161.6653
26.367190 76.825 -162.3960
26.733401 76.813 -163.1384
27.099612 76.795 -163.8734
27.465823 76.773 -164.5875
27.832033 76.751 -165.2796
28.198244 76.729 -165.9551
28.564455 76.708 -166.6174
28.930666 76.687 -167.2667
29.296877 76.668 -167.9042
29.663088 76.651 -168.5349
30.029299 76.635 -169.1640
30.395510 76.619 -169.7909
30.761721 76.601 -170.4069
31.127932 76.581 -171.0014
31.494143 76.562 -171.5704
31.860354 76.544 -172.1200
32.226565 76.526 -172.6617
32.592776 76.509 -173.2034
32.958987 76.489 -173.7436
33.325198 76.465 -174.2719
33.691409 76.439 -174.7770
34.057620 76.412 -175.2541
34.423831 76.386 -175.7094
34.790042 76.362 -176.1564
35.156253 76.340 -176.6080
35.522464 76.317 -177.0687
35.888675 76.293 -177.5327
36.254886 76.267 -177.9893
36.621097 76.241 -178.4328
36.987308 76.217 -178.8681
37.353519 76.194 -179.3067
37.719730 76.170 -179.7552
38.085941 76.144 179.7934
38.452152 76.115 179.3582
38.818363 76.084 178.9570
39.184573 76.056 178.5916
39.550784 76.032 178.2444
39.916995 76.014 177.8893
40.283206 75.997 177.5090
40.649417 75.978 177.1056
41.015628 75.955 176.6970
41.381839 75.927 176.3032
41.748050 75.897 175.9352
42.114261 75.867 175.5913
42.480472 75.838 175.2640
42.846683 75.810 174.9457
43.212894 75.783 174.6324
43.579105 75.757 174.3208
43.945316 75.732 174.0068
44.311527 75.707 173.6868
44.677738 75.681 173.3610
45.043949 75.654 173.0352
45.410160 75.626 172.7177
45.776371 75.596 172.4146
46.142582 75.568 172.1263
46.508793 75.541 171.8477
46.875004 75.515 171.5724
47.241215 75.490 171.2971
47.607426 75.465 171.0219
47.973637 75.440 170.7496
48.339848 75.415 170.4817
48.706059 75.389 170.2181
49.072270 75.364 169.9573
49.438481 75.339 169.6984
49.804692 75.313 169.4428
50.170902 75.287 169.1932
50.537113 75.260 168.9516
50.903324 75.235 168.7169
51.269535 75.209 168.4855
51.635746 75.185 168.2530
52.001957 75.160 168.0181
52.368168 75.134 167.7837
52.734379 75.108 167.5547
53.100590 75.081 167.3349
53.466801 75.055 167.1235
53.833012 75.030 166.9160
54.199223 75.005 166.7075
54.565434 74.981 166.4967
54.931645 74.956 166.2862
55.297856 74.930 166.0804
55.664067 74.904 165.8813
56.030278 74.879 165.6872
56.396489 74.854 165.4939
56.762700 74.828 165.2991
57.128911 74.802 165.1056
57.495122 74.774 164.9197
57.861333 74.746 164.7477
58.227544 74.719 164.5899
58.593755 74.695 164.4384
58.959966 74.673 164.2807
59.326177 74.653 164.1069
59.692388 74.631 163.9155
60.058599 74.608 163.7151
60.424810 74.581 163.5195
60.791021 74.553 163.3389
61.157232 74.526 163.1757
61.523442 74.499 163.0236
61.889653 74.475 162.8739
62.255864 74.451 162.7219
62.622075 74.427 162.5690
62.988286 74.403 162.4199
63.354497 74.378 162.2774
63.720708 74.354 162.1396
64.086919 74.331 162.0015
64.453130 74.309 161.8588
64.819341 74.286 161.7118
65.185552 74.261 161.5650
65.551763 74.236 161.4235
65.917974 74.211 161.2898
66.284185 74.186 161.1622
66.650396 74.161 161.0367
67.016607 74.137 160.9103
67.382818 74.112 160.7825
67.749029 74.088 160.6557
68.115240 74.063 160.5325
68.481451 74.038 160.4136
68.847662 74.014 160.2972
69.213873 73.991 160.1794
69.580084 73.968 160.0578
69.946295 73.945 159.9325
70.312506 73.921 159.8070
70.678717 73.896 159.6863
71.044928 73.871 159.5738
71.411139 73.846 159.4696
71.777350 73.822 159.3707
72.143561 73.799 159.2734
72.509771 73.776 159.1751
72.875982 73.754 159.0750
73.242193 73.732 158.9737
73.608404 73.709 158.8717
73.974615 73.687 158.7692
74.340826 73.663 158.6669
74.707037 73.639 158.5670
75.073248 73.615 158.4723
75.439459 73.590 158.3848
75.805670 73.566 158.3040
76.171881 73.543 158.2261
76.538092 73.522 158.1469
76.904303 73.500 158.0635
77.270514 73.479 157.9764
77.636725 73.457 157.8881
78.002936 73.435 157.8009
78.369147 73.414 157.7154
78.735358 73.392 157.6304
79.101569 73.371 157.5446
79.467780 73.349 157.4584
79.833991 73.328 157.3741
80.200202 73.306 157.2939
80.566413 73.284 157.2187
80.932624 73.263 157.1466
81.298835 73.243 157.0749
81.665046 73.222 157.0014
82.031257 73.202 156.9264
82.397468 73.181 156.8519
82.763679 73.160 156.7796
83.129890 73.140 156.7096
83.496101 73.119 156.6400
83.862311 73.098 156.5689
84.228522 73.078 156.4960
84.594733 73.056 156.4234
84.960944 73.034 156.3544
85.327155 73.011 156.2911
85.693366 72.989 156.2330
86.059577 72.967 156.1774
86.425788 72.946 156.1218
86.791999 72.925 156.0655
87.158210 72.904 156.0103
87.524421 72.883 155.9582
87.890632 72.862 155.9099
88.256843 72.842 155.8633
88.623054 72.823 155.8147
88.989265 72.804 155.7612
89.355476 72.785 155.7032
89.721687 72.766 155.6442
90.087898 72.746 155.5883
90.454109 72.726 155.5379
90.820320 72.706 155.4915
91.186531 72.688 155.4451
91.552742 72.670 155.3944
91.918953 72.651 155.3386
92.285164 72.632 155.2804
92.651375 72.612 155.2249
93.017586 72.592 155.1761
93.383797 72.571 155.1350
93.750008 72.552 155.0987
94.116219 72.533 155.0632
94.482430 72.514 155.0255
94.848641 72.495 154.9853
95.214851 72.477 154.9445
95.581062 72.457 154.9053
95.947273 72.438 154.8689
96.313484 72.419 154.8348
96.679695 72.401 154.8016
97.045906 72.382 154.7677
97.412117 72.364 154.7322
97.778328 72.346 154.6952
98.144539 72.328 154.6571
98.510750 72.310 154.6183
98.876961 72.292 154.5792
99.243172 72.274 154.5401
99.609383 72.256 154.5016
99.975594 72.238 154.4644
100.341805 72.219 154.4290
100.708016 72.201 154.3960
101.074227 72.183 154.3652
101.440438 72.166 154.3359
101.806649 72.148 154.3073
102.172860 72.131 154.2782
102.539071 72.115 154.2483
102.905282 72.097 154.2179
103.271493 72.080 154.1884
103.637704 72.062 154.1611
104.003915 72.045 154.1367
104.370126 72.027 154.1151
104.736337 72.010 154.0950
105.102548 71.993 154.0748
105.468759 71.977 154.0536
105.834970 71.960 154.0308
106.201180 71.944 154.0068
106.567391 71.927 153.9821
106.933602 71.910 153.9573
107.299813 71.892 153.9333
107.666024 71.875 153.9108
108.032235 71.858 153.8909
108.398446 71.840 153.8738
108.764657 71.823 153.8591
109.130868 71.807 153.8455
109.497079 71.791 153.8311
109.863290 71.776 153.8149
110.229501 71.761 153.7965
110.595712 71.745 153.7769
110.961923 71.730 153.7572
111.328134 71.714 153.7383
111.694345 71.699 153.7204
112.060556 71.683 153.7029
112.426767 71.668 153.6856
112.792978 71.652 153.6685
113.159189 71.636 153.6519
113.525400 71.620 153.6364
113.891611 71.604 153.6226
114.257822 71.587 153.6104
114.624033 71.571 153.5993
114.990244 71.555 153.5889
115.356455 71.540 153.5786
115.722666 71.524 153.5677
116.088877 71.508 153.5558
116.455088 71.492 153.5427
116.821299 71.476 153.5292
117.187510 71.460 153.5164
117.553720 71.444 153.5057
117.919931 71.428 153.4976
118.286142 71.412 153.4919
118.652353 71.397 153.4873
119.018564 71.382 153.4821
119.384775 71.367 153.4753
119.750986 71.353 153.4666
120.117197 71.338 153.4570
120.483408 71.323 153.4480
120.849619 71.309 153.4408
121.215830 71.294 153.4358
121.582041 71.279 153.4324
121.948252 71.265 153.4296
122.314463 71.251 153.4260
122.680674 71.237 153.4212
123.046885 71.223 153.4154
123.413096 71.209 153.4094
123.779307 71.195 153.4040
124.145518 71.180 153.3999
124.511729 71.166 153.3972
124.877940 71.153 153.3953
125.244151 71.139 153.3938
125.610362 71.126 153.3922
125.976573 71.113 153.3903
126.342784 71.101 153.3881
126.708995 71.089 153.3856
127.075206 71.076 153.3824
127.441417 71.064 153.3782
127.807628 71.052 153.3730
128.173839 71.040 153.3669
128.540049 71.028 153.3606
128.906260 71.015 153.3548
129.272471 71.003 153.3503
129.638682 70.990 153.3477
130.004893 70.977 153.3475
130.371104 70.964 153.3497
130.737315 70.951 153.3542
131.103526 70.939 153.3603
131.469737 70.927 153.3671
131.835948 70.915 153.3734
132.202159 70.904 153.3784
132.568370 70.892 153.3820
132.934581 70.881 153.3844
133.300792 70.869 153.3865
133.667003 70.857 153.3893
134.033214 70.845 153.3932
134.399425 70.832 153.3982
134.765636 70.820 153.4036
135.131847 70.809 153.4090
135.498058 70.797 153.4138
135.864269 70.785 153.4182
136.230480 70.773 153.4222
136.596691 70.761 153.4261
136.962902 70.749 153.4298
137.329113 70.737 153.4332
137.695324 70.725 153.4365
138.061535 70.713 153.4401
138.427746 70.701 153.4447
138.793957 70.689 153.4507
139.160168 70.677 153.4585
139.526379 70.666 153.4674
139.892589 70.654 153.4770
140.258800 70.643 153.4866
140.625011 70.632 153.4960
140.991222 70.621 153.5056
141.357433 70.610 153.5157
141.723644 70.599 153.5263
142.089855 70.589 153.5374
142.456066 70.578 153.5487
142.822277 70.567 153.5599
143.188488 70.557 153.5711
143.554699 70.546 153.5823
143.920910 70.536 153.5938
144.287121 70.526 153.6054
144.653332 70.515 153.6171
145.019543 70.505 153.6283
145.385754 70.495 153.6389
145.751965 70.484 153.6487
146.118176 70.474 153.6580
146.484387 70.464 153.6669
146.850598 70.453 153.6757
147.216809 70.442 153.6845
147.583020 70.432 153.6935
147.949231 70.421 153.7025
148.315442 70.411 153.7115
148.681653 70.400 153.7205
149.047864 70.389 153.7296
149.414075 70.379 153.7391
149.780286 70.368 153.7491
150.146497 70.357 153.7599
