* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 5:52:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HBB PR2 Foam L
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 73.848 158.8729
0.732422 71.929 137.3982
1.098633 68.280 114.5648
1.464844 61.611 84.9288
1.831055 52.235 -9.4625
2.197266 58.727 -79.9195
2.563477 60.461 -94.5160
2.929688 60.001 -86.7702
3.295899 61.696 -64.8381
3.662110 65.152 -57.0818
4.028321 67.675 -60.6565
4.394532 69.035 -67.1521
4.760743 69.575 -72.5736
5.126954 69.752 -75.2292
5.493164 70.030 -75.6966
5.859375 70.598 -76.4033
6.225586 71.274 -79.1048
6.591797 71.815 -83.5601
6.958008 72.140 -88.5404
7.324219 72.322 -92.9666
7.690430 72.507 -96.4825
8.056641 72.799 -99.5069
8.422852 73.193 -102.6939
8.789063 73.602 -106.2873
9.155274 73.952 -110.0124
9.521485 74.226 -113.4108
9.887696 74.458 -116.1966
10.253907 74.617 -118.4071
10.620118 74.768 -120.3028
10.986329 74.929 -122.1344
11.352540 75.071 -123.9901
11.718751 75.173 -125.8183
12.084962 75.234 -127.5351
12.451173 75.263 -129.1042
12.817384 75.323 -130.5481
13.183595 75.379 -131.9233
13.549806 75.427 -133.2944
13.916017 75.467 -134.7181
14.282228 75.497 -136.2260
14.648439 75.512 -137.8070
15.014650 75.511 -139.4081
15.380861 75.501 -140.9660
15.747072 75.495 -142.4531
16.113283 75.506 -143.8963
16.479493 75.543 -145.3484
16.845704 75.587 -146.8347
17.211915 75.630 -148.3231
17.578126 75.669 -149.7469
17.944337 75.710 -151.0583
18.310548 75.758 -152.2642
18.676759 75.815 -153.4159
19.042970 75.876 -154.5624
19.409181 75.928 -155.7116
19.775392 75.966 -156.8298
20.141603 75.989 -157.8742
20.507814 76.003 -158.8269
20.874025 76.010 -159.7046
21.240236 76.011 -160.5405
21.606447 76.004 -161.3555
21.972658 75.986 -162.1432
22.338869 75.957 -162.8769
22.705080 75.923 -163.5340
23.071291 75.894 -164.1208
23.437502 75.875 -164.6809
23.803713 75.869 -165.2776
24.169924 75.871 -165.9595
24.536135 75.872 -166.7333
24.902346 75.866 -167.5649
25.268557 75.854 -168.4089
25.634768 75.838 -169.2435
26.000979 75.822 -170.0778
26.367190 75.800 -170.9245
26.733401 75.767 -171.7593
27.099612 75.720 -172.5107
27.465823 75.668 -173.0993
27.832033 75.626 -173.5065
28.198244 75.611 -173.8150
28.564455 75.626 -174.1743
28.930666 75.655 -174.7043
29.296877 75.674 -175.4156
29.663088 75.667 -176.2083
30.029299 75.633 -176.9448
30.395510 75.588 -177.5404
30.761721 75.548 -178.0105
31.127932 75.522 -178.4434
31.494143 75.505 -178.9227
31.860354 75.486 -179.4658
32.226565 75.456 179.9776
32.592776 75.420 179.4738
32.958987 75.385 179.0481
33.325198 75.360 178.6664
33.691409 75.347 178.2642
34.057620 75.338 177.7969
34.423831 75.323 177.2703
34.790042 75.298 176.7323
35.156253 75.263 176.2368
35.522464 75.224 175.8106
35.888675 75.188 175.4433
36.254886 75.155 175.1043
36.621097 75.125 174.7709
36.987308 75.094 174.4430
37.353519 75.062 174.1371
37.719730 75.032 173.8635
38.085941 75.007 173.6097
38.452152 74.990 173.3412
38.818363 74.978 173.0215
39.184573 74.964 172.6345
39.550784 74.943 172.1939
39.916995 74.912 171.7353
40.283206 74.872 171.2993
40.649417 74.826 170.9157
41.015628 74.778 170.5964
41.381839 74.735 170.3344
41.748050 74.699 170.1068
42.114261 74.672 169.8821
42.480472 74.651 169.6306
42.846683 74.633 169.3374
43.212894 74.613 169.0093
43.579105 74.587 168.6699
43.945316 74.557 168.3452
44.311527 74.524 168.0491
44.677738 74.492 167.7796
45.043949 74.462 167.5256
45.410160 74.434 167.2782
45.776371 74.407 167.0337
46.142582 74.382 166.7898
46.508793 74.358 166.5399
46.875004 74.334 166.2760
47.241215 74.308 165.9973
47.607426 74.278 165.7166
47.973637 74.245 165.4546
48.339848 74.211 165.2260
48.706059 74.179 165.0270
49.072270 74.151 164.8375
49.438481 74.127 164.6357
49.804692 74.102 164.4140
50.170902 74.074 164.1834
50.537113 74.042 163.9647
50.903324 74.009 163.7731
51.269535 73.976 163.6086
51.635746 73.946 163.4575
52.001957 73.919 163.3014
52.368168 73.893 163.1295
52.734379 73.865 162.9431
53.100590 73.835 162.7537
53.466801 73.802 162.5734
53.833012 73.770 162.4050
54.199223 73.740 162.2381
54.565434 73.712 162.0559
54.931645 73.683 161.8502
55.297856 73.651 161.6329
55.664067 73.614 161.4330
56.030278 73.576 161.2771
56.396489 73.545 161.1651
56.762700 73.524 161.0613
57.128911 73.513 160.9126
57.495122 73.505 160.6830
57.861333 73.491 160.3800
58.227544 73.463 160.0525
58.593755 73.424 159.7626
58.959966 73.378 159.5528
59.326177 73.332 159.4288
59.692388 73.293 159.3679
60.058599 73.261 159.3398
60.424810 73.237 159.3228
60.791021 73.219 159.3026
61.157232 73.207 159.2634
61.523442 73.198 159.1851
61.889653 73.190 159.0541
62.255864 73.175 158.8776
62.622075 73.152 158.6857
62.988286 73.120 158.5164
63.354497 73.083 158.3922
63.720708 73.049 158.3069
64.086919 73.018 158.2335
64.453130 72.990 158.1470
64.819341 72.962 158.0437
65.185552 72.931 157.9395
65.551763 72.901 157.8514
65.917974 72.873 157.7776
66.284185 72.850 157.6947
66.650396 72.831 157.5761
67.016607 72.809 157.4169
67.382818 72.780 157.2426
67.749029 72.745 157.0941
68.115240 72.708 156.9988
68.481451 72.677 156.9495
68.847662 72.653 156.9099
69.213873 72.635 156.8419
69.580084 72.618 156.7322
69.946295 72.597 156.5985
70.312506 72.572 156.4705
70.678717 72.544 156.3656
71.044928 72.516 156.2791
71.411139 72.490 156.1961
71.777350 72.463 156.1122
72.143561 72.434 156.0399
72.509771 72.405 155.9943
72.875982 72.379 155.9717
73.242193 72.359 155.9443
73.608404 72.343 155.8796
73.974615 72.323 155.7699
74.340826 72.297 155.6433
74.707037 72.263 155.5443
75.073248 72.229 155.4977
75.439459 72.200 155.4868
75.805670 72.178 155.4658
76.171881 72.160 155.3990
76.538092 72.137 155.2920
76.904303 72.107 155.1868
77.270514 72.073 155.1265
77.636725 72.042 155.1181
78.002936 72.020 155.1263
78.369147 72.005 155.1021
78.735358 71.992 155.0223
79.101569 71.973 154.9042
79.467780 71.948 154.7874
79.833991 71.919 154.7001
80.200202 71.891 154.6431
80.566413 71.864 154.5989
80.932624 71.839 154.5566
81.298835 71.813 154.5240
81.665046 71.788 154.5159
82.031257 71.766 154.5310
82.397468 71.752 154.5430
82.763679 71.742 154.5174
83.129890 71.732 154.4402
83.496101 71.715 154.3333
83.862311 71.691 154.2389
84.228522 71.664 154.1877
84.594733 71.642 154.1730
84.960944 71.626 154.1549
85.327155 71.616 154.0911
85.693366 71.602 153.9695
86.059577 71.580 153.8173
86.425788 71.549 153.6819
86.791999 71.512 153.6003
87.158210 71.476 153.5784
87.524421 71.445 153.5940
87.890632 71.421 153.6167
88.256843 71.401 153.6274
88.623054 71.383 153.6234
88.989265 71.366 153.6101
89.355476 71.349 153.5902
89.721687 71.332 153.5614
90.087898 71.315 153.5236
90.454109 71.295 153.4844
90.820320 71.274 153.4571
91.186531 71.253 153.4478
91.552742 71.235 153.4471
91.918953 71.220 153.4328
92.285164 71.206 153.3878
92.651375 71.187 153.3174
93.017586 71.162 153.2510
93.383797 71.132 153.2233
93.750008 71.103 153.2467
94.116219 71.083 153.2964
94.482430 71.071 153.3234
94.848641 71.063 153.2875
95.214851 71.050 153.1881
95.581062 71.027 153.0664
95.947273 70.994 152.9796
96.313484 70.958 152.9637
96.679695 70.927 153.0117
97.045906 70.907 153.0804
97.412117 70.896 153.1198
97.778328 70.888 153.1038
98.144539 70.876 153.0408
98.510750 70.859 152.9618
98.876961 70.835 152.8994
99.243172 70.809 152.8726
99.609383 70.784 152.8818
99.975594 70.764 152.9133
100.341805 70.748 152.9469
100.708016 70.737 152.9625
101.074227 70.727 152.9472
101.440438 70.714 152.9013
101.806649 70.697 152.8402
102.172860 70.675 152.7890
102.539071 70.650 152.7686
102.905282 70.626 152.7832
103.271493 70.606 152.8161
103.637704 70.592 152.8395
104.003915 70.579 152.8318
104.370126 70.565 152.7915
104.736337 70.547 152.7374
105.102548 70.523 152.6958
105.468759 70.498 152.6841
105.834970 70.474 152.7013
106.201180 70.454 152.7301
106.567391 70.438 152.7504
106.933602 70.423 152.7520
107.299813 70.407 152.7390
107.666024 70.389 152.7250
108.032235 70.369 152.7224
108.398446 70.351 152.7332
108.764657 70.335 152.7487
109.130868 70.321 152.7553
109.497079 70.308 152.7436
109.863290 70.294 152.7141
110.229501 70.277 152.6770
110.595712 70.257 152.6467
110.961923 70.236 152.6337
111.328134 70.215 152.6388
111.694345 70.197 152.6525
112.060556 70.181 152.6610
112.426767 70.165 152.6551
112.792978 70.148 152.6379
113.159189 70.128 152.6247
113.525400 70.105 152.6344
113.891611 70.084 152.6763
114.257822 70.067 152.7416
114.624033 70.056 152.8069
114.990244 70.050 152.8470
115.356455 70.045 152.8505
115.722666 70.038 152.8235
116.088877 70.028 152.7826
116.455088 70.015 152.7411
116.821299 69.999 152.7036
117.187510 69.982 152.6693
117.553720 69.962 152.6427
117.919931 69.940 152.6358
118.286142 69.918 152.6590
118.652353 69.900 152.7073
119.018564 69.888 152.7558
119.384775 69.881 152.7728
119.750986 69.873 152.7430
120.117197 69.860 152.6810
120.483408 69.839 152.6241
120.849619 69.814 152.6072
121.215830 69.789 152.6387
121.582041 69.771 152.6964
121.948252 69.758 152.7451
122.314463 69.748 152.7628
122.680674 69.737 152.7529
123.046885 69.721 152.7370
123.413096 69.703 152.7358
123.779307 69.685 152.7553
124.145518 69.668 152.7872
124.511729 69.654 152.8196
124.877940 69.641 152.8463
125.244151 69.629 152.8674
125.610362 69.618 152.8844
125.976573 69.607 152.8963
126.342784 69.596 152.9012
126.708995 69.583 152.8998
127.075206 69.570 152.8970
127.441417 69.555 152.8979
127.807628 69.541 152.9041
128.173839 69.526 152.9141
128.540049 69.511 152.9273
128.906260 69.497 152.9447
129.272471 69.483 152.9663
129.638682 69.471 152.9866
130.004893 69.460 152.9965
130.371104 69.448 152.9917
130.737315 69.434 152.9811
131.103526 69.416 152.9855
131.469737 69.397 153.0234
131.835948 69.381 153.0936
132.202159 69.372 153.1718
132.568370 69.368 153.2253
132.934581 69.365 153.2372
133.300792 69.359 153.2192
133.667003 69.346 153.2023
134.033214 69.331 153.2117
134.399425 69.318 153.2477
134.765636 69.308 153.2868
135.131847 69.301 153.3025
135.498058 69.292 153.2881
135.864269 69.279 153.2628
136.230480 69.260 153.2564
136.596691 69.240 153.2870
136.962902 69.223 153.3485
137.329113 69.212 153.4163
137.695324 69.205 153.4644
138.061535 69.199 153.4810
138.427746 69.192 153.4714
138.793957 69.182 153.4508
139.160168 69.169 153.4340
139.526379 69.154 153.4289
139.892589 69.140 153.4365
140.258800 69.126 153.4532
140.625011 69.114 153.4733
140.991222 69.104 153.4908
141.357433 69.093 153.5020
141.723644 69.082 153.5078
142.089855 69.070 153.5144
142.456066 69.056 153.5317
142.822277 69.042 153.5678
143.188488 69.030 153.6226
143.554699 69.022 153.6844
143.920910 69.017 153.7347
144.287121 69.014 153.7584
144.653332 69.009 153.7561
145.019543 68.998 153.7468
145.385754 68.985 153.7565
145.751965 68.971 153.7974
146.118176 68.962 153.8533
146.484387 68.958 153.8863
146.850598 68.954 153.8661
147.216809 68.943 153.8002
147.583020 68.921 153.7388
147.949231 68.890 153.7444
148.315442 68.860 153.8443
148.681653 68.843 154.0023
149.047864 68.841 154.1381
149.414075 68.847 154.1859
149.780286 68.848 154.1444
150.146497 68.836 154.0769
150.512708 68.814 154.0596
150.878918 68.794 154.1214
