* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 5:53:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HBB PR2 Foam R
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 79.531 -22.1343
0.732422 77.681 -43.9544
1.098633 74.133 -64.6837
1.464844 67.382 -80.3482
1.831055 55.119 -8.3369
2.197266 66.026 24.4093
2.563477 69.150 6.1797
2.929688 69.499 -15.7807
3.295899 68.281 -37.5886
3.662110 66.049 -55.3111
4.028321 63.793 -61.7889
4.394532 63.899 -57.1716
4.760743 66.391 -59.3105
5.126954 68.869 -69.8338
5.493164 70.545 -82.1282
5.859375 71.443 -92.3403
6.225586 71.840 -98.5018
6.591797 72.170 -100.4129
6.958008 72.775 -100.2586
7.324219 73.594 -100.8806
7.690430 74.327 -103.1176
8.056641 74.796 -106.0616
8.422852 75.022 -108.5681
8.789063 75.148 -110.1617
9.155274 75.302 -111.2449
9.521485 75.510 -112.5886
9.887696 75.706 -114.5793
10.253907 75.759 -117.0295
10.620118 75.714 -119.5421
10.986329 75.653 -121.9038
11.352540 75.619 -124.1888
11.718751 75.617 -126.5656
12.084962 75.627 -129.0587
12.451173 75.634 -131.5175
12.817384 75.696 -133.7728
13.183595 75.785 -135.7846
13.549806 75.898 -137.6368
13.916017 76.023 -139.4114
14.282228 76.139 -141.0966
14.648439 76.238 -142.6206
15.014650 76.326 -143.9520
15.380861 76.407 -145.1470
15.747072 76.479 -146.2951
16.113283 76.531 -147.4296
16.479493 76.564 -148.5037
16.845704 76.571 -149.4545
17.211915 76.571 -150.2854
17.578126 76.575 -151.0867
17.944337 76.584 -151.9740
18.310548 76.588 -153.0070
18.676759 76.577 -154.1615
19.042970 76.549 -155.3641
19.409181 76.510 -156.5435
19.775392 76.470 -157.6603
20.141603 76.443 -158.7119
20.507814 76.437 -159.7314
20.874025 76.453 -160.7797
21.240236 76.483 -161.9184
21.606447 76.510 -163.1603
21.972658 76.517 -164.4318
22.338869 76.498 -165.5898
22.705080 76.463 -166.4989
23.071291 76.435 -167.1245
23.437502 76.433 -167.5669
23.803713 76.457 -167.9943
24.169924 76.493 -168.5223
24.536135 76.518 -169.1496
24.902346 76.526 -169.7997
25.268557 76.520 -170.4175
25.634768 76.511 -171.0265
26.000979 76.497 -171.6941
26.367190 76.466 -172.4417
26.733401 76.407 -173.1904
27.099612 76.327 -173.8021
27.465823 76.248 -174.1907
27.832033 76.200 -174.4169
28.198244 76.197 -174.6747
28.564455 76.225 -175.1601
28.930666 76.255 -175.9311
29.296877 76.258 -176.8747
29.663088 76.228 -177.7923
30.029299 76.182 -178.5293
30.395510 76.144 -179.0638
30.761721 76.131 -179.4989
31.127932 76.140 -179.9684
31.494143 76.154 179.4656
31.860354 76.156 178.8414
32.226565 76.142 178.2455
32.592776 76.119 177.7374
32.958987 76.096 177.3120
33.325198 76.076 176.9221
33.691409 76.057 176.5294
34.057620 76.033 176.1314
34.423831 76.004 175.7433
34.790042 75.973 175.3634
35.156253 75.941 174.9660
35.522464 75.903 174.5343
35.888675 75.853 174.0974
36.254886 75.794 173.7235
36.621097 75.737 173.4597
36.987308 75.698 173.2665
37.353519 75.684 173.0173
37.719730 75.683 172.5848
38.085941 75.669 171.9507
38.452152 75.620 171.2411
38.818363 75.538 170.6580
39.184573 75.443 170.3497
39.550784 75.370 170.3062
39.916995 75.340 170.3588
40.283206 75.348 170.2996
40.649417 75.368 170.0233
41.015628 75.374 169.5759
41.381839 75.357 169.0910
41.748050 75.322 168.6843
42.114261 75.286 168.3866
42.480472 75.258 168.1510
42.846683 75.238 167.9120
43.212894 75.220 167.6412
43.579105 75.199 167.3540
43.945316 75.176 167.0772
44.311527 75.154 166.8153
44.677738 75.134 166.5475
45.043949 75.114 166.2534
45.410160 75.090 165.9379
45.776371 75.060 165.6310
46.142582 75.026 165.3615
46.508793 74.994 165.1297
46.875004 74.968 164.9052
47.241215 74.944 164.6511
47.607426 74.917 164.3578
47.973637 74.882 164.0552
48.339848 74.839 163.7923
48.706059 74.794 163.6000
49.072270 74.755 163.4656
49.438481 74.726 163.3389
49.804692 74.705 163.1693
50.170902 74.683 162.9414
50.537113 74.655 162.6838
50.903324 74.620 162.4433
51.269535 74.582 162.2484
51.635746 74.549 162.0900
52.001957 74.522 161.9337
52.368168 74.498 161.7516
52.734379 74.472 161.5450
53.100590 74.443 161.3399
53.466801 74.413 161.1613
53.833012 74.385 161.0087
54.199223 74.363 160.8553
54.565434 74.343 160.6693
54.931645 74.322 160.4413
55.297856 74.292 160.1946
55.664067 74.253 159.9713
56.030278 74.210 159.8061
56.396489 74.168 159.7065
56.762700 74.133 159.6490
57.128911 74.107 159.5943
57.495122 74.087 159.5074
57.861333 74.069 159.3729
58.227544 74.048 159.1983
58.593755 74.021 159.0068
58.959966 73.990 158.8255
59.326177 73.957 158.6729
59.692388 73.926 158.5500
60.058599 73.901 158.4388
60.424810 73.881 158.3108
60.791021 73.863 158.1441
61.157232 73.843 157.9384
61.523442 73.816 157.7186
61.889653 73.782 157.5220
62.255864 73.746 157.3766
62.622075 73.712 157.2833
62.988286 73.685 157.2164
63.354497 73.663 157.1414
63.720708 73.643 157.0388
64.086919 73.622 156.9137
64.453130 73.596 156.7874
64.819341 73.569 156.6777
65.185552 73.541 156.5858
65.551763 73.516 156.4982
65.917974 73.491 156.4009
66.284185 73.465 156.2905
66.650396 73.436 156.1748
67.016607 73.405 156.0647
67.382818 73.372 155.9661
67.749029 73.339 155.8795
68.115240 73.306 155.8042
68.481451 73.275 155.7402
68.847662 73.246 155.6842
69.213873 73.221 155.6251
69.580084 73.199 155.5468
69.946295 73.178 155.4380
70.312506 73.155 155.3031
70.678717 73.128 155.1613
71.044928 73.098 155.0354
71.411139 73.068 154.9364
71.777350 73.041 154.8554
72.143561 73.018 154.7698
72.509771 72.998 154.6590
72.875982 72.977 154.5193
73.242193 72.950 154.3689
73.608404 72.918 154.2387
73.974615 72.884 154.1543
74.340826 72.853 154.1180
74.707037 72.830 154.1036
75.073248 72.814 154.0703
75.439459 72.800 153.9906
75.805670 72.782 153.8721
76.171881 72.757 153.7543
76.538092 72.726 153.6810
76.904303 72.697 153.6660
77.270514 72.675 153.6813
77.636725 72.660 153.6794
78.002936 72.647 153.6320
78.369147 72.629 153.5518
78.735358 72.605 153.4771
79.101569 72.578 153.4354
79.467780 72.552 153.4200
79.833991 72.531 153.4008
80.200202 72.510 153.3571
80.566413 72.485 153.2977
80.932624 72.457 153.2486
81.298835 72.428 153.2213
81.665046 72.402 153.1990
82.031257 72.378 153.1555
82.397468 72.352 153.0878
82.763679 72.321 153.0242
83.129890 72.289 152.9949
83.496101 72.263 152.9940
83.862311 72.244 152.9767
84.228522 72.228 152.9017
84.594733 72.206 152.7802
84.960944 72.175 152.6750
85.327155 72.141 152.6441
85.693366 72.118 152.6763
86.059577 72.110 152.6865
86.425788 72.110 152.5877
86.791999 72.099 152.3779
87.158210 72.067 152.1573
87.524421 72.017 152.0546
87.890632 71.972 152.1210
88.256843 71.948 152.2801
88.623054 71.948 152.3869
88.989265 71.956 152.3481
89.355476 71.952 152.1923
89.721687 71.928 152.0309
90.087898 71.894 151.9558
90.454109 71.865 151.9659
90.820320 71.847 151.9842
91.186531 71.832 151.9440
91.552742 71.811 151.8577
91.918953 71.778 151.7996
92.285164 71.744 151.8267
92.651375 71.720 151.9145
93.017586 71.712 151.9730
93.383797 71.708 151.9296
93.750008 71.695 151.7985
94.116219 71.665 151.6692
94.482430 71.625 151.6292
94.848641 71.591 151.6892
95.214851 71.572 151.7774
95.581062 71.565 151.8057
95.947273 71.556 151.7475
96.313484 71.536 151.6535
96.679695 71.507 151.5999
97.045906 71.479 151.6193
97.412117 71.461 151.6743
97.778328 71.453 151.6937
98.144539 71.447 151.6356
98.510750 71.434 151.5206
98.876961 71.408 151.4109
99.243172 71.376 151.3611
99.609383 71.347 151.3805
99.975594 71.326 151.4325
100.341805 71.314 151.4661
100.708016 71.305 151.4503
101.074227 71.293 151.3892
101.440438 71.275 151.3134
101.806649 71.250 151.2603
102.172860 71.222 151.2547
102.539071 71.198 151.2961
102.905282 71.181 151.3567
103.271493 71.173 151.3932
103.637704 71.167 151.3719
104.003915 71.156 151.2919
104.370126 71.134 151.1923
104.736337 71.101 151.1329
105.102548 71.065 151.1567
105.468759 71.036 151.2577
105.834970 71.021 151.3790
106.201180 71.018 151.4473
106.567391 71.017 151.4214
106.933602 71.008 151.3190
107.299813 70.986 151.2034
107.666024 70.955 151.1407
108.032235 70.923 151.1567
108.398446 70.899 151.2218
108.764657 70.887 151.2760
109.130868 70.879 151.2735
109.497079 70.869 151.2145
109.863290 70.850 151.1408
110.229501 70.825 151.1014
110.595712 70.801 151.1141
110.961923 70.784 151.1536
111.328134 70.773 151.1741
111.694345 70.764 151.1487
112.060556 70.750 151.0922
112.426767 70.729 151.0481
112.792978 70.705 151.0523
113.159189 70.685 151.1013
113.525400 70.673 151.1538
113.891611 70.667 151.1647
114.257822 70.658 151.1230
114.624033 70.642 151.0609
114.990244 70.619 151.0267
115.356455 70.595 151.0449
115.722666 70.576 151.0963
116.088877 70.565 151.1349
116.455088 70.557 151.1274
116.821299 70.544 151.0802
117.187510 70.524 151.0322
117.553720 70.499 151.0214
117.919931 70.476 151.0543
118.286142 70.460 151.1035
118.652353 70.448 151.1320
119.018564 70.436 151.1243
119.384775 70.421 151.0958
119.750986 70.400 151.0770
120.117197 70.377 151.0892
120.483408 70.356 151.1310
120.849619 70.339 151.1852
121.215830 70.325 151.2343
121.582041 70.313 151.2716
121.948252 70.301 151.2981
122.314463 70.291 151.3142
122.680674 70.280 151.3166
123.046885 70.269 151.3025
123.413096 70.255 151.2778
123.779307 70.238 151.2566
124.145518 70.219 151.2524
124.511729 70.201 151.2685
124.877940 70.185 151.2946
125.244151 70.173 151.3140
125.610362 70.164 151.3151
125.976573 70.152 151.2979
126.342784 70.138 151.2727
126.708995 70.121 151.2539
127.075206 70.102 151.2535
127.441417 70.083 151.2775
127.807628 70.066 151.3242
128.173839 70.052 151.3828
128.540049 70.042 151.4359
128.906260 70.036 151.4658
129.272471 70.029 151.4652
129.638682 70.018 151.4427
130.004893 70.003 151.4205
130.371104 69.984 151.4208
130.737315 69.964 151.4528
131.103526 69.948 151.5070
131.469737 69.936 151.5622
131.835948 69.928 151.5999
132.202159 69.919 151.6139
132.568370 69.910 151.6098
132.934581 69.898 151.5973
133.300792 69.884 151.5837
133.667003 69.869 151.5732
134.033214 69.852 151.5710
134.399425 69.834 151.5839
134.765636 69.817 151.6168
135.131847 69.803 151.6653
135.498058 69.793 151.7136
135.864269 69.787 151.7419
136.230480 69.782 151.7384
136.596691 69.773 151.7090
136.962902 69.759 151.6762
137.329113 69.741 151.6680
137.695324 69.722 151.7015
138.061535 69.708 151.7712
138.427746 69.701 151.8492
138.793957 69.701 151.8978
139.160168 69.703 151.8906
139.526379 69.700 151.8296
139.892589 69.688 151.7477
140.258800 69.666 151.6932
140.625011 69.639 151.7043
140.991222 69.616 151.7857
141.357433 69.601 151.9055
141.723644 69.598 152.0127
142.089855 69.600 152.0668
142.456066 69.602 152.0587
142.822277 69.597 152.0101
143.188488 69.584 151.9566
143.554699 69.565 151.9278
143.920910 69.544 151.9367
144.287121 69.524 151.9803
144.653332 69.508 152.0458
145.019543 69.495 152.1160
145.385754 69.487 152.1733
145.751965 69.479 152.2057
146.118176 69.471 152.2134
146.484387 69.458 152.2115
146.850598 69.442 152.2231
147.216809 69.425 152.2636
147.583020 69.412 152.3277
147.949231 69.403 152.3913
148.315442 69.399 152.4279
148.681653 69.395 152.4279
149.047864 69.386 152.4048
149.414075 69.374 152.3839
149.780286 69.359 152.3836
150.146497 69.345 152.4043
150.512708 69.333 152.4330
150.878918 69.323 152.4569
