* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 2, 2023 6:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Celest Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.826 -22.1084
0.732422 65.947 -43.9516
1.098633 62.324 -64.9034
1.464844 55.294 -81.6561
1.831055 42.011 9.6349
2.197266 54.445 32.3694
2.563477 57.360 14.3033
2.929688 57.368 -5.2363
3.295899 55.536 -22.0586
3.662110 52.412 -29.3489
4.028321 50.429 -18.2440
4.394532 52.406 -10.6881
4.760743 55.075 -20.2545
5.126954 56.945 -35.5223
5.493164 58.030 -49.5910
5.859375 58.575 -59.1283
6.225586 59.019 -62.9811
6.591797 59.838 -63.1036
6.958008 61.054 -63.3755
7.324219 62.282 -65.5750
7.690430 63.234 -68.8981
8.056641 63.879 -71.9652
8.422852 64.341 -74.0043
8.789063 64.767 -75.1599
9.155274 65.218 -76.1341
9.521485 65.659 -77.4550
9.887696 66.030 -79.1239
10.253907 66.252 -80.8574
10.620118 66.402 -82.4779
10.986329 66.553 -84.0672
11.352540 66.714 -85.8166
11.718751 66.866 -87.7941
12.084962 66.995 -89.8834
12.451173 67.109 -91.9162
12.817384 67.275 -93.8247
13.183595 67.468 -95.6679
13.549806 67.673 -97.5255
13.916017 67.874 -99.3913
14.282228 68.060 -101.1730
14.648439 68.237 -102.7838
15.014650 68.415 -104.2211
15.380861 68.597 -105.5586
15.747072 68.777 -106.8691
16.113283 68.946 -108.1613
16.479493 69.102 -109.3889
16.845704 69.240 -110.5098
17.211915 69.368 -111.5323
17.578126 69.491 -112.5101
17.944337 69.607 -113.4970
18.310548 69.711 -114.5105
18.676759 69.801 -115.5326
19.042970 69.879 -116.5381
19.409181 69.952 -117.5199
19.775392 70.025 -118.4941
20.141603 70.102 -119.4884
20.507814 70.182 -120.5260
20.874025 70.262 -121.6164
21.240236 70.336 -122.7490
21.606447 70.402 -123.8925
21.972658 70.459 -125.0020
22.338869 70.510 -126.0370
22.705080 70.563 -126.9809
23.071291 70.621 -127.8471
23.437502 70.686 -128.6671
23.803713 70.757 -129.4686
24.169924 70.829 -130.2625
24.536135 70.900 -131.0496
24.902346 70.970 -131.8329
25.268557 71.036 -132.6227
25.634768 71.094 -133.4246
26.000979 71.142 -134.2251
26.367190 71.176 -134.9907
26.733401 71.201 -135.6870
27.099612 71.224 -136.3034
27.465823 71.252 -136.8646
27.832033 71.286 -137.4179
28.198244 71.325 -138.0046
28.564455 71.362 -138.6382
28.930666 71.394 -139.3003
29.296877 71.418 -139.9562
29.663088 71.437 -140.5759
30.029299 71.457 -141.1492
30.395510 71.481 -141.6888
30.761721 71.511 -142.2217
31.127932 71.546 -142.7751
31.494143 71.581 -143.3606
31.860354 71.611 -143.9683
32.226565 71.635 -144.5724
32.592776 71.654 -145.1470
32.958987 71.672 -145.6829
33.325198 71.691 -146.1927
33.691409 71.712 -146.7009
34.057620 71.732 -147.2240
34.423831 71.747 -147.7567
34.790042 71.755 -148.2728
35.156253 71.759 -148.7425
35.522464 71.762 -149.1519
35.888675 71.772 -149.5144
36.254886 71.791 -149.8663
36.621097 71.818 -150.2504
36.987308 71.849 -150.6973
37.353519 71.877 -151.2133
37.719730 71.897 -151.7776
38.085941 71.904 -152.3497
38.452152 71.899 -152.8822
38.818363 71.888 -153.3381
39.184573 71.877 -153.7056
39.550784 71.874 -154.0047
39.916995 71.882 -154.2808
40.283206 71.902 -154.5841
40.649417 71.925 -154.9473
41.015628 71.947 -155.3709
41.381839 71.960 -155.8275
41.748050 71.964 -156.2784
42.114261 71.963 -156.6953
42.480472 71.961 -157.0724
42.846683 71.961 -157.4245
43.212894 71.963 -157.7730
43.579105 71.967 -158.1311
43.945316 71.970 -158.4979
44.311527 71.970 -158.8631
44.677738 71.970 -159.2172
45.043949 71.969 -159.5578
45.410160 71.970 -159.8890
45.776371 71.971 -160.2163
46.142582 71.973 -160.5420
46.508793 71.976 -160.8656
46.875004 71.978 -161.1870
47.241215 71.981 -161.5076
47.607426 71.984 -161.8289
47.973637 71.985 -162.1490
48.339848 71.986 -162.4627
48.706059 71.985 -162.7653
49.072270 71.985 -163.0569
49.438481 71.985 -163.3435
49.804692 71.986 -163.6329
50.170902 71.987 -163.9281
50.537113 71.985 -164.2244
50.903324 71.983 -164.5132
51.269535 71.979 -164.7888
51.635746 71.976 -165.0538
52.001957 71.975 -165.3176
52.368168 71.975 -165.5901
52.734379 71.973 -165.8735
53.100590 71.970 -166.1608
53.466801 71.963 -166.4394
53.833012 71.956 -166.7003
54.199223 71.950 -166.9434
54.565434 71.945 -167.1779
54.931645 71.943 -167.4147
55.297856 71.941 -167.6590
55.664067 71.938 -167.9070
56.030278 71.934 -168.1513
56.396489 71.930 -168.3891
56.762700 71.928 -168.6272
57.128911 71.926 -168.8779
57.495122 71.923 -169.1475
57.861333 71.915 -169.4259
58.227544 71.902 -169.6892
58.593755 71.886 -169.9127
58.959966 71.872 -170.0892
59.326177 71.864 -170.2368
59.692388 71.864 -170.3904
60.058599 71.868 -170.5808
60.424810 71.873 -170.8163
60.791021 71.873 -171.0798
61.157232 71.867 -171.3421
61.523442 71.859 -171.5814
61.889653 71.850 -171.7943
62.255864 71.844 -171.9934
62.622075 71.839 -172.1938
62.988286 71.835 -172.4020
63.354497 71.830 -172.6134
63.720708 71.823 -172.8193
64.086919 71.815 -173.0154
64.453130 71.808 -173.2037
64.819341 71.802 -173.3897
65.185552 71.796 -173.5763
65.551763 71.789 -173.7627
65.917974 71.782 -173.9472
66.284185 71.775 -174.1314
66.650396 71.769 -174.3195
67.016607 71.761 -174.5143
67.382818 71.752 -174.7131
67.749029 71.741 -174.9077
68.115240 71.729 -175.0898
68.481451 71.717 -175.2578
68.847662 71.707 -175.4183
69.213873 71.699 -175.5812
69.580084 71.692 -175.7528
69.946295 71.684 -175.9316
70.312506 71.675 -176.1111
70.678717 71.666 -176.2856
71.044928 71.657 -176.4544
71.411139 71.648 -176.6205
71.777350 71.639 -176.7859
72.143561 71.631 -176.9489
72.509771 71.622 -177.1059
72.875982 71.615 -177.2571
73.242193 71.609 -177.4094
73.608404 71.604 -177.5717
73.974615 71.598 -177.7477
74.340826 71.589 -177.9298
74.707037 71.578 -178.1034
75.073248 71.566 -178.2565
75.439459 71.555 -178.3907
75.805670 71.547 -178.5213
76.171881 71.542 -178.6676
76.538092 71.536 -178.8391
76.904303 71.528 -179.0282
77.270514 71.514 -179.2149
77.636725 71.497 -179.3798
78.002936 71.480 -179.5157
78.369147 71.465 -179.6306
78.735358 71.453 -179.7401
79.101569 71.443 -179.8565
79.467780 71.433 -179.9826
79.833991 71.423 179.8875
80.200202 71.411 179.7613
80.566413 71.400 179.6423
80.932624 71.390 179.5285
81.298835 71.381 179.4147
81.665046 71.373 179.2964
82.031257 71.365 179.1717
82.397468 71.357 179.0415
82.763679 71.348 178.9082
83.129890 71.338 178.7750
83.496101 71.327 178.6456
83.862311 71.315 178.5229
84.228522 71.304 178.4085
84.594733 71.294 178.3008
84.960944 71.284 178.1956
85.327155 71.276 178.0872
85.693366 71.269 177.9714
86.059577 71.261 177.8472
86.425788 71.252 177.7171
86.791999 71.242 177.5866
87.158210 71.230 177.4617
87.524421 71.217 177.3469
87.890632 71.204 177.2432
88.256843 71.192 177.1481
88.623054 71.181 177.0562
88.989265 71.172 176.9612
89.355476 71.163 176.8588
89.721687 71.154 176.7483
90.087898 71.144 176.6328
90.454109 71.132 176.5177
90.820320 71.120 176.4078
91.186531 71.107 176.3053
91.552742 71.096 176.2088
91.918953 71.085 176.1144
92.285164 71.075 176.0177
92.651375 71.065 175.9155
93.017586 71.055 175.8077
93.383797 71.045 175.6967
93.750008 71.034 175.5863
94.116219 71.022 175.4800
94.482430 71.010 175.3795
94.848641 70.999 175.2839
95.214851 70.988 175.1906
95.581062 70.977 175.0969
95.947273 70.967 175.0011
96.313484 70.957 174.9032
96.679695 70.946 174.8046
97.045906 70.935 174.7071
97.412117 70.923 174.6123
97.778328 70.911 174.5211
98.144539 70.899 174.4337
98.510750 70.887 174.3496
98.876961 70.876 174.2677
99.243172 70.864 174.1866
99.609383 70.854 174.1046
99.975594 70.843 174.0208
100.341805 70.832 173.9351
100.708016 70.821 173.8483
101.074227 70.810 173.7618
101.440438 70.798 173.6770
101.806649 70.787 173.5941
102.172860 70.775 173.5130
102.539071 70.764 173.4330
102.905282 70.753 173.3531
103.271493 70.743 173.2730
103.637704 70.732 173.1925
104.003915 70.721 173.1119
104.370126 70.711 173.0317
104.736337 70.700 172.9524
105.102548 70.689 172.8746
105.468759 70.678 172.7982
105.834970 70.668 172.7230
106.201180 70.657 172.6484
106.567391 70.647 172.5739
106.933602 70.636 172.4991
107.299813 70.626 172.4242
107.666024 70.615 172.3497
108.032235 70.604 172.2764
108.398446 70.593 172.2054
108.764657 70.582 172.1371
109.130868 70.571 172.0717
109.497079 70.560 172.0086
109.863290 70.549 171.9467
110.229501 70.539 171.8849
110.595712 70.529 171.8220
110.961923 70.519 171.7573
111.328134 70.508 171.6915
111.694345 70.497 171.6257
112.060556 70.486 171.5619
112.426767 70.474 171.5012
112.792978 70.463 171.4438
113.159189 70.451 171.3881
113.525400 70.440 171.3318
113.891611 70.430 171.2733
114.257822 70.418 171.2121
114.624033 70.407 171.1492
114.990244 70.395 171.0867
115.356455 70.382 171.0260
115.722666 70.370 170.9676
116.088877 70.357 170.9110
116.455088 70.345 170.8552
116.821299 70.333 170.7992
117.187510 70.321 170.7427
117.553720 70.310 170.6859
117.919931 70.298 170.6287
118.286142 70.287 170.5710
118.652353 70.276 170.5131
119.018564 70.264 170.4555
119.384775 70.253 170.3992
119.750986 70.242 170.3451
120.117197 70.231 170.2933
120.483408 70.220 170.2429
120.849619 70.210 170.1922
121.215830 70.201 170.1398
121.582041 70.191 170.0850
121.948252 70.182 170.0282
122.314463 70.171 169.9710
122.680674 70.161 169.9153
123.046885 70.150 169.8625
123.413096 70.139 169.8133
123.779307 70.128 169.7674
124.145518 70.117 169.7239
124.511729 70.106 169.6821
124.877940 70.096 169.6414
125.244151 70.086 169.6017
125.610362 70.076 169.5630
125.976573 70.067 169.5250
126.342784 70.058 169.4865
126.708995 70.049 169.4463
127.075206 70.041 169.4036
127.441417 70.032 169.3583
127.807628 70.023 169.3115
128.173839 70.013 169.2647
128.540049 70.003 169.2195
128.906260 69.993 169.1766
129.272471 69.983 169.1354
129.638682 69.973 169.0950
130.004893 69.964 169.0544
130.371104 69.954 169.0135
130.737315 69.945 168.9727
131.103526 69.935 168.9328
131.469737 69.926 168.8944
131.835948 69.916 168.8572
132.202159 69.907 168.8204
132.568370 69.898 168.7830
132.934581 69.889 168.7448
133.300792 69.881 168.7061
133.667003 69.872 168.6677
134.033214 69.863 168.6307
134.399425 69.853 168.5953
134.765636 69.845 168.5613
135.131847 69.836 168.5281
135.498058 69.827 168.4946
135.864269 69.819 168.4600
136.230480 69.810 168.4240
136.596691 69.802 168.3864
136.962902 69.793 168.3475
137.329113 69.783 168.3085
137.695324 69.774 168.2704
138.061535 69.763 168.2345
138.427746 69.753 168.2014
138.793957 69.743 168.1710
139.160168 69.733 168.1423
139.526379 69.723 168.1137
139.892589 69.713 168.0842
140.258800 69.704 168.0534
140.625011 69.694 168.0217
140.991222 69.684 167.9901
141.357433 69.674 167.9594
141.723644 69.664 167.9303
142.089855 69.654 167.9026
142.456066 69.645 167.8758
142.822277 69.635 167.8496
143.188488 69.626 167.8239
143.554699 69.616 167.7990
143.920910 69.607 167.7748
144.287121 69.598 167.7516
144.653332 69.589 167.7291
145.019543 69.581 167.7068
145.385754 69.572 167.6843
145.751965 69.564 167.6614
146.118176 69.556 167.6379
146.484387 69.548 167.6136
146.850598 69.539 167.5889
147.216809 69.531 167.5637
147.583020 69.522 167.5386
