* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:22:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cadenza Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.595 163.5895
0.732422 63.937 146.6257
1.098633 60.828 127.5305
1.464844 55.503 98.9945
1.831055 50.445 26.2142
2.197266 55.366 -31.0373
2.563477 59.082 -48.2771
2.929688 61.394 -54.7074
3.295899 63.212 -57.1781
3.662110 64.855 -58.9729
4.028321 66.311 -61.6057
4.394532 67.506 -65.1654
4.760743 68.429 -69.1281
5.126954 69.135 -72.9839
5.493164 69.707 -76.5113
5.859375 70.219 -79.7995
6.225586 70.705 -83.0848
6.591797 71.163 -86.5332
6.958008 71.577 -90.1306
7.324219 71.942 -93.7298
7.690430 72.268 -97.1722
8.056641 72.574 -100.3824
8.422852 72.875 -103.3834
8.789063 73.174 -106.2420
9.155274 73.463 -108.9986
9.521485 73.729 -111.6377
9.887696 73.968 -114.1105
10.253907 74.109 -116.3787
10.620118 74.201 -118.4418
10.986329 74.281 -120.3337
11.352540 74.349 -122.0977
11.718751 74.404 -123.7658
12.084962 74.445 -125.3545
12.451173 74.474 -126.8739
12.817384 74.537 -128.3368
13.183595 74.598 -129.7593
13.549806 74.649 -131.1549
13.916017 74.690 -132.5310
14.282228 74.723 -133.8879
14.648439 74.751 -135.2240
15.014650 74.775 -136.5379
15.380861 74.797 -137.8291
15.747072 74.820 -139.0970
16.113283 74.849 -140.3427
16.479493 74.889 -141.5686
16.845704 74.931 -142.7765
17.211915 74.971 -143.9630
17.578126 75.008 -145.1161
17.944337 75.041 -146.2196
18.310548 75.071 -147.2597
18.676759 75.098 -148.2336
19.042970 75.124 -149.1477
19.409181 75.148 -150.0123
19.775392 75.171 -150.8355
20.141603 75.192 -151.6238
20.507814 75.213 -152.3872
20.874025 75.233 -153.1402
21.240236 75.248 -153.8945
21.606447 75.256 -154.6491
21.972658 75.258 -155.3878
22.338869 75.255 -156.0926
22.705080 75.251 -156.7623
23.071291 75.252 -157.4199
23.437502 75.255 -158.0981
23.803713 75.257 -158.8115
24.169924 75.253 -159.5404
24.536135 75.243 -160.2426
24.902346 75.230 -160.8859
25.268557 75.222 -161.4751
25.634768 75.221 -162.0458
26.000979 75.224 -162.6293
26.367190 75.223 -163.2186
26.733401 75.216 -163.7685
27.099612 75.209 -164.2359
27.465823 75.212 -164.6276
27.832033 75.231 -165.0129
28.198244 75.261 -165.4822
28.564455 75.289 -166.0821
28.930666 75.300 -166.7782
29.296877 75.288 -167.4759
29.663088 75.257 -168.0815
30.029299 75.223 -168.5609
30.395510 75.197 -168.9547
30.761721 75.183 -169.3406
31.127932 75.174 -169.7762
31.494143 75.163 -170.2648
31.860354 75.144 -170.7668
32.226565 75.119 -171.2371
32.592776 75.094 -171.6571
32.958987 75.075 -172.0412
33.325198 75.063 -172.4196
33.691409 75.056 -172.8191
34.057620 75.052 -173.2523
34.423831 75.046 -173.7184
34.790042 75.036 -174.2041
35.156253 75.017 -174.6836
35.522464 74.992 -175.1229
35.888675 74.962 -175.4930
36.254886 74.936 -175.7886
36.621097 74.917 -176.0353
36.987308 74.907 -176.2775
37.353519 74.903 -176.5499
37.719730 74.899 -176.8578
38.085941 74.892 -177.1804
38.452152 74.882 -177.4956
38.818363 74.873 -177.8037
39.184573 74.866 -178.1282
39.550784 74.859 -178.4917
39.916995 74.845 -178.8895
40.283206 74.821 -179.2827
40.649417 74.789 -179.6208
41.015628 74.756 -179.8770
41.381839 74.731 179.9322
41.748050 74.718 179.7569
42.114261 74.714 179.5463
42.480472 74.712 179.2795
42.846683 74.708 178.9707
43.212894 74.697 178.6519
43.579105 74.683 178.3480
43.945316 74.668 178.0645
44.311527 74.653 177.7924
44.677738 74.639 177.5220
45.043949 74.623 177.2518
45.410160 74.607 176.9863
45.776371 74.591 176.7284
46.142582 74.574 176.4745
46.508793 74.557 176.2183
46.875004 74.539 175.9582
47.241215 74.519 175.7012
47.607426 74.496 175.4589
47.973637 74.473 175.2390
48.339848 74.451 175.0382
48.706059 74.433 174.8444
49.072270 74.417 174.6444
49.438481 74.401 174.4329
49.804692 74.385 174.2148
50.170902 74.368 174.0007
50.537113 74.351 173.7974
50.903324 74.335 173.6030
51.269535 74.321 173.4084
51.635746 74.308 173.2053
52.001957 74.294 172.9926
52.368168 74.278 172.7775
52.734379 74.260 172.5706
53.100590 74.242 172.3776
53.466801 74.224 172.1959
53.833012 74.207 172.0183
54.199223 74.191 171.8400
54.565434 74.174 171.6627
54.931645 74.157 171.4926
55.297856 74.140 171.3326
55.664067 74.126 171.1769
56.030278 74.113 171.0136
56.396489 74.101 170.8331
56.762700 74.088 170.6378
57.128911 74.070 170.4425
57.495122 74.050 170.2659
57.861333 74.031 170.1173
58.227544 74.014 169.9893
58.593755 74.002 169.8615
58.959966 73.993 169.7133
59.326177 73.985 169.5352
59.692388 73.973 169.3343
60.058599 73.957 169.1274
60.424810 73.937 168.9322
60.791021 73.914 168.7587
61.157232 73.891 168.6077
61.523442 73.869 168.4743
61.889653 73.848 168.3513
62.255864 73.830 168.2319
62.622075 73.812 168.1104
62.988286 73.795 167.9823
63.354497 73.779 167.8458
63.720708 73.761 167.7022
64.086919 73.742 167.5563
64.453130 73.722 167.4139
64.819341 73.701 167.2788
65.185552 73.681 167.1512
65.551763 73.661 167.0279
65.917974 73.643 166.9044
66.284185 73.626 166.7776
66.650396 73.609 166.6464
67.016607 73.591 166.5123
67.382818 73.574 166.3777
67.749029 73.555 166.2453
68.115240 73.536 166.1169
68.481451 73.518 165.9937
68.847662 73.499 165.8760
69.213873 73.480 165.7636
69.580084 73.462 165.6551
69.946295 73.445 165.5484
70.312506 73.428 165.4412
70.678717 73.412 165.3320
71.044928 73.395 165.2204
71.411139 73.378 165.1073
71.777350 73.361 164.9938
72.143561 73.344 164.8806
72.509771 73.326 164.7671
72.875982 73.307 164.6534
73.242193 73.287 164.5417
73.608404 73.267 164.4358
73.974615 73.245 164.3405
74.340826 73.224 164.2579
74.707037 73.204 164.1864
75.073248 73.186 164.1209
75.439459 73.169 164.0565
75.805670 73.154 163.9899
76.171881 73.140 163.9199
76.538092 73.127 163.8439
76.904303 73.116 163.7566
77.270514 73.105 163.6509
77.636725 73.093 163.5243
78.002936 73.078 163.3834
78.369147 73.057 163.2449
78.735358 73.034 163.1289
79.101569 73.009 163.0474
79.467780 72.987 162.9965
79.833991 72.969 162.9574
80.200202 72.957 162.9064
80.566413 72.947 162.8279
80.932624 72.935 162.7229
81.298835 72.920 162.6064
81.665046 72.901 162.4980
82.031257 72.880 162.4101
82.397468 72.861 162.3427
82.763679 72.843 162.2863
83.129890 72.827 162.2297
83.496101 72.813 162.1667
83.862311 72.798 162.0980
84.228522 72.783 162.0280
84.594733 72.768 161.9595
84.960944 72.754 161.8919
85.327155 72.740 161.8213
85.693366 72.726 161.7449
86.059577 72.711 161.6633
86.425788 72.695 161.5806
86.791999 72.678 161.5019
87.158210 72.661 161.4300
87.524421 72.644 161.3641
87.890632 72.627 161.3004
88.256843 72.611 161.2352
88.623054 72.596 161.1664
88.989265 72.579 161.0956
89.355476 72.562 161.0257
89.721687 72.544 160.9602
90.087898 72.526 160.9008
90.454109 72.508 160.8470
90.820320 72.491 160.7971
91.186531 72.474 160.7489
91.552742 72.458 160.7010
91.918953 72.442 160.6528
92.285164 72.426 160.6046
92.651375 72.410 160.5564
93.017586 72.394 160.5085
93.383797 72.379 160.4607
93.750008 72.363 160.4126
94.116219 72.348 160.3639
94.482430 72.332 160.3143
94.848641 72.317 160.2636
95.214851 72.302 160.2118
95.581062 72.287 160.1589
95.947273 72.271 160.1051
96.313484 72.256 160.0509
96.679695 72.241 159.9971
97.045906 72.225 159.9445
97.412117 72.210 159.8932
97.778328 72.195 159.8432
98.144539 72.180 159.7939
98.510750 72.165 159.7447
98.876961 72.150 159.6958
99.243172 72.136 159.6476
99.609383 72.121 159.6009
99.975594 72.107 159.5560
100.341805 72.092 159.5125
100.708016 72.078 159.4697
101.074227 72.063 159.4277
101.440438 72.048 159.3873
101.806649 72.033 159.3499
102.172860 72.018 159.3162
102.539071 72.003 159.2861
102.905282 71.988 159.2575
103.271493 71.974 159.2285
103.637704 71.959 159.1978
104.003915 71.945 159.1653
104.370126 71.930 159.1325
104.736337 71.915 159.1005
105.102548 71.899 159.0696
105.468759 71.884 159.0393
105.834970 71.869 159.0084
106.201180 71.854 158.9767
106.567391 71.839 158.9447
106.933602 71.824 158.9135
107.299813 71.809 158.8844
107.666024 71.795 158.8571
108.032235 71.781 158.8306
108.398446 71.767 158.8030
108.764657 71.754 158.7726
109.130868 71.741 158.7394
109.497079 71.728 158.7047
109.863290 71.714 158.6708
110.229501 71.700 158.6396
110.595712 71.687 158.6113
110.961923 71.673 158.5846
111.328134 71.660 158.5574
111.694345 71.647 158.5283
112.060556 71.634 158.4976
112.426767 71.620 158.4670
112.792978 71.606 158.4386
113.159189 71.591 158.4129
113.525400 71.576 158.3896
113.891611 71.562 158.3677
114.257822 71.547 158.3468
114.624033 71.532 158.3271
114.990244 71.518 158.3088
115.356455 71.503 158.2916
115.722666 71.489 158.2738
116.088877 71.476 158.2545
116.455088 71.462 158.2332
116.821299 71.448 158.2112
117.187510 71.434 158.1898
117.553720 71.421 158.1697
117.919931 71.407 158.1502
118.286142 71.395 158.1298
118.652353 71.382 158.1076
119.018564 71.369 158.0843
119.384775 71.357 158.0615
119.750986 71.344 158.0406
120.117197 71.331 158.0219
120.483408 71.319 158.0042
120.849619 71.307 157.9861
121.215830 71.294 157.9671
121.582041 71.282 157.9474
121.948252 71.269 157.9283
122.314463 71.257 157.9108
122.680674 71.244 157.8951
123.046885 71.230 157.8810
123.413096 71.217 157.8681
123.779307 71.204 157.8564
124.145518 71.191 157.8455
124.511729 71.179 157.8351
124.877940 71.167 157.8245
125.244151 71.155 157.8130
125.610362 71.143 157.8005
125.976573 71.131 157.7872
126.342784 71.120 157.7737
126.708995 71.109 157.7603
127.075206 71.097 157.7475
127.441417 71.086 157.7354
127.807628 71.075 157.7244
128.173839 71.065 157.7149
128.540049 71.054 157.7070
128.906260 71.044 157.7001
129.272471 71.034 157.6929
129.638682 71.024 157.6843
130.004893 71.015 157.6741
130.371104 71.004 157.6635
130.737315 70.994 157.6546
131.103526 70.983 157.6492
131.469737 70.972 157.6480
131.835948 70.961 157.6502
132.202159 70.950 157.6537
132.568370 70.940 157.6559
132.934581 70.930 157.6556
133.300792 70.920 157.6527
133.667003 70.909 157.6482
134.033214 70.898 157.6433
134.399425 70.887 157.6384
134.765636 70.876 157.6329
135.131847 70.865 157.6262
135.498058 70.854 157.6178
135.864269 70.842 157.6088
136.230480 70.830 157.6010
136.596691 70.818 157.5961
136.962902 70.807 157.5947
137.329113 70.796 157.5957
137.695324 70.786 157.5969
138.061535 70.776 157.5962
138.427746 70.767 157.5923
138.793957 70.758 157.5861
139.160168 70.749 157.5786
139.526379 70.740 157.5715
139.892589 70.731 157.5653
140.258800 70.721 157.5597
140.625011 70.712 157.5543
140.991222 70.702 157.5488
141.357433 70.692 157.5441
141.723644 70.682 157.5408
142.089855 70.671 157.5396
142.456066 70.661 157.5405
142.822277 70.650 157.5427
143.188488 70.640 157.5454
143.554699 70.630 157.5479
143.920910 70.619 157.5496
144.287121 70.609 157.5504
144.653332 70.599 157.5500
145.019543 70.588 157.5486
145.385754 70.578 157.5464
145.751965 70.567 157.5441
146.118176 70.557 157.5423
146.484387 70.546 157.5417
146.850598 70.535 157.5423
147.216809 70.525 157.5439
147.583020 70.515 157.5462
147.949231 70.505 157.5493
148.315442 70.495 157.5540
148.681653 70.485 157.5610
149.047864 70.475 157.5706
149.414075 70.466 157.5822
149.780286 70.458 157.5942
150.146497 70.450 157.6046
