* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:22:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cadenza Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 71.285 -25.1236
0.732422 69.413 -49.9818
1.098633 65.724 -73.7943
1.464844 58.041 -91.3669
1.831055 51.351 16.3798
2.197266 61.604 13.3622
2.563477 65.042 -8.4306
2.929688 66.351 -30.4399
3.295899 66.511 -49.4314
3.662110 66.038 -62.4418
4.028321 65.671 -67.2551
4.394532 66.318 -67.0189
4.760743 67.861 -69.0859
5.126954 69.419 -75.3031
5.493164 70.525 -83.2148
5.859375 71.155 -90.3263
6.225586 71.499 -95.1805
6.591797 71.830 -97.7274
6.958008 72.317 -99.2818
7.324219 72.906 -101.3050
7.690430 73.431 -104.1822
8.056641 73.793 -107.3637
8.422852 74.008 -110.1527
8.789063 74.164 -112.2746
9.155274 74.340 -113.9952
9.521485 74.548 -115.7883
9.887696 74.744 -117.8923
10.253907 74.822 -120.1952
10.620118 74.820 -122.4486
10.986329 74.800 -124.5139
11.352540 74.788 -126.4349
11.718751 74.790 -128.3259
12.084962 74.796 -130.2303
12.451173 74.798 -132.0931
12.817384 74.846 -133.8454
13.183595 74.908 -135.4808
13.549806 74.976 -137.0472
13.916017 75.042 -138.5760
14.282228 75.097 -140.0413
14.648439 75.141 -141.3894
15.014650 75.179 -142.6013
15.380861 75.218 -143.7169
15.747072 75.258 -144.7970
16.113283 75.294 -145.8698
16.479493 75.326 -146.9172
16.845704 75.348 -147.9099
17.211915 75.364 -148.8483
17.578126 75.378 -149.7640
17.944337 75.388 -150.6879
18.310548 75.394 -151.6225
18.676759 75.393 -152.5499
19.042970 75.391 -153.4616
19.409181 75.390 -154.3728
19.775392 75.390 -155.3032
20.141603 75.386 -156.2443
20.507814 75.379 -157.1543
20.874025 75.370 -157.9904
21.240236 75.370 -158.7516
21.606447 75.382 -159.4884
21.972658 75.403 -160.2653
22.338869 75.423 -161.1053
22.705080 75.429 -161.9666
23.071291 75.420 -162.7702
23.437502 75.404 -163.4570
23.803713 75.390 -164.0298
24.169924 75.388 -164.5494
24.536135 75.393 -165.0869
24.902346 75.397 -165.6712
25.268557 75.392 -166.2742
25.634768 75.379 -166.8434
26.000979 75.365 -167.3542
26.367190 75.360 -167.8409
26.733401 75.363 -168.3764
27.099612 75.366 -169.0137
27.465823 75.355 -169.7350
27.832033 75.323 -170.4509
28.198244 75.275 -171.0559
28.564455 75.229 -171.5009
28.930666 75.200 -171.8319
29.296877 75.195 -172.1593
29.663088 75.204 -172.5771
30.029299 75.211 -173.0991
30.395510 75.206 -173.6603
30.761721 75.190 -174.1763
31.127932 75.171 -174.6078
31.494143 75.159 -174.9814
31.860354 75.155 -175.3551
32.226565 75.152 -175.7639
32.592776 75.143 -176.1946
32.958987 75.127 -176.6054
33.325198 75.107 -176.9687
33.691409 75.090 -177.2950
34.057620 75.077 -177.6216
34.423831 75.066 -177.9789
34.790042 75.050 -178.3665
35.156253 75.027 -178.7559
35.522464 75.000 -179.1154
35.888675 74.972 -179.4330
36.254886 74.948 -179.7231
36.621097 74.931 179.9848
36.987308 74.918 179.6641
37.353519 74.905 179.3059
37.719730 74.888 178.9233
38.085941 74.866 178.5449
38.452152 74.840 178.1998
38.818363 74.815 177.9003
39.184573 74.795 177.6319
39.550784 74.782 177.3602
39.916995 74.773 177.0533
40.283206 74.762 176.7053
40.649417 74.743 176.3434
41.015628 74.716 176.0113
41.381839 74.686 175.7400
41.748050 74.660 175.5260
42.114261 74.642 175.3344
42.480472 74.630 175.1223
42.846683 74.620 174.8667
43.212894 74.607 174.5748
43.579105 74.589 174.2735
43.945316 74.566 173.9884
44.311527 74.542 173.7282
44.677738 74.519 173.4842
45.043949 74.498 173.2416
45.410160 74.478 172.9918
45.776371 74.457 172.7372
46.142582 74.435 172.4871
46.508793 74.412 172.2492
46.875004 74.389 172.0247
47.241215 74.368 171.8079
47.607426 74.349 171.5910
47.973637 74.330 171.3695
48.339848 74.311 171.1443
48.706059 74.291 170.9207
49.072270 74.270 170.7046
49.438481 74.248 170.4990
49.804692 74.228 170.3023
50.170902 74.209 170.1089
50.537113 74.191 169.9125
50.903324 74.174 169.7086
51.269535 74.156 169.4974
51.635746 74.135 169.2847
52.001957 74.114 169.0790
52.368168 74.091 168.8884
52.734379 74.068 168.7151
53.100590 74.047 168.5541
53.466801 74.029 168.3956
53.833012 74.012 168.2307
54.199223 73.995 168.0577
54.565434 73.977 167.8823
54.931645 73.957 167.7131
55.297856 73.937 167.5547
55.664067 73.919 167.4036
56.030278 73.901 167.2507
56.396489 73.884 167.0886
56.762700 73.865 166.9181
57.128911 73.844 166.7485
57.495122 73.821 166.5914
57.861333 73.797 166.4527
58.227544 73.775 166.3278
58.593755 73.756 166.2039
58.959966 73.738 166.0682
59.326177 73.720 165.9156
59.692388 73.701 165.7511
60.058599 73.680 165.5858
60.424810 73.657 165.4300
60.791021 73.634 165.2868
61.157232 73.612 165.1519
61.523442 73.592 165.0179
61.889653 73.572 164.8799
62.255864 73.553 164.7382
62.622075 73.533 164.5976
62.988286 73.512 164.4622
63.354497 73.492 164.3326
63.720708 73.473 164.2061
64.086919 73.454 164.0787
64.453130 73.435 163.9491
64.819341 73.416 163.8187
65.185552 73.396 163.6904
65.551763 73.375 163.5667
65.917974 73.355 163.4480
66.284185 73.334 163.3336
66.650396 73.314 163.2224
67.016607 73.294 163.1131
67.382818 73.274 163.0038
67.749029 73.255 162.8920
68.115240 73.236 162.7763
68.481451 73.215 162.6581
68.847662 73.194 162.5421
69.213873 73.172 162.4342
69.580084 73.150 162.3372
69.946295 73.130 162.2477
70.312506 73.112 162.1577
70.678717 73.095 162.0588
71.044928 73.078 161.9482
71.411139 73.059 161.8310
71.777350 73.038 161.7173
72.143561 73.016 161.6159
72.509771 72.994 161.5288
72.875982 72.974 161.4508
73.242193 72.954 161.3747
73.608404 72.935 161.2971
73.974615 72.915 161.2212
74.340826 72.895 161.1535
74.707037 72.876 161.0970
75.073248 72.858 161.0468
75.439459 72.844 160.9913
75.805670 72.830 160.9194
76.171881 72.817 160.8276
76.538092 72.801 160.7222
76.904303 72.782 160.6147
77.270514 72.761 160.5151
77.636725 72.739 160.4272
78.002936 72.717 160.3486
78.369147 72.696 160.2753
78.735358 72.676 160.2048
79.101569 72.656 160.1365
79.467780 72.636 160.0689
79.833991 72.618 159.9984
80.200202 72.601 159.9206
80.566413 72.583 159.8347
80.932624 72.563 159.7454
81.298835 72.543 159.6610
81.665046 72.522 159.5878
82.031257 72.502 159.5247
82.397468 72.483 159.4637
82.763679 72.467 159.3955
83.129890 72.450 159.3160
83.496101 72.431 159.2297
83.862311 72.411 159.1469
84.228522 72.390 159.0763
84.594733 72.368 159.0196
84.960944 72.349 158.9710
85.327155 72.331 158.9222
85.693366 72.313 158.8683
86.059577 72.295 158.8110
86.425788 72.276 158.7558
86.791999 72.257 158.7079
87.158210 72.239 158.6678
87.524421 72.221 158.6317
87.890632 72.205 158.5941
88.256843 72.189 158.5520
88.623054 72.173 158.5056
88.989265 72.157 158.4568
89.355476 72.141 158.4074
89.721687 72.125 158.3572
90.087898 72.108 158.3051
90.454109 72.092 158.2508
90.820320 72.075 158.1953
91.186531 72.057 158.1406
91.552742 72.039 158.0887
91.918953 72.021 158.0399
92.285164 72.004 157.9937
92.651375 71.986 157.9495
93.017586 71.968 157.9067
93.383797 71.951 157.8653
93.750008 71.934 157.8249
94.116219 71.917 157.7852
94.482430 71.901 157.7457
94.848641 71.884 157.7066
95.214851 71.867 157.6684
95.581062 71.850 157.6319
95.947273 71.834 157.5973
96.313484 71.817 157.5638
96.679695 71.801 157.5305
97.045906 71.785 157.4965
97.412117 71.769 157.4615
97.778328 71.753 157.4259
98.144539 71.737 157.3905
98.510750 71.720 157.3558
98.876961 71.704 157.3217
99.243172 71.687 157.2881
99.609383 71.671 157.2550
99.975594 71.655 157.2222
100.341805 71.638 157.1899
100.708016 71.622 157.1579
101.074227 71.606 157.1258
101.440438 71.590 157.0930
101.806649 71.575 157.0594
102.172860 71.559 157.0256
102.539071 71.543 156.9927
102.905282 71.526 156.9619
103.271493 71.510 156.9337
103.637704 71.494 156.9076
104.003915 71.479 156.8826
104.370126 71.463 156.8575
104.736337 71.448 156.8323
105.102548 71.433 156.8078
105.468759 71.417 156.7852
105.834970 71.402 156.7653
106.201180 71.387 156.7475
106.567391 71.373 156.7305
106.933602 71.359 156.7125
107.299813 71.345 156.6920
107.666024 71.331 156.6688
108.032235 71.317 156.6432
108.398446 71.303 156.6164
108.764657 71.288 156.5897
109.130868 71.273 156.5645
109.497079 71.258 156.5417
109.863290 71.243 156.5218
110.229501 71.227 156.5041
110.595712 71.212 156.4875
110.961923 71.197 156.4711
111.328134 71.182 156.4546
111.694345 71.167 156.4390
112.060556 71.152 156.4257
112.426767 71.137 156.4154
112.792978 71.122 156.4074
113.159189 71.108 156.3996
113.525400 71.095 156.3896
113.891611 71.081 156.3760
114.257822 71.067 156.3596
114.624033 71.053 156.3422
114.990244 71.038 156.3264
115.356455 71.023 156.3134
115.722666 71.009 156.3031
116.088877 70.994 156.2941
116.455088 70.980 156.2850
116.821299 70.966 156.2751
117.187510 70.952 156.2646
117.553720 70.938 156.2543
117.919931 70.924 156.2445
118.286142 70.910 156.2352
118.652353 70.896 156.2258
119.018564 70.883 156.2161
119.384775 70.869 156.2063
119.750986 70.855 156.1970
120.117197 70.842 156.1888
120.483408 70.828 156.1817
120.849619 70.815 156.1748
121.215830 70.802 156.1669
121.582041 70.789 156.1573
121.948252 70.776 156.1461
122.314463 70.762 156.1344
122.680674 70.748 156.1238
123.046885 70.734 156.1158
123.413096 70.720 156.1110
123.779307 70.706 156.1094
124.145518 70.692 156.1103
124.511729 70.679 156.1129
124.877940 70.666 156.1162
125.244151 70.654 156.1194
125.610362 70.643 156.1213
125.976573 70.632 156.1213
126.342784 70.621 156.1191
126.708995 70.610 156.1153
127.075206 70.598 156.1110
127.441417 70.587 156.1078
127.807628 70.575 156.1062
128.173839 70.564 156.1060
128.540049 70.553 156.1060
128.906260 70.542 156.1047
129.272471 70.532 156.1010
129.638682 70.521 156.0948
130.004893 70.510 156.0869
130.371104 70.499 156.0790
130.737315 70.487 156.0728
131.103526 70.475 156.0695
131.469737 70.464 156.0693
131.835948 70.452 156.0715
132.202159 70.441 156.0746
132.568370 70.431 156.0773
132.934581 70.420 156.0788
133.300792 70.410 156.0793
133.667003 70.399 156.0800
134.033214 70.388 156.0819
134.399425 70.377 156.0861
134.765636 70.366 156.0929
135.131847 70.355 156.1017
135.498058 70.344 156.1117
135.864269 70.334 156.1219
136.230480 70.323 156.1318
136.596691 70.313 156.1407
136.962902 70.303 156.1485
137.329113 70.293 156.1550
137.695324 70.284 156.1600
138.061535 70.273 156.1637
138.427746 70.263 156.1665
138.793957 70.253 156.1687
139.160168 70.243 156.1707
139.526379 70.232 156.1728
139.892589 70.222 156.1749
140.258800 70.212 156.1774
140.625011 70.201 156.1801
140.991222 70.191 156.1831
141.357433 70.181 156.1862
141.723644 70.171 156.1894
142.089855 70.161 156.1925
142.456066 70.151 156.1960
142.822277 70.141 156.2004
143.188488 70.131 156.2065
143.554699 70.120 156.2148
143.920910 70.110 156.2252
144.287121 70.100 156.2375
144.653332 70.090 156.2510
145.019543 70.080 156.2647
145.385754 70.071 156.2781
145.751965 70.061 156.2905
146.118176 70.052 156.3015
146.484387 70.042 156.3108
146.850598 70.033 156.3187
147.216809 70.023 156.3260
147.583020 70.013 156.3335
147.949231 70.002 156.3422
148.315442 69.992 156.3524
148.681653 69.982 156.3636
149.047864 69.972 156.3754
149.414075 69.963 156.3866
149.780286 69.954 156.3967
150.146497 69.945 156.4053
150.512708 69.936 156.4124
