* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:12:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dolce Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.784 160.6703
0.732422 65.986 141.0468
1.098633 62.626 120.1995
1.464844 56.781 93.4510
1.831055 48.243 23.6240
2.197266 52.477 -52.2629
2.563477 55.497 -66.4624
2.929688 57.158 -62.3358
3.295899 59.515 -54.0479
3.662110 62.164 -51.7517
4.028321 64.247 -54.6751
4.394532 65.611 -59.3706
4.760743 66.431 -63.5630
5.126954 66.980 -66.3125
5.493164 67.507 -67.9531
5.859375 68.117 -69.5882
6.225586 68.753 -72.0451
6.591797 69.314 -75.3287
6.958008 69.760 -78.9305
7.324219 70.121 -82.3549
7.690430 70.459 -85.4249
8.056641 70.818 -88.2816
8.422852 71.200 -91.1521
8.789063 71.575 -94.1147
9.155274 71.916 -97.0571
9.521485 72.218 -99.7962
9.887696 72.491 -102.2157
10.253907 72.683 -104.3222
10.620118 72.845 -106.2065
10.986329 73.007 -107.9686
11.352540 73.160 -109.6710
11.718751 73.296 -111.3366
12.084962 73.409 -112.9660
12.451173 73.499 -114.5464
12.817384 73.610 -116.0540
13.183595 73.708 -117.4653
13.549806 73.793 -118.7786
13.916017 73.872 -120.0281
14.282228 73.951 -121.2716
14.648439 74.025 -122.5547
15.014650 74.089 -123.8809
15.380861 74.140 -125.2112
15.747072 74.182 -126.4939
16.113283 74.227 -127.7005
16.479493 74.288 -128.8426
16.845704 74.358 -129.9596
17.211915 74.434 -131.0894
17.578126 74.510 -132.2426
17.944337 74.579 -133.3968
18.310548 74.639 -134.5087
18.676759 74.690 -135.5374
19.042970 74.739 -136.4667
19.409181 74.791 -137.3162
19.775392 74.846 -138.1322
20.141603 74.903 -138.9588
20.507814 74.952 -139.8063
20.874025 74.987 -140.6393
21.240236 75.005 -141.3967
21.606447 75.018 -142.0349
21.972658 75.036 -142.5659
22.338869 75.068 -143.0593
22.705080 75.113 -143.6034
23.071291 75.162 -144.2518
23.437502 75.205 -144.9980
23.803713 75.234 -145.7931
24.169924 75.253 -146.5871
24.536135 75.263 -147.3581
24.902346 75.269 -148.1074
25.268557 75.267 -148.8280
25.634768 75.257 -149.4813
26.000979 75.243 -150.0078
26.367190 75.236 -150.3734
26.733401 75.252 -150.6161
27.099612 75.301 -150.8523
27.465823 75.377 -151.2242
27.832033 75.458 -151.8191
28.198244 75.522 -152.6171
28.564455 75.549 -153.4996
28.930666 75.540 -154.3086
29.296877 75.509 -154.9226
29.663088 75.478 -155.3139
30.029299 75.465 -155.5575
30.395510 75.475 -155.7824
30.761721 75.501 -156.0958
31.127932 75.526 -156.5278
31.494143 75.538 -157.0297
31.860354 75.534 -157.5187
32.226565 75.523 -157.9358
32.592776 75.515 -158.2800
32.958987 75.517 -158.6009
33.325198 75.527 -158.9563
33.691409 75.536 -159.3679
34.057620 75.539 -159.8082
34.423831 75.535 -160.2253
34.790042 75.530 -160.5857
35.156253 75.532 -160.9019
35.522464 75.543 -161.2243
35.888675 75.560 -161.6035
36.254886 75.574 -162.0512
36.621097 75.576 -162.5292
36.987308 75.566 -162.9728
37.353519 75.550 -163.3313
37.719730 75.538 -163.5992
38.085941 75.537 -163.8190
38.452152 75.548 -164.0546
38.818363 75.565 -164.3537
39.184573 75.580 -164.7230
39.550784 75.585 -165.1276
39.916995 75.579 -165.5133
40.283206 75.568 -165.8362
40.649417 75.559 -166.0868
41.015628 75.558 -166.2956
41.381839 75.569 -166.5169
41.748050 75.584 -166.7987
42.114261 75.597 -167.1541
42.480472 75.600 -167.5522
42.846683 75.589 -167.9342
43.212894 75.569 -168.2452
43.579105 75.549 -168.4646
43.945316 75.538 -168.6173
44.311527 75.540 -168.7586
44.677738 75.550 -168.9427
45.043949 75.564 -169.1954
45.410160 75.572 -169.5067
45.776371 75.572 -169.8418
46.142582 75.563 -170.1617
46.508793 75.550 -170.4399
46.875004 75.537 -170.6698
47.241215 75.527 -170.8636
47.607426 75.524 -171.0455
47.973637 75.526 -171.2415
48.339848 75.530 -171.4685
48.706059 75.533 -171.7267
49.072270 75.532 -171.9999
49.438481 75.526 -172.2648
49.804692 75.518 -172.5044
50.170902 75.511 -172.7183
50.537113 75.507 -172.9198
50.903324 75.504 -173.1242
51.269535 75.501 -173.3356
51.635746 75.496 -173.5442
52.001957 75.490 -173.7352
52.368168 75.484 -173.9031
52.734379 75.483 -174.0588
53.100590 75.486 -174.2238
53.466801 75.490 -174.4165
53.833012 75.494 -174.6405
54.199223 75.494 -174.8840
54.565434 75.490 -175.1287
54.931645 75.482 -175.3608
55.297856 75.473 -175.5762
55.664067 75.464 -175.7776
56.030278 75.455 -175.9684
56.396489 75.447 -176.1489
56.762700 75.440 -176.3188
57.128911 75.435 -176.4815
57.495122 75.432 -176.6458
57.861333 75.431 -176.8214
58.227544 75.430 -177.0121
58.593755 75.427 -177.2120
58.959966 75.422 -177.4080
59.326177 75.415 -177.5884
59.692388 75.408 -177.7504
60.058599 75.403 -177.9017
60.424810 75.401 -178.0553
60.791021 75.399 -178.2206
61.157232 75.397 -178.3984
61.523442 75.393 -178.5824
61.889653 75.387 -178.7644
62.255864 75.380 -178.9408
62.622075 75.373 -179.1134
62.988286 75.365 -179.2859
63.354497 75.357 -179.4595
63.720708 75.347 -179.6309
64.086919 75.336 -179.7944
64.453130 75.325 -179.9463
64.819341 75.315 179.9122
65.185552 75.307 179.7754
65.551763 75.301 179.6362
65.917974 75.296 179.4894
66.284185 75.291 179.3336
66.650396 75.286 179.1714
67.016607 75.279 179.0074
67.382818 75.272 178.8469
67.749029 75.263 178.6935
68.115240 75.254 178.5489
68.481451 75.246 178.4126
68.847662 75.238 178.2825
69.213873 75.231 178.1553
69.580084 75.225 178.0272
69.946295 75.220 177.8944
70.312506 75.215 177.7535
70.678717 75.209 177.6044
71.044928 75.201 177.4510
71.411139 75.191 177.3013
71.777350 75.180 177.1629
72.143561 75.170 177.0379
72.509771 75.161 176.9202
72.875982 75.155 176.7984
73.242193 75.149 176.6628
73.608404 75.143 176.5130
73.974615 75.135 176.3574
74.340826 75.125 176.2075
74.707037 75.115 176.0688
75.073248 75.107 175.9369
75.439459 75.099 175.8024
75.805670 75.091 175.6595
76.171881 75.083 175.5117
76.538092 75.072 175.3692
76.904303 75.061 175.2399
77.270514 75.050 175.1229
77.636725 75.041 175.0087
78.002936 75.034 174.8878
78.369147 75.025 174.7593
78.735358 75.015 174.6315
79.101569 75.004 174.5153
79.467780 74.993 174.4143
79.833991 74.984 174.3221
80.200202 74.977 174.2266
80.566413 74.971 174.1197
80.932624 74.965 174.0025
81.298835 74.958 173.8836
81.665046 74.950 173.7708
82.031257 74.942 173.6654
82.397468 74.935 173.5621
82.763679 74.930 173.4539
83.129890 74.925 173.3370
83.496101 74.919 173.2130
83.862311 74.912 173.0864
84.228522 74.904 172.9609
84.594733 74.895 172.8385
84.960944 74.885 172.7206
85.327155 74.875 172.6089
85.693366 74.864 172.5049
86.059577 74.854 172.4082
86.425788 74.844 172.3163
86.791999 74.835 172.2258
87.158210 74.826 172.1349
87.524421 74.817 172.0447
87.890632 74.809 171.9574
88.256843 74.800 171.8733
88.623054 74.793 171.7893
88.989265 74.787 171.7003
89.355476 74.781 171.6025
89.721687 74.774 171.4958
90.087898 74.767 171.3838
90.454109 74.758 171.2710
90.820320 74.748 171.1604
91.186531 74.738 171.0532
91.552742 74.727 170.9498
91.918953 74.716 170.8518
92.285164 74.705 170.7609
92.651375 74.694 170.6776
93.017586 74.685 170.5994
93.383797 74.676 170.5215
93.750008 74.669 170.4391
94.116219 74.661 170.3501
94.482430 74.654 170.2563
94.848641 74.645 170.1618
95.214851 74.636 170.0695
95.581062 74.626 169.9800
95.947273 74.617 169.8915
96.313484 74.607 169.8021
96.679695 74.598 169.7117
97.045906 74.587 169.6223
97.412117 74.577 169.5363
97.778328 74.566 169.4542
98.144539 74.556 169.3741
98.510750 74.547 169.2925
98.876961 74.538 169.2069
99.243172 74.529 169.1172
99.609383 74.519 169.0250
99.975594 74.509 168.9327
100.341805 74.499 168.8420
100.708016 74.490 168.7527
101.074227 74.480 168.6643
101.440438 74.470 168.5764
101.806649 74.461 168.4893
102.172860 74.452 168.4037
102.539071 74.443 168.3201
102.905282 74.434 168.2382
103.271493 74.425 168.1579
103.637704 74.417 168.0786
104.003915 74.409 168.0001
104.370126 74.402 167.9219
104.736337 74.394 167.8435
105.102548 74.386 167.7644
105.468759 74.379 167.6849
105.834970 74.370 167.6066
106.201180 74.361 167.5313
106.567391 74.352 167.4600
106.933602 74.343 167.3923
107.299813 74.335 167.3263
107.666024 74.326 167.2596
108.032235 74.317 167.1913
108.398446 74.308 167.1218
108.764657 74.298 167.0527
109.130868 74.288 166.9855
109.497079 74.278 166.9207
109.863290 74.267 166.8575
110.229501 74.257 166.7946
110.595712 74.247 166.7311
110.961923 74.237 166.6664
111.328134 74.227 166.6009
111.694345 74.217 166.5349
112.060556 74.207 166.4693
112.426767 74.196 166.4047
112.792978 74.187 166.3416
113.159189 74.177 166.2797
113.525400 74.169 166.2172
113.891611 74.161 166.1515
114.257822 74.153 166.0805
114.624033 74.145 166.0037
114.990244 74.137 165.9232
115.356455 74.128 165.8428
115.722666 74.118 165.7665
116.088877 74.108 165.6961
116.455088 74.098 165.6311
116.821299 74.089 165.5689
117.187510 74.081 165.5064
117.553720 74.073 165.4420
117.919931 74.065 165.3752
118.286142 74.057 165.3069
118.652353 74.049 165.2380
119.018564 74.041 165.1695
119.384775 74.032 165.1020
119.750986 74.023 165.0363
120.117197 74.014 164.9730
120.483408 74.005 164.9116
120.849619 73.996 164.8512
121.215830 73.988 164.7901
121.582041 73.979 164.7275
121.948252 73.970 164.6639
122.314463 73.961 164.6014
122.680674 73.951 164.5420
123.046885 73.941 164.4867
123.413096 73.932 164.4344
123.779307 73.923 164.3829
124.145518 73.914 164.3300
124.511729 73.906 164.2750
124.877940 73.897 164.2184
125.244151 73.888 164.1620
125.610362 73.879 164.1071
125.976573 73.870 164.0541
126.342784 73.861 164.0027
126.708995 73.852 163.9522
127.075206 73.844 163.9023
127.441417 73.835 163.8528
127.807628 73.827 163.8039
128.173839 73.818 163.7555
128.540049 73.810 163.7075
128.906260 73.801 163.6599
129.272471 73.793 163.6122
129.638682 73.786 163.5641
130.004893 73.778 163.5150
130.371104 73.771 163.4641
130.737315 73.763 163.4110
131.103526 73.756 163.3564
131.469737 73.748 163.3012
131.835948 73.740 163.2468
132.202159 73.733 163.1941
132.568370 73.725 163.1432
132.934581 73.717 163.0937
133.300792 73.710 163.0446
133.667003 73.703 162.9954
134.033214 73.695 162.9458
134.399425 73.688 162.8961
134.765636 73.681 162.8463
135.131847 73.674 162.7964
135.498058 73.667 162.7462
135.864269 73.659 162.6959
136.230480 73.651 162.6462
136.596691 73.643 162.5986
136.962902 73.634 162.5544
137.329113 73.625 162.5146
137.695324 73.617 162.4789
138.061535 73.609 162.4454
138.427746 73.601 162.4117
138.793957 73.594 162.3754
139.160168 73.587 162.3356
139.526379 73.579 162.2928
139.892589 73.571 162.2485
140.258800 73.562 162.2046
140.625011 73.554 162.1619
140.991222 73.545 162.1205
141.357433 73.536 162.0795
141.723644 73.528 162.0381
142.089855 73.519 161.9962
142.456066 73.510 161.9537
142.822277 73.502 161.9110
143.188488 73.494 161.8681
143.554699 73.485 161.8247
143.920910 73.477 161.7805
144.287121 73.469 161.7354
144.653332 73.461 161.6895
145.019543 73.453 161.6436
145.385754 73.446 161.5980
145.751965 73.438 161.5526
146.118176 73.430 161.5073
146.484387 73.422 161.4619
146.850598 73.415 161.4165
147.216809 73.406 161.3722
147.583020 73.398 161.3302
147.949231 73.389 161.2920
148.315442 73.381 161.2582
