* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 6:13:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dolce Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.815 -22.8444
0.732422 70.936 -45.3230
1.098633 67.293 -66.4927
1.464844 60.146 -81.0031
1.831055 51.052 5.5577
2.197266 61.012 20.4408
2.563477 64.080 1.6268
2.929688 64.729 -19.4510
3.295899 64.028 -38.5480
3.662110 62.567 -51.3119
4.028321 61.471 -53.1966
4.394532 62.316 -49.7442
4.760743 64.438 -52.7928
5.126954 66.347 -61.6698
5.493164 67.603 -71.6958
5.859375 68.280 -79.7676
6.225586 68.668 -84.3755
6.591797 69.131 -85.9162
6.958008 69.850 -86.5578
7.324219 70.677 -88.2039
7.690430 71.376 -91.0213
8.056641 71.844 -94.1186
8.422852 72.124 -96.6393
8.789063 72.335 -98.3359
9.155274 72.569 -99.5942
9.521485 72.832 -100.9743
9.887696 73.080 -102.7199
10.253907 73.206 -104.7054
10.620118 73.257 -106.7085
10.986329 73.294 -108.6440
11.352540 73.334 -110.5710
11.718751 73.375 -112.5472
12.084962 73.410 -114.5238
12.451173 73.443 -116.3910
12.817384 73.533 -118.0965
13.183595 73.653 -119.6968
13.549806 73.788 -121.2877
13.916017 73.921 -122.8945
14.282228 74.036 -124.4434
14.648439 74.133 -125.8328
15.014650 74.224 -127.0250
15.380861 74.317 -128.0729
15.747072 74.413 -129.0647
16.113283 74.506 -130.0514
16.479493 74.594 -131.0258
16.845704 74.665 -131.9588
17.211915 74.725 -132.8421
17.578126 74.776 -133.6950
17.944337 74.820 -134.5411
18.310548 74.857 -135.3905
18.676759 74.889 -136.2451
19.042970 74.919 -137.1135
19.409181 74.946 -138.0075
19.775392 74.969 -138.9220
20.141603 74.988 -139.8245
20.507814 75.007 -140.6769
20.874025 75.034 -141.4717
21.240236 75.073 -142.2471
21.606447 75.121 -143.0550
21.972658 75.169 -143.9099
22.338869 75.207 -144.7668
22.705080 75.236 -145.5540
23.071291 75.263 -146.2334
23.437502 75.296 -146.8328
23.803713 75.336 -147.4188
24.169924 75.375 -148.0332
24.536135 75.403 -148.6544
24.902346 75.419 -149.2210
25.268557 75.431 -149.6983
25.634768 75.450 -150.1263
26.000979 75.477 -150.5990
26.367190 75.501 -151.1846
26.733401 75.504 -151.8555
27.099612 75.479 -152.4897
27.465823 75.436 -152.9501
27.832033 75.400 -153.1893
28.198244 75.398 -153.3029
28.564455 75.435 -153.4801
28.930666 75.493 -153.8775
29.296877 75.547 -154.5169
29.663088 75.573 -155.2831
30.029299 75.572 -156.0088
30.395510 75.559 -156.5835
30.761721 75.553 -157.0123
31.127932 75.567 -157.3927
31.494143 75.594 -157.8281
31.860354 75.619 -158.3491
32.226565 75.630 -158.9013
32.592776 75.627 -159.3968
32.958987 75.619 -159.7820
33.325198 75.618 -160.0725
33.691409 75.628 -160.3342
34.057620 75.647 -160.6323
34.423831 75.665 -160.9897
34.790042 75.675 -161.3832
35.156253 75.677 -161.7704
35.522464 75.674 -162.1221
35.888675 75.670 -162.4375
36.254886 75.670 -162.7377
36.621097 75.672 -163.0468
36.987308 75.674 -163.3746
37.353519 75.673 -163.7131
37.719730 75.671 -164.0440
38.085941 75.667 -164.3538
38.452152 75.666 -164.6445
38.818363 75.669 -164.9335
39.184573 75.675 -165.2412
39.550784 75.679 -165.5744
39.916995 75.680 -165.9187
40.283206 75.677 -166.2469
40.649417 75.671 -166.5381
41.015628 75.668 -166.7935
41.381839 75.668 -167.0348
41.748050 75.672 -167.2866
42.114261 75.675 -167.5575
42.480472 75.676 -167.8355
42.846683 75.674 -168.1010
43.212894 75.671 -168.3447
43.579105 75.670 -168.5756
43.945316 75.672 -168.8120
44.311527 75.675 -169.0659
44.677738 75.676 -169.3339
45.043949 75.675 -169.6024
45.410160 75.672 -169.8605
45.776371 75.669 -170.1079
46.142582 75.667 -170.3523
46.508793 75.665 -170.5997
46.875004 75.662 -170.8482
47.241215 75.658 -171.0894
47.607426 75.653 -171.3167
47.973637 75.649 -171.5307
48.339848 75.647 -171.7388
48.706059 75.645 -171.9497
49.072270 75.644 -172.1676
49.438481 75.642 -172.3912
49.804692 75.638 -172.6152
50.170902 75.632 -172.8341
50.537113 75.626 -173.0436
50.903324 75.620 -173.2422
51.269535 75.615 -173.4315
51.635746 75.611 -173.6169
52.001957 75.609 -173.8055
52.368168 75.608 -174.0034
52.734379 75.606 -174.2123
53.100590 75.604 -174.4285
53.466801 75.601 -174.6454
53.833012 75.597 -174.8578
54.199223 75.593 -175.0642
54.565434 75.589 -175.2665
54.931645 75.586 -175.4666
55.297856 75.582 -175.6643
55.664067 75.577 -175.8564
56.030278 75.572 -176.0392
56.396489 75.567 -176.2110
56.762700 75.563 -176.3728
57.128911 75.559 -176.5282
57.495122 75.557 -176.6812
57.861333 75.555 -176.8355
58.227544 75.554 -176.9943
58.593755 75.553 -177.1596
58.959966 75.550 -177.3306
59.326177 75.546 -177.5040
59.692388 75.540 -177.6742
60.058599 75.533 -177.8366
60.424810 75.527 -177.9909
60.791021 75.521 -178.1421
61.157232 75.516 -178.2979
61.523442 75.512 -178.4630
61.889653 75.506 -178.6359
62.255864 75.500 -178.8101
62.622075 75.492 -178.9783
62.988286 75.484 -179.1385
63.354497 75.477 -179.2944
63.720708 75.471 -179.4522
64.086919 75.465 -179.6151
64.453130 75.458 -179.7803
64.819341 75.450 -179.9415
65.185552 75.442 179.9059
65.551763 75.435 179.7612
65.917974 75.430 179.6184
66.284185 75.425 179.4715
66.650396 75.420 179.3183
67.016607 75.414 179.1619
67.382818 75.408 179.0078
67.749029 75.400 178.8593
68.115240 75.393 178.7161
68.481451 75.386 178.5746
68.847662 75.379 178.4314
69.213873 75.372 178.2862
69.580084 75.364 178.1417
69.946295 75.355 178.0020
70.312506 75.346 177.8700
70.678717 75.337 177.7459
71.044928 75.329 177.6275
71.411139 75.323 177.5103
71.777350 75.317 177.3894
72.143561 75.313 177.2602
72.509771 75.308 177.1208
72.875982 75.302 176.9730
73.242193 75.295 176.8229
73.608404 75.285 176.6783
73.974615 75.275 176.5450
74.340826 75.265 176.4234
74.707037 75.256 176.3083
75.073248 75.248 176.1923
75.439459 75.240 176.0705
75.805670 75.231 175.9446
76.171881 75.220 175.8219
76.538092 75.209 175.7115
76.904303 75.197 175.6181
77.270514 75.188 175.5388
77.636725 75.182 175.4636
78.002936 75.179 175.3794
78.369147 75.178 175.2747
78.735358 75.177 175.1445
79.101569 75.175 174.9914
79.467780 75.169 174.8260
79.833991 75.159 174.6633
80.200202 75.146 174.5169
80.566413 75.133 174.3947
80.932624 75.121 174.2941
81.298835 75.112 174.2045
81.665046 75.106 174.1118
82.031257 75.101 174.0062
82.397468 75.097 173.8857
82.763679 75.092 173.7551
83.129890 75.086 173.6215
83.496101 75.078 173.4894
83.862311 75.069 173.3604
84.228522 75.058 173.2359
84.594733 75.046 173.1199
84.960944 75.034 173.0187
85.327155 75.021 172.9365
85.693366 75.011 172.8707
86.059577 75.003 172.8108
86.425788 74.999 172.7433
86.791999 74.995 172.6586
87.158210 74.992 172.5559
87.524421 74.986 172.4425
87.890632 74.978 172.3281
88.256843 74.969 172.2195
88.623054 74.960 172.1176
88.989265 74.950 172.0197
89.355476 74.941 171.9232
89.721687 74.932 171.8277
90.087898 74.924 171.7344
90.454109 74.915 171.6433
90.820320 74.908 171.5520
91.186531 74.901 171.4567
91.552742 74.895 171.3552
91.918953 74.888 171.2490
92.285164 74.880 171.1423
92.651375 74.871 171.0400
93.017586 74.862 170.9441
93.383797 74.854 170.8529
93.750008 74.846 170.7631
94.116219 74.838 170.6721
94.482430 74.830 170.5797
94.848641 74.822 170.4880
95.214851 74.813 170.3995
95.581062 74.805 170.3149
95.947273 74.796 170.2332
96.313484 74.788 170.1519
96.679695 74.779 170.0695
97.045906 74.771 169.9861
97.412117 74.762 169.9033
97.778328 74.752 169.8230
98.144539 74.743 169.7461
98.510750 74.734 169.6720
98.876961 74.725 169.5984
99.243172 74.718 169.5224
99.609383 74.710 169.4416
99.975594 74.703 169.3559
100.341805 74.695 169.2671
100.708016 74.686 169.1783
101.074227 74.677 169.0922
101.440438 74.668 169.0098
101.806649 74.659 168.9304
102.172860 74.650 168.8522
102.539071 74.642 168.7739
102.905282 74.633 168.6957
103.271493 74.624 168.6188
103.637704 74.615 168.5444
104.003915 74.607 168.4724
104.370126 74.599 168.4016
104.736337 74.591 168.3302
105.102548 74.583 168.2570
105.468759 74.575 168.1819
105.834970 74.567 168.1059
106.201180 74.559 168.0298
106.567391 74.551 167.9537
106.933602 74.543 167.8774
107.299813 74.535 167.8004
107.666024 74.527 167.7228
108.032235 74.519 167.6452
108.398446 74.510 167.5681
108.764657 74.502 167.4914
109.130868 74.494 167.4147
109.497079 74.486 167.3373
109.863290 74.477 167.2596
110.229501 74.468 167.1831
110.595712 74.459 167.1101
110.961923 74.449 167.0425
111.328134 74.440 166.9804
111.694345 74.431 166.9218
112.060556 74.423 166.8630
112.426767 74.416 166.8006
112.792978 74.408 166.7325
113.159189 74.400 166.6594
113.525400 74.392 166.5839
113.891611 74.382 166.5095
114.257822 74.371 166.4395
114.624033 74.360 166.3752
114.990244 74.349 166.3162
115.356455 74.339 166.2604
115.722666 74.329 166.2051
116.088877 74.320 166.1484
116.455088 74.312 166.0892
116.821299 74.303 166.0277
117.187510 74.295 165.9645
117.553720 74.286 165.9006
117.919931 74.278 165.8363
118.286142 74.269 165.7718
118.652353 74.261 165.7074
119.018564 74.252 165.6436
119.384775 74.244 165.5807
119.750986 74.235 165.5193
120.117197 74.227 165.4592
120.483408 74.219 165.3998
120.849619 74.211 165.3404
121.215830 74.202 165.2808
121.582041 74.194 165.2212
121.948252 74.186 165.1621
122.314463 74.177 165.1039
122.680674 74.168 165.0464
123.046885 74.160 164.9890
123.413096 74.151 164.9314
123.779307 74.142 164.8738
124.145518 74.132 164.8170
124.511729 74.123 164.7620
124.877940 74.114 164.7090
125.244151 74.105 164.6579
125.610362 74.097 164.6076
125.976573 74.089 164.5569
126.342784 74.082 164.5051
126.708995 74.074 164.4517
127.075206 74.067 164.3967
127.441417 74.060 164.3405
127.807628 74.053 164.2838
128.173839 74.045 164.2271
128.540049 74.037 164.1712
128.906260 74.030 164.1167
129.272471 74.022 164.0637
129.638682 74.014 164.0120
130.004893 74.007 163.9611
130.371104 73.999 163.9103
130.737315 73.992 163.8591
131.103526 73.985 163.8073
131.469737 73.977 163.7550
131.835948 73.970 163.7025
132.202159 73.962 163.6504
132.568370 73.955 163.5991
132.934581 73.947 163.5488
133.300792 73.939 163.4995
133.667003 73.932 163.4507
134.033214 73.925 163.4017
134.399425 73.917 163.3519
134.765636 73.910 163.3013
135.131847 73.903 163.2502
135.498058 73.896 163.1989
135.864269 73.889 163.1476
136.230480 73.882 163.0957
136.596691 73.875 163.0427
136.962902 73.867 162.9883
137.329113 73.859 162.9335
137.695324 73.851 162.8801
138.061535 73.842 162.8304
138.427746 73.832 162.7861
138.793957 73.823 162.7477
139.160168 73.815 162.7137
139.526379 73.807 162.6813
139.892589 73.800 162.6476
140.258800 73.794 162.6104
140.625011 73.788 162.5688
140.991222 73.781 162.5233
141.357433 73.775 162.4753
141.723644 73.768 162.4261
142.089855 73.760 162.3773
142.456066 73.752 162.3298
142.822277 73.744 162.2840
143.188488 73.736 162.2403
143.554699 73.728 162.1985
143.920910 73.720 162.1583
144.287121 73.713 162.1190
144.653332 73.706 162.0796
145.019543 73.699 162.0395
145.385754 73.692 161.9980
145.751965 73.685 161.9549
146.118176 73.678 161.9100
146.484387 73.671 161.8638
146.850598 73.663 161.8171
147.216809 73.654 161.7711
147.583020 73.645 161.7277
147.949231 73.636 161.6887
148.315442 73.627 161.6552
