* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:51:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quartet s.00 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 63.975 163.7857
0.732422 62.201 146.7964
1.098633 58.780 126.7502
1.464844 52.720 91.5194
1.831055 50.657 3.4368
2.197266 56.463 -38.1701
2.563477 59.842 -52.5110
2.929688 61.926 -59.0477
3.295899 63.507 -62.0891
3.662110 64.914 -64.0452
4.028321 66.187 -66.3662
4.394532 67.270 -69.4253
4.760743 68.129 -72.9171
5.126954 68.792 -76.3875
5.493164 69.323 -79.5601
5.859375 69.790 -82.4376
6.225586 70.235 -85.2141
6.591797 70.663 -88.0816
6.958008 71.059 -91.0872
7.324219 71.413 -94.1318
7.690430 71.730 -97.0692
8.056641 72.025 -99.8096
8.422852 72.313 -102.3555
8.789063 72.600 -104.7652
9.155274 72.881 -107.0853
9.521485 73.146 -109.3126
9.887696 73.388 -111.4077
10.253907 73.539 -113.3369
10.620118 73.646 -115.1012
10.986329 73.744 -116.7349
11.352540 73.832 -118.2786
11.718751 73.908 -119.7559
12.084962 73.969 -121.1698
12.451173 74.017 -122.5157
12.817384 74.100 -123.7972
13.183595 74.182 -125.0285
13.549806 74.255 -126.2285
13.916017 74.321 -127.4107
14.282228 74.378 -128.5807
14.648439 74.430 -129.7391
15.014650 74.477 -130.8850
15.380861 74.520 -132.0172
15.747072 74.561 -133.1326
16.113283 74.605 -134.2266
16.479493 74.659 -135.2955
16.845704 74.713 -136.3381
17.211915 74.767 -137.3551
17.578126 74.820 -138.3458
17.944337 74.872 -139.3056
18.310548 74.921 -140.2270
18.676759 74.968 -141.1046
19.042970 75.013 -141.9379
19.409181 75.057 -142.7322
19.775392 75.098 -143.4952
20.141603 75.138 -144.2332
20.507814 75.176 -144.9496
20.874025 75.210 -145.6461
21.240236 75.241 -146.3237
21.606447 75.267 -146.9847
21.972658 75.290 -147.6317
22.338869 75.311 -148.2676
22.705080 75.329 -148.8954
23.071291 75.346 -149.5173
23.437502 75.362 -150.1353
23.803713 75.376 -150.7496
24.169924 75.391 -151.3594
24.536135 75.404 -151.9632
24.902346 75.419 -152.5608
25.268557 75.433 -153.1518
25.634768 75.448 -153.7354
26.000979 75.463 -154.3090
26.367190 75.477 -154.8689
26.733401 75.492 -155.4119
27.099612 75.506 -155.9375
27.465823 75.520 -156.4471
27.832033 75.534 -156.9433
28.198244 75.547 -157.4272
28.564455 75.559 -157.8987
28.930666 75.570 -158.3577
29.296877 75.579 -158.8057
29.663088 75.588 -159.2454
30.029299 75.595 -159.6796
30.395510 75.601 -160.1088
30.761721 75.604 -160.5309
31.127932 75.607 -160.9436
31.494143 75.608 -161.3465
31.860354 75.610 -161.7426
32.226565 75.613 -162.1373
32.592776 75.615 -162.5352
32.958987 75.618 -162.9377
33.325198 75.620 -163.3423
33.691409 75.620 -163.7440
34.057620 75.621 -164.1382
34.423831 75.621 -164.5225
34.790042 75.621 -164.8975
35.156253 75.622 -165.2658
35.522464 75.624 -165.6296
35.888675 75.625 -165.9897
36.254886 75.627 -166.3451
36.621097 75.627 -166.6936
36.987308 75.627 -167.0341
37.353519 75.627 -167.3667
37.719730 75.627 -167.6938
38.085941 75.626 -168.0174
38.452152 75.625 -168.3388
38.818363 75.624 -168.6569
39.184573 75.621 -168.9700
39.550784 75.618 -169.2773
39.916995 75.615 -169.5802
40.283206 75.613 -169.8819
40.649417 75.612 -170.1847
41.015628 75.609 -170.4884
41.381839 75.606 -170.7894
41.748050 75.602 -171.0839
42.114261 75.599 -171.3701
42.480472 75.596 -171.6506
42.846683 75.594 -171.9302
43.212894 75.592 -172.2126
43.579105 75.590 -172.4977
43.945316 75.587 -172.7815
44.311527 75.583 -173.0592
44.677738 75.579 -173.3288
45.043949 75.575 -173.5924
45.410160 75.572 -173.8543
45.776371 75.569 -174.1174
46.142582 75.566 -174.3812
46.508793 75.562 -174.6425
46.875004 75.557 -174.8985
47.241215 75.552 -175.1492
47.607426 75.548 -175.3973
47.973637 75.543 -175.6454
48.339848 75.539 -175.8939
48.706059 75.534 -176.1402
49.072270 75.528 -176.3815
49.438481 75.523 -176.6171
49.804692 75.519 -176.8496
50.170902 75.515 -177.0831
50.537113 75.511 -177.3200
50.903324 75.507 -177.5592
51.269535 75.501 -177.7964
51.635746 75.495 -178.0268
52.001957 75.489 -178.2487
52.368168 75.483 -178.4642
52.734379 75.478 -178.6775
53.100590 75.473 -178.8925
53.466801 75.469 -179.1105
53.833012 75.464 -179.3304
54.199223 75.458 -179.5497
54.565434 75.452 -179.7669
54.931645 75.445 -179.9816
55.297856 75.439 179.8060
55.664067 75.432 179.5964
56.030278 75.425 179.3906
56.396489 75.418 179.1888
56.762700 75.412 178.9897
57.128911 75.407 178.7897
57.495122 75.402 178.5853
57.861333 75.397 178.3752
58.227544 75.391 178.1626
58.593755 75.383 177.9534
58.959966 75.375 177.7540
59.326177 75.366 177.5667
59.692388 75.359 177.3885
60.058599 75.352 177.2135
60.424810 75.347 177.0352
60.791021 75.342 176.8509
61.157232 75.337 176.6622
61.523442 75.331 176.4731
61.889653 75.324 176.2871
62.255864 75.316 176.1050
62.622075 75.309 175.9254
62.988286 75.302 175.7463
63.354497 75.294 175.5669
63.720708 75.286 175.3877
64.086919 75.277 175.2100
64.453130 75.269 175.0341
64.819341 75.260 174.8589
65.185552 75.252 174.6836
65.551763 75.243 174.5075
65.917974 75.235 174.3318
66.284185 75.226 174.1584
66.650396 75.216 173.9885
67.016607 75.207 173.8220
67.382818 75.199 173.6573
67.749029 75.190 173.4926
68.115240 75.182 173.3271
68.481451 75.173 173.1617
68.847662 75.164 172.9979
69.213873 75.155 172.8364
69.580084 75.146 172.6768
69.946295 75.138 172.5177
70.312506 75.129 172.3581
70.678717 75.120 172.1984
71.044928 75.110 172.0402
71.411139 75.100 171.8855
71.777350 75.090 171.7346
72.143561 75.081 171.5861
72.509771 75.072 171.4373
72.875982 75.063 171.2860
73.242193 75.054 171.1324
73.608404 75.045 170.9788
73.974615 75.035 170.8278
74.340826 75.025 170.6810
74.707037 75.016 170.5370
75.073248 75.007 170.3929
75.439459 74.998 170.2456
75.805670 74.989 170.0944
76.171881 74.980 169.9410
76.538092 74.970 169.7892
76.904303 74.959 169.6419
77.270514 74.948 169.5003
77.636725 74.938 169.3631
78.002936 74.928 169.2277
78.369147 74.919 169.0916
78.735358 74.910 168.9536
79.101569 74.901 168.8139
79.467780 74.891 168.6736
79.833991 74.882 168.5338
80.200202 74.872 168.3954
80.566413 74.862 168.2586
80.932624 74.852 168.1232
81.298835 74.843 167.9889
81.665046 74.833 167.8554
82.031257 74.823 167.7227
82.397468 74.813 167.5907
82.763679 74.804 167.4596
83.129890 74.794 167.3296
83.496101 74.784 167.2011
83.862311 74.773 167.0746
84.228522 74.763 166.9503
84.594733 74.753 166.8281
84.960944 74.744 166.7066
85.327155 74.734 166.5841
85.693366 74.725 166.4591
86.059577 74.716 166.3314
86.425788 74.706 166.2021
86.791999 74.695 166.0733
87.158210 74.684 165.9471
87.524421 74.673 165.8242
87.890632 74.662 165.7044
88.256843 74.651 165.5866
88.623054 74.641 165.4698
88.989265 74.631 165.3534
89.355476 74.620 165.2372
89.721687 74.610 165.1211
90.087898 74.601 165.0046
90.454109 74.591 164.8875
90.820320 74.581 164.7697
91.186531 74.571 164.6520
91.552742 74.561 164.5351
91.918953 74.550 164.4192
92.285164 74.540 164.3042
92.651375 74.530 164.1898
93.017586 74.520 164.0755
93.383797 74.509 163.9615
93.750008 74.499 163.8481
94.116219 74.488 163.7356
94.482430 74.477 163.6243
94.848641 74.466 163.5141
95.214851 74.455 163.4053
95.581062 74.444 163.2977
95.947273 74.434 163.1911
96.313484 74.423 163.0849
96.679695 74.413 162.9783
97.045906 74.403 162.8707
97.412117 74.392 162.7618
97.778328 74.382 162.6524
98.144539 74.371 162.5435
98.510750 74.360 162.4359
98.876961 74.349 162.3304
99.243172 74.338 162.2269
99.609383 74.328 162.1251
99.975594 74.317 162.0246
100.341805 74.307 161.9245
100.708016 74.297 161.8242
101.074227 74.287 161.7233
101.440438 74.277 161.6218
101.806649 74.266 161.5203
102.172860 74.256 161.4195
102.539071 74.245 161.3201
102.905282 74.235 161.2219
103.271493 74.224 161.1247
103.637704 74.214 161.0277
104.003915 74.203 160.9307
104.370126 74.193 160.8336
104.736337 74.182 160.7368
105.102548 74.172 160.6403
105.468759 74.161 160.5443
105.834970 74.150 160.4482
106.201180 74.139 160.3522
106.567391 74.128 160.2564
106.933602 74.117 160.1613
107.299813 74.106 160.0673
107.666024 74.095 159.9747
108.032235 74.084 159.8832
108.398446 74.073 159.7924
108.764657 74.062 159.7022
109.130868 74.051 159.6125
109.497079 74.040 159.5235
109.863290 74.030 159.4351
110.229501 74.019 159.3474
110.595712 74.008 159.2598
110.961923 73.998 159.1724
111.328134 73.987 159.0850
111.694345 73.977 158.9978
112.060556 73.966 158.9110
112.426767 73.955 158.8248
112.792978 73.944 158.7390
113.159189 73.934 158.6537
113.525400 73.923 158.5687
113.891611 73.912 158.4839
114.257822 73.901 158.3998
114.624033 73.890 158.3166
114.990244 73.878 158.2349
115.356455 73.867 158.1547
115.722666 73.856 158.0756
116.088877 73.846 157.9967
116.455088 73.835 157.9171
116.821299 73.825 157.8358
117.187510 73.814 157.7528
117.553720 73.804 157.6684
117.919931 73.793 157.5833
118.286142 73.782 157.4985
118.652353 73.771 157.4145
119.018564 73.759 157.3317
119.384775 73.748 157.2505
119.750986 73.736 157.1708
120.117197 73.724 157.0927
120.483408 73.713 157.0164
120.849619 73.702 156.9415
121.215830 73.690 156.8680
121.582041 73.679 156.7951
121.948252 73.669 156.7224
122.314463 73.658 156.6491
122.680674 73.647 156.5752
123.046885 73.637 156.5007
123.413096 73.626 156.4260
123.779307 73.615 156.3517
124.145518 73.604 156.2780
124.511729 73.594 156.2050
124.877940 73.583 156.1323
125.244151 73.573 156.0598
125.610362 73.563 155.9871
125.976573 73.552 155.9143
126.342784 73.542 155.8419
126.708995 73.532 155.7704
127.075206 73.522 155.7001
127.441417 73.512 155.6310
127.807628 73.502 155.5628
128.173839 73.492 155.4949
128.540049 73.483 155.4269
128.906260 73.474 155.3583
129.272471 73.464 155.2891
129.638682 73.455 155.2191
130.004893 73.445 155.1486
130.371104 73.436 155.0777
130.737315 73.426 155.0070
131.103526 73.417 154.9369
131.469737 73.407 154.8681
131.835948 73.397 154.8011
132.202159 73.387 154.7357
132.568370 73.377 154.6717
132.934581 73.367 154.6082
133.300792 73.358 154.5443
133.667003 73.349 154.4800
134.033214 73.339 154.4151
134.399425 73.330 154.3501
134.765636 73.320 154.2855
135.131847 73.310 154.2216
135.498058 73.301 154.1583
135.864269 73.291 154.0954
136.230480 73.281 154.0327
136.596691 73.271 153.9702
136.962902 73.262 153.9080
137.329113 73.252 153.8463
137.695324 73.242 153.7855
138.061535 73.232 153.7254
138.427746 73.222 153.6661
138.793957 73.212 153.6074
139.160168 73.202 153.5490
139.526379 73.193 153.4908
139.892589 73.183 153.4327
140.258800 73.173 153.3745
140.625011 73.164 153.3162
140.991222 73.154 153.2579
141.357433 73.144 153.1996
141.723644 73.134 153.1415
142.089855 73.125 153.0837
142.456066 73.115 153.0263
142.822277 73.105 152.9693
143.188488 73.095 152.9126
143.554699 73.085 152.8563
143.920910 73.075 152.8002
144.287121 73.065 152.7446
144.653332 73.055 152.6895
145.019543 73.045 152.6349
145.385754 73.035 152.5809
145.751965 73.025 152.5273
146.118176 73.016 152.4738
146.484387 73.006 152.4200
146.850598 72.996 152.3660
147.216809 72.987 152.3115
147.583020 72.977 152.2568
147.949231 72.968 152.2020
148.315442 72.958 152.1472
148.681653 72.948 152.0925
149.047864 72.938 152.0383
