* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2023 7:58:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quartet s.11 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 50.122 -49.9861
0.732422 51.032 -76.5889
1.098633 50.080 -74.2185
1.464844 52.876 -42.6569
1.831055 58.923 -36.3148
2.197266 63.341 -45.5917
2.563477 66.241 -58.4932
2.929688 68.045 -71.2888
3.295899 69.059 -82.2360
3.662110 69.571 -90.2471
4.028321 69.909 -95.0322
4.394532 70.369 -97.6376
4.760743 71.024 -99.9907
5.126954 71.721 -103.3058
5.493164 72.279 -107.4311
5.859375 72.637 -111.5243
6.225586 72.850 -114.8508
6.591797 73.028 -117.2399
6.958008 73.255 -119.1148
7.324219 73.525 -121.0577
7.690430 73.780 -123.3083
8.056641 73.967 -125.6831
8.422852 74.087 -127.8557
8.789063 74.178 -129.6595
9.155274 74.276 -131.1891
9.521485 74.390 -132.6640
9.887696 74.501 -134.2153
10.253907 74.517 -135.8052
10.620118 74.477 -137.3160
10.986329 74.426 -138.6815
11.352540 74.380 -139.9342
11.718751 74.339 -141.1481
12.084962 74.297 -142.3578
12.451173 74.251 -143.5388
12.817384 74.247 -144.6534
13.183595 74.252 -145.6996
13.549806 74.260 -146.7099
13.916017 74.266 -147.7114
14.282228 74.267 -148.6954
14.648439 74.262 -149.6315
15.014650 74.254 -150.5031
15.380861 74.249 -151.3266
15.747072 74.247 -152.1335
16.113283 74.248 -152.9385
16.479493 74.255 -153.7290
16.845704 74.257 -154.4834
17.211915 74.259 -155.1959
17.578126 74.262 -155.8817
17.944337 74.265 -156.5591
18.310548 74.267 -157.2311
18.676759 74.265 -157.8859
19.042970 74.261 -158.5130
19.409181 74.258 -159.1156
19.775392 74.256 -159.7065
20.141603 74.255 -160.2939
20.507814 74.254 -160.8737
20.874025 74.251 -161.4358
21.240236 74.248 -161.9761
21.606447 74.246 -162.5008
21.972658 74.245 -163.0190
22.338869 74.243 -163.5338
22.705080 74.240 -164.0399
23.071291 74.237 -164.5318
23.437502 74.233 -165.0095
23.803713 74.230 -165.4781
24.169924 74.227 -165.9410
24.536135 74.223 -166.3963
24.902346 74.218 -166.8397
25.268557 74.213 -167.2701
25.634768 74.209 -167.6912
26.000979 74.204 -168.1073
26.367190 74.199 -168.5183
26.733401 74.193 -168.9200
27.099612 74.187 -169.3097
27.465823 74.181 -169.6896
27.832033 74.176 -170.0654
28.198244 74.170 -170.4407
28.564455 74.164 -170.8138
28.930666 74.157 -171.1794
29.296877 74.150 -171.5350
29.663088 74.143 -171.8830
30.029299 74.137 -172.2285
30.395510 74.131 -172.5748
30.761721 74.124 -172.9200
31.127932 74.117 -173.2596
31.494143 74.108 -173.5897
31.860354 74.100 -173.9103
32.226565 74.093 -174.2242
32.592776 74.086 -174.5355
32.958987 74.079 -174.8472
33.325198 74.073 -175.1602
33.691409 74.065 -175.4720
34.057620 74.056 -175.7784
34.423831 74.047 -176.0753
34.790042 74.038 -176.3618
35.156253 74.029 -176.6420
35.522464 74.022 -176.9223
35.888675 74.015 -177.2076
36.254886 74.007 -177.4965
36.621097 73.997 -177.7826
36.987308 73.986 -178.0594
37.353519 73.975 -178.3244
37.719730 73.965 -178.5812
38.085941 73.956 -178.8357
38.452152 73.948 -179.0922
38.818363 73.940 -179.3508
39.184573 73.931 -179.6090
39.550784 73.922 -179.8645
39.916995 73.913 179.8837
40.283206 73.904 179.6352
40.649417 73.896 179.3895
41.015628 73.888 179.1467
41.381839 73.881 178.9059
41.748050 73.873 178.6662
42.114261 73.866 178.4268
42.480472 73.858 178.1881
42.846683 73.850 177.9517
43.212894 73.842 177.7190
43.579105 73.833 177.4906
43.945316 73.825 177.2657
44.311527 73.817 177.0435
44.677738 73.808 176.8232
45.043949 73.800 176.6049
45.410160 73.791 176.3884
45.776371 73.783 176.1736
46.142582 73.774 175.9603
46.508793 73.766 175.7484
46.875004 73.757 175.5383
47.241215 73.748 175.3300
47.607426 73.739 175.1227
47.973637 73.730 174.9160
48.339848 73.721 174.7099
48.706059 73.711 174.5056
49.072270 73.702 174.3043
49.438481 73.692 174.1063
49.804692 73.683 173.9107
50.170902 73.674 173.7159
50.537113 73.665 173.5212
50.903324 73.656 173.3268
51.269535 73.647 173.1338
51.635746 73.639 172.9427
52.001957 73.630 172.7535
52.368168 73.621 172.5654
52.734379 73.612 172.3781
53.100590 73.603 172.1917
53.466801 73.594 172.0067
53.833012 73.585 171.8236
54.199223 73.576 171.6425
54.565434 73.567 171.4629
54.931645 73.558 171.2848
55.297856 73.549 171.1082
55.664067 73.539 170.9335
56.030278 73.530 170.7607
56.396489 73.521 170.5891
56.762700 73.512 170.4176
57.128911 73.503 170.2448
57.495122 73.494 170.0707
57.861333 73.484 169.8968
58.227544 73.474 169.7251
58.593755 73.463 169.5576
58.959966 73.453 169.3946
59.326177 73.443 169.2345
59.692388 73.433 169.0753
60.058599 73.423 168.9156
60.424810 73.414 168.7554
60.791021 73.404 168.5957
61.157232 73.395 168.4371
61.523442 73.385 168.2790
61.889653 73.376 168.1203
62.255864 73.367 167.9604
62.622075 73.357 167.8003
62.988286 73.347 167.6416
63.354497 73.336 167.4856
63.720708 73.325 167.3323
64.086919 73.314 167.1807
64.453130 73.303 167.0293
64.819341 73.292 166.8779
65.185552 73.281 166.7274
65.551763 73.270 166.5789
65.917974 73.258 166.4331
66.284185 73.247 166.2897
66.650396 73.235 166.1479
67.016607 73.224 166.0069
67.382818 73.213 165.8663
67.749029 73.202 165.7264
68.115240 73.191 165.5875
68.481451 73.180 165.4493
68.847662 73.169 165.3114
69.213873 73.158 165.1732
69.580084 73.147 165.0347
69.946295 73.135 164.8964
70.312506 73.124 164.7593
70.678717 73.112 164.6241
71.044928 73.101 164.4907
71.411139 73.090 164.3584
71.777350 73.079 164.2260
72.143561 73.067 164.0927
72.509771 73.056 163.9586
72.875982 73.045 163.8250
73.242193 73.033 163.6931
73.608404 73.021 163.5636
73.974615 73.009 163.4361
74.340826 72.998 163.3097
74.707037 72.986 163.1834
75.073248 72.975 163.0570
75.439459 72.963 162.9308
75.805670 72.952 162.8052
76.171881 72.940 162.6808
76.538092 72.928 162.5571
76.904303 72.917 162.4343
77.270514 72.905 162.3120
77.636725 72.893 162.1907
78.002936 72.882 162.0706
78.369147 72.870 161.9517
78.735358 72.858 161.8334
79.101569 72.847 161.7152
79.467780 72.836 161.5967
79.833991 72.824 161.4781
80.200202 72.813 161.3599
80.566413 72.801 161.2427
80.932624 72.789 161.1268
81.298835 72.778 161.0122
81.665046 72.766 160.8987
82.031257 72.754 160.7865
82.397468 72.743 160.6755
82.763679 72.731 160.5658
83.129890 72.719 160.4569
83.496101 72.708 160.3484
83.862311 72.697 160.2397
84.228522 72.685 160.1308
84.594733 72.674 160.0220
84.960944 72.662 159.9139
85.327155 72.650 159.8068
85.693366 72.638 159.7001
86.059577 72.627 159.5938
86.425788 72.615 159.4873
86.791999 72.603 159.3809
87.158210 72.591 159.2751
87.524421 72.579 159.1705
87.890632 72.567 159.0670
88.256843 72.555 158.9644
88.623054 72.543 158.8624
88.989265 72.531 158.7608
89.355476 72.519 158.6600
89.721687 72.507 158.5605
90.087898 72.495 158.4627
90.454109 72.483 158.3668
90.820320 72.471 158.2719
91.186531 72.460 158.1772
91.552742 72.449 158.0817
91.918953 72.437 157.9847
92.285164 72.426 157.8867
92.651375 72.414 157.7884
93.017586 72.402 157.6908
93.383797 72.390 157.5946
93.750008 72.378 157.4998
94.116219 72.365 157.4062
94.482430 72.353 157.3134
94.848641 72.341 157.2209
95.214851 72.329 157.1291
95.581062 72.316 157.0383
95.947273 72.304 156.9490
96.313484 72.292 156.8609
96.679695 72.280 156.7736
97.045906 72.268 156.6859
97.412117 72.257 156.5970
97.778328 72.245 156.5067
98.144539 72.234 156.4151
98.510750 72.222 156.3232
98.876961 72.210 156.2320
99.243172 72.198 156.1424
99.609383 72.185 156.0549
99.975594 72.173 155.9692
100.341805 72.161 155.8849
100.708016 72.149 155.8016
101.074227 72.137 155.7188
101.440438 72.125 155.6364
101.806649 72.113 155.5543
102.172860 72.102 155.4726
102.539071 72.090 155.3914
102.905282 72.078 155.3105
103.271493 72.066 155.2302
103.637704 72.054 155.1504
104.003915 72.042 155.0707
104.370126 72.030 154.9912
104.736337 72.018 154.9116
105.102548 72.006 154.8320
105.468759 71.994 154.7526
105.834970 71.982 154.6739
106.201180 71.969 154.5959
106.567391 71.957 154.5186
106.933602 71.945 154.4420
107.299813 71.933 154.3658
107.666024 71.921 154.2900
108.032235 71.908 154.2149
108.398446 71.896 154.1407
108.764657 71.884 154.0674
109.130868 71.872 153.9951
109.497079 71.860 153.9232
109.863290 71.848 153.8515
110.229501 71.837 153.7796
110.595712 71.825 153.7075
110.961923 71.813 153.6353
111.328134 71.802 153.5631
111.694345 71.790 153.4910
112.060556 71.778 153.4193
112.426767 71.766 153.3481
112.792978 71.754 153.2777
113.159189 71.742 153.2085
113.525400 71.730 153.1404
113.891611 71.717 153.0732
114.257822 71.705 153.0065
114.624033 71.694 152.9399
114.990244 71.682 152.8734
115.356455 71.670 152.8071
115.722666 71.658 152.7412
116.088877 71.646 152.6758
116.455088 71.634 152.6104
116.821299 71.622 152.5449
117.187510 71.610 152.4789
117.553720 71.598 152.4128
117.919931 71.586 152.3474
118.286142 71.574 152.2835
118.652353 71.561 152.2216
119.018564 71.549 152.1613
119.384775 71.537 152.1019
119.750986 71.526 152.0422
120.117197 71.514 151.9814
120.483408 71.502 151.9193
120.849619 71.491 151.8564
121.215830 71.479 151.7937
121.582041 71.466 151.7321
121.948252 71.454 151.6721
122.314463 71.442 151.6136
122.680674 71.429 151.5564
123.046885 71.417 151.4997
123.413096 71.406 151.4431
123.779307 71.394 151.3862
124.145518 71.382 151.3288
124.511729 71.371 151.2712
124.877940 71.359 151.2134
125.244151 71.348 151.1559
125.610362 71.337 151.0989
125.976573 71.326 151.0427
126.342784 71.315 150.9874
126.708995 71.304 150.9325
127.075206 71.294 150.8778
127.441417 71.284 150.8229
127.807628 71.273 150.7677
128.173839 71.263 150.7125
128.540049 71.252 150.6577
128.906260 71.242 150.6038
129.272471 71.231 150.5509
129.638682 71.221 150.4989
130.004893 71.210 150.4473
130.371104 71.200 150.3957
130.737315 71.189 150.3442
131.103526 71.179 150.2930
131.469737 71.168 150.2422
131.835948 71.158 150.1924
132.202159 71.147 150.1432
132.568370 71.137 150.0946
132.934581 71.127 150.0461
133.300792 71.116 149.9975
133.667003 71.106 149.9487
134.033214 71.096 149.9000
134.399425 71.085 149.8513
134.765636 71.075 149.8031
135.131847 71.065 149.7554
135.498058 71.054 149.7082
135.864269 71.044 149.6617
136.230480 71.033 149.6160
136.596691 71.023 149.5712
136.962902 71.012 149.5272
137.329113 71.002 149.4838
137.695324 70.992 149.4407
138.061535 70.981 149.3976
138.427746 70.971 149.3544
138.793957 70.961 149.3109
139.160168 70.951 149.2672
139.526379 70.941 149.2234
139.892589 70.931 149.1795
140.258800 70.921 149.1357
140.625011 70.910 149.0920
140.991222 70.900 149.0484
141.357433 70.890 149.0050
141.723644 70.879 148.9620
142.089855 70.869 148.9195
142.456066 70.858 148.8774
142.822277 70.848 148.8358
143.188488 70.837 148.7944
143.554699 70.827 148.7537
143.920910 70.816 148.7135
144.287121 70.806 148.6741
144.653332 70.796 148.6353
145.019543 70.786 148.5969
145.385754 70.776 148.5580
145.751965 70.766 148.5186
146.118176 70.756 148.4782
146.484387 70.746 148.4375
146.850598 70.735 148.3970
147.216809 70.725 148.3576
147.583020 70.714 148.3196
147.949231 70.704 148.2830
148.315442 70.694 148.2473
148.681653 70.684 148.2119
149.047864 70.673 148.1766
149.414075 70.663 148.1412
149.780286 70.653 148.1059
150.146497 70.643 148.0709
