* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 8:05:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EJ07M Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 54.577 -139.3780
0.732422 58.033 -146.7846
1.098633 57.917 -162.2329
1.464844 53.072 -179.1483
1.831055 44.340 -21.4342
2.197266 59.287 -36.1684
2.563477 64.423 -52.2170
2.929688 67.038 -66.5298
3.295899 68.303 -77.9871
3.662110 68.795 -85.4565
4.028321 69.056 -88.5377
4.394532 69.564 -88.9464
4.760743 70.405 -89.8631
5.126954 71.285 -92.8828
5.493164 71.946 -97.3559
5.859375 72.331 -101.8983
6.225586 72.546 -105.4976
6.591797 72.753 -108.0034
6.958008 73.054 -110.0681
7.324219 73.426 -112.4548
7.690430 73.777 -115.3685
8.056641 74.043 -118.4636
8.422852 74.231 -121.2776
8.789063 74.390 -123.6064
9.155274 74.568 -125.5933
9.521485 74.768 -127.5223
9.887696 74.960 -129.5405
10.253907 75.045 -131.5774
10.620118 75.063 -133.4776
10.986329 75.063 -135.1661
11.352540 75.063 -136.6998
11.718751 75.064 -138.1881
12.084962 75.058 -139.6864
12.451173 75.038 -141.1712
12.817384 75.050 -142.5971
13.183595 75.064 -143.9576
13.549806 75.074 -145.2885
13.916017 75.079 -146.6213
14.282228 75.075 -147.9482
14.648439 75.063 -149.2358
15.014650 75.049 -150.4662
15.380861 75.038 -151.6573
15.747072 75.031 -152.8416
16.113283 75.028 -154.0299
16.479493 75.030 -155.1994
16.845704 75.030 -156.3181
17.211915 75.030 -157.3763
17.578126 75.034 -158.3925
17.944337 75.040 -159.3895
18.310548 75.042 -160.3697
18.676759 75.040 -161.3140
19.042970 75.035 -162.2047
19.409181 75.028 -163.0449
19.775392 75.023 -163.8553
20.141603 75.017 -164.6549
20.507814 75.008 -165.4448
20.874025 74.994 -166.2123
21.240236 74.977 -166.9474
21.606447 74.958 -167.6539
21.972658 74.940 -168.3452
22.338869 74.921 -169.0328
22.705080 74.901 -169.7189
23.071291 74.880 -170.4004
23.437502 74.858 -171.0760
23.803713 74.836 -171.7472
24.169924 74.814 -172.4142
24.536135 74.790 -173.0713
24.902346 74.766 -173.7099
25.268557 74.743 -174.3252
25.634768 74.722 -174.9196
26.000979 74.704 -175.5003
26.367190 74.687 -176.0737
26.733401 74.670 -176.6428
27.099612 74.653 -177.2071
27.465823 74.634 -177.7645
27.832033 74.613 -178.3100
28.198244 74.588 -178.8350
28.564455 74.562 -179.3307
28.930666 74.536 -179.7956
29.296877 74.511 179.7603
29.663088 74.489 179.3193
30.029299 74.468 178.8676
30.395510 74.445 178.4044
30.761721 74.418 177.9419
31.127932 74.389 177.4944
31.494143 74.360 177.0668
31.860354 74.332 176.6511
32.226565 74.306 176.2343
32.592776 74.281 175.8093
32.958987 74.255 175.3793
33.325198 74.227 174.9551
33.691409 74.198 174.5461
34.057620 74.170 174.1544
34.423831 74.143 173.7744
34.790042 74.119 173.3975
35.156253 74.095 173.0180
35.522464 74.071 172.6363
35.888675 74.045 172.2583
36.254886 74.017 171.8917
36.621097 73.989 171.5414
36.987308 73.961 171.2065
37.353519 73.934 170.8816
37.719730 73.908 170.5605
38.085941 73.882 170.2411
38.452152 73.855 169.9250
38.818363 73.829 169.6147
39.184573 73.803 169.3080
39.550784 73.778 168.9984
39.916995 73.753 168.6796
40.283206 73.728 168.3521
40.649417 73.700 168.0244
41.015628 73.669 167.7091
41.381839 73.638 167.4146
41.748050 73.608 167.1399
42.114261 73.579 166.8761
42.480472 73.553 166.6131
42.846683 73.527 166.3454
43.212894 73.501 166.0744
43.579105 73.474 165.8056
43.945316 73.447 165.5439
44.311527 73.419 165.2911
44.677738 73.392 165.0454
45.043949 73.365 164.8030
45.410160 73.339 164.5612
45.776371 73.313 164.3192
46.142582 73.286 164.0786
46.508793 73.258 163.8427
46.875004 73.231 163.6136
47.241215 73.204 163.3911
47.607426 73.177 163.1725
47.973637 73.151 162.9542
48.339848 73.125 162.7342
48.706059 73.099 162.5132
49.072270 73.072 162.2943
49.438481 73.045 162.0803
49.804692 73.018 161.8726
50.170902 72.991 161.6703
50.537113 72.965 161.4714
50.903324 72.939 161.2739
51.269535 72.914 161.0770
51.635746 72.887 160.8812
52.001957 72.861 160.6881
52.368168 72.834 160.4996
52.734379 72.807 160.3166
53.100590 72.780 160.1385
53.466801 72.754 159.9633
53.833012 72.728 159.7885
54.199223 72.703 159.6123
54.565434 72.677 159.4339
54.931645 72.652 159.2533
55.297856 72.625 159.0712
55.664067 72.599 158.8895
56.030278 72.571 158.7120
56.396489 72.542 158.5435
56.762700 72.514 158.3871
57.128911 72.487 158.2418
57.495122 72.462 158.1009
57.861333 72.439 157.9554
58.227544 72.416 157.7997
58.593755 72.393 157.6348
58.959966 72.367 157.4681
59.326177 72.340 157.3086
59.692388 72.313 157.1607
60.058599 72.286 157.0233
60.424810 72.259 156.8914
60.791021 72.233 156.7609
61.157232 72.206 156.6319
61.523442 72.180 156.5065
61.889653 72.154 156.3862
62.255864 72.128 156.2693
62.622075 72.103 156.1516
62.988286 72.078 156.0297
63.354497 72.053 155.9041
63.720708 72.026 155.7780
64.086919 71.999 155.6553
64.453130 71.972 155.5378
64.819341 71.946 155.4237
65.185552 71.920 155.3098
65.551763 71.894 155.1934
65.917974 71.869 155.0744
66.284185 71.842 154.9551
66.650396 71.815 154.8386
67.016607 71.788 154.7272
67.382818 71.761 154.6223
67.749029 71.733 154.5235
68.115240 71.707 154.4293
68.481451 71.681 154.3370
68.847662 71.656 154.2437
69.213873 71.631 154.1475
69.580084 71.606 154.0490
69.946295 71.580 153.9508
70.312506 71.554 153.8563
70.678717 71.528 153.7670
71.044928 71.502 153.6809
71.411139 71.477 153.5945
71.777350 71.452 153.5056
72.143561 71.427 153.4152
72.509771 71.401 153.3271
72.875982 71.375 153.2450
73.242193 71.350 153.1690
73.608404 71.325 153.0955
73.974615 71.302 153.0198
74.340826 71.278 152.9399
74.707037 71.254 152.8579
75.073248 71.229 152.7784
75.439459 71.204 152.7046
75.805670 71.179 152.6361
76.171881 71.154 152.5696
76.538092 71.130 152.5023
76.904303 71.105 152.4344
77.270514 71.080 152.3684
77.636725 71.055 152.3071
78.002936 71.030 152.2500
78.369147 71.006 152.1937
78.735358 70.982 152.1340
79.101569 70.958 152.0693
79.467780 70.934 152.0020
79.833991 70.909 151.9366
80.200202 70.883 151.8771
80.566413 70.857 151.8239
80.932624 70.833 151.7742
81.298835 70.809 151.7242
81.665046 70.786 151.6715
82.031257 70.763 151.6166
82.397468 70.739 151.5615
82.763679 70.716 151.5083
83.129890 70.693 151.4573
83.496101 70.670 151.4075
83.862311 70.647 151.3573
84.228522 70.625 151.3062
84.594733 70.602 151.2547
84.960944 70.580 151.2041
85.327155 70.556 151.1555
85.693366 70.533 151.1090
86.059577 70.510 151.0651
86.425788 70.486 151.0245
86.791999 70.463 150.9884
87.158210 70.440 150.9571
87.524421 70.417 150.9293
87.890632 70.395 150.9018
88.256843 70.374 150.8712
88.623054 70.353 150.8359
88.989265 70.331 150.7973
89.355476 70.309 150.7592
89.721687 70.285 150.7253
90.087898 70.262 150.6976
90.454109 70.239 150.6750
90.820320 70.216 150.6548
91.186531 70.194 150.6350
91.552742 70.172 150.6147
91.918953 70.150 150.5946
92.285164 70.128 150.5751
92.651375 70.107 150.5554
93.017586 70.086 150.5339
93.383797 70.065 150.5095
93.750008 70.043 150.4828
94.116219 70.021 150.4562
94.482430 69.999 150.4328
94.848641 69.976 150.4142
95.214851 69.954 150.3996
95.581062 69.932 150.3865
95.947273 69.911 150.3727
96.313484 69.890 150.3572
96.679695 69.868 150.3411
97.045906 69.847 150.3265
97.412117 69.825 150.3146
97.778328 69.804 150.3052
98.144539 69.783 150.2970
98.510750 69.763 150.2888
98.876961 69.742 150.2806
99.243172 69.722 150.2729
99.609383 69.701 150.2669
99.975594 69.681 150.2628
100.341805 69.661 150.2598
100.708016 69.641 150.2569
101.074227 69.621 150.2533
101.440438 69.601 150.2494
101.806649 69.581 150.2461
102.172860 69.561 150.2443
102.539071 69.541 150.2443
102.905282 69.521 150.2451
103.271493 69.501 150.2455
103.637704 69.482 150.2443
104.003915 69.462 150.2412
104.370126 69.443 150.2370
104.736337 69.423 150.2328
105.102548 69.403 150.2298
105.468759 69.382 150.2286
105.834970 69.362 150.2293
106.201180 69.342 150.2314
106.567391 69.322 150.2347
106.933602 69.302 150.2393
107.299813 69.282 150.2454
107.666024 69.263 150.2532
108.032235 69.243 150.2625
108.398446 69.224 150.2729
108.764657 69.206 150.2838
109.130868 69.187 150.2946
109.497079 69.169 150.3051
109.863290 69.151 150.3151
110.229501 69.133 150.3249
110.595712 69.115 150.3346
110.961923 69.097 150.3446
111.328134 69.079 150.3552
111.694345 69.060 150.3667
112.060556 69.042 150.3796
112.426767 69.024 150.3944
112.792978 69.005 150.4112
113.159189 68.987 150.4301
113.525400 68.969 150.4502
113.891611 68.952 150.4706
114.257822 68.935 150.4902
114.624033 68.918 150.5084
114.990244 68.900 150.5253
115.356455 68.883 150.5420
115.722666 68.866 150.5598
116.088877 68.848 150.5795
116.455088 68.830 150.6012
116.821299 68.813 150.6240
117.187510 68.796 150.6465
117.553720 68.779 150.6684
117.919931 68.762 150.6899
118.286142 68.745 150.7125
118.652353 68.728 150.7373
119.018564 68.711 150.7645
119.384775 68.695 150.7929
119.750986 68.678 150.8212
120.117197 68.663 150.8479
120.483408 68.647 150.8730
120.849619 68.631 150.8971
121.215830 68.615 150.9211
121.582041 68.599 150.9454
121.948252 68.583 150.9694
122.314463 68.567 150.9922
122.680674 68.551 151.0139
123.046885 68.535 151.0348
123.413096 68.518 151.0564
123.779307 68.502 151.0796
124.145518 68.485 151.1048
124.511729 68.468 151.1315
124.877940 68.452 151.1589
125.244151 68.436 151.1865
125.610362 68.420 151.2147
125.976573 68.405 151.2441
126.342784 68.389 151.2751
126.708995 68.374 151.3079
127.075206 68.359 151.3417
127.441417 68.345 151.3759
127.807628 68.330 151.4100
128.173839 68.316 151.4446
128.540049 68.302 151.4802
128.906260 68.288 151.5174
129.272471 68.274 151.5560
129.638682 68.261 151.5951
130.004893 68.248 151.6335
130.371104 68.235 151.6703
130.737315 68.222 151.7056
131.103526 68.209 151.7398
131.469737 68.196 151.7740
131.835948 68.183 151.8088
132.202159 68.170 151.8447
132.568370 68.156 151.8815
132.934581 68.143 151.9193
133.300792 68.129 151.9582
133.667003 68.116 151.9982
134.033214 68.103 152.0392
134.399425 68.090 152.0810
134.765636 68.077 152.1227
135.131847 68.064 152.1635
135.498058 68.052 152.2033
135.864269 68.039 152.2423
136.230480 68.026 152.2812
136.596691 68.014 152.3210
136.962902 68.001 152.3618
137.329113 67.988 152.4035
137.695324 67.976 152.4458
138.061535 67.964 152.4882
138.427746 67.952 152.5306
138.793957 67.939 152.5735
139.160168 67.927 152.6172
139.526379 67.915 152.6619
139.892589 67.903 152.7076
140.258800 67.891 152.7542
140.625011 67.880 152.8011
140.991222 67.868 152.8481
141.357433 67.857 152.8947
141.723644 67.846 152.9405
142.089855 67.835 152.9855
142.456066 67.824 153.0299
142.822277 67.812 153.0737
143.188488 67.801 153.1173
143.554699 67.790 153.1609
143.920910 67.779 153.2048
144.287121 67.768 153.2489
144.653332 67.756 153.2932
145.019543 67.745 153.3377
145.385754 67.735 153.3822
145.751965 67.724 153.4265
146.118176 67.713 153.4706
146.484387 67.703 153.5147
146.850598 67.692 153.5590
147.216809 67.681 153.6039
147.583020 67.671 153.6499
147.949231 67.660 153.6971
148.315442 67.650 153.7453
148.681653 67.639 153.7942
149.047864 67.629 153.8434
149.414075 67.619 153.8928
149.780286 67.609 153.9423
150.146497 67.598 153.9922
150.512708 67.588 154.0426
150.878918 67.578 154.0933
