* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 1, 2023 8:44:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mera Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.253 -22.9104
0.732422 66.315 -45.6979
1.098633 62.531 -68.0590
1.464844 54.849 -88.1251
1.831055 43.507 45.0763
2.197266 55.874 36.9112
2.563477 58.551 16.2495
2.929688 58.485 -3.6564
3.295899 56.646 -19.2276
3.662110 53.756 -22.6922
4.028321 52.798 -8.8943
4.394532 55.260 -4.2316
4.760743 57.780 -14.3322
5.126954 59.432 -28.5294
5.493164 60.340 -41.0603
5.859375 60.821 -49.0592
6.225586 61.352 -51.9984
6.591797 62.308 -52.4332
6.958008 63.566 -53.7472
7.324219 64.744 -56.8140
7.690430 65.630 -60.5365
8.056641 66.243 -63.6443
8.422852 66.724 -65.5926
8.789063 67.210 -66.7375
9.155274 67.734 -67.8535
9.521485 68.240 -69.3967
9.887696 68.669 -71.2738
10.253907 69.016 -73.1608
10.620118 69.319 -74.8802
10.986329 69.617 -76.5196
11.352540 69.919 -78.2727
11.718751 70.208 -80.2185
12.084962 70.468 -82.2655
12.451173 70.705 -84.2676
12.817384 70.934 -86.1568
13.183595 71.171 -87.9702
13.549806 71.412 -89.7716
13.916017 71.647 -91.5676
14.282228 71.869 -93.3018
14.648439 72.080 -94.9142
15.014650 72.286 -96.3941
15.380861 72.489 -97.7770
15.747072 72.686 -99.1021
16.113283 72.871 -100.3797
16.479493 73.043 -101.5984
16.845704 73.202 -102.7528
17.211915 73.350 -103.8573
17.578126 73.488 -104.9342
17.944337 73.614 -105.9955
18.310548 73.729 -107.0399
18.676759 73.836 -108.0658
19.042970 73.936 -109.0826
19.409181 74.031 -110.1053
19.775392 74.121 -111.1410
20.141603 74.205 -112.1828
20.507814 74.286 -113.2197
20.874025 74.365 -114.2485
21.240236 74.443 -115.2747
21.606447 74.520 -116.3002
21.972658 74.593 -117.3123
22.338869 74.663 -118.2886
22.705080 74.731 -119.2143
23.071291 74.801 -120.0936
23.437502 74.874 -120.9450
23.803713 74.946 -121.7833
24.169924 75.014 -122.6073
24.536135 75.077 -123.4030
24.902346 75.135 -124.1577
25.268557 75.190 -124.8699
25.634768 75.243 -125.5485
26.000979 75.294 -126.2040
26.367190 75.345 -126.8449
26.733401 75.395 -127.4812
27.099612 75.443 -128.1269
27.465823 75.490 -128.7955
27.832033 75.531 -129.4885
28.198244 75.564 -130.1898
28.564455 75.590 -130.8726
28.930666 75.611 -131.5164
29.296877 75.633 -132.1198
29.663088 75.657 -132.6987
30.029299 75.685 -133.2727
30.395510 75.714 -133.8520
30.761721 75.744 -134.4350
31.127932 75.772 -135.0152
31.494143 75.799 -135.5881
31.860354 75.826 -136.1513
32.226565 75.850 -136.7007
32.592776 75.873 -137.2300
32.958987 75.896 -137.7372
33.325198 75.921 -138.2303
33.691409 75.946 -138.7243
34.057620 75.970 -139.2295
34.423831 75.991 -139.7404
34.790042 76.007 -140.2377
35.156253 76.021 -140.7052
35.522464 76.036 -141.1478
35.888675 76.055 -141.5926
36.254886 76.076 -142.0691
36.621097 76.092 -142.5819
36.987308 76.099 -143.0997
37.353519 76.097 -143.5726
37.719730 76.094 -143.9676
38.085941 76.099 -144.2971
38.452152 76.116 -144.6153
38.818363 76.142 -144.9840
39.184573 76.168 -145.4297
39.550784 76.186 -145.9270
39.916995 76.192 -146.4175
40.283206 76.190 -146.8499
40.649417 76.189 -147.2118
41.015628 76.195 -147.5329
41.381839 76.208 -147.8596
41.748050 76.224 -148.2218
42.114261 76.237 -148.6166
42.480472 76.244 -149.0182
42.846683 76.248 -149.4001
43.212894 76.249 -149.7527
43.579105 76.253 -150.0849
43.945316 76.259 -150.4127
44.311527 76.266 -150.7467
44.677738 76.273 -151.0878
45.043949 76.279 -151.4314
45.410160 76.285 -151.7736
45.776371 76.290 -152.1137
46.142582 76.294 -152.4523
46.508793 76.299 -152.7890
46.875004 76.302 -153.1209
47.241215 76.304 -153.4451
47.607426 76.307 -153.7598
47.973637 76.309 -154.0659
48.339848 76.312 -154.3664
48.706059 76.316 -154.6647
49.072270 76.319 -154.9635
49.438481 76.322 -155.2639
49.804692 76.324 -155.5638
50.170902 76.325 -155.8594
50.537113 76.324 -156.1467
50.903324 76.324 -156.4246
51.269535 76.324 -156.6958
51.635746 76.325 -156.9655
52.001957 76.326 -157.2385
52.368168 76.327 -157.5160
52.734379 76.327 -157.7960
53.100590 76.326 -158.0750
53.466801 76.325 -158.3500
53.833012 76.323 -158.6199
54.199223 76.322 -158.8849
54.565434 76.321 -159.1464
54.931645 76.320 -159.4059
55.297856 76.320 -159.6649
55.664067 76.321 -159.9248
56.030278 76.321 -160.1864
56.396489 76.321 -160.4496
56.762700 76.320 -160.7137
57.128911 76.319 -160.9769
57.495122 76.316 -161.2357
57.861333 76.311 -161.4846
58.227544 76.306 -161.7178
58.593755 76.301 -161.9318
58.959966 76.298 -162.1294
59.326177 76.298 -162.3208
59.692388 76.302 -162.5200
60.058599 76.307 -162.7384
60.424810 76.312 -162.9787
60.791021 76.314 -163.2333
61.157232 76.312 -163.4890
61.523442 76.308 -163.7332
61.889653 76.303 -163.9595
62.255864 76.299 -164.1694
62.622075 76.296 -164.3695
62.988286 76.294 -164.5676
63.354497 76.293 -164.7692
63.720708 76.293 -164.9764
64.086919 76.293 -165.1887
64.453130 76.291 -165.4035
64.819341 76.289 -165.6179
65.185552 76.286 -165.8292
65.551763 76.282 -166.0357
65.917974 76.278 -166.2370
66.284185 76.274 -166.4335
66.650396 76.271 -166.6271
67.016607 76.268 -166.8202
67.382818 76.265 -167.0154
67.749029 76.262 -167.2144
68.115240 76.258 -167.4167
68.481451 76.254 -167.6192
68.847662 76.249 -167.8177
69.213873 76.243 -168.0092
69.580084 76.237 -168.1935
69.946295 76.233 -168.3733
70.312506 76.228 -168.5518
70.678717 76.225 -168.7306
71.044928 76.221 -168.9085
71.411139 76.218 -169.0842
71.777350 76.216 -169.2585
72.143561 76.214 -169.4356
72.509771 76.213 -169.6207
72.875982 76.212 -169.8163
73.242193 76.209 -170.0188
73.608404 76.203 -170.2199
73.974615 76.195 -170.4099
74.340826 76.187 -170.5827
74.707037 76.179 -170.7373
75.073248 76.172 -170.8782
75.439459 76.169 -171.0132
75.805670 76.167 -171.1510
76.171881 76.168 -171.3007
76.538092 76.170 -171.4690
76.904303 76.171 -171.6578
77.270514 76.169 -171.8613
77.636725 76.163 -172.0660
78.002936 76.154 -172.2561
78.369147 76.143 -172.4206
78.735358 76.133 -172.5593
79.101569 76.127 -172.6834
79.467780 76.123 -172.8091
79.833991 76.122 -172.9480
80.200202 76.121 -173.1019
80.566413 76.118 -173.2635
80.932624 76.114 -173.4228
81.298835 76.110 -173.5744
81.665046 76.106 -173.7209
82.031257 76.104 -173.8696
82.397468 76.102 -174.0265
82.763679 76.099 -174.1923
83.129890 76.095 -174.3612
83.496101 76.089 -174.5250
83.862311 76.082 -174.6777
84.228522 76.075 -174.8183
84.594733 76.070 -174.9517
84.960944 76.066 -175.0850
85.327155 76.064 -175.2246
85.693366 76.061 -175.3735
86.059577 76.057 -175.5299
86.425788 76.052 -175.6881
86.791999 76.045 -175.8411
87.158210 76.037 -175.9834
87.524421 76.029 -176.1137
87.890632 76.022 -176.2358
88.256843 76.017 -176.3566
88.623054 76.013 -176.4831
88.989265 76.009 -176.6187
89.355476 76.004 -176.7614
89.721687 75.998 -176.9057
90.087898 75.991 -177.0453
90.454109 75.984 -177.1770
90.820320 75.977 -177.3019
91.186531 75.971 -177.4249
91.552742 75.966 -177.5513
91.918953 75.961 -177.6838
92.285164 75.956 -177.8210
92.651375 75.950 -177.9593
93.017586 75.943 -178.0941
93.383797 75.937 -178.2235
93.750008 75.930 -178.3480
94.116219 75.925 -178.4701
94.482430 75.920 -178.5930
94.848641 75.916 -178.7184
95.214851 75.911 -178.8466
95.581062 75.907 -178.9767
95.947273 75.902 -179.1073
96.313484 75.897 -179.2374
96.679695 75.891 -179.3663
97.045906 75.885 -179.4937
97.412117 75.879 -179.6196
97.778328 75.873 -179.7438
98.144539 75.867 -179.8664
98.510750 75.861 -179.9875
98.876961 75.855 179.8929
99.243172 75.849 179.7747
99.609383 75.843 179.6578
99.975594 75.837 179.5417
100.341805 75.831 179.4261
100.708016 75.825 179.3103
101.074227 75.819 179.1940
101.440438 75.814 179.0771
101.806649 75.808 178.9601
102.172860 75.802 178.8430
102.539071 75.797 178.7261
102.905282 75.791 178.6092
103.271493 75.785 178.4919
103.637704 75.779 178.3744
104.003915 75.773 178.2573
104.370126 75.767 178.1412
104.736337 75.760 178.0270
105.102548 75.754 177.9144
105.468759 75.747 177.8033
105.834970 75.741 177.6931
106.201180 75.735 177.5840
106.567391 75.728 177.4767
106.933602 75.722 177.3719
107.299813 75.716 177.2697
107.666024 75.711 177.1689
108.032235 75.706 177.0676
108.398446 75.701 176.9639
108.764657 75.697 176.8569
109.130868 75.692 176.7473
109.497079 75.687 176.6365
109.863290 75.681 176.5263
110.229501 75.675 176.4175
110.595712 75.670 176.3095
110.961923 75.664 176.2014
111.328134 75.657 176.0926
111.694345 75.651 175.9833
112.060556 75.644 175.8750
112.426767 75.636 175.7695
112.792978 75.628 175.6682
113.159189 75.621 175.5710
113.525400 75.613 175.4769
113.891611 75.606 175.3839
114.257822 75.600 175.2901
114.624033 75.594 175.1939
114.990244 75.588 175.0950
115.356455 75.583 174.9937
115.722666 75.577 174.8912
116.088877 75.571 174.7883
116.455088 75.564 174.6859
116.821299 75.558 174.5839
117.187510 75.552 174.4823
117.553720 75.546 174.3810
117.919931 75.540 174.2803
118.286142 75.534 174.1807
118.652353 75.528 174.0824
119.018564 75.522 173.9854
119.384775 75.516 173.8889
119.750986 75.510 173.7923
120.117197 75.505 173.6951
120.483408 75.499 173.5975
120.849619 75.492 173.5003
121.215830 75.485 173.4043
121.582041 75.478 173.3102
121.948252 75.471 173.2180
122.314463 75.464 173.1276
122.680674 75.457 173.0381
123.046885 75.450 172.9490
123.413096 75.443 172.8597
123.779307 75.436 172.7697
124.145518 75.429 172.6786
124.511729 75.422 172.5866
124.877940 75.415 172.4938
125.244151 75.408 172.4008
125.610362 75.401 172.3081
125.976573 75.394 172.2161
126.342784 75.386 172.1249
126.708995 75.379 172.0347
127.075206 75.372 171.9458
127.441417 75.365 171.8583
127.807628 75.358 171.7726
128.173839 75.351 171.6886
128.540049 75.345 171.6057
128.906260 75.338 171.5236
129.272471 75.332 171.4416
129.638682 75.326 171.3599
130.004893 75.320 171.2786
130.371104 75.313 171.1980
130.737315 75.307 171.1180
131.103526 75.301 171.0381
131.469737 75.295 170.9577
131.835948 75.288 170.8760
132.202159 75.282 170.7927
132.568370 75.275 170.7080
132.934581 75.268 170.6223
133.300792 75.261 170.5360
133.667003 75.254 170.4496
134.033214 75.246 170.3632
134.399425 75.238 170.2770
134.765636 75.231 170.1911
135.131847 75.223 170.1054
135.498058 75.215 170.0199
135.864269 75.208 169.9342
136.230480 75.201 169.8484
136.596691 75.193 169.7627
136.962902 75.186 169.6776
137.329113 75.178 169.5938
137.695324 75.171 169.5118
138.061535 75.163 169.4318
138.427746 75.156 169.3538
138.793957 75.149 169.2774
139.160168 75.142 169.2021
139.526379 75.136 169.1278
139.892589 75.129 169.0541
140.258800 75.123 168.9807
140.625011 75.117 168.9072
140.991222 75.111 168.8333
141.357433 75.105 168.7587
141.723644 75.098 168.6833
142.089855 75.092 168.6070
142.456066 75.086 168.5302
142.822277 75.079 168.4531
143.188488 75.072 168.3759
143.554699 75.065 168.2986
143.920910 75.058 168.2214
144.287121 75.051 168.1445
144.653332 75.044 168.0681
145.019543 75.036 167.9921
145.385754 75.029 167.9169
145.751965 75.022 167.8422
146.118176 75.015 167.7678
