* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 1, 2023 5:23:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Eagle Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.816 158.5876
0.732422 65.930 137.0509
1.098633 62.349 115.0070
1.464844 55.735 90.3625
1.831055 38.890 5.2405
2.197266 50.517 -107.0370
2.563477 52.401 -127.5180
2.929688 48.956 -133.7537
3.295899 44.158 -71.3372
3.662110 52.333 -39.9546
4.028321 56.374 -45.2165
4.394532 57.950 -52.4628
4.760743 58.246 -55.5656
5.126954 58.284 -52.4516
5.493164 58.975 -46.6968
5.859375 60.192 -44.4438
6.225586 61.248 -46.5669
6.591797 61.850 -50.5424
6.958008 62.086 -53.9913
7.324219 62.231 -55.8405
7.690430 62.556 -56.7114
8.056641 63.112 -58.1222
8.422852 63.747 -60.8519
8.789063 64.308 -64.4877
9.155274 64.756 -68.1640
9.521485 65.142 -71.2734
9.887696 65.535 -73.7343
10.253907 65.969 -75.8288
10.620118 66.421 -77.8242
10.986329 66.856 -79.7574
11.352540 67.258 -81.5201
11.718751 67.635 -83.0546
12.084962 67.999 -84.4370
12.451173 68.347 -85.7985
12.817384 68.665 -87.1999
13.183595 68.941 -88.5986
13.549806 69.179 -89.9188
13.916017 69.393 -91.1403
14.282228 69.598 -92.3200
14.648439 69.795 -93.5388
15.014650 69.980 -94.8338
15.380861 70.149 -96.1809
15.747072 70.304 -97.5300
16.113283 70.453 -98.8503
16.479493 70.603 -100.1462
16.845704 70.757 -101.4401
17.211915 70.915 -102.7464
17.578126 71.072 -104.0608
17.944337 71.227 -105.3642
18.310548 71.376 -106.6318
18.676759 71.520 -107.8388
19.042970 71.658 -108.9658
19.409181 71.794 -110.0079
19.775392 71.929 -110.9801
20.141603 72.064 -111.9104
20.507814 72.194 -112.8230
20.874025 72.315 -113.7230
21.240236 72.426 -114.5988
21.606447 72.529 -115.4418
21.972658 72.626 -116.2651
22.338869 72.719 -117.1021
22.705080 72.805 -117.9817
23.071291 72.876 -118.8988
23.437502 72.931 -119.8069
23.803713 72.972 -120.6417
24.169924 73.011 -121.3656
24.536135 73.063 -122.0017
24.902346 73.134 -122.6307
25.268557 73.223 -123.3469
25.634768 73.316 -124.2012
26.000979 73.400 -125.1711
26.367190 73.465 -126.1744
26.733401 73.513 -127.1168
27.099612 73.555 -127.9410
27.465823 73.601 -128.6510
27.832033 73.658 -129.2978
28.198244 73.725 -129.9402
28.564455 73.795 -130.6108
28.930666 73.861 -131.3066
29.296877 73.921 -132.0048
29.663088 73.974 -132.6833
30.029299 74.020 -133.3304
30.395510 74.062 -133.9420
30.761721 74.101 -134.5168
31.127932 74.140 -135.0586
31.494143 74.181 -135.5819
31.860354 74.224 -136.1109
32.226565 74.267 -136.6670
32.592776 74.306 -137.2520
32.958987 74.340 -137.8441
33.325198 74.368 -138.4133
33.691409 74.397 -138.9463
34.057620 74.430 -139.4600
34.423831 74.469 -139.9917
34.790042 74.510 -140.5715
35.156253 74.547 -141.1992
35.522464 74.575 -141.8429
35.888675 74.594 -142.4599
36.254886 74.609 -143.0224
36.621097 74.624 -143.5312
36.987308 74.643 -144.0088
37.353519 74.665 -144.4803
37.719730 74.688 -144.9572
38.085941 74.709 -145.4333
38.452152 74.727 -145.8938
38.818363 74.745 -146.3287
39.184573 74.765 -146.7414
39.550784 74.788 -147.1489
39.916995 74.813 -147.5723
40.283206 74.838 -148.0244
40.649417 74.859 -148.5006
41.015628 74.874 -148.9799
41.381839 74.883 -149.4359
41.748050 74.890 -149.8523
42.114261 74.899 -150.2338
42.480472 74.912 -150.6033
42.846683 74.929 -150.9868
43.212894 74.946 -151.3968
43.579105 74.960 -151.8244
43.945316 74.968 -152.2466
44.311527 74.974 -152.6420
44.677738 74.979 -153.0043
45.043949 74.987 -153.3451
45.410160 75.000 -153.6844
45.776371 75.014 -154.0389
46.142582 75.029 -154.4139
46.508793 75.041 -154.8035
46.875004 75.051 -155.1973
47.241215 75.058 -155.5859
47.607426 75.063 -155.9638
47.973637 75.067 -156.3291
48.339848 75.071 -156.6815
48.706059 75.075 -157.0221
49.072270 75.080 -157.3535
49.438481 75.086 -157.6799
49.804692 75.093 -158.0056
50.170902 75.100 -158.3345
50.537113 75.108 -158.6680
50.903324 75.114 -159.0054
51.269535 75.120 -159.3440
51.635746 75.123 -159.6800
52.001957 75.125 -160.0084
52.368168 75.125 -160.3246
52.734379 75.125 -160.6259
53.100590 75.125 -160.9138
53.466801 75.126 -161.1938
53.833012 75.129 -161.4736
54.199223 75.132 -161.7593
54.565434 75.135 -162.0532
54.931645 75.137 -162.3532
55.297856 75.138 -162.6554
55.664067 75.137 -162.9560
56.030278 75.134 -163.2521
56.396489 75.131 -163.5405
56.762700 75.127 -163.8172
57.128911 75.123 -164.0794
57.495122 75.120 -164.3280
57.861333 75.120 -164.5698
58.227544 75.123 -164.8152
58.593755 75.127 -165.0729
58.959966 75.132 -165.3454
59.326177 75.136 -165.6286
59.692388 75.138 -165.9162
60.058599 75.140 -166.2042
60.424810 75.140 -166.4932
60.791021 75.139 -166.7843
61.157232 75.136 -167.0758
61.523442 75.131 -167.3605
61.889653 75.124 -167.6301
62.255864 75.116 -167.8801
62.622075 75.109 -168.1138
62.988286 75.104 -168.3397
63.354497 75.100 -168.5664
63.720708 75.096 -168.7972
64.086919 75.091 -169.0294
64.453130 75.086 -169.2579
64.819341 75.081 -169.4799
65.185552 75.076 -169.6971
65.551763 75.073 -169.9139
65.917974 75.069 -170.1347
66.284185 75.066 -170.3606
66.650396 75.062 -170.5895
67.016607 75.057 -170.8178
67.382818 75.052 -171.0428
67.749029 75.046 -171.2637
68.115240 75.040 -171.4811
68.481451 75.034 -171.6955
68.847662 75.028 -171.9071
69.213873 75.023 -172.1160
69.580084 75.018 -172.3235
69.946295 75.013 -172.5319
70.312506 75.008 -172.7437
70.678717 75.003 -172.9592
71.044928 74.997 -173.1758
71.411139 74.991 -173.3893
71.777350 74.983 -173.5961
72.143561 74.976 -173.7963
72.509771 74.969 -173.9934
72.875982 74.963 -174.1912
73.242193 74.957 -174.3911
73.608404 74.950 -174.5901
73.974615 74.942 -174.7842
74.340826 74.935 -174.9713
74.707037 74.928 -175.1543
75.073248 74.922 -175.3389
75.439459 74.916 -175.5301
75.805670 74.908 -175.7273
76.171881 74.899 -175.9241
76.538092 74.888 -176.1113
76.904303 74.877 -176.2824
77.270514 74.865 -176.4373
77.636725 74.856 -176.5820
78.002936 74.849 -176.7260
78.369147 74.844 -176.8778
78.735358 74.839 -177.0413
79.101569 74.834 -177.2150
79.467780 74.827 -177.3934
79.833991 74.819 -177.5694
80.200202 74.810 -177.7387
80.566413 74.801 -177.9006
80.932624 74.793 -178.0583
81.298835 74.786 -178.2166
81.665046 74.779 -178.3784
82.031257 74.773 -178.5438
82.397468 74.766 -178.7106
82.763679 74.759 -178.8772
83.129890 74.752 -179.0441
83.496101 74.745 -179.2136
83.862311 74.738 -179.3878
84.228522 74.729 -179.5654
84.594733 74.719 -179.7416
84.960944 74.708 -179.9105
85.327155 74.696 179.9320
85.693366 74.684 179.7855
86.059577 74.674 179.6455
86.425788 74.665 179.5056
86.791999 74.656 179.3614
87.158210 74.647 179.2121
87.524421 74.638 179.0604
87.890632 74.628 178.9107
88.256843 74.617 178.7661
88.623054 74.607 178.6273
88.989265 74.596 178.4924
89.355476 74.587 178.3596
89.721687 74.577 178.2280
90.087898 74.568 178.0983
90.454109 74.559 177.9718
90.820320 74.551 177.8479
91.186531 74.544 177.7234
91.552742 74.538 177.5938
91.918953 74.531 177.4556
92.285164 74.524 177.3094
92.651375 74.515 177.1605
93.017586 74.505 177.0159
93.383797 74.493 176.8809
93.750008 74.482 176.7562
94.116219 74.471 176.6379
94.482430 74.462 176.5204
94.848641 74.453 176.3995
95.214851 74.444 176.2742
95.581062 74.435 176.1461
95.947273 74.425 176.0179
96.313484 74.415 175.8907
96.679695 74.405 175.7643
97.045906 74.394 175.6384
97.412117 74.384 175.5131
97.778328 74.373 175.3899
98.144539 74.361 175.2705
98.510750 74.351 175.1554
98.876961 74.340 175.0436
99.243172 74.330 174.9331
99.609383 74.321 174.8219
99.975594 74.311 174.7091
100.341805 74.302 174.5954
100.708016 74.292 174.4821
101.074227 74.283 174.3698
101.440438 74.273 174.2584
101.806649 74.263 174.1468
102.172860 74.253 174.0344
102.539071 74.243 173.9218
102.905282 74.232 173.8107
103.271493 74.221 173.7031
103.637704 74.210 173.6000
104.003915 74.199 173.5004
104.370126 74.188 173.4013
104.736337 74.179 173.3001
105.102548 74.169 173.1949
105.468759 74.159 173.0864
105.834970 74.148 172.9765
106.201180 74.137 172.8679
106.567391 74.126 172.7620
106.933602 74.114 172.6591
107.299813 74.103 172.5588
107.666024 74.091 172.4603
108.032235 74.080 172.3639
108.398446 74.068 172.2701
108.764657 74.057 172.1795
109.130868 74.046 172.0917
109.497079 74.036 172.0053
109.863290 74.026 171.9184
110.229501 74.016 171.8295
110.595712 74.006 171.7382
110.961923 73.996 171.6458
111.328134 73.985 171.5538
111.694345 73.974 171.4641
112.060556 73.964 171.3768
112.426767 73.953 171.2913
112.792978 73.943 171.2055
113.159189 73.932 171.1183
113.525400 73.922 171.0289
113.891611 73.912 170.9381
114.257822 73.901 170.8470
114.624033 73.890 170.7567
114.990244 73.879 170.6679
115.356455 73.867 170.5806
115.722666 73.856 170.4947
116.088877 73.845 170.4103
116.455088 73.834 170.3275
116.821299 73.823 170.2465
117.187510 73.812 170.1669
117.553720 73.801 170.0880
117.919931 73.790 170.0095
118.286142 73.780 169.9312
118.652353 73.770 169.8530
119.018564 73.760 169.7751
119.384775 73.750 169.6970
119.750986 73.740 169.6177
120.117197 73.730 169.5366
120.483408 73.720 169.4539
120.849619 73.709 169.3707
121.215830 73.698 169.2886
121.582041 73.686 169.2089
121.948252 73.675 169.1320
122.314463 73.663 169.0576
122.680674 73.652 168.9848
123.046885 73.640 168.9129
123.413096 73.629 168.8415
123.779307 73.618 168.7704
124.145518 73.607 168.6990
124.511729 73.597 168.6272
124.877940 73.586 168.5549
125.244151 73.575 168.4825
125.610362 73.564 168.4110
125.976573 73.553 168.3412
126.342784 73.542 168.2730
126.708995 73.531 168.2059
127.075206 73.520 168.1389
127.441417 73.510 168.0715
127.807628 73.499 168.0038
128.173839 73.488 167.9366
128.540049 73.478 167.8705
128.906260 73.467 167.8057
129.272471 73.456 167.7416
129.638682 73.446 167.6779
130.004893 73.435 167.6140
130.371104 73.425 167.5497
130.737315 73.414 167.4853
131.103526 73.404 167.4208
131.469737 73.393 167.3563
131.835948 73.383 167.2916
132.202159 73.372 167.2271
132.568370 73.362 167.1625
132.934581 73.351 167.0983
133.300792 73.340 167.0346
133.667003 73.330 166.9716
134.033214 73.319 166.9096
134.399425 73.308 166.8490
134.765636 73.297 166.7898
135.131847 73.286 166.7319
135.498058 73.276 166.6751
135.864269 73.265 166.6192
136.230480 73.254 166.5646
136.596691 73.243 166.5121
136.962902 73.232 166.4626
137.329113 73.221 166.4162
137.695324 73.211 166.3724
138.061535 73.201 166.3296
138.427746 73.192 166.2859
138.793957 73.182 166.2397
139.160168 73.173 166.1903
139.526379 73.164 166.1375
139.892589 73.154 166.0818
140.258800 73.144 166.0242
140.625011 73.134 165.9658
140.991222 73.122 165.9077
141.357433 73.111 165.8511
141.723644 73.099 165.7968
142.089855 73.087 165.7451
142.456066 73.074 165.6961
142.822277 73.063 165.6492
143.188488 73.051 165.6036
143.554699 73.040 165.5586
143.920910 73.029 165.5132
144.287121 73.018 165.4670
144.653332 73.008 165.4197
145.019543 72.997 165.3714
145.385754 72.987 165.3226
145.751965 72.976 165.2741
146.118176 72.966 165.2268
146.484387 72.955 165.1811
146.850598 72.944 165.1371
147.216809 72.934 165.0942
