* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 1, 2023 5:22:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Eagle Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 72.625 -21.9060
0.732422 70.757 -43.6439
1.098633 67.177 -64.8420
1.464844 60.336 -83.6389
1.831055 41.800 2.9441
2.197266 57.928 39.0809
2.563477 60.820 20.2952
2.929688 60.331 0.4181
3.295899 57.350 -17.0489
3.662110 51.445 -21.7255
4.028321 47.601 21.5056
4.394532 52.059 30.6076
4.760743 54.553 9.1616
5.126954 55.799 -17.9723
5.493164 56.433 -42.1309
5.859375 56.580 -57.9953
6.225586 56.659 -62.7186
6.591797 57.607 -59.4092
6.958008 59.462 -57.1606
7.324219 61.267 -59.2359
7.690430 62.516 -63.1992
8.056641 63.230 -66.4264
8.422852 63.664 -67.6359
8.789063 64.105 -67.2078
9.155274 64.662 -66.6246
9.521485 65.241 -66.9650
9.887696 65.712 -68.1940
10.253907 66.043 -69.7307
10.620118 66.285 -71.1656
10.986329 66.506 -72.5156
11.352540 66.736 -74.0198
11.718751 66.963 -75.8040
12.084962 67.178 -77.7773
12.451173 67.391 -79.7867
12.817384 67.622 -81.7809
13.183595 67.876 -83.8048
13.549806 68.142 -85.8671
13.916017 68.405 -87.8654
14.282228 68.664 -89.6588
14.648439 68.934 -91.2019
15.014650 69.224 -92.5895
15.380861 69.521 -93.9587
15.747072 69.800 -95.3509
16.113283 70.042 -96.6768
16.479493 70.248 -97.8102
16.845704 70.437 -98.7139
17.211915 70.626 -99.4831
17.578126 70.817 -100.2694
17.944337 70.995 -101.1625
18.310548 71.147 -102.1405
18.676759 71.271 -103.1226
19.042970 71.380 -104.0589
19.409181 71.486 -104.9767
19.775392 71.595 -105.9486
20.141603 71.702 -107.0197
20.507814 71.798 -108.1641
20.874025 71.882 -109.3057
21.240236 71.963 -110.3777
21.606447 72.053 -111.3716
21.972658 72.158 -112.3354
22.338869 72.275 -113.3257
22.705080 72.393 -114.3549
23.071291 72.505 -115.3787
23.437502 72.610 -116.3342
23.803713 72.716 -117.1955
24.169924 72.827 -118.0022
24.536135 72.942 -118.8310
24.902346 73.048 -119.7260
25.268557 73.130 -120.6475
25.634768 73.182 -121.4837
26.000979 73.215 -122.1248
26.367190 73.254 -122.5523
26.733401 73.317 -122.8730
27.099612 73.407 -123.2597
27.465823 73.508 -123.8383
27.832033 73.597 -124.6118
28.198244 73.661 -125.4780
28.564455 73.702 -126.3131
28.930666 73.734 -127.0547
29.296877 73.771 -127.7259
29.663088 73.818 -128.3932
30.029299 73.869 -129.1007
30.395510 73.917 -129.8382
30.761721 73.959 -130.5614
31.127932 74.001 -131.2362
31.494143 74.046 -131.8655
31.860354 74.097 -132.4801
32.226565 74.150 -133.1077
32.592776 74.202 -133.7513
32.958987 74.247 -134.3912
33.325198 74.286 -135.0021
33.691409 74.320 -135.5682
34.057620 74.353 -136.0873
34.423831 74.386 -136.5681
34.790042 74.422 -137.0276
35.156253 74.461 -137.4889
35.522464 74.502 -137.9753
35.888675 74.540 -138.4985
36.254886 74.572 -139.0492
36.621097 74.597 -139.6000
36.987308 74.616 -140.1207
37.353519 74.634 -140.5983
37.719730 74.657 -141.0459
38.085941 74.685 -141.4942
38.452152 74.718 -141.9709
38.818363 74.752 -142.4854
39.184573 74.782 -143.0262
39.550784 74.807 -143.5723
39.916995 74.828 -144.1053
40.283206 74.847 -144.6168
40.649417 74.864 -145.1054
41.015628 74.881 -145.5719
41.381839 74.898 -146.0161
41.748050 74.915 -146.4400
42.114261 74.934 -146.8507
42.480472 74.954 -147.2608
42.846683 74.975 -147.6812
43.212894 74.994 -148.1139
43.579105 75.010 -148.5484
43.945316 75.021 -148.9682
44.311527 75.032 -149.3622
44.677738 75.043 -149.7334
45.043949 75.058 -150.0987
45.410160 75.075 -150.4772
45.776371 75.092 -150.8772
46.142582 75.106 -151.2911
46.508793 75.116 -151.7021
46.875004 75.125 -152.0972
47.241215 75.134 -152.4765
47.607426 75.144 -152.8505
47.973637 75.155 -153.2303
48.339848 75.165 -153.6178
48.706059 75.173 -154.0041
49.072270 75.178 -154.3775
49.438481 75.183 -154.7327
49.804692 75.189 -155.0747
50.170902 75.197 -155.4135
50.537113 75.206 -155.7570
50.903324 75.214 -156.1059
51.269535 75.220 -156.4551
51.635746 75.226 -156.7996
52.001957 75.232 -157.1377
52.368168 75.237 -157.4709
52.734379 75.242 -157.8015
53.100590 75.247 -158.1296
53.466801 75.252 -158.4531
53.833012 75.256 -158.7693
54.199223 75.259 -159.0769
54.565434 75.263 -159.3759
54.931645 75.267 -159.6678
55.297856 75.272 -159.9548
55.664067 75.277 -160.2399
56.030278 75.283 -160.5262
56.396489 75.288 -160.8152
56.762700 75.292 -161.1048
57.128911 75.294 -161.3896
57.495122 75.296 -161.6644
57.861333 75.299 -161.9288
58.227544 75.303 -162.1911
58.593755 75.309 -162.4651
58.959966 75.316 -162.7624
59.326177 75.320 -163.0841
59.692388 75.319 -163.4170
60.058599 75.314 -163.7400
60.424810 75.305 -164.0354
60.791021 75.297 -164.2994
61.157232 75.292 -164.5440
61.523442 75.291 -164.7887
61.889653 75.292 -165.0480
62.255864 75.292 -165.3235
62.622075 75.290 -165.6049
62.988286 75.286 -165.8787
63.354497 75.282 -166.1377
63.720708 75.278 -166.3840
64.086919 75.276 -166.6260
64.453130 75.274 -166.8713
64.819341 75.273 -167.1220
65.185552 75.270 -167.3748
65.551763 75.266 -167.6243
65.917974 75.262 -167.8668
66.284185 75.257 -168.1017
66.650396 75.254 -168.3313
67.016607 75.250 -168.5599
67.382818 75.248 -168.7917
67.749029 75.245 -169.0292
68.115240 75.242 -169.2718
68.481451 75.237 -169.5151
68.847662 75.231 -169.7531
69.213873 75.225 -169.9807
69.580084 75.219 -170.1972
69.946295 75.214 -170.4065
70.312506 75.211 -170.6157
70.678717 75.208 -170.8304
71.044928 75.205 -171.0523
71.411139 75.201 -171.2781
71.777350 75.196 -171.5013
72.143561 75.188 -171.7152
72.509771 75.181 -171.9153
72.875982 75.173 -172.1013
73.242193 75.167 -172.2781
73.608404 75.163 -172.4540
73.974615 75.160 -172.6378
74.340826 75.158 -172.8342
74.707037 75.153 -173.0407
75.073248 75.147 -173.2490
75.439459 75.139 -173.4495
75.805670 75.131 -173.6378
76.171881 75.123 -173.8179
76.538092 75.118 -174.0002
76.904303 75.114 -174.1941
77.270514 75.109 -174.4016
77.636725 75.102 -174.6150
78.002936 75.093 -174.8220
78.369147 75.083 -175.0135
78.735358 75.074 -175.1894
79.101569 75.067 -175.3580
79.467780 75.062 -175.5293
79.833991 75.058 -175.7088
80.200202 75.053 -175.8948
80.566413 75.048 -176.0811
80.932624 75.042 -176.2631
81.298835 75.036 -176.4415
81.665046 75.031 -176.6203
82.031257 75.025 -176.8029
82.397468 75.017 -176.9880
82.763679 75.008 -177.1693
83.129890 74.998 -177.3400
83.496101 74.987 -177.4978
83.862311 74.977 -177.6464
84.228522 74.968 -177.7932
84.594733 74.960 -177.9444
84.960944 74.952 -178.1017
85.327155 74.944 -178.2624
85.693366 74.934 -178.4228
86.059577 74.925 -178.5809
86.425788 74.915 -178.7377
86.791999 74.906 -178.8951
87.158210 74.896 -179.0537
87.524421 74.886 -179.2118
87.890632 74.876 -179.3666
88.256843 74.866 -179.5167
88.623054 74.857 -179.6634
88.989265 74.848 -179.8099
89.355476 74.841 -179.9595
89.721687 74.833 179.8861
90.087898 74.826 179.7274
90.454109 74.817 179.5669
90.820320 74.808 179.4076
91.186531 74.798 179.2526
91.552742 74.788 179.1041
91.918953 74.778 178.9629
92.285164 74.768 178.8275
92.651375 74.759 178.6949
93.017586 74.750 178.5620
93.383797 74.742 178.4276
93.750008 74.732 178.2928
94.116219 74.723 178.1607
94.482430 74.713 178.0335
94.848641 74.704 177.9105
95.214851 74.696 177.7880
95.581062 74.688 177.6622
95.947273 74.680 177.5315
96.313484 74.671 177.3983
96.679695 74.661 177.2670
97.045906 74.652 177.1405
97.412117 74.642 177.0175
97.778328 74.634 176.8936
98.144539 74.626 176.7641
98.510750 74.618 176.6282
98.876961 74.608 176.4893
99.243172 74.597 176.3535
99.609383 74.586 176.2248
99.975594 74.575 176.1035
100.341805 74.565 175.9860
100.708016 74.555 175.8684
101.074227 74.546 175.7492
101.440438 74.536 175.6300
101.806649 74.526 175.5132
102.172860 74.516 175.3994
102.539071 74.507 175.2866
102.905282 74.497 175.1716
103.271493 74.488 175.0532
103.637704 74.478 174.9335
104.003915 74.467 174.8169
104.370126 74.455 174.7064
104.736337 74.444 174.6016
105.102548 74.433 174.4990
105.468759 74.423 174.3950
105.834970 74.412 174.2890
106.201180 74.401 174.1841
106.567391 74.390 174.0837
106.933602 74.380 173.9885
107.299813 74.371 173.8946
107.666024 74.363 173.7953
108.032235 74.356 173.6856
108.398446 74.348 173.5659
108.764657 74.338 173.4414
109.130868 74.328 173.3198
109.497079 74.316 173.2064
109.863290 74.304 173.1027
110.229501 74.293 173.0065
110.595712 74.283 172.9143
110.961923 74.274 172.8236
111.328134 74.265 172.7327
111.694345 74.257 172.6401
112.060556 74.250 172.5444
112.426767 74.242 172.4442
112.792978 74.234 172.3395
113.159189 74.225 172.2321
113.525400 74.215 172.1254
113.891611 74.204 172.0227
114.257822 74.192 171.9259
114.624033 74.180 171.8353
114.990244 74.167 171.7501
115.356455 74.155 171.6691
115.722666 74.144 171.5911
116.088877 74.133 171.5143
116.455088 74.122 171.4370
116.821299 74.112 171.3575
117.187510 74.102 171.2748
117.553720 74.091 171.1893
117.919931 74.081 171.1016
118.286142 74.071 171.0127
118.652353 74.060 170.9224
119.018564 74.049 170.8300
119.384775 74.039 170.7347
119.750986 74.028 170.6371
120.117197 74.016 170.5388
120.483408 74.003 170.4424
120.849619 73.990 170.3504
121.215830 73.977 170.2643
121.582041 73.964 170.1841
121.948252 73.952 170.1084
122.314463 73.941 170.0350
122.680674 73.930 169.9614
123.046885 73.921 169.8859
123.413096 73.911 169.8079
123.779307 73.902 169.7276
124.145518 73.892 169.6461
124.511729 73.882 169.5641
124.877940 73.872 169.4825
125.244151 73.862 169.4014
125.610362 73.852 169.3207
125.976573 73.842 169.2411
126.342784 73.831 169.1635
126.708995 73.820 169.0888
127.075206 73.809 169.0178
127.441417 73.799 168.9501
127.807628 73.788 168.8845
128.173839 73.779 168.8193
128.540049 73.769 168.7526
128.906260 73.759 168.6837
129.272471 73.750 168.6126
129.638682 73.740 168.5401
130.004893 73.730 168.4670
130.371104 73.719 168.3942
130.737315 73.708 168.3219
131.103526 73.697 168.2504
131.469737 73.686 168.1800
131.835948 73.675 168.1109
132.202159 73.664 168.0433
132.568370 73.652 167.9771
132.934581 73.641 167.9117
133.300792 73.630 167.8465
133.667003 73.619 167.7812
134.033214 73.608 167.7162
134.399425 73.597 167.6519
134.765636 73.586 167.5890
135.131847 73.575 167.5280
135.498058 73.564 167.4685
135.864269 73.554 167.4100
136.230480 73.544 167.3513
136.596691 73.534 167.2915
136.962902 73.524 167.2298
137.329113 73.515 167.1658
137.695324 73.505 167.0998
138.061535 73.495 167.0327
138.427746 73.484 166.9659
138.793957 73.473 166.9012
139.160168 73.462 166.8397
139.526379 73.451 166.7815
139.892589 73.440 166.7256
140.258800 73.429 166.6707
140.625011 73.418 166.6157
140.991222 73.408 166.5601
141.357433 73.398 166.5043
141.723644 73.387 166.4489
142.089855 73.377 166.3941
142.456066 73.366 166.3399
142.822277 73.356 166.2857
143.188488 73.346 166.2316
143.554699 73.335 166.1776
143.920910 73.325 166.1245
144.287121 73.314 166.0727
144.653332 73.304 166.0220
145.019543 73.293 165.9720
145.385754 73.283 165.9217
145.751965 73.273 165.8705
146.118176 73.263 165.8183
146.484387 73.253 165.7651
146.850598 73.243 165.7114
