* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2023 7:53:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blessing 3 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 66.737 161.2864
0.732422 65.159 143.7419
1.098633 62.299 129.7340
1.464844 57.909 126.7129
1.831055 54.395 152.6198
2.197266 56.855 174.1466
2.563477 59.482 169.4289
2.929688 60.820 156.8246
3.295899 61.329 143.6782
3.662110 61.488 133.2576
4.028321 61.787 126.6834
4.394532 62.578 122.4325
4.760743 63.781 117.8699
5.126954 65.043 112.0385
5.493164 66.110 105.7003
5.859375 66.924 99.9786
6.225586 67.563 95.5569
6.591797 68.144 92.4070
6.958008 68.740 89.9332
7.324219 69.336 87.4911
7.690430 69.873 84.8300
8.056641 70.309 82.0920
8.422852 70.647 79.5314
8.789063 70.922 77.2663
9.155274 71.171 75.2133
9.521485 71.408 73.1946
9.887696 71.625 71.0918
10.253907 71.742 68.9060
10.620118 71.801 66.7069
10.986329 71.843 64.5513
11.352540 71.880 62.4491
11.718751 71.917 60.3851
12.084962 71.954 58.3564
12.451173 71.993 56.3814
12.817384 72.079 54.4821
13.183595 72.175 52.6656
13.549806 72.270 50.9281
13.916017 72.361 49.2708
14.282228 72.445 47.7071
14.648439 72.522 46.2493
15.014650 72.595 44.8920
15.380861 72.663 43.6103
15.747072 72.725 42.3767
16.113283 72.781 41.1811
16.479493 72.833 40.0320
16.845704 72.875 38.9409
17.211915 72.909 37.9037
17.578126 72.939 36.8984
17.944337 72.966 35.8989
18.310548 72.988 34.8917
18.676759 73.004 33.8800
19.042970 73.015 32.8748
19.409181 73.024 31.8829
19.775392 73.033 30.9036
20.141603 73.045 29.9328
20.507814 73.058 28.9703
20.874025 73.073 28.0210
21.240236 73.088 27.0924
21.606447 73.103 26.1908
21.972658 73.118 25.3215
22.338869 73.133 24.4887
22.705080 73.149 23.6945
23.071291 73.165 22.9364
23.437502 73.180 22.2069
23.803713 73.195 21.4974
24.169924 73.207 20.8039
24.536135 73.214 20.1296
24.902346 73.216 19.4819
25.268557 73.215 18.8649
25.634768 73.212 18.2746
26.000979 73.209 17.6992
26.367190 73.205 17.1253
26.733401 73.199 16.5447
27.099612 73.190 15.9584
27.465823 73.179 15.3744
27.832033 73.165 14.8027
28.198244 73.151 14.2491
28.564455 73.140 13.7115
28.930666 73.131 13.1805
29.296877 73.125 12.6443
29.663088 73.121 12.0958
30.029299 73.117 11.5373
30.395510 73.110 10.9801
30.761721 73.101 10.4388
31.127932 73.090 9.9242
31.494143 73.079 9.4383
31.860354 73.069 8.9753
32.226565 73.059 8.5270
32.592776 73.049 8.0885
32.958987 73.037 7.6599
33.325198 73.025 7.2444
33.691409 73.011 6.8436
34.057620 72.997 6.4538
34.423831 72.984 6.0672
34.790042 72.971 5.6755
35.156253 72.956 5.2757
35.522464 72.938 4.8726
35.888675 72.918 4.4763
36.254886 72.896 4.0964
36.621097 72.874 3.7353
36.987308 72.854 3.3863
37.353519 72.837 3.0378
37.719730 72.822 2.6808
38.085941 72.806 2.3150
38.452152 72.789 1.9486
38.818363 72.770 1.5920
39.184573 72.752 1.2507
39.550784 72.734 0.9220
39.916995 72.718 0.5985
40.283206 72.703 0.2746
40.649417 72.687 -0.0495
41.015628 72.669 -0.3672
41.381839 72.651 -0.6711
41.748050 72.632 -0.9583
42.114261 72.613 -1.2326
42.480472 72.596 -1.5024
42.846683 72.580 -1.7763
43.212894 72.564 -2.0581
43.579105 72.547 -2.3457
43.945316 72.528 -2.6326
44.311527 72.507 -2.9122
44.677738 72.486 -3.1814
45.043949 72.465 -3.4418
45.410160 72.445 -3.6979
45.776371 72.425 -3.9537
46.142582 72.405 -4.2098
46.508793 72.385 -4.4634
46.875004 72.365 -4.7112
47.241215 72.345 -4.9520
47.607426 72.325 -5.1879
47.973637 72.306 -5.4218
48.339848 72.287 -5.6550
48.706059 72.267 -5.8854
49.072270 72.247 -6.1105
49.438481 72.227 -6.3290
49.804692 72.207 -6.5436
50.170902 72.188 -6.7582
50.537113 72.169 -6.9757
50.903324 72.149 -7.1950
51.269535 72.128 -7.4121
51.635746 72.107 -7.6231
52.001957 72.085 -7.8270
52.368168 72.064 -8.0261
52.734379 72.043 -8.2236
53.100590 72.022 -8.4209
53.466801 72.001 -8.6164
53.833012 71.979 -8.8071
54.199223 71.958 -8.9920
54.565434 71.938 -9.1732
54.931645 71.918 -9.3548
55.297856 71.898 -9.5387
55.664067 71.877 -9.7225
56.030278 71.856 -9.9006
56.396489 71.835 -10.0682
56.762700 71.814 -10.2268
57.128911 71.796 -10.3847
57.495122 71.778 -10.5520
57.861333 71.761 -10.7341
58.227544 71.741 -10.9259
58.593755 71.717 -11.1138
58.959966 71.691 -11.2837
59.326177 71.665 -11.4289
59.692388 71.641 -11.5547
60.058599 71.620 -11.6746
60.424810 71.602 -11.8016
60.791021 71.584 -11.9411
61.157232 71.565 -12.0894
61.523442 71.544 -12.2375
61.889653 71.523 -12.3788
62.255864 71.502 -12.5125
62.622075 71.482 -12.6433
62.988286 71.462 -12.7760
63.354497 71.441 -12.9117
63.720708 71.419 -13.0467
64.086919 71.395 -13.1755
64.453130 71.372 -13.2951
64.819341 71.349 -13.4074
65.185552 71.328 -13.5177
65.551763 71.307 -13.6315
65.917974 71.286 -13.7509
66.284185 71.265 -13.8741
66.650396 71.242 -13.9972
67.016607 71.219 -14.1165
67.382818 71.196 -14.2310
67.749029 71.173 -14.3413
68.115240 71.150 -14.4488
68.481451 71.128 -14.5544
68.847662 71.106 -14.6585
69.213873 71.084 -14.7619
69.580084 71.063 -14.8662
69.946295 71.043 -14.9729
70.312506 71.022 -15.0821
70.678717 71.000 -15.1914
71.044928 70.977 -15.2967
71.411139 70.955 -15.3945
71.777350 70.932 -15.4841
72.143561 70.910 -15.5685
72.509771 70.889 -15.6522
72.875982 70.869 -15.7386
73.242193 70.849 -15.8281
73.608404 70.827 -15.9178
73.974615 70.806 -16.0044
74.340826 70.784 -16.0862
74.707037 70.762 -16.1646
75.073248 70.742 -16.2429
75.439459 70.721 -16.3233
75.805670 70.700 -16.4055
76.171881 70.678 -16.4866
76.538092 70.656 -16.5636
76.904303 70.635 -16.6357
77.270514 70.614 -16.7051
77.636725 70.593 -16.7757
78.002936 70.574 -16.8504
78.369147 70.553 -16.9287
78.735358 70.532 -17.0071
79.101569 70.510 -17.0812
79.467780 70.487 -17.1480
79.833991 70.465 -17.2072
80.200202 70.443 -17.2606
80.566413 70.422 -17.3108
80.932624 70.402 -17.3601
81.298835 70.383 -17.4107
81.665046 70.363 -17.4643
82.031257 70.344 -17.5225
82.397468 70.325 -17.5854
82.763679 70.304 -17.6506
83.129890 70.283 -17.7144
83.496101 70.261 -17.7724
83.862311 70.238 -17.8224
84.228522 70.215 -17.8646
84.594733 70.194 -17.9020
84.960944 70.173 -17.9383
85.327155 70.154 -17.9764
85.693366 70.135 -18.0180
86.059577 70.116 -18.0630
86.425788 70.096 -18.1106
86.791999 70.077 -18.1596
87.158210 70.057 -18.2083
87.524421 70.037 -18.2552
87.890632 70.016 -18.2993
88.256843 69.996 -18.3405
88.623054 69.975 -18.3794
88.989265 69.955 -18.4166
89.355476 69.935 -18.4523
89.721687 69.915 -18.4861
90.087898 69.895 -18.5173
90.454109 69.876 -18.5464
90.820320 69.857 -18.5749
91.186531 69.838 -18.6048
91.552742 69.820 -18.6376
91.918953 69.801 -18.6729
92.285164 69.782 -18.7088
92.651375 69.763 -18.7428
93.017586 69.743 -18.7733
93.383797 69.724 -18.8009
93.750008 69.705 -18.8272
94.116219 69.687 -18.8540
94.482430 69.668 -18.8817
94.848641 69.649 -18.9091
95.214851 69.630 -18.9342
95.581062 69.611 -18.9554
95.947273 69.592 -18.9729
96.313484 69.574 -18.9884
96.679695 69.556 -19.0045
97.045906 69.539 -19.0233
97.412117 69.521 -19.0452
97.778328 69.503 -19.0694
98.144539 69.485 -19.0937
98.510750 69.466 -19.1159
98.876961 69.446 -19.1347
99.243172 69.427 -19.1496
99.609383 69.408 -19.1612
99.975594 69.389 -19.1707
100.341805 69.370 -19.1793
100.708016 69.352 -19.1876
101.074227 69.334 -19.1956
101.440438 69.316 -19.2030
101.806649 69.298 -19.2091
102.172860 69.280 -19.2138
102.539071 69.262 -19.2176
102.905282 69.245 -19.2213
103.271493 69.228 -19.2256
103.637704 69.211 -19.2308
104.003915 69.194 -19.2361
104.370126 69.177 -19.2406
104.736337 69.159 -19.2439
105.102548 69.142 -19.2459
105.468759 69.125 -19.2473
105.834970 69.108 -19.2482
106.201180 69.090 -19.2482
106.567391 69.073 -19.2460
106.933602 69.056 -19.2407
107.299813 69.039 -19.2324
107.666024 69.022 -19.2231
108.032235 69.006 -19.2151
108.398446 68.991 -19.2103
108.764657 68.975 -19.2089
109.130868 68.959 -19.2094
109.497079 68.943 -19.2097
109.863290 68.927 -19.2083
110.229501 68.910 -19.2050
110.595712 68.894 -19.2005
110.961923 68.878 -19.1955
111.328134 68.862 -19.1906
111.694345 68.846 -19.1861
112.060556 68.831 -19.1826
112.426767 68.815 -19.1810
112.792978 68.800 -19.1816
113.159189 68.784 -19.1840
113.525400 68.767 -19.1857
113.891611 68.750 -19.1834
114.257822 68.732 -19.1741
114.624033 68.715 -19.1573
114.990244 68.698 -19.1354
115.356455 68.683 -19.1129
115.722666 68.669 -19.0946
116.088877 68.655 -19.0832
116.455088 68.641 -19.0779
116.821299 68.626 -19.0753
117.187510 68.610 -19.0705
117.553720 68.593 -19.0596
117.919931 68.576 -19.0409
118.286142 68.559 -19.0155
118.652353 68.542 -18.9857
119.018564 68.527 -18.9542
119.384775 68.512 -18.9229
119.750986 68.497 -18.8925
120.117197 68.483 -18.8633
120.483408 68.468 -18.8355
120.849619 68.454 -18.8093
121.215830 68.439 -18.7849
121.582041 68.424 -18.7617
121.948252 68.409 -18.7384
122.314463 68.394 -18.7135
122.680674 68.379 -18.6860
123.046885 68.363 -18.6562
123.413096 68.349 -18.6253
123.779307 68.334 -18.5947
124.145518 68.321 -18.5653
124.511729 68.307 -18.5373
124.877940 68.294 -18.5101
125.244151 68.281 -18.4831
125.610362 68.269 -18.4560
125.976573 68.257 -18.4291
126.342784 68.245 -18.4029
126.708995 68.233 -18.3774
127.075206 68.222 -18.3522
127.441417 68.210 -18.3262
127.807628 68.198 -18.2986
128.173839 68.186 -18.2688
128.540049 68.174 -18.2371
128.906260 68.162 -18.2046
129.272471 68.151 -18.1724
129.638682 68.140 -18.1414
130.004893 68.128 -18.1114
130.371104 68.117 -18.0815
130.737315 68.105 -18.0507
131.103526 68.092 -18.0182
131.469737 68.080 -17.9841
131.835948 68.069 -17.9495
132.202159 68.057 -17.9156
132.568370 68.046 -17.8832
132.934581 68.035 -17.8526
133.300792 68.023 -17.8231
133.667003 68.011 -17.7940
134.033214 68.000 -17.7644
134.399425 67.988 -17.7336
134.765636 67.976 -17.7012
135.131847 67.964 -17.6666
135.498058 67.953 -17.6300
135.864269 67.942 -17.5916
136.230480 67.931 -17.5524
136.596691 67.921 -17.5134
136.962902 67.911 -17.4754
137.329113 67.901 -17.4383
137.695324 67.891 -17.4016
138.061535 67.880 -17.3643
138.427746 67.870 -17.3258
138.793957 67.860 -17.2861
139.160168 67.850 -17.2460
139.526379 67.840 -17.2063
139.892589 67.830 -17.1679
140.258800 67.820 -17.1305
140.625011 67.809 -17.0934
140.991222 67.798 -17.0554
141.357433 67.787 -17.0154
141.723644 67.776 -16.9729
142.089855 67.765 -16.9282
142.456066 67.755 -16.8820
142.822277 67.745 -16.8354
143.188488 67.735 -16.7893
143.554699 67.726 -16.7442
143.920910 67.717 -16.7003
144.287121 67.708 -16.6577
144.653332 67.699 -16.6162
145.019543 67.691 -16.5760
145.385754 67.682 -16.5368
