* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 8:07:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop LAN Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 70.068 159.0224
0.732422 67.872 136.9876
1.098633 63.483 110.3347
1.464844 55.707 53.8655
1.831055 58.463 -41.7458
2.197266 63.044 -71.2622
2.563477 64.957 -83.4696
2.929688 65.872 -87.0538
3.295899 66.848 -85.9178
3.662110 68.170 -85.4067
4.028321 69.448 -88.0923
4.394532 70.344 -93.0278
4.760743 70.804 -98.3724
5.126954 70.963 -102.7520
5.493164 71.040 -105.7460
5.859375 71.215 -107.9944
6.225586 71.513 -110.5566
6.591797 71.837 -113.9448
6.958008 72.091 -117.8865
7.324219 72.251 -121.7776
7.690430 72.361 -125.1708
8.056641 72.481 -127.9919
8.422852 72.639 -130.4411
8.789063 72.825 -132.7221
9.155274 73.014 -134.8763
9.521485 73.193 -136.8422
9.887696 73.364 -138.6010
10.253907 73.456 -140.2258
10.620118 73.500 -141.7998
10.986329 73.511 -143.3130
11.352540 73.483 -144.6647
11.718751 73.430 -145.7648
12.084962 73.376 -146.6386
12.451173 73.336 -147.4286
12.817384 73.354 -148.2917
13.183595 73.371 -149.2907
13.549806 73.369 -150.3798
13.916017 73.348 -151.4776
14.282228 73.319 -152.5447
14.648439 73.290 -153.6000
15.014650 73.265 -154.6762
15.380861 73.239 -155.7714
15.747072 73.211 -156.8444
16.113283 73.192 -157.8517
16.479493 73.191 -158.7831
16.845704 73.204 -159.6628
17.211915 73.228 -160.5214
17.578126 73.256 -161.3691
17.944337 73.285 -162.1917
18.310548 73.310 -162.9657
18.676759 73.331 -163.6731
19.042970 73.350 -164.3080
19.409181 73.368 -164.8787
19.775392 73.386 -165.4104
20.141603 73.406 -165.9411
20.507814 73.422 -166.5055
20.874025 73.426 -167.1099
21.240236 73.411 -167.7185
21.606447 73.377 -168.2678
21.972658 73.333 -168.7045
22.338869 73.294 -169.0249
22.705080 73.269 -169.2863
23.071291 73.264 -169.5793
23.437502 73.271 -169.9801
23.803713 73.280 -170.5131
24.169924 73.280 -171.1447
24.536135 73.265 -171.8047
24.902346 73.238 -172.4194
25.268557 73.209 -172.9427
25.634768 73.185 -173.3737
26.000979 73.173 -173.7537
26.367190 73.173 -174.1395
26.733401 73.177 -174.5664
27.099612 73.176 -175.0232
27.465823 73.164 -175.4593
27.832033 73.146 -175.8193
28.198244 73.129 -176.0848
28.564455 73.121 -176.2906
28.930666 73.124 -176.5025
29.296877 73.131 -176.7737
29.663088 73.134 -177.1120
30.029299 73.127 -177.4831
30.395510 73.110 -177.8406
30.761721 73.087 -178.1579
31.127932 73.064 -178.4397
31.494143 73.045 -178.7089
31.860354 73.028 -178.9873
32.226565 73.014 -179.2844
32.592776 72.999 -179.6003
32.958987 72.984 -179.9322
33.325198 72.968 179.7245
33.691409 72.949 179.3805
34.057620 72.928 179.0526
34.423831 72.907 178.7557
34.790042 72.888 178.4904
35.156253 72.875 178.2383
35.522464 72.866 177.9724
35.888675 72.857 177.6754
36.254886 72.844 177.3530
36.621097 72.824 177.0324
36.987308 72.797 176.7480
37.353519 72.766 176.5238
37.719730 72.738 176.3621
38.085941 72.717 176.2417
38.452152 72.706 176.1234
38.818363 72.704 175.9619
39.184573 72.705 175.7229
39.550784 72.700 175.4023
39.916995 72.683 175.0370
40.283206 72.650 174.6956
40.649417 72.608 174.4469
41.015628 72.569 174.3172
41.381839 72.544 174.2673
41.748050 72.539 174.2089
42.114261 72.546 174.0585
42.480472 72.552 173.7923
42.846683 72.545 173.4606
43.212894 72.522 173.1516
43.579105 72.492 172.9301
43.945316 72.467 172.7948
44.311527 72.455 172.6849
44.677738 72.451 172.5294
45.043949 72.446 172.3021
45.410160 72.432 172.0367
45.776371 72.406 171.7976
46.142582 72.376 171.6300
46.508793 72.351 171.5292
46.875004 72.335 171.4491
47.241215 72.327 171.3389
47.607426 72.320 171.1774
47.973637 72.308 170.9805
48.339848 72.291 170.7817
48.706059 72.269 170.6072
49.072270 72.248 170.4622
49.438481 72.228 170.3349
49.804692 72.211 170.2102
50.170902 72.196 170.0787
50.537113 72.181 169.9393
50.903324 72.164 169.7958
51.269535 72.147 169.6548
51.635746 72.128 169.5214
52.001957 72.110 169.3967
52.368168 72.092 169.2755
52.734379 72.076 169.1478
53.100590 72.060 169.0065
53.466801 72.041 168.8563
53.833012 72.020 168.7124
54.199223 71.998 168.5900
54.565434 71.978 168.4884
54.931645 71.964 168.3863
55.297856 71.955 168.2543
55.664067 71.944 168.0786
56.030278 71.929 167.8758
56.396489 71.906 167.6857
56.762700 71.880 167.5442
57.128911 71.858 167.4565
57.495122 71.843 167.3920
57.861333 71.837 167.3068
58.227544 71.832 167.1756
58.593755 71.824 167.0099
58.959966 71.809 166.8463
59.326177 71.789 166.7179
59.692388 71.771 166.6304
60.058599 71.756 166.5613
60.424810 71.744 166.4811
60.791021 71.732 166.3777
61.157232 71.714 166.2649
61.523442 71.692 166.1688
61.889653 71.668 166.1070
62.255864 71.645 166.0753
62.622075 71.627 166.0519
62.988286 71.612 166.0136
63.354497 71.597 165.9496
63.720708 71.580 165.8653
64.086919 71.561 165.7742
64.453130 71.539 165.6884
64.819341 71.517 165.6115
65.185552 71.497 165.5394
65.551763 71.479 165.4638
65.917974 71.462 165.3778
66.284185 71.445 165.2797
66.650396 71.427 165.1747
67.016607 71.408 165.0724
67.382818 71.388 164.9815
67.749029 71.369 164.9037
68.115240 71.352 164.8326
68.481451 71.337 164.7578
68.847662 71.322 164.6739
69.213873 71.306 164.5856
69.580084 71.288 164.5050
69.946295 71.269 164.4421
70.312506 71.251 164.3965
70.678717 71.235 164.3577
71.044928 71.221 164.3133
71.411139 71.207 164.2588
71.777350 71.192 164.1991
72.143561 71.177 164.1407
72.509771 71.162 164.0824
72.875982 71.148 164.0130
73.242193 71.134 163.9211
73.608404 71.117 163.8073
73.974615 71.094 163.6895
74.340826 71.065 163.5938
74.707037 71.036 163.5377
75.073248 71.008 163.5178
75.439459 70.986 163.5124
75.805670 70.968 163.4967
76.171881 70.952 163.4602
76.538092 70.934 163.4120
76.904303 70.914 163.3716
77.270514 70.895 163.3521
77.636725 70.878 163.3503
78.002936 70.867 163.3487
78.369147 70.859 163.3280
78.735358 70.852 163.2796
79.101569 70.844 163.2079
79.467780 70.834 163.1245
79.833991 70.821 163.0382
80.200202 70.807 162.9520
80.566413 70.790 162.8662
80.932624 70.772 162.7844
81.298835 70.751 162.7150
81.665046 70.729 162.6666
82.031257 70.708 162.6404
82.397468 70.689 162.6281
82.763679 70.672 162.6166
83.129890 70.657 162.5974
83.496101 70.643 162.5713
83.862311 70.627 162.5462
84.228522 70.613 162.5276
84.594733 70.600 162.5118
84.960944 70.590 162.4861
85.327155 70.581 162.4382
85.693366 70.571 162.3665
86.059577 70.557 162.2826
86.425788 70.539 162.2061
86.791999 70.519 162.1528
87.158210 70.499 162.1259
87.524421 70.482 162.1156
87.890632 70.469 162.1062
88.256843 70.457 162.0848
88.623054 70.447 162.0470
88.989265 70.435 161.9971
89.355476 70.421 161.9438
89.721687 70.405 161.8955
90.087898 70.388 161.8578
90.454109 70.370 161.8325
90.820320 70.353 161.8177
91.186531 70.338 161.8093
91.552742 70.323 161.8022
91.918953 70.310 161.7924
92.285164 70.296 161.7782
92.651375 70.282 161.7611
93.017586 70.268 161.7439
93.383797 70.254 161.7289
93.750008 70.240 161.7159
94.116219 70.226 161.7025
94.482430 70.213 161.6855
94.848641 70.201 161.6633
95.214851 70.187 161.6366
95.581062 70.173 161.6084
95.947273 70.158 161.5826
96.313484 70.143 161.5618
96.679695 70.128 161.5465
97.045906 70.114 161.5344
97.412117 70.101 161.5214
97.778328 70.089 161.5042
98.144539 70.076 161.4812
98.510750 70.064 161.4539
98.876961 70.050 161.4259
99.243172 70.036 161.4011
99.609383 70.021 161.3819
99.975594 70.006 161.3682
100.341805 69.992 161.3581
100.708016 69.979 161.3487
101.074227 69.965 161.3383
101.440438 69.952 161.3264
101.806649 69.939 161.3144
102.172860 69.925 161.3034
102.539071 69.912 161.2947
102.905282 69.898 161.2883
103.271493 69.885 161.2835
103.637704 69.873 161.2789
104.003915 69.861 161.2730
104.370126 69.849 161.2646
104.736337 69.837 161.2534
105.102548 69.825 161.2397
105.468759 69.813 161.2247
105.834970 69.800 161.2101
106.201180 69.787 161.1975
106.567391 69.773 161.1884
106.933602 69.760 161.1837
107.299813 69.746 161.1835
107.666024 69.733 161.1868
108.032235 69.721 161.1915
108.398446 69.710 161.1949
108.764657 69.698 161.1945
109.130868 69.687 161.1894
109.497079 69.676 161.1808
109.863290 69.664 161.1715
110.229501 69.651 161.1648
110.595712 69.638 161.1618
110.961923 69.626 161.1614
111.328134 69.615 161.1601
111.694345 69.604 161.1542
112.060556 69.594 161.1420
112.426767 69.583 161.1242
112.792978 69.571 161.1041
113.159189 69.558 161.0858
113.525400 69.545 161.0721
113.891611 69.532 161.0643
114.257822 69.519 161.0615
114.624033 69.506 161.0625
114.990244 69.494 161.0658
115.356455 69.482 161.0700
115.722666 69.471 161.0745
116.088877 69.459 161.0786
116.455088 69.448 161.0824
116.821299 69.436 161.0869
117.187510 69.424 161.0934
117.553720 69.412 161.1031
117.919931 69.401 161.1157
118.286142 69.389 161.1293
118.652353 69.378 161.1416
119.018564 69.368 161.1505
119.384775 69.357 161.1556
119.750986 69.345 161.1585
120.117197 69.333 161.1616
120.483408 69.321 161.1664
120.849619 69.309 161.1727
121.215830 69.298 161.1788
121.582041 69.287 161.1826
121.948252 69.276 161.1830
122.314463 69.264 161.1807
122.680674 69.253 161.1777
123.046885 69.241 161.1760
123.413096 69.229 161.1768
123.779307 69.218 161.1798
124.145518 69.207 161.1841
124.511729 69.197 161.1887
124.877940 69.187 161.1931
125.244151 69.178 161.1971
125.610362 69.169 161.2005
125.976573 69.160 161.2028
126.342784 69.152 161.2036
126.708995 69.143 161.2031
127.075206 69.134 161.2031
127.441417 69.124 161.2065
127.807628 69.113 161.2162
128.173839 69.103 161.2335
128.540049 69.093 161.2573
128.906260 69.084 161.2844
129.272471 69.076 161.3107
129.638682 69.069 161.3329
130.004893 69.062 161.3499
130.371104 69.055 161.3621
130.737315 69.048 161.3712
131.103526 69.040 161.3788
131.469737 69.032 161.3862
131.835948 69.023 161.3943
132.202159 69.013 161.4038
132.568370 69.004 161.4157
132.934581 68.995 161.4304
133.300792 68.985 161.4474
133.667003 68.977 161.4649
134.033214 68.968 161.4807
134.399425 68.960 161.4931
134.765636 68.952 161.5020
135.131847 68.943 161.5089
135.498058 68.934 161.5164
135.864269 68.924 161.5268
136.230480 68.915 161.5405
136.596691 68.906 161.5555
136.962902 68.898 161.5685
137.329113 68.891 161.5762
137.695324 68.883 161.5769
138.061535 68.875 161.5716
138.427746 68.865 161.5637
138.793957 68.855 161.5580
139.160168 68.843 161.5588
139.526379 68.831 161.5684
139.892589 68.820 161.5869
140.258800 68.809 161.6121
140.625011 68.800 161.6407
140.991222 68.792 161.6695
141.357433 68.785 161.6960
141.723644 68.778 161.7189
142.089855 68.772 161.7380
142.456066 68.766 161.7538
142.822277 68.760 161.7673
143.188488 68.754 161.7795
143.554699 68.747 161.7913
143.920910 68.740 161.8036
144.287121 68.733 161.8173
144.653332 68.726 161.8326
145.019543 68.719 161.8495
145.385754 68.712 161.8673
145.751965 68.705 161.8853
146.118176 68.698 161.9028
146.484387 68.690 161.9197
146.850598 68.683 161.9363
147.216809 68.675 161.9532
147.583020 68.667 161.9713
147.949231 68.659 161.9907
148.315442 68.650 162.0114
148.681653 68.642 162.0328
149.047864 68.634 162.0540
149.414075 68.626 162.0743
149.780286 68.619 162.0936
150.146497 68.611 162.1118
150.512708 68.603 162.1293
