* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 25, 2023 8:09:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop LAN Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 74.425 -22.3701
0.732422 72.706 -44.0236
1.098633 69.489 -63.2592
1.464844 63.959 -72.8746
1.831055 58.142 -35.5788
2.197266 62.935 -9.2877
2.563477 66.210 -22.8300
2.929688 67.592 -43.7179
3.295899 67.915 -64.7739
3.662110 67.600 -82.1885
4.028321 67.073 -92.7529
4.394532 67.053 -95.8383
4.760743 68.026 -96.5534
5.126954 69.470 -100.1777
5.493164 70.676 -106.5365
5.859375 71.392 -113.2489
6.225586 71.694 -118.3185
6.591797 71.831 -120.8836
6.958008 72.066 -121.6493
7.324219 72.468 -122.3159
7.690430 72.893 -123.9593
8.056641 73.181 -126.3792
8.422852 73.294 -128.7845
8.789063 73.305 -130.6106
9.155274 73.318 -131.9108
9.521485 73.380 -133.1862
9.887696 73.460 -134.8456
10.253907 73.435 -136.8695
10.620118 73.328 -138.9471
10.986329 73.200 -140.8083
11.352540 73.095 -142.4221
11.718751 73.034 -143.9402
12.084962 73.008 -145.4952
12.451173 72.999 -147.0840
12.817384 73.042 -148.6213
13.183595 73.101 -150.0526
13.549806 73.165 -151.3891
13.916017 73.226 -152.6504
14.282228 73.275 -153.8101
14.648439 73.310 -154.8143
15.014650 73.339 -155.6498
15.380861 73.368 -156.3760
15.747072 73.394 -157.0796
16.113283 73.412 -157.7980
16.479493 73.417 -158.4964
16.845704 73.404 -159.1179
17.211915 73.384 -159.6520
17.578126 73.368 -160.1535
17.944337 73.358 -160.6975
18.310548 73.348 -161.3242
18.676759 73.335 -162.0277
19.042970 73.317 -162.7874
19.409181 73.296 -163.5934
19.775392 73.270 -164.4329
20.141603 73.236 -165.2602
20.507814 73.197 -165.9966
20.874025 73.163 -166.5793
21.240236 73.151 -167.0213
21.606447 73.169 -167.4226
21.972658 73.211 -167.9072
22.338869 73.257 -168.5340
22.705080 73.288 -169.2582
23.071291 73.294 -169.9671
23.437502 73.279 -170.5550
23.803713 73.258 -170.9819
24.169924 73.242 -171.2817
24.536135 73.237 -171.5282
24.902346 73.239 -171.7902
25.268557 73.244 -172.1079
25.634768 73.245 -172.4911
26.000979 73.236 -172.9273
26.367190 73.216 -173.3867
26.733401 73.186 -173.8299
27.099612 73.150 -174.2230
27.465823 73.118 -174.5583
27.832033 73.097 -174.8648
28.198244 73.091 -175.1978
28.564455 73.095 -175.6082
28.930666 73.102 -176.1125
29.296877 73.103 -176.6829
29.663088 73.093 -177.2631
30.029299 73.076 -177.7988
30.395510 73.057 -178.2624
30.761721 73.041 -178.6591
31.127932 73.030 -179.0137
31.494143 73.023 -179.3500
31.860354 73.017 -179.6775
32.226565 73.009 -179.9937
32.592776 72.997 179.7073
32.958987 72.983 179.4290
33.325198 72.964 179.1755
33.691409 72.942 178.9540
34.057620 72.918 178.7708
34.423831 72.897 178.6203
34.790042 72.881 178.4774
35.156253 72.870 178.3062
35.522464 72.861 178.0818
35.888675 72.848 177.8068
36.254886 72.830 177.5067
36.621097 72.806 177.2077
36.987308 72.782 176.9162
37.353519 72.758 176.6187
37.719730 72.733 176.3037
38.085941 72.703 175.9830
38.452152 72.668 175.6898
38.818363 72.632 175.4541
39.184573 72.600 175.2771
39.550784 72.578 175.1279
39.916995 72.564 174.9676
40.283206 72.554 174.7770
40.649417 72.545 174.5646
41.015628 72.535 174.3477
41.381839 72.526 174.1301
41.748050 72.519 173.8975
42.114261 72.510 173.6355
42.480472 72.496 173.3510
42.846683 72.474 173.0737
43.212894 72.448 172.8358
43.579105 72.422 172.6474
43.945316 72.401 172.4890
44.311527 72.385 172.3282
44.677738 72.371 172.1450
45.043949 72.357 171.9440
45.410160 72.339 171.7454
45.776371 72.320 171.5666
46.142582 72.302 171.4095
46.508793 72.287 171.2633
46.875004 72.274 171.1160
47.241215 72.262 170.9626
47.607426 72.250 170.8050
47.973637 72.237 170.6450
48.339848 72.225 170.4806
48.706059 72.211 170.3087
49.072270 72.194 170.1308
49.438481 72.175 169.9557
49.804692 72.152 169.7953
50.170902 72.129 169.6570
50.537113 72.106 169.5375
50.903324 72.087 169.4241
51.269535 72.069 169.3030
51.635746 72.052 169.1681
52.001957 72.034 169.0244
52.368168 72.014 168.8830
52.734379 71.994 168.7505
53.100590 71.976 168.6235
53.466801 71.959 168.4919
53.833012 71.942 168.3512
54.199223 71.922 168.2117
54.565434 71.900 168.0952
54.931645 71.880 168.0175
55.297856 71.865 167.9697
55.664067 71.858 167.9167
56.030278 71.857 167.8170
56.396489 71.854 167.6539
56.762700 71.843 167.4535
57.128911 71.820 167.2712
57.495122 71.792 167.1552
57.861333 71.768 167.1100
58.227544 71.754 167.0898
58.593755 71.750 167.0276
58.959966 71.748 166.8823
59.326177 71.737 166.6681
59.692388 71.712 166.4449
60.058599 71.676 166.2784
60.424810 71.639 166.1976
60.791021 71.609 166.1791
61.157232 71.590 166.1672
61.523442 71.578 166.1133
61.889653 71.567 166.0054
62.255864 71.551 165.8680
62.622075 71.529 165.7384
62.988286 71.505 165.6388
63.354497 71.483 165.5657
63.720708 71.464 165.4985
64.086919 71.448 165.4189
64.453130 71.432 165.3235
64.819341 71.414 165.2231
65.185552 71.395 165.1310
65.551763 71.375 165.0533
65.917974 71.356 164.9870
66.284185 71.339 164.9241
66.650396 71.324 164.8580
67.016607 71.309 164.7854
67.382818 71.295 164.7056
67.749029 71.280 164.6184
68.115240 71.264 164.5251
68.481451 71.246 164.4285
68.847662 71.227 164.3339
69.213873 71.206 164.2467
69.580084 71.184 164.1705
69.946295 71.162 164.1075
70.312506 71.140 164.0582
70.678717 71.120 164.0213
71.044928 71.102 163.9909
71.411139 71.087 163.9560
71.777350 71.074 163.9034
72.143561 71.062 163.8263
72.509771 71.047 163.7303
72.875982 71.028 163.6330
73.242193 71.006 163.5529
73.608404 70.984 163.4968
73.974615 70.966 163.4536
74.340826 70.951 163.4021
74.707037 70.937 163.3271
75.073248 70.921 163.2324
75.439459 70.900 163.1385
75.805670 70.877 163.0679
76.171881 70.855 163.0277
76.538092 70.837 163.0034
76.904303 70.823 162.9695
77.270514 70.811 162.9083
77.636725 70.796 162.8236
78.002936 70.775 162.7393
78.369147 70.751 162.6837
78.735358 70.726 162.6713
79.101569 70.706 162.6942
79.467780 70.693 162.7261
79.833991 70.685 162.7380
80.200202 70.680 162.7120
80.566413 70.674 162.6486
80.932624 70.663 162.5635
81.298835 70.648 162.4775
81.665046 70.630 162.4059
82.031257 70.610 162.3530
82.397468 70.592 162.3128
82.763679 70.575 162.2762
83.129890 70.558 162.2380
83.496101 70.541 162.1998
83.862311 70.523 162.1671
84.228522 70.506 162.1426
84.594733 70.492 162.1216
84.960944 70.479 162.0940
85.327155 70.466 162.0520
85.693366 70.452 161.9978
86.059577 70.436 161.9438
86.425788 70.417 161.9046
86.791999 70.399 161.8860
87.158210 70.383 161.8806
87.524421 70.370 161.8727
87.890632 70.358 161.8496
88.256843 70.345 161.8114
88.623054 70.330 161.7700
88.989265 70.312 161.7400
89.355476 70.294 161.7280
89.721687 70.278 161.7281
90.087898 70.264 161.7277
90.454109 70.251 161.7162
90.820320 70.238 161.6931
91.186531 70.224 161.6653
91.552742 70.209 161.6414
91.918953 70.193 161.6244
92.285164 70.179 161.6103
92.651375 70.167 161.5921
93.017586 70.154 161.5648
93.383797 70.141 161.5293
93.750008 70.127 161.4911
94.116219 70.112 161.4568
94.482430 70.096 161.4308
94.848641 70.081 161.4136
95.214851 70.066 161.4023
95.581062 70.053 161.3922
95.947273 70.040 161.3792
96.313484 70.028 161.3606
96.679695 70.015 161.3367
97.045906 70.002 161.3101
97.412117 69.987 161.2845
97.778328 69.972 161.2633
98.144539 69.956 161.2473
98.510750 69.941 161.2350
98.876961 69.925 161.2240
99.243172 69.910 161.2129
99.609383 69.894 161.2022
99.975594 69.878 161.1937
100.341805 69.863 161.1888
100.708016 69.848 161.1863
101.074227 69.834 161.1829
101.440438 69.821 161.1744
101.806649 69.808 161.1587
102.172860 69.794 161.1371
102.539071 69.780 161.1139
102.905282 69.765 161.0939
103.271493 69.750 161.0798
103.637704 69.736 161.0710
104.003915 69.722 161.0642
104.370126 69.710 161.0558
104.736337 69.697 161.0441
105.102548 69.685 161.0302
105.468759 69.672 161.0168
105.834970 69.659 161.0071
106.201180 69.646 161.0021
106.567391 69.633 161.0002
106.933602 69.622 160.9985
107.299813 69.611 160.9945
107.666024 69.599 160.9875
108.032235 69.588 160.9789
108.398446 69.575 160.9717
108.764657 69.563 160.9685
109.130868 69.550 160.9700
109.497079 69.538 160.9748
109.863290 69.527 160.9800
110.229501 69.516 160.9828
110.595712 69.505 160.9818
110.961923 69.495 160.9773
111.328134 69.483 160.9709
111.694345 69.471 160.9648
112.060556 69.459 160.9608
112.426767 69.447 160.9596
112.792978 69.434 160.9610
113.159189 69.422 160.9642
113.525400 69.410 160.9680
113.891611 69.398 160.9713
114.257822 69.386 160.9735
114.624033 69.375 160.9749
114.990244 69.363 160.9762
115.356455 69.351 160.9781
115.722666 69.338 160.9813
116.088877 69.326 160.9855
116.455088 69.314 160.9904
116.821299 69.302 160.9953
117.187510 69.290 161.0004
117.553720 69.278 161.0060
117.919931 69.266 161.0129
118.286142 69.254 161.0211
118.652353 69.242 161.0300
119.018564 69.230 161.0384
119.384775 69.219 161.0450
119.750986 69.208 161.0496
120.117197 69.197 161.0524
120.483408 69.185 161.0544
120.849619 69.173 161.0565
121.215830 69.161 161.0594
121.582041 69.150 161.0633
121.948252 69.138 161.0680
122.314463 69.126 161.0733
122.680674 69.115 161.0791
123.046885 69.104 161.0854
123.413096 69.093 161.0921
123.779307 69.082 161.0989
124.145518 69.072 161.1059
124.511729 69.062 161.1130
124.877940 69.052 161.1203
125.244151 69.043 161.1276
125.610362 69.033 161.1346
125.976573 69.024 161.1412
126.342784 69.015 161.1476
126.708995 69.006 161.1545
127.075206 68.997 161.1628
127.441417 68.988 161.1729
127.807628 68.979 161.1846
128.173839 68.970 161.1968
128.540049 68.961 161.2078
128.906260 68.953 161.2159
129.272471 68.945 161.2206
129.638682 68.936 161.2224
130.004893 68.926 161.2232
130.371104 68.916 161.2255
130.737315 68.906 161.2312
131.103526 68.896 161.2410
131.469737 68.886 161.2538
131.835948 68.877 161.2674
132.202159 68.869 161.2797
132.568370 68.860 161.2894
132.934581 68.852 161.2970
133.300792 68.844 161.3038
133.667003 68.835 161.3115
134.033214 68.826 161.3212
134.399425 68.817 161.3336
134.765636 68.808 161.3489
135.131847 68.799 161.3675
135.498058 68.790 161.3895
135.864269 68.781 161.4143
136.230480 68.773 161.4408
136.596691 68.766 161.4674
136.962902 68.759 161.4929
137.329113 68.752 161.5168
137.695324 68.744 161.5398
138.061535 68.738 161.5627
138.427746 68.731 161.5855
138.793957 68.724 161.6071
139.160168 68.719 161.6251
139.526379 68.713 161.6378
139.892589 68.707 161.6441
140.258800 68.701 161.6449
140.625011 68.694 161.6423
140.991222 68.686 161.6389
141.357433 68.677 161.6369
141.723644 68.668 161.6376
142.089855 68.659 161.6415
142.456066 68.649 161.6491
142.822277 68.640 161.6605
143.188488 68.630 161.6758
143.554699 68.621 161.6949
143.920910 68.613 161.7167
144.287121 68.605 161.7398
144.653332 68.597 161.7623
145.019543 68.590 161.7828
145.385754 68.584 161.8007
145.751965 68.577 161.8163
146.118176 68.570 161.8306
146.484387 68.562 161.8443
146.850598 68.555 161.8578
147.216809 68.547 161.8714
147.583020 68.540 161.8851
147.949231 68.532 161.8993
148.315442 68.524 161.9146
148.681653 68.516 161.9318
149.047864 68.508 161.9507
149.414075 68.500 161.9709
149.780286 68.493 161.9912
150.146497 68.486 162.0104
150.512708 68.479 162.0278
