* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 2:45:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NF Audio NM2 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 56.201 174.9409
0.732422 55.858 166.3097
1.098633 54.638 152.0121
1.464844 51.927 128.5783
1.831055 47.999 81.5939
2.197266 49.246 13.5087
2.563477 53.182 -21.5541
2.929688 55.538 -37.9865
3.295899 56.826 -44.7228
3.662110 57.928 -44.6516
4.028321 59.446 -42.3793
4.394532 61.222 -42.3867
4.760743 62.810 -45.3208
5.126954 64.009 -49.6394
5.493164 64.860 -53.8027
5.859375 65.519 -57.0270
6.225586 66.150 -59.4362
6.591797 66.825 -61.7294
6.958008 67.508 -64.4796
7.324219 68.125 -67.7156
7.690430 68.641 -71.0776
8.056641 69.077 -74.1938
8.422852 69.479 -76.9366
8.789063 69.882 -79.4368
9.155274 70.290 -81.8995
9.521485 70.681 -84.4142
9.887696 71.035 -86.9204
10.253907 71.280 -89.3104
10.620118 71.469 -91.5371
10.986329 71.644 -93.6362
11.352540 71.804 -95.6660
11.718751 71.944 -97.6431
12.084962 72.059 -99.5354
12.451173 72.156 -101.3082
12.817384 72.289 -102.9680
13.183595 72.424 -104.5612
13.549806 72.550 -106.1353
13.916017 72.663 -107.7047
14.282228 72.762 -109.2516
14.648439 72.847 -110.7541
15.014650 72.925 -112.2086
15.380861 72.996 -113.6275
15.747072 73.063 -115.0209
16.113283 73.130 -116.3860
16.479493 73.201 -117.7141
16.845704 73.271 -119.0046
17.211915 73.340 -120.2679
17.578126 73.406 -121.5149
17.944337 73.467 -122.7438
18.310548 73.522 -123.9402
18.676759 73.571 -125.0893
19.042970 73.617 -126.1867
19.409181 73.659 -127.2378
19.775392 73.698 -128.2481
20.141603 73.736 -129.2179
20.507814 73.773 -130.1477
20.874025 73.810 -131.0480
21.240236 73.847 -131.9404
21.606447 73.881 -132.8451
21.972658 73.910 -133.7652
22.338869 73.929 -134.6818
22.705080 73.939 -135.5656
23.071291 73.944 -136.3962
23.437502 73.948 -137.1731
23.803713 73.955 -137.9126
24.169924 73.965 -138.6359
24.536135 73.979 -139.3584
24.902346 73.995 -140.0881
25.268557 74.010 -140.8281
25.634768 74.025 -141.5780
26.000979 74.036 -142.3308
26.367190 74.043 -143.0712
26.733401 74.045 -143.7796
27.099612 74.046 -144.4419
27.465823 74.047 -145.0584
27.832033 74.052 -145.6449
28.198244 74.061 -146.2238
28.564455 74.071 -146.8114
28.930666 74.079 -147.4101
29.296877 74.084 -148.0086
29.663088 74.084 -148.5905
30.029299 74.081 -149.1449
30.395510 74.079 -149.6731
30.761721 74.077 -150.1872
31.127932 74.077 -150.7022
31.494143 74.077 -151.2259
31.860354 74.074 -151.7537
32.226565 74.067 -152.2727
32.592776 74.060 -152.7717
32.958987 74.053 -153.2509
33.325198 74.048 -153.7219
33.691409 74.045 -154.1987
34.057620 74.042 -154.6855
34.423831 74.035 -155.1728
34.790042 74.027 -155.6436
35.156253 74.018 -156.0881
35.522464 74.011 -156.5112
35.888675 74.006 -156.9292
36.254886 74.003 -157.3563
36.621097 73.998 -157.7923
36.987308 73.990 -158.2218
37.353519 73.980 -158.6272
37.719730 73.970 -159.0024
38.085941 73.963 -159.3593
38.452152 73.960 -159.7190
38.818363 73.958 -160.0965
39.184573 73.953 -160.4901
39.550784 73.946 -160.8839
39.916995 73.937 -161.2613
40.283206 73.928 -161.6176
40.649417 73.922 -161.9627
41.015628 73.917 -162.3120
41.381839 73.913 -162.6736
41.748050 73.908 -163.0427
42.114261 73.900 -163.4064
42.480472 73.892 -163.7550
42.846683 73.884 -164.0896
43.212894 73.878 -164.4201
43.579105 73.872 -164.7557
43.945316 73.866 -165.0973
44.311527 73.858 -165.4364
44.677738 73.849 -165.7635
45.043949 73.840 -166.0755
45.410160 73.832 -166.3794
45.776371 73.825 -166.6855
46.142582 73.818 -166.9994
46.508793 73.810 -167.3174
46.875004 73.799 -167.6289
47.241215 73.787 -167.9245
47.607426 73.775 -168.2019
47.973637 73.764 -168.4673
48.339848 73.756 -168.7302
48.706059 73.749 -168.9980
49.072270 73.742 -169.2724
49.438481 73.734 -169.5503
49.804692 73.725 -169.8268
50.170902 73.716 -170.0981
50.537113 73.707 -170.3626
50.903324 73.699 -170.6202
51.269535 73.690 -170.8718
51.635746 73.683 -171.1189
52.001957 73.676 -171.3635
52.368168 73.670 -171.6089
52.734379 73.664 -171.8580
53.100590 73.658 -172.1133
53.466801 73.651 -172.3741
53.833012 73.643 -172.6366
54.199223 73.632 -172.8939
54.565434 73.620 -173.1380
54.931645 73.607 -173.3640
55.297856 73.596 -173.5732
55.664067 73.587 -173.7748
56.030278 73.580 -173.9823
56.396489 73.575 -174.2070
56.762700 73.568 -174.4510
57.128911 73.559 -174.7047
57.495122 73.545 -174.9505
57.861333 73.529 -175.1718
58.227544 73.514 -175.3635
58.593755 73.502 -175.5350
58.959966 73.494 -175.7060
59.326177 73.490 -175.8949
59.692388 73.486 -176.1084
60.058599 73.480 -176.3392
60.424810 73.472 -176.5720
60.791021 73.461 -176.7934
61.157232 73.450 -176.9999
61.523442 73.440 -177.1974
61.889653 73.432 -177.3952
62.255864 73.424 -177.5979
62.622075 73.414 -177.8029
62.988286 73.404 -178.0036
63.354497 73.393 -178.1946
63.720708 73.383 -178.3763
64.086919 73.373 -178.5539
64.453130 73.364 -178.7335
64.819341 73.356 -178.9184
65.185552 73.347 -179.1078
65.551763 73.337 -179.2979
65.917974 73.326 -179.4848
66.284185 73.314 -179.6657
66.650396 73.302 -179.8396
67.016607 73.290 179.9931
67.382818 73.279 179.8312
67.749029 73.268 179.6724
68.115240 73.258 179.5142
68.481451 73.248 179.3541
68.847662 73.239 179.1907
69.213873 73.230 179.0233
69.580084 73.220 178.8521
69.946295 73.210 178.6776
70.312506 73.200 178.5017
70.678717 73.188 178.3271
71.044928 73.176 178.1567
71.411139 73.163 177.9929
71.777350 73.151 177.8348
72.143561 73.140 177.6797
72.509771 73.129 177.5242
72.875982 73.118 177.3671
73.242193 73.106 177.2116
73.608404 73.094 177.0626
73.974615 73.082 176.9236
74.340826 73.072 176.7933
74.707037 73.063 176.6648
75.073248 73.056 176.5295
75.439459 73.050 176.3820
75.805670 73.043 176.2230
76.171881 73.034 176.0590
76.538092 73.023 175.8983
76.904303 73.012 175.7460
77.270514 73.001 175.6024
77.636725 72.990 175.4631
78.002936 72.980 175.3224
78.369147 72.970 175.1768
78.735358 72.960 175.0266
79.101569 72.948 174.8757
79.467780 72.936 174.7296
79.833991 72.923 174.5924
80.200202 72.910 174.4646
80.566413 72.898 174.3427
80.932624 72.888 174.2212
81.298835 72.878 174.0952
81.665046 72.868 173.9638
82.031257 72.858 173.8298
82.397468 72.847 173.6975
82.763679 72.836 173.5696
83.129890 72.826 173.4449
83.496101 72.816 173.3198
83.862311 72.806 173.1910
84.228522 72.796 173.0583
84.594733 72.786 172.9245
84.960944 72.774 172.7933
85.327155 72.762 172.6664
85.693366 72.751 172.5436
86.059577 72.739 172.4231
86.425788 72.728 172.3046
86.791999 72.716 172.1894
87.158210 72.705 172.0792
87.524421 72.694 171.9737
87.890632 72.684 171.8704
88.256843 72.675 171.7651
88.623054 72.666 171.6553
88.989265 72.658 171.5411
89.355476 72.648 171.4254
89.721687 72.638 171.3118
90.087898 72.628 171.2025
90.454109 72.618 171.0974
90.820320 72.609 170.9944
91.186531 72.600 170.8909
91.552742 72.591 170.7851
91.918953 72.583 170.6761
92.285164 72.574 170.5641
92.651375 72.564 170.4507
93.017586 72.553 170.3378
93.383797 72.542 170.2274
93.750008 72.531 170.1207
94.116219 72.519 170.0176
94.482430 72.508 169.9177
94.848641 72.497 169.8196
95.214851 72.486 169.7229
95.581062 72.475 169.6268
95.947273 72.465 169.5307
96.313484 72.455 169.4336
96.679695 72.445 169.3346
97.045906 72.435 169.2334
97.412117 72.425 169.1306
97.778328 72.414 169.0281
98.144539 72.403 168.9276
98.510750 72.392 168.8297
98.876961 72.382 168.7342
99.243172 72.371 168.6399
99.609383 72.360 168.5458
99.975594 72.350 168.4518
100.341805 72.339 168.3583
100.708016 72.328 168.2661
101.074227 72.318 168.1754
101.440438 72.307 168.0864
101.806649 72.296 167.9985
102.172860 72.286 167.9116
102.539071 72.275 167.8256
102.905282 72.265 167.7404
103.271493 72.254 167.6558
103.637704 72.244 167.5717
104.003915 72.234 167.4880
104.370126 72.224 167.4050
104.736337 72.214 167.3233
105.102548 72.203 167.2434
105.468759 72.193 167.1650
105.834970 72.184 167.0875
106.201180 72.174 167.0094
106.567391 72.165 166.9296
106.933602 72.156 166.8478
107.299813 72.146 166.7647
107.666024 72.136 166.6816
108.032235 72.126 166.5998
108.398446 72.116 166.5196
108.764657 72.106 166.4406
109.130868 72.095 166.3619
109.497079 72.085 166.2828
109.863290 72.075 166.2030
110.229501 72.065 166.1226
110.595712 72.054 166.0422
110.961923 72.043 165.9622
111.328134 72.032 165.8827
111.694345 72.021 165.8042
112.060556 72.010 165.7270
112.426767 71.999 165.6517
112.792978 71.988 165.5786
113.159189 71.977 165.5075
113.525400 71.966 165.4376
113.891611 71.956 165.3678
114.257822 71.946 165.2971
114.624033 71.936 165.2249
114.990244 71.926 165.1520
115.356455 71.916 165.0791
115.722666 71.905 165.0074
116.088877 71.895 164.9377
116.455088 71.884 164.8699
116.821299 71.874 164.8032
117.187510 71.864 164.7368
117.553720 71.854 164.6696
117.919931 71.844 164.6013
118.286142 71.834 164.5321
118.652353 71.824 164.4624
119.018564 71.814 164.3929
119.384775 71.804 164.3239
119.750986 71.793 164.2556
120.117197 71.783 164.1879
120.483408 71.773 164.1205
120.849619 71.762 164.0535
121.215830 71.752 163.9871
121.582041 71.742 163.9218
121.948252 71.732 163.8578
122.314463 71.721 163.7956
122.680674 71.711 163.7352
123.046885 71.701 163.6767
123.413096 71.691 163.6199
123.779307 71.682 163.5643
124.145518 71.672 163.5096
124.511729 71.663 163.4554
124.877940 71.654 163.4013
125.244151 71.645 163.3472
125.610362 71.637 163.2932
125.976573 71.628 163.2392
126.342784 71.620 163.1854
126.708995 71.611 163.1316
127.075206 71.603 163.0779
127.441417 71.594 163.0244
127.807628 71.585 162.9709
128.173839 71.576 162.9175
128.540049 71.567 162.8638
128.906260 71.558 162.8100
129.272471 71.549 162.7559
129.638682 71.539 162.7018
130.004893 71.530 162.6476
130.371104 71.521 162.5934
130.737315 71.512 162.5393
131.103526 71.503 162.4853
131.469737 71.495 162.4315
131.835948 71.486 162.3778
132.202159 71.477 162.3243
132.568370 71.469 162.2709
132.934581 71.461 162.2173
133.300792 71.452 162.1634
133.667003 71.444 162.1095
134.033214 71.436 162.0560
134.399425 71.427 162.0034
134.765636 71.418 161.9525
135.131847 71.410 161.9033
135.498058 71.401 161.8555
135.864269 71.393 161.8085
136.230480 71.385 161.7613
136.596691 71.377 161.7129
136.962902 71.369 161.6628
137.329113 71.361 161.6115
137.695324 71.353 161.5597
138.061535 71.344 161.5084
138.427746 71.335 161.4583
138.793957 71.326 161.4099
139.160168 71.318 161.3630
139.526379 71.309 161.3170
139.892589 71.301 161.2716
140.258800 71.292 161.2264
140.625011 71.284 161.1814
140.991222 71.276 161.1365
141.357433 71.267 161.0919
141.723644 71.259 161.0479
142.089855 71.251 161.0048
142.456066 71.243 160.9629
142.822277 71.234 160.9221
143.188488 71.226 160.8818
143.554699 71.218 160.8415
143.920910 71.210 160.8009
144.287121 71.202 160.7599
144.653332 71.193 160.7192
145.019543 71.184 160.6791
145.385754 71.175 160.6404
145.751965 71.166 160.6031
146.118176 71.157 160.5672
146.484387 71.148 160.5322
146.850598 71.139 160.4976
147.216809 71.131 160.4631
147.583020 71.122 160.4281
147.949231 71.114 160.3922
148.315442 71.106 160.3551
