* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 2:44:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NF Audio NM2 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 65.595 -28.2801
0.732422 63.512 -58.6958
1.098633 59.815 -96.0067
1.464844 55.320 -152.5568
1.831055 54.513 139.4902
2.197266 54.838 97.2899
2.563477 51.832 76.8677
2.929688 45.305 125.4310
3.295899 54.750 164.9461
3.662110 59.920 155.3599
4.028321 62.382 142.7875
4.394532 63.366 133.0149
4.760743 63.608 128.5803
5.126954 63.931 129.6116
5.493164 64.879 131.9108
5.859375 66.161 131.1510
6.225586 67.256 127.3156
6.591797 67.974 122.4520
6.958008 68.400 118.3137
7.324219 68.743 115.5659
7.690430 69.182 113.6608
8.056641 69.740 111.5442
8.422852 70.312 108.7024
8.789063 70.800 105.4050
9.155274 71.187 102.2136
9.521485 71.517 99.4791
9.887696 71.844 97.1639
10.253907 72.114 95.0078
10.620118 72.351 92.8239
10.986329 72.559 90.6287
11.352540 72.733 88.5406
11.718751 72.884 86.6218
12.084962 73.023 84.8259
12.451173 73.153 83.0722
12.817384 73.309 81.3385
13.183595 73.449 79.6687
13.549806 73.570 78.1037
13.916017 73.685 76.6209
14.282228 73.796 75.1488
14.648439 73.899 73.6340
15.014650 73.986 72.0901
15.380861 74.055 70.5741
15.747072 74.115 69.1276
16.113283 74.177 67.7406
16.479493 74.251 66.3715
16.845704 74.322 64.9971
17.211915 74.385 63.6366
17.578126 74.442 62.3300
17.944337 74.496 61.0974
18.310548 74.552 59.9212
18.676759 74.611 58.7676
19.042970 74.667 57.6210
19.409181 74.715 56.4963
19.775392 74.757 55.4206
20.141603 74.796 54.4058
20.507814 74.835 53.4384
20.874025 74.873 52.4940
21.240236 74.907 51.5571
21.606447 74.936 50.6290
21.972658 74.958 49.7212
22.338869 74.975 48.8422
22.705080 74.989 47.9920
23.071291 75.001 47.1646
23.437502 75.013 46.3501
23.803713 75.025 45.5382
24.169924 75.036 44.7204
24.536135 75.045 43.8956
24.902346 75.050 43.0745
25.268557 75.052 42.2756
25.634768 75.054 41.5133
26.000979 75.057 40.7862
26.367190 75.065 40.0771
26.733401 75.076 39.3648
27.099612 75.087 38.6393
27.465823 75.096 37.9083
27.832033 75.100 37.1908
28.198244 75.100 36.5044
28.564455 75.098 35.8561
28.930666 75.097 35.2411
29.296877 75.097 34.6482
29.663088 75.098 34.0649
30.029299 75.099 33.4836
30.395510 75.099 32.9039
30.761721 75.096 32.3321
31.127932 75.091 31.7761
31.494143 75.087 31.2382
31.860354 75.083 30.7103
32.226565 75.081 30.1787
32.592776 75.079 29.6350
32.958987 75.074 29.0840
33.325198 75.067 28.5414
33.691409 75.059 28.0207
34.057620 75.052 27.5201
34.423831 75.049 27.0237
34.790042 75.047 26.5146
35.156253 75.043 25.9924
35.522464 75.034 25.4758
35.888675 75.023 24.9897
36.254886 75.012 24.5459
36.621097 75.004 24.1334
36.987308 75.002 23.7263
37.353519 75.002 23.3031
37.719730 75.001 22.8600
38.085941 74.997 22.4115
38.452152 74.990 21.9762
38.818363 74.981 21.5627
39.184573 74.973 21.1655
39.550784 74.967 20.7712
39.916995 74.961 20.3701
40.283206 74.954 19.9633
40.649417 74.946 19.5599
41.015628 74.935 19.1706
41.381839 74.925 18.7987
41.748050 74.916 18.4388
42.114261 74.909 18.0809
42.480472 74.904 17.7164
42.846683 74.898 17.3434
43.212894 74.891 16.9667
43.579105 74.883 16.5933
43.945316 74.874 16.2279
44.311527 74.865 15.8718
44.677738 74.856 15.5242
45.043949 74.847 15.1840
45.410160 74.839 14.8514
45.776371 74.831 14.5258
46.142582 74.825 14.2036
46.508793 74.819 13.8795
46.875004 74.813 13.5503
47.241215 74.807 13.2172
47.607426 74.799 12.8865
47.973637 74.789 12.5654
48.339848 74.780 12.2576
48.706059 74.771 11.9606
49.072270 74.763 11.6680
49.438481 74.757 11.3744
49.804692 74.750 11.0781
50.170902 74.742 10.7819
50.537113 74.734 10.4900
50.903324 74.726 10.2047
51.269535 74.718 9.9247
51.635746 74.710 9.6469
52.001957 74.702 9.3689
52.368168 74.694 9.0916
52.734379 74.684 8.8179
53.100590 74.674 8.5519
53.466801 74.664 8.2950
53.833012 74.654 8.0453
54.199223 74.645 7.7988
54.565434 74.637 7.5524
54.931645 74.628 7.3053
55.297856 74.620 7.0590
55.664067 74.612 6.8146
56.030278 74.604 6.5712
56.396489 74.597 6.3256
56.762700 74.590 6.0748
57.128911 74.582 5.8196
57.495122 74.574 5.5641
57.861333 74.564 5.3136
58.227544 74.554 5.0713
58.593755 74.544 4.8358
58.959966 74.535 4.6034
59.326177 74.526 4.3710
59.692388 74.517 4.1385
60.058599 74.507 3.9088
60.424810 74.498 3.6843
60.791021 74.489 3.4654
61.157232 74.480 3.2490
61.523442 74.472 3.0319
61.889653 74.464 2.8116
62.255864 74.455 2.5896
62.622075 74.445 2.3689
62.988286 74.435 2.1530
63.354497 74.424 1.9437
63.720708 74.413 1.7404
64.086919 74.403 1.5405
64.453130 74.393 1.3411
64.819341 74.383 1.1407
65.185552 74.373 0.9398
65.551763 74.363 0.7400
65.917974 74.353 0.5430
66.284185 74.343 0.3488
66.650396 74.334 0.1556
67.016607 74.324 -0.0386
67.382818 74.314 -0.2345
67.749029 74.304 -0.4307
68.115240 74.293 -0.6243
68.481451 74.282 -0.8132
68.847662 74.270 -0.9972
69.213873 74.259 -1.1780
69.580084 74.248 -1.3577
69.946295 74.238 -1.5366
70.312506 74.226 -1.7140
70.678717 74.215 -1.8881
71.044928 74.204 -2.0593
71.411139 74.193 -2.2301
71.777350 74.183 -2.4030
72.143561 74.172 -2.5781
72.509771 74.161 -2.7528
72.875982 74.149 -2.9231
73.242193 74.137 -3.0870
73.608404 74.126 -3.2469
73.974615 74.115 -3.4084
74.340826 74.105 -3.5755
74.707037 74.094 -3.7468
75.073248 74.082 -3.9155
75.439459 74.068 -4.0736
75.805670 74.055 -4.2179
76.171881 74.044 -4.3531
76.538092 74.036 -4.4905
76.904303 74.029 -4.6400
77.270514 74.021 -4.8053
77.636725 74.012 -4.9815
78.002936 74.001 -5.1585
78.369147 73.988 -5.3274
78.735358 73.974 -5.4843
79.101569 73.961 -5.6307
79.467780 73.948 -5.7707
79.833991 73.936 -5.9075
80.200202 73.925 -6.0421
80.566413 73.914 -6.1754
80.932624 73.905 -6.3087
81.298835 73.896 -6.4445
81.665046 73.887 -6.5853
82.031257 73.879 -6.7314
82.397468 73.870 -6.8812
82.763679 73.860 -7.0317
83.129890 73.849 -7.1810
83.496101 73.838 -7.3285
83.862311 73.827 -7.4750
84.228522 73.816 -7.6207
84.594733 73.803 -7.7643
84.960944 73.791 -7.9033
85.327155 73.777 -8.0354
85.693366 73.764 -8.1602
86.059577 73.752 -8.2793
86.425788 73.741 -8.3961
86.791999 73.730 -8.5133
87.158210 73.720 -8.6329
87.524421 73.710 -8.7554
87.890632 73.700 -8.8799
88.256843 73.690 -9.0056
88.623054 73.680 -9.1320
88.989265 73.670 -9.2584
89.355476 73.660 -9.3845
89.721687 73.650 -9.5101
90.087898 73.639 -9.6356
90.454109 73.629 -9.7610
90.820320 73.618 -9.8861
91.186531 73.607 -10.0099
91.552742 73.595 -10.1303
91.918953 73.583 -10.2458
92.285164 73.571 -10.3560
92.651375 73.560 -10.4622
93.017586 73.550 -10.5669
93.383797 73.540 -10.6727
93.750008 73.530 -10.7809
94.116219 73.520 -10.8911
94.482430 73.510 -11.0017
94.848641 73.499 -11.1116
95.214851 73.488 -11.2198
95.581062 73.478 -11.3267
95.947273 73.467 -11.4327
96.313484 73.456 -11.5388
96.679695 73.446 -11.6451
97.045906 73.435 -11.7521
97.412117 73.424 -11.8600
97.778328 73.413 -11.9685
98.144539 73.402 -12.0774
98.510750 73.391 -12.1858
98.876961 73.379 -12.2930
99.243172 73.367 -12.3986
99.609383 73.356 -12.5027
99.975594 73.344 -12.6063
100.341805 73.333 -12.7099
100.708016 73.321 -12.8140
101.074227 73.310 -12.9181
101.440438 73.298 -13.0217
101.806649 73.286 -13.1239
102.172860 73.275 -13.2244
102.539071 73.263 -13.3228
102.905282 73.252 -13.4194
103.271493 73.241 -13.5145
103.637704 73.230 -13.6086
104.003915 73.220 -13.7023
104.370126 73.209 -13.7960
104.736337 73.199 -13.8899
105.102548 73.189 -13.9836
105.468759 73.179 -14.0768
105.834970 73.168 -14.1688
106.201180 73.158 -14.2596
106.567391 73.148 -14.3496
106.933602 73.138 -14.4395
107.299813 73.128 -14.5302
107.666024 73.117 -14.6216
108.032235 73.107 -14.7136
108.398446 73.096 -14.8049
108.764657 73.084 -14.8944
109.130868 73.072 -14.9812
109.497079 73.061 -15.0649
109.863290 73.049 -15.1456
110.229501 73.037 -15.2239
110.595712 73.025 -15.3005
110.961923 73.014 -15.3765
111.328134 73.003 -15.4521
111.694345 72.993 -15.5280
112.060556 72.982 -15.6041
112.426767 72.971 -15.6804
112.792978 72.961 -15.7569
113.159189 72.950 -15.8334
113.525400 72.940 -15.9098
113.891611 72.930 -15.9861
114.257822 72.919 -16.0623
114.624033 72.909 -16.1384
114.990244 72.899 -16.2148
115.356455 72.888 -16.2915
115.722666 72.878 -16.3688
116.088877 72.868 -16.4467
116.455088 72.857 -16.5248
116.821299 72.846 -16.6027
117.187510 72.835 -16.6798
117.553720 72.824 -16.7557
117.919931 72.812 -16.8304
118.286142 72.801 -16.9041
118.652353 72.790 -16.9774
119.018564 72.779 -17.0509
119.384775 72.768 -17.1251
119.750986 72.757 -17.2002
120.117197 72.747 -17.2761
120.483408 72.736 -17.3523
120.849619 72.725 -17.4283
121.215830 72.714 -17.5039
121.582041 72.703 -17.5784
121.948252 72.692 -17.6512
122.314463 72.681 -17.7223
122.680674 72.670 -17.7914
123.046885 72.659 -17.8588
123.413096 72.648 -17.9248
123.779307 72.638 -17.9897
124.145518 72.628 -18.0539
124.511729 72.618 -18.1171
124.877940 72.608 -18.1793
125.244151 72.599 -18.2402
125.610362 72.590 -18.3003
125.976573 72.581 -18.3597
126.342784 72.572 -18.4191
126.708995 72.564 -18.4789
127.075206 72.555 -18.5393
127.441417 72.546 -18.6000
127.807628 72.538 -18.6608
128.173839 72.528 -18.7211
128.540049 72.519 -18.7809
128.906260 72.510 -18.8402
129.272471 72.501 -18.8992
129.638682 72.492 -18.9580
130.004893 72.482 -19.0167
130.371104 72.473 -19.0754
130.737315 72.463 -19.1337
131.103526 72.454 -19.1915
131.469737 72.444 -19.2487
131.835948 72.435 -19.3054
132.202159 72.425 -19.3617
132.568370 72.416 -19.4178
132.934581 72.407 -19.4736
133.300792 72.398 -19.5293
133.667003 72.389 -19.5848
134.033214 72.380 -19.6401
134.399425 72.371 -19.6957
134.765636 72.362 -19.7513
135.131847 72.353 -19.8073
135.498058 72.344 -19.8633
135.864269 72.335 -19.9194
136.230480 72.326 -19.9754
136.596691 72.317 -20.0311
136.962902 72.308 -20.0865
137.329113 72.299 -20.1411
137.695324 72.290 -20.1947
138.061535 72.281 -20.2468
138.427746 72.272 -20.2973
138.793957 72.263 -20.3465
139.160168 72.255 -20.3950
139.526379 72.246 -20.4436
139.892589 72.238 -20.4928
140.258800 72.230 -20.5428
140.625011 72.221 -20.5935
140.991222 72.213 -20.6447
141.357433 72.204 -20.6958
141.723644 72.195 -20.7468
142.089855 72.186 -20.7975
142.456066 72.177 -20.8477
142.822277 72.168 -20.8972
143.188488 72.158 -20.9458
143.554699 72.149 -20.9934
143.920910 72.139 -21.0402
144.287121 72.129 -21.0864
144.653332 72.119 -21.1322
145.019543 72.110 -21.1777
145.385754 72.100 -21.2228
145.751965 72.090 -21.2673
146.118176 72.081 -21.3112
146.484387 72.071 -21.3545
146.850598 72.062 -21.3976
147.216809 72.053 -21.4407
