* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 7:32:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NS Audio NS-2 Foam L
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.806 158.3731
0.732422 62.748 135.7466
1.098633 58.746 109.0798
1.464844 51.834 60.7712
1.831055 51.887 -32.7748
2.197266 56.456 -69.0677
2.563477 58.433 -82.6800
2.929688 59.395 -85.7037
3.295899 60.578 -83.2617
3.662110 62.237 -82.1786
4.028321 63.821 -85.1294
4.394532 64.947 -90.6070
4.760743 65.580 -96.4840
5.126954 65.866 -101.2947
5.493164 66.029 -104.5517
5.859375 66.253 -106.8132
6.225586 66.577 -109.1046
6.591797 66.915 -111.9779
6.958008 67.174 -115.2115
7.324219 67.336 -118.2244
7.690430 67.454 -120.5965
8.056641 67.602 -122.3434
8.422852 67.816 -123.8216
8.789063 68.073 -125.3779
9.155274 68.327 -127.0964
9.521485 68.547 -128.8397
9.887696 68.729 -130.4390
10.253907 68.817 -131.8283
10.620118 68.863 -133.0461
10.986329 68.902 -134.1580
11.352540 68.932 -135.1978
11.718751 68.951 -136.1726
12.084962 68.962 -137.0953
12.451173 68.968 -137.9963
12.817384 69.014 -138.9038
13.183595 69.058 -139.8237
13.549806 69.092 -140.7465
13.916017 69.118 -141.6664
14.282228 69.139 -142.5886
14.648439 69.154 -143.5137
15.014650 69.164 -144.4216
15.380861 69.170 -145.2784
15.747072 69.179 -146.0648
16.113283 69.202 -146.7968
16.479493 69.246 -147.5145
16.845704 69.295 -148.2464
17.211915 69.344 -148.9843
17.578126 69.387 -149.6922
17.944337 69.427 -150.3383
18.310548 69.468 -150.9197
18.676759 69.510 -151.4582
19.042970 69.550 -151.9754
19.409181 69.587 -152.4730
19.775392 69.617 -152.9380
20.141603 69.644 -153.3614
20.507814 69.670 -153.7523
20.874025 69.696 -154.1313
21.240236 69.718 -154.5143
21.606447 69.736 -154.9015
21.972658 69.749 -155.2830
22.338869 69.760 -155.6521
22.705080 69.770 -156.0133
23.071291 69.782 -156.3788
23.437502 69.794 -156.7575
23.803713 69.806 -157.1488
24.169924 69.818 -157.5439
24.536135 69.829 -157.9328
24.902346 69.841 -158.3095
25.268557 69.855 -158.6729
25.634768 69.871 -159.0250
26.000979 69.889 -159.3686
26.367190 69.907 -159.7058
26.733401 69.926 -160.0353
27.099612 69.943 -160.3527
27.465823 69.958 -160.6519
27.832033 69.972 -160.9287
28.198244 69.985 -161.1837
28.564455 69.998 -161.4219
28.930666 70.010 -161.6493
29.296877 70.020 -161.8698
29.663088 70.030 -162.0838
30.029299 70.038 -162.2914
30.395510 70.046 -162.4947
30.761721 70.053 -162.6982
31.127932 70.061 -162.9069
31.494143 70.068 -163.1236
31.860354 70.074 -163.3485
32.226565 70.080 -163.5791
32.592776 70.084 -163.8113
32.958987 70.087 -164.0406
33.325198 70.091 -164.2628
33.691409 70.094 -164.4753
34.057620 70.099 -164.6785
34.423831 70.104 -164.8745
34.790042 70.111 -165.0649
35.156253 70.118 -165.2501
35.522464 70.126 -165.4294
35.888675 70.134 -165.6027
36.254886 70.142 -165.7718
36.621097 70.149 -165.9384
36.987308 70.156 -166.1019
37.353519 70.162 -166.2591
37.719730 70.167 -166.4070
38.085941 70.172 -166.5476
38.452152 70.177 -166.6877
38.818363 70.183 -166.8349
39.184573 70.188 -166.9915
39.550784 70.190 -167.1517
39.916995 70.191 -167.3055
40.283206 70.191 -167.4457
40.649417 70.192 -167.5739
41.015628 70.195 -167.6983
41.381839 70.199 -167.8279
41.748050 70.204 -167.9657
42.114261 70.208 -168.1076
42.480472 70.211 -168.2466
42.846683 70.214 -168.3780
43.212894 70.218 -168.5022
43.579105 70.222 -168.6232
43.945316 70.227 -168.7449
44.311527 70.232 -168.8683
44.677738 70.236 -168.9917
45.043949 70.240 -169.1130
45.410160 70.243 -169.2315
45.776371 70.247 -169.3479
46.142582 70.250 -169.4631
46.508793 70.253 -169.5768
46.875004 70.255 -169.6880
47.241215 70.257 -169.7961
47.607426 70.259 -169.9014
47.973637 70.261 -170.0050
48.339848 70.263 -170.1075
48.706059 70.264 -170.2082
49.072270 70.266 -170.3059
49.438481 70.269 -170.4003
49.804692 70.272 -170.4931
50.170902 70.276 -170.5874
50.537113 70.280 -170.6855
50.903324 70.284 -170.7872
51.269535 70.288 -170.8896
51.635746 70.290 -170.9892
52.001957 70.293 -171.0844
52.368168 70.295 -171.1764
52.734379 70.298 -171.2678
53.100590 70.300 -171.3596
53.466801 70.301 -171.4504
53.833012 70.302 -171.5374
54.199223 70.303 -171.6187
54.565434 70.304 -171.6948
54.931645 70.306 -171.7688
55.297856 70.308 -171.8442
55.664067 70.311 -171.9232
56.030278 70.314 -172.0064
56.396489 70.317 -172.0933
56.762700 70.319 -172.1830
57.128911 70.321 -172.2738
57.495122 70.321 -172.3625
57.861333 70.321 -172.4450
58.227544 70.321 -172.5176
58.593755 70.321 -172.5804
58.959966 70.323 -172.6377
59.326177 70.327 -172.6969
59.692388 70.331 -172.7642
60.058599 70.335 -172.8413
60.424810 70.337 -172.9240
60.791021 70.338 -173.0046
61.157232 70.337 -173.0768
61.523442 70.337 -173.1388
61.889653 70.337 -173.1939
62.255864 70.337 -173.2478
62.622075 70.339 -173.3050
62.988286 70.340 -173.3667
63.354497 70.340 -173.4307
63.720708 70.339 -173.4943
64.086919 70.339 -173.5562
64.453130 70.338 -173.6167
64.819341 70.338 -173.6774
65.185552 70.338 -173.7386
65.551763 70.337 -173.7999
65.917974 70.337 -173.8603
66.284185 70.338 -173.9193
66.650396 70.338 -173.9782
67.016607 70.340 -174.0386
67.382818 70.341 -174.1014
67.749029 70.342 -174.1661
68.115240 70.343 -174.2311
68.481451 70.343 -174.2942
68.847662 70.343 -174.3541
69.213873 70.343 -174.4109
69.580084 70.343 -174.4657
69.946295 70.343 -174.5199
70.312506 70.344 -174.5744
70.678717 70.344 -174.6290
71.044928 70.344 -174.6830
71.411139 70.343 -174.7356
71.777350 70.343 -174.7864
72.143561 70.342 -174.8356
72.509771 70.341 -174.8835
72.875982 70.341 -174.9302
73.242193 70.340 -174.9751
73.608404 70.340 -175.0178
73.974615 70.340 -175.0592
74.340826 70.340 -175.1016
74.707037 70.341 -175.1477
75.073248 70.342 -175.1990
75.439459 70.343 -175.2545
75.805670 70.342 -175.3104
76.171881 70.341 -175.3625
76.538092 70.339 -175.4084
76.904303 70.338 -175.4492
77.270514 70.337 -175.4880
77.636725 70.338 -175.5287
78.002936 70.338 -175.5730
78.369147 70.338 -175.6205
78.735358 70.338 -175.6690
79.101569 70.337 -175.7167
79.467780 70.336 -175.7629
79.833991 70.335 -175.8075
80.200202 70.334 -175.8507
80.566413 70.334 -175.8926
80.932624 70.333 -175.9333
81.298835 70.333 -175.9736
81.665046 70.333 -176.0151
82.031257 70.333 -176.0591
82.397468 70.333 -176.1058
82.763679 70.332 -176.1529
83.129890 70.331 -176.1974
83.496101 70.329 -176.2366
83.862311 70.328 -176.2704
84.228522 70.327 -176.3010
84.594733 70.327 -176.3324
84.960944 70.328 -176.3674
85.327155 70.329 -176.4070
85.693366 70.329 -176.4495
86.059577 70.329 -176.4924
86.425788 70.328 -176.5338
86.791999 70.327 -176.5730
87.158210 70.326 -176.6106
87.524421 70.325 -176.6474
87.890632 70.324 -176.6838
88.256843 70.324 -176.7197
88.623054 70.323 -176.7547
88.989265 70.322 -176.7888
89.355476 70.322 -176.8223
89.721687 70.321 -176.8554
90.087898 70.321 -176.8883
90.454109 70.320 -176.9207
90.820320 70.320 -176.9526
91.186531 70.320 -176.9846
91.552742 70.320 -177.0172
91.918953 70.320 -177.0510
92.285164 70.320 -177.0860
92.651375 70.320 -177.1214
93.017586 70.319 -177.1561
93.383797 70.319 -177.1892
93.750008 70.318 -177.2206
94.116219 70.317 -177.2509
94.482430 70.317 -177.2805
94.848641 70.316 -177.3099
95.214851 70.316 -177.3391
95.581062 70.315 -177.3685
95.947273 70.315 -177.3988
96.313484 70.315 -177.4308
96.679695 70.315 -177.4657
97.045906 70.315 -177.5031
97.412117 70.314 -177.5417
97.778328 70.312 -177.5792
98.144539 70.311 -177.6134
98.510750 70.309 -177.6434
98.876961 70.307 -177.6702
99.243172 70.306 -177.6958
99.609383 70.305 -177.7222
99.975594 70.305 -177.7503
100.341805 70.304 -177.7794
100.708016 70.304 -177.8082
101.074227 70.303 -177.8361
101.440438 70.303 -177.8637
101.806649 70.303 -177.8926
102.172860 70.303 -177.9241
102.539071 70.303 -177.9581
102.905282 70.303 -177.9928
103.271493 70.302 -178.0258
103.637704 70.301 -178.0555
104.003915 70.300 -178.0819
104.370126 70.300 -178.1069
104.736337 70.300 -178.1327
105.102548 70.300 -178.1606
105.468759 70.300 -178.1906
105.834970 70.300 -178.2209
106.201180 70.299 -178.2501
106.567391 70.299 -178.2769
106.933602 70.298 -178.3016
107.299813 70.297 -178.3247
107.666024 70.297 -178.3474
108.032235 70.296 -178.3704
108.398446 70.296 -178.3939
108.764657 70.295 -178.4176
109.130868 70.293 -178.4409
109.497079 70.292 -178.4627
109.863290 70.290 -178.4825
110.229501 70.289 -178.5002
110.595712 70.287 -178.5166
110.961923 70.286 -178.5330
111.328134 70.285 -178.5510
111.694345 70.285 -178.5715
112.060556 70.284 -178.5942
112.426767 70.283 -178.6184
112.792978 70.282 -178.6429
113.159189 70.281 -178.6672
113.525400 70.280 -178.6916
113.891611 70.280 -178.7166
114.257822 70.279 -178.7429
114.624033 70.278 -178.7703
114.990244 70.277 -178.7982
115.356455 70.277 -178.8257
115.722666 70.276 -178.8521
116.088877 70.275 -178.8773
116.455088 70.274 -178.9012
116.821299 70.273 -178.9241
117.187510 70.272 -178.9460
117.553720 70.271 -178.9668
117.919931 70.271 -178.9865
118.286142 70.270 -179.0056
118.652353 70.270 -179.0247
119.018564 70.270 -179.0442
119.384775 70.269 -179.0644
119.750986 70.269 -179.0851
120.117197 70.268 -179.1061
120.483408 70.268 -179.1273
120.849619 70.267 -179.1491
121.215830 70.266 -179.1720
121.582041 70.265 -179.1959
121.948252 70.264 -179.2206
122.314463 70.262 -179.2451
122.680674 70.260 -179.2683
123.046885 70.258 -179.2896
123.413096 70.256 -179.3089
123.779307 70.255 -179.3273
124.145518 70.254 -179.3459
124.511729 70.253 -179.3656
124.877940 70.252 -179.3868
125.244151 70.252 -179.4093
125.610362 70.252 -179.4322
125.976573 70.252 -179.4550
126.342784 70.252 -179.4772
126.708995 70.253 -179.4986
127.075206 70.253 -179.5197
127.441417 70.254 -179.5408
127.807628 70.255 -179.5623
128.173839 70.256 -179.5841
128.540049 70.257 -179.6060
128.906260 70.258 -179.6276
129.272471 70.259 -179.6488
129.638682 70.261 -179.6696
130.004893 70.262 -179.6900
130.371104 70.263 -179.7102
130.737315 70.264 -179.7302
131.103526 70.265 -179.7499
131.469737 70.265 -179.7688
131.835948 70.266 -179.7870
132.202159 70.267 -179.8043
132.568370 70.268 -179.8210
132.934581 70.268 -179.8374
133.300792 70.269 -179.8540
133.667003 70.270 -179.8710
134.033214 70.270 -179.8884
134.399425 70.271 -179.9061
134.765636 70.271 -179.9238
135.131847 70.271 -179.9413
135.498058 70.271 -179.9585
135.864269 70.271 -179.9757
136.230480 70.272 -179.9933
136.596691 70.272 179.9882
136.962902 70.272 179.9684
137.329113 70.273 179.9475
137.695324 70.273 179.9262
138.061535 70.272 179.9053
138.427746 70.272 179.8855
138.793957 70.272 179.8671
139.160168 70.271 179.8500
139.526379 70.271 179.8338
139.892589 70.271 179.8179
140.258800 70.271 179.8018
140.625011 70.272 179.7855
140.991222 70.272 179.7692
141.357433 70.272 179.7529
141.723644 70.272 179.7369
142.089855 70.272 179.7214
142.456066 70.272 179.7065
142.822277 70.272 179.6922
143.188488 70.272 179.6782
