* Measurement data measured by REW V5.20.13
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 23, 2023 7:26:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NS Audio NS-2 Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.871 -22.2712
0.732422 67.118 -43.7680
1.098633 63.824 -62.6233
1.464844 58.135 -70.6870
1.831055 52.972 -29.1665
2.197266 58.016 -7.5712
2.563477 61.143 -21.9863
2.929688 62.447 -42.9196
3.295899 62.719 -63.7719
3.662110 62.367 -80.8250
4.028321 61.824 -90.9060
4.394532 61.828 -93.5673
4.760743 62.837 -94.1508
5.126954 64.287 -97.7663
5.493164 65.479 -104.0125
5.859375 66.182 -110.4510
6.225586 66.487 -115.1064
6.591797 66.655 -117.2078
6.958008 66.947 -117.6032
7.324219 67.407 -118.0441
7.690430 67.876 -119.5139
8.056641 68.199 -121.7134
8.422852 68.345 -123.8257
8.789063 68.393 -125.3127
9.155274 68.446 -126.2561
9.521485 68.548 -127.1531
9.887696 68.668 -128.3902
10.253907 68.689 -129.9559
10.620118 68.639 -131.5974
10.986329 68.574 -133.1204
11.352540 68.526 -134.5286
11.718751 68.501 -135.9312
12.084962 68.491 -137.3737
12.451173 68.485 -138.7880
12.817384 68.530 -140.0828
13.183595 68.596 -141.2429
13.549806 68.676 -142.3251
13.916017 68.758 -143.3711
14.282228 68.829 -144.3487
14.648439 68.886 -145.1868
15.014650 68.938 -145.8577
15.380861 68.994 -146.4151
15.747072 69.050 -146.9465
16.113283 69.102 -147.4969
16.479493 69.146 -148.0426
16.845704 69.173 -148.5366
17.211915 69.192 -148.9688
17.578126 69.210 -149.3812
17.944337 69.227 -149.8273
18.310548 69.239 -150.3267
18.676759 69.243 -150.8582
19.042970 69.242 -151.3916
19.409181 69.241 -151.9190
19.775392 69.246 -152.4542
20.141603 69.256 -153.0094
20.507814 69.271 -153.5788
20.874025 69.288 -154.1449
21.240236 69.309 -154.6952
21.606447 69.333 -155.2272
21.972658 69.360 -155.7378
22.338869 69.387 -156.2145
22.705080 69.413 -156.6412
23.071291 69.442 -157.0141
23.437502 69.474 -157.3483
23.803713 69.507 -157.6665
24.169924 69.537 -157.9795
24.536135 69.562 -158.2800
24.902346 69.581 -158.5543
25.268557 69.596 -158.7990
25.634768 69.609 -159.0264
26.000979 69.621 -159.2536
26.367190 69.629 -159.4888
26.733401 69.634 -159.7294
27.099612 69.637 -159.9709
27.465823 69.639 -160.2151
27.832033 69.641 -160.4692
28.198244 69.644 -160.7370
28.564455 69.646 -161.0139
28.930666 69.649 -161.2914
29.296877 69.654 -161.5659
29.663088 69.662 -161.8410
30.029299 69.672 -162.1225
30.395510 69.683 -162.4092
30.761721 69.693 -162.6909
31.127932 69.701 -162.9542
31.494143 69.711 -163.1908
31.860354 69.721 -163.4017
32.226565 69.733 -163.5953
32.592776 69.747 -163.7817
32.958987 69.761 -163.9687
33.325198 69.773 -164.1592
33.691409 69.783 -164.3501
34.057620 69.789 -164.5337
34.423831 69.792 -164.7018
34.790042 69.794 -164.8517
35.156253 69.797 -164.9892
35.522464 69.801 -165.1265
35.888675 69.805 -165.2741
36.254886 69.809 -165.4341
36.621097 69.811 -165.6002
36.987308 69.812 -165.7639
37.353519 69.813 -165.9220
37.719730 69.816 -166.0777
38.085941 69.819 -166.2372
38.452152 69.823 -166.4030
38.818363 69.827 -166.5724
39.184573 69.830 -166.7393
39.550784 69.833 -166.8983
39.916995 69.836 -167.0465
40.283206 69.840 -167.1847
40.649417 69.845 -167.3152
41.015628 69.851 -167.4425
41.381839 69.858 -167.5708
41.748050 69.864 -167.7022
42.114261 69.870 -167.8350
42.480472 69.874 -167.9642
42.846683 69.876 -168.0859
43.212894 69.879 -168.2005
43.579105 69.883 -168.3125
43.945316 69.886 -168.4273
44.311527 69.890 -168.5458
44.677738 69.892 -168.6645
45.043949 69.893 -168.7786
45.410160 69.895 -168.8860
45.776371 69.897 -168.9893
46.142582 69.900 -169.0920
46.508793 69.903 -169.1962
46.875004 69.906 -169.3006
47.241215 69.909 -169.4034
47.607426 69.913 -169.5050
47.973637 69.916 -169.6074
48.339848 69.919 -169.7122
48.706059 69.922 -169.8174
49.072270 69.923 -169.9183
49.438481 69.924 -170.0106
49.804692 69.926 -170.0951
50.170902 69.929 -170.1772
50.537113 69.933 -170.2642
50.903324 69.937 -170.3598
51.269535 69.941 -170.4616
51.635746 69.942 -170.5627
52.001957 69.943 -170.6563
52.368168 69.944 -170.7401
52.734379 69.945 -170.8172
53.100590 69.948 -170.8937
53.466801 69.952 -170.9743
53.833012 69.956 -171.0600
54.199223 69.960 -171.1477
54.565434 69.962 -171.2336
54.931645 69.965 -171.3157
55.297856 69.967 -171.3941
55.664067 69.970 -171.4702
56.030278 69.972 -171.5445
56.396489 69.975 -171.6171
56.762700 69.977 -171.6881
57.128911 69.979 -171.7586
57.495122 69.981 -171.8304
57.861333 69.982 -171.9039
58.227544 69.983 -171.9772
58.593755 69.983 -172.0478
58.959966 69.983 -172.1143
59.326177 69.984 -172.1781
59.692388 69.985 -172.2426
60.058599 69.986 -172.3103
60.424810 69.988 -172.3814
60.791021 69.989 -172.4542
61.157232 69.990 -172.5272
61.523442 69.992 -172.6009
61.889653 69.993 -172.6765
62.255864 69.994 -172.7538
62.622075 69.995 -172.8297
62.988286 69.994 -172.8992
63.354497 69.994 -172.9596
63.720708 69.993 -173.0123
64.086919 69.995 -173.0625
64.453130 69.996 -173.1156
64.819341 69.998 -173.1736
65.185552 69.999 -173.2338
65.551763 69.999 -173.2913
65.917974 69.999 -173.3429
66.284185 69.999 -173.3893
66.650396 70.000 -173.4340
67.016607 70.001 -173.4808
67.382818 70.002 -173.5309
67.749029 70.003 -173.5837
68.115240 70.003 -173.6373
68.481451 70.004 -173.6915
68.847662 70.004 -173.7473
69.213873 70.005 -173.8058
69.580084 70.005 -173.8666
69.946295 70.004 -173.9267
70.312506 70.003 -173.9829
70.678717 70.002 -174.0335
71.044928 70.001 -174.0802
71.411139 70.001 -174.1270
71.777350 70.002 -174.1771
72.143561 70.003 -174.2308
72.509771 70.002 -174.2852
72.875982 70.001 -174.3363
73.242193 70.000 -174.3820
73.608404 70.000 -174.4232
73.974615 70.000 -174.4629
74.340826 70.000 -174.5040
74.707037 70.000 -174.5469
75.073248 69.999 -174.5895
75.439459 69.999 -174.6291
75.805670 69.998 -174.6651
76.171881 69.999 -174.7002
76.538092 70.000 -174.7389
76.904303 70.002 -174.7850
77.270514 70.003 -174.8389
77.636725 70.003 -174.8967
78.002936 70.002 -174.9523
78.369147 69.999 -175.0008
78.735358 69.997 -175.0408
79.101569 69.996 -175.0751
79.467780 69.996 -175.1082
79.833991 69.996 -175.1441
80.200202 69.997 -175.1840
80.566413 69.997 -175.2265
80.932624 69.998 -175.2695
81.298835 69.998 -175.3116
81.665046 69.997 -175.3527
82.031257 69.997 -175.3932
82.397468 69.997 -175.4330
82.763679 69.996 -175.4712
83.129890 69.996 -175.5072
83.496101 69.996 -175.5415
83.862311 69.996 -175.5756
84.228522 69.996 -175.6115
84.594733 69.996 -175.6501
84.960944 69.997 -175.6910
85.327155 69.996 -175.7322
85.693366 69.995 -175.7715
86.059577 69.994 -175.8073
86.425788 69.993 -175.8389
86.791999 69.992 -175.8671
87.158210 69.992 -175.8939
87.524421 69.992 -175.9219
87.890632 69.993 -175.9531
88.256843 69.994 -175.9884
88.623054 69.994 -176.0268
88.989265 69.994 -176.0659
89.355476 69.993 -176.1032
89.721687 69.992 -176.1376
90.087898 69.991 -176.1697
90.454109 69.991 -176.2013
90.820320 69.991 -176.2340
91.186531 69.990 -176.2683
91.552742 69.990 -176.3032
91.918953 69.989 -176.3373
92.285164 69.988 -176.3700
92.651375 69.987 -176.4016
93.017586 69.987 -176.4331
93.383797 69.987 -176.4650
93.750008 69.986 -176.4970
94.116219 69.986 -176.5286
94.482430 69.985 -176.5592
94.848641 69.985 -176.5891
95.214851 69.985 -176.6188
95.581062 69.984 -176.6487
95.947273 69.984 -176.6787
96.313484 69.984 -176.7078
96.679695 69.983 -176.7354
97.045906 69.982 -176.7615
97.412117 69.982 -176.7867
97.778328 69.982 -176.8122
98.144539 69.982 -176.8385
98.510750 69.982 -176.8656
98.876961 69.982 -176.8931
99.243172 69.981 -176.9207
99.609383 69.981 -176.9487
99.975594 69.981 -176.9777
100.341805 69.981 -177.0079
100.708016 69.980 -177.0388
101.074227 69.980 -177.0691
101.440438 69.979 -177.0972
101.806649 69.977 -177.1226
102.172860 69.977 -177.1455
102.539071 69.976 -177.1673
102.905282 69.976 -177.1896
103.271493 69.976 -177.2133
103.637704 69.976 -177.2385
104.003915 69.976 -177.2646
104.370126 69.975 -177.2908
104.736337 69.974 -177.3166
105.102548 69.974 -177.3419
105.468759 69.973 -177.3667
105.834970 69.972 -177.3911
106.201180 69.971 -177.4149
106.567391 69.970 -177.4380
106.933602 69.969 -177.4603
107.299813 69.968 -177.4822
107.666024 69.968 -177.5047
108.032235 69.967 -177.5285
108.398446 69.967 -177.5541
108.764657 69.966 -177.5812
109.130868 69.966 -177.6089
109.497079 69.965 -177.6362
109.863290 69.964 -177.6622
110.229501 69.963 -177.6868
110.595712 69.963 -177.7104
110.961923 69.962 -177.7339
111.328134 69.962 -177.7578
111.694345 69.962 -177.7822
112.060556 69.961 -177.8068
112.426767 69.961 -177.8309
112.792978 69.960 -177.8542
113.159189 69.959 -177.8764
113.525400 69.958 -177.8974
113.891611 69.958 -177.9175
114.257822 69.957 -177.9369
114.624033 69.957 -177.9561
114.990244 69.956 -177.9758
115.356455 69.956 -177.9964
115.722666 69.955 -178.0181
116.088877 69.955 -178.0407
116.455088 69.954 -178.0635
116.821299 69.953 -178.0858
117.187510 69.952 -178.1072
117.553720 69.951 -178.1279
117.919931 69.950 -178.1482
118.286142 69.950 -178.1687
118.652353 69.949 -178.1897
119.018564 69.949 -178.2113
119.384775 69.948 -178.2331
119.750986 69.948 -178.2548
120.117197 69.947 -178.2760
120.483408 69.946 -178.2966
120.849619 69.945 -178.3161
121.215830 69.945 -178.3347
121.582041 69.944 -178.3525
121.948252 69.943 -178.3699
122.314463 69.943 -178.3873
122.680674 69.942 -178.4050
123.046885 69.941 -178.4229
123.413096 69.941 -178.4408
123.779307 69.940 -178.4583
124.145518 69.939 -178.4752
124.511729 69.938 -178.4915
124.877940 69.938 -178.5073
125.244151 69.938 -178.5231
125.610362 69.938 -178.5391
125.976573 69.938 -178.5555
126.342784 69.939 -178.5723
126.708995 69.940 -178.5900
127.075206 69.941 -178.6088
127.441417 69.942 -178.6290
127.807628 69.943 -178.6508
128.173839 69.944 -178.6736
128.540049 69.945 -178.6968
128.906260 69.945 -178.7194
129.272471 69.945 -178.7407
129.638682 69.946 -178.7605
130.004893 69.946 -178.7789
130.371104 69.947 -178.7967
130.737315 69.947 -178.8143
131.103526 69.948 -178.8322
131.469737 69.949 -178.8504
131.835948 69.949 -178.8689
132.202159 69.950 -178.8872
132.568370 69.951 -178.9050
132.934581 69.951 -178.9219
133.300792 69.951 -178.9377
133.667003 69.952 -178.9525
134.033214 69.952 -178.9667
134.399425 69.953 -178.9811
134.765636 69.954 -178.9964
135.131847 69.955 -179.0128
135.498058 69.956 -179.0304
135.864269 69.956 -179.0483
136.230480 69.957 -179.0657
136.596691 69.957 -179.0820
136.962902 69.957 -179.0970
137.329113 69.957 -179.1113
137.695324 69.958 -179.1257
138.061535 69.958 -179.1408
138.427746 69.959 -179.1570
138.793957 69.960 -179.1741
139.160168 69.960 -179.1917
139.526379 69.960 -179.2088
139.892589 69.961 -179.2251
140.258800 69.961 -179.2402
140.625011 69.961 -179.2545
140.991222 69.961 -179.2685
141.357433 69.962 -179.2829
141.723644 69.962 -179.2981
142.089855 69.963 -179.3140
142.456066 69.963 -179.3303
142.822277 69.963 -179.3461
