* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Aug 22, 2023 8:00:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Butastur s.DD Foam R
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 64.863 -27.9799
0.732422 62.806 -57.8290
1.098633 59.088 -93.7715
1.464844 54.127 -148.4855
1.831055 52.816 138.6680
2.197266 53.527 92.3530
2.563477 50.986 67.2539
2.929688 41.763 99.8042
3.295899 51.965 163.7805
3.662110 57.831 153.3022
4.028321 60.515 139.5281
4.394532 61.561 128.5690
4.760743 61.745 123.0929
5.126954 61.925 123.7560
5.493164 62.785 126.4847
5.859375 64.092 126.1071
6.225586 65.248 122.1856
6.591797 66.006 116.9071
6.958008 66.435 112.2593
7.324219 66.750 109.1221
7.690430 67.159 107.0532
8.056641 67.707 104.9163
8.422852 68.292 102.0476
8.789063 68.801 98.6566
9.155274 69.202 95.3378
9.521485 69.541 92.4985
9.887696 69.877 90.1236
10.253907 70.233 87.9279
10.620118 70.585 85.6869
10.986329 70.904 83.4077
11.352540 71.178 81.2303
11.718751 71.422 79.2408
12.084962 71.652 77.3935
12.451173 71.869 75.5833
12.817384 72.063 73.7621
13.183595 72.228 71.9692
13.549806 72.368 70.2639
13.916017 72.497 68.6457
14.282228 72.621 67.0502
14.648439 72.737 65.4155
15.014650 72.837 63.7419
15.380861 72.919 62.0848
15.747072 72.990 60.4950
16.113283 73.059 58.9717
16.479493 73.130 57.4704
16.845704 73.202 55.9541
17.211915 73.267 54.4291
17.578126 73.322 52.9345
17.944337 73.372 51.5028
18.310548 73.420 50.1349
18.676759 73.468 48.8085
19.042970 73.514 47.5071
19.409181 73.554 46.2348
19.775392 73.588 45.0056
20.141603 73.617 43.8242
20.507814 73.643 42.6801
20.874025 73.666 41.5580
21.240236 73.684 40.4520
21.606447 73.696 39.3659
21.972658 73.705 38.3020
22.338869 73.710 37.2543
22.705080 73.713 36.2130
23.071291 73.712 35.1743
23.437502 73.707 34.1453
23.803713 73.700 33.1353
24.169924 73.692 32.1465
24.536135 73.684 31.1720
24.902346 73.677 30.2056
25.268557 73.670 29.2484
25.634768 73.662 28.3079
26.000979 73.655 27.3894
26.367190 73.649 26.4894
26.733401 73.644 25.6005
27.099612 73.638 24.7204
27.465823 73.629 23.8556
27.832033 73.619 23.0161
28.198244 73.607 22.2067
28.564455 73.595 21.4226
28.930666 73.582 20.6559
29.296877 73.568 19.9017
29.663088 73.552 19.1614
30.029299 73.535 18.4366
30.395510 73.517 17.7255
30.761721 73.498 17.0232
31.127932 73.478 16.3265
31.494143 73.456 15.6375
31.860354 73.433 14.9604
32.226565 73.410 14.2965
32.592776 73.388 13.6415
32.958987 73.367 12.9891
33.325198 73.345 12.3376
33.691409 73.323 11.6916
34.057620 73.300 11.0574
34.423831 73.278 10.4381
34.790042 73.256 9.8309
35.156253 73.235 9.2308
35.522464 73.214 8.6356
35.888675 73.192 8.0480
36.254886 73.169 7.4735
36.621097 73.145 6.9174
36.987308 73.120 6.3816
37.353519 73.095 5.8646
37.719730 73.071 5.3625
38.085941 73.048 4.8691
38.452152 73.026 4.3792
38.818363 73.003 3.8892
39.184573 72.979 3.4004
39.550784 72.954 2.9170
39.916995 72.928 2.4435
40.283206 72.902 1.9813
40.649417 72.876 1.5287
41.015628 72.850 1.0823
41.381839 72.825 0.6400
41.748050 72.800 0.2014
42.114261 72.775 -0.2342
42.480472 72.751 -0.6674
42.846683 72.726 -1.0987
43.212894 72.701 -1.5267
43.579105 72.675 -1.9479
43.945316 72.649 -2.3586
44.311527 72.622 -2.7584
44.677738 72.596 -3.1500
45.043949 72.571 -3.5362
45.410160 72.545 -3.9175
45.776371 72.518 -4.2916
46.142582 72.492 -4.6561
46.508793 72.466 -5.0120
46.875004 72.441 -5.3636
47.241215 72.416 -5.7159
47.607426 72.391 -6.0697
47.973637 72.364 -6.4209
48.339848 72.337 -6.7633
48.706059 72.309 -7.0932
49.072270 72.283 -7.4124
49.438481 72.257 -7.7266
49.804692 72.232 -8.0421
50.170902 72.208 -8.3611
50.537113 72.182 -8.6804
50.903324 72.155 -8.9934
51.269535 72.128 -9.2946
51.635746 72.101 -9.5831
52.001957 72.075 -9.8647
52.368168 72.051 -10.1467
52.734379 72.027 -10.4337
53.100590 72.002 -10.7229
53.466801 71.976 -11.0066
53.833012 71.948 -11.2774
54.199223 71.922 -11.5345
54.565434 71.896 -11.7847
54.931645 71.872 -12.0370
55.297856 71.848 -12.2946
55.664067 71.823 -12.5519
56.030278 71.796 -12.7992
56.396489 71.770 -13.0309
56.762700 71.745 -13.2524
57.128911 71.723 -13.4768
57.495122 71.702 -13.7158
57.861333 71.679 -13.9694
58.227544 71.653 -14.2250
58.593755 71.624 -14.4649
58.959966 71.595 -14.6794
59.326177 71.568 -14.8741
59.692388 71.545 -15.0665
60.058599 71.524 -15.2748
60.424810 71.504 -15.5055
60.791021 71.480 -15.7490
61.157232 71.452 -15.9867
61.523442 71.423 -16.2024
61.889653 71.394 -16.3926
62.255864 71.369 -16.5681
62.622075 71.347 -16.7460
62.988286 71.328 -16.9391
63.354497 71.308 -17.1494
63.720708 71.286 -17.3685
64.086919 71.263 -17.5844
64.453130 71.238 -17.7888
64.819341 71.213 -17.9806
65.185552 71.190 -18.1642
65.551763 71.168 -18.3456
65.917974 71.146 -18.5281
66.284185 71.123 -18.7114
66.650396 71.100 -18.8925
67.016607 71.076 -19.0671
67.382818 71.051 -19.2328
67.749029 71.027 -19.3884
68.115240 71.003 -19.5360
68.481451 70.980 -19.6791
68.847662 70.958 -19.8217
69.213873 70.936 -19.9668
69.580084 70.914 -20.1151
69.946295 70.892 -20.2654
70.312506 70.869 -20.4158
70.678717 70.846 -20.5649
71.044928 70.823 -20.7131
71.411139 70.800 -20.8611
71.777350 70.777 -21.0095
72.143561 70.754 -21.1577
72.509771 70.730 -21.3038
72.875982 70.706 -21.4460
73.242193 70.683 -21.5834
73.608404 70.661 -21.7162
73.974615 70.639 -21.8465
74.340826 70.618 -21.9769
74.707037 70.598 -22.1098
75.073248 70.578 -22.2465
75.439459 70.558 -22.3863
75.805670 70.537 -22.5266
76.171881 70.516 -22.6639
76.538092 70.494 -22.7949
76.904303 70.471 -22.9179
77.270514 70.449 -23.0333
77.636725 70.428 -23.1437
78.002936 70.408 -23.2523
78.369147 70.388 -23.3621
78.735358 70.368 -23.4739
79.101569 70.348 -23.5874
79.467780 70.328 -23.7014
79.833991 70.308 -23.8147
80.200202 70.287 -23.9270
80.566413 70.267 -24.0385
80.932624 70.246 -24.1490
81.298835 70.225 -24.2576
81.665046 70.204 -24.3630
82.031257 70.183 -24.4648
82.397468 70.163 -24.5636
82.763679 70.143 -24.6614
83.129890 70.124 -24.7603
83.496101 70.105 -24.8615
83.862311 70.086 -24.9645
84.228522 70.066 -25.0679
84.594733 70.046 -25.1693
84.960944 70.026 -25.2672
85.327155 70.006 -25.3605
85.693366 69.986 -25.4495
86.059577 69.966 -25.5352
86.425788 69.947 -25.6194
86.791999 69.929 -25.7042
87.158210 69.911 -25.7914
87.524421 69.894 -25.8812
87.890632 69.876 -25.9727
88.256843 69.857 -26.0636
88.623054 69.839 -26.1522
88.989265 69.820 -26.2377
89.355476 69.802 -26.3207
89.721687 69.784 -26.4028
90.087898 69.767 -26.4849
90.454109 69.749 -26.5674
90.820320 69.732 -26.6495
91.186531 69.714 -26.7302
91.552742 69.696 -26.8087
91.918953 69.678 -26.8847
92.285164 69.661 -26.9586
92.651375 69.644 -27.0312
93.017586 69.626 -27.1033
93.383797 69.609 -27.1752
93.750008 69.592 -27.2472
94.116219 69.575 -27.3190
94.482430 69.558 -27.3898
94.848641 69.541 -27.4596
95.214851 69.523 -27.5280
95.581062 69.506 -27.5955
95.947273 69.489 -27.6627
96.313484 69.472 -27.7302
96.679695 69.455 -27.7981
97.045906 69.438 -27.8662
97.412117 69.420 -27.9336
97.778328 69.403 -27.9994
98.144539 69.386 -28.0630
98.510750 69.368 -28.1249
98.876961 69.351 -28.1857
99.243172 69.335 -28.2465
99.609383 69.318 -28.3077
99.975594 69.302 -28.3696
100.341805 69.286 -28.4314
100.708016 69.269 -28.4922
101.074227 69.253 -28.5514
101.440438 69.236 -28.6086
101.806649 69.220 -28.6642
102.172860 69.204 -28.7188
102.539071 69.189 -28.7729
102.905282 69.174 -28.8273
103.271493 69.158 -28.8820
103.637704 69.143 -28.9366
104.003915 69.128 -28.9908
104.370126 69.113 -29.0446
104.736337 69.098 -29.0977
105.102548 69.083 -29.1506
105.468759 69.068 -29.2037
105.834970 69.053 -29.2567
106.201180 69.038 -29.3093
106.567391 69.022 -29.3606
106.933602 69.007 -29.4102
107.299813 68.992 -29.4579
107.666024 68.976 -29.5042
108.032235 68.961 -29.5494
108.398446 68.946 -29.5942
108.764657 68.932 -29.6385
109.130868 68.917 -29.6826
109.497079 68.902 -29.7262
109.863290 68.887 -29.7693
110.229501 68.873 -29.8121
110.595712 68.858 -29.8548
110.961923 68.844 -29.8973
111.328134 68.830 -29.9398
111.694345 68.816 -29.9819
112.060556 68.801 -30.0238
112.426767 68.788 -30.0656
112.792978 68.774 -30.1077
113.159189 68.760 -30.1501
113.525400 68.747 -30.1932
113.891611 68.733 -30.2367
114.257822 68.720 -30.2802
114.624033 68.706 -30.3229
114.990244 68.693 -30.3649
115.356455 68.680 -30.4061
115.722666 68.666 -30.4471
116.088877 68.653 -30.4884
116.455088 68.640 -30.5303
116.821299 68.627 -30.5723
117.187510 68.614 -30.6138
117.553720 68.601 -30.6542
117.919931 68.587 -30.6935
118.286142 68.574 -30.7323
118.652353 68.561 -30.7710
119.018564 68.548 -30.8101
119.384775 68.534 -30.8489
119.750986 68.520 -30.8865
120.117197 68.507 -30.9219
120.483408 68.493 -30.9546
120.849619 68.479 -30.9852
121.215830 68.466 -31.0145
121.582041 68.453 -31.0437
121.948252 68.440 -31.0732
122.314463 68.428 -31.1034
122.680674 68.415 -31.1339
123.046885 68.403 -31.1649
123.413096 68.391 -31.1961
123.779307 68.378 -31.2272
124.145518 68.366 -31.2576
124.511729 68.353 -31.2871
124.877940 68.341 -31.3154
125.244151 68.329 -31.3430
125.610362 68.317 -31.3704
125.976573 68.305 -31.3986
126.342784 68.294 -31.4277
126.708995 68.282 -31.4576
127.075206 68.270 -31.4877
127.441417 68.258 -31.5171
127.807628 68.246 -31.5450
128.173839 68.234 -31.5715
128.540049 68.222 -31.5967
128.906260 68.210 -31.6210
129.272471 68.198 -31.6448
129.638682 68.186 -31.6685
130.004893 68.175 -31.6921
130.371104 68.163 -31.7159
130.737315 68.152 -31.7400
131.103526 68.140 -31.7646
131.469737 68.129 -31.7896
131.835948 68.117 -31.8147
132.202159 68.105 -31.8394
132.568370 68.093 -31.8632
132.934581 68.081 -31.8857
133.300792 68.070 -31.9072
133.667003 68.058 -31.9281
134.033214 68.047 -31.9490
134.399425 68.036 -31.9707
134.765636 68.025 -31.9935
135.131847 68.014 -32.0175
135.498058 68.004 -32.0425
135.864269 67.993 -32.0681
136.230480 67.982 -32.0941
136.596691 67.971 -32.1204
136.962902 67.961 -32.1464
137.329113 67.950 -32.1722
137.695324 67.939 -32.1976
138.061535 67.928 -32.2225
138.427746 67.917 -32.2465
138.793957 67.906 -32.2696
139.160168 67.895 -32.2916
139.526379 67.884 -32.3123
139.892589 67.873 -32.3315
140.258800 67.863 -32.3497
140.625011 67.852 -32.3669
140.991222 67.841 -32.3837
141.357433 67.831 -32.4001
141.723644 67.820 -32.4167
142.089855 67.810 -32.4335
142.456066 67.799 -32.4502
142.822277 67.789 -32.4670
143.188488 67.778 -32.4838
143.554699 67.768 -32.5005
143.920910 67.758 -32.5170
144.287121 67.748 -32.5333
144.653332 67.737 -32.5494
145.019543 67.727 -32.5657
145.385754 67.718 -32.5823
